column_name,presentation_label_ko,presentation_label_en,interpretation_group,suggested_short_name,keep_original_in_code,use_label_in_report,why
w1_3_week3_sessions,1~3주 3주차 세션 수,w1 3 week3 sessions,weekly_sessions,3w_week3_sessions,Y,Y,"코드에서는 원 컬럼명을 유지하고, 발표/보고서에서는 이해하기 쉬운 라벨을 사용하기 위함입니다."
w1_3_week1_ratio,1~3주 1주차 시청 비중,w1 3 week1 ratio,weekly_ratio,3w_week1_ratio,Y,Y,"코드에서는 원 컬럼명을 유지하고, 발표/보고서에서는 이해하기 쉬운 라벨을 사용하기 위함입니다."
w1_3_week2_ratio,1~3주 2주차 시청 비중,w1 3 week2 ratio,weekly_ratio,3w_week2_ratio,Y,Y,"코드에서는 원 컬럼명을 유지하고, 발표/보고서에서는 이해하기 쉬운 라벨을 사용하기 위함입니다."
w1_3_week3_ratio,1~3주 3주차 시청 비중,w1 3 week3 ratio,weekly_ratio,3w_week3_ratio,Y,Y,"코드에서는 원 컬럼명을 유지하고, 발표/보고서에서는 이해하기 쉬운 라벨을 사용하기 위함입니다."
w1_3_w2_minus_w1_watch_time,1~3주 w2 minus w1 watch time,w1 3 w2 minus w1 watch time,week_to_week_delta,3w_w2_minus_w1_watch_time,Y,Y,"코드에서는 원 컬럼명을 유지하고, 발표/보고서에서는 이해하기 쉬운 라벨을 사용하기 위함입니다."
w1_3_w3_minus_w1_watch_time,1~3주 w3 minus w1 watch time,w1 3 w3 minus w1 watch time,week_to_week_delta,3w_w3_minus_w1_watch_time,Y,Y,"코드에서는 원 컬럼명을 유지하고, 발표/보고서에서는 이해하기 쉬운 라벨을 사용하기 위함입니다."
w1_3_max_daily_watch_time,1~3주 일 최대 시청 시간,w1 3 max daily watch time,session_intensity,3w_max_daily_watch_time,Y,Y,"코드에서는 원 컬럼명을 유지하고, 발표/보고서에서는 이해하기 쉬운 라벨을 사용하기 위함입니다."
w1_3_max_day_share,1~3주 최대 시청일 집중도,w1 3 max day share,session_intensity,3w_max_day_share,Y,Y,"코드에서는 원 컬럼명을 유지하고, 발표/보고서에서는 이해하기 쉬운 라벨을 사용하기 위함입니다."
w1_3_one_minute_watch_count,1~3주 1분 시청 횟수,w1 3 one minute watch count,short_watch_behavior,3w_one_minute_watch_count,Y,Y,"코드에서는 원 컬럼명을 유지하고, 발표/보고서에서는 이해하기 쉬운 라벨을 사용하기 위함입니다."
w1_3_short_watch_count_le5,1~3주 5분 이하 짧은 시청 횟수,w1 3 short watch count le5,short_watch_behavior,3w_short_watch_count_le5,Y,Y,"코드에서는 원 컬럼명을 유지하고, 발표/보고서에서는 이해하기 쉬운 라벨을 사용하기 위함입니다."
w1_3_short_watch_time_le5,1~3주 5분 이하 짧은 시청 시간,w1 3 short watch time le5,short_watch_behavior,3w_short_watch_time_le5,Y,Y,"코드에서는 원 컬럼명을 유지하고, 발표/보고서에서는 이해하기 쉬운 라벨을 사용하기 위함입니다."
w1_3_content_has_watch_obs,1~3주 콘텐츠 시청 관측 여부,w1 3 content has watch obs,watch_presence,3w_content_has_watch_obs,Y,Y,"코드에서는 원 컬럼명을 유지하고, 발표/보고서에서는 이해하기 쉬운 라벨을 사용하기 위함입니다."
w1_3_genre_covered_watch_time,1~3주 장르 확인 시청 시간,w1 3 genre covered watch time,coverage_missing_proxy,3w_genre_covered_watch_time,Y,Y,"코드에서는 원 컬럼명을 유지하고, 발표/보고서에서는 이해하기 쉬운 라벨을 사용하기 위함입니다."
w1_3_genre_missing_watch_time,1~3주 장르 미확인 시청 시간,w1 3 genre missing watch time,coverage_missing_proxy,3w_genre_missing_watch_time,Y,Y,"코드에서는 원 컬럼명을 유지하고, 발표/보고서에서는 이해하기 쉬운 라벨을 사용하기 위함입니다."
w1_3_genre_covered_watch_ratio,1~3주 장르 확인 시청 비중,w1 3 genre covered watch ratio,coverage_missing_proxy,3w_genre_covered_watch_ratio,Y,Y,"코드에서는 원 컬럼명을 유지하고, 발표/보고서에서는 이해하기 쉬운 라벨을 사용하기 위함입니다."
w1_3_genre_missing_watch_ratio,1~3주 장르 미확인 시청 비중,w1 3 genre missing watch ratio,coverage_missing_proxy,3w_genre_missing_watch_ratio,Y,Y,"코드에서는 원 컬럼명을 유지하고, 발표/보고서에서는 이해하기 쉬운 라벨을 사용하기 위함입니다."
w1_3_genre_unique_count,1~3주 시청 장르 수,w1 3 genre unique count,other,3w_genre_unique_count,Y,Y,"코드에서는 원 컬럼명을 유지하고, 발표/보고서에서는 이해하기 쉬운 라벨을 사용하기 위함입니다."
w1_3_top_genre,1~3주 최다 시청 장르,w1 3 top genre,genre_preference_ratio,3w_top_genre,Y,Y,"코드에서는 원 컬럼명을 유지하고, 발표/보고서에서는 이해하기 쉬운 라벨을 사용하기 위함입니다."
w1_3_top_genre_watch_time,1~3주 최다 장르 시청 시간,w1 3 top genre watch time,genre_preference_ratio,3w_top_genre_watch_time,Y,Y,"코드에서는 원 컬럼명을 유지하고, 발표/보고서에서는 이해하기 쉬운 라벨을 사용하기 위함입니다."
w1_3_top_genre_watch_ratio,1~3주 최다 장르 시청 비중,w1 3 top genre watch ratio,genre_preference_ratio,3w_top_genre_watch_ratio,Y,Y,"코드에서는 원 컬럼명을 유지하고, 발표/보고서에서는 이해하기 쉬운 라벨을 사용하기 위함입니다."
w1_3_genre_entropy,1~3주 장르 다양성,w1 3 genre entropy,genre_preference_ratio,3w_genre_entropy,Y,Y,"코드에서는 원 컬럼명을 유지하고, 발표/보고서에서는 이해하기 쉬운 라벨을 사용하기 위함입니다."
w1_3_genre_ratio_drama,1~3주 drama 장르 비중,w1 3 genre ratio drama,genre_preference_ratio,3w_genre_ratio_drama,Y,Y,"코드에서는 원 컬럼명을 유지하고, 발표/보고서에서는 이해하기 쉬운 라벨을 사용하기 위함입니다."
w1_3_genre_watch_time_drama,1~3주 drama 장르 시청 시간,w1 3 genre watch time drama,genre_volume_proxy,3w_genre_watch_time_drama,Y,Y,"코드에서는 원 컬럼명을 유지하고, 발표/보고서에서는 이해하기 쉬운 라벨을 사용하기 위함입니다."
w1_3_genre_session_count_drama,1~3주 drama 장르 세션 수,w1 3 genre session count drama,genre_volume_proxy,3w_genre_session_count_drama,Y,Y,"코드에서는 원 컬럼명을 유지하고, 발표/보고서에서는 이해하기 쉬운 라벨을 사용하기 위함입니다."
w1_3_genre_ratio_thriller_crime,1~3주 thriller/crime 장르 비중,w1 3 genre ratio thriller crime,genre_preference_ratio,3w_genre_ratio_thriller_crime,Y,Y,"코드에서는 원 컬럼명을 유지하고, 발표/보고서에서는 이해하기 쉬운 라벨을 사용하기 위함입니다."
w1_3_genre_watch_time_thriller_crime,1~3주 thriller/crime 장르 시청 시간,w1 3 genre watch time thriller crime,genre_volume_proxy,3w_genre_watch_time_thriller_crime,Y,Y,"코드에서는 원 컬럼명을 유지하고, 발표/보고서에서는 이해하기 쉬운 라벨을 사용하기 위함입니다."
w1_3_genre_session_count_thriller_crime,1~3주 thriller/crime 장르 세션 수,w1 3 genre session count thriller crime,genre_volume_proxy,3w_genre_session_count_thriller_crime,Y,Y,"코드에서는 원 컬럼명을 유지하고, 발표/보고서에서는 이해하기 쉬운 라벨을 사용하기 위함입니다."
w1_3_genre_ratio_sf_fantasy,1~3주 sf/fantasy 장르 비중,w1 3 genre ratio sf fantasy,genre_preference_ratio,3w_genre_ratio_sf_fantasy,Y,Y,"코드에서는 원 컬럼명을 유지하고, 발표/보고서에서는 이해하기 쉬운 라벨을 사용하기 위함입니다."
w1_3_genre_watch_time_sf_fantasy,1~3주 sf/fantasy 장르 시청 시간,w1 3 genre watch time sf fantasy,genre_volume_proxy,3w_genre_watch_time_sf_fantasy,Y,Y,"코드에서는 원 컬럼명을 유지하고, 발표/보고서에서는 이해하기 쉬운 라벨을 사용하기 위함입니다."
w1_3_genre_session_count_sf_fantasy,1~3주 sf/fantasy 장르 세션 수,w1 3 genre session count sf fantasy,genre_volume_proxy,3w_genre_session_count_sf_fantasy,Y,Y,"코드에서는 원 컬럼명을 유지하고, 발표/보고서에서는 이해하기 쉬운 라벨을 사용하기 위함입니다."
w1_3_genre_ratio_action_adventure,1~3주 action/adventure 장르 비중,w1 3 genre ratio action adventure,genre_preference_ratio,3w_genre_ratio_action_adventure,Y,Y,"코드에서는 원 컬럼명을 유지하고, 발표/보고서에서는 이해하기 쉬운 라벨을 사용하기 위함입니다."
w1_3_genre_watch_time_action_adventure,1~3주 action/adventure 장르 시청 시간,w1 3 genre watch time action adventure,genre_volume_proxy,3w_genre_watch_time_action_adventure,Y,Y,"코드에서는 원 컬럼명을 유지하고, 발표/보고서에서는 이해하기 쉬운 라벨을 사용하기 위함입니다."
w1_3_genre_session_count_action_adventure,1~3주 action/adventure 장르 세션 수,w1 3 genre session count action adventure,genre_volume_proxy,3w_genre_session_count_action_adventure,Y,Y,"코드에서는 원 컬럼명을 유지하고, 발표/보고서에서는 이해하기 쉬운 라벨을 사용하기 위함입니다."
w1_3_genre_ratio_animation_family,1~3주 animation/family 장르 비중,w1 3 genre ratio animation family,genre_preference_ratio,3w_genre_ratio_animation_family,Y,Y,"코드에서는 원 컬럼명을 유지하고, 발표/보고서에서는 이해하기 쉬운 라벨을 사용하기 위함입니다."
w1_3_genre_watch_time_animation_family,1~3주 animation/family 장르 시청 시간,w1 3 genre watch time animation family,genre_volume_proxy,3w_genre_watch_time_animation_family,Y,Y,"코드에서는 원 컬럼명을 유지하고, 발표/보고서에서는 이해하기 쉬운 라벨을 사용하기 위함입니다."
w1_3_genre_session_count_animation_family,1~3주 animation/family 장르 세션 수,w1 3 genre session count animation family,genre_volume_proxy,3w_genre_session_count_animation_family,Y,Y,"코드에서는 원 컬럼명을 유지하고, 발표/보고서에서는 이해하기 쉬운 라벨을 사용하기 위함입니다."
w1_3_genre_ratio_romance,1~3주 romance 장르 비중,w1 3 genre ratio romance,genre_preference_ratio,3w_genre_ratio_romance,Y,Y,"코드에서는 원 컬럼명을 유지하고, 발표/보고서에서는 이해하기 쉬운 라벨을 사용하기 위함입니다."
w1_3_genre_watch_time_romance,1~3주 romance 장르 시청 시간,w1 3 genre watch time romance,genre_volume_proxy,3w_genre_watch_time_romance,Y,Y,"코드에서는 원 컬럼명을 유지하고, 발표/보고서에서는 이해하기 쉬운 라벨을 사용하기 위함입니다."
w1_3_genre_session_count_romance,1~3주 romance 장르 세션 수,w1 3 genre session count romance,genre_volume_proxy,3w_genre_session_count_romance,Y,Y,"코드에서는 원 컬럼명을 유지하고, 발표/보고서에서는 이해하기 쉬운 라벨을 사용하기 위함입니다."
w1_3_genre_ratio_comedy,1~3주 comedy 장르 비중,w1 3 genre ratio comedy,genre_preference_ratio,3w_genre_ratio_comedy,Y,Y,"코드에서는 원 컬럼명을 유지하고, 발표/보고서에서는 이해하기 쉬운 라벨을 사용하기 위함입니다."
w1_3_genre_watch_time_comedy,1~3주 comedy 장르 시청 시간,w1 3 genre watch time comedy,genre_volume_proxy,3w_genre_watch_time_comedy,Y,Y,"코드에서는 원 컬럼명을 유지하고, 발표/보고서에서는 이해하기 쉬운 라벨을 사용하기 위함입니다."
w1_3_genre_session_count_comedy,1~3주 comedy 장르 세션 수,w1 3 genre session count comedy,genre_volume_proxy,3w_genre_session_count_comedy,Y,Y,"코드에서는 원 컬럼명을 유지하고, 발표/보고서에서는 이해하기 쉬운 라벨을 사용하기 위함입니다."
w1_3_genre_ratio_historical_war,1~3주 historical/war 장르 비중,w1 3 genre ratio historical war,genre_preference_ratio,3w_genre_ratio_historical_war,Y,Y,"코드에서는 원 컬럼명을 유지하고, 발표/보고서에서는 이해하기 쉬운 라벨을 사용하기 위함입니다."
w1_3_genre_watch_time_historical_war,1~3주 historical/war 장르 시청 시간,w1 3 genre watch time historical war,genre_volume_proxy,3w_genre_watch_time_historical_war,Y,Y,"코드에서는 원 컬럼명을 유지하고, 발표/보고서에서는 이해하기 쉬운 라벨을 사용하기 위함입니다."
w1_3_genre_session_count_historical_war,1~3주 historical/war 장르 세션 수,w1 3 genre session count historical war,genre_volume_proxy,3w_genre_session_count_historical_war,Y,Y,"코드에서는 원 컬럼명을 유지하고, 발표/보고서에서는 이해하기 쉬운 라벨을 사용하기 위함입니다."
w1_3_genre_ratio_horror,1~3주 horror 장르 비중,w1 3 genre ratio horror,genre_preference_ratio,3w_genre_ratio_horror,Y,Y,"코드에서는 원 컬럼명을 유지하고, 발표/보고서에서는 이해하기 쉬운 라벨을 사용하기 위함입니다."
w1_3_genre_watch_time_horror,1~3주 horror 장르 시청 시간,w1 3 genre watch time horror,genre_volume_proxy,3w_genre_watch_time_horror,Y,Y,"코드에서는 원 컬럼명을 유지하고, 발표/보고서에서는 이해하기 쉬운 라벨을 사용하기 위함입니다."
w1_3_genre_session_count_horror,1~3주 horror 장르 세션 수,w1 3 genre session count horror,genre_volume_proxy,3w_genre_session_count_horror,Y,Y,"코드에서는 원 컬럼명을 유지하고, 발표/보고서에서는 이해하기 쉬운 라벨을 사용하기 위함입니다."
w1_3_genre_ratio_other,1~3주 other 장르 비중,w1 3 genre ratio other,genre_preference_ratio,3w_genre_ratio_other,Y,Y,"코드에서는 원 컬럼명을 유지하고, 발표/보고서에서는 이해하기 쉬운 라벨을 사용하기 위함입니다."
w1_3_genre_watch_time_other,1~3주 other 장르 시청 시간,w1 3 genre watch time other,genre_volume_proxy,3w_genre_watch_time_other,Y,Y,"코드에서는 원 컬럼명을 유지하고, 발표/보고서에서는 이해하기 쉬운 라벨을 사용하기 위함입니다."
w1_3_genre_session_count_other,1~3주 other 장르 세션 수,w1 3 genre session count other,genre_volume_proxy,3w_genre_session_count_other,Y,Y,"코드에서는 원 컬럼명을 유지하고, 발표/보고서에서는 이해하기 쉬운 라벨을 사용하기 위함입니다."
w1_3_release_month_covered_watch_ratio,1~3주 공개월 확인 시청 비중,w1 3 release month covered watch ratio,weekly_ratio,3w_release_month_covered_watch_ratio,Y,Y,"코드에서는 원 컬럼명을 유지하고, 발표/보고서에서는 이해하기 쉬운 라벨을 사용하기 위함입니다."
w1_3_avg_ott_release_month_weighted,1~3주 가중 평균 공개월,w1 3 avg ott release month weighted,release_month_proxy,3w_avg_ott_release_month_weighted,Y,Y,"코드에서는 원 컬럼명을 유지하고, 발표/보고서에서는 이해하기 쉬운 라벨을 사용하기 위함입니다."
w1_3_recent_content_watch_ratio,1~3주 최근 콘텐츠 시청 비중,w1 3 recent content watch ratio,release_month_proxy,3w_recent_content_watch_ratio,Y,Y,"코드에서는 원 컬럼명을 유지하고, 발표/보고서에서는 이해하기 쉬운 라벨을 사용하기 위함입니다."
w1_3_old_content_watch_ratio,1~3주 오래된 콘텐츠 시청 비중,w1 3 old content watch ratio,release_month_proxy,3w_old_content_watch_ratio,Y,Y,"코드에서는 원 컬럼명을 유지하고, 발표/보고서에서는 이해하기 쉬운 라벨을 사용하기 위함입니다."
w1_4_has_watch_obs,1~4주 시청 관측 여부,w1 4 has watch obs,watch_presence,4w_has_watch_obs,Y,Y,"코드에서는 원 컬럼명을 유지하고, 발표/보고서에서는 이해하기 쉬운 라벨을 사용하기 위함입니다."
w1_4_no_watch_obs_flag,1~4주 무시청 여부,w1 4 no watch obs flag,watch_presence,4w_no_watch_obs_flag,Y,Y,"코드에서는 원 컬럼명을 유지하고, 발표/보고서에서는 이해하기 쉬운 라벨을 사용하기 위함입니다."
w1_4_total_watch_time,1~4주 총 시청 시간,w1 4 total watch time,usage_volume,4w_total_watch_time,Y,Y,"코드에서는 원 컬럼명을 유지하고, 발표/보고서에서는 이해하기 쉬운 라벨을 사용하기 위함입니다."
w1_4_total_sessions,1~4주 총 시청 세션 수,w1 4 total sessions,usage_volume,4w_total_sessions,Y,Y,"코드에서는 원 컬럼명을 유지하고, 발표/보고서에서는 이해하기 쉬운 라벨을 사용하기 위함입니다."
w1_4_unique_contents,1~4주 고유 콘텐츠 수,w1 4 unique contents,usage_volume,4w_unique_contents,Y,Y,"코드에서는 원 컬럼명을 유지하고, 발표/보고서에서는 이해하기 쉬운 라벨을 사용하기 위함입니다."
w1_4_unique_watch_days,1~4주 시청일 수,w1 4 unique watch days,usage_volume,4w_unique_watch_days,Y,Y,"코드에서는 원 컬럼명을 유지하고, 발표/보고서에서는 이해하기 쉬운 라벨을 사용하기 위함입니다."
w1_4_avg_watch_time_per_session,1~4주 세션당 평균 시청 시간,w1 4 avg watch time per session,session_intensity,4w_avg_watch_time_per_session,Y,Y,"코드에서는 원 컬럼명을 유지하고, 발표/보고서에서는 이해하기 쉬운 라벨을 사용하기 위함입니다."
w1_4_sessions_per_active_day,1~4주 활성일당 세션 수,w1 4 sessions per active day,session_intensity,4w_sessions_per_active_day,Y,Y,"코드에서는 원 컬럼명을 유지하고, 발표/보고서에서는 이해하기 쉬운 라벨을 사용하기 위함입니다."
w1_4_active_span_days,1~4주 활동 기간,w1 4 active span days,other,4w_active_span_days,Y,Y,"코드에서는 원 컬럼명을 유지하고, 발표/보고서에서는 이해하기 쉬운 라벨을 사용하기 위함입니다."
w1_4_first_watch_rel_day,1~4주 첫 시청 상대일,w1 4 first watch rel day,watch_timing_rel_day,4w_first_watch_rel_day,Y,Y,"코드에서는 원 컬럼명을 유지하고, 발표/보고서에서는 이해하기 쉬운 라벨을 사용하기 위함입니다."
w1_4_last_watch_rel_day,1~4주 마지막 시청 상대일,w1 4 last watch rel day,watch_timing_rel_day,4w_last_watch_rel_day,Y,Y,"코드에서는 원 컬럼명을 유지하고, 발표/보고서에서는 이해하기 쉬운 라벨을 사용하기 위함입니다."
w1_4_week1_watch_time,1~4주 1주차 시청 시간,w1 4 week1 watch time,weekly_watch_time,4w_week1_watch_time,Y,Y,"코드에서는 원 컬럼명을 유지하고, 발표/보고서에서는 이해하기 쉬운 라벨을 사용하기 위함입니다."
w1_4_week2_watch_time,1~4주 2주차 시청 시간,w1 4 week2 watch time,weekly_watch_time,4w_week2_watch_time,Y,Y,"코드에서는 원 컬럼명을 유지하고, 발표/보고서에서는 이해하기 쉬운 라벨을 사용하기 위함입니다."
w1_4_week3_watch_time,1~4주 3주차 시청 시간,w1 4 week3 watch time,weekly_watch_time,4w_week3_watch_time,Y,Y,"코드에서는 원 컬럼명을 유지하고, 발표/보고서에서는 이해하기 쉬운 라벨을 사용하기 위함입니다."
w1_4_week1_sessions,1~4주 1주차 세션 수,w1 4 week1 sessions,weekly_sessions,4w_week1_sessions,Y,Y,"코드에서는 원 컬럼명을 유지하고, 발표/보고서에서는 이해하기 쉬운 라벨을 사용하기 위함입니다."
w1_4_week2_sessions,1~4주 2주차 세션 수,w1 4 week2 sessions,weekly_sessions,4w_week2_sessions,Y,Y,"코드에서는 원 컬럼명을 유지하고, 발표/보고서에서는 이해하기 쉬운 라벨을 사용하기 위함입니다."
w1_4_week3_sessions,1~4주 3주차 세션 수,w1 4 week3 sessions,weekly_sessions,4w_week3_sessions,Y,Y,"코드에서는 원 컬럼명을 유지하고, 발표/보고서에서는 이해하기 쉬운 라벨을 사용하기 위함입니다."
w1_4_week1_ratio,1~4주 1주차 시청 비중,w1 4 week1 ratio,weekly_ratio,4w_week1_ratio,Y,Y,"코드에서는 원 컬럼명을 유지하고, 발표/보고서에서는 이해하기 쉬운 라벨을 사용하기 위함입니다."
w1_4_week2_ratio,1~4주 2주차 시청 비중,w1 4 week2 ratio,weekly_ratio,4w_week2_ratio,Y,Y,"코드에서는 원 컬럼명을 유지하고, 발표/보고서에서는 이해하기 쉬운 라벨을 사용하기 위함입니다."
w1_4_week3_ratio,1~4주 3주차 시청 비중,w1 4 week3 ratio,weekly_ratio,4w_week3_ratio,Y,Y,"코드에서는 원 컬럼명을 유지하고, 발표/보고서에서는 이해하기 쉬운 라벨을 사용하기 위함입니다."
w1_4_w2_minus_w1_watch_time,1~4주 w2 minus w1 watch time,w1 4 w2 minus w1 watch time,week_to_week_delta,4w_w2_minus_w1_watch_time,Y,Y,"코드에서는 원 컬럼명을 유지하고, 발표/보고서에서는 이해하기 쉬운 라벨을 사용하기 위함입니다."
w1_4_w3_minus_w1_watch_time,1~4주 w3 minus w1 watch time,w1 4 w3 minus w1 watch time,week_to_week_delta,4w_w3_minus_w1_watch_time,Y,Y,"코드에서는 원 컬럼명을 유지하고, 발표/보고서에서는 이해하기 쉬운 라벨을 사용하기 위함입니다."
w1_4_max_daily_watch_time,1~4주 일 최대 시청 시간,w1 4 max daily watch time,session_intensity,4w_max_daily_watch_time,Y,Y,"코드에서는 원 컬럼명을 유지하고, 발표/보고서에서는 이해하기 쉬운 라벨을 사용하기 위함입니다."
w1_4_max_day_share,1~4주 최대 시청일 집중도,w1 4 max day share,session_intensity,4w_max_day_share,Y,Y,"코드에서는 원 컬럼명을 유지하고, 발표/보고서에서는 이해하기 쉬운 라벨을 사용하기 위함입니다."
w1_4_one_minute_watch_count,1~4주 1분 시청 횟수,w1 4 one minute watch count,short_watch_behavior,4w_one_minute_watch_count,Y,Y,"코드에서는 원 컬럼명을 유지하고, 발표/보고서에서는 이해하기 쉬운 라벨을 사용하기 위함입니다."
w1_4_short_watch_count_le5,1~4주 5분 이하 짧은 시청 횟수,w1 4 short watch count le5,short_watch_behavior,4w_short_watch_count_le5,Y,Y,"코드에서는 원 컬럼명을 유지하고, 발표/보고서에서는 이해하기 쉬운 라벨을 사용하기 위함입니다."
