side,source_label,relative_path,segment_column,segment_value,row_count,mean_churn_risk
park,segment_assignment,park.ingyeom\reports\audits\html_claim_validation_core_sources_20260518_212100\park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_representative_segment_assignment.csv,representative_segment,medium_risk_retention_decay,3195,0.35819951858213644
park,segment_assignment,park.ingyeom\reports\audits\html_claim_validation_core_sources_20260518_212100\park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_representative_segment_assignment.csv,representative_segment,stable_retained_user,1224,0.017187496222320044
PUBLIC,segment_assignment,PUBLIC\results\17_segmentation_design_260520\promo_scope_oof_behavior_segments_hotfix_260520\17_representative_segment_assignment_hotfix.csv,representative_segment_id,promo0_s01,1736,0.6623917890006712
PUBLIC,segment_assignment,PUBLIC\results\17_segmentation_design_260520\promo_scope_oof_behavior_segments_hotfix_260520\17_representative_segment_assignment_hotfix.csv,representative_segment_id,promo0_s02,154,0.5552055752052045
PUBLIC,segment_assignment,PUBLIC\results\17_segmentation_design_260520\promo_scope_oof_behavior_segments_hotfix_260520\17_representative_segment_assignment_hotfix.csv,representative_segment_id,promo0_s03,230,0.6343099306579034
PUBLIC,segment_assignment,PUBLIC\results\17_segmentation_design_260520\promo_scope_oof_behavior_segments_hotfix_260520\17_representative_segment_assignment_hotfix.csv,representative_segment_id,promo0_s04,43,0.5997995016124588
PUBLIC,segment_assignment,PUBLIC\results\17_segmentation_design_260520\promo_scope_oof_behavior_segments_hotfix_260520\17_representative_segment_assignment_hotfix.csv,representative_segment_id,promo0_s05,5,0.5638172728663063
PUBLIC,segment_assignment,PUBLIC\results\17_segmentation_design_260520\promo_scope_oof_behavior_segments_hotfix_260520\17_representative_segment_assignment_hotfix.csv,representative_segment_id,promo0_s06,2031,0.08001897369265862
PUBLIC,segment_assignment,PUBLIC\results\17_segmentation_design_260520\promo_scope_oof_behavior_segments_hotfix_260520\17_representative_segment_assignment_hotfix.csv,representative_segment_id,promo0_s99,6994,0.15411458284797294
PUBLIC,segment_assignment,PUBLIC\results\17_segmentation_design_260520\promo_scope_oof_behavior_segments_hotfix_260520\17_representative_segment_assignment_hotfix.csv,representative_segment_id,promo1_s01,1700,0.7455318405606054
PUBLIC,segment_assignment,PUBLIC\results\17_segmentation_design_260520\promo_scope_oof_behavior_segments_hotfix_260520\17_representative_segment_assignment_hotfix.csv,representative_segment_id,promo1_s02,193,0.6899049518433928
PUBLIC,segment_assignment,PUBLIC\results\17_segmentation_design_260520\promo_scope_oof_behavior_segments_hotfix_260520\17_representative_segment_assignment_hotfix.csv,representative_segment_id,promo1_s03,329,0.7325794384034274
PUBLIC,segment_assignment,PUBLIC\results\17_segmentation_design_260520\promo_scope_oof_behavior_segments_hotfix_260520\17_representative_segment_assignment_hotfix.csv,representative_segment_id,promo1_s04,41,0.7244826208969499
PUBLIC,segment_assignment,PUBLIC\results\17_segmentation_design_260520\promo_scope_oof_behavior_segments_hotfix_260520\17_representative_segment_assignment_hotfix.csv,representative_segment_id,promo1_s05,11,0.6914571555461664
PUBLIC,segment_assignment,PUBLIC\results\17_segmentation_design_260520\promo_scope_oof_behavior_segments_hotfix_260520\17_representative_segment_assignment_hotfix.csv,representative_segment_id,promo1_s06,2086,0.1497336324006249
PUBLIC,segment_assignment,PUBLIC\results\17_segmentation_design_260520\promo_scope_oof_behavior_segments_hotfix_260520\17_representative_segment_assignment_hotfix.csv,representative_segment_id,promo1_s99,7544,0.24758109632402753
PUBLIC,segment_assignment,PUBLIC\results\17_segmentation_design_260520\promo_scope_oof_behavior_segments_quality_hotfix_260520\17_revised_segment_assignment_simulation.csv,previous_segment_id,promo0_s01,1736,0.6623917890006712
PUBLIC,segment_assignment,PUBLIC\results\17_segmentation_design_260520\promo_scope_oof_behavior_segments_quality_hotfix_260520\17_revised_segment_assignment_simulation.csv,previous_segment_id,promo0_s02,154,0.5552055752052045
PUBLIC,segment_assignment,PUBLIC\results\17_segmentation_design_260520\promo_scope_oof_behavior_segments_quality_hotfix_260520\17_revised_segment_assignment_simulation.csv,previous_segment_id,promo0_s03,230,0.6343099306579034
PUBLIC,segment_assignment,PUBLIC\results\17_segmentation_design_260520\promo_scope_oof_behavior_segments_quality_hotfix_260520\17_revised_segment_assignment_simulation.csv,previous_segment_id,promo0_s04,43,0.5997995016124588
PUBLIC,segment_assignment,PUBLIC\results\17_segmentation_design_260520\promo_scope_oof_behavior_segments_quality_hotfix_260520\17_revised_segment_assignment_simulation.csv,previous_segment_id,promo0_s05,5,0.5638172728663063
PUBLIC,segment_assignment,PUBLIC\results\17_segmentation_design_260520\promo_scope_oof_behavior_segments_quality_hotfix_260520\17_revised_segment_assignment_simulation.csv,previous_segment_id,promo0_s06,2031,0.08001897369265862
PUBLIC,segment_assignment,PUBLIC\results\17_segmentation_design_260520\promo_scope_oof_behavior_segments_quality_hotfix_260520\17_revised_segment_assignment_simulation.csv,previous_segment_id,promo0_s99,6994,0.15411458284797294
PUBLIC,segment_assignment,PUBLIC\results\17_segmentation_design_260520\promo_scope_oof_behavior_segments_quality_hotfix_260520\17_revised_segment_assignment_simulation.csv,previous_segment_id,promo1_s01,1700,0.7455318405606054
PUBLIC,segment_assignment,PUBLIC\results\17_segmentation_design_260520\promo_scope_oof_behavior_segments_quality_hotfix_260520\17_revised_segment_assignment_simulation.csv,previous_segment_id,promo1_s02,193,0.6899049518433928
PUBLIC,segment_assignment,PUBLIC\results\17_segmentation_design_260520\promo_scope_oof_behavior_segments_quality_hotfix_260520\17_revised_segment_assignment_simulation.csv,previous_segment_id,promo1_s03,329,0.7325794384034274
PUBLIC,segment_assignment,PUBLIC\results\17_segmentation_design_260520\promo_scope_oof_behavior_segments_quality_hotfix_260520\17_revised_segment_assignment_simulation.csv,previous_segment_id,promo1_s04,41,0.7244826208969499
PUBLIC,segment_assignment,PUBLIC\results\17_segmentation_design_260520\promo_scope_oof_behavior_segments_quality_hotfix_260520\17_revised_segment_assignment_simulation.csv,previous_segment_id,promo1_s05,11,0.6914571555461664
PUBLIC,segment_assignment,PUBLIC\results\17_segmentation_design_260520\promo_scope_oof_behavior_segments_quality_hotfix_260520\17_revised_segment_assignment_simulation.csv,previous_segment_id,promo1_s06,2086,0.1497336324006249
PUBLIC,segment_assignment,PUBLIC\results\17_segmentation_design_260520\promo_scope_oof_behavior_segments_quality_hotfix_260520\17_revised_segment_assignment_simulation.csv,previous_segment_id,promo1_s99,7544,0.24758109632402753
PUBLIC,segment_assignment,PUBLIC\results\17_segmentation_design_260520\promo_scope_oof_behavior_segments\17_representative_segment_assignment.csv,representative_segment_id,promo0_s01,1736,0.6623917890006712
PUBLIC,segment_assignment,PUBLIC\results\17_segmentation_design_260520\promo_scope_oof_behavior_segments\17_representative_segment_assignment.csv,representative_segment_id,promo0_s02,154,0.5552055752052045
PUBLIC,segment_assignment,PUBLIC\results\17_segmentation_design_260520\promo_scope_oof_behavior_segments\17_representative_segment_assignment.csv,representative_segment_id,promo0_s03,230,0.6343099306579034
PUBLIC,segment_assignment,PUBLIC\results\17_segmentation_design_260520\promo_scope_oof_behavior_segments\17_representative_segment_assignment.csv,representative_segment_id,promo0_s04,43,0.5997995016124588
PUBLIC,segment_assignment,PUBLIC\results\17_segmentation_design_260520\promo_scope_oof_behavior_segments\17_representative_segment_assignment.csv,representative_segment_id,promo0_s05,2031,0.08001897369265862
PUBLIC,segment_assignment,PUBLIC\results\17_segmentation_design_260520\promo_scope_oof_behavior_segments\17_representative_segment_assignment.csv,representative_segment_id,promo0_s99,6999,0.1544072694389276
PUBLIC,segment_assignment,PUBLIC\results\17_segmentation_design_260520\promo_scope_oof_behavior_segments\17_representative_segment_assignment.csv,representative_segment_id,promo1_s01,1700,0.7455318405606054
PUBLIC,segment_assignment,PUBLIC\results\17_segmentation_design_260520\promo_scope_oof_behavior_segments\17_representative_segment_assignment.csv,representative_segment_id,promo1_s02,193,0.6899049518433928
PUBLIC,segment_assignment,PUBLIC\results\17_segmentation_design_260520\promo_scope_oof_behavior_segments\17_representative_segment_assignment.csv,representative_segment_id,promo1_s03,329,0.7325794384034274
PUBLIC,segment_assignment,PUBLIC\results\17_segmentation_design_260520\promo_scope_oof_behavior_segments\17_representative_segment_assignment.csv,representative_segment_id,promo1_s04,41,0.7244826208969499
PUBLIC,segment_assignment,PUBLIC\results\17_segmentation_design_260520\promo_scope_oof_behavior_segments\17_representative_segment_assignment.csv,representative_segment_id,promo1_s05,117,0.6696754613931327
PUBLIC,segment_assignment,PUBLIC\results\17_segmentation_design_260520\promo_scope_oof_behavior_segments\17_representative_segment_assignment.csv,representative_segment_id,promo1_s06,2086,0.1497336324006249
PUBLIC,segment_assignment,PUBLIC\results\17_segmentation_design_260520\promo_scope_oof_behavior_segments\17_representative_segment_assignment.csv,representative_segment_id,promo1_s99,7438,0.24159798203770835
