relative_path,before_size_bytes,after_size_bytes,before_modified_time,after_modified_time,before_sha256,after_sha256,status
PUBLIC\reports\business\18_business_recommendation_storyline_hotfix_260520\18_promo1_main_business_action_matrix_hotfix.csv,3490,3490,2026-05-21T17:37:37,2026-05-21T17:37:37,178186ff7012d1e165bb1b566ee74160e5f75bcf8012704e26898a8e9e250721,178186ff7012d1e165bb1b566ee74160e5f75bcf8012704e26898a8e9e250721,unchanged
PUBLIC\reports\business\18_business_recommendation_storyline_hotfix_260520\18_safe_unsafe_wording_hotfix.csv,2761,2761,2026-05-21T17:37:37,2026-05-21T17:37:37,f9816fa40cc0732d92262a5d7e17eec154c2759b9eda8e333cfaa25feff11dc8,f9816fa40cc0732d92262a5d7e17eec154c2759b9eda8e333cfaa25feff11dc8,unchanged
PUBLIC\reports\business\18_business_recommendation_storyline_hotfix_260520\18_segment_visual_guide_v2_polished.html,51223,51223,2026-05-21T17:37:37,2026-05-21T17:37:37,fc744468ac848680004453682e8c1376d97f33efc7413e2e87a7dbe62643b329,fc744468ac848680004453682e8c1376d97f33efc7413e2e87a7dbe62643b329,unchanged
PUBLIC\reports\business\18_business_recommendation_storyline_hotfix_260520\18_storyline_comparison_clean_hotfix.csv,2167,2167,2026-05-21T17:37:37,2026-05-21T17:37:37,f0382355ef67f8088af21e4689e15efc4bade845a012faae14c6f4fe7e2a0190,f0382355ef67f8088af21e4689e15efc4bade845a012faae14c6f4fe7e2a0190,unchanged
PUBLIC\reports\business\18_business_recommendation_storyline_hotfix_260520\README.md,5776,5776,2026-05-21T17:37:37,2026-05-21T17:37:37,aebaffbeab1a1c47c3ed720f54c4bd3ea519ad40aa24ac358ad8324071dcaa58,aebaffbeab1a1c47c3ed720f54c4bd3ea519ad40aa24ac358ad8324071dcaa58,unchanged
PUBLIC\reports\figures\16_SHAP_candidate_interpretation_260520\16_fig_family_importance_by_scope.png,145161,145161,2026-05-21T17:37:37,2026-05-21T17:37:37,7debe9f8b97640a7a7d3e523c04edc8ef78a811d720044e19c2bd4f22c48c408,7debe9f8b97640a7a7d3e523c04edc8ef78a811d720044e19c2bd4f22c48c408,unchanged
PUBLIC\reports\figures\16_SHAP_candidate_interpretation_260520\16_fig_gb_promo0_top20_shap_bar.png,77047,77047,2026-05-21T17:37:37,2026-05-21T17:37:37,fb2fcb5f5edd5fd72ebc660af003c0f4871ef75eedf6f2ae762951f5b47ea685,fb2fcb5f5edd5fd72ebc660af003c0f4871ef75eedf6f2ae762951f5b47ea685,unchanged
PUBLIC\reports\figures\16_SHAP_candidate_interpretation_260520\16_fig_gb_promo1_top20_shap_bar.png,79413,79413,2026-05-21T17:37:37,2026-05-21T17:37:37,2192f362bd2ee3b6a6dac399ab8ff58cc7a0b5f91d8de1bf69f25ed5962d305c,2192f362bd2ee3b6a6dac399ab8ff58cc7a0b5f91d8de1bf69f25ed5962d305c,unchanged
PUBLIC\reports\figures\16_SHAP_candidate_interpretation_260520\16_fig_lr_promo0_top20_coef_bar.png,82501,82501,2026-05-21T17:37:37,2026-05-21T17:37:37,d99da76969da3058e1fe7f53cf9087a4209b90f8e514d52fb77f9060f6c1667f,d99da76969da3058e1fe7f53cf9087a4209b90f8e514d52fb77f9060f6c1667f,unchanged
PUBLIC\reports\figures\16_SHAP_candidate_interpretation_260520\16_fig_lr_promo1_top20_coef_bar.png,79089,79089,2026-05-21T17:37:37,2026-05-21T17:37:37,7ea25feb7b0658d921c256e82350930945c6875395fdf56e202c5966372c41b7,7ea25feb7b0658d921c256e82350930945c6875395fdf56e202c5966372c41b7,unchanged
PUBLIC\reports\figures\16_SHAP_candidate_interpretation_260520\16_fig_promo1_vs_promo0_family_comparison.png,124440,124440,2026-05-21T17:37:37,2026-05-21T17:37:37,aac00334023e02513396ec48c7e01eda37c73b0f8c0b46f5e7804406eb8034cc,aac00334023e02513396ec48c7e01eda37c73b0f8c0b46f5e7804406eb8034cc,unchanged
PUBLIC\results\11_baseline_growth_comparison_260520\emergency_four_model_reference\gradient_boosting_promo0\feature_manifest_used.csv,1818,1818,2026-05-21T17:37:37,2026-05-21T17:37:37,b2843a36ff3ea9fa9cb5e4ec91743573f063cb8eec4780117e45ea005a9afa70,b2843a36ff3ea9fa9cb5e4ec91743573f063cb8eec4780117e45ea005a9afa70,unchanged
PUBLIC\results\11_baseline_growth_comparison_260520\emergency_four_model_reference\gradient_boosting_promo0\final_result.csv,1098,1098,2026-05-21T17:37:37,2026-05-21T17:37:37,5a92d7f0bca048d633bd5b945ee044c946186082031825de68da32cfeb65a14e,5a92d7f0bca048d633bd5b945ee044c946186082031825de68da32cfeb65a14e,unchanged
PUBLIC\results\11_baseline_growth_comparison_260520\emergency_four_model_reference\gradient_boosting_promo1\feature_manifest_used.csv,1818,1818,2026-05-21T17:37:37,2026-05-21T17:37:37,b2843a36ff3ea9fa9cb5e4ec91743573f063cb8eec4780117e45ea005a9afa70,b2843a36ff3ea9fa9cb5e4ec91743573f063cb8eec4780117e45ea005a9afa70,unchanged
PUBLIC\results\11_baseline_growth_comparison_260520\emergency_four_model_reference\gradient_boosting_promo1\final_result.csv,1130,1130,2026-05-21T17:37:37,2026-05-21T17:37:37,cb67141fe1c0ef0482cb0b6f40764c862b044f8de8ff069dc8994da7b41c5210,cb67141fe1c0ef0482cb0b6f40764c862b044f8de8ff069dc8994da7b41c5210,unchanged
PUBLIC\results\11_baseline_growth_comparison_260520\emergency_four_model_reference\logistic_regression_promo0\feature_manifest_used.csv,1818,1818,2026-05-21T17:37:37,2026-05-21T17:37:37,b2843a36ff3ea9fa9cb5e4ec91743573f063cb8eec4780117e45ea005a9afa70,b2843a36ff3ea9fa9cb5e4ec91743573f063cb8eec4780117e45ea005a9afa70,unchanged
PUBLIC\results\11_baseline_growth_comparison_260520\emergency_four_model_reference\logistic_regression_promo0\final_result.csv,926,926,2026-05-21T17:37:37,2026-05-21T17:37:37,0e16f6e79fd3b3adc3587e425323e315ad522041c85bfbd0d1c9a1cd24f34999,0e16f6e79fd3b3adc3587e425323e315ad522041c85bfbd0d1c9a1cd24f34999,unchanged
PUBLIC\results\11_baseline_growth_comparison_260520\emergency_four_model_reference\logistic_regression_promo1\feature_manifest_used.csv,1818,1818,2026-05-21T17:37:37,2026-05-21T17:37:37,b2843a36ff3ea9fa9cb5e4ec91743573f063cb8eec4780117e45ea005a9afa70,b2843a36ff3ea9fa9cb5e4ec91743573f063cb8eec4780117e45ea005a9afa70,unchanged
PUBLIC\results\11_baseline_growth_comparison_260520\emergency_four_model_reference\logistic_regression_promo1\final_result.csv,930,930,2026-05-21T17:37:37,2026-05-21T17:37:37,ee1b84fb352cfcd91c5beb75c39fed692e9f29ebca3e983a31b51a07675d9bcf,ee1b84fb352cfcd91c5beb75c39fed692e9f29ebca3e983a31b51a07675d9bcf,unchanged
PUBLIC\results\11_baseline_growth_comparison_260520\lr_baseline_promo0\feature_manifest_used.csv,1818,1818,2026-05-21T17:37:37,2026-05-21T17:37:37,b2843a36ff3ea9fa9cb5e4ec91743573f063cb8eec4780117e45ea005a9afa70,b2843a36ff3ea9fa9cb5e4ec91743573f063cb8eec4780117e45ea005a9afa70,unchanged
PUBLIC\results\11_baseline_growth_comparison_260520\lr_baseline_promo0\final_result.csv,926,926,2026-05-21T17:37:37,2026-05-21T17:37:37,0e16f6e79fd3b3adc3587e425323e315ad522041c85bfbd0d1c9a1cd24f34999,0e16f6e79fd3b3adc3587e425323e315ad522041c85bfbd0d1c9a1cd24f34999,unchanged
PUBLIC\results\11_baseline_growth_comparison_260520\lr_baseline_promo1\feature_manifest_used.csv,1818,1818,2026-05-21T17:37:37,2026-05-21T17:37:37,b2843a36ff3ea9fa9cb5e4ec91743573f063cb8eec4780117e45ea005a9afa70,b2843a36ff3ea9fa9cb5e4ec91743573f063cb8eec4780117e45ea005a9afa70,unchanged
PUBLIC\results\11_baseline_growth_comparison_260520\lr_baseline_promo1\final_result.csv,930,930,2026-05-21T17:37:37,2026-05-21T17:37:37,ee1b84fb352cfcd91c5beb75c39fed692e9f29ebca3e983a31b51a07675d9bcf,ee1b84fb352cfcd91c5beb75c39fed692e9f29ebca3e983a31b51a07675d9bcf,unchanged
PUBLIC\results\12_model_family_comparison_260520\four_model_comparison_review\12_final_result_metric_summary.csv,2994,2994,2026-05-21T17:37:37,2026-05-21T17:37:37,0b05887661e2dcf13d98cff532fd73da2c331d1487eaf7ffeda542d2f83314a7,0b05887661e2dcf13d98cff532fd73da2c331d1487eaf7ffeda542d2f83314a7,unchanged
PUBLIC\results\12_model_family_comparison_260520\four_model_comparison_review\12_high_auc_suspicion_audit.csv,2763,2763,2026-05-21T17:37:37,2026-05-21T17:37:37,9dc881ab8fc0be6225d2b690b8546530111c043fd7adf51dcd526fb8b883b7bc,9dc881ab8fc0be6225d2b690b8546530111c043fd7adf51dcd526fb8b883b7bc,unchanged
PUBLIC\results\12_model_family_comparison_260520\four_model_comparison_review\12_leakage_proxy_feature_audit.csv,2347,2347,2026-05-21T17:37:37,2026-05-21T17:37:37,202872bc42eac253e7511b737058d1b9d22f4fefa2dc0e40c77078461ad3e688,202872bc42eac253e7511b737058d1b9d22f4fefa2dc0e40c77078461ad3e688,unchanged
PUBLIC\results\12_model_family_comparison_260520\four_model_comparison_review\12_log_retention_condition_check.csv,1562,1562,2026-05-21T17:37:37,2026-05-21T17:37:37,ce50d001620ebca434f37ea14cd2a9a9bb96b6925696eeb8417decc4feb43eeb,ce50d001620ebca434f37ea14cd2a9a9bb96b6925696eeb8417decc4feb43eeb,unchanged
PUBLIC\results\12_model_family_comparison_260520\four_model_comparison_review\12_oof_readiness_decision.csv,2573,2573,2026-05-21T17:37:37,2026-05-21T17:37:37,2b1a076bbcf25f2dfa3fcf0001d655eff28469c657b3f7192c01dfc9a488d0a7,2b1a076bbcf25f2dfa3fcf0001d655eff28469c657b3f7192c01dfc9a488d0a7,unchanged
PUBLIC\results\12_model_family_comparison_260520\four_model_comparison_review\12_scopewise_gb_vs_lr_comparison.csv,1752,1752,2026-05-21T17:37:37,2026-05-21T17:37:37,789e4fd910f301e3aee1da5f0c54828a4f8d62e88db7433451e4b0df6dc74667,789e4fd910f301e3aee1da5f0c54828a4f8d62e88db7433451e4b0df6dc74667,unchanged
PUBLIC\results\12_model_family_comparison_260520\four_model_comparison_review\12_split_policy_audit.csv,1672,1672,2026-05-21T17:37:37,2026-05-21T17:37:37,a2a75afdb96f1740beb512b99de93c88acc69e9eb8f5dee65354b948652db5bd,a2a75afdb96f1740beb512b99de93c88acc69e9eb8f5dee65354b948652db5bd,unchanged
PUBLIC\results\12_model_family_comparison_260520\four_model_comparison_review\12_trials_overfit_stability_summary.csv,1313,1313,2026-05-21T17:37:37,2026-05-21T17:37:37,a9ae7d6cc5dbf7fcb90f5f932a4e5be47818026411050672be90ef60a225d5d5,a9ae7d6cc5dbf7fcb90f5f932a4e5be47818026411050672be90ef60a225d5d5,unchanged
PUBLIC\results\12_model_family_comparison_260520\four_model_comparison_review\README.md,5283,5283,2026-05-21T17:37:37,2026-05-21T17:37:37,e1ed4e698036bbe14b5510db8b94103187cce64709a4bc4c108c73d671d598fd,e1ed4e698036bbe14b5510db8b94103187cce64709a4bc4c108c73d671d598fd,unchanged
PUBLIC\results\12_model_family_comparison_260520\four_model_comparison_review_hotfix_user_confirmed\12_hotfix_summary.md,3360,3360,2026-05-21T17:37:37,2026-05-21T17:37:37,f1fec7b5e549800b4001c045ceec94259c9484e59ac2fa2dcb750a0aac58afd9,f1fec7b5e549800b4001c045ceec94259c9484e59ac2fa2dcb750a0aac58afd9,unchanged
PUBLIC\results\12_model_family_comparison_260520\four_model_comparison_review_hotfix_user_confirmed\12_is_churn_prevented_policy_correction.csv,1108,1108,2026-05-21T17:37:37,2026-05-21T17:37:37,66d0725d919afcd28c6925ccc551ef90da79600d2311c120a7235c1ba371a132,66d0725d919afcd28c6925ccc551ef90da79600d2311c120a7235c1ba371a132,unchanged
PUBLIC\results\12_model_family_comparison_260520\four_model_comparison_review_hotfix_user_confirmed\12_metric_interpretation_correction.csv,2027,2027,2026-05-21T17:37:37,2026-05-21T17:37:37,b75c090c058ccd2e1c8bb4cc8d04662b472e75fd4e06a6cc420a29db11d52603,b75c090c058ccd2e1c8bb4cc8d04662b472e75fd4e06a6cc420a29db11d52603,unchanged
PUBLIC\results\12_model_family_comparison_260520\four_model_comparison_review_hotfix_user_confirmed\12_oof_readiness_user_confirmed_update.csv,2531,2531,2026-05-21T17:37:37,2026-05-21T17:37:37,f6a49e78fa6d22e41e1fb734589bb28b31ed0e35181f5ed8e0fa26d11aff987b,f6a49e78fa6d22e41e1fb734589bb28b31ed0e35181f5ed8e0fa26d11aff987b,unchanged
PUBLIC\results\12_model_family_comparison_260520\four_model_comparison_review_hotfix_user_confirmed\12_split_policy_usernum_correction.csv,3224,3224,2026-05-21T17:37:37,2026-05-21T17:37:37,a82319ba766abccbb929090440198d450087598f486894f697b8d6f52902353f,a82319ba766abccbb929090440198d450087598f486894f697b8d6f52902353f,unchanged
PUBLIC\results\12_model_family_comparison_260520\four_model_comparison_review_hotfix_user_confirmed\README.md,3802,3802,2026-05-21T17:37:37,2026-05-21T17:37:37,4fea68385e768a1a83c7189c031afd28917413c76c15537d92054f272c5e5c09,4fea68385e768a1a83c7189c031afd28917413c76c15537d92054f272c5e5c09,unchanged
PUBLIC\results\12_model_family_comparison_260520\four_model_comparison_summary\12_four_model_comparison_input_manifest.csv,1104,1104,2026-05-21T17:37:37,2026-05-21T17:37:37,98a18394f0ee0966512d58aaedc3602905c20b7773805a0abbbe1483cfbd022f,98a18394f0ee0966512d58aaedc3602905c20b7773805a0abbbe1483cfbd022f,unchanged
PUBLIC\results\12_model_family_comparison_260520\four_model_comparison_summary\12_four_model_metric_preview.csv,1748,1748,2026-05-21T17:37:37,2026-05-21T17:37:37,1596cbb647bb3ec46c303d3ae52edbc7f3bf8ccddb278be57576e67d40efd6f2,1596cbb647bb3ec46c303d3ae52edbc7f3bf8ccddb278be57576e67d40efd6f2,unchanged
PUBLIC\results\12_model_family_comparison_260520\gradientboosting_promo0\feature_manifest_used.csv,1818,1818,2026-05-21T17:37:37,2026-05-21T17:37:37,b2843a36ff3ea9fa9cb5e4ec91743573f063cb8eec4780117e45ea005a9afa70,b2843a36ff3ea9fa9cb5e4ec91743573f063cb8eec4780117e45ea005a9afa70,unchanged
PUBLIC\results\12_model_family_comparison_260520\gradientboosting_promo0\final_result.csv,1098,1098,2026-05-21T17:37:37,2026-05-21T17:37:37,5a92d7f0bca048d633bd5b945ee044c946186082031825de68da32cfeb65a14e,5a92d7f0bca048d633bd5b945ee044c946186082031825de68da32cfeb65a14e,unchanged
PUBLIC\results\12_model_family_comparison_260520\gradientboosting_promo0\trials_all.csv,14385,14385,2026-05-21T17:37:37,2026-05-21T17:37:37,355eee14be0c36a4715dadcdb4b918918a2579af62c8e8d7f814337d3898291a,355eee14be0c36a4715dadcdb4b918918a2579af62c8e8d7f814337d3898291a,unchanged
PUBLIC\results\12_model_family_comparison_260520\gradientboosting_promo1\feature_manifest_used.csv,1818,1818,2026-05-21T17:37:37,2026-05-21T17:37:37,b2843a36ff3ea9fa9cb5e4ec91743573f063cb8eec4780117e45ea005a9afa70,b2843a36ff3ea9fa9cb5e4ec91743573f063cb8eec4780117e45ea005a9afa70,unchanged
PUBLIC\results\15_oof_score_or_sensitivity_260520\four_model_oof_scores\15_model_config_extraction.csv,1708,1708,2026-05-21T17:37:37,2026-05-21T17:37:37,f0ffe5264ec0f96663c5564b4783672446fc15a0eb5600d064c1074d9a4b713b,f0ffe5264ec0f96663c5564b4783672446fc15a0eb5600d064c1074d9a4b713b,unchanged
PUBLIC\results\15_oof_score_or_sensitivity_260520\four_model_oof_scores\15_oof_feature_policy_check.csv,930,930,2026-05-21T17:37:37,2026-05-21T17:37:37,2dec73829671e0790cae0b0d953ec2f4aec4d641d243669a828f10636a44a471,2dec73829671e0790cae0b0d953ec2f4aec4d641d243669a828f10636a44a471,unchanged
PUBLIC\results\15_oof_score_or_sensitivity_260520\four_model_oof_scores\15_oof_readiness_for_shap_segmentation.csv,445,445,2026-05-21T17:37:37,2026-05-21T17:37:37,5650000f69f61b89d4a1f5704511e023a1410d0a9eb3153a781138e5323e7403,5650000f69f61b89d4a1f5704511e023a1410d0a9eb3153a781138e5323e7403,unchanged
PUBLIC\results\15_oof_score_or_sensitivity_260520\four_model_oof_scores\15_oof_score_long.csv,8258221,8258221,2026-05-21T17:37:37,2026-05-21T17:37:37,cd770fa2ea41ae069df1dc6bfd9722d5d13157ecc72c4d74d4dd3077116cab85,cd770fa2ea41ae069df1dc6bfd9722d5d13157ecc72c4d74d4dd3077116cab85,unchanged
PUBLIC\results\15_oof_score_or_sensitivity_260520\four_model_oof_scores\15_oof_score_wide_promo0.csv,1964936,1964936,2026-05-21T17:37:37,2026-05-21T17:37:37,09c6798f6c9108331c273ee84836e35364d8530110202dd4f083132bd642164d,09c6798f6c9108331c273ee84836e35364d8530110202dd4f083132bd642164d,unchanged
PUBLIC\results\15_oof_score_or_sensitivity_260520\four_model_oof_scores\15_oof_score_wide_promo1.csv,2089906,2089906,2026-05-21T17:37:37,2026-05-21T17:37:37,9c07d881c474c394dc5e6fb869478bd57861309c02c093127230853e021a6e88,9c07d881c474c394dc5e6fb869478bd57861309c02c093127230853e021a6e88,unchanged
PUBLIC\results\15_oof_score_or_sensitivity_260520\four_model_oof_scores_hotfix_260520\15_gb_lr_high_risk_overlap.csv,1456,1456,2026-05-21T17:37:37,2026-05-21T17:37:37,f3906ad29e1cbb45f0f0d0e79574b59dddb5574cb25d676225aabd5cd82525c3,f3906ad29e1cbb45f0f0d0e79574b59dddb5574cb25d676225aabd5cd82525c3,unchanged
PUBLIC\results\15_oof_score_or_sensitivity_260520\four_model_oof_scores_hotfix_260520\15_model_config_extraction.csv,1679,1679,2026-05-21T17:37:37,2026-05-21T17:37:37,55da1d0984a02fa084cbd95f608f4bd68aa8c81103b71bc960f839deace6e1ed,55da1d0984a02fa084cbd95f608f4bd68aa8c81103b71bc960f839deace6e1ed,unchanged
PUBLIC\results\15_oof_score_or_sensitivity_260520\four_model_oof_scores_hotfix_260520\15_oof_feature_policy_check.csv,985,985,2026-05-21T17:37:37,2026-05-21T17:37:37,e00c6dc1ad7c9cae1f665fbf6c30f059ec06997bbf12bfb93d4ec1c80deaaa1a,e00c6dc1ad7c9cae1f665fbf6c30f059ec06997bbf12bfb93d4ec1c80deaaa1a,unchanged
PUBLIC\results\15_oof_score_or_sensitivity_260520\four_model_oof_scores_hotfix_260520\15_oof_metric_summary.csv,1235,1235,2026-05-21T17:37:37,2026-05-21T17:37:37,b7ab83f13f520042506d38cb96983bd7c05d4a7f54ca9523ba8d8528b142a5bf,b7ab83f13f520042506d38cb96983bd7c05d4a7f54ca9523ba8d8528b142a5bf,unchanged
