side,relative_path,file_name,extension,size_bytes,modified_time,sha256,file_role,purpose,row_count,column_count,feature_like_column_count,has_USER_KEY,has_is_repurchase,has_is_promotion,has_repurchase_score,has_churn_risk,columns_preview
PUBLIC,PUBLIC\results\11_baseline_growth_comparison_260520\lr_baseline_promo0\final_result.csv,final_result.csv,,,,0e16f6e79fd3b3adc3587e425323e315ad522041c85bfbd0d1c9a1cd24f34999,,model_result,1,27,27,False,False,False,False,False,model; promo; data_file; n_rows; n_features; n_trials; best_trial; gap_penalty; best_objective_value; best_valid_auc; best_train_auc; best_gap; overfit; test_roc_auc; test_pr_auc; test_f1; test_precision; test_recall; final_train_auc; final_gap_proxy; selection_note; cv_method; group_leakage_caveat; raw_retention_removed; log_retention_used; param_C; param_class_weight
PUBLIC,PUBLIC\results\11_baseline_growth_comparison_260520\lr_baseline_promo1\final_result.csv,final_result.csv,,,,ee1b84fb352cfcd91c5beb75c39fed692e9f29ebca3e983a31b51a07675d9bcf,,model_result,1,27,27,False,False,False,False,False,model; promo; data_file; n_rows; n_features; n_trials; best_trial; gap_penalty; best_objective_value; best_valid_auc; best_train_auc; best_gap; overfit; test_roc_auc; test_pr_auc; test_f1; test_precision; test_recall; final_train_auc; final_gap_proxy; selection_note; cv_method; group_leakage_caveat; raw_retention_removed; log_retention_used; param_C; param_class_weight
PUBLIC,PUBLIC\results\12_model_family_comparison_260520\four_model_comparison_review\12_final_result_metric_summary.csv,12_final_result_metric_summary.csv,,,,0b05887661e2dcf13d98cff532fd73da2c331d1487eaf7ffeda542d2f83314a7,,model_result,4,20,20,False,False,False,False,False,model_family; scope; test_roc_auc; test_pr_auc; test_f1; test_precision; test_recall; best_valid_auc; best_train_auc; best_gap; overfit; best_trial; n_trials; metric_source_file; notes; suspicious_high_auc_flag; leakage_proxy_risk_status; split_policy_check_status; high_auc_interpretation_caution; final_model_selection_allowed
PUBLIC,PUBLIC\results\12_model_family_comparison_260520\four_model_comparison_review\12_high_auc_suspicion_audit.csv,12_high_auc_suspicion_audit.csv,,,,9dc881ab8fc0be6225d2b690b8546530111c043fd7adf51dcd526fb8b883b7bc,,model_result,4,14,14,False,False,False,False,False,model_family; scope; test_roc_auc; test_pr_auc; best_valid_auc; best_train_auc; final_train_auc; max_recorded_auc; auc_ge_0_90_metric_trigger; suspicious_high_auc_flag; high_auc_interpretation_caution; final_model_selection_allowed; audit_status; notes
PUBLIC,PUBLIC\results\12_model_family_comparison_260520\four_model_comparison_review\12_leakage_proxy_feature_audit.csv,12_leakage_proxy_feature_audit.csv,,,,202872bc42eac253e7511b737058d1b9d22f4fefa2dc0e40c77078461ad3e688,,model_result,4,18,18,False,False,False,False,False,model_family; scope; feature_manifest_file; contains_USER_KEY; contains_is_repurchase; contains_repurchase_score; contains_churn_risk; contains_retention_w2_ratio; contains_retention_w3_ratio; contains_is_promotion; contains_log_retention_w2_ratio; contains_log_retention_w3_ratio; target_like_or_post_outcome_suspect_features; log_retention_dominance_caveat; leakage_proxy_risk_status; split_policy_check_status; final_model_selection_allowed; reason
PUBLIC,PUBLIC\results\12_model_family_comparison_260520\four_model_comparison_review\12_log_retention_condition_check.csv,12_log_retention_condition_check.csv,,,,ce50d001620ebca434f37ea14cd2a9a9bb96b6925696eeb8417decc4feb43eeb,,model_result,4,11,11,False,False,False,False,False,model_family; scope; data_file_or_input_path; raw_retention_removed; log_retention_used; contains_retention_w2_ratio; contains_retention_w3_ratio; contains_log_retention_w2_ratio; contains_log_retention_w3_ratio; condition_status; reason
PUBLIC,PUBLIC\results\12_model_family_comparison_260520\four_model_comparison_review\12_oof_readiness_decision.csv,12_oof_readiness_decision.csv,,,,2b1a076bbcf25f2dfa3fcf0001d655eff28469c657b3f7192c01dfc9a488d0a7,,model_result,15,6,6,False,False,False,False,False,decision_item; status; evidence; required_user_approval; notes; final_model_selection_allowed
PUBLIC,PUBLIC\results\12_model_family_comparison_260520\four_model_comparison_review\12_scopewise_gb_vs_lr_comparison.csv,12_scopewise_gb_vs_lr_comparison.csv,,,,789e4fd910f301e3aee1da5f0c54828a4f8d62e88db7433451e4b0df6dc74667,,model_result,2,20,20,False,False,False,False,False,scope; lr_test_roc_auc; gb_test_roc_auc; delta_roc_auc_gb_minus_lr; lr_test_pr_auc; gb_test_pr_auc; delta_pr_auc_gb_minus_lr; lr_overfit_rate; gb_overfit_rate; lr_top10_overfit_rate; gb_top10_overfit_rate; primary_candidate_recommendation; baseline_candidate_recommendation; recommendation_status; reason; suspicious_high_auc_flag; leakage_proxy_risk_status; split_policy_check_status; high_auc_interpretation_caution; final_model_selection_allowed
PUBLIC,PUBLIC\results\12_model_family_comparison_260520\four_model_comparison_review\12_split_policy_audit.csv,12_split_policy_audit.csv,,,,a2a75afdb96f1740beb512b99de93c88acc69e9eb8f5dee65354b948652db5bd,,model_result,4,10,10,False,False,False,False,False,model_family; scope; cv_method; group_leakage_caveat; group_aware_split_confirmed; user_key_duplication_caveat_present; groupkfold_not_used_caveat_present; split_policy_check_status; final_model_selection_allowed; reason
PUBLIC,PUBLIC\results\12_model_family_comparison_260520\four_model_comparison_review\12_trials_overfit_stability_summary.csv,12_trials_overfit_stability_summary.csv,,,,a9ae7d6cc5dbf7fcb90f5f932a4e5be47818026411050672be90ef60a225d5d5,,model_result,4,19,19,False,False,False,False,False,model_family; scope; trials_n; ranking_metric_used; overfit_column_used; gap_column_used; overfit_count; overfit_rate; top5_overfit_rate; top10_overfit_rate; top20_overfit_rate; best_trial_overfit; mean_valid_auc; std_valid_auc; max_valid_auc; mean_gap; max_gap; stability_status; notes
PUBLIC,PUBLIC\results\12_model_family_comparison_260520\four_model_comparison_review\README.md,README.md,.md,5283,2026-05-21T17:37:37,e1ed4e698036bbe14b5510db8b94103187cce64709a4bc4c108c73d671d598fd,md,model_result,,,,,,,,,
PUBLIC,PUBLIC\results\12_model_family_comparison_260520\four_model_comparison_summary\12_four_model_comparison_input_manifest.csv,12_four_model_comparison_input_manifest.csv,,,,98a18394f0ee0966512d58aaedc3602905c20b7773805a0abbbe1483cfbd022f,,model_result,4,8,8,False,False,False,False,False,comparison_item; model_family; scope; source_in_11_reference; has_final_result_csv; has_trials_all_csv; ready_for_metric_comparison; notes
PUBLIC,PUBLIC\results\12_model_family_comparison_260520\four_model_comparison_summary\12_four_model_metric_preview.csv,12_four_model_metric_preview.csv,,,,1596cbb647bb3ec46c303d3ae52edbc7f3bf8ccddb278be57576e67d40efd6f2,,model_result,4,13,13,False,False,False,False,False,comparison_item; model_family; scope; source_in_11_reference; test_roc_auc; test_pr_auc; test_f1; best_valid_auc; best_train_auc; best_gap; overfit; selection_note; notes
PUBLIC,PUBLIC\results\12_model_family_comparison_260520\gradientboosting_promo0\feature_manifest_used.csv,feature_manifest_used.csv,,,,b2843a36ff3ea9fa9cb5e4ec91743573f063cb8eec4780117e45ea005a9afa70,,model_result,75,2,2,False,False,False,False,False,feature_name; used_as_feature
PUBLIC,PUBLIC\results\12_model_family_comparison_260520\gradientboosting_promo0\final_result.csv,final_result.csv,,,,5a92d7f0bca048d633bd5b945ee044c946186082031825de68da32cfeb65a14e,,model_result,1,32,32,False,False,False,False,False,model; promo; data_file; n_rows; n_features; n_trials; best_trial; gap_penalty; best_objective_value; best_valid_auc; best_train_auc; best_gap; overfit; test_roc_auc; test_pr_auc; test_f1; test_precision; test_recall; final_train_auc; final_gap_proxy; selection_note; cv_method; group_leakage_caveat; raw_retention_removed; log_retention_used; param_n_estimators; param_learning_rate; param_max_depth; param_min_samples_leaf; param_min_samples_split; param_subsample; param_max_features
PUBLIC,PUBLIC\results\12_model_family_comparison_260520\gradientboosting_promo0\trials_all.csv,trials_all.csv,,,,355eee14be0c36a4715dadcdb4b918918a2579af62c8e8d7f814337d3898291a,,model_result,100,13,13,False,False,False,False,False,trial; objective_value; mean_valid_auc; mean_train_auc; gap; overfit; param_n_estimators; param_learning_rate; param_max_depth; param_min_samples_leaf; param_min_samples_split; param_subsample; param_max_features
PUBLIC,PUBLIC\results\12_model_family_comparison_260520\gradientboosting_promo1\feature_manifest_used.csv,feature_manifest_used.csv,,,,b2843a36ff3ea9fa9cb5e4ec91743573f063cb8eec4780117e45ea005a9afa70,,model_result,75,2,2,False,False,False,False,False,feature_name; used_as_feature
PUBLIC,PUBLIC\results\12_model_family_comparison_260520\gradientboosting_promo1\final_result.csv,final_result.csv,,,,cb67141fe1c0ef0482cb0b6f40764c862b044f8de8ff069dc8994da7b41c5210,,model_result,1,32,32,False,False,False,False,False,model; promo; data_file; n_rows; n_features; n_trials; best_trial; gap_penalty; best_objective_value; best_valid_auc; best_train_auc; best_gap; overfit; test_roc_auc; test_pr_auc; test_f1; test_precision; test_recall; final_train_auc; final_gap_proxy; selection_note; cv_method; group_leakage_caveat; raw_retention_removed; log_retention_used; param_n_estimators; param_learning_rate; param_max_depth; param_min_samples_leaf; param_min_samples_split; param_subsample; param_max_features
PUBLIC,PUBLIC\results\12_model_family_comparison_260520\gradientboosting_promo1\trials_all.csv,trials_all.csv,,,,c125274e6aa6d297686583b04a6d36819e460b1b2637dac1ee4eecdf7c0d28b1,,model_result,100,13,13,False,False,False,False,False,trial; objective_value; mean_valid_auc; mean_train_auc; gap; overfit; param_n_estimators; param_learning_rate; param_max_depth; param_min_samples_leaf; param_min_samples_split; param_subsample; param_max_features
PUBLIC,PUBLIC\results\15_oof_score_or_sensitivity_260520\four_model_oof_scores\15_gb_lr_high_risk_overlap.csv,15_gb_lr_high_risk_overlap.csv,,,,34b3c42b15b6c8803f9c51686191a0399ea5940d295e95f8052c2449f66e6bbb,,model_result,6,7,7,False,False,False,False,False,scope; threshold; lr_high_risk; gb_high_risk; overlap_both; lr_only; gb_only
PUBLIC,PUBLIC\results\15_oof_score_or_sensitivity_260520\four_model_oof_scores\15_model_config_extraction.csv,15_model_config_extraction.csv,,,,f0ffe5264ec0f96663c5564b4783672446fc15a0eb5600d064c1074d9a4b713b,,model_result,4,9,9,False,False,False,False,False,model_family; scope; source_final_result; params_found; params_parse_status; params_used; fallback_used; status; notes
PUBLIC,PUBLIC\results\15_oof_score_or_sensitivity_260520\four_model_oof_scores\15_oof_metric_summary.csv,15_oof_metric_summary.csv,,,,0614dd7684bbd6bebb0c91489b769017c374f28fdc0bd0dc90bdddddddf2459b,,model_result,4,8,8,False,False,False,False,False,model_family; scope; n_rows; n_features; oof_roc_auc; oof_pr_auc; suspicious_high_auc_flag; params_json
PUBLIC,PUBLIC\notebooks\12_model_family_comparison_260520\README.md,README.md,.md,863,2026-05-20T17:02:28,fce80a9ffdbedd7a88d13d8f8c844311a82898226f54e1ffe4a8cd89208600e2,md,model_result,,,,,,,,,
PUBLIC,PUBLIC\results\12_model_family_comparison_260520\README.md,README.md,.md,1933,2026-05-21T17:37:37,a75e0a01259127e8f10b19ef507b16969bbf9d456b0974b293e913958b4cbed9,md,model_result,,,,,,,,,
PUBLIC,PUBLIC\handoff\PUBLIC_12_review_hotfix_user_confirmed_260520\PUBLIC_12_review_hotfix_user_confirmed_final_checks.csv,PUBLIC_12_review_hotfix_user_confirmed_final_checks.csv,,,,220bf6303fc38afa1a9ef232ea689cb7b89c808dceeb71227ece2a7034c8d41f,,model_result,26,5,5,False,False,False,False,False,check_name; status; expected; actual; notes
PUBLIC,PUBLIC\handoff\PUBLIC_12_review_hotfix_user_confirmed_260520\PUBLIC_12_review_hotfix_user_confirmed_zip_inventory.csv,PUBLIC_12_review_hotfix_user_confirmed_zip_inventory.csv,,,,3eec6626bc44678ca5efccb51b646b1cc4ed10afe3d7c9833ee94de3983737ae,,model_result,10,2,2,False,False,False,False,False,full_name; size_bytes
PUBLIC,PUBLIC\handoff\PUBLIC_12_review_hotfix_user_confirmed_260520\README.md,README.md,.md,1280,2026-05-21T17:37:37,aa2ff4563201e1322b2284fb9aaa60e37434ccbdd7573a363c1cd484f04a6ca1,md,model_result,,,,,,,,,
PUBLIC,PUBLIC\handoff\PUBLIC_12_review_hotfix_user_confirmed_patch_260520\PUBLIC_12_review_hotfix_user_confirmed_patch_final_checks.csv,PUBLIC_12_review_hotfix_user_confirmed_patch_final_checks.csv,,,,0c144acc3a70445a1e40e3c8af5a7d0067b28ef2bfad4f4202bf57cf40e5e0cf,,model_result,19,5,5,False,False,False,False,False,check_name; status; expected; actual; notes
PUBLIC,PUBLIC\handoff\PUBLIC_12_review_hotfix_user_confirmed_patch_260520\PUBLIC_12_review_hotfix_user_confirmed_patch_summary.md,PUBLIC_12_review_hotfix_user_confirmed_patch_summary.md,.md,2506,2026-05-21T17:37:37,0174c236f1cbb0e9dc784627d93932634ba2e75a81491853a88e3351a424a3a2,md,model_result,,,,,,,,,
PUBLIC,PUBLIC\handoff\PUBLIC_12_review_hotfix_user_confirmed_patch_260520\PUBLIC_12_review_hotfix_user_confirmed_patch_zip_inventory.csv,PUBLIC_12_review_hotfix_user_confirmed_patch_zip_inventory.csv,,,,2d1068fa49ebc8abe65d7726f0ec1efa7a3946efdc42cd5ed3f89ffdce9768b7,,model_result,8,2,2,False,False,False,False,False,full_name; size_bytes
PUBLIC,PUBLIC\handoff\PUBLIC_11_12_emergency_model_restructure_260520\PUBLIC_11_12_emergency_model_restructure_final_checks.csv,PUBLIC_11_12_emergency_model_restructure_final_checks.csv,,,,9e0e750445aeebbe048c579051240de798ed1f208903d832f0a049069739bce0,,model_result,36,5,5,False,False,False,False,False,check_name; status; expected; actual; notes
PUBLIC,PUBLIC\handoff\PUBLIC_11_12_emergency_model_restructure_260520\PUBLIC_11_12_emergency_model_restructure_zip_inventory.csv,PUBLIC_11_12_emergency_model_restructure_zip_inventory.csv,,,,c67babbbe151ae7a08aac14cd30ecb37f4a24f7b53a89fc1a02808bb1109b32d,,model_result,29,2,2,False,False,False,False,False,full_name; size_bytes
PUBLIC,PUBLIC\handoff\PUBLIC_11_12_emergency_model_restructure_260520\PUBLIC_detected_model_result_candidates.csv,PUBLIC_detected_model_result_candidates.csv,,,,3e14f9dbab0c292e10befc5e8be921478bbdccf562b0ec059a3ee255b5f164c7,,model_result,4,15,15,False,False,False,False,False,candidate_result_dir; has_final_result_csv; has_trials_all_csv; inferred_model_family; inferred_scope; data_file_or_input_path; raw_retention_removed; log_retention_used; contains_retention_w2_ratio; contains_retention_w3_ratio; contains_log_retention_w2_ratio; contains_log_retention_w3_ratio; candidate_status; reason; selected_for_11_emergency_reference
PUBLIC,PUBLIC\handoff\PUBLIC_11_12_emergency_model_restructure_260520\PUBLIC_inventory_before_11_12_restructure.csv,PUBLIC_inventory_before_11_12_restructure.csv,,,,f37da051fed9ccdbb99079a92b6b8596935e55af15c8ffca39f7d22f6dd0bbc4,,model_result,189,7,7,False,False,False,False,False,relative_path; item_type; size_bytes; modified_time; top_level_area; inferred_role; notes
PUBLIC,PUBLIC\handoff\PUBLIC_11_12_emergency_model_restructure_260520\README.md,README.md,.md,4839,2026-05-21T17:37:37,96c1f1bddfa3bf2d4f84975d77600dc95ba21d91a1ae5be5342554f687398623,md,model_result,,,,,,,,,
PUBLIC,PUBLIC\handoff\PUBLIC_12_four_model_comparison_review_260520\12_input_file_validation.csv,12_input_file_validation.csv,,,,7e8804c2eb1e0670829ac218fb3cf430d37561a929c5116eb0249e9a0486dd90,,model_result,4,11,11,False,False,False,False,False,model_family; scope; reference_folder; final_result_exists; trials_all_exists; feature_manifest_exists; source_pointer_exists; final_result_rows; trials_all_rows; validation_status; notes
PUBLIC,PUBLIC\handoff\PUBLIC_12_four_model_comparison_review_260520\PUBLIC_12_four_model_comparison_review_final_checks.csv,PUBLIC_12_four_model_comparison_review_final_checks.csv,,,,79ac0423392c24ee04dfa834fbe8cbe77c7bece1677d96bf6644bd81d6081d84,,model_result,34,5,5,False,False,False,False,False,check_name; status; expected; actual; notes
PUBLIC,PUBLIC\handoff\PUBLIC_12_four_model_comparison_review_260520\PUBLIC_12_four_model_comparison_review_zip_inventory.csv,PUBLIC_12_four_model_comparison_review_zip_inventory.csv,,,,b0cef404cacea5e0d0395728194761be61833658dfa6497c2d2ee9f5dad372fe,,model_result,16,2,2,False,False,False,False,False,full_name; size_bytes
PUBLIC,PUBLIC\handoff\PUBLIC_12_four_model_comparison_review_260520\README.md,README.md,.md,3930,2026-05-21T17:37:37,7014b49e7e798f437d0888aead2e354c5a37fedcafcf572cee3a12a768f544b4,md,model_result,,,,,,,,,
