side,relative_path,file_name,extension,size_bytes,modified_time,sha256,file_role
PUBLIC,PUBLIC\data\_archive\260520_input_lineage\06_log_retention_validation.csv,06_log_retention_validation.csv,.csv,1092,2026-05-21T17:37:37,59b079be6cbc9de68071261e92f7ea27ba4b952ab4b8b255af4051a35fbebe86,csv
PUBLIC,PUBLIC\data\_archive\260520_input_lineage\260520_input_lineage_reason.md,260520_input_lineage_reason.md,.md,464,2026-05-21T17:37:37,fbc81b8d580dc9bd6e2413ba5f58aac17b03c85947c4a68a1390f9c1776047f8,md
PUBLIC,PUBLIC\data\_archive\260520_raw_reference\260520_raw_Membership_v2_with_derived_features.csv,260520_raw_Membership_v2_with_derived_features.csv,.csv,13815967,2026-05-21T17:37:37,4a519991a247eeca3ab0becff5114e57d7a5efeb30ec99fde6ad127bd4f23fd2,csv
PUBLIC,PUBLIC\data\_archive\260520_raw_reference\260520_raw_reference_reason.md,260520_raw_reference_reason.md,.md,437,2026-05-21T17:37:37,caff8ebc4176d63949d21ce777c3ee8ca5d678c9a94bb4e326d513f928fc7e8d,md
PUBLIC,PUBLIC\handoff\PUBLIC_11_12_emergency_model_restructure_260520\PUBLIC_11_12_emergency_model_restructure_final_checks.csv,PUBLIC_11_12_emergency_model_restructure_final_checks.csv,.csv,3603,2026-05-21T17:37:37,9e0e750445aeebbe048c579051240de798ed1f208903d832f0a049069739bce0,csv
PUBLIC,PUBLIC\handoff\PUBLIC_11_12_emergency_model_restructure_260520\PUBLIC_11_12_emergency_model_restructure_zip_inventory.csv,PUBLIC_11_12_emergency_model_restructure_zip_inventory.csv,.csv,3373,2026-05-21T17:37:37,c67babbbe151ae7a08aac14cd30ecb37f4a24f7b53a89fc1a02808bb1109b32d,csv
PUBLIC,PUBLIC\handoff\PUBLIC_11_12_emergency_model_restructure_260520\PUBLIC_detected_model_result_candidates.csv,PUBLIC_detected_model_result_candidates.csv,.csv,2277,2026-05-21T17:37:37,3e14f9dbab0c292e10befc5e8be921478bbdccf562b0ec059a3ee255b5f164c7,csv
PUBLIC,PUBLIC\handoff\PUBLIC_11_12_emergency_model_restructure_260520\PUBLIC_inventory_before_11_12_restructure.csv,PUBLIC_inventory_before_11_12_restructure.csv,.csv,21357,2026-05-21T17:37:37,f37da051fed9ccdbb99079a92b6b8596935e55af15c8ffca39f7d22f6dd0bbc4,csv
PUBLIC,PUBLIC\handoff\PUBLIC_11_12_emergency_model_restructure_260520\README.md,README.md,.md,4839,2026-05-21T17:37:37,96c1f1bddfa3bf2d4f84975d77600dc95ba21d91a1ae5be5342554f687398623,md
PUBLIC,PUBLIC\handoff\PUBLIC_11_12_emergency_model_restructure_260520\run_public_11_12_restructure.py,run_public_11_12_restructure.py,.py,36381,2026-05-21T17:37:37,32a6cd8d6e969a9f1f7ef1bcd7186b44fdbceca36abdf8a1584e4ec28dbfd8a7,other
PUBLIC,PUBLIC\handoff\PUBLIC_12_four_model_comparison_review_260520\12_input_file_validation.csv,12_input_file_validation.csv,.csv,1070,2026-05-21T17:37:37,7e8804c2eb1e0670829ac218fb3cf430d37561a929c5116eb0249e9a0486dd90,csv
PUBLIC,PUBLIC\handoff\PUBLIC_12_four_model_comparison_review_260520\apply_high_auc_leakage_steering.py,apply_high_auc_leakage_steering.py,.py,33737,2026-05-21T17:37:37,1bb3bef7b7ebb74578a1f5fa0bc2f88440c3b63e71e5ac1074f28e0efbdcf73b,other
PUBLIC,PUBLIC\handoff\PUBLIC_12_four_model_comparison_review_260520\PUBLIC_12_four_model_comparison_review_final_checks.csv,PUBLIC_12_four_model_comparison_review_final_checks.csv,.csv,4626,2026-05-21T17:37:37,79ac0423392c24ee04dfa834fbe8cbe77c7bece1677d96bf6644bd81d6081d84,csv
PUBLIC,PUBLIC\handoff\PUBLIC_12_four_model_comparison_review_260520\PUBLIC_12_four_model_comparison_review_zip_inventory.csv,PUBLIC_12_four_model_comparison_review_zip_inventory.csv,.csv,1722,2026-05-21T17:37:37,b0cef404cacea5e0d0395728194761be61833658dfa6497c2d2ee9f5dad372fe,csv
PUBLIC,PUBLIC\handoff\PUBLIC_12_four_model_comparison_review_260520\README.md,README.md,.md,3930,2026-05-21T17:37:37,7014b49e7e798f437d0888aead2e354c5a37fedcafcf572cee3a12a768f544b4,md
PUBLIC,PUBLIC\handoff\PUBLIC_12_four_model_comparison_review_260520\run_public_12_four_model_comparison_review.py,run_public_12_four_model_comparison_review.py,.py,39395,2026-05-21T17:37:37,c1f8694f7378c79b46c14a1b211f01c0ce50050cbaf3e7a2de4923de66ee3397,other
PUBLIC,PUBLIC\handoff\PUBLIC_12_review_hotfix_user_confirmed_260520\PUBLIC_12_review_hotfix_user_confirmed_final_checks.csv,PUBLIC_12_review_hotfix_user_confirmed_final_checks.csv,.csv,4015,2026-05-21T17:37:37,220bf6303fc38afa1a9ef232ea689cb7b89c808dceeb71227ece2a7034c8d41f,csv
PUBLIC,PUBLIC\handoff\PUBLIC_12_review_hotfix_user_confirmed_260520\PUBLIC_12_review_hotfix_user_confirmed_zip_inventory.csv,PUBLIC_12_review_hotfix_user_confirmed_zip_inventory.csv,.csv,1271,2026-05-21T17:37:37,3eec6626bc44678ca5efccb51b646b1cc4ed10afe3d7c9833ee94de3983737ae,csv
PUBLIC,PUBLIC\handoff\PUBLIC_12_review_hotfix_user_confirmed_260520\README.md,README.md,.md,1280,2026-05-21T17:37:37,aa2ff4563201e1322b2284fb9aaa60e37434ccbdd7573a363c1cd484f04a6ca1,md
PUBLIC,PUBLIC\handoff\PUBLIC_12_review_hotfix_user_confirmed_patch_260520\PUBLIC_12_review_hotfix_user_confirmed_patch_final_checks.csv,PUBLIC_12_review_hotfix_user_confirmed_patch_final_checks.csv,.csv,2974,2026-05-21T17:37:37,0c144acc3a70445a1e40e3c8af5a7d0067b28ef2bfad4f4202bf57cf40e5e0cf,csv
PUBLIC,PUBLIC\handoff\PUBLIC_12_review_hotfix_user_confirmed_patch_260520\PUBLIC_12_review_hotfix_user_confirmed_patch_summary.md,PUBLIC_12_review_hotfix_user_confirmed_patch_summary.md,.md,2506,2026-05-21T17:37:37,0174c236f1cbb0e9dc784627d93932634ba2e75a81491853a88e3351a424a3a2,md
PUBLIC,PUBLIC\handoff\PUBLIC_12_review_hotfix_user_confirmed_patch_260520\PUBLIC_12_review_hotfix_user_confirmed_patch_zip_inventory.csv,PUBLIC_12_review_hotfix_user_confirmed_patch_zip_inventory.csv,.csv,1020,2026-05-21T17:37:37,2d1068fa49ebc8abe65d7726f0ec1efa7a3946efdc42cd5ed3f89ffdce9768b7,csv
PUBLIC,PUBLIC\handoff\PUBLIC_15_four_model_oof_score_generation_260520\15_oof_input_validation.csv,15_oof_input_validation.csv,.csv,2906,2026-05-21T17:37:37,b4b9e59026fe531060db45afc4873ea2faafa27a7406edf052293ff63b7e1a13,csv
PUBLIC,PUBLIC\handoff\PUBLIC_15_four_model_oof_score_generation_260520\15_source_fingerprint_before_after.csv,15_source_fingerprint_before_after.csv,.csv,4816,2026-05-21T17:37:37,86447bd5bb4a1bc05981796b99a6bbceac4c7e909986a58cefc200aa9d8ced94,csv
PUBLIC,PUBLIC\handoff\PUBLIC_15_four_model_oof_score_generation_260520\PUBLIC_15_four_model_oof_score_generation_final_checks.csv,PUBLIC_15_four_model_oof_score_generation_final_checks.csv,.csv,3787,2026-05-21T17:37:37,3a41ead6ea6d38dbb871cd9dd6862cbe4714af3965fe56ca8f4287ea940278d6,csv
PUBLIC,PUBLIC\handoff\PUBLIC_15_four_model_oof_score_generation_260520\PUBLIC_15_four_model_oof_score_generation_zip_inventory.csv,PUBLIC_15_four_model_oof_score_generation_zip_inventory.csv,.csv,2098,2026-05-21T17:37:37,ff9abc8738a6a17f76922fabdff0e86fdbc516c1699d6b5e4dd6ee3d8f4c460f,csv
PUBLIC,PUBLIC\handoff\PUBLIC_15_four_model_oof_score_generation_260520\README.md,README.md,.md,2378,2026-05-21T17:37:37,d0a8a0d4351af993473c900af933fd6da36a8e262efb6b3ebf89120c313016c3,md
PUBLIC,PUBLIC\handoff\PUBLIC_15_oof_score_hotfix_260520\15_existing_oof_artifact_validation.csv,15_existing_oof_artifact_validation.csv,.csv,4324,2026-05-21T17:37:37,974434de5861c04c68f60b06550106bc8cf6b6249a155c039cd9738500e240d2,csv
PUBLIC,PUBLIC\handoff\PUBLIC_15_oof_score_hotfix_260520\15_existing_oof_inventory_before_hotfix.csv,15_existing_oof_inventory_before_hotfix.csv,.csv,2495,2026-05-21T17:37:37,28d78af157036bfebe8cc6c3ba23637be626126eb0b3e731132f79a994229bb1,csv
PUBLIC,PUBLIC\handoff\PUBLIC_15_oof_score_hotfix_260520\15_oof_hotfix_input_validation.csv,15_oof_hotfix_input_validation.csv,.csv,3092,2026-05-21T17:37:37,394d734d745ef8aa689687fe778ade0145d370dfa3c3c5dfdfe86d42f6b6e53e,csv
PUBLIC,PUBLIC\handoff\PUBLIC_15_oof_score_hotfix_260520\15_source_fingerprint_before_after.csv,15_source_fingerprint_before_after.csv,.csv,9173,2026-05-21T17:37:37,273674e8f7aaa7aa5252549b8a4669905db1d09a68538c93a6e00e0b29a89b48,csv
PUBLIC,PUBLIC\handoff\PUBLIC_15_oof_score_hotfix_260520\__pycache__\public_15_oof_hotfix_runner.cpython-310.pyc,public_15_oof_hotfix_runner.cpython-310.pyc,.pyc,45249,2026-05-21T17:37:37,12b871597fbe54ba2cfd28e50b4d16776e7fe8095adb784bc4873818e39a3c67,other
PUBLIC,PUBLIC\handoff\PUBLIC_15_oof_score_hotfix_260520\public_15_oof_hotfix_runner.py,public_15_oof_hotfix_runner.py,.py,63094,2026-05-21T17:37:37,d9d11ac4910a1d46eb0871ae6c5f8ad8f6cd13b5bb356834492615724ac9d42e,other
PUBLIC,PUBLIC\handoff\PUBLIC_15_oof_score_hotfix_260520\PUBLIC_15_oof_score_hotfix_final_checks.csv,PUBLIC_15_oof_score_hotfix_final_checks.csv,.csv,5580,2026-05-21T17:37:37,3ca4e109df4b779c7a1779f60c81dce3037c77568fce0da0f09e2c40d7986c35,csv
PUBLIC,PUBLIC\handoff\PUBLIC_15_oof_score_hotfix_260520\PUBLIC_15_oof_score_hotfix_zip_inventory.csv,PUBLIC_15_oof_score_hotfix_zip_inventory.csv,.csv,2379,2026-05-21T17:37:37,8e5057efe9b5c8a2f7fc275f9e2727b529f5af69b965d22cd1d27231b5f1292e,csv
PUBLIC,PUBLIC\handoff\PUBLIC_15_oof_score_hotfix_260520\README.md,README.md,.md,4052,2026-05-21T17:37:37,45b5e3d3ba586db465030f84899bb4f25a0238ccfe8cd4033342265adb2cdc6f,md
PUBLIC,PUBLIC\handoff\PUBLIC_16_four_model_SHAP_candidate_interpretation_260520\16_shap_environment_check.csv,16_shap_environment_check.csv,.csv,284,2026-05-21T17:37:37,434b858f7b40471ab7f193df49e763e3a415f04f32c7bd989cd9d4e8dac75ba9,csv
PUBLIC,PUBLIC\handoff\PUBLIC_16_four_model_SHAP_candidate_interpretation_260520\16_shap_input_validation.csv,16_shap_input_validation.csv,.csv,4994,2026-05-21T17:37:37,2b40f85a4ac2159006663901e009828442ee3d73a6adaab6c4584381975a3abb,csv
PUBLIC,PUBLIC\handoff\PUBLIC_16_four_model_SHAP_candidate_interpretation_260520\16_source_fingerprint_before_after.csv,16_source_fingerprint_before_after.csv,.csv,5199,2026-05-21T17:37:37,6227f2d167a18f8104e8e634ee44a13922984c09ba1aef80113ec2911dd69526,csv
PUBLIC,PUBLIC\handoff\PUBLIC_16_four_model_SHAP_candidate_interpretation_260520\__pycache__\public_16_shap_candidate_interpretation_runner.cpython-310.pyc,public_16_shap_candidate_interpretation_runner.cpython-310.pyc,.pyc,47454,2026-05-21T17:37:37,88eff5376fcfe7f770be1a87ec3c0e790b2f0966914323eb67108d0ead9eb4e2,other
PUBLIC,PUBLIC\handoff\PUBLIC_16_four_model_SHAP_candidate_interpretation_260520\PUBLIC_16_four_model_SHAP_candidate_interpretation_final_checks.csv,PUBLIC_16_four_model_SHAP_candidate_interpretation_final_checks.csv,.csv,5081,2026-05-21T17:37:37,2275dc8aaf510e3b917b2620fc305ecd9c8c931c8c1e0c281c7d3c971d00ecc2,csv
PUBLIC,PUBLIC\handoff\PUBLIC_16_four_model_SHAP_candidate_interpretation_260520\PUBLIC_16_four_model_SHAP_candidate_interpretation_zip_inventory.csv,PUBLIC_16_four_model_SHAP_candidate_interpretation_zip_inventory.csv,.csv,3427,2026-05-21T17:37:37,dd5a0ecf41924bac09ea00ba6c90754242ca04a738670ad6ada91da6d9cd7fa6,csv
PUBLIC,PUBLIC\handoff\PUBLIC_16_four_model_SHAP_candidate_interpretation_260520\public_16_shap_candidate_interpretation_runner.py,public_16_shap_candidate_interpretation_runner.py,.py,76127,2026-05-21T17:37:37,02dcb1fb12bc0cef0cc3f2205ef4a8e2231b05fafd676ec240e7ee53c0470786,other
PUBLIC,PUBLIC\handoff\PUBLIC_16_four_model_SHAP_candidate_interpretation_260520\README.md,README.md,.md,1806,2026-05-21T17:37:37,4ad9ec96ba481e059822baa55abcf3f2e13376befa43fababe6d2f6857344bc5,md
PUBLIC,PUBLIC\handoff\PUBLIC_16b_feature_family_mapping_hotfix_260520\16b_input_validation.csv,16b_input_validation.csv,.csv,1981,2026-05-21T17:37:37,2df8c3f6d109ffece05432f14049f8464870a631ae7c3316453f4df205c86364,csv
PUBLIC,PUBLIC\handoff\PUBLIC_16b_feature_family_mapping_hotfix_260520\16b_source_fingerprint_before_after.csv,16b_source_fingerprint_before_after.csv,.csv,8076,2026-05-21T17:37:37,293e5e178b20b1ad2e0db9906d254ca23be7a42fc709ddd20ce6d30eeb9b3a65,csv
PUBLIC,PUBLIC\handoff\PUBLIC_16b_feature_family_mapping_hotfix_260520\__pycache__\public_16b_feature_family_mapping_hotfix_runner.cpython-310.pyc,public_16b_feature_family_mapping_hotfix_runner.cpython-310.pyc,.pyc,37204,2026-05-21T17:37:37,966a417b9bd4e5bc77ed8cce8f7be5b347ee81da8d1b12fb7b11882acfc6729c,other
PUBLIC,PUBLIC\handoff\PUBLIC_16b_feature_family_mapping_hotfix_260520\PUBLIC_16b_feature_family_mapping_hotfix_final_checks.csv,PUBLIC_16b_feature_family_mapping_hotfix_final_checks.csv,.csv,4902,2026-05-21T17:37:37,37a93d5d2abbf5c739d068376cd90449517e1e14862c6ebae87d3482ffa39061,csv
PUBLIC,PUBLIC\handoff\PUBLIC_16b_feature_family_mapping_hotfix_260520\public_16b_feature_family_mapping_hotfix_runner.py,public_16b_feature_family_mapping_hotfix_runner.py,.py,52802,2026-05-21T17:37:37,a3efefd899517bc7acc796d07cc462bc2ef4ec85ab3f2acb6866e6e8d5e99637,other
PUBLIC,PUBLIC\handoff\PUBLIC_16b_feature_family_mapping_hotfix_260520\PUBLIC_16b_feature_family_mapping_hotfix_zip_inventory.csv,PUBLIC_16b_feature_family_mapping_hotfix_zip_inventory.csv,.csv,2205,2026-05-21T17:37:37,7801a96b01c222ac2069f389f6a47c7abec1ba1472a6c9b400d81a9c01440a87,csv
PUBLIC,PUBLIC\handoff\PUBLIC_16b_feature_family_mapping_hotfix_260520\README.md,README.md,.md,1666,2026-05-21T17:37:37,95bd7a719ba0ab9d011514987bd29f673456d0ceea9add574c6821e9cadc55c1,md
PUBLIC,PUBLIC\handoff\PUBLIC_16b_feature_family_mapping_hotfix_acceptance_patch_260520\16b_acceptance_input_validation.csv,16b_acceptance_input_validation.csv,.csv,2884,2026-05-21T17:37:37,792e15a9552dcf15f5bdf75558127aa91657e97cda918fbdabb7b0e5ae4477c7,csv
PUBLIC,PUBLIC\handoff\PUBLIC_16b_feature_family_mapping_hotfix_acceptance_patch_260520\16b_final_acceptance_memo.md,16b_final_acceptance_memo.md,.md,3651,2026-05-21T17:37:37,9bdffceba7afa8cee36c055ca2de51987b7ceb72595be60cf19da06d71311c88,md
PUBLIC,PUBLIC\handoff\PUBLIC_16b_feature_family_mapping_hotfix_acceptance_patch_260520\16b_mapping_acceptance_summary.csv,16b_mapping_acceptance_summary.csv,.csv,3083,2026-05-21T17:37:37,4168f1549606fa3d94671dc8d73458a30fc5b47ca372eac035cd7a6aba0582b9,csv
PUBLIC,PUBLIC\handoff\PUBLIC_16b_feature_family_mapping_hotfix_acceptance_patch_260520\16b_source_fingerprint_status_interpretation.csv,16b_source_fingerprint_status_interpretation.csv,.csv,1743,2026-05-21T17:37:37,ffe0962cdc0801d178d386215b0424b014113d87f33e5fa21d7eb54e76df8ba8,csv
PUBLIC,PUBLIC\handoff\PUBLIC_16b_feature_family_mapping_hotfix_acceptance_patch_260520\PUBLIC_16b_feature_family_mapping_hotfix_acceptance_patch_final_checks.csv,PUBLIC_16b_feature_family_mapping_hotfix_acceptance_patch_final_checks.csv,.csv,2662,2026-05-21T17:37:37,d41fdcf70c0f53bd5bcff3ddc22c7c39d522f78ce03231a0f70524db82e139fe,csv
PUBLIC,PUBLIC\handoff\PUBLIC_16b_feature_family_mapping_hotfix_acceptance_patch_260520\PUBLIC_16b_feature_family_mapping_hotfix_acceptance_patch_zip_inventory.csv,PUBLIC_16b_feature_family_mapping_hotfix_acceptance_patch_zip_inventory.csv,.csv,650,2026-05-21T17:37:37,d897039bc361e96b5da7d12ab82f6b80ffeae4fc661c2e23f957d92b61931f7a,csv
PUBLIC,PUBLIC\handoff\PUBLIC_17_demographic_action_layer_hotfix_260520\17_demographic_action_layer_hotfix_helper.py,17_demographic_action_layer_hotfix_helper.py,.py,70563,2026-05-21T17:37:37,e196f9b42d5d590f2c7a8d756291fdde993b645d2a32603e74c605385f7ee106,other
PUBLIC,PUBLIC\handoff\PUBLIC_17_demographic_action_layer_hotfix_260520\17_demographic_action_layer_quality_helper.py,17_demographic_action_layer_quality_helper.py,.py,50593,2026-05-21T17:37:37,3f9b94af393d32a1e4a070403a9a7d23e37f0cbede812cd918260ab469e66aaa,other
PUBLIC,PUBLIC\handoff\PUBLIC_17_demographic_action_layer_hotfix_260520\17_demographic_hotfix_input_validation.csv,17_demographic_hotfix_input_validation.csv,.csv,2470,2026-05-21T17:37:37,2472c97c5f8807bc15fe0adb2312fdf8cd3cb9d192fb198f30885f0d28c9b641,csv
PUBLIC,PUBLIC\handoff\PUBLIC_17_demographic_action_layer_hotfix_260520\17_demographic_hotfix_source_fingerprint_before_after.csv,17_demographic_hotfix_source_fingerprint_before_after.csv,.csv,6419,2026-05-21T17:37:37,ab5a733586e44c22f736cde64aad90c552c9ddfea368d3fd818f5339d95a52b3,csv
PUBLIC,PUBLIC\handoff\PUBLIC_17_demographic_action_layer_hotfix_260520\__pycache__\17_demographic_action_layer_hotfix_helper.cpython-310.pyc,17_demographic_action_layer_hotfix_helper.cpython-310.pyc,.pyc,48256,2026-05-21T17:37:37,14c1a53c40a5b792bc3e8d21412cef0ec49eff5aff1f8cb1982e472a49e544e5,other
PUBLIC,PUBLIC\handoff\PUBLIC_17_demographic_action_layer_hotfix_260520\__pycache__\17_demographic_action_layer_quality_helper.cpython-310.pyc,17_demographic_action_layer_quality_helper.cpython-310.pyc,.pyc,40070,2026-05-21T17:37:37,e5e113148dfb5b56d8b55877eefb145fc1c71962f752f921c40986cdc7ad78fe,other
PUBLIC,PUBLIC\handoff\PUBLIC_17_demographic_action_layer_hotfix_260520\PUBLIC_17_demographic_action_layer_hotfix_final_checks.csv,PUBLIC_17_demographic_action_layer_hotfix_final_checks.csv,.csv,1851,2026-05-21T17:37:37,7ccbd107ede6dc7b7298faa1e1e79b8b28047b09a8e578a12f8a3f33921b1981,csv
PUBLIC,PUBLIC\handoff\PUBLIC_17_demographic_action_layer_hotfix_260520\PUBLIC_17_demographic_action_layer_hotfix_zip_inventory.csv,PUBLIC_17_demographic_action_layer_hotfix_zip_inventory.csv,.csv,1251,2026-05-21T17:37:37,ce427a15cb4c937a3d4af30e1cf208449ef973f2d93da3ca07881a3b9a23d1ae,csv
PUBLIC,PUBLIC\handoff\PUBLIC_17_demographic_action_layer_hotfix_260520\README.md,README.md,.md,907,2026-05-21T17:37:37,1133de66ac5686c7ad12b9fe473ca3ea7bad8fccbf7734defee70ea473fcd0e0,md
PUBLIC,PUBLIC\handoff\PUBLIC_17_promo_scope_oof_behavior_segmentation_260520\17_input_validation.csv,17_input_validation.csv,.csv,4151,2026-05-21T17:37:37,f9ea0b6d23ac4c62ebe4e32a3664db30e1fe99ffabe1da796eaf0654c8e85ccc,csv
PUBLIC,PUBLIC\handoff\PUBLIC_17_promo_scope_oof_behavior_segmentation_260520\17_source_fingerprint_before_after.csv,17_source_fingerprint_before_after.csv,.csv,12649,2026-05-21T17:37:37,db91c2256f67e1c983f2534a5de0deddbca4a7510ceb744368ff6daae729cfb0,csv
PUBLIC,PUBLIC\handoff\PUBLIC_17_promo_scope_oof_behavior_segmentation_260520\__pycache__\public_17_segmentation_design_runner.cpython-310.pyc,public_17_segmentation_design_runner.cpython-310.pyc,.pyc,63416,2026-05-21T17:37:37,0f2a93ba102c85395b87aa545db13501c29c9ddaf73691e6ecd510943a59156a,other
PUBLIC,PUBLIC\handoff\PUBLIC_17_promo_scope_oof_behavior_segmentation_260520\PUBLIC_17_promo_scope_oof_behavior_segmentation_final_checks.csv,PUBLIC_17_promo_scope_oof_behavior_segmentation_final_checks.csv,.csv,6312,2026-05-21T17:37:37,55b5baa7b29ec578f5b04a4f7fd88cd10384fbeade12a258a4064e6bd305a8aa,csv
PUBLIC,PUBLIC\handoff\PUBLIC_17_promo_scope_oof_behavior_segmentation_260520\PUBLIC_17_promo_scope_oof_behavior_segmentation_zip_inventory.csv,PUBLIC_17_promo_scope_oof_behavior_segmentation_zip_inventory.csv,.csv,3181,2026-05-21T17:37:37,fa5f372a99d587fd7e3414f0a81c850d35ff82de6835dc4046472b91f379819f,csv
PUBLIC,PUBLIC\handoff\PUBLIC_17_promo_scope_oof_behavior_segmentation_260520\public_17_segmentation_design_runner.py,public_17_segmentation_design_runner.py,.py,87403,2026-05-21T17:37:37,2c03cc7849641d7f59e6f0d4cee772670ae8e9aa4799579f5d46fe78380c07d3,other
PUBLIC,PUBLIC\handoff\PUBLIC_17_promo_scope_oof_behavior_segmentation_260520\README.md,README.md,.md,1289,2026-05-21T17:37:37,d7d1ca15216601076c51ca8cfcb96359bfe7bb2a2fe7370abdc0bacec4bb6b58,md
PUBLIC,PUBLIC\handoff\PUBLIC_17_segmentation_quality_hotfix_260520\17_quality_hotfix_input_validation.csv,17_quality_hotfix_input_validation.csv,.csv,5714,2026-05-21T17:37:37,71df124fe2fa60bc34ff1f7339130cc15ab744f9534aa78b6f4c375db8fad2df,csv
PUBLIC,PUBLIC\handoff\PUBLIC_17_segmentation_quality_hotfix_260520\17_quality_hotfix_source_fingerprint_before_after.csv,17_quality_hotfix_source_fingerprint_before_after.csv,.csv,14065,2026-05-21T17:37:37,f869f00009704be23892e3e08ab1fa32e919c542a20cb86b9ab68eda2be0100e,csv
PUBLIC,PUBLIC\handoff\PUBLIC_17_segmentation_quality_hotfix_260520\__pycache__\quality_hotfix_helper.cpython-310.pyc,quality_hotfix_helper.cpython-310.pyc,.pyc,61724,2026-05-21T17:37:37,a465f696f9f370b3677c7ebe6c17d36c71c0891bfb2d94a0c1a5bddf3a6f7382,other
PUBLIC,PUBLIC\handoff\PUBLIC_17_segmentation_quality_hotfix_260520\PUBLIC_17_segmentation_quality_hotfix_final_checks.csv,PUBLIC_17_segmentation_quality_hotfix_final_checks.csv,.csv,2616,2026-05-21T17:37:37,2f34300c2c16b86608fb00a66c26ba1c40dcd6aeb7cd93eaf63f863b653a9612,csv
PUBLIC,PUBLIC\handoff\PUBLIC_17_segmentation_quality_hotfix_260520\PUBLIC_17_segmentation_quality_hotfix_zip_inventory.csv,PUBLIC_17_segmentation_quality_hotfix_zip_inventory.csv,.csv,1228,2026-05-21T17:37:37,b02dad6a5de3381186c4fd97a2813caa7c5402a54c147842353a3fa9b0e66c11,csv
PUBLIC,PUBLIC\handoff\PUBLIC_17_segmentation_quality_hotfix_260520\quality_hotfix_helper.py,quality_hotfix_helper.py,.py,78383,2026-05-21T17:37:37,28d5f009a814276a5d289fc08b541b69baae1582a901e7f12a9006bd150b2265,other
PUBLIC,PUBLIC\handoff\PUBLIC_17_segmentation_quality_hotfix_260520\README.md,README.md,.md,1647,2026-05-21T17:37:37,67d4197c396d8dcfafe59267b2746361f464b88b34d3923430359d2e0f1578bf,md
PUBLIC,PUBLIC\handoff\PUBLIC_17_segmentation_semantic_hotfix_260520\17_hotfix_input_validation.csv,17_hotfix_input_validation.csv,.csv,4458,2026-05-21T17:37:37,1fc50636253fd00273a9e8d9721b119b95168a42d52e20b27e57390f5fac2e75,csv
PUBLIC,PUBLIC\handoff\PUBLIC_17_segmentation_semantic_hotfix_260520\17_hotfix_source_fingerprint_before_after.csv,17_hotfix_source_fingerprint_before_after.csv,.csv,13499,2026-05-21T17:37:37,c129a9c0f83643ca0699bbbf7a64b73b17d408ee873ccd2b3a58208b6b9daa44,csv
