feature_name,in_park,in_PUBLIC,overlap_status
w1_3_avg_watch_time_per_session,True,False,park_only
w1_3_content_has_watch_obs,True,False,park_only
w1_3_first_watch_rel_day,True,False,park_only
w1_3_genre_covered_watch_ratio,True,False,park_only
w1_3_genre_covered_watch_time,True,False,park_only
w1_3_genre_entropy,True,False,park_only
w1_3_genre_missing_watch_ratio,True,False,park_only
w1_3_genre_missing_watch_time,True,False,park_only
w1_3_genre_ratio_action_adventure,True,False,park_only
w1_3_genre_ratio_animation_family,True,False,park_only
w1_3_genre_ratio_comedy,True,False,park_only
w1_3_genre_ratio_documentary,True,False,park_only
w1_3_genre_ratio_drama,True,False,park_only
w1_3_genre_ratio_historical_war,True,False,park_only
w1_3_genre_ratio_horror,True,False,park_only
w1_3_genre_ratio_other,True,False,park_only
w1_3_genre_ratio_romance,True,False,park_only
w1_3_genre_ratio_sf_fantasy,True,False,park_only
w1_3_genre_ratio_thriller_crime,True,False,park_only
w1_3_genre_session_count_action_adventure,True,False,park_only
w1_3_genre_session_count_animation_family,True,False,park_only
w1_3_genre_session_count_comedy,True,False,park_only
w1_3_genre_session_count_documentary,True,False,park_only
w1_3_genre_session_count_drama,True,False,park_only
w1_3_genre_session_count_historical_war,True,False,park_only
w1_3_genre_session_count_horror,True,False,park_only
w1_3_genre_session_count_other,True,False,park_only
w1_3_genre_session_count_romance,True,False,park_only
w1_3_genre_session_count_sf_fantasy,True,False,park_only
w1_3_genre_session_count_thriller_crime,True,False,park_only
w1_3_genre_unique_count,True,False,park_only
w1_3_genre_watch_time_action_adventure,True,False,park_only
w1_3_genre_watch_time_animation_family,True,False,park_only
w1_3_genre_watch_time_comedy,True,False,park_only
w1_3_genre_watch_time_documentary,True,False,park_only
w1_3_genre_watch_time_drama,True,False,park_only
w1_3_genre_watch_time_historical_war,True,False,park_only
w1_3_genre_watch_time_horror,True,False,park_only
w1_3_genre_watch_time_other,True,False,park_only
w1_3_genre_watch_time_romance,True,False,park_only
w1_3_genre_watch_time_sf_fantasy,True,False,park_only
w1_3_genre_watch_time_thriller_crime,True,False,park_only
w1_3_has_watch_obs,True,False,park_only
w1_3_last_watch_rel_day,True,False,park_only
w1_3_max_daily_watch_time,True,False,park_only
w1_3_max_day_share,True,False,park_only
w1_3_no_watch_obs_flag,True,False,park_only
w1_3_old_content_watch_ratio,True,False,park_only
w1_3_one_minute_watch_count,True,False,park_only
w1_3_recent_content_watch_ratio,True,False,park_only
w1_3_release_month_covered_watch_ratio,True,False,park_only
w1_3_sessions_per_active_day,True,False,park_only
w1_3_short_watch_count_le5,True,False,park_only
w1_3_short_watch_time_le5,True,False,park_only
w1_3_top_genre,True,False,park_only
w1_3_top_genre_watch_ratio,True,False,park_only
w1_3_top_genre_watch_time,True,False,park_only
w1_3_total_sessions,True,False,park_only
w1_3_total_watch_time,True,False,park_only
w1_3_unique_contents,True,False,park_only
w1_3_unique_watch_days,True,False,park_only
w1_3_w2_minus_w1_watch_time,True,False,park_only
w1_3_w3_minus_w1_watch_time,True,False,park_only
w1_3_w3_minus_w2_watch_time,True,False,park_only
w1_3_week1_ratio,True,False,park_only
w1_3_week1_sessions,True,False,park_only
w1_3_week1_watch_time,True,False,park_only
w1_3_week2_ratio,True,False,park_only
w1_3_week2_sessions,True,False,park_only
w1_3_week2_watch_time,True,False,park_only
w1_3_week3_ratio,True,False,park_only
w1_3_week3_sessions,True,False,park_only
w1_3_week3_watch_time,True,False,park_only
w1_4_active_span_days,True,False,park_only
w1_4_avg_ott_release_month_weighted,True,False,park_only
w1_4_avg_watch_time_per_session,True,False,park_only
w1_4_content_has_watch_obs,True,False,park_only
w1_4_first_watch_rel_day,True,False,park_only
w1_4_genre_covered_watch_ratio,True,False,park_only
w1_4_genre_covered_watch_time,True,False,park_only
w1_4_genre_entropy,True,False,park_only
w1_4_genre_missing_watch_ratio,True,False,park_only
w1_4_genre_missing_watch_time,True,False,park_only
w1_4_genre_ratio_action_adventure,True,False,park_only
w1_4_genre_ratio_animation_family,True,False,park_only
w1_4_genre_ratio_comedy,True,False,park_only
w1_4_genre_ratio_documentary,True,False,park_only
w1_4_genre_ratio_drama,True,False,park_only
w1_4_genre_ratio_historical_war,True,False,park_only
w1_4_genre_ratio_horror,True,False,park_only
w1_4_genre_ratio_other,True,False,park_only
w1_4_genre_ratio_romance,True,False,park_only
w1_4_genre_ratio_sf_fantasy,True,False,park_only
w1_4_genre_ratio_thriller_crime,True,False,park_only
w1_4_genre_session_count_action_adventure,True,False,park_only
w1_4_genre_session_count_animation_family,True,False,park_only
w1_4_genre_session_count_comedy,True,False,park_only
w1_4_genre_session_count_documentary,True,False,park_only
w1_4_genre_session_count_drama,True,False,park_only
w1_4_genre_session_count_historical_war,True,False,park_only
w1_4_genre_session_count_horror,True,False,park_only
w1_4_genre_session_count_other,True,False,park_only
w1_4_genre_session_count_romance,True,False,park_only
w1_4_genre_session_count_sf_fantasy,True,False,park_only
w1_4_genre_session_count_thriller_crime,True,False,park_only
w1_4_genre_unique_count,True,False,park_only
w1_4_genre_watch_time_action_adventure,True,False,park_only
w1_4_genre_watch_time_animation_family,True,False,park_only
w1_4_genre_watch_time_comedy,True,False,park_only
w1_4_genre_watch_time_documentary,True,False,park_only
w1_4_genre_watch_time_drama,True,False,park_only
w1_4_genre_watch_time_historical_war,True,False,park_only
w1_4_genre_watch_time_horror,True,False,park_only
w1_4_genre_watch_time_other,True,False,park_only
w1_4_genre_watch_time_romance,True,False,park_only
w1_4_genre_watch_time_sf_fantasy,True,False,park_only
w1_4_genre_watch_time_thriller_crime,True,False,park_only
w1_4_has_watch_obs,True,False,park_only
w1_4_last_watch_rel_day,True,False,park_only
w1_4_max_daily_watch_time,True,False,park_only
w1_4_max_day_share,True,False,park_only
w1_4_no_watch_obs_flag,True,False,park_only
w1_4_old_content_watch_ratio,True,False,park_only
w1_4_one_minute_watch_count,True,False,park_only
w1_4_recent_content_watch_ratio,True,False,park_only
w1_4_release_month_covered_watch_ratio,True,False,park_only
w1_4_sessions_per_active_day,True,False,park_only
w1_4_short_watch_count_le5,True,False,park_only
w1_4_short_watch_time_le5,True,False,park_only
w1_4_top_genre,True,False,park_only
w1_4_top_genre_watch_ratio,True,False,park_only
w1_4_top_genre_watch_time,True,False,park_only
w1_4_total_sessions,True,False,park_only
w1_4_total_watch_time,True,False,park_only
w1_4_unique_contents,True,False,park_only
w1_4_unique_watch_days,True,False,park_only
w1_4_w2_minus_w1_watch_time,True,False,park_only
w1_4_w3_minus_w1_watch_time,True,False,park_only
w1_4_w3_minus_w2_watch_time,True,False,park_only
w1_4_w4_minus_w1_watch_time,True,False,park_only
w1_4_w4_minus_w3_watch_time,True,False,park_only
w1_4_week1_ratio,True,False,park_only
w1_4_week1_sessions,True,False,park_only
w1_4_week1_watch_time,True,False,park_only
w1_4_week2_ratio,True,False,park_only
w1_4_week2_sessions,True,False,park_only
w1_4_week2_watch_time,True,False,park_only
w1_4_week3_ratio,True,False,park_only
w1_4_week3_sessions,True,False,park_only
w1_4_week3_watch_time,True,False,park_only
w1_4_week4_ratio,True,False,park_only
w1_4_week4_sessions,True,False,park_only
w1_4_week4_watch_time,True,False,park_only
w3_minus_w1_watch_time,True,False,park_only
watch_date,True,False,park_only
watch_day,True,False,park_only
watch_days,True,True,both
watch_days_ratio,True,False,park_only
watch_per_day,True,True,both
watch_ratio_under_1m,True,True,both
watch_ratio_under_5m,True,True,both
watch_session_w1,True,True,both
watch_session_w2,True,True,both
watch_session_w3,True,True,both
watch_time(min)_w1,True,False,park_only
watch_time(min)_w2,True,False,park_only
watch_time(min)_w3,True,False,park_only
watch_time_min_w1,True,True,both
watch_time_min_w2,True,True,both
watch_time_min_w3,True,True,both
week1_ratio,True,False,park_only
week3_ratio,True,False,park_only
weekend_watch_ratio,True,True,both
without_product_code_by_default,True,False,park_only
without_watch_presence_shortcut_by_default,True,False,park_only
