zip_path,zip_member,compressed_size,file_size,modified_time
park.ingyeom\zip\merge_feasibility_park_public_260521_review_package.zip,18_catboost_rerun_missing_note_audit.csv,see_zip_central_directory,275080,2026-05-21T21:02:47
park.ingyeom\zip\merge_feasibility_park_public_260521_review_package.zip,19_score_source_comparison.csv,see_zip_central_directory,33604,2026-05-21T21:02:47
park.ingyeom\zip\merge_feasibility_park_public_260521_review_package.zip,20_oof_score_source_comparison.csv,see_zip_central_directory,9712,2026-05-21T21:02:49
park.ingyeom\zip\merge_feasibility_park_public_260521_review_package.zip,21_churn_risk_score_direction_check.csv,see_zip_central_directory,5069,2026-05-21T21:02:50
park.ingyeom\zip\merge_feasibility_park_public_260521_review_package.zip,22_shap_inventory_park.csv,see_zip_central_directory,39494,2026-05-21T21:02:50
park.ingyeom\zip\merge_feasibility_park_public_260521_review_package.zip,23_shap_inventory_PUBLIC.csv,see_zip_central_directory,15554,2026-05-21T21:02:51
park.ingyeom\zip\merge_feasibility_park_public_260521_review_package.zip,24_shap_family_comparison_available_fields.csv,see_zip_central_directory,14242,2026-05-21T21:02:51
park.ingyeom\zip\merge_feasibility_park_public_260521_review_package.zip,25_segment_rule_inventory_park.csv,see_zip_central_directory,8407,2026-05-21T21:02:51
park.ingyeom\zip\merge_feasibility_park_public_260521_review_package.zip,26_segment_rule_inventory_PUBLIC.csv,see_zip_central_directory,10960,2026-05-21T21:02:52
park.ingyeom\zip\merge_feasibility_park_public_260521_review_package.zip,27_segment_assignment_summary_comparison.csv,see_zip_central_directory,12571,2026-05-21T21:02:52
park.ingyeom\zip\merge_feasibility_park_public_260521_review_package.zip,28_segment_merge_candidate_table.csv,see_zip_central_directory,2971,2026-05-21T21:02:52
park.ingyeom\zip\merge_feasibility_park_public_260521_review_package.zip,29_AARRR_storyline_inventory_park.csv,see_zip_central_directory,22839,2026-05-21T21:02:52
park.ingyeom\zip\merge_feasibility_park_public_260521_review_package.zip,30_AARRR_storyline_inventory_PUBLIC.csv,see_zip_central_directory,13451,2026-05-21T21:02:52
park.ingyeom\zip\merge_feasibility_park_public_260521_review_package.zip,31_business_storyline_merge_candidate_table.csv,see_zip_central_directory,1123,2026-05-21T21:02:52
park.ingyeom\zip\merge_feasibility_park_public_260521_review_package.zip,32_merge_feasibility_decision_table.csv,see_zip_central_directory,2018,2026-05-21T21:02:52
park.ingyeom\zip\merge_feasibility_park_public_260521_review_package.zip,33_recommended_merge_strategy.md,see_zip_central_directory,1415,2026-05-21T21:02:52
park.ingyeom\zip\merge_feasibility_park_public_260521_review_package.zip,34_open_questions_for_user.md,see_zip_central_directory,785,2026-05-21T21:02:52
park.ingyeom\zip\merge_feasibility_park_public_260521_review_package.zip,35_final_checks.csv,see_zip_central_directory,779,2026-05-21T21:02:53
park.ingyeom\zip\merge_feasibility_park_public_260521_review_package.zip,36_source_fingerprint_before_after.csv,see_zip_central_directory,78473,2026-05-21T21:02:53
park.ingyeom\zip\merge_feasibility_park_public_260521_review_package.zip,37_review_zip_inventory.csv,see_zip_central_directory,5211,2026-05-21T21:02:53
park.ingyeom\zip\merge_feasibility_park_public_260521_review_package.zip,README.md,see_zip_central_directory,2843,2026-05-21T21:02:52
