side,relative_path,is_promotion_value,row_count
park,park.ingyeom\_archive\handoff\handoff_260515\new_chat_handoff_20260515_000508\canonical_outputs\06_common_preprocessing_and_final_cohort_260513\06_primary_main_cohort_conservative_features.csv,1,11904
park,park.ingyeom\_archive\handoff\handoff_260515\new_chat_handoff_20260515_000508\canonical_outputs\06_common_preprocessing_and_final_cohort_260513\06_primary_main_cohort_conservative_features.csv,0,11175
park,park.ingyeom\_archive\handoff\handoff_260515\new_chat_handoff_20260515_000956\canonical_outputs\06_common_preprocessing_and_final_cohort_260513\06_primary_main_cohort_conservative_features.csv,1,11904
park,park.ingyeom\_archive\handoff\handoff_260515\new_chat_handoff_20260515_000956\canonical_outputs\06_common_preprocessing_and_final_cohort_260513\06_primary_main_cohort_conservative_features.csv,0,11175
park,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv,1,11904
park,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv,0,11175
park,park.ingyeom\reports\audits\html_claim_validation_core_sources_20260518_212100\park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv,1,11904
park,park.ingyeom\reports\audits\html_claim_validation_core_sources_20260518_212100\park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv,0,11175
park,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_representative_segment_assignment.csv,1,11904
park,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_representative_segment_assignment.csv,0,11175
park,park.ingyeom\reports\audits\html_claim_validation_core_sources_20260518_212100\park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_representative_segment_assignment.csv,1,11904
park,park.ingyeom\reports\audits\html_claim_validation_core_sources_20260518_212100\park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_representative_segment_assignment.csv,0,11175
PUBLIC,PUBLIC\results\_06x_dataset_generation_260515\06x_expanded_dataset.csv,1,11904
PUBLIC,PUBLIC\results\_06x_dataset_generation_260515\06x_expanded_dataset.csv,0,11193
PUBLIC,PUBLIC\results\_06y_promo_split_260520\06y_expanded_dataset_promo_0.csv,0,11193
PUBLIC,PUBLIC\results\_06y_promo_split_260520\06y_expanded_dataset_promo_1.csv,1,11904
PUBLIC,PUBLIC\data\06_model_input_promo_0.csv,0,11193
PUBLIC,PUBLIC\data\06_model_input_promo_1.csv,1,11904
PUBLIC,PUBLIC\results\15_oof_score_or_sensitivity_260520\four_model_oof_scores_hotfix_260520\15_oof_score_wide_promo0.csv,inferred_promo0_from_filename,11193
PUBLIC,PUBLIC\results\15_oof_score_or_sensitivity_260520\four_model_oof_scores\15_oof_score_wide_promo0.csv,inferred_promo0_from_filename,11193
PUBLIC,PUBLIC\results\15_oof_score_or_sensitivity_260520\four_model_oof_scores_hotfix_260520\15_oof_score_wide_promo1.csv,inferred_promo1_from_filename,11904
PUBLIC,PUBLIC\results\15_oof_score_or_sensitivity_260520\four_model_oof_scores\15_oof_score_wide_promo1.csv,inferred_promo1_from_filename,11904
PUBLIC,PUBLIC\results\17_segmentation_design_260520\promo_scope_oof_behavior_segments\17_segmentation_base_datamart.csv,1,11904
PUBLIC,PUBLIC\results\17_segmentation_design_260520\promo_scope_oof_behavior_segments\17_segmentation_base_datamart.csv,0,11193
PUBLIC,PUBLIC\reports\business\18_business_recommendation_storyline_hotfix_260520\18_promo1_main_business_action_matrix_hotfix.csv,inferred_promo1_from_filename,5
PUBLIC,PUBLIC\reports\business\18_business_recommendation_storyline_hotfix_260520\18_promo0_comparison_reference_hotfix.csv,inferred_promo0_from_filename,5
