window,column,role,source_family,included_in_any_feature_set
w1_3,w1_3_genre_ratio_sf_fantasy,candidate_feature,content,Y
w1_3,w1_3_genre_watch_time_sf_fantasy,candidate_feature,content,Y
w1_3,w1_3_genre_session_count_sf_fantasy,candidate_feature,content,Y
w1_3,w1_3_genre_ratio_action_adventure,candidate_feature,content,Y
w1_3,w1_3_genre_watch_time_action_adventure,candidate_feature,content,Y
w1_3,w1_3_genre_session_count_action_adventure,candidate_feature,content,Y
w1_3,w1_3_genre_ratio_animation_family,candidate_feature,content,Y
w1_3,w1_3_genre_watch_time_animation_family,candidate_feature,content,Y
w1_3,w1_3_genre_session_count_animation_family,candidate_feature,content,Y
w1_3,w1_3_genre_ratio_romance,candidate_feature,content,Y
w1_3,w1_3_genre_watch_time_romance,candidate_feature,content,Y
w1_3,w1_3_genre_session_count_romance,candidate_feature,content,Y
w1_3,w1_3_genre_ratio_comedy,candidate_feature,content,Y
w1_3,w1_3_genre_watch_time_comedy,candidate_feature,content,Y
w1_3,w1_3_genre_session_count_comedy,candidate_feature,content,Y
w1_3,w1_3_genre_ratio_historical_war,candidate_feature,content,Y
w1_3,w1_3_genre_watch_time_historical_war,candidate_feature,content,Y
w1_3,w1_3_genre_session_count_historical_war,candidate_feature,content,Y
w1_3,w1_3_genre_ratio_horror,candidate_feature,content,Y
w1_3,w1_3_genre_watch_time_horror,candidate_feature,content,Y
w1_3,w1_3_genre_session_count_horror,candidate_feature,content,Y
w1_3,w1_3_genre_ratio_other,candidate_feature,content,Y
w1_3,w1_3_genre_watch_time_other,candidate_feature,content,Y
w1_3,w1_3_genre_session_count_other,candidate_feature,content,Y
w1_3,w1_3_release_month_covered_watch_ratio,candidate_feature,content,Y
w1_3,w1_3_avg_ott_release_month_weighted,candidate_feature,content,Y
w1_3,w1_3_recent_content_watch_ratio,candidate_feature,content,Y
w1_3,w1_3_old_content_watch_ratio,candidate_feature,content,Y
w1_4,membership_row_id,metadata,metadata_or_target,N
w1_4,USER_KEY,metadata,metadata_or_target,N
w1_4,is_repurchase,target,metadata_or_target,N
w1_4,price,candidate_feature,membership,Y
w1_4,product_code,candidate_feature,membership,Y
w1_4,max_screen,candidate_feature,membership,Y
w1_4,is_promotion,candidate_feature,membership,Y
w1_4,is_user_verified,candidate_feature,membership,Y
w1_4,gender,candidate_feature,membership,Y
w1_4,age,candidate_feature,membership,Y
w1_4,payment_device,candidate_feature,membership,Y
w1_4,billing_method,candidate_feature,membership,Y
w1_4,is_churn_prevented,candidate_feature,membership,Y
w1_4,w1_4_has_watch_obs,candidate_feature,usage,Y
w1_4,w1_4_no_watch_obs_flag,candidate_feature,usage,Y
w1_4,w1_4_total_watch_time,candidate_feature,usage,Y
w1_4,w1_4_total_sessions,candidate_feature,usage,Y
w1_4,w1_4_unique_contents,candidate_feature,content,Y
w1_4,w1_4_unique_watch_days,candidate_feature,usage,Y
w1_4,w1_4_avg_watch_time_per_session,candidate_feature,usage,Y
w1_4,w1_4_sessions_per_active_day,candidate_feature,usage,Y
w1_4,w1_4_active_span_days,candidate_feature,usage,Y
w1_4,w1_4_first_watch_rel_day,candidate_feature,usage,Y
w1_4,w1_4_last_watch_rel_day,candidate_feature,usage,Y
w1_4,w1_4_week1_watch_time,candidate_feature,usage,Y
w1_4,w1_4_week2_watch_time,candidate_feature,usage,Y
w1_4,w1_4_week3_watch_time,candidate_feature,usage,Y
w1_4,w1_4_week1_sessions,candidate_feature,usage,Y
w1_4,w1_4_week2_sessions,candidate_feature,usage,Y
w1_4,w1_4_week3_sessions,candidate_feature,usage,Y
w1_4,w1_4_week1_ratio,candidate_feature,usage,Y
w1_4,w1_4_week2_ratio,candidate_feature,usage,Y
w1_4,w1_4_week3_ratio,candidate_feature,usage,Y
w1_4,w1_4_w2_minus_w1_watch_time,candidate_feature,usage,Y
w1_4,w1_4_w3_minus_w1_watch_time,candidate_feature,usage,Y
w1_4,w1_4_max_daily_watch_time,candidate_feature,usage,Y
w1_4,w1_4_max_day_share,candidate_feature,usage,Y
w1_4,w1_4_one_minute_watch_count,candidate_feature,usage,Y
w1_4,w1_4_short_watch_count_le5,candidate_feature,usage,Y
w1_4,w1_4_short_watch_time_le5,candidate_feature,usage,Y
w1_4,w1_4_week4_watch_time,candidate_feature,usage,Y
w1_4,w1_4_week4_sessions,candidate_feature,usage,Y
w1_4,w1_4_week4_ratio,candidate_feature,usage,Y
w1_4,w1_4_w4_minus_w1_watch_time,candidate_feature,usage,Y
w1_4,w1_4_w4_minus_w3_watch_time,candidate_feature,usage,Y
w1_4,w1_4_content_has_watch_obs,candidate_feature,content,Y
w1_4,w1_4_genre_covered_watch_time,candidate_feature,content,Y
w1_4,w1_4_genre_missing_watch_time,candidate_feature,content,Y
w1_4,w1_4_genre_covered_watch_ratio,candidate_feature,content,Y
w1_4,w1_4_genre_missing_watch_ratio,candidate_feature,content,Y
w1_4,w1_4_genre_unique_count,candidate_feature,content,Y
w1_4,w1_4_top_genre,candidate_feature,content,Y
w1_4,w1_4_top_genre_watch_time,candidate_feature,content,Y
w1_4,w1_4_top_genre_watch_ratio,candidate_feature,content,Y
w1_4,w1_4_genre_entropy,candidate_feature,content,Y
w1_4,w1_4_genre_ratio_drama,candidate_feature,content,Y
w1_4,w1_4_genre_watch_time_drama,candidate_feature,content,Y
w1_4,w1_4_genre_session_count_drama,candidate_feature,content,Y
w1_4,w1_4_genre_ratio_thriller_crime,candidate_feature,content,Y
w1_4,w1_4_genre_watch_time_thriller_crime,candidate_feature,content,Y
w1_4,w1_4_genre_session_count_thriller_crime,candidate_feature,content,Y
w1_4,w1_4_genre_ratio_sf_fantasy,candidate_feature,content,Y
w1_4,w1_4_genre_watch_time_sf_fantasy,candidate_feature,content,Y
w1_4,w1_4_genre_session_count_sf_fantasy,candidate_feature,content,Y
w1_4,w1_4_genre_ratio_action_adventure,candidate_feature,content,Y
w1_4,w1_4_genre_watch_time_action_adventure,candidate_feature,content,Y
w1_4,w1_4_genre_session_count_action_adventure,candidate_feature,content,Y
w1_4,w1_4_genre_ratio_animation_family,candidate_feature,content,Y
w1_4,w1_4_genre_watch_time_animation_family,candidate_feature,content,Y
w1_4,w1_4_genre_session_count_animation_family,candidate_feature,content,Y
w1_4,w1_4_genre_ratio_romance,candidate_feature,content,Y
w1_4,w1_4_genre_watch_time_romance,candidate_feature,content,Y
w1_4,w1_4_genre_session_count_romance,candidate_feature,content,Y
w1_4,w1_4_genre_ratio_comedy,candidate_feature,content,Y
w1_4,w1_4_genre_watch_time_comedy,candidate_feature,content,Y
w1_4,w1_4_genre_session_count_comedy,candidate_feature,content,Y
w1_4,w1_4_genre_ratio_historical_war,candidate_feature,content,Y
w1_4,w1_4_genre_watch_time_historical_war,candidate_feature,content,Y
w1_4,w1_4_genre_session_count_historical_war,candidate_feature,content,Y
w1_4,w1_4_genre_ratio_horror,candidate_feature,content,Y
w1_4,w1_4_genre_watch_time_horror,candidate_feature,content,Y
w1_4,w1_4_genre_session_count_horror,candidate_feature,content,Y
w1_4,w1_4_genre_ratio_other,candidate_feature,content,Y
w1_4,w1_4_genre_watch_time_other,candidate_feature,content,Y
w1_4,w1_4_genre_session_count_other,candidate_feature,content,Y
w1_4,w1_4_release_month_covered_watch_ratio,candidate_feature,content,Y
w1_4,w1_4_avg_ott_release_month_weighted,candidate_feature,content,Y
w1_4,w1_4_recent_content_watch_ratio,candidate_feature,content,Y
w1_4,w1_4_old_content_watch_ratio,candidate_feature,content,Y
