feature,vif,status,feature_set_name
w1_3_unique_watch_days,2.619490528060069,ok,pruned_w1_3_early_safer_week1_2_reference
w1_3_avg_watch_time_per_session,1.487118787297086,ok,pruned_w1_3_early_safer_week1_2_reference
price,1.0111190442443347,ok,pruned_w1_4_late_period_comparison
max_screen,1.0123913746436712,ok,pruned_w1_4_late_period_comparison
age,1.012058342912666,ok,pruned_w1_4_late_period_comparison
w1_4_week1_watch_time,3.6264845961505987,ok,pruned_w1_4_late_period_comparison
w1_4_week2_watch_time,3.1648276578669234,ok,pruned_w1_4_late_period_comparison
w1_4_week3_watch_time,3.3426007142706258,ok,pruned_w1_4_late_period_comparison
w1_4_week4_watch_time,3.1756246318130676,ok,pruned_w1_4_late_period_comparison
w1_4_week1_sessions,4.487971716370828,ok,pruned_w1_4_late_period_comparison
w1_4_week2_sessions,3.5841286967545316,ok,pruned_w1_4_late_period_comparison
w1_4_week3_sessions,3.953583483975125,ok,pruned_w1_4_late_period_comparison
w1_4_week4_sessions,3.2109473669898807,ok,pruned_w1_4_late_period_comparison
w1_4_unique_contents,5.501112858908272,ok,pruned_w1_4_late_period_comparison
w1_4_unique_watch_days,3.4762099628421566,ok,pruned_w1_4_late_period_comparison
w1_4_avg_watch_time_per_session,1.8859606748672302,ok,pruned_w1_4_late_period_comparison
w1_4_genre_ratio_action_adventure,3.8401715762032516,ok,pruned_w1_4_late_period_comparison
w1_4_genre_ratio_animation_family,4.8204010454204385,ok,pruned_w1_4_late_period_comparison
w1_4_genre_ratio_comedy,3.39903320962542,ok,pruned_w1_4_late_period_comparison
w1_4_genre_ratio_drama,5.174191295312764,ok,pruned_w1_4_late_period_comparison
w1_4_genre_ratio_historical_war,2.753528477893648,ok,pruned_w1_4_late_period_comparison
w1_4_genre_ratio_horror,1.7636161163078659,ok,pruned_w1_4_late_period_comparison
w1_4_genre_ratio_other,2.121266393354738,ok,pruned_w1_4_late_period_comparison
w1_4_genre_ratio_romance,3.4843893762705345,ok,pruned_w1_4_late_period_comparison
w1_4_genre_ratio_sf_fantasy,4.706044892809326,ok,pruned_w1_4_late_period_comparison
w1_4_genre_ratio_thriller_crime,4.069433075797298,ok,pruned_w1_4_late_period_comparison
w1_4_genre_entropy,2.3748485422868955,ok,pruned_w1_4_late_period_comparison
w1_4_recent_content_watch_ratio,1.2081053297257132,ok,pruned_w1_4_late_period_comparison
