membership_row_id,case_type,rank,feature,feature_family,feature_value,global_importance_rank_basis,local_contribution_status
1413,high_churn_risk_false_positive,8,price,membership,100.0,primary_conservative_permutation_importance,not_available_without_shap
7709,low_churn_risk_true_Y,1,w1_3_week3_watch_time,usage,230.0,primary_conservative_permutation_importance,not_available_without_shap
7709,low_churn_risk_true_Y,2,w1_3_w2_minus_w1_watch_time,usage,106.0,primary_conservative_permutation_importance,not_available_without_shap
7709,low_churn_risk_true_Y,3,w1_3_week1_ratio,usage,0.06701,primary_conservative_permutation_importance,not_available_without_shap
7709,low_churn_risk_true_Y,4,w1_3_first_watch_rel_day,usage,4.0,primary_conservative_permutation_importance,not_available_without_shap
7709,low_churn_risk_true_Y,5,w1_3_genre_ratio_thriller_crime,genre,0.002577,primary_conservative_permutation_importance,not_available_without_shap
7709,low_churn_risk_true_Y,6,w1_3_genre_ratio_animation_family,genre,0.265464,primary_conservative_permutation_importance,not_available_without_shap
7709,low_churn_risk_true_Y,7,w1_3_max_day_share,usage,0.270619,primary_conservative_permutation_importance,not_available_without_shap
7709,low_churn_risk_true_Y,8,price,membership,7900.0,primary_conservative_permutation_importance,not_available_without_shap
7807,low_churn_risk_true_Y,1,w1_3_week3_watch_time,usage,418.0,primary_conservative_permutation_importance,not_available_without_shap
7807,low_churn_risk_true_Y,2,w1_3_w2_minus_w1_watch_time,usage,419.0,primary_conservative_permutation_importance,not_available_without_shap
7807,low_churn_risk_true_Y,3,w1_3_week1_ratio,usage,0.0,primary_conservative_permutation_importance,not_available_without_shap
7807,low_churn_risk_true_Y,4,w1_3_first_watch_rel_day,usage,10.0,primary_conservative_permutation_importance,not_available_without_shap
7807,low_churn_risk_true_Y,5,w1_3_genre_ratio_thriller_crime,genre,0.166069,primary_conservative_permutation_importance,not_available_without_shap
7807,low_churn_risk_true_Y,6,w1_3_genre_ratio_animation_family,genre,0.0,primary_conservative_permutation_importance,not_available_without_shap
7807,low_churn_risk_true_Y,7,w1_3_max_day_share,usage,0.32736,primary_conservative_permutation_importance,not_available_without_shap
7807,low_churn_risk_true_Y,8,price,membership,13900.0,primary_conservative_permutation_importance,not_available_without_shap
2140,low_churn_risk_true_Y,1,w1_3_week3_watch_time,usage,2460.0,primary_conservative_permutation_importance,not_available_without_shap
2140,low_churn_risk_true_Y,2,w1_3_w2_minus_w1_watch_time,usage,0.0,primary_conservative_permutation_importance,not_available_without_shap
2140,low_churn_risk_true_Y,3,w1_3_week1_ratio,usage,0.0,primary_conservative_permutation_importance,not_available_without_shap
2140,low_churn_risk_true_Y,4,w1_3_first_watch_rel_day,usage,14.0,primary_conservative_permutation_importance,not_available_without_shap
2140,low_churn_risk_true_Y,5,w1_3_genre_ratio_thriller_crime,genre,0.103659,primary_conservative_permutation_importance,not_available_without_shap
2140,low_churn_risk_true_Y,6,w1_3_genre_ratio_animation_family,genre,0.0,primary_conservative_permutation_importance,not_available_without_shap
2140,low_churn_risk_true_Y,7,w1_3_max_day_share,usage,0.308537,primary_conservative_permutation_importance,not_available_without_shap
2140,low_churn_risk_true_Y,8,price,membership,6950.0,primary_conservative_permutation_importance,not_available_without_shap
20379,ambiguous_mid_score,1,w1_3_week3_watch_time,usage,0.0,primary_conservative_permutation_importance,not_available_without_shap
20379,ambiguous_mid_score,2,w1_3_w2_minus_w1_watch_time,usage,-28.0,primary_conservative_permutation_importance,not_available_without_shap
20379,ambiguous_mid_score,3,w1_3_week1_ratio,usage,0.712121,primary_conservative_permutation_importance,not_available_without_shap
20379,ambiguous_mid_score,4,w1_3_first_watch_rel_day,usage,1.0,primary_conservative_permutation_importance,not_available_without_shap
20379,ambiguous_mid_score,5,w1_3_genre_ratio_thriller_crime,genre,0.0,primary_conservative_permutation_importance,not_available_without_shap
20379,ambiguous_mid_score,6,w1_3_genre_ratio_animation_family,genre,0.0,primary_conservative_permutation_importance,not_available_without_shap
20379,ambiguous_mid_score,7,w1_3_max_day_share,usage,0.712121,primary_conservative_permutation_importance,not_available_without_shap
20379,ambiguous_mid_score,8,price,membership,100.0,primary_conservative_permutation_importance,not_available_without_shap
12678,ambiguous_mid_score,1,w1_3_week3_watch_time,usage,66.0,primary_conservative_permutation_importance,not_available_without_shap
12678,ambiguous_mid_score,2,w1_3_w2_minus_w1_watch_time,usage,-72.0,primary_conservative_permutation_importance,not_available_without_shap
12678,ambiguous_mid_score,3,w1_3_week1_ratio,usage,0.506198,primary_conservative_permutation_importance,not_available_without_shap
12678,ambiguous_mid_score,4,w1_3_first_watch_rel_day,usage,1.0,primary_conservative_permutation_importance,not_available_without_shap
12678,ambiguous_mid_score,5,w1_3_genre_ratio_thriller_crime,genre,0.31405,primary_conservative_permutation_importance,not_available_without_shap
12678,ambiguous_mid_score,6,w1_3_genre_ratio_animation_family,genre,0.0,primary_conservative_permutation_importance,not_available_without_shap
12678,ambiguous_mid_score,7,w1_3_max_day_share,usage,0.31405,primary_conservative_permutation_importance,not_available_without_shap
12678,ambiguous_mid_score,8,price,membership,100.0,primary_conservative_permutation_importance,not_available_without_shap
5151,ambiguous_mid_score,1,w1_3_week3_watch_time,usage,101.0,primary_conservative_permutation_importance,not_available_without_shap
5151,ambiguous_mid_score,2,w1_3_w2_minus_w1_watch_time,usage,0.0,primary_conservative_permutation_importance,not_available_without_shap
5151,ambiguous_mid_score,3,w1_3_week1_ratio,usage,0.0,primary_conservative_permutation_importance,not_available_without_shap
5151,ambiguous_mid_score,4,w1_3_first_watch_rel_day,usage,19.0,primary_conservative_permutation_importance,not_available_without_shap
5151,ambiguous_mid_score,5,w1_3_genre_ratio_thriller_crime,genre,0.0,primary_conservative_permutation_importance,not_available_without_shap
5151,ambiguous_mid_score,6,w1_3_genre_ratio_animation_family,genre,0.0,primary_conservative_permutation_importance,not_available_without_shap
5151,ambiguous_mid_score,7,w1_3_max_day_share,usage,1.0,primary_conservative_permutation_importance,not_available_without_shap
5151,ambiguous_mid_score,8,price,membership,100.0,primary_conservative_permutation_importance,not_available_without_shap
