MOVIE_NUM,movie_title,ott_release_month,title_key_norm,metadata_source,metadata_quality,use_for_content_features,source_wavve_flag,source_kobis_flag,source_movie5171_flag,used_movie5171_auxiliary_flag,primary_metadata_covered_flag,metadata_covered_flag,wavve_match_count,kobis_match_count,movie5171_match_count,wavve_movieids,kobis_movie_codes,movie5171_titles,wavve_titles,kobis_titles,kobis_titles_en,kobis_type_names,kobis_selected_movie_code,kobis_selected_title,kobis_selected_title_en,kobis_selected_type,kobis_selected_directors,kobis_selected_actors,title_year_hint,kobis_title_similarity,kobis_year_diff_min,kobis_year_match_flag,kobis_low_confidence_reasons,wavve_genre_raw,kobis_genre_raw,kobis_selected_genre_raw,movie5171_genre_raw,unified_genres,wavve_tags_raw,wavve_country_raw,kobis_country_raw,kobis_selected_country_raw,movie5171_country_raw,unified_countries,wavve_age_rating_norm,kobis_age_rating_norm,kobis_selected_age_rating_norm,unified_age_rating,wavve_runtime_min,kobis_runtime_min,kobis_selected_runtime_min,movie5171_runtime_min,unified_runtime_min,wavve_release_year,kobis_release_year,kobis_open_year,kobis_selected_release_year,kobis_selected_open_year,unified_release_year,is_kids_animation,is_family_content,is_adult_content,is_korean_content,is_us_content,is_japanese_content,is_recent_content,is_old_content,is_long_movie,is_short_content
19,미키의크리스마스선물,201712,미키의크리스마스선물,missing,E_missing,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,low_title_similarity|missing_genre|missing_country|missing_age_rating,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
20,보글보글스폰지밥,201202,보글보글스폰지밥,missing,E_missing,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,low_title_similarity|missing_genre|missing_country|missing_age_rating,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
21,오버로드(2018),202005,오버로드(2018),missing,E_missing,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,2018,,,0,low_title_similarity|year_hint_mismatch|missing_genre|missing_country|missing_age_rating,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
22,철권:블러드벤젠스,201309,철권블러드벤젠스,movie5171,M_movie5171_auxiliary_fallback,1,0,0,1,1,0,1,,,1.0,,,철권:블러드벤젠스,,,,,,,,,,,,,,,low_title_similarity|missing_genre|missing_country|missing_age_rating,,,,액션|판타지,액션|SF/판타지,,,,,China,China,,,,,,,,80.0,80.0,,,,,,,0,0,0,0,0,0,0,0,0,0
23,연애의목적,201906,연애의목적,wavve+movie5171,A_wavve,1,1,0,1,0,1,1,1.0,,1.0,MV_EN01_EN000000084,,연애의목적,연애의 목적,,,,,,,,,,,,,,low_title_similarity|missing_genre|missing_country|missing_age_rating,로맨스|드라마|코미디,,,코미디|로맨스,드라마|코미디|로맨스,로맨스|드라마|코미디,대한민국,,,대한민국,한국,청불,,,청불,120.3,,,121.0,120.3,2005,,,,,2005,0,0,1,1,0,0,0,1,1,0
24,블랙클랜스맨,201811,블랙클랜스맨,wavve+movie5171,A_wavve,1,1,0,1,0,1,1,1.0,,1.0,MV_CG01_NU0000011328,,블랙클랜스맨,블랙클랜스맨,,,,,,,,,,,,,,low_title_similarity|missing_genre|missing_country|missing_age_rating,범죄|스릴러|드라마|코미디,,,범죄|코미디|드라마|역사,드라마|스릴러/범죄|코미디,범죄|스릴러|드라마|코미디,미국,,,미국,미국,15세,,,15세,135.3,,,128.0,135.3,2018,,,,,2018,0,0,0,0,1,0,1,0,1,0
25,나이트메어비긴즈,201808,나이트메어비긴즈,missing,E_missing,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,low_title_similarity|missing_genre|missing_country|missing_age_rating,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
26,올드마린보이,201712,올드마린보이,missing,E_missing,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,low_title_similarity|missing_genre|missing_country|missing_age_rating,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
27,마법에걸린사랑,201202,마법에걸린사랑,wavve+movie5171,A_wavve,1,1,0,1,0,1,1,1.0,,1.0,MV_CA01_DY0000011308,,마법에걸린사랑,마법에 걸린 사랑,,,,,,,,,,,,,,low_title_similarity|missing_genre|missing_country|missing_age_rating,로맨스|드라마|코미디,,,코미디|가족|판타지|로맨스|애니메이션,드라마|코미디|로맨스,로맨스|드라마|코미디,미국,,,미국,미국,전체,,,전체,107.4,,,118.0,107.4,2008,,,,,2008,0,1,0,0,1,0,0,1,0,0
28,바이더씨,201611,바이더씨,missing,E_missing,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,low_title_similarity|missing_genre|missing_country|missing_age_rating,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
29,디즈니네이쳐:베어,201612,디즈니네이쳐베어,missing,E_missing,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,low_title_similarity|missing_genre|missing_country|missing_age_rating,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
30,윙오브스틸,202009,윙오브스틸,missing,E_missing,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,low_title_similarity|missing_genre|missing_country|missing_age_rating,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
31,전설의파이터,202006,전설의파이터,wavve+movie5171,A_wavve,1,1,0,1,0,1,1,1.0,,1.0,MV_CV01_KE0000012658,,전설의파이터,전설의 파이터,,,,,,,,,,,,,,low_title_similarity|missing_genre|missing_country|missing_age_rating,액션,,,다큐멘터리,액션,액션,대한민국,,,,한국,청불,,,청불,89.8,,,85.0,89.8,2020,,,,,2020,0,0,1,1,0,0,1,0,0,0
32,포레스트로빈후드,201605,포레스트로빈후드,missing,E_missing,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,low_title_similarity|missing_genre|missing_country|missing_age_rating,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
33,영화로운나날,202001,영화로운나날,kobis+movie5171,B_or_C_kobis_unchecked,1,0,1,1,0,1,1,,1.0,1.0,,20191106,영화로운나날,,영화로운 나날,Film Adventure,장편,20191106,영화로운 나날,Film Adventure,장편,이상덕,조현철|김아현|조현철|서현우|전석호,,1.0000,,,,,멜로|로맨스|드라마|판타지,멜로/로맨스|드라마|판타지,다큐멘터리,드라마|로맨스|SF/판타지|기타,,,한국,한국,,한국,,12세,12세,12세,,86.0,86.0,85.0,86.0,,2019,2019,2019,2019,2019,0,1,0,1,0,0,1,0,0,0
34,소시민,201701,소시민,missing,E_missing,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,low_title_similarity|missing_genre|missing_country|missing_age_rating,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
36,촉산(1983),201905,촉산(1983),missing,E_missing,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,1983,,,0,low_title_similarity|year_hint_mismatch|missing_genre|missing_country|missing_age_rating,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
37,슈퍼에이트,201112,슈퍼에이트,wavve+movie5171,A_wavve,1,1,0,1,0,1,1,1.0,,1.0,MV_CQ01_PT0000011131,,슈퍼에이트,슈퍼 에이트,,,,,,,,,,,,,,low_title_similarity|missing_genre|missing_country|missing_age_rating,스릴러|SF|판타지|미스터리,,,스릴러|SF|액션,스릴러/범죄|SF/판타지,스릴러|SF|미스터리,미국,,,미국,미국,12세,,,12세,111.8,,,112.0,111.8,2011,,,,,2011,0,1,0,0,1,0,0,0,0,0
38,지워야산다,201711,지워야산다,missing,E_missing,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,low_title_similarity|missing_genre|missing_country|missing_age_rating,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
39,얼굴없는보스:못다한이야기[감독판],202005,얼굴없는보스못다한이야기감독판,movie5171,M_movie5171_auxiliary_fallback,1,0,0,1,1,0,1,,,1.0,,,얼굴없는보스:못다한이야기[감독판],,,,,,,,,,,,,,,low_title_similarity|missing_genre|missing_country|missing_age_rating,,,,다큐멘터리,다큐/교양,,,,,,,,,,,,,,85.0,85.0,,,,,,,0,0,0,0,0,0,0,0,0,0
40,그대이름은장미,201901,그대이름은장미,wavve+movie5171,A_wavve,1,1,0,1,0,1,1,1.0,,1.0,MV_C901_SG0000115896,,그대이름은장미,그대 이름은 장미,,,,,,,,,,,,,,low_title_similarity|missing_genre|missing_country|missing_age_rating,코미디|가족,,,코미디,코미디|가족,코미디|가족,대한민국,,,대한민국,한국,12세,,,12세,125.7,,,126.0,125.7,2019,,,,,2019,0,1,0,1,0,0,1,0,1,0
41,약지의표본,201304,약지의표본,missing,E_missing,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,low_title_similarity|missing_genre|missing_country|missing_age_rating,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
42,천장지구(1990),201610,천장지구(1990),wavve+movie5171,A_wavve,1,1,0,1,0,1,1,1.0,,1.0,MV_CX01_CX0000011151,,천장지구(1990),천장지구,,,,,,,,,,1990,,,0,low_title_similarity|year_hint_mismatch|missing_genre|missing_country|missing_age_rating,드라마|액션,,,로맨스|범죄|액션|드라마,드라마|액션,드라마|액션,홍콩,,,홍콩,홍콩,15세,,,15세,92.2,,,88.0,92.2,1990,,,,,1990,0,0,0,0,0,0,0,1,0,0
43,그남자그여자,201901,그남자그여자,missing,E_missing,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,low_title_similarity|missing_genre|missing_country|missing_age_rating,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
44,"로만J이스라엘,에스콰이어",201802,로만j이스라엘에스콰이어,missing,E_missing,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,low_title_similarity|missing_genre|missing_country|missing_age_rating,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
45,하우스오브다크,201506,하우스오브다크,missing,E_missing,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,low_title_similarity|missing_genre|missing_country|missing_age_rating,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
46,분노의전차군단,201705,분노의전차군단,missing,E_missing,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,low_title_similarity|missing_genre|missing_country|missing_age_rating,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
47,패션왕[가치봄],202009,패션왕가치봄,missing,E_missing,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,low_title_similarity|missing_genre|missing_country|missing_age_rating,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
48,퍼펙트크라임(2015),201703,퍼펙트크라임(2015),missing,E_missing,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,2015,,,0,low_title_similarity|year_hint_mismatch|missing_genre|missing_country|missing_age_rating,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
49,배드키즈아카데미,201810,배드키즈아카데미,missing,E_missing,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,low_title_similarity|missing_genre|missing_country|missing_age_rating,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
50,익스트랙션데이,201902,익스트랙션데이,missing,E_missing,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,low_title_similarity|missing_genre|missing_country|missing_age_rating,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
51,살인의뢰[요약판],201505,살인의뢰요약판,missing,E_missing,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,low_title_similarity|missing_genre|missing_country|missing_age_rating,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
52,완벽한망상,201802,완벽한망상,missing,E_missing,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,low_title_similarity|missing_genre|missing_country|missing_age_rating,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
53,더발트:최후의전사,202010,더발트최후의전사,missing,E_missing,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,low_title_similarity|missing_genre|missing_country|missing_age_rating,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
54,알리바이닷컴,201811,알리바이닷컴,missing,E_missing,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,low_title_similarity|missing_genre|missing_country|missing_age_rating,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
55,당갈,201901,당갈,kobis+movie5171,B_or_C_kobis_unchecked,1,0,1,1,0,1,1,,1.0,1.0,,20182561,당갈,,당갈,Dangal,장편,20182561,당갈,Dangal,장편,니테쉬 티와리,아미르 칸|파티마 사나 셰이크|산야 말호트라,,1.0000,,,,,액션|드라마,액션|드라마,드라마|코미디|액션|스포츠,드라마|액션,,,인도,인도,인도,인도,,12세,12세,12세,,160.0,160.0,161.0,160.0,,2016,2018,2016,2018,2016,0,1,0,0,0,0,0,0,1,0
56,독수리착륙하다,201910,독수리착륙하다,missing,E_missing,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,low_title_similarity|missing_genre|missing_country|missing_age_rating,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
57,디센던트,201505,디센던트,wavve+movie5171,A_wavve,1,1,0,1,0,1,1,1.0,,1.0,MV_CH01_FX0000011524,,디센던트,디센던트,,,,,,,,,,,,,,low_title_similarity|missing_genre|missing_country|missing_age_rating,드라마|코미디,,,코미디|드라마,드라마|코미디,드라마|코미디,미국,,,미국,미국,15세,,,15세,115.1,,,115.0,115.1,2012,,,,,2012,0,0,0,0,1,0,0,0,0,0
58,블레어윗치,201404,블레어윗치,missing,E_missing,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,low_title_similarity|missing_genre|missing_country|missing_age_rating,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
59,지옥의슬로터,201701,지옥의슬로터,missing,E_missing,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,low_title_similarity|missing_genre|missing_country|missing_age_rating,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
60,캠퍼스어택:크리스티처결단,202003,캠퍼스어택크리스티처결단,missing,E_missing,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,low_title_similarity|missing_genre|missing_country|missing_age_rating,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
61,지퍼스크리퍼스2(2003),201707,지퍼스크리퍼스2(2003),missing,E_missing,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,2003,,,0,low_title_similarity|year_hint_mismatch|missing_genre|missing_country|missing_age_rating,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
62,그렇게아버지가된다,201402,그렇게아버지가된다,wavve+movie5171,A_wavve,1,1,0,1,0,1,1,1.0,,1.0,MV_CV01_KE0000011163,,그렇게아버지가된다,그렇게 아버지가 된다,,,,,,,,,,,,,,low_title_similarity|missing_genre|missing_country|missing_age_rating,가족|드라마,,,드라마,드라마|가족,가족|드라마,일본,,,일본,일본,전체,,,전체,120.9,,,120.0,120.9,2013,,,,,2013,0,1,0,0,0,1,0,0,1,0
63,사랑하기때문에[가치봄],202010,사랑하기때문에가치봄,missing,E_missing,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,low_title_similarity|missing_genre|missing_country|missing_age_rating,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
64,스트라디바리우,201507,스트라디바리우,missing,E_missing,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,low_title_similarity|missing_genre|missing_country|missing_age_rating,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
65,가디언즈오브갤럭시[3D],201901,가디언즈오브갤럭시3d,missing,E_missing,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,low_title_similarity|missing_genre|missing_country|missing_age_rating,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
66,무비43,202004,무비43,wavve+movie5171,A_wavve,1,1,0,1,0,1,1,1.0,,1.0,MV_CL01_JY0000012902,,무비43,무비 43,,,,,,,,,,,,,,low_title_similarity|missing_genre|missing_country|missing_age_rating,코미디,,,코미디,코미디,코미디,미국,,,미국,미국,청불,,,청불,98.1,,,98.0,98.1,2014,,,,,2014,0,0,1,0,1,0,0,0,0,0
67,뮤직위딘,201404,뮤직위딘,missing,E_missing,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,low_title_similarity|missing_genre|missing_country|missing_age_rating,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
68,프릭스오브네이처,201601,프릭스오브네이처,missing,E_missing,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,low_title_similarity|missing_genre|missing_country|missing_age_rating,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
69,이월화개,201705,이월화개,missing,E_missing,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,low_title_similarity|missing_genre|missing_country|missing_age_rating,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
70,미스터락스타,201707,미스터락스타,missing,E_missing,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,low_title_similarity|missing_genre|missing_country|missing_age_rating,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
71,하이눈,201306,하이눈,missing,E_missing,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,low_title_similarity|missing_genre|missing_country|missing_age_rating,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
72,[OCEAN공개]태양의소녀들,202012,ocean공개태양의소녀들,missing,E_missing,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,low_title_similarity|missing_genre|missing_country|missing_age_rating,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
73,한나,201111,한나,wavve+movie5171,A_wavve,1,1,0,1,0,1,1,2.0,,1.0,MV_TW01_TW0000000257|MV_CF01_SY0000011135,,한나,한나 (2017)|한나 (2011),,,,,,,,,,,,,,low_title_similarity|missing_genre|missing_country|missing_age_rating,드라마|스릴러|액션,,,액션|드라마|로맨스|범죄,드라마|액션|스릴러/범죄,드라마|스릴러|액션,이탈리아|미국,,,미국,이탈리아|미국,15세,,,15세,103.2,,,49.0,103.2,2014,,,,,2014,0,0,0,0,1,0,0,0,0,0
74,당신을기다리는시간,201912,당신을기다리는시간,missing,E_missing,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,low_title_similarity|missing_genre|missing_country|missing_age_rating,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
