model_role,window,model_name,transformed_feature,original_feature,feature_family,mean_abs_shap_or_fallback_importance,explanation_method,direction_basis,note
primary_conservative,w1_3,HistGradientBoostingClassifier,w1_3_sessions_per_active_day,w1_3_sessions_per_active_day,usage,0.00030080000000007876,fallback_permutation_importance_not_shap,not_available_without_shap,"SHAP package unavailable in the active Python environment. Values below are permutation-importance fallback, not SHAP values."
primary_conservative,w1_3,HistGradientBoostingClassifier,w1_3_old_content_watch_ratio,w1_3_old_content_watch_ratio,release_month,0.0002776000000000556,fallback_permutation_importance_not_shap,not_available_without_shap,"SHAP package unavailable in the active Python environment. Values below are permutation-importance fallback, not SHAP values."
primary_conservative,w1_3,HistGradientBoostingClassifier,w1_3_short_watch_time_le5,w1_3_short_watch_time_le5,usage,0.00026500000000011513,fallback_permutation_importance_not_shap,not_available_without_shap,"SHAP package unavailable in the active Python environment. Values below are permutation-importance fallback, not SHAP values."
primary_conservative,w1_3,HistGradientBoostingClassifier,w1_3_week1_sessions,w1_3_week1_sessions,usage,0.0002235000000000431,fallback_permutation_importance_not_shap,not_available_without_shap,"SHAP package unavailable in the active Python environment. Values below are permutation-importance fallback, not SHAP values."
primary_conservative,w1_3,HistGradientBoostingClassifier,w1_3_genre_ratio_historical_war,w1_3_genre_ratio_historical_war,genre,0.00021700000000006713,fallback_permutation_importance_not_shap,not_available_without_shap,"SHAP package unavailable in the active Python environment. Values below are permutation-importance fallback, not SHAP values."
primary_conservative,w1_3,HistGradientBoostingClassifier,w1_3_unique_watch_days,w1_3_unique_watch_days,usage,0.00018300000000011086,fallback_permutation_importance_not_shap,not_available_without_shap,"SHAP package unavailable in the active Python environment. Values below are permutation-importance fallback, not SHAP values."
primary_conservative,w1_3,HistGradientBoostingClassifier,w1_3_genre_watch_time_thriller_crime,w1_3_genre_watch_time_thriller_crime,genre,0.0001768000000000436,fallback_permutation_importance_not_shap,not_available_without_shap,"SHAP package unavailable in the active Python environment. Values below are permutation-importance fallback, not SHAP values."
primary_conservative,w1_3,HistGradientBoostingClassifier,w1_3_unique_contents,w1_3_unique_contents,content,0.0001683000000000545,fallback_permutation_importance_not_shap,not_available_without_shap,"SHAP package unavailable in the active Python environment. Values below are permutation-importance fallback, not SHAP values."
primary_conservative,w1_3,HistGradientBoostingClassifier,w1_3_week3_sessions,w1_3_week3_sessions,usage,0.00016700000000007264,fallback_permutation_importance_not_shap,not_available_without_shap,"SHAP package unavailable in the active Python environment. Values below are permutation-importance fallback, not SHAP values."
primary_conservative,w1_3,HistGradientBoostingClassifier,w1_3_recent_content_watch_ratio,w1_3_recent_content_watch_ratio,release_month,0.00012170000000011338,fallback_permutation_importance_not_shap,not_available_without_shap,"SHAP package unavailable in the active Python environment. Values below are permutation-importance fallback, not SHAP values."
primary_conservative,w1_3,HistGradientBoostingClassifier,w1_3_week2_sessions,w1_3_week2_sessions,usage,0.00011540000000005435,fallback_permutation_importance_not_shap,not_available_without_shap,"SHAP package unavailable in the active Python environment. Values below are permutation-importance fallback, not SHAP values."
primary_conservative,w1_3,HistGradientBoostingClassifier,w1_3_genre_ratio_comedy,w1_3_genre_ratio_comedy,genre,0.0001132000000000355,fallback_permutation_importance_not_shap,not_available_without_shap,"SHAP package unavailable in the active Python environment. Values below are permutation-importance fallback, not SHAP values."
primary_conservative,w1_3,HistGradientBoostingClassifier,w1_3_genre_session_count_historical_war,w1_3_genre_session_count_historical_war,genre,9.940000000008276e-05,fallback_permutation_importance_not_shap,not_available_without_shap,"SHAP package unavailable in the active Python environment. Values below are permutation-importance fallback, not SHAP values."
primary_conservative,w1_3,HistGradientBoostingClassifier,w1_3_genre_session_count_comedy,w1_3_genre_session_count_comedy,genre,9.0400000000046e-05,fallback_permutation_importance_not_shap,not_available_without_shap,"SHAP package unavailable in the active Python environment. Values below are permutation-importance fallback, not SHAP values."
primary_conservative,w1_3,HistGradientBoostingClassifier,w1_3_one_minute_watch_count,w1_3_one_minute_watch_count,usage,4.6300000000076837e-05,fallback_permutation_importance_not_shap,not_available_without_shap,"SHAP package unavailable in the active Python environment. Values below are permutation-importance fallback, not SHAP values."
primary_conservative,w1_3,HistGradientBoostingClassifier,w1_3_genre_watch_time_sf_fantasy,w1_3_genre_watch_time_sf_fantasy,genre,3.530000000004918e-05,fallback_permutation_importance_not_shap,not_available_without_shap,"SHAP package unavailable in the active Python environment. Values below are permutation-importance fallback, not SHAP values."
primary_conservative,w1_3,HistGradientBoostingClassifier,payment_device,payment_device,membership,2.220000000006106e-05,fallback_permutation_importance_not_shap,not_available_without_shap,"SHAP package unavailable in the active Python environment. Values below are permutation-importance fallback, not SHAP values."
primary_conservative,w1_3,HistGradientBoostingClassifier,w1_3_genre_session_count_other,w1_3_genre_session_count_other,genre,2.6000000000081515e-06,fallback_permutation_importance_not_shap,not_available_without_shap,"SHAP package unavailable in the active Python environment. Values below are permutation-importance fallback, not SHAP values."
primary_conservative,w1_3,HistGradientBoostingClassifier,w1_3_genre_covered_watch_ratio,w1_3_genre_covered_watch_ratio,genre,0.0,fallback_permutation_importance_not_shap,not_available_without_shap,"SHAP package unavailable in the active Python environment. Values below are permutation-importance fallback, not SHAP values."
primary_conservative,w1_3,HistGradientBoostingClassifier,w1_3_release_month_covered_watch_ratio,w1_3_release_month_covered_watch_ratio,release_month,0.0,fallback_permutation_importance_not_shap,not_available_without_shap,"SHAP package unavailable in the active Python environment. Values below are permutation-importance fallback, not SHAP values."
primary_conservative,w1_3,HistGradientBoostingClassifier,w1_3_no_watch_obs_flag,w1_3_no_watch_obs_flag,usage,0.0,fallback_permutation_importance_not_shap,not_available_without_shap,"SHAP package unavailable in the active Python environment. Values below are permutation-importance fallback, not SHAP values."
primary_conservative,w1_3,HistGradientBoostingClassifier,is_promotion,is_promotion,membership,0.0,fallback_permutation_importance_not_shap,not_available_without_shap,"SHAP package unavailable in the active Python environment. Values below are permutation-importance fallback, not SHAP values."
primary_conservative,w1_3,HistGradientBoostingClassifier,w1_3_has_watch_obs,w1_3_has_watch_obs,usage,0.0,fallback_permutation_importance_not_shap,not_available_without_shap,"SHAP package unavailable in the active Python environment. Values below are permutation-importance fallback, not SHAP values."
primary_conservative,w1_3,HistGradientBoostingClassifier,w1_3_genre_missing_watch_ratio,w1_3_genre_missing_watch_ratio,genre,0.0,fallback_permutation_importance_not_shap,not_available_without_shap,"SHAP package unavailable in the active Python environment. Values below are permutation-importance fallback, not SHAP values."
primary_conservative,w1_3,HistGradientBoostingClassifier,w1_3_genre_missing_watch_time,w1_3_genre_missing_watch_time,genre,0.0,fallback_permutation_importance_not_shap,not_available_without_shap,"SHAP package unavailable in the active Python environment. Values below are permutation-importance fallback, not SHAP values."
primary_conservative,w1_3,HistGradientBoostingClassifier,w1_3_genre_covered_watch_time,w1_3_genre_covered_watch_time,genre,0.0,fallback_permutation_importance_not_shap,not_available_without_shap,"SHAP package unavailable in the active Python environment. Values below are permutation-importance fallback, not SHAP values."
primary_conservative,w1_3,HistGradientBoostingClassifier,w1_3_content_has_watch_obs,w1_3_content_has_watch_obs,content,0.0,fallback_permutation_importance_not_shap,not_available_without_shap,"SHAP package unavailable in the active Python environment. Values below are permutation-importance fallback, not SHAP values."
primary_conservative,w1_3,HistGradientBoostingClassifier,w1_3_genre_watch_time_comedy,w1_3_genre_watch_time_comedy,genre,-2.9499999999971217e-05,fallback_permutation_importance_not_shap,not_available_without_shap,"SHAP package unavailable in the active Python environment. Values below are permutation-importance fallback, not SHAP values."
primary_conservative,w1_3,HistGradientBoostingClassifier,w1_3_total_sessions,w1_3_total_sessions,usage,-3.0399999999941586e-05,fallback_permutation_importance_not_shap,not_available_without_shap,"SHAP package unavailable in the active Python environment. Values below are permutation-importance fallback, not SHAP values."
primary_conservative,w1_3,HistGradientBoostingClassifier,age,age,membership,-3.5799999999941436e-05,fallback_permutation_importance_not_shap,not_available_without_shap,"SHAP package unavailable in the active Python environment. Values below are permutation-importance fallback, not SHAP values."
primary_conservative,w1_3,HistGradientBoostingClassifier,billing_method,billing_method,membership,-4.399999999993298e-05,fallback_permutation_importance_not_shap,not_available_without_shap,"SHAP package unavailable in the active Python environment. Values below are permutation-importance fallback, not SHAP values."
primary_conservative,w1_3,HistGradientBoostingClassifier,w1_3_genre_watch_time_action_adventure,w1_3_genre_watch_time_action_adventure,genre,-5.4399999999965584e-05,fallback_permutation_importance_not_shap,not_available_without_shap,"SHAP package unavailable in the active Python environment. Values below are permutation-importance fallback, not SHAP values."
primary_conservative,w1_3,HistGradientBoostingClassifier,w1_3_avg_ott_release_month_weighted,w1_3_avg_ott_release_month_weighted,release_month,-5.929999999989555e-05,fallback_permutation_importance_not_shap,not_available_without_shap,"SHAP package unavailable in the active Python environment. Values below are permutation-importance fallback, not SHAP values."
primary_conservative,w1_3,HistGradientBoostingClassifier,gender,gender,membership,-6.0499999999930056e-05,fallback_permutation_importance_not_shap,not_available_without_shap,"SHAP package unavailable in the active Python environment. Values below are permutation-importance fallback, not SHAP values."
primary_conservative,w1_3,HistGradientBoostingClassifier,w1_3_short_watch_count_le5,w1_3_short_watch_count_le5,usage,-9.819999999993723e-05,fallback_permutation_importance_not_shap,not_available_without_shap,"SHAP package unavailable in the active Python environment. Values below are permutation-importance fallback, not SHAP values."
primary_conservative,w1_3,HistGradientBoostingClassifier,w1_3_genre_entropy,w1_3_genre_entropy,genre,-9.929999999997996e-05,fallback_permutation_importance_not_shap,not_available_without_shap,"SHAP package unavailable in the active Python environment. Values below are permutation-importance fallback, not SHAP values."
primary_conservative,w1_3,HistGradientBoostingClassifier,w1_3_genre_watch_time_historical_war,w1_3_genre_watch_time_historical_war,genre,-0.00010239999999994698,fallback_permutation_importance_not_shap,not_available_without_shap,"SHAP package unavailable in the active Python environment. Values below are permutation-importance fallback, not SHAP values."
primary_conservative,w1_3,HistGradientBoostingClassifier,w1_3_top_genre_watch_time,w1_3_top_genre_watch_time,genre,-0.00016969999999993934,fallback_permutation_importance_not_shap,not_available_without_shap,"SHAP package unavailable in the active Python environment. Values below are permutation-importance fallback, not SHAP values."
primary_conservative,w1_3,HistGradientBoostingClassifier,w1_3_genre_watch_time_other,w1_3_genre_watch_time_other,genre,-0.00018879999999996678,fallback_permutation_importance_not_shap,not_available_without_shap,"SHAP package unavailable in the active Python environment. Values below are permutation-importance fallback, not SHAP values."
primary_conservative,w1_3,HistGradientBoostingClassifier,w1_3_genre_ratio_other,w1_3_genre_ratio_other,genre,-0.0004991999999999442,fallback_permutation_importance_not_shap,not_available_without_shap,"SHAP package unavailable in the active Python environment. Values below are permutation-importance fallback, not SHAP values."
