model_role,window,model_name,original_feature,feature_family,mean_abs_shap_or_fallback_importance
primary_conservative,w1_3,HistGradientBoostingClassifier,w1_3_unique_watch_days,usage,0.00018300000000011086
primary_conservative,w1_3,HistGradientBoostingClassifier,w1_3_genre_watch_time_thriller_crime,genre,0.0001768000000000436
primary_conservative,w1_3,HistGradientBoostingClassifier,w1_3_unique_contents,content,0.0001683000000000545
primary_conservative,w1_3,HistGradientBoostingClassifier,w1_3_week3_sessions,usage,0.00016700000000007264
primary_conservative,w1_3,HistGradientBoostingClassifier,w1_3_recent_content_watch_ratio,release_month,0.00012170000000011338
primary_conservative,w1_3,HistGradientBoostingClassifier,w1_3_week2_sessions,usage,0.00011540000000005435
primary_conservative,w1_3,HistGradientBoostingClassifier,w1_3_genre_ratio_comedy,genre,0.0001132000000000355
primary_conservative,w1_3,HistGradientBoostingClassifier,w1_3_genre_session_count_historical_war,genre,9.940000000008276e-05
primary_conservative,w1_3,HistGradientBoostingClassifier,w1_3_genre_session_count_comedy,genre,9.0400000000046e-05
primary_conservative,w1_3,HistGradientBoostingClassifier,w1_3_one_minute_watch_count,usage,4.6300000000076837e-05
primary_conservative,w1_3,HistGradientBoostingClassifier,w1_3_genre_watch_time_sf_fantasy,genre,3.530000000004918e-05
primary_conservative,w1_3,HistGradientBoostingClassifier,payment_device,membership,2.220000000006106e-05
primary_conservative,w1_3,HistGradientBoostingClassifier,w1_3_genre_session_count_other,genre,2.6000000000081515e-06
primary_conservative,w1_3,HistGradientBoostingClassifier,w1_3_has_watch_obs,usage,0.0
primary_conservative,w1_3,HistGradientBoostingClassifier,w1_3_no_watch_obs_flag,usage,0.0
primary_conservative,w1_3,HistGradientBoostingClassifier,is_promotion,membership,0.0
primary_conservative,w1_3,HistGradientBoostingClassifier,w1_3_genre_covered_watch_time,genre,0.0
primary_conservative,w1_3,HistGradientBoostingClassifier,w1_3_content_has_watch_obs,content,0.0
primary_conservative,w1_3,HistGradientBoostingClassifier,w1_3_genre_covered_watch_ratio,genre,0.0
primary_conservative,w1_3,HistGradientBoostingClassifier,w1_3_release_month_covered_watch_ratio,release_month,0.0
primary_conservative,w1_3,HistGradientBoostingClassifier,w1_3_genre_missing_watch_time,genre,0.0
primary_conservative,w1_3,HistGradientBoostingClassifier,w1_3_genre_missing_watch_ratio,genre,0.0
primary_conservative,w1_3,HistGradientBoostingClassifier,w1_3_genre_watch_time_comedy,genre,-2.9499999999971217e-05
primary_conservative,w1_3,HistGradientBoostingClassifier,w1_3_total_sessions,usage,-3.0399999999941586e-05
primary_conservative,w1_3,HistGradientBoostingClassifier,age,membership,-3.5799999999941436e-05
primary_conservative,w1_3,HistGradientBoostingClassifier,billing_method,membership,-4.399999999993298e-05
primary_conservative,w1_3,HistGradientBoostingClassifier,w1_3_genre_watch_time_action_adventure,genre,-5.4399999999965584e-05
primary_conservative,w1_3,HistGradientBoostingClassifier,w1_3_avg_ott_release_month_weighted,release_month,-5.929999999989555e-05
primary_conservative,w1_3,HistGradientBoostingClassifier,gender,membership,-6.0499999999930056e-05
primary_conservative,w1_3,HistGradientBoostingClassifier,w1_3_short_watch_count_le5,usage,-9.819999999993723e-05
primary_conservative,w1_3,HistGradientBoostingClassifier,w1_3_genre_entropy,genre,-9.929999999997996e-05
primary_conservative,w1_3,HistGradientBoostingClassifier,w1_3_genre_watch_time_historical_war,genre,-0.00010239999999994698
primary_conservative,w1_3,HistGradientBoostingClassifier,w1_3_top_genre_watch_time,genre,-0.00016969999999993934
primary_conservative,w1_3,HistGradientBoostingClassifier,w1_3_genre_watch_time_other,genre,-0.00018879999999996678
primary_conservative,w1_3,HistGradientBoostingClassifier,w1_3_genre_ratio_other,genre,-0.0004991999999999442
