model_role,window,model_name,original_feature,feature_family,mean_abs_shap,mean_shap,shap_output_basis
primary_conservative,w1_3,HistGradientBoostingClassifier,w1_3_total_watch_time,usage,0.030090771601950637,0.0017479832539497183,model_margin_for_repurchase_class
primary_conservative,w1_3,HistGradientBoostingClassifier,w1_3_genre_ratio_horror,genre,0.027272486794654247,-0.00338925179997109,model_margin_for_repurchase_class
primary_conservative,w1_3,HistGradientBoostingClassifier,product_code,membership,0.026578473610938888,0.0003153425279731761,model_margin_for_repurchase_class
primary_conservative,w1_3,HistGradientBoostingClassifier,w1_3_avg_ott_release_month_weighted,release_month,0.025502886203317875,-0.0031931444529637613,model_margin_for_repurchase_class
primary_conservative,w1_3,HistGradientBoostingClassifier,w1_3_genre_session_count_romance,genre,0.021600980576815,-0.001242892660989911,model_margin_for_repurchase_class
primary_conservative,w1_3,HistGradientBoostingClassifier,w1_3_top_genre_watch_ratio,genre,0.021346028656289963,-0.004920202017225287,model_margin_for_repurchase_class
primary_conservative,w1_3,HistGradientBoostingClassifier,w1_3_genre_ratio_sf_fantasy,genre,0.017470921274437633,0.0026957207358086223,model_margin_for_repurchase_class
primary_conservative,w1_3,HistGradientBoostingClassifier,w1_3_week1_watch_time,usage,0.01576277003826052,-0.00010437769685815685,model_margin_for_repurchase_class
primary_conservative,w1_3,HistGradientBoostingClassifier,w1_3_short_watch_time_le5,usage,0.014609579826202616,0.0007324492576835368,model_margin_for_repurchase_class
primary_conservative,w1_3,HistGradientBoostingClassifier,w1_3_top_genre_watch_time,genre,0.013541782012967992,-0.0025730279969711552,model_margin_for_repurchase_class
primary_conservative,w1_3,HistGradientBoostingClassifier,w1_3_genre_session_count_horror,genre,0.013103749453715782,0.0012423834503009997,model_margin_for_repurchase_class
primary_conservative,w1_3,HistGradientBoostingClassifier,w1_3_genre_watch_time_horror,genre,0.01237060018167147,-0.0016929584942611104,model_margin_for_repurchase_class
primary_conservative,w1_3,HistGradientBoostingClassifier,w1_3_genre_ratio_other,genre,0.011829573339747365,-0.0025715640458055925,model_margin_for_repurchase_class
primary_conservative,w1_3,HistGradientBoostingClassifier,w1_3_short_watch_count_le5,usage,0.011221232190651746,0.0013654927321557126,model_margin_for_repurchase_class
primary_conservative,w1_3,HistGradientBoostingClassifier,w1_3_genre_session_count_sf_fantasy,genre,0.010935808145204633,0.0013402774753356963,model_margin_for_repurchase_class
primary_conservative,w1_3,HistGradientBoostingClassifier,w1_3_genre_session_count_animation_family,genre,0.010395398749096472,-0.0011147188758518878,model_margin_for_repurchase_class
primary_conservative,w1_3,HistGradientBoostingClassifier,w1_3_old_content_watch_ratio,release_month,0.008971182260628398,-0.0006277833224470861,model_margin_for_repurchase_class
primary_conservative,w1_3,HistGradientBoostingClassifier,w1_3_genre_entropy,genre,0.008633633758064033,-0.0021464660160773787,model_margin_for_repurchase_class
primary_conservative,w1_3,HistGradientBoostingClassifier,age,membership,0.0077498121325049515,-3.445222724212643e-05,model_margin_for_repurchase_class
primary_conservative,w1_3,HistGradientBoostingClassifier,payment_device,membership,0.007432267036645819,-0.00011562177908279366,model_margin_for_repurchase_class
primary_conservative,w1_3,HistGradientBoostingClassifier,w1_3_week1_sessions,usage,0.007269434072092516,0.0037705391987989576,model_margin_for_repurchase_class
primary_conservative,w1_3,HistGradientBoostingClassifier,w1_3_week2_sessions,usage,0.006442032023290564,0.0015098834932402183,model_margin_for_repurchase_class
primary_conservative,w1_3,HistGradientBoostingClassifier,w1_3_recent_content_watch_ratio,release_month,0.0060937218915885,0.001970775601900927,model_margin_for_repurchase_class
primary_conservative,w1_3,HistGradientBoostingClassifier,w1_3_genre_watch_time_comedy,genre,0.0053866731150454495,0.00023142097646059413,model_margin_for_repurchase_class
primary_conservative,w1_3,HistGradientBoostingClassifier,w1_3_genre_watch_time_thriller_crime,genre,0.005027616044519169,-0.00036693835868536687,model_margin_for_repurchase_class
primary_conservative,w1_3,HistGradientBoostingClassifier,w1_3_sessions_per_active_day,usage,0.0049271126538452765,0.00038014380235234087,model_margin_for_repurchase_class
primary_conservative,w1_3,HistGradientBoostingClassifier,gender,membership,0.004787403069609584,-0.000233885381337728,model_margin_for_repurchase_class
primary_conservative,w1_3,HistGradientBoostingClassifier,w1_3_genre_watch_time_historical_war,genre,0.004642899208889618,-0.0008316609851444569,model_margin_for_repurchase_class
primary_conservative,w1_3,HistGradientBoostingClassifier,w1_3_genre_session_count_comedy,genre,0.004629207994857373,-0.00011052224497648365,model_margin_for_repurchase_class
primary_conservative,w1_3,HistGradientBoostingClassifier,w1_3_genre_watch_time_action_adventure,genre,0.004422351308734305,0.0009165855937959836,model_margin_for_repurchase_class
primary_conservative,w1_3,HistGradientBoostingClassifier,w1_3_unique_contents,content,0.0043108254555931005,-0.0005270490457882854,model_margin_for_repurchase_class
primary_conservative,w1_3,HistGradientBoostingClassifier,w1_3_unique_watch_days,usage,0.00429409002604317,-0.0010019201794539798,model_margin_for_repurchase_class
primary_conservative,w1_3,HistGradientBoostingClassifier,w1_3_genre_watch_time_other,genre,0.00423273293318924,-0.0011518926144753524,model_margin_for_repurchase_class
primary_conservative,w1_3,HistGradientBoostingClassifier,w1_3_genre_ratio_historical_war,genre,0.0030414259697851857,-0.00014853042901857803,model_margin_for_repurchase_class
primary_conservative,w1_3,HistGradientBoostingClassifier,w1_3_genre_ratio_comedy,genre,0.002640948744161085,-0.00015535885874043266,model_margin_for_repurchase_class
primary_conservative,w1_3,HistGradientBoostingClassifier,w1_3_genre_watch_time_sf_fantasy,genre,0.0025685462079548106,-0.0006500213887753898,model_margin_for_repurchase_class
primary_conservative,w1_3,HistGradientBoostingClassifier,w1_3_one_minute_watch_count,usage,0.0025466494955258536,-0.0002627718284284319,model_margin_for_repurchase_class
primary_conservative,w1_3,HistGradientBoostingClassifier,billing_method,membership,0.0021938141105888507,0.00015047406613087814,model_margin_for_repurchase_class
primary_conservative,w1_3,HistGradientBoostingClassifier,w1_3_genre_session_count_historical_war,genre,0.0018132758725042846,-0.0002980114037991919,model_margin_for_repurchase_class
primary_conservative,w1_3,HistGradientBoostingClassifier,w1_3_total_sessions,usage,0.0008962764719600597,-0.0004643660725844894,model_margin_for_repurchase_class
primary_conservative,w1_3,HistGradientBoostingClassifier,w1_3_genre_session_count_other,genre,0.00031367853461566284,0.0002904043637715403,model_margin_for_repurchase_class
primary_conservative,w1_3,HistGradientBoostingClassifier,is_promotion,membership,0.0,0.0,model_margin_for_repurchase_class
primary_conservative,w1_3,HistGradientBoostingClassifier,w1_3_genre_covered_watch_time,genre,0.0,0.0,model_margin_for_repurchase_class
primary_conservative,w1_3,HistGradientBoostingClassifier,w1_3_genre_covered_watch_ratio,genre,0.0,0.0,model_margin_for_repurchase_class
primary_conservative,w1_3,HistGradientBoostingClassifier,w1_3_content_has_watch_obs,content,0.0,0.0,model_margin_for_repurchase_class
primary_conservative,w1_3,HistGradientBoostingClassifier,w1_3_genre_missing_watch_time,genre,0.0,0.0,model_margin_for_repurchase_class
primary_conservative,w1_3,HistGradientBoostingClassifier,w1_3_genre_missing_watch_ratio,genre,0.0,0.0,model_margin_for_repurchase_class
primary_conservative,w1_3,HistGradientBoostingClassifier,w1_3_release_month_covered_watch_ratio,release_month,0.0,0.0,model_margin_for_repurchase_class
primary_conservative,w1_3,HistGradientBoostingClassifier,w1_3_has_watch_obs,usage,0.0,0.0,model_margin_for_repurchase_class
primary_conservative,w1_3,HistGradientBoostingClassifier,w1_3_no_watch_obs_flag,usage,0.0,0.0,model_margin_for_repurchase_class
