column_name,dtype,missing_count,unique_count,feature_family,sub_family,original_role_if_known,likely_business_intent,team_feature_or_source_column,availability_at_day21,timing_risk,leakage_risk,target_proxy_risk,response_period_risk,llm_proposed_decision,reason,caution,evidence_source,final_decision_status,user_approval_required,in_conservative_22,content_context_caveat,plan
is_male,int64,0,2,membership_context,membership_or_demographic,membership_or_registration,user/plan characteristics known at registration,yes,yes,low,low,low,low,candidate_for_expanded_feature_set,Known at subscription start; available at day21 scoring point,Check redundancy between derived and parent columns,05x_rule_based_classification,pending_user_approval,yes,False,False,expanded_feature_set_candidate
reg_is_weekend,int64,0,2,membership_context,membership_or_demographic,membership_or_registration,user/plan characteristics known at registration,yes,yes,low,low,low,low,candidate_for_expanded_feature_set,Known at subscription start; available at day21 scoring point,Check redundancy between derived and parent columns,05x_rule_based_classification,pending_user_approval,yes,False,False,expanded_feature_set_candidate
reg_hour_morning,int64,0,2,membership_context,membership_or_demographic,membership_or_registration,user/plan characteristics known at registration,yes,yes,low,low,low,low,candidate_for_expanded_feature_set,Known at subscription start; available at day21 scoring point,Check redundancy between derived and parent columns,05x_rule_based_classification,pending_user_approval,yes,False,False,expanded_feature_set_candidate
reg_hour_afternoon,int64,0,2,membership_context,membership_or_demographic,membership_or_registration,user/plan characteristics known at registration,yes,yes,low,low,low,low,candidate_for_expanded_feature_set,Known at subscription start; available at day21 scoring point,Check redundancy between derived and parent columns,05x_rule_based_classification,pending_user_approval,yes,False,False,expanded_feature_set_candidate
reg_hour_evening,int64,0,2,membership_context,membership_or_demographic,membership_or_registration,user/plan characteristics known at registration,yes,yes,low,low,low,low,candidate_for_expanded_feature_set,Known at subscription start; available at day21 scoring point,Check redundancy between derived and parent columns,05x_rule_based_classification,pending_user_approval,yes,False,False,expanded_feature_set_candidate
reg_hour_night,int64,0,2,membership_context,membership_or_demographic,membership_or_registration,user/plan characteristics known at registration,yes,yes,low,low,low,low,candidate_for_expanded_feature_set,Known at subscription start; available at day21 scoring point,Check redundancy between derived and parent columns,05x_rule_based_classification,pending_user_approval,yes,False,False,expanded_feature_set_candidate
payment_is_mobile,int64,0,2,membership_context,membership_or_demographic,membership_or_registration,user/plan characteristics known at registration,yes,yes,low,low,low,low,candidate_for_expanded_feature_set,Known at subscription start; available at day21 scoring point,Check redundancy between derived and parent columns,05x_rule_based_classification,pending_user_approval,yes,False,False,expanded_feature_set_candidate
payment_is_pc,int64,0,2,membership_context,membership_or_demographic,membership_or_registration,user/plan characteristics known at registration,yes,yes,low,low,low,low,candidate_for_expanded_feature_set,Known at subscription start; available at day21 scoring point,Check redundancy between derived and parent columns,05x_rule_based_classification,pending_user_approval,yes,False,False,expanded_feature_set_candidate
payment_is_android,int64,0,2,membership_context,membership_or_demographic,membership_or_registration,user/plan characteristics known at registration,yes,yes,low,low,low,low,candidate_for_expanded_feature_set,Known at subscription start; available at day21 scoring point,Check redundancy between derived and parent columns,05x_rule_based_classification,pending_user_approval,yes,False,False,expanded_feature_set_candidate
payment_is_ios,int64,0,2,membership_context,membership_or_demographic,membership_or_registration,user/plan characteristics known at registration,yes,yes,low,low,low,low,candidate_for_expanded_feature_set,Known at subscription start; available at day21 scoring point,Check redundancy between derived and parent columns,05x_rule_based_classification,pending_user_approval,yes,False,False,expanded_feature_set_candidate
total_watch_count,int64,0,60,usage_behavior_summary,total_or_aggregate,usage_aggregate,aggregate viewing behavior metric,yes,likely_yes,medium,low,low,low,candidate_for_expanded_with_caveat,09b archive validated total_watch_time/count match day0-20; other aggregate cols likely same window but naming suggests all-period,total_ naming misleading; confirm all cols are day0-20 window,05x_rule_based_classification,pending_user_approval,yes,False,True,expanded_feature_set_candidate
unique_movie,int64,0,42,usage_behavior_summary,total_or_aggregate,usage_aggregate,aggregate viewing behavior metric,yes,likely_yes,medium,low,low,low,candidate_for_expanded_with_caveat,09b archive validated total_watch_time/count match day0-20; other aggregate cols likely same window but naming suggests all-period,total_ naming misleading; confirm all cols are day0-20 window,05x_rule_based_classification,pending_user_approval,yes,False,True,expanded_feature_set_candidate
watch_days,int64,0,20,usage_behavior_summary,total_or_aggregate,usage_aggregate,aggregate viewing behavior metric,yes,likely_yes,medium,low,low,low,candidate_for_expanded_with_caveat,09b archive validated total_watch_time/count match day0-20; other aggregate cols likely same window but naming suggests all-period,total_ naming misleading; confirm all cols are day0-20 window,05x_rule_based_classification,pending_user_approval,yes,False,True,expanded_feature_set_candidate
active_ratio,float64,0,20,usage_behavior_summary,total_or_aggregate,usage_aggregate,aggregate viewing behavior metric,yes,likely_yes,medium,low,low,low,candidate_for_expanded_with_caveat,09b archive validated total_watch_time/count match day0-20; other aggregate cols likely same window but naming suggests all-period,total_ naming misleading; confirm all cols are day0-20 window,05x_rule_based_classification,pending_user_approval,yes,False,True,expanded_feature_set_candidate
total_watch_time(min),int64,0,1547,usage_behavior_summary,total_or_aggregate,usage_aggregate,aggregate viewing behavior metric,yes,likely_yes,medium,low,low,low,candidate_for_expanded_with_caveat,09b archive validated total_watch_time/count match day0-20; other aggregate cols likely same window but naming suggests all-period,total_ naming misleading; confirm all cols are day0-20 window,05x_rule_based_classification,pending_user_approval,yes,False,True,expanded_feature_set_candidate
watch_per_day,float64,0,239,usage_behavior_summary,total_or_aggregate,usage_aggregate,aggregate viewing behavior metric,yes,likely_yes,medium,low,low,low,candidate_for_expanded_with_caveat,09b archive validated total_watch_time/count match day0-20; other aggregate cols likely same window but naming suggests all-period,total_ naming misleading; confirm all cols are day0-20 window,05x_rule_based_classification,pending_user_approval,yes,False,True,expanded_feature_set_candidate
avg_watch_time(min),float64,0,5290,usage_behavior_summary,total_or_aggregate,usage_aggregate,aggregate viewing behavior metric,yes,likely_yes,medium,low,low,low,candidate_for_expanded_with_caveat,09b archive validated total_watch_time/count match day0-20; other aggregate cols likely same window but naming suggests all-period,total_ naming misleading; confirm all cols are day0-20 window,05x_rule_based_classification,pending_user_approval,yes,False,True,expanded_feature_set_candidate
median_watch_time(min),float64,0,331,usage_behavior_summary,total_or_aggregate,usage_aggregate,aggregate viewing behavior metric,yes,likely_yes,medium,low,low,low,candidate_for_expanded_with_caveat,09b archive validated total_watch_time/count match day0-20; other aggregate cols likely same window but naming suggests all-period,total_ naming misleading; confirm all cols are day0-20 window,05x_rule_based_classification,pending_user_approval,yes,False,True,expanded_feature_set_candidate
std_watch_time(min),float64,0,15547,usage_behavior_summary,total_or_aggregate,usage_aggregate,aggregate viewing behavior metric,yes,likely_yes,medium,low,low,low,candidate_for_expanded_with_caveat,09b archive validated total_watch_time/count match day0-20; other aggregate cols likely same window but naming suggests all-period,total_ naming misleading; confirm all cols are day0-20 window,05x_rule_based_classification,pending_user_approval,yes,False,True,expanded_feature_set_candidate
avg_daily_watch_time(min),float64,0,3896,usage_behavior_summary,total_or_aggregate,usage_aggregate,aggregate viewing behavior metric,yes,likely_yes,medium,low,low,low,candidate_for_expanded_with_caveat,09b archive validated total_watch_time/count match day0-20; other aggregate cols likely same window but naming suggests all-period,total_ naming misleading; confirm all cols are day0-20 window,05x_rule_based_classification,pending_user_approval,yes,False,True,expanded_feature_set_candidate
max_watch_time(min),int64,0,201,usage_behavior_summary,total_or_aggregate,usage_aggregate,aggregate viewing behavior metric,yes,likely_yes,medium,low,low,low,candidate_for_expanded_with_caveat,09b archive validated total_watch_time/count match day0-20; other aggregate cols likely same window but naming suggests all-period,total_ naming misleading; confirm all cols are day0-20 window,05x_rule_based_classification,pending_user_approval,yes,False,True,expanded_feature_set_candidate
max_daily_watch_time(min),int64,0,634,usage_behavior_summary,total_or_aggregate,usage_aggregate,aggregate viewing behavior metric,yes,likely_yes,medium,low,low,low,candidate_for_expanded_with_caveat,09b archive validated total_watch_time/count match day0-20; other aggregate cols likely same window but naming suggests all-period,total_ naming misleading; confirm all cols are day0-20 window,05x_rule_based_classification,pending_user_approval,yes,False,True,expanded_feature_set_candidate
max_daily_sessions,int64,0,27,usage_behavior_summary,total_or_aggregate,usage_aggregate,aggregate viewing behavior metric,yes,likely_yes,medium,low,low,low,candidate_for_expanded_with_caveat,09b archive validated total_watch_time/count match day0-20; other aggregate cols likely same window but naming suggests all-period,total_ naming misleading; confirm all cols are day0-20 window,05x_rule_based_classification,pending_user_approval,yes,False,True,expanded_feature_set_candidate
avg_gap_between_watch_days,float64,0,118,usage_behavior_summary,total_or_aggregate,usage_aggregate,aggregate viewing behavior metric,yes,likely_yes,medium,low,low,low,candidate_for_expanded_with_caveat,09b archive validated total_watch_time/count match day0-20; other aggregate cols likely same window but naming suggests all-period,total_ naming misleading; confirm all cols are day0-20 window,05x_rule_based_classification,pending_user_approval,yes,False,True,expanded_feature_set_candidate
avg_gap_w1_watch_days,float64,0,13,weekly_behavior,conservative_window,weekly_feature,day0-20 weekly viewing behavior,yes,yes,low,low,low,low,keep_in_conservative_safe_22,Confirmed weekly-window feature; validated in pre-13b baseline,,05x_rule_based_classification,pending_user_approval,no,True,False,expanded_feature_set_candidate
avg_gap_w2_watch_days,float64,0,13,weekly_behavior,conservative_window,weekly_feature,day0-20 weekly viewing behavior,yes,yes,low,low,low,low,keep_in_conservative_safe_22,Confirmed weekly-window feature; validated in pre-13b baseline,,05x_rule_based_classification,pending_user_approval,no,True,False,expanded_feature_set_candidate
avg_gap_w3_watch_days,float64,0,13,weekly_behavior,conservative_window,weekly_feature,day0-20 weekly viewing behavior,yes,yes,low,low,low,low,keep_in_conservative_safe_22,Confirmed weekly-window feature; validated in pre-13b baseline,,05x_rule_based_classification,pending_user_approval,no,True,False,expanded_feature_set_candidate
max_inactive_gap_days,int64,0,21,usage_behavior_summary,total_or_aggregate,usage_aggregate,aggregate viewing behavior metric,yes,likely_yes,medium,low,low,low,candidate_for_expanded_with_caveat,09b archive validated total_watch_time/count match day0-20; other aggregate cols likely same window but naming suggests all-period,total_ naming misleading; confirm all cols are day0-20 window,05x_rule_based_classification,pending_user_approval,yes,False,True,expanded_feature_set_candidate
avg_rewatch_ratio,float64,0,169,usage_behavior_summary,total_or_aggregate,usage_aggregate,aggregate viewing behavior metric,yes,likely_yes,medium,low,low,low,candidate_for_expanded_with_caveat,09b archive validated total_watch_time/count match day0-20; other aggregate cols likely same window but naming suggests all-period,total_ naming misleading; confirm all cols are day0-20 window,05x_rule_based_classification,pending_user_approval,yes,False,True,expanded_feature_set_candidate
weekend_watch_ratio,float64,0,319,usage_behavior_summary,total_or_aggregate,usage_aggregate,aggregate viewing behavior metric,yes,likely_yes,medium,low,low,low,candidate_for_expanded_with_caveat,09b archive validated total_watch_time/count match day0-20; other aggregate cols likely same window but naming suggests all-period,total_ naming misleading; confirm all cols are day0-20 window,05x_rule_based_classification,pending_user_approval,yes,False,True,expanded_feature_set_candidate
watch_ratio_under_1m,float64,0,289,usage_behavior_summary,total_or_aggregate,usage_aggregate,aggregate viewing behavior metric,yes,likely_yes,medium,low,low,low,candidate_for_expanded_with_caveat,09b archive validated total_watch_time/count match day0-20; other aggregate cols likely same window but naming suggests all-period,total_ naming misleading; confirm all cols are day0-20 window,05x_rule_based_classification,pending_user_approval,yes,False,True,expanded_feature_set_candidate
watch_ratio_under_5m,float64,0,311,usage_behavior_summary,total_or_aggregate,usage_aggregate,aggregate viewing behavior metric,yes,likely_yes,medium,low,low,low,candidate_for_expanded_with_caveat,09b archive validated total_watch_time/count match day0-20; other aggregate cols likely same window but naming suggests all-period,total_ naming misleading; confirm all cols are day0-20 window,05x_rule_based_classification,pending_user_approval,yes,False,True,expanded_feature_set_candidate
is_cold_start_3d,int64,0,2,weekly_behavior,conservative_window,weekly_feature,day0-20 weekly viewing behavior,yes,yes,low,low,low,low,keep_in_conservative_safe_22,Confirmed weekly-window feature; validated in pre-13b baseline,,05x_rule_based_classification,pending_user_approval,no,True,False,expanded_feature_set_candidate
is_cold_start_7d,int64,0,2,weekly_behavior,conservative_window,weekly_feature,day0-20 weekly viewing behavior,yes,yes,low,low,low,low,keep_in_conservative_safe_22,Confirmed weekly-window feature; validated in pre-13b baseline,,05x_rule_based_classification,pending_user_approval,no,True,False,expanded_feature_set_candidate
movie_per_active_day,float64,0,226,usage_behavior_summary,total_or_aggregate,usage_aggregate,aggregate viewing behavior metric,yes,likely_yes,medium,low,low,low,candidate_for_expanded_with_caveat,09b archive validated total_watch_time/count match day0-20; other aggregate cols likely same window but naming suggests all-period,total_ naming misleading; confirm all cols are day0-20 window,05x_rule_based_classification,pending_user_approval,yes,False,True,expanded_feature_set_candidate
max_day_share,float64,0,12004,usage_behavior_summary,total_or_aggregate,usage_aggregate,aggregate viewing behavior metric,yes,likely_yes,medium,low,low,low,candidate_for_expanded_with_caveat,09b archive validated total_watch_time/count match day0-20; other aggregate cols likely same window but naming suggests all-period,total_ naming misleading; confirm all cols are day0-20 window,05x_rule_based_classification,pending_user_approval,yes,False,True,expanded_feature_set_candidate
day_count_over_3times,int64,0,12,usage_behavior_summary,total_or_aggregate,usage_aggregate,aggregate viewing behavior metric,yes,likely_yes,medium,low,low,low,candidate_for_expanded_with_caveat,09b archive validated total_watch_time/count match day0-20; other aggregate cols likely same window but naming suggests all-period,total_ naming misleading; confirm all cols are day0-20 window,05x_rule_based_classification,pending_user_approval,yes,False,True,expanded_feature_set_candidate
watch_time(min)_w1,int64,0,857,weekly_behavior,conservative_window,weekly_feature,day0-20 weekly viewing behavior,yes,yes,low,low,low,low,keep_in_conservative_safe_22,Confirmed weekly-window feature; validated in pre-13b baseline,,05x_rule_based_classification,pending_user_approval,no,True,False,expanded_feature_set_candidate
watch_time(min)_w2,int64,0,851,weekly_behavior,conservative_window,weekly_feature,day0-20 weekly viewing behavior,yes,yes,low,low,low,low,keep_in_conservative_safe_22,Confirmed weekly-window feature; validated in pre-13b baseline,,05x_rule_based_classification,pending_user_approval,no,True,False,expanded_feature_set_candidate
watch_time(min)_w3,int64,0,842,weekly_behavior,conservative_window,weekly_feature,day0-20 weekly viewing behavior,yes,yes,low,low,low,low,keep_in_conservative_safe_22,Confirmed weekly-window feature; validated in pre-13b baseline,,05x_rule_based_classification,pending_user_approval,no,True,False,expanded_feature_set_candidate
watch_session_w1,int64,0,36,weekly_behavior,conservative_window,weekly_feature,day0-20 weekly viewing behavior,yes,yes,low,low,low,low,keep_in_conservative_safe_22,Confirmed weekly-window feature; validated in pre-13b baseline,,05x_rule_based_classification,pending_user_approval,no,True,False,expanded_feature_set_candidate
watch_session_w2,int64,0,36,weekly_behavior,conservative_window,weekly_feature,day0-20 weekly viewing behavior,yes,yes,low,low,low,low,keep_in_conservative_safe_22,Confirmed weekly-window feature; validated in pre-13b baseline,,05x_rule_based_classification,pending_user_approval,no,True,False,expanded_feature_set_candidate
watch_session_w3,int64,0,37,weekly_behavior,conservative_window,weekly_feature,day0-20 weekly viewing behavior,yes,yes,low,low,low,low,keep_in_conservative_safe_22,Confirmed weekly-window feature; validated in pre-13b baseline,,05x_rule_based_classification,pending_user_approval,no,True,False,expanded_feature_set_candidate
retention_w2_ratio,float64,0,8635,weekly_behavior,conservative_window,weekly_feature,day0-20 weekly viewing behavior,yes,yes,low,low,low,low,keep_in_conservative_safe_22,Confirmed weekly-window feature; validated in pre-13b baseline,,05x_rule_based_classification,pending_user_approval,no,True,False,expanded_feature_set_candidate
retention_w3_ratio,float64,0,8540,weekly_behavior,conservative_window,weekly_feature,day0-20 weekly viewing behavior,yes,yes,low,low,low,low,keep_in_conservative_safe_22,Confirmed weekly-window feature; validated in pre-13b baseline,,05x_rule_based_classification,pending_user_approval,no,True,False,expanded_feature_set_candidate
diff_between_w2_w1,int64,0,1385,weekly_behavior,conservative_window,weekly_feature,day0-20 weekly viewing behavior,yes,yes,low,low,low,low,keep_in_conservative_safe_22,Confirmed weekly-window feature; validated in pre-13b baseline,,05x_rule_based_classification,pending_user_approval,no,True,False,expanded_feature_set_candidate
diff_between_w3_w1,int64,0,1486,weekly_behavior,conservative_window,weekly_feature,day0-20 weekly viewing behavior,yes,yes,low,low,low,low,keep_in_conservative_safe_22,Confirmed weekly-window feature; validated in pre-13b baseline,,05x_rule_based_classification,pending_user_approval,no,True,False,expanded_feature_set_candidate
diff_between_w3_w2,int64,0,1409,weekly_behavior,conservative_window,weekly_feature,day0-20 weekly viewing behavior,yes,yes,low,low,low,low,keep_in_conservative_safe_22,Confirmed weekly-window feature; validated in pre-13b baseline,,05x_rule_based_classification,pending_user_approval,no,True,False,expanded_feature_set_candidate
is_w1_over_50pct,int64,0,2,weekly_behavior,conservative_window,weekly_feature,day0-20 weekly viewing behavior,yes,yes,low,low,low,low,keep_in_conservative_safe_22,Confirmed weekly-window feature; validated in pre-13b baseline,,05x_rule_based_classification,pending_user_approval,no,True,False,expanded_feature_set_candidate
is_w2_over_50pct,int64,0,2,weekly_behavior,conservative_window,weekly_feature,day0-20 weekly viewing behavior,yes,yes,low,low,low,low,keep_in_conservative_safe_22,Confirmed weekly-window feature; validated in pre-13b baseline,,05x_rule_based_classification,pending_user_approval,no,True,False,expanded_feature_set_candidate
is_w3_over_50pct,int64,0,2,weekly_behavior,conservative_window,weekly_feature,day0-20 weekly viewing behavior,yes,yes,low,low,low,low,keep_in_conservative_safe_22,Confirmed weekly-window feature; validated in pre-13b baseline,,05x_rule_based_classification,pending_user_approval,no,True,False,expanded_feature_set_candidate
is_only_w1,int64,0,2,weekly_behavior,conservative_window,weekly_feature,day0-20 weekly viewing behavior,yes,yes,low,low,low,low,keep_in_conservative_safe_22,Confirmed weekly-window feature; validated in pre-13b baseline,,05x_rule_based_classification,pending_user_approval,no,True,False,expanded_feature_set_candidate
is_only_w2,int64,0,2,weekly_behavior,conservative_window,weekly_feature,day0-20 weekly viewing behavior,yes,yes,low,low,low,low,keep_in_conservative_safe_22,Confirmed weekly-window feature; validated in pre-13b baseline,,05x_rule_based_classification,pending_user_approval,no,True,False,expanded_feature_set_candidate
is_only_w3,int64,0,2,weekly_behavior,conservative_window,weekly_feature,day0-20 weekly viewing behavior,yes,yes,low,low,low,low,keep_in_conservative_safe_22,Confirmed weekly-window feature; validated in pre-13b baseline,,05x_rule_based_classification,pending_user_approval,no,True,False,expanded_feature_set_candidate
new_movie_in_90d_ratio,float64,0,234,content_preference,genre_or_content,content_feature,content/genre preference during observation window,yes,likely_yes,medium,low,low,low,candidate_for_expanded_with_caveat,Likely computed from day0-20 window; 09b found 206-row genre mismatch due to Movie_Master MOVIE_NUM duplication caveat,Confirm observation window is day0-20; genre mismatch caveat from 09b still open,05x_rule_based_classification,pending_user_approval,yes,False,True,expanded_feature_set_candidate
new_movie_in_180d_ratio,float64,0,250,content_preference,genre_or_content,content_feature,content/genre preference during observation window,yes,likely_yes,medium,low,low,low,candidate_for_expanded_with_caveat,Likely computed from day0-20 window; 09b found 206-row genre mismatch due to Movie_Master MOVIE_NUM duplication caveat,Confirm observation window is day0-20; genre mismatch caveat from 09b still open,05x_rule_based_classification,pending_user_approval,yes,False,True,expanded_feature_set_candidate
new_movie_in_365d_ratio,float64,0,275,content_preference,genre_or_content,content_feature,content/genre preference during observation window,yes,likely_yes,medium,low,low,low,candidate_for_expanded_with_caveat,Likely computed from day0-20 window; 09b found 206-row genre mismatch due to Movie_Master MOVIE_NUM duplication caveat,Confirm observation window is day0-20; genre mismatch caveat from 09b still open,05x_rule_based_classification,pending_user_approval,yes,False,True,expanded_feature_set_candidate
old_movie_ratio(5y),float64,0,225,content_preference,genre_or_content,content_feature,content/genre preference during observation window,yes,likely_yes,medium,low,low,low,candidate_for_expanded_with_caveat,Likely computed from day0-20 window; 09b found 206-row genre mismatch due to Movie_Master MOVIE_NUM duplication caveat,Confirm observation window is day0-20; genre mismatch caveat from 09b still open,05x_rule_based_classification,pending_user_approval,yes,False,True,expanded_feature_set_candidate
avg_ott_release_year,float64,0,15059,content_preference,genre_or_content,content_feature,content/genre preference during observation window,yes,likely_yes,medium,low,low,low,candidate_for_expanded_with_caveat,Likely computed from day0-20 window; 09b found 206-row genre mismatch due to Movie_Master MOVIE_NUM duplication caveat,Confirm observation window is day0-20; genre mismatch caveat from 09b still open,05x_rule_based_classification,pending_user_approval,yes,False,True,expanded_feature_set_candidate
genre_diversity_count,int64,0,12,content_preference,genre_or_content,content_feature,content/genre preference during observation window,yes,likely_yes,medium,low,low,low,candidate_for_expanded_with_caveat,Likely computed from day0-20 window; 09b found 206-row genre mismatch due to Movie_Master MOVIE_NUM duplication caveat,Confirm observation window is day0-20; genre mismatch caveat from 09b still open,05x_rule_based_classification,pending_user_approval,yes,False,True,expanded_feature_set_candidate
action_adventure_ratio,float64,0,6052,content_preference,genre_or_content,content_feature,content/genre preference during observation window,yes,likely_yes,medium,low,low,low,candidate_for_expanded_with_caveat,Likely computed from day0-20 window; 09b found 206-row genre mismatch due to Movie_Master MOVIE_NUM duplication caveat,Confirm observation window is day0-20; genre mismatch caveat from 09b still open,05x_rule_based_classification,pending_user_approval,yes,False,True,expanded_feature_set_candidate
family_animation_ratio,float64,0,4103,content_preference,genre_or_content,content_feature,content/genre preference during observation window,yes,likely_yes,medium,low,low,low,candidate_for_expanded_with_caveat,Likely computed from day0-20 window; 09b found 206-row genre mismatch due to Movie_Master MOVIE_NUM duplication caveat,Confirm observation window is day0-20; genre mismatch caveat from 09b still open,05x_rule_based_classification,pending_user_approval,yes,False,True,expanded_feature_set_candidate
drama_ratio,float64,0,8057,content_preference,genre_or_content,content_feature,content/genre preference during observation window,yes,likely_yes,medium,low,low,low,candidate_for_expanded_with_caveat,Likely computed from day0-20 window; 09b found 206-row genre mismatch due to Movie_Master MOVIE_NUM duplication caveat,Confirm observation window is day0-20; genre mismatch caveat from 09b still open,05x_rule_based_classification,pending_user_approval,yes,False,True,expanded_feature_set_candidate
thriller_crime_ratio,float64,0,6632,content_preference,genre_or_content,content_feature,content/genre preference during observation window,yes,likely_yes,medium,low,low,low,candidate_for_expanded_with_caveat,Likely computed from day0-20 window; 09b found 206-row genre mismatch due to Movie_Master MOVIE_NUM duplication caveat,Confirm observation window is day0-20; genre mismatch caveat from 09b still open,05x_rule_based_classification,pending_user_approval,yes,False,True,expanded_feature_set_candidate
sf_fantasy_ratio,float64,0,5247,content_preference,genre_or_content,content_feature,content/genre preference during observation window,yes,likely_yes,medium,low,low,low,candidate_for_expanded_with_caveat,Likely computed from day0-20 window; 09b found 206-row genre mismatch due to Movie_Master MOVIE_NUM duplication caveat,Confirm observation window is day0-20; genre mismatch caveat from 09b still open,05x_rule_based_classification,pending_user_approval,yes,False,True,expanded_feature_set_candidate
comedy_ratio,float64,0,5466,content_preference,genre_or_content,content_feature,content/genre preference during observation window,yes,likely_yes,medium,low,low,low,candidate_for_expanded_with_caveat,Likely computed from day0-20 window; 09b found 206-row genre mismatch due to Movie_Master MOVIE_NUM duplication caveat,Confirm observation window is day0-20; genre mismatch caveat from 09b still open,05x_rule_based_classification,pending_user_approval,yes,False,True,expanded_feature_set_candidate
romance_ratio,float64,0,5414,content_preference,genre_or_content,content_feature,content/genre preference during observation window,yes,likely_yes,medium,low,low,low,candidate_for_expanded_with_caveat,Likely computed from day0-20 window; 09b found 206-row genre mismatch due to Movie_Master MOVIE_NUM duplication caveat,Confirm observation window is day0-20; genre mismatch caveat from 09b still open,05x_rule_based_classification,pending_user_approval,yes,False,True,expanded_feature_set_candidate
horror_ratio,float64,0,2335,content_preference,genre_or_content,content_feature,content/genre preference during observation window,yes,likely_yes,medium,low,low,low,candidate_for_expanded_with_caveat,Likely computed from day0-20 window; 09b found 206-row genre mismatch due to Movie_Master MOVIE_NUM duplication caveat,Confirm observation window is day0-20; genre mismatch caveat from 09b still open,05x_rule_based_classification,pending_user_approval,yes,False,True,expanded_feature_set_candidate
