column_name,dtype,missing_count,unique_count,feature_family,sub_family,original_role_if_known,likely_business_intent,team_feature_or_source_column,availability_at_day21,timing_risk,leakage_risk,target_proxy_risk,response_period_risk,llm_proposed_decision,reason,caution,evidence_source,final_decision_status,user_approval_required,plan
avg_gap_w1_watch_days,float64,0,13,weekly_behavior,conservative_window,weekly_feature,day0-20 weekly viewing behavior,yes,yes,low,low,low,low,keep_in_conservative_safe_22,Confirmed weekly-window feature; validated in pre-13b baseline,,05x_rule_based_classification,pending_user_approval,no,conservative_safe_22
retention_w2_ratio,float64,0,8635,weekly_behavior,conservative_window,weekly_feature,day0-20 weekly viewing behavior,yes,yes,low,low,low,low,keep_in_conservative_safe_22,Confirmed weekly-window feature; validated in pre-13b baseline,,05x_rule_based_classification,pending_user_approval,no,conservative_safe_22
retention_w3_ratio,float64,0,8540,weekly_behavior,conservative_window,weekly_feature,day0-20 weekly viewing behavior,yes,yes,low,low,low,low,keep_in_conservative_safe_22,Confirmed weekly-window feature; validated in pre-13b baseline,,05x_rule_based_classification,pending_user_approval,no,conservative_safe_22
diff_between_w2_w1,int64,0,1385,weekly_behavior,conservative_window,weekly_feature,day0-20 weekly viewing behavior,yes,yes,low,low,low,low,keep_in_conservative_safe_22,Confirmed weekly-window feature; validated in pre-13b baseline,,05x_rule_based_classification,pending_user_approval,no,conservative_safe_22
diff_between_w3_w1,int64,0,1486,weekly_behavior,conservative_window,weekly_feature,day0-20 weekly viewing behavior,yes,yes,low,low,low,low,keep_in_conservative_safe_22,Confirmed weekly-window feature; validated in pre-13b baseline,,05x_rule_based_classification,pending_user_approval,no,conservative_safe_22
diff_between_w3_w2,int64,0,1409,weekly_behavior,conservative_window,weekly_feature,day0-20 weekly viewing behavior,yes,yes,low,low,low,low,keep_in_conservative_safe_22,Confirmed weekly-window feature; validated in pre-13b baseline,,05x_rule_based_classification,pending_user_approval,no,conservative_safe_22
is_w1_over_50pct,int64,0,2,weekly_behavior,conservative_window,weekly_feature,day0-20 weekly viewing behavior,yes,yes,low,low,low,low,keep_in_conservative_safe_22,Confirmed weekly-window feature; validated in pre-13b baseline,,05x_rule_based_classification,pending_user_approval,no,conservative_safe_22
is_w2_over_50pct,int64,0,2,weekly_behavior,conservative_window,weekly_feature,day0-20 weekly viewing behavior,yes,yes,low,low,low,low,keep_in_conservative_safe_22,Confirmed weekly-window feature; validated in pre-13b baseline,,05x_rule_based_classification,pending_user_approval,no,conservative_safe_22
is_w3_over_50pct,int64,0,2,weekly_behavior,conservative_window,weekly_feature,day0-20 weekly viewing behavior,yes,yes,low,low,low,low,keep_in_conservative_safe_22,Confirmed weekly-window feature; validated in pre-13b baseline,,05x_rule_based_classification,pending_user_approval,no,conservative_safe_22
is_only_w1,int64,0,2,weekly_behavior,conservative_window,weekly_feature,day0-20 weekly viewing behavior,yes,yes,low,low,low,low,keep_in_conservative_safe_22,Confirmed weekly-window feature; validated in pre-13b baseline,,05x_rule_based_classification,pending_user_approval,no,conservative_safe_22
is_only_w2,int64,0,2,weekly_behavior,conservative_window,weekly_feature,day0-20 weekly viewing behavior,yes,yes,low,low,low,low,keep_in_conservative_safe_22,Confirmed weekly-window feature; validated in pre-13b baseline,,05x_rule_based_classification,pending_user_approval,no,conservative_safe_22
is_only_w3,int64,0,2,weekly_behavior,conservative_window,weekly_feature,day0-20 weekly viewing behavior,yes,yes,low,low,low,low,keep_in_conservative_safe_22,Confirmed weekly-window feature; validated in pre-13b baseline,,05x_rule_based_classification,pending_user_approval,no,conservative_safe_22
