column_name,feature_family,llm_proposed_decision,reason,caution,final_decision_status,user_question,user_decision
reg_hour,membership_context,candidate_for_expanded_feature_set,Known at subscription start; available at day21 scoring point,Check redundancy between derived and parent columns,pending_user_approval,Do you approve including reg_hour in expanded_feature_set? Reason: Known at subscription start; available at day21 scoring point,pending
end_date,subscription_metadata,forbidden_or_audit_only,May encode outcome; unclear if observable at day21 scoring point,Confirm day21 observability before any use,pending_user_approval,Confirm handling of end_date: May encode outcome; unclear if observable at day21 scoring point,pending
is_standard,membership_context,candidate_for_expanded_feature_set,Known at subscription start; available at day21 scoring point,Check redundancy between derived and parent columns,pending_user_approval,Do you approve including is_standard in expanded_feature_set? Reason: Known at subscription start; available at day21 scoring point,pending
is_premium,membership_context,candidate_for_expanded_feature_set,Known at subscription start; available at day21 scoring point,Check redundancy between derived and parent columns,pending_user_approval,Do you approve including is_premium in expanded_feature_set? Reason: Known at subscription start; available at day21 scoring point,pending
age_group,membership_context,candidate_for_expanded_feature_set,Known at subscription start; available at day21 scoring point,Check redundancy between derived and parent columns,pending_user_approval,Do you approve including age_group in expanded_feature_set? Reason: Known at subscription start; available at day21 scoring point,pending
is_female,membership_context,candidate_for_expanded_feature_set,Known at subscription start; available at day21 scoring point,Check redundancy between derived and parent columns,pending_user_approval,Do you approve including is_female in expanded_feature_set? Reason: Known at subscription start; available at day21 scoring point,pending
is_male,membership_context,candidate_for_expanded_feature_set,Known at subscription start; available at day21 scoring point,Check redundancy between derived and parent columns,pending_user_approval,Do you approve including is_male in expanded_feature_set? Reason: Known at subscription start; available at day21 scoring point,pending
reg_is_weekend,membership_context,candidate_for_expanded_feature_set,Known at subscription start; available at day21 scoring point,Check redundancy between derived and parent columns,pending_user_approval,Do you approve including reg_is_weekend in expanded_feature_set? Reason: Known at subscription start; available at day21 scoring point,pending
reg_hour_morning,membership_context,candidate_for_expanded_feature_set,Known at subscription start; available at day21 scoring point,Check redundancy between derived and parent columns,pending_user_approval,Do you approve including reg_hour_morning in expanded_feature_set? Reason: Known at subscription start; available at day21 scoring point,pending
reg_hour_afternoon,membership_context,candidate_for_expanded_feature_set,Known at subscription start; available at day21 scoring point,Check redundancy between derived and parent columns,pending_user_approval,Do you approve including reg_hour_afternoon in expanded_feature_set? Reason: Known at subscription start; available at day21 scoring point,pending
reg_hour_evening,membership_context,candidate_for_expanded_feature_set,Known at subscription start; available at day21 scoring point,Check redundancy between derived and parent columns,pending_user_approval,Do you approve including reg_hour_evening in expanded_feature_set? Reason: Known at subscription start; available at day21 scoring point,pending
reg_hour_night,membership_context,candidate_for_expanded_feature_set,Known at subscription start; available at day21 scoring point,Check redundancy between derived and parent columns,pending_user_approval,Do you approve including reg_hour_night in expanded_feature_set? Reason: Known at subscription start; available at day21 scoring point,pending
payment_is_mobile,membership_context,candidate_for_expanded_feature_set,Known at subscription start; available at day21 scoring point,Check redundancy between derived and parent columns,pending_user_approval,Do you approve including payment_is_mobile in expanded_feature_set? Reason: Known at subscription start; available at day21 scoring point,pending
payment_is_pc,membership_context,candidate_for_expanded_feature_set,Known at subscription start; available at day21 scoring point,Check redundancy between derived and parent columns,pending_user_approval,Do you approve including payment_is_pc in expanded_feature_set? Reason: Known at subscription start; available at day21 scoring point,pending
payment_is_android,membership_context,candidate_for_expanded_feature_set,Known at subscription start; available at day21 scoring point,Check redundancy between derived and parent columns,pending_user_approval,Do you approve including payment_is_android in expanded_feature_set? Reason: Known at subscription start; available at day21 scoring point,pending
payment_is_ios,membership_context,candidate_for_expanded_feature_set,Known at subscription start; available at day21 scoring point,Check redundancy between derived and parent columns,pending_user_approval,Do you approve including payment_is_ios in expanded_feature_set? Reason: Known at subscription start; available at day21 scoring point,pending
total_watch_count,usage_behavior_summary,candidate_for_expanded_with_caveat,09b archive validated total_watch_time/count match day0-20; other aggregate cols likely same window but naming suggests all-period,total_ naming misleading; confirm all cols are day0-20 window,pending_user_approval,Do you approve including total_watch_count in expanded_feature_set? Reason: 09b archive validated total_watch_time/count match day0-20; other aggregate cols,pending
unique_movie,usage_behavior_summary,candidate_for_expanded_with_caveat,09b archive validated total_watch_time/count match day0-20; other aggregate cols likely same window but naming suggests all-period,total_ naming misleading; confirm all cols are day0-20 window,pending_user_approval,Do you approve including unique_movie in expanded_feature_set? Reason: 09b archive validated total_watch_time/count match day0-20; other aggregate cols,pending
watch_days,usage_behavior_summary,candidate_for_expanded_with_caveat,09b archive validated total_watch_time/count match day0-20; other aggregate cols likely same window but naming suggests all-period,total_ naming misleading; confirm all cols are day0-20 window,pending_user_approval,Do you approve including watch_days in expanded_feature_set? Reason: 09b archive validated total_watch_time/count match day0-20; other aggregate cols,pending
active_ratio,usage_behavior_summary,candidate_for_expanded_with_caveat,09b archive validated total_watch_time/count match day0-20; other aggregate cols likely same window but naming suggests all-period,total_ naming misleading; confirm all cols are day0-20 window,pending_user_approval,Do you approve including active_ratio in expanded_feature_set? Reason: 09b archive validated total_watch_time/count match day0-20; other aggregate cols,pending
total_watch_time(min),usage_behavior_summary,candidate_for_expanded_with_caveat,09b archive validated total_watch_time/count match day0-20; other aggregate cols likely same window but naming suggests all-period,total_ naming misleading; confirm all cols are day0-20 window,pending_user_approval,Do you approve including total_watch_time(min) in expanded_feature_set? Reason: 09b archive validated total_watch_time/count match day0-20; other aggregate cols,pending
watch_per_day,usage_behavior_summary,candidate_for_expanded_with_caveat,09b archive validated total_watch_time/count match day0-20; other aggregate cols likely same window but naming suggests all-period,total_ naming misleading; confirm all cols are day0-20 window,pending_user_approval,Do you approve including watch_per_day in expanded_feature_set? Reason: 09b archive validated total_watch_time/count match day0-20; other aggregate cols,pending
avg_watch_time(min),usage_behavior_summary,candidate_for_expanded_with_caveat,09b archive validated total_watch_time/count match day0-20; other aggregate cols likely same window but naming suggests all-period,total_ naming misleading; confirm all cols are day0-20 window,pending_user_approval,Do you approve including avg_watch_time(min) in expanded_feature_set? Reason: 09b archive validated total_watch_time/count match day0-20; other aggregate cols,pending
median_watch_time(min),usage_behavior_summary,candidate_for_expanded_with_caveat,09b archive validated total_watch_time/count match day0-20; other aggregate cols likely same window but naming suggests all-period,total_ naming misleading; confirm all cols are day0-20 window,pending_user_approval,Do you approve including median_watch_time(min) in expanded_feature_set? Reason: 09b archive validated total_watch_time/count match day0-20; other aggregate cols,pending
std_watch_time(min),usage_behavior_summary,candidate_for_expanded_with_caveat,09b archive validated total_watch_time/count match day0-20; other aggregate cols likely same window but naming suggests all-period,total_ naming misleading; confirm all cols are day0-20 window,pending_user_approval,Do you approve including std_watch_time(min) in expanded_feature_set? Reason: 09b archive validated total_watch_time/count match day0-20; other aggregate cols,pending
avg_daily_watch_time(min),usage_behavior_summary,candidate_for_expanded_with_caveat,09b archive validated total_watch_time/count match day0-20; other aggregate cols likely same window but naming suggests all-period,total_ naming misleading; confirm all cols are day0-20 window,pending_user_approval,Do you approve including avg_daily_watch_time(min) in expanded_feature_set? Reason: 09b archive validated total_watch_time/count match day0-20; other aggregate cols,pending
max_watch_time(min),usage_behavior_summary,candidate_for_expanded_with_caveat,09b archive validated total_watch_time/count match day0-20; other aggregate cols likely same window but naming suggests all-period,total_ naming misleading; confirm all cols are day0-20 window,pending_user_approval,Do you approve including max_watch_time(min) in expanded_feature_set? Reason: 09b archive validated total_watch_time/count match day0-20; other aggregate cols,pending
max_daily_watch_time(min),usage_behavior_summary,candidate_for_expanded_with_caveat,09b archive validated total_watch_time/count match day0-20; other aggregate cols likely same window but naming suggests all-period,total_ naming misleading; confirm all cols are day0-20 window,pending_user_approval,Do you approve including max_daily_watch_time(min) in expanded_feature_set? Reason: 09b archive validated total_watch_time/count match day0-20; other aggregate cols,pending
max_daily_sessions,usage_behavior_summary,candidate_for_expanded_with_caveat,09b archive validated total_watch_time/count match day0-20; other aggregate cols likely same window but naming suggests all-period,total_ naming misleading; confirm all cols are day0-20 window,pending_user_approval,Do you approve including max_daily_sessions in expanded_feature_set? Reason: 09b archive validated total_watch_time/count match day0-20; other aggregate cols,pending
recency,usage_recency,unresolved_user_review_required,Reference date unknown; must confirm it is day21 or earlier as reference point,If reference_date > day21 this leaks future behavior,pending_user_approval,Confirm handling of recency: Reference date unknown; must confirm it is day21 or earlier as reference point,pending
avg_gap_between_watch_days,usage_behavior_summary,candidate_for_expanded_with_caveat,09b archive validated total_watch_time/count match day0-20; other aggregate cols likely same window but naming suggests all-period,total_ naming misleading; confirm all cols are day0-20 window,pending_user_approval,Do you approve including avg_gap_between_watch_days in expanded_feature_set? Reason: 09b archive validated total_watch_time/count match day0-20; other aggregate cols,pending
max_inactive_gap_days,usage_behavior_summary,candidate_for_expanded_with_caveat,09b archive validated total_watch_time/count match day0-20; other aggregate cols likely same window but naming suggests all-period,total_ naming misleading; confirm all cols are day0-20 window,pending_user_approval,Do you approve including max_inactive_gap_days in expanded_feature_set? Reason: 09b archive validated total_watch_time/count match day0-20; other aggregate cols,pending
avg_rewatch_ratio,usage_behavior_summary,candidate_for_expanded_with_caveat,09b archive validated total_watch_time/count match day0-20; other aggregate cols likely same window but naming suggests all-period,total_ naming misleading; confirm all cols are day0-20 window,pending_user_approval,Do you approve including avg_rewatch_ratio in expanded_feature_set? Reason: 09b archive validated total_watch_time/count match day0-20; other aggregate cols,pending
weekend_watch_ratio,usage_behavior_summary,candidate_for_expanded_with_caveat,09b archive validated total_watch_time/count match day0-20; other aggregate cols likely same window but naming suggests all-period,total_ naming misleading; confirm all cols are day0-20 window,pending_user_approval,Do you approve including weekend_watch_ratio in expanded_feature_set? Reason: 09b archive validated total_watch_time/count match day0-20; other aggregate cols,pending
watch_ratio_under_1m,usage_behavior_summary,candidate_for_expanded_with_caveat,09b archive validated total_watch_time/count match day0-20; other aggregate cols likely same window but naming suggests all-period,total_ naming misleading; confirm all cols are day0-20 window,pending_user_approval,Do you approve including watch_ratio_under_1m in expanded_feature_set? Reason: 09b archive validated total_watch_time/count match day0-20; other aggregate cols,pending
watch_ratio_under_5m,usage_behavior_summary,candidate_for_expanded_with_caveat,09b archive validated total_watch_time/count match day0-20; other aggregate cols likely same window but naming suggests all-period,total_ naming misleading; confirm all cols are day0-20 window,pending_user_approval,Do you approve including watch_ratio_under_5m in expanded_feature_set? Reason: 09b archive validated total_watch_time/count match day0-20; other aggregate cols,pending
movie_per_active_day,usage_behavior_summary,candidate_for_expanded_with_caveat,09b archive validated total_watch_time/count match day0-20; other aggregate cols likely same window but naming suggests all-period,total_ naming misleading; confirm all cols are day0-20 window,pending_user_approval,Do you approve including movie_per_active_day in expanded_feature_set? Reason: 09b archive validated total_watch_time/count match day0-20; other aggregate cols,pending
max_day_share,usage_behavior_summary,candidate_for_expanded_with_caveat,09b archive validated total_watch_time/count match day0-20; other aggregate cols likely same window but naming suggests all-period,total_ naming misleading; confirm all cols are day0-20 window,pending_user_approval,Do you approve including max_day_share in expanded_feature_set? Reason: 09b archive validated total_watch_time/count match day0-20; other aggregate cols,pending
day_count_over_3times,usage_behavior_summary,candidate_for_expanded_with_caveat,09b archive validated total_watch_time/count match day0-20; other aggregate cols likely same window but naming suggests all-period,total_ naming misleading; confirm all cols are day0-20 window,pending_user_approval,Do you approve including day_count_over_3times in expanded_feature_set? Reason: 09b archive validated total_watch_time/count match day0-20; other aggregate cols,pending
new_movie_in_90d_ratio,content_preference,candidate_for_expanded_with_caveat,Likely computed from day0-20 window; 09b found 206-row genre mismatch due to Movie_Master MOVIE_NUM duplication caveat,Confirm observation window is day0-20; genre mismatch caveat from 09b still open,pending_user_approval,Do you approve including new_movie_in_90d_ratio in expanded_feature_set? Reason: Likely computed from day0-20 window; 09b found 206-row genre mismatch due to Mov,pending
new_movie_in_180d_ratio,content_preference,candidate_for_expanded_with_caveat,Likely computed from day0-20 window; 09b found 206-row genre mismatch due to Movie_Master MOVIE_NUM duplication caveat,Confirm observation window is day0-20; genre mismatch caveat from 09b still open,pending_user_approval,Do you approve including new_movie_in_180d_ratio in expanded_feature_set? Reason: Likely computed from day0-20 window; 09b found 206-row genre mismatch due to Mov,pending
new_movie_in_365d_ratio,content_preference,candidate_for_expanded_with_caveat,Likely computed from day0-20 window; 09b found 206-row genre mismatch due to Movie_Master MOVIE_NUM duplication caveat,Confirm observation window is day0-20; genre mismatch caveat from 09b still open,pending_user_approval,Do you approve including new_movie_in_365d_ratio in expanded_feature_set? Reason: Likely computed from day0-20 window; 09b found 206-row genre mismatch due to Mov,pending
old_movie_ratio(5y),content_preference,candidate_for_expanded_with_caveat,Likely computed from day0-20 window; 09b found 206-row genre mismatch due to Movie_Master MOVIE_NUM duplication caveat,Confirm observation window is day0-20; genre mismatch caveat from 09b still open,pending_user_approval,Do you approve including old_movie_ratio(5y) in expanded_feature_set? Reason: Likely computed from day0-20 window; 09b found 206-row genre mismatch due to Mov,pending
avg_ott_release_year,content_preference,candidate_for_expanded_with_caveat,Likely computed from day0-20 window; 09b found 206-row genre mismatch due to Movie_Master MOVIE_NUM duplication caveat,Confirm observation window is day0-20; genre mismatch caveat from 09b still open,pending_user_approval,Do you approve including avg_ott_release_year in expanded_feature_set? Reason: Likely computed from day0-20 window; 09b found 206-row genre mismatch due to Mov,pending
genre_diversity_count,content_preference,candidate_for_expanded_with_caveat,Likely computed from day0-20 window; 09b found 206-row genre mismatch due to Movie_Master MOVIE_NUM duplication caveat,Confirm observation window is day0-20; genre mismatch caveat from 09b still open,pending_user_approval,Do you approve including genre_diversity_count in expanded_feature_set? Reason: Likely computed from day0-20 window; 09b found 206-row genre mismatch due to Mov,pending
action_adventure_ratio,content_preference,candidate_for_expanded_with_caveat,Likely computed from day0-20 window; 09b found 206-row genre mismatch due to Movie_Master MOVIE_NUM duplication caveat,Confirm observation window is day0-20; genre mismatch caveat from 09b still open,pending_user_approval,Do you approve including action_adventure_ratio in expanded_feature_set? Reason: Likely computed from day0-20 window; 09b found 206-row genre mismatch due to Mov,pending
family_animation_ratio,content_preference,candidate_for_expanded_with_caveat,Likely computed from day0-20 window; 09b found 206-row genre mismatch due to Movie_Master MOVIE_NUM duplication caveat,Confirm observation window is day0-20; genre mismatch caveat from 09b still open,pending_user_approval,Do you approve including family_animation_ratio in expanded_feature_set? Reason: Likely computed from day0-20 window; 09b found 206-row genre mismatch due to Mov,pending
drama_ratio,content_preference,candidate_for_expanded_with_caveat,Likely computed from day0-20 window; 09b found 206-row genre mismatch due to Movie_Master MOVIE_NUM duplication caveat,Confirm observation window is day0-20; genre mismatch caveat from 09b still open,pending_user_approval,Do you approve including drama_ratio in expanded_feature_set? Reason: Likely computed from day0-20 window; 09b found 206-row genre mismatch due to Mov,pending
thriller_crime_ratio,content_preference,candidate_for_expanded_with_caveat,Likely computed from day0-20 window; 09b found 206-row genre mismatch due to Movie_Master MOVIE_NUM duplication caveat,Confirm observation window is day0-20; genre mismatch caveat from 09b still open,pending_user_approval,Do you approve including thriller_crime_ratio in expanded_feature_set? Reason: Likely computed from day0-20 window; 09b found 206-row genre mismatch due to Mov,pending
sf_fantasy_ratio,content_preference,candidate_for_expanded_with_caveat,Likely computed from day0-20 window; 09b found 206-row genre mismatch due to Movie_Master MOVIE_NUM duplication caveat,Confirm observation window is day0-20; genre mismatch caveat from 09b still open,pending_user_approval,Do you approve including sf_fantasy_ratio in expanded_feature_set? Reason: Likely computed from day0-20 window; 09b found 206-row genre mismatch due to Mov,pending
comedy_ratio,content_preference,candidate_for_expanded_with_caveat,Likely computed from day0-20 window; 09b found 206-row genre mismatch due to Movie_Master MOVIE_NUM duplication caveat,Confirm observation window is day0-20; genre mismatch caveat from 09b still open,pending_user_approval,Do you approve including comedy_ratio in expanded_feature_set? Reason: Likely computed from day0-20 window; 09b found 206-row genre mismatch due to Mov,pending
romance_ratio,content_preference,candidate_for_expanded_with_caveat,Likely computed from day0-20 window; 09b found 206-row genre mismatch due to Movie_Master MOVIE_NUM duplication caveat,Confirm observation window is day0-20; genre mismatch caveat from 09b still open,pending_user_approval,Do you approve including romance_ratio in expanded_feature_set? Reason: Likely computed from day0-20 window; 09b found 206-row genre mismatch due to Mov,pending
horror_ratio,content_preference,candidate_for_expanded_with_caveat,Likely computed from day0-20 window; 09b found 206-row genre mismatch due to Movie_Master MOVIE_NUM duplication caveat,Confirm observation window is day0-20; genre mismatch caveat from 09b still open,pending_user_approval,Do you approve including horror_ratio in expanded_feature_set? Reason: Likely computed from day0-20 window; 09b found 206-row genre mismatch due to Mov,pending
documentary_ratio,content_preference,candidate_for_expanded_with_caveat,Likely computed from day0-20 window; 09b found 206-row genre mismatch due to Movie_Master MOVIE_NUM duplication caveat,Confirm observation window is day0-20; genre mismatch caveat from 09b still open,pending_user_approval,Do you approve including documentary_ratio in expanded_feature_set? Reason: Likely computed from day0-20 window; 09b found 206-row genre mismatch due to Mov,pending
historical_war_ratio,content_preference,candidate_for_expanded_with_caveat,Likely computed from day0-20 window; 09b found 206-row genre mismatch due to Movie_Master MOVIE_NUM duplication caveat,Confirm observation window is day0-20; genre mismatch caveat from 09b still open,pending_user_approval,Do you approve including historical_war_ratio in expanded_feature_set? Reason: Likely computed from day0-20 window; 09b found 206-row genre mismatch due to Mov,pending
other_ratio,content_preference,candidate_for_expanded_with_caveat,Likely computed from day0-20 window; 09b found 206-row genre mismatch due to Movie_Master MOVIE_NUM duplication caveat,Confirm observation window is day0-20; genre mismatch caveat from 09b still open,pending_user_approval,Do you approve including other_ratio in expanded_feature_set? Reason: Likely computed from day0-20 window; 09b found 206-row genre mismatch due to Mov,pending
