dataset_scope,model_name,conservative_oof_auc,expanded_oof_auc,delta_auc_expanded_minus_conservative,conservative_oof_ap,expanded_oof_ap,delta_ap,conservative_brier,expanded_brier,delta_brier,conservative_gap,expanded_gap,gap_change,interpretation
overall_with_promotion,XGBoost,0.8069034495369598,0.8664685572187347,0.05956510768177492,0.9081820126494247,0.9424276489158507,0.03424563626642607,0.15267425869757503,0.13265746593824565,-0.020016792759329383,0.007743809384691214,0.01180844872770137,0.004064639343010157,"Expanded baseline is higher on OOF AUC, but this is not final model selection or feature-removal evidence."
overall_with_promotion,CatBoost,0.8075074051657329,0.8676213912567694,0.060113986091036464,0.9085569196498682,0.9430863536160045,0.03452943396613628,0.15226148848944235,0.13292009267901306,-0.01934139581042929,0.004574742928940445,0.0058389697275407215,0.0012642267986002764,"Expanded baseline is higher on OOF AUC, but this is not final model selection or feature-removal evidence."
promotion_only,LogisticRegression,0.7674056879227341,0.835532690656631,0.06812700273389694,0.8657887906031261,0.9137221647392191,0.047933374136093,0.17651104911239524,0.1527392467829545,-0.023771802329440733,0.0023998425000627543,0.00654554961484366,0.0041457071147809055,"Expanded baseline is higher on OOF AUC, but this is not final model selection or feature-removal evidence."
promotion_only,HistGradientBoosting,0.7962775698726465,0.8604088460922539,0.06413127621960735,0.884589156582684,0.9291506788959412,0.04456152231325716,0.1663433799994572,0.14121713470024394,-0.025126245299213257,0.07247635808094743,0.07810208647752259,0.005625728396575158,"Expanded baseline is higher on OOF AUC, but this is not final model selection or feature-removal evidence."
promotion_only,RandomForest,0.7957878031070355,0.8386923885357092,0.0429045854286737,0.884313513352655,0.9161573981330557,0.03184388478040079,0.16630686959565502,0.15293800720711048,-0.013368862388544539,0.05091354066492004,0.06135041568096222,0.01043687501604218,"Expanded baseline is higher on OOF AUC, but this is not final model selection or feature-removal evidence."
promotion_only,GradientBoosting,0.7937486017523235,0.8520455995494589,0.058296997797135375,0.8848559342230173,0.9251617677611172,0.04030583353809991,0.16766313441933536,0.14677989469052014,-0.02088323972881523,0.017799881267258844,0.024104684568979295,0.006304803301720452,"Expanded baseline is higher on OOF AUC, but this is not final model selection or feature-removal evidence."
promotion_only,ExtraTrees,0.7916986697063964,0.8334031230462138,0.04170445333981743,0.8821330006906651,0.9132014991888051,0.031068498498139974,0.16965818223696996,0.15728441538813787,-0.012373766848832096,0.03176009851688888,0.08951215927612899,0.05775206075924011,"Expanded baseline is higher on OOF AUC, but this is not final model selection or feature-removal evidence."
promotion_only,LightGBM,0.7966613650295107,0.8616083346613972,0.06494696963188651,0.8859672996184562,0.9302595782486361,0.044292278630179927,0.1661390682042161,0.14074863403831345,-0.025390434165902642,0.06795251393707802,0.07333998630750904,0.0053874723704310234,"Expanded baseline is higher on OOF AUC, but this is not final model selection or feature-removal evidence."
promotion_only,XGBoost,0.793509405474982,0.8517797293800116,0.05827032390502951,0.8850619122066674,0.9253058190130334,0.040243906806366025,0.1677650992154131,0.14683738235786037,-0.020927716857552736,0.015031652795615802,0.02177104546977804,0.006739392674162237,"Expanded baseline is higher on OOF AUC, but this is not final model selection or feature-removal evidence."
promotion_only,CatBoost,0.7930239020274701,0.851458838275098,0.05843493624762797,0.8843276346531375,0.924540624108527,0.040212989455389536,0.16792115889766648,0.14760996412437946,-0.020311194773287022,0.009861957651047137,0.01237720580415147,0.0025152481531043325,"Expanded baseline is higher on OOF AUC, but this is not final model selection or feature-removal evidence."
nonpromotion_only,LogisticRegression,0.810463581867855,0.8622189508677931,0.051755368999938045,0.9264570440243082,0.9499721603364885,0.023515116312180284,0.13843833126200655,0.12257345406082917,-0.01586487720117738,0.00220593473299735,0.006926348561162032,0.004720413828164682,"Expanded baseline is higher on OOF AUC, but this is not final model selection or feature-removal evidence."
nonpromotion_only,HistGradientBoosting,0.8284844345419661,0.8829672731934608,0.054482838651494725,0.9314257226231961,0.9571291786074392,0.025703455984243062,0.13100420104111327,0.11265979259094305,-0.018344408450170213,0.07481256964517125,0.07541874796459624,0.0006061783194249992,"Expanded baseline is higher on OOF AUC, but this is not final model selection or feature-removal evidence."
nonpromotion_only,RandomForest,0.8317561426310531,0.8641581567244017,0.03240201409334853,0.9341116120897678,0.9501258327386893,0.01601422064892155,0.13052713840838026,0.12189954360862637,-0.00862759479975389,0.045127933775312656,0.051983376471418596,0.00685544269610594,"Expanded baseline is higher on OOF AUC, but this is not final model selection or feature-removal evidence."
nonpromotion_only,GradientBoosting,0.8301032465982335,0.8783230108838846,0.04821976428565111,0.9333673824436791,0.9564435057165943,0.023076123272915194,0.13132495433467192,0.11597309692349761,-0.015351857411174313,0.01847386136060647,0.022503120648171393,0.004029259287564924,"Expanded baseline is higher on OOF AUC, but this is not final model selection or feature-removal evidence."
nonpromotion_only,ExtraTrees,0.825687890683713,0.8604788113489474,0.03479092066523448,0.9314446398229254,0.9496332882429102,0.0181886484199848,0.13429389443914966,0.12465880452637991,-0.009635089912769748,0.030926142797590428,0.07612604480875229,0.04519990201116186,"Expanded baseline is higher on OOF AUC, but this is not final model selection or feature-removal evidence."
nonpromotion_only,LightGBM,0.8298976817591045,0.8838334084860703,0.05393572672696578,0.9324289896234466,0.9576164591974305,0.02518746957398399,0.130789837489157,0.11250033259974299,-0.018289504889414027,0.06810699927642272,0.07049672743815627,0.002389728161733551,"Expanded baseline is higher on OOF AUC, but this is not final model selection or feature-removal evidence."
nonpromotion_only,XGBoost,0.8301307878659275,0.878485937596704,0.04835514973077648,0.9328474415609762,0.9562877953139735,0.023440353752997245,0.1316586927094228,0.115759158021003,-0.015899534688419786,0.01583140129282601,0.020625464116469927,0.004794062823643919,"Expanded baseline is higher on OOF AUC, but this is not final model selection or feature-removal evidence."
nonpromotion_only,CatBoost,0.830274572734587,0.8786574847705189,0.04838291203593181,0.9342176455084272,0.9568106702609106,0.02259302475248337,0.1318331445834163,0.11713927289471437,-0.014693871688701926,0.009540320811928793,0.012043396990186195,0.002503076178257402,"Expanded baseline is higher on OOF AUC, but this is not final model selection or feature-removal evidence."
