row_id,promo_scope,is_repurchase,gb_churn_risk_score_oof,lr_churn_risk_score_oof,lr_high_risk_top10,gb_high_risk_top10,lr_high_risk_top20,gb_high_risk_top20,lr_high_risk_top30,gb_high_risk_top30,gb_lr_both_high_risk_top20,gb_only_high_risk_top20,lr_only_high_risk_top20,neither_high_risk_top20,low_watch_count,low_watch_time,low_watch_days,low_activity,low_activity_reason,cold_start_weak,early_activation_success,week2_drop,week3_drop,week3_inactive,only_w1,only_w2,only_w3,retention_decay,inactivity_recency_risk,usage_concentrated,stable_usage,genre_preference_clear,content_preference_signal
24,promo0,1,0.0289033023613178,0.0166396367282521,0,0,0,0,0,0,0,0,0,1,0,0,0,0,none,0,1,0,0,0,0,0,0,0,0,0,1,0,1
25,promo0,1,0.1528281317804102,0.4648808664854419,0,0,0,0,0,0,0,0,0,1,0,0,0,0,none,0,1,0,1,1,0,0,0,1,0,0,0,0,1
26,promo0,1,0.2881789730990859,0.6016828592360545,0,0,0,0,1,1,0,0,0,1,0,0,0,0,none,0,1,0,1,1,0,0,0,1,1,0,0,0,1
27,promo0,0,0.3196573003302515,0.7791696606700982,0,0,1,0,1,1,0,0,1,0,0,0,0,0,none,0,1,0,1,1,0,0,0,1,0,0,0,0,1
28,promo0,1,0.1367731521053701,0.3297338031891865,0,0,0,0,0,0,0,0,0,1,0,0,0,0,none,0,1,1,0,0,0,0,0,1,1,0,0,0,1
29,promo0,1,0.2723694218965097,0.5365194129979087,0,0,0,0,0,0,0,0,0,1,1,1,1,1,"low_watch_count,low_watch_time,low_watch_days",1,0,0,0,1,0,0,0,0,1,1,0,1,1
30,promo0,1,0.488244860761358,0.7136403383614706,0,0,0,1,1,1,0,1,0,0,0,0,0,0,none,0,1,1,1,1,0,0,0,1,1,0,0,0,1
31,promo0,1,0.2865820662720709,0.6155310429597485,0,0,0,0,1,0,0,0,0,1,1,1,1,1,"low_watch_count,low_watch_time,low_watch_days",1,0,0,0,1,0,0,0,0,1,1,0,1,1
32,promo0,0,0.2614047549793536,0.4888274974232418,0,0,0,0,0,0,0,0,0,1,1,0,1,1,"low_watch_count,low_watch_days",0,1,0,1,1,0,0,0,1,0,1,0,1,1
33,promo0,1,0.4698370117575275,0.5649663245513766,0,0,0,1,1,1,0,1,0,0,1,0,1,1,"low_watch_count,low_watch_days",0,1,0,1,1,0,0,0,1,1,1,0,0,1
34,promo0,1,0.2103385068897924,0.4771566729683333,0,0,0,0,0,0,0,0,0,1,0,0,0,0,none,0,1,0,0,0,0,0,0,0,0,0,0,0,1
35,promo0,1,0.0176498441465496,0.0477035420221372,0,0,0,0,0,0,0,0,0,1,0,0,0,0,none,0,1,1,0,0,0,0,0,0,0,0,1,0,1
36,promo0,0,0.7633406618633698,0.9738438194140404,1,1,1,1,1,1,1,0,0,0,1,1,1,1,"low_watch_count,low_watch_time,low_watch_days",0,1,0,0,1,1,0,0,0,1,1,0,1,1
37,promo0,1,0.0489147474401023,0.0864599674265522,0,0,0,0,0,0,0,0,0,1,0,0,1,1,low_watch_days,1,0,0,1,1,0,1,0,1,1,1,0,0,1
38,promo0,0,0.7341656299205908,0.9172276353903746,1,1,1,1,1,1,1,0,0,0,1,1,1,1,"low_watch_count,low_watch_time,low_watch_days",0,1,0,0,1,1,0,0,0,1,1,0,1,1
39,promo0,1,0.4099014187964525,0.7743336569525154,0,0,1,0,1,1,0,0,1,0,0,0,0,0,none,0,1,1,1,1,0,0,0,1,1,0,0,0,1
40,promo0,1,0.2173455450886295,0.2388880199843437,0,0,0,0,0,0,0,0,0,1,0,0,0,0,none,1,0,0,0,0,0,0,0,0,0,0,0,0,1
41,promo0,1,0.0571871226656061,0.0596472229067439,0,0,0,0,0,0,0,0,0,1,0,1,0,1,low_watch_time,0,1,0,0,0,0,0,0,0,1,0,0,1,1
42,promo0,1,0.0522335367313396,0.1176871338266357,0,0,0,0,0,0,0,0,0,1,0,0,1,1,low_watch_days,1,0,0,1,1,0,1,0,1,1,1,0,1,1
43,promo0,1,0.5388228338374476,0.7906429061503101,0,0,1,1,1,1,1,0,0,0,0,0,1,1,low_watch_days,0,1,1,0,1,1,0,0,1,1,1,0,1,1
44,promo0,1,0.4259542401100277,0.9130125596564814,1,0,1,0,1,1,0,0,1,0,1,1,1,1,"low_watch_count,low_watch_time,low_watch_days",1,0,0,0,0,0,0,1,0,0,1,0,1,1
45,promo0,1,0.1188165624115976,0.1196782254112299,0,0,0,0,0,0,0,0,0,1,0,0,0,0,none,0,1,0,0,0,0,0,0,0,1,0,0,0,1
46,promo0,1,0.278751679322912,0.5499605496569608,0,0,0,0,0,0,0,0,0,1,1,1,1,1,"low_watch_count,low_watch_time,low_watch_days",1,0,0,0,1,0,0,0,0,1,1,0,1,1
47,promo0,1,0.0250221564641053,0.0483768160737241,0,0,0,0,0,0,0,0,0,1,0,0,0,0,none,1,0,0,1,0,0,0,0,0,0,0,1,0,1
48,promo0,0,0.6114420185383764,0.8699557384672485,1,0,1,1,1,1,1,0,0,0,1,0,1,1,"low_watch_count,low_watch_days",0,1,1,0,1,1,0,0,1,1,1,0,0,1
49,promo0,1,0.3388975208112951,0.3566311396138497,0,0,0,0,0,1,0,0,0,1,0,0,0,0,none,0,1,1,1,1,0,0,0,1,1,1,0,0,1
50,promo0,1,0.7108176689422119,0.8443361997684435,0,1,1,1,1,1,1,0,0,0,0,0,1,1,low_watch_days,0,1,0,1,1,0,0,0,1,1,1,0,0,1
51,promo0,1,0.0618624028208376,0.022075411917105,0,0,0,0,0,0,0,0,0,1,0,0,0,0,none,0,1,0,1,0,0,0,0,1,0,0,0,0,1
52,promo0,1,0.0183269188771919,0.0414209418735,0,0,0,0,0,0,0,0,0,1,0,0,0,0,none,0,1,1,0,0,0,0,0,1,1,0,0,0,1
53,promo0,1,0.5776234810712971,0.9275756295986136,1,0,1,1,1,1,1,0,0,0,1,0,1,1,"low_watch_count,low_watch_days",0,1,1,0,1,1,0,0,1,1,1,0,1,1
54,promo0,1,0.0635830171603037,0.2546376101379668,0,0,0,0,0,0,0,0,0,1,0,0,0,0,none,0,1,0,1,1,0,0,0,1,0,0,0,1,1
55,promo0,1,0.0848424046605598,0.0551590770628134,0,0,0,0,0,0,0,0,0,1,0,0,0,0,none,0,1,0,1,0,0,0,0,0,0,0,1,0,1
56,promo0,1,0.1856325654733251,0.4332915199313364,0,0,0,0,0,0,0,0,0,1,0,1,0,1,low_watch_time,0,1,0,0,0,0,0,0,0,0,0,1,0,1
57,promo0,0,0.7832871485029392,0.949039065785928,1,1,1,1,1,1,1,0,0,0,1,1,1,1,"low_watch_count,low_watch_time,low_watch_days",1,0,0,0,0,0,0,1,0,0,1,0,1,1
58,promo0,1,0.0719370379421049,0.6389686266093589,0,0,0,0,1,0,0,0,0,1,0,0,0,0,none,0,1,0,1,1,0,0,0,1,0,0,0,0,1
59,promo0,1,0.5887264316500038,0.714513521947775,0,0,0,1,1,1,0,1,0,0,1,1,1,1,"low_watch_count,low_watch_time,low_watch_days",0,1,0,0,1,1,0,0,0,1,1,0,1,1
60,promo0,1,0.5450501036981013,0.9162135963036666,1,0,1,1,1,1,1,0,0,0,0,0,0,0,none,0,1,1,1,1,0,0,0,1,1,0,0,0,1
61,promo0,1,0.1473906531190487,0.128130076613855,0,0,0,0,0,0,0,0,0,1,0,0,0,0,none,0,1,0,1,0,0,0,0,1,0,0,0,0,1
62,promo0,1,0.030311532392847,0.1005683795135732,0,0,0,0,0,0,0,0,0,1,0,0,0,0,none,1,0,0,0,0,0,0,0,0,0,0,0,0,1
63,promo0,1,0.0306780801939096,0.0410884608828727,0,0,0,0,0,0,0,0,0,1,0,0,0,0,none,0,1,0,0,0,0,0,0,0,0,0,1,0,1
64,promo0,1,0.0608250265745836,0.0788891778954913,0,0,0,0,0,0,0,0,0,1,0,0,1,1,low_watch_days,1,0,0,0,0,0,0,0,0,0,1,0,1,1
65,promo0,1,0.0208444265750232,0.1316263042519199,0,0,0,0,0,0,0,0,0,1,0,0,0,0,none,0,1,1,0,0,0,0,0,1,0,0,0,0,0
66,promo0,1,0.0912011006422361,0.1906632596280437,0,0,0,0,0,0,0,0,0,1,0,0,0,0,none,1,0,0,0,0,0,0,1,0,0,0,0,0,1
67,promo0,0,0.5196538049958808,0.8423921415395956,0,0,1,1,1,1,1,0,0,0,1,1,1,1,"low_watch_count,low_watch_time,low_watch_days",1,0,0,0,0,0,0,1,0,0,1,0,1,1
68,promo0,1,0.2627889635733402,0.5501600993746534,0,0,0,0,0,0,0,0,0,1,1,1,1,1,"low_watch_count,low_watch_time,low_watch_days",1,0,0,0,1,0,0,0,0,1,1,0,1,1
69,promo0,0,0.6093811956998276,0.9454081522969282,1,0,1,1,1,1,1,0,0,0,1,1,1,1,"low_watch_count,low_watch_time,low_watch_days",1,0,0,0,0,0,0,1,0,0,1,0,1,1
70,promo0,1,0.1022072948272941,0.4769035119887909,0,0,0,0,0,0,0,0,0,1,0,0,0,0,none,0,1,1,0,0,0,0,0,1,0,0,0,1,1
71,promo0,0,0.4063457684767654,0.6195602922236995,0,0,0,0,1,1,0,0,0,1,1,1,1,1,"low_watch_count,low_watch_time,low_watch_days",0,1,1,0,1,0,0,0,1,1,1,0,1,1
72,promo0,1,0.1007867610942002,0.394667869714607,0,0,0,0,0,0,0,0,0,1,0,0,0,0,none,0,1,0,1,0,0,0,0,1,0,0,0,1,1
73,promo0,0,0.0774923512536975,0.3183854080106463,0,0,0,0,0,0,0,0,0,1,0,1,1,1,"low_watch_time,low_watch_days",1,0,0,0,0,0,0,1,0,0,1,0,0,1
74,promo0,0,0.634260332271078,0.8116765970717554,0,0,1,1,1,1,1,0,0,0,0,0,1,1,low_watch_days,0,1,0,1,1,0,0,0,1,0,1,0,0,1
75,promo0,1,0.0284077970775937,0.0589736906911818,0,0,0,0,0,0,0,0,0,1,0,0,0,0,none,0,1,1,0,0,0,0,0,0,0,0,1,0,1
76,promo0,0,0.0243632671384745,0.0132500021310586,0,0,0,0,0,0,0,0,0,1,0,0,0,0,none,1,0,0,0,0,0,0,1,0,0,0,0,1,1
77,promo0,1,0.1371745721597299,0.615293106213036,0,0,0,0,1,0,0,0,0,1,0,0,0,0,none,0,1,1,0,0,0,0,0,1,1,0,0,0,1
78,promo0,1,0.278751679322912,0.5499605496569608,0,0,0,0,0,0,0,0,0,1,1,1,1,1,"low_watch_count,low_watch_time,low_watch_days",1,0,0,0,1,0,0,0,0,1,1,0,1,1
79,promo0,0,0.3776452401765404,0.8274531701591255,0,0,1,0,1,1,0,0,1,0,1,0,1,1,"low_watch_count,low_watch_days",1,0,0,1,1,0,1,0,1,1,1,0,0,1
80,promo0,1,0.0252838072410921,0.0509705068021133,0,0,0,0,0,0,0,0,0,1,0,0,0,0,none,0,1,1,0,0,0,0,0,0,1,0,1,1,1
81,promo0,0,0.2338893839176881,0.3870762444467992,0,0,0,0,0,0,0,0,0,1,0,0,1,1,low_watch_days,0,1,0,1,1,0,0,0,1,1,1,0,0,1
82,promo0,1,0.0717783610332033,0.262120752781393,0,0,0,0,0,0,0,0,0,1,0,0,0,0,none,0,1,0,1,0,0,0,0,1,0,0,0,0,1
83,promo0,1,0.0260977859018863,0.0184391894805335,0,0,0,0,0,0,0,0,0,1,0,0,0,0,none,0,1,0,1,0,0,0,0,0,1,0,0,0,1
84,promo0,1,0.0348250177270099,0.2535565891126412,0,0,0,0,0,0,0,0,0,1,0,0,0,0,none,0,1,1,0,0,0,0,0,1,1,0,0,0,1
85,promo0,1,0.1256622031030803,0.2479833165509678,0,0,0,0,0,0,0,0,0,1,0,0,0,0,none,0,1,0,1,0,0,0,0,0,0,0,0,0,1
86,promo0,0,0.1044665663470305,0.3424246048870596,0,0,0,0,0,0,0,0,0,1,0,1,0,1,low_watch_time,0,1,1,0,0,0,0,0,1,0,0,0,0,1
87,promo0,1,0.0451340637411094,0.3386364244558945,0,0,0,0,0,0,0,0,0,1,0,0,0,0,none,0,1,0,1,1,0,0,0,1,0,0,0,1,1
88,promo0,1,0.1734237480796261,0.266357112349693,0,0,0,0,0,0,0,0,0,1,0,1,1,1,"low_watch_time,low_watch_days",0,1,0,1,1,0,0,0,1,1,1,0,1,1
89,promo0,1,0.2916096384567784,0.4280016830452727,0,0,0,0,0,1,0,0,0,1,0,0,0,0,none,0,1,1,1,0,0,0,0,1,0,0,0,0,1
90,promo0,1,0.0657149212271938,0.2278591198537916,0,0,0,0,0,0,0,0,0,1,1,0,1,1,"low_watch_count,low_watch_days",1,0,0,0,0,0,0,1,0,0,1,0,0,1
91,promo0,1,0.0757191625264174,0.253855068575859,0,0,0,0,0,0,0,0,0,1,0,0,0,0,none,0,1,0,0,0,0,0,0,0,0,0,1,0,1
92,promo0,0,0.8464136953776558,0.9838142702749773,1,1,1,1,1,1,1,0,0,0,1,1,1,1,"low_watch_count,low_watch_time,low_watch_days",0,1,0,0,1,1,0,0,0,1,1,0,1,1
93,promo0,0,0.7894659429551015,0.9471750709969774,1,1,1,1,1,1,1,0,0,0,1,0,1,1,"low_watch_count,low_watch_days",0,1,1,0,1,1,0,0,1,1,1,0,1,1
94,promo0,0,0.2629959111073572,0.4484258539805615,0,0,0,0,0,0,0,0,0,1,0,0,1,1,low_watch_days,0,1,1,0,1,1,0,0,1,1,1,0,0,1
95,promo0,1,0.1254809437897991,0.0727161183682653,0,0,0,0,0,0,0,0,0,1,0,0,0,0,none,0,1,1,0,0,0,0,0,1,0,1,0,0,1
96,promo0,1,0.2050907786946298,0.5800751806969918,0,0,0,0,1,0,0,0,0,1,0,0,0,0,none,0,1,0,0,0,0,0,0,0,0,0,1,0,1
97,promo0,0,0.1172727260235162,0.354794202950129,0,0,0,0,0,0,0,0,0,1,0,0,0,0,none,0,1,1,0,0,0,0,0,0,0,0,1,0,1
98,promo0,0,0.7672273868406916,0.9783348382400562,1,1,1,1,1,1,1,0,0,0,1,1,1,1,"low_watch_count,low_watch_time,low_watch_days",0,1,0,0,1,1,0,0,0,1,1,0,1,1
99,promo0,1,0.430804875571778,0.494366072494779,0,0,0,1,0,1,0,1,0,0,0,0,0,0,none,0,1,0,1,0,0,0,0,1,0,0,0,0,1
100,promo0,1,0.115329100478245,0.2034745007768372,0,0,0,0,0,0,0,0,0,1,0,0,0,0,none,0,1,1,0,0,0,0,0,0,1,0,1,0,1
101,promo0,1,0.013784125464245,0.0201771792395549,0,0,0,0,0,0,0,0,0,1,0,0,0,0,none,0,1,0,1,0,0,0,0,0,0,0,1,0,1
102,promo0,0,0.0239237029189577,0.0365828711653273,0,0,0,0,0,0,0,0,0,1,0,0,0,0,none,1,0,0,1,0,0,0,0,0,0,0,1,0,1
103,promo0,1,0.2330099116414875,0.5408934825227553,0,0,0,0,0,0,0,0,0,1,0,0,0,0,none,0,1,0,0,0,0,0,0,0,1,0,0,0,1
104,promo0,1,0.0385912520986684,0.0731993864938117,0,0,0,0,0,0,0,0,0,1,1,0,1,1,"low_watch_count,low_watch_days",1,0,0,1,1,0,1,0,1,0,1,0,1,1
105,promo0,1,0.2745399250735609,0.5462354331203751,0,0,0,0,0,0,0,0,0,1,0,0,0,0,none,0,1,0,0,0,0,0,0,0,0,0,0,0,1
106,promo0,0,0.4040268735115211,0.7898868038069594,0,0,1,0,1,1,0,0,1,0,0,0,0,0,none,0,1,1,1,1,0,0,0,1,1,0,0,0,1
107,promo0,1,0.1173630867612381,0.1794697261921449,0,0,0,0,0,0,0,0,0,1,0,0,0,0,none,0,1,1,0,0,0,0,0,1,1,0,0,0,1
108,promo0,0,0.2030204175501283,0.5376872365960093,0,0,0,0,0,0,0,0,0,1,0,0,0,0,none,0,1,1,0,0,0,0,0,0,0,0,1,0,1
109,promo0,0,0.2625471186891089,0.5029844797208927,0,0,0,0,0,0,0,0,0,1,1,1,1,1,"low_watch_count,low_watch_time,low_watch_days",1,0,0,0,1,0,0,0,0,1,1,0,1,1
110,promo0,1,0.0253326639184083,0.0434851421381662,0,0,0,0,0,0,0,0,0,1,0,0,0,0,none,0,1,1,0,0,0,0,0,1,1,0,0,0,1
111,promo0,1,0.2846672091352908,0.4953570789582364,0,0,0,0,0,0,0,0,0,1,0,0,0,0,none,0,1,0,1,1,0,0,0,1,0,0,0,0,1
112,promo0,1,0.0589958958390033,0.2391850238118241,0,0,0,0,0,0,0,0,0,1,0,0,0,0,none,0,1,0,0,0,0,0,0,0,0,0,1,0,1
113,promo0,1,0.0188028803030521,0.0114391163833429,0,0,0,0,0,0,0,0,0,1,0,0,0,0,none,0,1,0,1,0,0,0,0,0,0,0,1,0,0
114,promo0,1,0.0815440012793802,0.3351410351400159,0,0,0,0,0,0,0,0,0,1,0,0,0,0,none,1,0,0,1,1,0,1,0,1,1,0,0,0,1
115,promo0,1,0.0142632649523845,0.0300673135975966,0,0,0,0,0,0,0,0,0,1,0,0,0,0,none,1,0,0,0,0,0,0,0,0,0,0,1,0,1
116,promo0,1,0.2383573415442412,0.7767470542465628,0,0,1,0,1,0,0,0,1,0,1,1,1,1,"low_watch_count,low_watch_time,low_watch_days",1,0,0,0,0,0,0,1,0,0,1,0,1,1
117,promo0,1,0.0552392612372165,0.1336802498603467,0,0,0,0,0,0,0,0,0,1,0,0,0,0,none,0,1,0,1,0,0,0,0,1,1,0,0,0,1
118,promo0,1,0.2636463583062213,0.6670296545481079,0,0,0,0,1,0,0,0,0,1,0,0,0,0,none,0,1,0,0,0,0,0,0,0,1,0,0,0,1
119,promo0,1,0.0229569591786314,0.0239183688313993,0,0,0,0,0,0,0,0,0,1,0,0,0,0,none,0,1,0,0,0,0,0,0,0,1,0,1,1,1
120,promo0,1,0.0202758454827033,0.099284813986763,0,0,0,0,0,0,0,0,0,1,0,0,0,0,none,0,1,1,0,0,0,0,0,1,1,0,0,0,1
121,promo0,0,0.781553719310009,0.9617373849729614,1,1,1,1,1,1,1,0,0,0,1,1,1,1,"low_watch_count,low_watch_time,low_watch_days",0,1,0,0,1,1,0,0,0,1,1,0,1,1
122,promo0,1,0.0259662701142422,0.0860366402662116,0,0,0,0,0,0,0,0,0,1,0,0,0,0,none,0,1,0,1,0,0,0,0,0,0,0,1,0,1
123,promo0,1,0.1015933875257978,0.3504300745576529,0,0,0,0,0,0,0,0,0,1,0,0,0,0,none,0,1,1,0,0,0,0,0,1,1,0,0,0,1
124,promo0,1,0.0289002790235755,0.192886049188138,0,0,0,0,0,0,0,0,0,1,0,0,0,0,none,0,1,0,0,0,0,0,0,0,0,0,1,0,1
125,promo0,1,0.6482322258462081,0.7281762491825632,0,1,1,1,1,1,1,0,0,0,0,0,0,0,none,0,1,1,1,1,0,0,0,1,0,0,0,0,1
126,promo0,1,0.6659315754124921,0.7571892223275817,0,1,1,1,1,1,1,0,0,0,0,1,0,1,low_watch_time,0,1,0,1,0,0,0,0,1,0,0,0,0,1
127,promo0,1,0.2836431106872451,0.5274373964084399,0,0,0,0,0,0,0,0,0,1,1,1,1,1,"low_watch_count,low_watch_time,low_watch_days",1,0,0,0,1,0,0,0,0,1,1,0,1,1
128,promo0,0,0.7517691781309792,0.9023949581404678,1,1,1,1,1,1,1,0,0,0,1,1,1,1,"low_watch_count,low_watch_time,low_watch_days",0,1,1,0,1,1,0,0,1,1,1,0,1,1
129,promo0,1,0.0544424598380854,0.0995988842355642,0,0,0,0,0,0,0,0,0,1,1,0,1,1,"low_watch_count,low_watch_days",1,0,0,0,0,0,0,1,0,0,1,0,1,1
130,promo0,1,0.1966720391485675,0.6597358400903797,0,0,0,0,1,0,0,0,0,1,0,0,0,0,none,0,1,0,1,1,0,0,0,1,0,0,0,0,1
131,promo0,1,0.0247282594989027,0.0709333447288511,0,0,0,0,0,0,0,0,0,1,0,0,0,0,none,0,1,0,0,0,0,0,0,0,1,0,0,0,1
132,promo0,1,0.2524267884774562,0.4419462612915124,0,0,0,0,0,0,0,0,0,1,1,1,1,1,"low_watch_count,low_watch_time,low_watch_days",1,0,0,0,1,0,0,0,0,1,1,0,1,1
133,promo0,1,0.323989888184186,0.5349949778300452,0,0,0,0,0,1,0,0,0,1,0,1,1,1,"low_watch_time,low_watch_days",1,0,0,0,0,0,0,0,0,0,1,0,0,1
134,promo0,0,0.2118422811903425,0.5218418652425337,0,0,0,0,0,0,0,0,0,1,1,0,1,1,"low_watch_count,low_watch_days",1,0,0,0,0,0,0,1,0,0,1,0,1,1
135,promo0,0,0.2885345550585012,0.4477272411469298,0,0,0,0,0,1,0,0,0,1,0,0,0,0,none,0,1,0,1,1,0,0,0,1,0,0,0,0,1
136,promo0,0,0.8115705243414998,0.9930099857531066,1,1,1,1,1,1,1,0,0,0,0,0,0,0,none,0,1,1,0,1,1,0,0,1,1,0,0,1,1
137,promo0,0,0.4929380038003291,0.7735066293039696,0,0,1,1,1,1,1,0,0,0,0,0,0,0,none,0,1,0,1,1,0,0,0,1,1,0,0,0,1
138,promo0,1,0.1515319043050932,0.3791863478299069,0,0,0,0,0,0,0,0,0,1,0,0,0,0,none,0,1,1,0,0,0,0,0,0,0,0,0,0,1
139,promo0,1,0.1619529845802761,0.3258849485100301,0,0,0,0,0,0,0,0,0,1,0,0,0,0,none,0,1,0,1,0,0,0,0,1,0,0,0,0,1
140,promo0,1,0.0434155676270894,0.0457212395509457,0,0,0,0,0,0,0,0,0,1,0,0,0,0,none,0,1,0,1,0,0,0,0,1,1,0,0,0,1
141,promo0,1,0.0199685450682204,0.0544836827075415,0,0,0,0,0,0,0,0,0,1,0,0,0,0,none,0,1,0,0,0,0,0,0,0,0,0,1,0,1
142,promo0,1,0.2609994934148048,0.4503482617972233,0,0,0,0,0,0,0,0,0,1,1,1,1,1,"low_watch_count,low_watch_time,low_watch_days",1,0,0,0,1,0,0,0,0,1,1,0,1,1
143,promo0,1,0.2723694218965097,0.5365194129979087,0,0,0,0,0,0,0,0,0,1,1,1,1,1,"low_watch_count,low_watch_time,low_watch_days",1,0,0,0,1,0,0,0,0,1,1,0,1,1
144,promo0,1,0.0531864724478593,0.0487675276278533,0,0,0,0,0,0,0,0,0,1,0,0,0,0,none,0,1,1,0,0,0,0,0,1,0,0,0,0,1
145,promo0,1,0.2027848700479908,0.401188047303796,0,0,0,0,0,0,0,0,0,1,0,0,0,0,none,0,1,0,0,0,0,0,0,0,0,0,1,1,1
146,promo0,1,0.0901972340317459,0.1986429858055307,0,0,0,0,0,0,0,0,0,1,0,0,1,1,low_watch_days,0,1,1,0,0,0,0,0,1,1,1,0,0,1
147,promo0,1,0.0549352256447085,0.0612239139480916,0,0,0,0,0,0,0,0,0,1,0,0,0,0,none,1,0,0,0,0,0,0,0,0,0,0,1,0,1
