evidence_item,related_segment_id,source_file,metric_or_field,value,interpretation,caveat
promo0_s03_row_share_within_scope,promo0_s03,17_segment_summary.csv,row_share_within_scope,0.0205485571339229,row_share_within_scope for promo0_high_risk_only_w1_or_cold_start_weak,"Descriptive segmentation evidence, not causal proof or final targeting."
promo0_s03_actual_repurchase_rate,promo0_s03,17_segment_summary.csv,actual_repurchase_rate,0.2130434782608695,actual_repurchase_rate for promo0_high_risk_only_w1_or_cold_start_weak,"Descriptive segmentation evidence, not causal proof or final targeting."
promo0_s03_actual_churn_rate,promo0_s03,17_segment_summary.csv,actual_churn_rate,0.7869565217391304,actual_churn_rate for promo0_high_risk_only_w1_or_cold_start_weak,"Descriptive segmentation evidence, not causal proof or final targeting."
promo0_s03_mean_gb_churn_risk,promo0_s03,17_segment_summary.csv,mean_gb_churn_risk,0.6343099306579036,mean_gb_churn_risk for promo0_high_risk_only_w1_or_cold_start_weak,"Descriptive segmentation evidence, not causal proof or final targeting."
promo0_s03_gb_lr_both_top20_share,promo0_s03,17_segment_summary.csv,gb_lr_both_top20_share,0.8434782608695652,gb_lr_both_top20_share for promo0_high_risk_only_w1_or_cold_start_weak,"Descriptive segmentation evidence, not causal proof or final targeting."
promo0_s03_dominant_flags,promo0_s03,17_segment_summary.csv,dominant_flags,cold_start_weak:1.00; low_activity:0.99; usage_concentrated:0.96; genre_preference_clear:0.82; content_preference_signal:1.00,dominant_flags for promo0_high_risk_only_w1_or_cold_start_weak,"Descriptive segmentation evidence, not causal proof or final targeting."
promo0_s04_row_count,promo0_s04,17_segment_summary.csv,row_count,43,row_count for promo0_high_risk_low_activity,"Descriptive segmentation evidence, not causal proof or final targeting."
promo0_s04_row_share_within_scope,promo0_s04,17_segment_summary.csv,row_share_within_scope,0.003841686768516,row_share_within_scope for promo0_high_risk_low_activity,"Descriptive segmentation evidence, not causal proof or final targeting."
promo0_s04_actual_repurchase_rate,promo0_s04,17_segment_summary.csv,actual_repurchase_rate,0.4418604651162791,actual_repurchase_rate for promo0_high_risk_low_activity,"Descriptive segmentation evidence, not causal proof or final targeting."
promo0_s04_actual_churn_rate,promo0_s04,17_segment_summary.csv,actual_churn_rate,0.5581395348837209,actual_churn_rate for promo0_high_risk_low_activity,"Descriptive segmentation evidence, not causal proof or final targeting."
promo0_s04_mean_gb_churn_risk,promo0_s04,17_segment_summary.csv,mean_gb_churn_risk,0.5997995016124588,mean_gb_churn_risk for promo0_high_risk_low_activity,"Descriptive segmentation evidence, not causal proof or final targeting."
promo0_s04_gb_lr_both_top20_share,promo0_s04,17_segment_summary.csv,gb_lr_both_top20_share,0.5581395348837209,gb_lr_both_top20_share for promo0_high_risk_low_activity,"Descriptive segmentation evidence, not causal proof or final targeting."
promo0_s04_dominant_flags,promo0_s04,17_segment_summary.csv,dominant_flags,low_activity:1.00; usage_concentrated:0.58; content_preference_signal:1.00,dominant_flags for promo0_high_risk_low_activity,"Descriptive segmentation evidence, not causal proof or final targeting."
promo0_s05_row_count,promo0_s05,17_segment_summary.csv,row_count,2031,row_count for promo0_stable_usage_lower_risk,"Descriptive segmentation evidence, not causal proof or final targeting."
promo0_s05_row_share_within_scope,promo0_s05,17_segment_summary.csv,row_share_within_scope,0.1814526936478156,row_share_within_scope for promo0_stable_usage_lower_risk,"Descriptive segmentation evidence, not causal proof or final targeting."
promo0_s05_actual_repurchase_rate,promo0_s05,17_segment_summary.csv,actual_repurchase_rate,0.9182668636139832,actual_repurchase_rate for promo0_stable_usage_lower_risk,"Descriptive segmentation evidence, not causal proof or final targeting."
promo0_s05_actual_churn_rate,promo0_s05,17_segment_summary.csv,actual_churn_rate,0.0817331363860167,actual_churn_rate for promo0_stable_usage_lower_risk,"Descriptive segmentation evidence, not causal proof or final targeting."
promo0_s05_mean_gb_churn_risk,promo0_s05,17_segment_summary.csv,mean_gb_churn_risk,0.0800189736926586,mean_gb_churn_risk for promo0_stable_usage_lower_risk,"Descriptive segmentation evidence, not causal proof or final targeting."
promo0_s05_gb_lr_both_top20_share,promo0_s05,17_segment_summary.csv,gb_lr_both_top20_share,0.0,gb_lr_both_top20_share for promo0_stable_usage_lower_risk,"Descriptive segmentation evidence, not causal proof or final targeting."
promo0_s05_dominant_flags,promo0_s05,17_segment_summary.csv,dominant_flags,content_preference_signal:0.93; stable_usage:1.00,dominant_flags for promo0_stable_usage_lower_risk,"Descriptive segmentation evidence, not causal proof or final targeting."
promo0_s99_row_count,promo0_s99,17_segment_summary.csv,row_count,6999,row_count for promo0_other_needs_review,"Descriptive segmentation evidence, not causal proof or final targeting."
promo0_s99_row_share_within_scope,promo0_s99,17_segment_summary.csv,row_share_within_scope,0.6253015277405521,row_share_within_scope for promo0_other_needs_review,"Descriptive segmentation evidence, not causal proof or final targeting."
promo0_s99_actual_repurchase_rate,promo0_s99,17_segment_summary.csv,actual_repurchase_rate,0.8572653236176596,actual_repurchase_rate for promo0_other_needs_review,"Descriptive segmentation evidence, not causal proof or final targeting."
promo0_s99_actual_churn_rate,promo0_s99,17_segment_summary.csv,actual_churn_rate,0.1427346763823404,actual_churn_rate for promo0_other_needs_review,"Descriptive segmentation evidence, not causal proof or final targeting."
promo0_s99_mean_gb_churn_risk,promo0_s99,17_segment_summary.csv,mean_gb_churn_risk,0.1544072694389276,mean_gb_churn_risk for promo0_other_needs_review,"Descriptive segmentation evidence, not causal proof or final targeting."
promo0_s99_gb_lr_both_top20_share,promo0_s99,17_segment_summary.csv,gb_lr_both_top20_share,0.0070010001428775,gb_lr_both_top20_share for promo0_other_needs_review,"Descriptive segmentation evidence, not causal proof or final targeting."
promo0_s99_dominant_flags,promo0_s99,17_segment_summary.csv,dominant_flags,week3_inactive:0.34; retention_decay:0.56; cold_start_weak:0.46; low_activity:0.48; usage_concentrated:0.47; genre_preference_clear:0.31,dominant_flags for promo0_other_needs_review,"Descriptive segmentation evidence, not causal proof or final targeting."
promo1_s01_row_count,promo1_s01,17_segment_summary.csv,row_count,1700,row_count for promo1_high_risk_week3_inactive,"Descriptive segmentation evidence, not causal proof or final targeting."
promo1_s01_row_share_within_scope,promo1_s01,17_segment_summary.csv,row_share_within_scope,0.1428091397849462,row_share_within_scope for promo1_high_risk_week3_inactive,"Descriptive segmentation evidence, not causal proof or final targeting."
promo1_s01_actual_repurchase_rate,promo1_s01,17_segment_summary.csv,actual_repurchase_rate,0.2505882352941176,actual_repurchase_rate for promo1_high_risk_week3_inactive,"Descriptive segmentation evidence, not causal proof or final targeting."
promo1_s01_actual_churn_rate,promo1_s01,17_segment_summary.csv,actual_churn_rate,0.7494117647058823,actual_churn_rate for promo1_high_risk_week3_inactive,"Descriptive segmentation evidence, not causal proof or final targeting."
promo1_s01_mean_gb_churn_risk,promo1_s01,17_segment_summary.csv,mean_gb_churn_risk,0.7455318405606054,mean_gb_churn_risk for promo1_high_risk_week3_inactive,"Descriptive segmentation evidence, not causal proof or final targeting."
promo1_s01_gb_lr_both_top20_share,promo1_s01,17_segment_summary.csv,gb_lr_both_top20_share,0.8458823529411764,gb_lr_both_top20_share for promo1_high_risk_week3_inactive,"Descriptive segmentation evidence, not causal proof or final targeting."
promo1_s01_dominant_flags,promo1_s01,17_segment_summary.csv,dominant_flags,week3_inactive:1.00; retention_decay:0.81; only_w1:0.55; low_activity:0.79; usage_concentrated:0.77; genre_preference_clear:0.56,dominant_flags for promo1_high_risk_week3_inactive,"Descriptive segmentation evidence, not causal proof or final targeting."
promo1_s02_row_count,promo1_s02,17_segment_summary.csv,row_count,193,row_count for promo1_high_risk_retention_decay,"Descriptive segmentation evidence, not causal proof or final targeting."
promo1_s02_row_share_within_scope,promo1_s02,17_segment_summary.csv,row_share_within_scope,0.0162130376344086,row_share_within_scope for promo1_high_risk_retention_decay,"Descriptive segmentation evidence, not causal proof or final targeting."
promo1_s02_actual_repurchase_rate,promo1_s02,17_segment_summary.csv,actual_repurchase_rate,0.3160621761658031,actual_repurchase_rate for promo1_high_risk_retention_decay,"Descriptive segmentation evidence, not causal proof or final targeting."
promo1_s02_actual_churn_rate,promo1_s02,17_segment_summary.csv,actual_churn_rate,0.6839378238341969,actual_churn_rate for promo1_high_risk_retention_decay,"Descriptive segmentation evidence, not causal proof or final targeting."
promo1_s02_mean_gb_churn_risk,promo1_s02,17_segment_summary.csv,mean_gb_churn_risk,0.6899049518433928,mean_gb_churn_risk for promo1_high_risk_retention_decay,"Descriptive segmentation evidence, not causal proof or final targeting."
promo1_s02_gb_lr_both_top20_share,promo1_s02,17_segment_summary.csv,gb_lr_both_top20_share,0.694300518134715,gb_lr_both_top20_share for promo1_high_risk_retention_decay,"Descriptive segmentation evidence, not causal proof or final targeting."
promo1_s02_dominant_flags,promo1_s02,17_segment_summary.csv,dominant_flags,retention_decay:1.00; low_activity:0.32; content_preference_signal:0.97,dominant_flags for promo1_high_risk_retention_decay,"Descriptive segmentation evidence, not causal proof or final targeting."
promo1_s03_row_count,promo1_s03,17_segment_summary.csv,row_count,329,row_count for promo1_high_risk_only_w1_or_cold_start_weak,"Descriptive segmentation evidence, not causal proof or final targeting."
promo1_s03_row_share_within_scope,promo1_s03,17_segment_summary.csv,row_share_within_scope,0.0276377688172043,row_share_within_scope for promo1_high_risk_only_w1_or_cold_start_weak,"Descriptive segmentation evidence, not causal proof or final targeting."
promo1_s03_actual_repurchase_rate,promo1_s03,17_segment_summary.csv,actual_repurchase_rate,0.1975683890577507,actual_repurchase_rate for promo1_high_risk_only_w1_or_cold_start_weak,"Descriptive segmentation evidence, not causal proof or final targeting."
promo1_s03_actual_churn_rate,promo1_s03,17_segment_summary.csv,actual_churn_rate,0.8024316109422492,actual_churn_rate for promo1_high_risk_only_w1_or_cold_start_weak,"Descriptive segmentation evidence, not causal proof or final targeting."
promo1_s03_mean_gb_churn_risk,promo1_s03,17_segment_summary.csv,mean_gb_churn_risk,0.7325794384034274,mean_gb_churn_risk for promo1_high_risk_only_w1_or_cold_start_weak,"Descriptive segmentation evidence, not causal proof or final targeting."
promo1_s03_gb_lr_both_top20_share,promo1_s03,17_segment_summary.csv,gb_lr_both_top20_share,0.8358662613981763,gb_lr_both_top20_share for promo1_high_risk_only_w1_or_cold_start_weak,"Descriptive segmentation evidence, not causal proof or final targeting."
promo1_s03_dominant_flags,promo1_s03,17_segment_summary.csv,dominant_flags,cold_start_weak:1.00; low_activity:0.92; usage_concentrated:0.89; genre_preference_clear:0.75; content_preference_signal:1.00,dominant_flags for promo1_high_risk_only_w1_or_cold_start_weak,"Descriptive segmentation evidence, not causal proof or final targeting."
promo1_s04_row_count,promo1_s04,17_segment_summary.csv,row_count,41,row_count for promo1_high_risk_low_activity,"Descriptive segmentation evidence, not causal proof or final targeting."
promo1_s04_row_share_within_scope,promo1_s04,17_segment_summary.csv,row_share_within_scope,0.0034442204301075,row_share_within_scope for promo1_high_risk_low_activity,"Descriptive segmentation evidence, not causal proof or final targeting."
promo1_s04_actual_repurchase_rate,promo1_s04,17_segment_summary.csv,actual_repurchase_rate,0.3658536585365853,actual_repurchase_rate for promo1_high_risk_low_activity,"Descriptive segmentation evidence, not causal proof or final targeting."
promo1_s04_actual_churn_rate,promo1_s04,17_segment_summary.csv,actual_churn_rate,0.6341463414634146,actual_churn_rate for promo1_high_risk_low_activity,"Descriptive segmentation evidence, not causal proof or final targeting."
promo1_s04_mean_gb_churn_risk,promo1_s04,17_segment_summary.csv,mean_gb_churn_risk,0.7244826208969499,mean_gb_churn_risk for promo1_high_risk_low_activity,"Descriptive segmentation evidence, not causal proof or final targeting."
promo1_s04_gb_lr_both_top20_share,promo1_s04,17_segment_summary.csv,gb_lr_both_top20_share,0.7073170731707317,gb_lr_both_top20_share for promo1_high_risk_low_activity,"Descriptive segmentation evidence, not causal proof or final targeting."
promo1_s04_dominant_flags,promo1_s04,17_segment_summary.csv,dominant_flags,low_activity:1.00; usage_concentrated:0.34; content_preference_signal:1.00,dominant_flags for promo1_high_risk_low_activity,"Descriptive segmentation evidence, not causal proof or final targeting."
promo1_s05_row_count,promo1_s05,17_segment_summary.csv,row_count,117,row_count for promo1_high_risk_genre_or_content_narrow,"Descriptive segmentation evidence, not causal proof or final targeting."
promo1_s05_row_share_within_scope,promo1_s05,17_segment_summary.csv,row_share_within_scope,0.009828629032258,row_share_within_scope for promo1_high_risk_genre_or_content_narrow,"Descriptive segmentation evidence, not causal proof or final targeting."
promo1_s05_actual_repurchase_rate,promo1_s05,17_segment_summary.csv,actual_repurchase_rate,0.188034188034188,actual_repurchase_rate for promo1_high_risk_genre_or_content_narrow,"Descriptive segmentation evidence, not causal proof or final targeting."
promo1_s05_actual_churn_rate,promo1_s05,17_segment_summary.csv,actual_churn_rate,0.811965811965812,actual_churn_rate for promo1_high_risk_genre_or_content_narrow,"Descriptive segmentation evidence, not causal proof or final targeting."
promo1_s05_mean_gb_churn_risk,promo1_s05,17_segment_summary.csv,mean_gb_churn_risk,0.6696754613931326,mean_gb_churn_risk for promo1_high_risk_genre_or_content_narrow,"Descriptive segmentation evidence, not causal proof or final targeting."
promo1_s05_gb_lr_both_top20_share,promo1_s05,17_segment_summary.csv,gb_lr_both_top20_share,0.5982905982905983,gb_lr_both_top20_share for promo1_high_risk_genre_or_content_narrow,"Descriptive segmentation evidence, not causal proof or final targeting."
promo1_s05_dominant_flags,promo1_s05,17_segment_summary.csv,dominant_flags,content_preference_signal:0.99,dominant_flags for promo1_high_risk_genre_or_content_narrow,"Descriptive segmentation evidence, not causal proof or final targeting."
promo1_s06_row_count,promo1_s06,17_segment_summary.csv,row_count,2086,row_count for promo1_stable_usage_lower_risk,"Descriptive segmentation evidence, not causal proof or final targeting."
promo1_s06_row_share_within_scope,promo1_s06,17_segment_summary.csv,row_share_within_scope,0.1752352150537634,row_share_within_scope for promo1_stable_usage_lower_risk,"Descriptive segmentation evidence, not causal proof or final targeting."
promo1_s06_actual_repurchase_rate,promo1_s06,17_segment_summary.csv,actual_repurchase_rate,0.8552253116011506,actual_repurchase_rate for promo1_stable_usage_lower_risk,"Descriptive segmentation evidence, not causal proof or final targeting."
promo1_s06_actual_churn_rate,promo1_s06,17_segment_summary.csv,actual_churn_rate,0.1447746883988494,actual_churn_rate for promo1_stable_usage_lower_risk,"Descriptive segmentation evidence, not causal proof or final targeting."
promo1_s06_mean_gb_churn_risk,promo1_s06,17_segment_summary.csv,mean_gb_churn_risk,0.1497336324006249,mean_gb_churn_risk for promo1_stable_usage_lower_risk,"Descriptive segmentation evidence, not causal proof or final targeting."
promo1_s06_gb_lr_both_top20_share,promo1_s06,17_segment_summary.csv,gb_lr_both_top20_share,0.0,gb_lr_both_top20_share for promo1_stable_usage_lower_risk,"Descriptive segmentation evidence, not causal proof or final targeting."
promo1_s06_dominant_flags,promo1_s06,17_segment_summary.csv,dominant_flags,content_preference_signal:0.91; stable_usage:1.00,dominant_flags for promo1_stable_usage_lower_risk,"Descriptive segmentation evidence, not causal proof or final targeting."
promo1_s99_row_count,promo1_s99,17_segment_summary.csv,row_count,7438,row_count for promo1_other_needs_review,"Descriptive segmentation evidence, not causal proof or final targeting."
promo1_s99_row_share_within_scope,promo1_s99,17_segment_summary.csv,row_share_within_scope,0.6248319892473119,row_share_within_scope for promo1_other_needs_review,"Descriptive segmentation evidence, not causal proof or final targeting."
promo1_s99_actual_repurchase_rate,promo1_s99,17_segment_summary.csv,actual_repurchase_rate,0.7614950255445012,actual_repurchase_rate for promo1_other_needs_review,"Descriptive segmentation evidence, not causal proof or final targeting."
promo1_s99_actual_churn_rate,promo1_s99,17_segment_summary.csv,actual_churn_rate,0.2385049744554987,actual_churn_rate for promo1_other_needs_review,"Descriptive segmentation evidence, not causal proof or final targeting."
promo1_s99_mean_gb_churn_risk,promo1_s99,17_segment_summary.csv,mean_gb_churn_risk,0.2415979820377083,mean_gb_churn_risk for promo1_other_needs_review,"Descriptive segmentation evidence, not causal proof or final targeting."
promo1_s99_gb_lr_both_top20_share,promo1_s99,17_segment_summary.csv,gb_lr_both_top20_share,0.0001344447432105,gb_lr_both_top20_share for promo1_other_needs_review,"Descriptive segmentation evidence, not causal proof or final targeting."
promo1_s99_dominant_flags,promo1_s99,17_segment_summary.csv,dominant_flags,week3_inactive:0.34; retention_decay:0.56; cold_start_weak:0.46; low_activity:0.47; usage_concentrated:0.46; genre_preference_clear:0.32,dominant_flags for promo1_other_needs_review,"Descriptive segmentation evidence, not causal proof or final targeting."
