promo_scope,representative_segment_id,provisional_label,related_feature_family,related_features,segment_behavior_evidence,shap_family_rank_in_promo_scope,shap_family_importance,promo1_vs_promo0_family_difference_if_available,interpretation,caveat
promo0,promo0_s05,promo0_stable_usage_lower_risk,usage_concentration,see 16b feature family mapping,content_preference_signal:0.93; stable_usage:1.00,4,0.1117107748217988,-0.0302356075512337,usage_concentration supports the behavior evidence as model explanation.,"SHAP is model explanation, not causality. Segment rule is not built from SHAP alone."
promo0,promo0_s99,promo0_other_needs_review,weekly_usage,see 16b feature family mapping,week3_inactive:0.34; retention_decay:0.56; cold_start_weak:0.46; low_activity:0.48; usage_concentrated:0.47; genre_preference_clear:0.31,1,1.3809966019692443,-0.1516487369128842,weekly_usage supports the behavior evidence as model explanation.,"SHAP is model explanation, not causality. Segment rule is not built from SHAP alone."
promo0,promo0_s99,promo0_other_needs_review,genre_preference,see 16b feature family mapping,week3_inactive:0.34; retention_decay:0.56; cold_start_weak:0.46; low_activity:0.48; usage_concentrated:0.47; genre_preference_clear:0.31,2,1.1514309430942005,0.1931943738454395,genre_preference supports the behavior evidence as model explanation.,"SHAP is model explanation, not causality. Segment rule is not built from SHAP alone."
promo1,promo1_s01,promo1_high_risk_week3_inactive,weekly_usage,see 16b feature family mapping,week3_inactive:1.00; retention_decay:0.81; only_w1:0.55; low_activity:0.79; usage_concentrated:0.77; genre_preference_clear:0.56,2,1.22934786505636,-0.1516487369128842,weekly_usage supports the behavior evidence as model explanation.,"SHAP is model explanation, not causality. Segment rule is not built from SHAP alone."
promo1,promo1_s01,promo1_high_risk_week3_inactive,week_specific_usage_pattern,see 16b feature family mapping,week3_inactive:1.00; retention_decay:0.81; only_w1:0.55; low_activity:0.79; usage_concentrated:0.77; genre_preference_clear:0.56,10,0.041002316531936,-0.0613145131134365,week_specific_usage_pattern supports the behavior evidence as model explanation.,"SHAP is model explanation, not causality. Segment rule is not built from SHAP alone."
promo1,promo1_s02,promo1_high_risk_retention_decay,retention_decay,see 16b feature family mapping,retention_decay:1.00; low_activity:0.32; content_preference_signal:0.97,3,0.5663888408155987,0.1095775107736858,retention_decay supports the behavior evidence as model explanation.,"SHAP is model explanation, not causality. Segment rule is not built from SHAP alone."
promo1,promo1_s02,promo1_high_risk_retention_decay,inactivity_recency,see 16b feature family mapping,retention_decay:1.00; low_activity:0.32; content_preference_signal:0.97,9,0.0555700181967172,0.0406251304858924,inactivity_recency supports the behavior evidence as model explanation.,"SHAP is model explanation, not causality. Segment rule is not built from SHAP alone."
promo1,promo1_s03,promo1_high_risk_only_w1_or_cold_start_weak,onboarding_activation,see 16b feature family mapping,cold_start_weak:1.00; low_activity:0.92; usage_concentrated:0.89; genre_preference_clear:0.75; content_preference_signal:1.00,4,0.1755691321829313,0.1255454387904608,onboarding_activation supports the behavior evidence as model explanation.,"SHAP is model explanation, not causality. Segment rule is not built from SHAP alone."
promo1,promo1_s03,promo1_high_risk_only_w1_or_cold_start_weak,week_specific_usage_pattern,see 16b feature family mapping,cold_start_weak:1.00; low_activity:0.92; usage_concentrated:0.89; genre_preference_clear:0.75; content_preference_signal:1.00,10,0.041002316531936,-0.0613145131134365,week_specific_usage_pattern supports the behavior evidence as model explanation.,"SHAP is model explanation, not causality. Segment rule is not built from SHAP alone."
promo1,promo1_s04,promo1_high_risk_low_activity,weekly_usage,see 16b feature family mapping,low_activity:1.00; usage_concentrated:0.34; content_preference_signal:1.00,2,1.22934786505636,-0.1516487369128842,weekly_usage supports the behavior evidence as model explanation.,"SHAP is model explanation, not causality. Segment rule is not built from SHAP alone."
promo1,promo1_s04,promo1_high_risk_low_activity,usage_concentration,see 16b feature family mapping,low_activity:1.00; usage_concentrated:0.34; content_preference_signal:1.00,6,0.081475167270565,-0.0302356075512337,usage_concentration supports the behavior evidence as model explanation.,"SHAP is model explanation, not causality. Segment rule is not built from SHAP alone."
promo1,promo1_s05,promo1_high_risk_genre_or_content_narrow,genre_preference,see 16b feature family mapping,content_preference_signal:0.99,1,1.34462531693964,0.1931943738454395,genre_preference supports the behavior evidence as model explanation.,"SHAP is model explanation, not causality. Segment rule is not built from SHAP alone."
promo1,promo1_s05,promo1_high_risk_genre_or_content_narrow,content_preference,see 16b feature family mapping,content_preference_signal:0.99,7,0.0788110301104359,0.0602001242780497,content_preference supports the behavior evidence as model explanation.,"SHAP is model explanation, not causality. Segment rule is not built from SHAP alone."
promo1,promo1_s06,promo1_stable_usage_lower_risk,weekly_usage,see 16b feature family mapping,content_preference_signal:0.91; stable_usage:1.00,2,1.22934786505636,-0.1516487369128842,weekly_usage supports the behavior evidence as model explanation.,"SHAP is model explanation, not causality. Segment rule is not built from SHAP alone."
promo1,promo1_s06,promo1_stable_usage_lower_risk,retention_decay,see 16b feature family mapping,content_preference_signal:0.91; stable_usage:1.00,3,0.5663888408155987,0.1095775107736858,retention_decay supports the behavior evidence as model explanation.,"SHAP is model explanation, not causality. Segment rule is not built from SHAP alone."
promo1,promo1_s06,promo1_stable_usage_lower_risk,usage_concentration,see 16b feature family mapping,content_preference_signal:0.91; stable_usage:1.00,6,0.081475167270565,-0.0302356075512337,usage_concentration supports the behavior evidence as model explanation.,"SHAP is model explanation, not causality. Segment rule is not built from SHAP alone."
promo1,promo1_s99,promo1_other_needs_review,weekly_usage,see 16b feature family mapping,week3_inactive:0.34; retention_decay:0.56; cold_start_weak:0.46; low_activity:0.47; usage_concentrated:0.46; genre_preference_clear:0.32,2,1.22934786505636,-0.1516487369128842,weekly_usage supports the behavior evidence as model explanation.,"SHAP is model explanation, not causality. Segment rule is not built from SHAP alone."
promo1,promo1_s99,promo1_other_needs_review,genre_preference,see 16b feature family mapping,week3_inactive:0.34; retention_decay:0.56; cold_start_weak:0.46; low_activity:0.47; usage_concentrated:0.46; genre_preference_clear:0.32,1,1.34462531693964,0.1931943738454395,genre_preference supports the behavior evidence as model explanation.,"SHAP is model explanation, not causality. Segment rule is not built from SHAP alone."
