relative_path,item_type,size_bytes,modified_time,top_level_area,inferred_role,notes
reports\segmentation\17_segmentation_design_260520,directory,,2026-05-20T15:26:44,reports,directory,
results,directory,,2026-05-20T16:42:34,results,results_directory,
results\11_baseline_growth_comparison_260520,directory,,2026-05-20T17:02:28,results,results_directory,
results\11_baseline_growth_comparison_260520\emergency_four_model_reference,directory,,2026-05-20T17:02:28,results,results_directory,
results\11_baseline_growth_comparison_260520\lr_baseline_promo0,directory,,2026-05-20T14:53:42,results,results_directory,
results\11_baseline_growth_comparison_260520\lr_baseline_promo0\feature_manifest_used.csv,file,1818,2026-05-20T14:53:42,results,model_feature_manifest,
results\11_baseline_growth_comparison_260520\lr_baseline_promo0\final_result.csv,file,926,2026-05-20T15:53:04,results,model_final_result,
results\11_baseline_growth_comparison_260520\lr_baseline_promo0\trials_all.csv,file,11590,2026-05-20T14:53:42,results,model_trials_all,
results\11_baseline_growth_comparison_260520\lr_baseline_promo1,directory,,2026-05-20T14:56:55,results,results_directory,
results\11_baseline_growth_comparison_260520\lr_baseline_promo1\feature_manifest_used.csv,file,1818,2026-05-20T14:56:55,results,model_feature_manifest,
results\11_baseline_growth_comparison_260520\lr_baseline_promo1\final_result.csv,file,930,2026-05-20T15:53:04,results,model_final_result,
results\11_baseline_growth_comparison_260520\lr_baseline_promo1\trials_all.csv,file,11675,2026-05-20T14:56:55,results,model_trials_all,
results\12_model_family_comparison_260520,directory,,2026-05-20T17:02:28,results,results_directory,
results\12_model_family_comparison_260520\four_model_comparison_summary,directory,,2026-05-20T17:02:28,results,results_directory,
results\12_model_family_comparison_260520\gradientboosting_promo0,directory,,2026-05-20T16:18:38,results,results_directory,
results\12_model_family_comparison_260520\gradientboosting_promo0\feature_manifest_used.csv,file,1818,2026-05-20T16:18:38,results,model_feature_manifest,
results\12_model_family_comparison_260520\gradientboosting_promo0\final_result.csv,file,1098,2026-05-20T16:18:38,results,model_final_result,
results\12_model_family_comparison_260520\gradientboosting_promo0\trials_all.csv,file,14385,2026-05-20T16:18:38,results,model_trials_all,
results\12_model_family_comparison_260520\gradientboosting_promo1,directory,,2026-05-20T16:18:38,results,results_directory,
results\12_model_family_comparison_260520\gradientboosting_promo1\feature_manifest_used.csv,file,1818,2026-05-20T16:18:38,results,model_feature_manifest,
results\12_model_family_comparison_260520\gradientboosting_promo1\final_result.csv,file,1130,2026-05-20T16:18:38,results,model_final_result,
results\12_model_family_comparison_260520\gradientboosting_promo1\trials_all.csv,file,14408,2026-05-20T16:18:38,results,model_trials_all,
results\14_candidate_tuning_260520,directory,,2026-05-20T15:26:44,results,results_directory,
results\15_oof_score_or_sensitivity_260520,directory,,2026-05-20T15:26:44,results,results_directory,
results\_06_log_retention_distribution_eda_260520,directory,,2026-05-20T15:52:37,results,results_directory,
results\_06_log_retention_distribution_eda_260520\06_fig_01_log_retention_histograms.png,file,156478,2026-05-20T13:46:22,results,file,
results\_06_log_retention_distribution_eda_260520\06_fig_02_log_retention_boxplot_by_dataset.png,file,52004,2026-05-20T13:46:22,results,file,
results\_06_log_retention_distribution_eda_260520\06_fig_03_overall_raw_vs_log_histograms.png,file,133585,2026-05-20T13:46:23,results,file,
results\_06_log_retention_distribution_eda_260520\06_log_retention_baseline_direction_summary.csv,file,816,2026-05-20T13:46:23,results,csv_artifact,
results\_06_log_retention_distribution_eda_260520\06_log_retention_distribution_summary.csv,file,3066,2026-05-20T13:46:21,results,csv_artifact,
results\_06_log_retention_distribution_eda_260520\README.md,file,768,2026-05-20T15:53:04,results,readme,
results\_06_model_notebook_prep_260520,directory,,2026-05-20T15:52:37,results,results_directory,
results\_06_model_notebook_prep_260520\06_existing_folder_inventory.csv,file,2819,2026-05-20T15:53:04,results,csv_artifact,
results\_06_model_notebook_prep_260520\06_feature_manifest.csv,file,10312,2026-05-20T15:32:10,results,csv_artifact,
results\_06_model_notebook_prep_260520\06_input_validation.csv,file,826,2026-05-20T15:53:04,results,csv_artifact,
results\_06_model_notebook_prep_260520\06_log_retention_input_inventory.csv,file,446,2026-05-20T15:53:04,results,csv_artifact,
results\_06_model_notebook_prep_260520\06_log_retention_input_profile.csv,file,709,2026-05-20T14:39:46,results,csv_artifact,
results\_06_model_notebook_prep_260520\06_manual_execution_guide.md,file,1991,2026-05-20T15:53:04,results,file,
results\_06_model_notebook_prep_260520\06_model_notebook_prep_final_checks.csv,file,3911,2026-05-20T15:53:04,results,csv_artifact,
results\_06_model_notebook_prep_260520\06_model_notebook_prep_memo.md,file,2093,2026-05-20T15:53:04,results,file,
results\_06_model_notebook_prep_260520\06_notebook_prep_review_zip_inventory.csv,file,3099,2026-05-20T15:53:04,results,csv_artifact,
results\_06_model_notebook_prep_260520\06_notebook_static_checks.csv,file,1398,2026-05-20T15:53:04,results,csv_artifact,
results\_06_model_notebook_prep_260520\note_tail_PUBLIC_model_notebook_prep_260520.md,file,7859,2026-05-20T15:53:04,results,file,
results\_06_model_notebook_prep_260520\prepare_model_notebooks_260520.py,file,48736,2026-05-20T15:53:04,results,file,
results\_06x_dataset_generation_260515,directory,,2026-05-20T13:06:57,results,results_directory,
results\_06x_dataset_generation_260515\06x_caveat_register.csv,file,778,2026-05-20T13:33:48,results,csv_artifact,
results\_06x_dataset_generation_260515\06x_cold_start_hotfix_diff_summary.csv,file,1091,2026-05-20T13:33:48,results,csv_artifact,
results\_06x_dataset_generation_260515\06x_cold_start_hotfix_print_summary.txt,file,553,2026-05-20T13:33:48,results,file,
results\_06x_dataset_generation_260515\06x_cold_start_hotfix_validation.csv,file,400,2026-05-20T13:33:47,results,csv_artifact,
results\_06x_dataset_generation_260515\06x_cold_start_mismatch_cause_analysis.csv,file,1384,2026-05-20T13:33:47,results,csv_artifact,
results\_06x_dataset_generation_260515\06x_conservative_dataset.csv,file,4866739,2026-05-20T13:33:47,results,csv_artifact,
results\_06x_dataset_generation_260515\06x_dataset_comparison_summary.csv,file,289,2026-05-20T13:33:48,results,csv_artifact,
results\_06x_dataset_generation_260515\06x_dataset_schema_conservative.csv,file,1527,2026-05-20T13:33:48,results,csv_artifact,
results\_06x_dataset_generation_260515\06x_dataset_schema_expanded.csv,file,8038,2026-05-20T13:33:48,results,csv_artifact,
results\_06x_dataset_generation_260515\06x_excluded_columns_audit.csv,file,1392,2026-05-20T13:33:48,results,csv_artifact,
results\_06x_dataset_generation_260515\06x_expanded_dataset.csv,file,12191995,2026-05-20T13:33:48,results,csv_artifact,
results\_06x_dataset_generation_260515\06x_feature_name_mapping.csv,file,5490,2026-05-20T13:33:48,results,csv_artifact,
results\_06x_dataset_generation_260515\06x_final_checks.csv,file,1546,2026-05-20T15:53:01,results,csv_artifact,
results\_06x_dataset_generation_260515\06x_fixed_feature_validation.csv,file,868,2026-05-20T13:33:47,results,csv_artifact,
results\_06x_dataset_generation_260515\06x_model_feature_lists.csv,file,12902,2026-05-20T13:33:48,results,csv_artifact,
results\_06x_dataset_generation_260515\06x_review_zip_inventory.csv,file,1809,2026-05-20T15:53:01,results,csv_artifact,
results\_06x_dataset_generation_260515\06x_row_policy_audit.csv,file,214,2026-05-20T13:33:47,results,csv_artifact,
results\_06x_dataset_generation_260515\06x_scope_feature_policy.csv,file,757,2026-05-20T13:33:48,results,csv_artifact,
results\_06x_dataset_generation_260515\06x_source_master_profile.csv,file,218,2026-05-20T13:33:47,results,csv_artifact,
results\_06x_dataset_generation_260515\note_tail_copy.md,file,5795,2026-05-20T13:33:48,results,file,
results\_06x_dataset_generation_260515\README.md,file,1886,2026-05-20T13:33:48,results,readme,
results\_06y_promo_split_260520,directory,,2026-05-20T13:19:53,results,results_directory,
results\_06y_promo_split_260520\06y_expanded_dataset_promo_0.csv,file,5896640,2026-05-20T13:34:09,results,csv_artifact,
results\_06y_promo_split_260520\06y_expanded_dataset_promo_1.csv,file,6295394,2026-05-20T13:34:09,results,csv_artifact,
results\_06y_promo_split_260520\06y_final_checks.csv,file,860,2026-05-20T15:53:04,results,csv_artifact,
results\_06y_promo_split_260520\06y_promo_split_print_summary.txt,file,220,2026-05-20T13:34:09,results,file,
results\_06y_promo_split_260520\06y_promo_split_summary.csv,file,277,2026-05-20T13:34:09,results,csv_artifact,
results\_06y_promo_split_260520\06y_review_zip_inventory.csv,file,865,2026-05-20T15:53:04,results,csv_artifact,
results\_06y_promo_split_260520\06y_schema_check.csv,file,3804,2026-05-20T13:34:09,results,csv_artifact,
results\_06y_promo_split_260520\06y_source_profile.csv,file,251,2026-05-20T13:34:08,results,csv_artifact,
results\_06y_promo_split_260520\06y_target_distribution_by_split.csv,file,177,2026-05-20T13:34:09,results,csv_artifact,
results\_06y_promo_split_260520\note_tail_copy.md,file,4639,2026-05-20T13:34:09,results,file,
results\_06y_promo_split_260520\README.md,file,671,2026-05-20T13:34:09,results,readme,
results\_current,directory,,2026-05-20T15:26:44,results,results_directory,
zip,directory,,2026-05-20T16:09:09,zip,zip_directory,
zip\_06x_dataset_generation_260515_review_package.zip,file,6831724,2026-05-20T13:33:50,zip,review_or_archive_zip,
zip\_06y_promo_split_260520_review_package.zip,file,4425907,2026-05-20T13:34:10,zip,review_or_archive_zip,
zip\PUBLIC_lineage_snapshot_20260520_155450.zip,file,28989,2026-05-20T15:54:51,zip,review_or_archive_zip,
zip\PUBLIC_model_notebook_prep_260520_review_package.zip,file,4632824,2026-05-20T14:39:51,zip,review_or_archive_zip,
zip\PUBLIC_pipeline_realignment_260520_review_package.zip,file,37258,2026-05-20T15:53:58,zip,review_or_archive_zip,
zip\PUBLIC_structure_correction_2_260520_review_package.zip,file,47287,2026-05-20T16:10:14,zip,review_or_archive_zip,
