membership_row_id,w1_1_has_watch_obs,w1_1_total_watch_time,w1_1_total_sessions,w1_1_unique_contents,w1_1_unique_watch_days,w1_1_avg_watch_time_per_session,w1_1_max_daily_watch_time,w1_1_max_day_share,w1_1_one_minute_watch_count,w1_1_short_watch_count_le5,w1_1_short_watch_time_le5,w1_1_week1_watch_time,w1_1_week1_sessions,w1_1_week1_ratio
100,1,116.0,9,6,4,12.888889,61.0,0.525862,5,6,7.0,116.0,9,1.0
101,1,76.0,4,2,2,19.0,61.0,0.802632,0,2,6.0,76.0,4,1.0
102,1,114.0,1,1,1,114.0,114.0,1.0,0,0,0.0,114.0,1,1.0
103,1,225.0,7,4,5,32.142857,159.0,0.706667,2,3,7.0,225.0,7,1.0
104,1,64.0,2,1,2,32.0,33.0,0.515625,0,0,0.0,64.0,2,1.0
105,1,111.0,2,1,2,55.5,83.0,0.747748,0,0,0.0,111.0,2,1.0
106,1,173.0,5,4,3,34.6,167.0,0.965318,2,4,6.0,173.0,5,1.0
107,1,43.0,6,5,3,7.166667,20.0,0.465116,1,3,9.0,43.0,6,1.0
108,1,440.0,6,5,3,73.333333,321.0,0.729545,0,1,2.0,440.0,6,1.0
109,1,7.0,4,3,1,1.75,7.0,1.0,1,4,7.0,7.0,4,1.0
110,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0
111,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0
112,1,134.0,3,1,1,44.666667,134.0,1.0,1,1,1.0,134.0,3,1.0
113,1,71.0,2,1,2,35.5,58.0,0.816901,0,0,0.0,71.0,2,1.0
114,1,11.0,1,1,1,11.0,11.0,1.0,0,0,0.0,11.0,1,1.0
115,1,2.0,1,1,1,2.0,2.0,1.0,0,1,2.0,2.0,1,1.0
116,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0
117,1,394.0,7,4,3,56.285714,172.0,0.436548,1,2,3.0,394.0,7,1.0
118,1,952.0,13,4,4,73.230769,365.0,0.383403,2,3,6.0,952.0,13,1.0
119,1,130.0,2,2,2,65.0,112.0,0.861538,0,0,0.0,130.0,2,1.0
120,1,21.0,4,3,1,5.25,21.0,1.0,2,2,2.0,21.0,4,1.0
121,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0
122,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0
123,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0
124,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0
125,1,151.0,3,3,3,50.333333,82.0,0.543046,0,0,0.0,151.0,3,1.0
126,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0
127,1,144.0,1,1,1,144.0,144.0,1.0,0,0,0.0,144.0,1,1.0
128,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0
129,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0
130,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0
131,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0
132,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0
133,1,196.0,8,4,2,24.5,189.0,0.964286,5,6,9.0,196.0,8,1.0
134,1,15.0,1,1,1,15.0,15.0,1.0,0,0,0.0,15.0,1,1.0
135,1,100.0,2,1,1,50.0,100.0,1.0,1,1,1.0,100.0,2,1.0
136,1,8.0,1,1,1,8.0,8.0,1.0,0,0,0.0,8.0,1,1.0
137,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0
138,1,145.0,4,3,2,36.25,108.0,0.744828,0,1,5.0,145.0,4,1.0
140,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0
141,1,93.0,2,2,1,46.5,93.0,1.0,0,0,0.0,93.0,2,1.0
142,1,483.0,4,4,4,120.75,200.0,0.414079,1,1,1.0,483.0,4,1.0
143,1,21.0,3,3,1,7.0,21.0,1.0,1,1,1.0,21.0,3,1.0
144,1,17.0,1,1,1,17.0,17.0,1.0,0,0,0.0,17.0,1,1.0
145,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0
146,1,64.0,1,1,1,64.0,64.0,1.0,0,0,0.0,64.0,1,1.0
147,1,164.0,4,3,3,41.0,79.0,0.481707,0,0,0.0,164.0,4,1.0
148,1,217.0,2,1,1,108.5,217.0,1.0,0,0,0.0,217.0,2,1.0
149,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0
150,1,307.0,5,3,2,61.4,210.0,0.684039,1,1,1.0,307.0,5,1.0
151,1,349.0,6,4,2,58.166667,196.0,0.561605,2,2,2.0,349.0,6,1.0
152,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0
153,1,153.0,10,8,2,15.3,152.0,0.993464,6,8,10.0,153.0,10,1.0
154,1,269.0,5,5,3,53.8,117.0,0.434944,0,0,0.0,269.0,5,1.0
155,1,6.0,1,1,1,6.0,6.0,1.0,0,0,0.0,6.0,1,1.0
156,1,189.0,3,1,2,63.0,172.0,0.910053,0,0,0.0,189.0,3,1.0
157,1,95.0,3,1,1,31.666667,95.0,1.0,1,1,1.0,95.0,3,1.0
159,1,13.0,1,1,1,13.0,13.0,1.0,0,0,0.0,13.0,1,1.0
160,1,2.0,1,1,1,2.0,2.0,1.0,0,1,2.0,2.0,1,1.0
161,1,38.0,4,4,1,9.5,38.0,1.0,2,2,2.0,38.0,4,1.0
162,1,200.0,7,4,2,28.571429,105.0,0.525,4,4,4.0,200.0,7,1.0
163,1,271.0,2,2,1,135.5,271.0,1.0,0,0,0.0,271.0,2,1.0
165,1,28.0,3,3,2,9.333333,20.0,0.714286,0,1,4.0,28.0,3,1.0
166,1,1.0,1,1,1,1.0,1.0,1.0,1,1,1.0,1.0,1,1.0
167,1,1.0,1,1,1,1.0,1.0,1.0,1,1,1.0,1.0,1,1.0
168,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0
169,1,771.0,14,11,3,55.071429,429.0,0.55642,0,2,8.0,771.0,14,1.0
170,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0
171,1,176.0,4,3,3,44.0,108.0,0.613636,0,0,0.0,176.0,4,1.0
172,1,1.0,1,1,1,1.0,1.0,1.0,1,1,1.0,1.0,1,1.0
173,1,76.0,2,2,1,38.0,76.0,1.0,1,1,1.0,76.0,2,1.0
174,1,616.0,12,8,6,51.333333,231.0,0.375,1,4,7.0,616.0,12,1.0
175,1,292.0,4,4,2,73.0,194.0,0.664384,0,0,0.0,292.0,4,1.0
176,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0
177,1,86.0,1,1,1,86.0,86.0,1.0,0,0,0.0,86.0,1,1.0
178,1,205.0,11,7,2,18.636364,196.0,0.956098,9,9,9.0,205.0,11,1.0
179,1,81.0,5,2,3,16.2,39.0,0.481481,0,1,4.0,81.0,5,1.0
180,1,137.0,1,1,1,137.0,137.0,1.0,0,0,0.0,137.0,1,1.0
181,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0
182,1,362.0,8,3,2,45.25,288.0,0.79558,1,1,1.0,362.0,8,1.0
183,1,1.0,1,1,1,1.0,1.0,1.0,1,1,1.0,1.0,1,1.0
184,1,89.0,1,1,1,89.0,89.0,1.0,0,0,0.0,89.0,1,1.0
185,1,199.0,2,2,2,99.5,159.0,0.798995,0,0,0.0,199.0,2,1.0
186,1,68.0,3,2,2,22.666667,56.0,0.823529,0,1,2.0,68.0,3,1.0
187,1,243.0,4,2,3,60.75,145.0,0.596708,0,0,0.0,243.0,4,1.0
188,1,118.0,1,1,1,118.0,118.0,1.0,0,0,0.0,118.0,1,1.0
189,1,59.0,1,1,1,59.0,59.0,1.0,0,0,0.0,59.0,1,1.0
190,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0
191,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0
192,1,1.0,1,1,1,1.0,1.0,1.0,1,1,1.0,1.0,1,1.0
193,1,25.0,1,1,1,25.0,25.0,1.0,0,0,0.0,25.0,1,1.0
194,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0
195,1,100.0,1,1,1,100.0,100.0,1.0,0,0,0.0,100.0,1,1.0
196,1,583.0,7,7,5,83.285714,168.0,0.288165,0,0,0.0,583.0,7,1.0
197,1,173.0,4,2,2,43.25,88.0,0.508671,0,1,2.0,173.0,4,1.0
198,1,126.0,1,1,1,126.0,126.0,1.0,0,0,0.0,126.0,1,1.0
199,1,330.0,3,2,1,110.0,330.0,1.0,0,0,0.0,330.0,3,1.0
200,1,467.0,5,5,3,93.4,197.0,0.421842,0,0,0.0,467.0,5,1.0
201,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0
202,1,158.0,3,2,2,52.666667,116.0,0.734177,0,0,0.0,158.0,3,1.0
203,1,37.0,2,2,2,18.5,34.0,0.918919,0,1,3.0,37.0,2,1.0
204,1,52.0,3,2,1,17.333333,52.0,1.0,1,1,1.0,52.0,3,1.0
205,1,141.0,2,2,2,70.5,92.0,0.652482,0,0,0.0,141.0,2,1.0
206,1,5.0,2,2,1,2.5,5.0,1.0,1,2,5.0,5.0,2,1.0
207,1,32.0,1,1,1,32.0,32.0,1.0,0,0,0.0,32.0,1,1.0
208,1,729.0,14,7,5,52.071429,306.0,0.419753,4,5,6.0,729.0,14,1.0
209,1,98.0,1,1,1,98.0,98.0,1.0,0,0,0.0,98.0,1,1.0
210,1,51.0,3,3,2,17.0,31.0,0.607843,0,1,5.0,51.0,3,1.0
211,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0
212,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0
213,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0
214,1,197.0,3,1,3,65.666667,96.0,0.48731,0,0,0.0,197.0,3,1.0
215,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0
216,1,40.0,5,3,2,8.0,23.0,0.575,2,2,2.0,40.0,5,1.0
217,1,6.0,3,3,3,2.0,4.0,0.666667,2,3,6.0,6.0,3,1.0
218,1,46.0,2,2,2,23.0,45.0,0.978261,1,1,1.0,46.0,2,1.0
219,1,244.0,8,6,2,30.5,125.0,0.512295,3,5,8.0,244.0,8,1.0
220,1,1.0,1,1,1,1.0,1.0,1.0,1,1,1.0,1.0,1,1.0
221,1,144.0,2,1,1,72.0,144.0,1.0,0,0,0.0,144.0,2,1.0
222,1,1.0,1,1,1,1.0,1.0,1.0,1,1,1.0,1.0,1,1.0
224,1,96.0,1,1,1,96.0,96.0,1.0,0,0,0.0,96.0,1,1.0
225,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0
226,1,13.0,1,1,1,13.0,13.0,1.0,0,0,0.0,13.0,1,1.0
227,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0
228,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0
229,1,91.0,2,2,1,45.5,91.0,1.0,0,1,4.0,91.0,2,1.0
230,1,81.0,2,1,1,40.5,81.0,1.0,1,1,1.0,81.0,2,1.0
231,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0
232,1,127.0,6,4,1,21.166667,127.0,1.0,3,3,3.0,127.0,6,1.0
233,1,229.0,2,2,2,114.5,126.0,0.550218,0,0,0.0,229.0,2,1.0
234,1,122.0,2,2,1,61.0,122.0,1.0,0,0,0.0,122.0,2,1.0
235,1,26.0,14,12,3,1.857143,22.0,0.846154,10,14,26.0,26.0,14,1.0
236,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0
237,1,28.0,1,1,1,28.0,28.0,1.0,0,0,0.0,28.0,1,1.0
238,1,1.0,1,1,1,1.0,1.0,1.0,1,1,1.0,1.0,1,1.0
239,1,124.0,1,1,1,124.0,124.0,1.0,0,0,0.0,124.0,1,1.0
240,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0
241,1,63.0,4,3,2,15.75,62.0,0.984127,1,2,3.0,63.0,4,1.0
242,1,102.0,2,1,1,51.0,102.0,1.0,0,1,2.0,102.0,2,1.0
243,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0
244,1,77.0,3,2,2,25.666667,66.0,0.857143,1,1,1.0,77.0,3,1.0
245,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0
246,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0
247,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0
248,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0
249,1,280.0,2,2,2,140.0,169.0,0.603571,0,0,0.0,280.0,2,1.0
250,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0
251,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0
252,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0
253,1,99.0,3,2,2,33.0,55.0,0.555556,0,0,0.0,99.0,3,1.0
254,1,2.0,2,1,2,1.0,1.0,0.5,2,2,2.0,2.0,2,1.0
255,1,173.0,4,2,3,43.25,87.0,0.50289,1,1,1.0,173.0,4,1.0
256,1,65.0,2,2,2,32.5,40.0,0.615385,0,0,0.0,65.0,2,1.0
257,1,144.0,1,1,1,144.0,144.0,1.0,0,0,0.0,144.0,1,1.0
258,1,162.0,3,1,3,54.0,120.0,0.740741,1,1,1.0,162.0,3,1.0
259,1,2.0,1,1,1,2.0,2.0,1.0,0,1,2.0,2.0,1,1.0
260,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0
261,1,253.0,3,3,2,84.333333,133.0,0.525692,0,0,0.0,253.0,3,1.0
262,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0
263,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0
264,1,195.0,7,6,3,27.857143,97.0,0.497436,3,4,5.0,195.0,7,1.0
265,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0
266,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0
267,1,2.0,1,1,1,2.0,2.0,1.0,0,1,2.0,2.0,1,1.0
268,1,212.0,2,2,1,106.0,212.0,1.0,0,0,0.0,212.0,2,1.0
269,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0
270,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0
271,1,245.0,2,2,2,122.5,135.0,0.55102,0,0,0.0,245.0,2,1.0
272,1,30.0,1,1,1,30.0,30.0,1.0,0,0,0.0,30.0,1,1.0
273,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0
274,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0
275,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0
276,1,111.0,3,2,1,37.0,111.0,1.0,1,1,1.0,111.0,3,1.0
277,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0
278,1,30.0,1,1,1,30.0,30.0,1.0,0,0,0.0,30.0,1,1.0
279,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0
280,1,318.0,6,6,4,53.0,117.0,0.367925,3,3,3.0,318.0,6,1.0
281,1,1.0,1,1,1,1.0,1.0,1.0,1,1,1.0,1.0,1,1.0
282,1,94.0,1,1,1,94.0,94.0,1.0,0,0,0.0,94.0,1,1.0
283,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0
284,1,12.0,2,1,1,6.0,12.0,1.0,0,0,0.0,12.0,2,1.0
285,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0
286,1,227.0,4,2,1,56.75,227.0,1.0,0,0,0.0,227.0,4,1.0
287,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0
288,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0
289,1,129.0,1,1,1,129.0,129.0,1.0,0,0,0.0,129.0,1,1.0
290,1,117.0,1,1,1,117.0,117.0,1.0,0,0,0.0,117.0,1,1.0
291,1,94.0,1,1,1,94.0,94.0,1.0,0,0,0.0,94.0,1,1.0
292,1,72.0,1,1,1,72.0,72.0,1.0,0,0,0.0,72.0,1,1.0
293,1,109.0,3,2,2,36.333333,91.0,0.834862,0,0,0.0,109.0,3,1.0
294,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0
295,1,113.0,1,1,1,113.0,113.0,1.0,0,0,0.0,113.0,1,1.0
296,1,6.0,4,4,2,1.5,5.0,0.833333,2,4,6.0,6.0,4,1.0
297,1,52.0,1,1,1,52.0,52.0,1.0,0,0,0.0,52.0,1,1.0
298,1,397.0,6,4,2,66.166667,282.0,0.710327,3,3,3.0,397.0,6,1.0
299,1,65.0,2,2,1,32.5,65.0,1.0,0,0,0.0,65.0,2,1.0
300,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0
301,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0
302,1,139.0,1,1,1,139.0,139.0,1.0,0,0,0.0,139.0,1,1.0
303,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0
304,1,121.0,2,2,2,60.5,95.0,0.785124,0,0,0.0,121.0,2,1.0
305,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0
306,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0
307,1,6.0,2,2,2,3.0,5.0,0.833333,1,2,6.0,6.0,2,1.0
308,1,428.0,5,5,3,85.6,178.0,0.415888,0,0,0.0,428.0,5,1.0
309,1,180.0,3,2,2,60.0,173.0,0.961111,0,0,0.0,180.0,3,1.0
310,1,149.0,2,1,1,74.5,149.0,1.0,1,1,1.0,149.0,2,1.0
311,1,111.0,1,1,1,111.0,111.0,1.0,0,0,0.0,111.0,1,1.0
312,1,453.0,9,8,5,50.333333,122.0,0.269316,4,4,4.0,453.0,9,1.0
313,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0
314,1,348.0,6,4,3,58.0,169.0,0.485632,0,0,0.0,348.0,6,1.0
315,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0
316,1,237.0,4,2,2,59.25,121.0,0.510549,2,2,2.0,237.0,4,1.0
317,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0
318,1,148.0,2,2,2,74.0,103.0,0.695946,0,0,0.0,148.0,2,1.0
319,1,4.0,3,2,2,1.333333,3.0,0.75,2,3,4.0,4.0,3,1.0
320,1,185.0,2,2,2,92.5,164.0,0.886486,0,0,0.0,185.0,2,1.0
321,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0
322,1,200.0,1,1,1,200.0,200.0,1.0,0,0,0.0,200.0,1,1.0
323,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0
324,1,202.0,3,2,1,67.333333,202.0,1.0,1,1,1.0,202.0,3,1.0
325,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0
326,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0
327,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0
