membership_row_id,w1_2_has_watch_obs,w1_2_total_watch_time,w1_2_total_sessions,w1_2_unique_contents,w1_2_unique_watch_days,w1_2_avg_watch_time_per_session,w1_2_max_daily_watch_time,w1_2_max_day_share,w1_2_one_minute_watch_count,w1_2_short_watch_count_le5,w1_2_short_watch_time_le5,w1_2_week1_watch_time,w1_2_week1_sessions,w1_2_week2_watch_time,w1_2_week2_sessions,w1_2_week1_ratio,w1_2_week2_ratio,w1_2_w2_minus_w1_watch_time
61,1,226.0,2,1,2,113.0,134.0,0.59292,0,0,0.0,134.0,1,92.0,1,0.59292,0.40708,-42.0
62,1,254.0,2,2,2,127.0,145.0,0.570866,0,0,0.0,145.0,1,109.0,1,0.570866,0.429134,-36.0
63,1,318.0,5,3,2,63.6,193.0,0.606918,2,2,2.0,318.0,5,0.0,0,1.0,0.0,-318.0
64,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0.0,0,0,0,0.0
65,1,151.0,5,5,3,30.2,93.0,0.615894,3,3,3.0,93.0,1,58.0,4,0.615894,0.384106,-35.0
66,1,998.0,19,11,11,52.526316,228.0,0.228457,3,5,8.0,590.0,12,408.0,7,0.591182,0.408818,-182.0
67,1,240.0,9,8,5,26.666667,181.0,0.754167,3,3,3.0,196.0,6,44.0,3,0.816667,0.183333,-152.0
68,1,83.0,4,3,3,20.75,60.0,0.722892,1,1,1.0,23.0,2,60.0,2,0.277108,0.722892,37.0
69,1,1.0,1,1,1,1.0,1.0,1.0,1,1,1.0,1.0,1,0.0,0,1.0,0.0,-1.0
70,1,226.0,4,3,2,56.5,139.0,0.615044,1,2,3.0,0.0,0,226.0,4,0.0,1.0,226.0
71,1,1.0,1,1,1,1.0,1.0,1.0,1,1,1.0,1.0,1,0.0,0,1.0,0.0,-1.0
72,1,403.0,8,2,3,50.375,276.0,0.684864,3,4,5.0,276.0,5,127.0,3,0.684864,0.315136,-149.0
73,1,232.0,3,2,2,77.333333,117.0,0.50431,1,1,1.0,232.0,3,0.0,0,1.0,0.0,-232.0
74,1,140.0,2,2,2,70.0,77.0,0.55,0,0,0.0,0.0,0,140.0,2,0.0,1.0,140.0
75,1,1.0,1,1,1,1.0,1.0,1.0,1,1,1.0,1.0,1,0.0,0,1.0,0.0,-1.0
76,1,506.0,6,2,1,84.333333,506.0,1.0,2,2,2.0,0.0,0,506.0,6,0.0,1.0,506.0
77,1,117.0,3,3,1,39.0,117.0,1.0,1,2,3.0,0.0,0,117.0,3,0.0,1.0,117.0
78,1,570.0,15,9,4,38.0,214.0,0.375439,4,6,11.0,0.0,0,570.0,15,0.0,1.0,570.0
79,1,4.0,2,2,1,2.0,4.0,1.0,1,2,4.0,4.0,2,0.0,0,1.0,0.0,-4.0
80,1,95.0,3,1,1,31.666667,95.0,1.0,1,2,4.0,95.0,3,0.0,0,1.0,0.0,-95.0
81,1,405.0,6,4,4,67.5,157.0,0.387654,0,0,0.0,283.0,4,122.0,2,0.698765,0.301235,-161.0
82,1,267.0,4,4,2,66.75,149.0,0.558052,0,0,0.0,0.0,0,267.0,4,0.0,1.0,267.0
83,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0.0,0,0,0,0.0
84,1,215.0,4,4,2,53.75,209.0,0.972093,1,1,1.0,6.0,1,209.0,3,0.027907,0.972093,203.0
85,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0.0,0,0,0,0.0
86,1,381.0,9,7,3,42.333333,214.0,0.56168,3,3,3.0,0.0,0,381.0,9,0.0,1.0,381.0
87,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0.0,0,0,0,0.0
88,1,164.0,3,2,2,54.666667,105.0,0.640244,0,0,0.0,164.0,3,0.0,0,1.0,0.0,-164.0
89,1,168.0,2,2,2,84.0,162.0,0.964286,0,0,0.0,168.0,2,0.0,0,1.0,0.0,-168.0
90,1,6.0,4,4,1,1.5,6.0,1.0,2,4,6.0,6.0,4,0.0,0,1.0,0.0,-6.0
91,1,135.0,2,1,2,67.5,112.0,0.82963,0,0,0.0,135.0,2,0.0,0,1.0,0.0,-135.0
92,1,122.0,5,5,3,24.4,118.0,0.967213,4,4,4.0,118.0,1,4.0,4,0.967213,0.032787,-114.0
93,1,117.0,9,7,5,13.0,50.0,0.42735,1,1,1.0,51.0,4,66.0,5,0.435897,0.564103,15.0
94,1,140.0,4,4,2,35.0,94.0,0.671429,0,0,0.0,94.0,1,46.0,3,0.671429,0.328571,-48.0
95,1,108.0,8,6,4,13.5,60.0,0.555556,5,5,5.0,14.0,2,94.0,6,0.12963,0.87037,80.0
96,1,685.0,23,16,7,29.782609,172.0,0.251095,5,9,17.0,125.0,2,560.0,21,0.182482,0.817518,435.0
97,1,283.0,8,5,5,35.375,137.0,0.484099,1,1,1.0,89.0,3,194.0,5,0.314488,0.685512,105.0
98,1,187.0,3,2,3,62.333333,128.0,0.684492,0,0,0.0,128.0,1,59.0,2,0.684492,0.315508,-69.0
99,1,64.0,2,2,2,32.0,58.0,0.90625,0,0,0.0,58.0,1,6.0,1,0.90625,0.09375,-52.0
100,1,116.0,9,6,4,12.888889,61.0,0.525862,5,6,7.0,116.0,9,0.0,0,1.0,0.0,-116.0
101,1,100.0,5,2,3,20.0,61.0,0.61,0,2,6.0,76.0,4,24.0,1,0.76,0.24,-52.0
102,1,114.0,1,1,1,114.0,114.0,1.0,0,0,0.0,114.0,1,0.0,0,1.0,0.0,-114.0
103,1,298.0,12,8,8,24.833333,159.0,0.533557,6,7,11.0,225.0,7,73.0,5,0.755034,0.244966,-152.0
104,1,363.0,6,4,5,60.5,110.0,0.30303,0,0,0.0,64.0,2,299.0,4,0.176309,0.823691,235.0
105,1,465.0,6,4,5,77.5,177.0,0.380645,0,0,0.0,111.0,2,354.0,4,0.23871,0.76129,243.0
106,1,526.0,9,5,6,58.444444,348.0,0.661597,2,6,11.0,173.0,5,353.0,4,0.328897,0.671103,180.0
107,1,54.0,8,7,5,6.75,20.0,0.37037,1,4,13.0,43.0,6,11.0,2,0.796296,0.203704,-32.0
108,1,1176.0,19,12,8,61.894737,321.0,0.272959,3,5,9.0,440.0,6,736.0,13,0.37415,0.62585,296.0
109,1,8.0,5,4,2,1.6,7.0,0.875,2,5,8.0,7.0,4,1.0,1,0.875,0.125,-6.0
110,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0.0,0,0,0,0.0
111,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0.0,0,0,0,0.0
112,1,268.0,7,3,4,38.285714,134.0,0.5,3,3,3.0,134.0,3,134.0,4,0.5,0.5,0.0
113,1,71.0,2,1,2,35.5,58.0,0.816901,0,0,0.0,71.0,2,0.0,0,1.0,0.0,-71.0
114,1,165.0,5,2,5,33.0,89.0,0.539394,0,1,3.0,11.0,1,154.0,4,0.066667,0.933333,143.0
115,1,2.0,1,1,1,2.0,2.0,1.0,0,1,2.0,2.0,1,0.0,0,1.0,0.0,-2.0
116,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0.0,0,0,0,0.0
117,1,573.0,9,6,5,63.666667,172.0,0.300175,1,2,3.0,394.0,7,179.0,2,0.687609,0.312391,-215.0
118,1,1094.0,15,4,5,72.933333,365.0,0.333638,2,3,6.0,952.0,13,142.0,2,0.870201,0.129799,-810.0
119,1,336.0,7,3,5,48.0,112.0,0.333333,0,0,0.0,130.0,2,206.0,5,0.386905,0.613095,76.0
120,1,27.0,6,3,2,4.5,21.0,0.777778,3,4,8.0,21.0,4,6.0,2,0.777778,0.222222,-15.0
121,1,15.0,1,1,1,15.0,15.0,1.0,0,0,0.0,0.0,0,15.0,1,0.0,1.0,15.0
122,1,15.0,3,2,2,5.0,10.0,0.666667,1,2,6.0,0.0,0,15.0,3,0.0,1.0,15.0
123,1,248.0,5,2,2,49.6,146.0,0.58871,0,0,0.0,0.0,0,248.0,5,0.0,1.0,248.0
124,1,7.0,1,1,1,7.0,7.0,1.0,0,0,0.0,0.0,0,7.0,1,0.0,1.0,7.0
125,1,272.0,4,4,4,68.0,121.0,0.444853,0,0,0.0,151.0,3,121.0,1,0.555147,0.444853,-30.0
126,1,1.0,1,1,1,1.0,1.0,1.0,1,1,1.0,0.0,0,1.0,1,0.0,1.0,1.0
127,1,145.0,2,2,2,72.5,144.0,0.993103,1,1,1.0,144.0,1,1.0,1,0.993103,0.006897,-143.0
128,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0.0,0,0,0,0.0
129,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0.0,0,0,0,0.0
130,1,245.0,3,3,2,81.666667,137.0,0.559184,1,1,1.0,0.0,0,245.0,3,0.0,1.0,245.0
131,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0.0,0,0,0,0.0
132,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0.0,0,0,0,0.0
133,1,223.0,12,5,5,18.583333,189.0,0.847534,6,9,16.0,196.0,8,27.0,4,0.878924,0.121076,-169.0
134,1,16.0,2,1,2,8.0,15.0,0.9375,1,1,1.0,15.0,1,1.0,1,0.9375,0.0625,-14.0
135,1,343.0,7,3,5,49.0,141.0,0.411079,2,2,2.0,100.0,2,243.0,5,0.291545,0.708455,143.0
136,1,210.0,4,3,2,52.5,202.0,0.961905,0,1,2.0,8.0,1,202.0,3,0.038095,0.961905,194.0
137,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0.0,0,0,0,0.0
138,1,173.0,6,3,3,28.833333,108.0,0.624277,0,1,5.0,145.0,4,28.0,2,0.83815,0.16185,-117.0
140,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0.0,0,0,0,0.0
141,1,218.0,4,4,2,54.5,125.0,0.573394,0,0,0.0,93.0,2,125.0,2,0.426606,0.573394,32.0
142,1,705.0,6,6,6,117.5,200.0,0.283688,1,1,1.0,483.0,4,222.0,2,0.685106,0.314894,-261.0
143,1,21.0,3,3,1,7.0,21.0,1.0,1,1,1.0,21.0,3,0.0,0,1.0,0.0,-21.0
144,1,228.0,4,2,4,57.0,81.0,0.355263,0,0,0.0,17.0,1,211.0,3,0.074561,0.925439,194.0
145,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0.0,0,0,0,0.0
146,1,66.0,2,2,2,33.0,64.0,0.969697,0,1,2.0,64.0,1,2.0,1,0.969697,0.030303,-62.0
147,1,164.0,4,3,3,41.0,79.0,0.481707,0,0,0.0,164.0,4,0.0,0,1.0,0.0,-164.0
148,1,243.0,4,2,2,60.75,217.0,0.893004,0,0,0.0,217.0,2,26.0,2,0.893004,0.106996,-191.0
149,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0.0,0,0,0,0.0
150,1,436.0,9,5,3,48.444444,210.0,0.481651,2,2,2.0,307.0,5,129.0,4,0.704128,0.295872,-178.0
151,1,352.0,7,5,3,50.285714,196.0,0.556818,2,3,5.0,349.0,6,3.0,1,0.991477,0.008523,-346.0
152,1,106.0,2,2,1,53.0,106.0,1.0,0,0,0.0,0.0,0,106.0,2,0.0,1.0,106.0
153,1,153.0,10,8,2,15.3,152.0,0.993464,6,8,10.0,153.0,10,0.0,0,1.0,0.0,-153.0
154,1,1027.0,20,16,7,51.35,436.0,0.424537,0,1,5.0,269.0,5,758.0,15,0.261928,0.738072,489.0
155,1,6.0,1,1,1,6.0,6.0,1.0,0,0,0.0,6.0,1,0.0,0,1.0,0.0,-6.0
156,1,289.0,5,1,3,57.8,172.0,0.595156,0,0,0.0,189.0,3,100.0,2,0.653979,0.346021,-89.0
157,1,280.0,4,2,2,70.0,185.0,0.660714,1,1,1.0,95.0,3,185.0,1,0.339286,0.660714,90.0
159,1,306.0,6,6,4,51.0,247.0,0.80719,2,2,2.0,13.0,1,293.0,5,0.042484,0.957516,280.0
160,1,298.0,6,6,2,49.666667,296.0,0.993289,0,4,13.0,2.0,1,296.0,5,0.006711,0.993289,294.0
161,1,50.0,5,5,2,10.0,38.0,0.76,2,2,2.0,38.0,4,12.0,1,0.76,0.24,-26.0
162,1,200.0,7,4,2,28.571429,105.0,0.525,4,4,4.0,200.0,7,0.0,0,1.0,0.0,-200.0
163,1,561.0,9,5,3,62.333333,271.0,0.483066,1,1,1.0,271.0,2,290.0,7,0.483066,0.516934,19.0
165,1,32.0,4,3,3,8.0,20.0,0.625,0,2,8.0,28.0,3,4.0,1,0.875,0.125,-24.0
166,1,363.0,5,3,4,72.6,203.0,0.559229,1,1,1.0,1.0,1,362.0,4,0.002755,0.997245,361.0
167,1,56.0,4,2,2,14.0,55.0,0.982143,2,2,2.0,1.0,1,55.0,3,0.017857,0.982143,54.0
168,1,1.0,1,1,1,1.0,1.0,1.0,1,1,1.0,0.0,0,1.0,1,0.0,1.0,1.0
169,1,1171.0,19,13,8,61.631579,429.0,0.366354,0,2,8.0,771.0,14,400.0,5,0.658412,0.341588,-371.0
170,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0.0,0,0,0,0.0
171,1,357.0,6,5,5,59.5,121.0,0.338936,0,0,0.0,176.0,4,181.0,2,0.492997,0.507003,5.0
172,1,1.0,1,1,1,1.0,1.0,1.0,1,1,1.0,1.0,1,0.0,0,1.0,0.0,-1.0
173,1,76.0,2,2,1,38.0,76.0,1.0,1,1,1.0,76.0,2,0.0,0,1.0,0.0,-76.0
174,1,1042.0,20,12,11,52.1,231.0,0.221689,3,7,14.0,616.0,12,426.0,8,0.591171,0.408829,-190.0
175,1,292.0,4,4,2,73.0,194.0,0.664384,0,0,0.0,292.0,4,0.0,0,1.0,0.0,-292.0
176,1,135.0,5,5,1,27.0,135.0,1.0,2,2,2.0,0.0,0,135.0,5,0.0,1.0,135.0
177,1,86.0,1,1,1,86.0,86.0,1.0,0,0,0.0,86.0,1,0.0,0,1.0,0.0,-86.0
178,1,208.0,14,9,4,14.857143,196.0,0.942308,12,12,12.0,205.0,11,3.0,3,0.985577,0.014423,-202.0
179,1,132.0,8,3,4,16.5,51.0,0.386364,0,2,6.0,81.0,5,51.0,3,0.613636,0.386364,-30.0
180,1,1247.0,13,10,6,95.923077,265.0,0.21251,1,1,1.0,137.0,1,1110.0,12,0.109864,0.890136,973.0
181,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0.0,0,0,0,0.0
182,1,486.0,12,5,5,40.5,288.0,0.592593,1,3,9.0,362.0,8,124.0,4,0.744856,0.255144,-238.0
183,1,1.0,1,1,1,1.0,1.0,1.0,1,1,1.0,1.0,1,0.0,0,1.0,0.0,-1.0
184,1,89.0,1,1,1,89.0,89.0,1.0,0,0,0.0,89.0,1,0.0,0,1.0,0.0,-89.0
185,1,841.0,8,4,4,105.125,435.0,0.517241,1,1,1.0,199.0,2,642.0,6,0.236623,0.763377,443.0
186,1,205.0,11,8,5,18.636364,69.0,0.336585,2,5,8.0,68.0,3,137.0,8,0.331707,0.668293,69.0
187,1,368.0,5,3,4,73.6,145.0,0.394022,0,0,0.0,243.0,4,125.0,1,0.660326,0.339674,-118.0
188,1,118.0,1,1,1,118.0,118.0,1.0,0,0,0.0,118.0,1,0.0,0,1.0,0.0,-118.0
189,1,690.0,7,6,4,98.571429,298.0,0.431884,0,1,4.0,59.0,1,631.0,6,0.085507,0.914493,572.0
190,1,257.0,3,2,3,85.666667,112.0,0.435798,0,0,0.0,0.0,0,257.0,3,0.0,1.0,257.0
191,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0.0,0,0,0,0.0
192,1,64.0,3,2,2,21.333333,63.0,0.984375,1,2,3.0,1.0,1,63.0,2,0.015625,0.984375,62.0
193,1,161.0,7,6,3,23.0,82.0,0.509317,4,4,4.0,25.0,1,136.0,6,0.15528,0.84472,111.0
194,1,119.0,1,1,1,119.0,119.0,1.0,0,0,0.0,0.0,0,119.0,1,0.0,1.0,119.0
195,1,208.0,2,2,2,104.0,108.0,0.519231,0,0,0.0,100.0,1,108.0,1,0.480769,0.519231,8.0
196,1,583.0,7,7,5,83.285714,168.0,0.288165,0,0,0.0,583.0,7,0.0,0,1.0,0.0,-583.0
197,1,187.0,5,3,3,37.4,88.0,0.470588,0,1,2.0,173.0,4,14.0,1,0.925134,0.074866,-159.0
198,1,126.0,1,1,1,126.0,126.0,1.0,0,0,0.0,126.0,1,0.0,0,1.0,0.0,-126.0
199,1,330.0,3,2,1,110.0,330.0,1.0,0,0,0.0,330.0,3,0.0,0,1.0,0.0,-330.0
200,1,614.0,7,6,5,87.714286,197.0,0.320847,0,0,0.0,467.0,5,147.0,2,0.760586,0.239414,-320.0
201,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0.0,0,0,0,0.0
202,1,158.0,3,2,2,52.666667,116.0,0.734177,0,0,0.0,158.0,3,0.0,0,1.0,0.0,-158.0
203,1,42.0,7,7,3,6.0,34.0,0.809524,5,6,8.0,37.0,2,5.0,5,0.880952,0.119048,-32.0
204,1,125.0,6,3,4,20.833333,59.0,0.472,1,2,5.0,52.0,3,73.0,3,0.416,0.584,21.0
205,1,227.0,8,5,4,28.375,92.0,0.405286,3,5,8.0,141.0,2,86.0,6,0.621145,0.378855,-55.0
206,1,139.0,5,5,3,27.8,133.0,0.956835,2,3,6.0,5.0,2,134.0,3,0.035971,0.964029,129.0
207,1,179.0,3,2,2,59.666667,147.0,0.821229,1,1,1.0,32.0,1,147.0,2,0.178771,0.821229,115.0
208,1,730.0,15,7,6,48.666667,306.0,0.419178,5,6,7.0,729.0,14,1.0,1,0.99863,0.00137,-728.0
209,1,913.0,18,16,4,50.722222,472.0,0.516977,3,3,3.0,98.0,1,815.0,17,0.107338,0.892662,717.0
210,1,94.0,6,6,4,15.666667,31.0,0.329787,0,1,5.0,51.0,3,43.0,3,0.542553,0.457447,-8.0
211,1,145.0,10,8,3,14.5,96.0,0.662069,4,8,12.0,0.0,0,145.0,10,0.0,1.0,145.0
212,1,274.0,3,3,2,91.333333,139.0,0.507299,1,1,1.0,0.0,0,274.0,3,0.0,1.0,274.0
213,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0.0,0,0,0,0.0
214,1,200.0,4,1,4,50.0,96.0,0.48,0,1,3.0,197.0,3,3.0,1,0.985,0.015,-194.0
215,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0.0,0,0,0,0.0
216,1,204.0,8,4,4,25.5,118.0,0.578431,3,3,3.0,40.0,5,164.0,3,0.196078,0.803922,124.0
217,1,6.0,3,3,3,2.0,4.0,0.666667,2,3,6.0,6.0,3,0.0,0,1.0,0.0,-6.0
218,1,135.0,3,2,3,45.0,89.0,0.659259,1,1,1.0,46.0,2,89.0,1,0.340741,0.659259,43.0
219,1,244.0,8,6,2,30.5,125.0,0.512295,3,5,8.0,244.0,8,0.0,0,1.0,0.0,-244.0
220,1,111.0,2,2,2,55.5,110.0,0.990991,1,1,1.0,1.0,1,110.0,1,0.009009,0.990991,109.0
221,1,144.0,2,1,1,72.0,144.0,1.0,0,0,0.0,144.0,2,0.0,0,1.0,0.0,-144.0
222,1,1.0,1,1,1,1.0,1.0,1.0,1,1,1.0,1.0,1,0.0,0,1.0,0.0,-1.0
224,1,156.0,2,2,2,78.0,96.0,0.615385,0,0,0.0,96.0,1,60.0,1,0.615385,0.384615,-36.0
225,1,1.0,1,1,1,1.0,1.0,1.0,1,1,1.0,0.0,0,1.0,1,0.0,1.0,1.0
226,1,172.0,4,3,4,43.0,116.0,0.674419,0,1,5.0,13.0,1,159.0,3,0.075581,0.924419,146.0
227,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0.0,0,0,0,0.0
228,1,61.0,1,1,1,61.0,61.0,1.0,0,0,0.0,0.0,0,61.0,1,0.0,1.0,61.0
229,1,480.0,6,5,3,80.0,258.0,0.5375,0,1,4.0,91.0,2,389.0,4,0.189583,0.810417,298.0
230,1,81.0,2,1,1,40.5,81.0,1.0,1,1,1.0,81.0,2,0.0,0,1.0,0.0,-81.0
231,1,92.0,1,1,1,92.0,92.0,1.0,0,0,0.0,0.0,0,92.0,1,0.0,1.0,92.0
232,1,275.0,10,6,3,27.5,129.0,0.469091,5,5,5.0,127.0,6,148.0,4,0.461818,0.538182,21.0
233,1,274.0,4,3,4,68.5,126.0,0.459854,0,1,2.0,229.0,2,45.0,2,0.835766,0.164234,-184.0
234,1,123.0,3,3,2,41.0,122.0,0.99187,1,1,1.0,122.0,2,1.0,1,0.99187,0.00813,-121.0
