source_file,exists,size_bytes_before,sha256_before,mtime_before,size_bytes_after,sha256_after,mtime_after,changed,read_status
PUBLIC\results\17_segmentation_design_260520\promo_scope_oof_behavior_segments_quality_hotfix_260520\17_revised_segment_summary_simulation.csv,True,4778,e332ac818ba51734a356a4b13c875d04240bb4a4446ae7ebe89b98e2c711b52c,2026-05-21T15:09:20,4778,e332ac818ba51734a356a4b13c875d04240bb4a4446ae7ebe89b98e2c711b52c,2026-05-21T15:09:20,False,read
PUBLIC\results\17_segmentation_design_260520\promo_scope_oof_behavior_segments_quality_hotfix_260520\17_segment_quality_audit.csv,True,8998,768b4ecebb05564dde8922eb3b82c7c3a18b0afbbca0f9618b5160a7a0aabc2e,2026-05-21T15:09:19,8998,768b4ecebb05564dde8922eb3b82c7c3a18b0afbbca0f9618b5160a7a0aabc2e,2026-05-21T15:09:19,False,read
PUBLIC\results\17_segmentation_design_260520\promo_scope_oof_behavior_segments_quality_hotfix_260520\17_other_needs_review_decomposition_quality_hotfix.csv,True,4463,c8f3d905702dd49fb0aa0a5a9af1b31ed59df2542642a7ec17841648d75af285,2026-05-21T15:09:19,4463,c8f3d905702dd49fb0aa0a5a9af1b31ed59df2542642a7ec17841648d75af285,2026-05-21T15:09:19,False,read
PUBLIC\results\17_segmentation_design_260520\promo_scope_oof_behavior_segments_hotfix_260520\17_content_preference_signal_audit.csv,True,3758,29c771e67836a923a3e4e774afc2d65d72116e977b35a4f5241bebfcd0290be3,2026-05-21T17:37:37,3758,29c771e67836a923a3e4e774afc2d65d72116e977b35a4f5241bebfcd0290be3,2026-05-21T17:37:37,False,read
PUBLIC\results\17_segmentation_design_260520\promo_scope_oof_behavior_segments_hotfix_260520\17_representative_segment_assignment_hotfix.csv,True,3062152,6dc256ba9e91973ecb5136b85b1b02ca8826ffad1397bf51821df11925df59a7,2026-05-21T17:37:37,3062152,6dc256ba9e91973ecb5136b85b1b02ca8826ffad1397bf51821df11925df59a7,2026-05-21T17:37:37,False,read
PUBLIC\results\17_segmentation_design_260520\promo_scope_oof_behavior_segments_hotfix_260520\17_representative_segment_rules_hotfix.csv,True,5143,a63d37facd71272c594cc4b07d4a774d4b0c86225eb7d63d4e05433000830d21,2026-05-21T17:37:37,5143,a63d37facd71272c594cc4b07d4a774d4b0c86225eb7d63d4e05433000830d21,2026-05-21T17:37:37,False,read
PUBLIC\results\17_segmentation_design_260520\promo_scope_oof_behavior_segments_hotfix_260520\17_segment_summary_hotfix.csv,True,6924,2cb97fc1908754a863f48af4e88197f88d3cc5a103f0fb382f0946efc28f2114,2026-05-21T14:02:45,6924,2cb97fc1908754a863f48af4e88197f88d3cc5a103f0fb382f0946efc28f2114,2026-05-21T14:02:45,False,read
PUBLIC\results\17_segmentation_design_260520\promo_scope_oof_behavior_segments_demographic_hotfix_260520\17_demographic_hotfix_summary.csv,True,1301,5162a517df757e9ea34628b205289c0eb2cf35fe596870e815a573ced39900c1,2026-05-21T17:37:37,1301,5162a517df757e9ea34628b205289c0eb2cf35fe596870e815a573ced39900c1,2026-05-21T17:37:37,False,read
PUBLIC\results\17_segmentation_design_260520\promo_scope_oof_behavior_segments_demographic_hotfix_260520\17_age_group_audit.csv,True,2571,1642ad8d12d5e2da4fb7c158302f799e065b980f15c0fd5b7aef3419560e9173,2026-05-21T17:37:37,2571,1642ad8d12d5e2da4fb7c158302f799e065b980f15c0fd5b7aef3419560e9173,2026-05-21T17:37:37,False,read
PUBLIC\results\17_segmentation_design_260520\promo_scope_oof_behavior_segments_demographic_hotfix_260520\17_gender_derivation_audit.csv,True,421,0e363798a483b3e492c75d2b9606f327067536ba287864fa315638a0ea9d8d09,2026-05-21T17:37:37,421,0e363798a483b3e492c75d2b9606f327067536ba287864fa315638a0ea9d8d09,2026-05-21T17:37:37,False,read
PUBLIC\reports\business\18_business_recommendation_storyline_hotfix_260520\18_promo1_main_business_action_matrix_hotfix.csv,True,3490,178186ff7012d1e165bb1b566ee74160e5f75bcf8012704e26898a8e9e250721,2026-05-21T17:37:37,3490,178186ff7012d1e165bb1b566ee74160e5f75bcf8012704e26898a8e9e250721,2026-05-21T17:37:37,False,read
PUBLIC\reports\business\18_business_recommendation_storyline_hotfix_260520\18_promo0_comparison_reference_hotfix.csv,True,2192,00803a9a3d6041affbd59852960654a449e2ddbb6fc337b91f086f585ccabd48,2026-05-21T17:37:37,2192,00803a9a3d6041affbd59852960654a449e2ddbb6fc337b91f086f585ccabd48,2026-05-21T17:37:37,False,read
PUBLIC\reports\business\18_business_recommendation_storyline_hotfix_260520\18_storyline_comparison_clean_hotfix.csv,True,2167,f0382355ef67f8088af21e4689e15efc4bade845a012faae14c6f4fe7e2a0190,2026-05-21T17:37:37,2167,f0382355ef67f8088af21e4689e15efc4bade845a012faae14c6f4fe7e2a0190,2026-05-21T17:37:37,False,read
PUBLIC\reports\business\18_business_recommendation_storyline_hotfix_260520\18_dashboard_handoff_datamart_hotfix.csv,True,3088,ecbdb0d491da6c4364417e9e6c5e56a9d995f70ceb003c77b56b323bd88f7cb3,2026-05-21T17:37:37,3088,ecbdb0d491da6c4364417e9e6c5e56a9d995f70ceb003c77b56b323bd88f7cb3,2026-05-21T17:37:37,False,read
PUBLIC\reports\business\18_business_recommendation_storyline_hotfix_260520\18_safe_unsafe_wording_hotfix.csv,True,2761,f9816fa40cc0732d92262a5d7e17eec154c2759b9eda8e333cfaa25feff11dc8,2026-05-21T17:37:37,2761,f9816fa40cc0732d92262a5d7e17eec154c2759b9eda8e333cfaa25feff11dc8,2026-05-21T17:37:37,False,read
PUBLIC\reports\business\18_business_recommendation_storyline_hotfix_260520\18_business_storyline_memo_hotfix.md,True,25945,d7ac45ea779d68b992e7681b10169c81ae79d55f809ae55ba378551894682a72,2026-05-21T17:37:37,25945,d7ac45ea779d68b992e7681b10169c81ae79d55f809ae55ba378551894682a72,2026-05-21T17:37:37,False,read
PUBLIC\reports\business\18_business_recommendation_storyline_hotfix_260520\18_presentation_talking_points_hotfix.md,True,11452,dcc195c96c8da83002aa543a1161ea79f113848429ad535a573f8f2f8cd866e5,2026-05-21T17:37:37,11452,dcc195c96c8da83002aa543a1161ea79f113848429ad535a573f8f2f8cd866e5,2026-05-21T17:37:37,False,read
PUBLIC\reports\business\18_business_recommendation_storyline_hotfix_260520\18_segment_visual_guide_v2_polished.html,True,51223,fc744468ac848680004453682e8c1376d97f33efc7413e2e87a7dbe62643b329,2026-05-21T17:37:37,51223,fc744468ac848680004453682e8c1376d97f33efc7413e2e87a7dbe62643b329,2026-05-21T17:37:37,False,read
PUBLIC\note.md,True,136156,b3d70c83a311fe279c58b4dc7e4e33bb81a068c60386352397d31e9ec408fd55,2026-05-21T17:38:46,136156,b3d70c83a311fe279c58b4dc7e4e33bb81a068c60386352397d31e9ec408fd55,2026-05-21T17:38:46,False,read
park.ingyeom\reports\audits\15x_payment_device_sensitivity_260516\15x_model_summary_by_scope.csv,True,2411,f681eda5bb6abd5ca0b1499c5a26f9be725327d79df92991f1587693a8664a4f,2026-05-19T19:11:52,2411,f681eda5bb6abd5ca0b1499c5a26f9be725327d79df92991f1587693a8664a4f,2026-05-19T19:11:52,False,read
park.ingyeom\reports\models\12x_model_family_comparison_260516\12x_model_summary_by_scope.csv,True,23046,5b818ae15132568aea9c6d1742ac0a8b82a4663032e23ca5e0d70282c794da4b,2026-05-19T19:11:53,23046,5b818ae15132568aea9c6d1742ac0a8b82a4663032e23ca5e0d70282c794da4b,2026-05-19T19:11:53,False,read
PUBLIC\results\12_model_family_comparison_260520\four_model_comparison_review\12_final_result_metric_summary.csv,True,2994,0b05887661e2dcf13d98cff532fd73da2c331d1487eaf7ffeda542d2f83314a7,2026-05-21T17:37:37,2994,0b05887661e2dcf13d98cff532fd73da2c331d1487eaf7ffeda542d2f83314a7,2026-05-21T17:37:37,False,read
PUBLIC\results\15_oof_score_or_sensitivity_260520\four_model_oof_scores_hotfix_260520\15_oof_metric_summary.csv,True,1235,b7ab83f13f520042506d38cb96983bd7c05d4a7f54ca9523ba8d8528b142a5bf,2026-05-21T17:37:37,1235,b7ab83f13f520042506d38cb96983bd7c05d4a7f54ca9523ba8d8528b142a5bf,2026-05-21T17:37:37,False,read
PUBLIC\results\12_model_family_comparison_260520\gradientboosting_promo0\feature_manifest_used.csv,True,1818,b2843a36ff3ea9fa9cb5e4ec91743573f063cb8eec4780117e45ea005a9afa70,2026-05-21T17:37:37,1818,b2843a36ff3ea9fa9cb5e4ec91743573f063cb8eec4780117e45ea005a9afa70,2026-05-21T17:37:37,False,read
PUBLIC\results\12_model_family_comparison_260520\gradientboosting_promo1\feature_manifest_used.csv,True,1818,b2843a36ff3ea9fa9cb5e4ec91743573f063cb8eec4780117e45ea005a9afa70,2026-05-21T17:37:37,1818,b2843a36ff3ea9fa9cb5e4ec91743573f063cb8eec4780117e45ea005a9afa70,2026-05-21T17:37:37,False,read
PUBLIC\results\11_baseline_growth_comparison_260520\lr_baseline_promo0\feature_manifest_used.csv,True,1818,b2843a36ff3ea9fa9cb5e4ec91743573f063cb8eec4780117e45ea005a9afa70,2026-05-21T17:37:37,1818,b2843a36ff3ea9fa9cb5e4ec91743573f063cb8eec4780117e45ea005a9afa70,2026-05-21T17:37:37,False,read
PUBLIC\results\11_baseline_growth_comparison_260520\lr_baseline_promo1\feature_manifest_used.csv,True,1818,b2843a36ff3ea9fa9cb5e4ec91743573f063cb8eec4780117e45ea005a9afa70,2026-05-21T17:37:37,1818,b2843a36ff3ea9fa9cb5e4ec91743573f063cb8eec4780117e45ea005a9afa70,2026-05-21T17:37:37,False,read
