"active_path","relative_path","item_type","reason"
"C:\Code\ott-churn-prediction\park.ingyeom\notebook\09_promotion_repurchase_2x2_eda_260513\park.ingyeom","notebook\09_promotion_repurchase_2x2_eda_260513\park.ingyeom","directory","active_05_to_14_related_after_cleanup"
"C:\Code\ott-churn-prediction\park.ingyeom\notebook\09_promotion_repurchase_2x2_eda_260513\park.ingyeom\reports","notebook\09_promotion_repurchase_2x2_eda_260513\park.ingyeom\reports","directory","active_05_to_14_related_after_cleanup"
"C:\Code\ott-churn-prediction\park.ingyeom\notebook\09_promotion_repurchase_2x2_eda_260513\park.ingyeom\reports\eda","notebook\09_promotion_repurchase_2x2_eda_260513\park.ingyeom\reports\eda","directory","active_05_to_14_related_after_cleanup"
"C:\Code\ott-churn-prediction\park.ingyeom\notebook\09_promotion_repurchase_2x2_eda_260513\park.ingyeom\reports\eda\09_promotion_repurchase_2x2_eda_260513","notebook\09_promotion_repurchase_2x2_eda_260513\park.ingyeom\reports\eda\09_promotion_repurchase_2x2_eda_260513","directory","active_05_to_14_related_after_cleanup"
"C:\Code\ott-churn-prediction\park.ingyeom\notebook\09_promotion_repurchase_2x2_eda_260513\park.ingyeom\zip","notebook\09_promotion_repurchase_2x2_eda_260513\park.ingyeom\zip","directory","active_05_to_14_related_after_cleanup"
"C:\Code\ott-churn-prediction\park.ingyeom\notebook\09b_raw_view_window_validation_260514","notebook\09b_raw_view_window_validation_260514","directory","active_05_to_14_related_after_cleanup"
"C:\Code\ott-churn-prediction\park.ingyeom\notebook\10_feature_eda_260513","notebook\10_feature_eda_260513","directory","active_05_to_14_related_after_cleanup"
"C:\Code\ott-churn-prediction\park.ingyeom\notebook\10_feature_eda_260513\park.ingyeom","notebook\10_feature_eda_260513\park.ingyeom","directory","active_05_to_14_related_after_cleanup"
"C:\Code\ott-churn-prediction\park.ingyeom\notebook\10_feature_eda_260513\park.ingyeom\reports","notebook\10_feature_eda_260513\park.ingyeom\reports","directory","active_05_to_14_related_after_cleanup"
"C:\Code\ott-churn-prediction\park.ingyeom\notebook\10_feature_eda_260513\park.ingyeom\reports\eda","notebook\10_feature_eda_260513\park.ingyeom\reports\eda","directory","active_05_to_14_related_after_cleanup"
"C:\Code\ott-churn-prediction\park.ingyeom\notebook\10_feature_eda_260513\park.ingyeom\reports\eda\10_feature_eda_260513","notebook\10_feature_eda_260513\park.ingyeom\reports\eda\10_feature_eda_260513","directory","active_05_to_14_related_after_cleanup"
"C:\Code\ott-churn-prediction\park.ingyeom\notebook\10_feature_eda_260513\park.ingyeom\reports\figures","notebook\10_feature_eda_260513\park.ingyeom\reports\figures","directory","active_05_to_14_related_after_cleanup"
"C:\Code\ott-churn-prediction\park.ingyeom\notebook\10_feature_eda_260513\park.ingyeom\reports\figures\10_feature_eda_260513","notebook\10_feature_eda_260513\park.ingyeom\reports\figures\10_feature_eda_260513","directory","active_05_to_14_related_after_cleanup"
"C:\Code\ott-churn-prediction\park.ingyeom\notebook\10_feature_eda_260513\park.ingyeom\zip","notebook\10_feature_eda_260513\park.ingyeom\zip","directory","active_05_to_14_related_after_cleanup"
"C:\Code\ott-churn-prediction\park.ingyeom\reports\audits\05_column_role_leakage_timing_audit_260513","reports\audits\05_column_role_leakage_timing_audit_260513","directory","active_05_to_14_related_after_cleanup"
"C:\Code\ott-churn-prediction\park.ingyeom\reports\audits\05b_column_role_dictionary_patch_260513","reports\audits\05b_column_role_dictionary_patch_260513","directory","active_05_to_14_related_after_cleanup"
"C:\Code\ott-churn-prediction\park.ingyeom\reports\audits\06_common_preprocessing_and_final_cohort_260513","reports\audits\06_common_preprocessing_and_final_cohort_260513","directory","active_05_to_14_related_after_cleanup"
"C:\Code\ott-churn-prediction\park.ingyeom\reports\audits\06_common_preprocessing_and_final_cohort_260513\run_20260514_014702","reports\audits\06_common_preprocessing_and_final_cohort_260513\run_20260514_014702","directory","active_05_to_14_related_after_cleanup"
"C:\Code\ott-churn-prediction\park.ingyeom\reports\audits\07_AARRR_feature_mapping_260513","reports\audits\07_AARRR_feature_mapping_260513","directory","active_05_to_14_related_after_cleanup"
"C:\Code\ott-churn-prediction\park.ingyeom\reports\audits\07_AARRR_feature_mapping_260513\run_20260514_021259","reports\audits\07_AARRR_feature_mapping_260513\run_20260514_021259","directory","active_05_to_14_related_after_cleanup"
"C:\Code\ott-churn-prediction\park.ingyeom\reports\audits\09b_raw_view_window_validation_260514","reports\audits\09b_raw_view_window_validation_260514","directory","active_05_to_14_related_after_cleanup"
"C:\Code\ott-churn-prediction\park.ingyeom\reports\audits\09b_raw_view_window_validation_260514\run_20260514_130402","reports\audits\09b_raw_view_window_validation_260514\run_20260514_130402","directory","active_05_to_14_related_after_cleanup"
"C:\Code\ott-churn-prediction\park.ingyeom\reports\data\06_v2_baseline_modeling","reports\data\06_v2_baseline_modeling","directory","active_05_to_14_related_after_cleanup"
"C:\Code\ott-churn-prediction\park.ingyeom\reports\data\08c_v2_corrected_segmentation_strategy","reports\data\08c_v2_corrected_segmentation_strategy","directory","active_05_to_14_related_after_cleanup"
"C:\Code\ott-churn-prediction\park.ingyeom\reports\eda\08_promotion_vs_nonpromotion_eda_260513","reports\eda\08_promotion_vs_nonpromotion_eda_260513","directory","active_05_to_14_related_after_cleanup"
"C:\Code\ott-churn-prediction\park.ingyeom\reports\eda\08_promotion_vs_nonpromotion_eda_260513\run_20260514_022322","reports\eda\08_promotion_vs_nonpromotion_eda_260513\run_20260514_022322","directory","active_05_to_14_related_after_cleanup"
"C:\Code\ott-churn-prediction\park.ingyeom\reports\eda\08b_promotion_vs_nonpromotion_eda_audit_patch_260513","reports\eda\08b_promotion_vs_nonpromotion_eda_audit_patch_260513","directory","active_05_to_14_related_after_cleanup"
"C:\Code\ott-churn-prediction\park.ingyeom\reports\eda\09_promotion_repurchase_2x2_eda_260513","reports\eda\09_promotion_repurchase_2x2_eda_260513","directory","active_05_to_14_related_after_cleanup"
"C:\Code\ott-churn-prediction\park.ingyeom\reports\eda\10_feature_eda_260513","reports\eda\10_feature_eda_260513","directory","active_05_to_14_related_after_cleanup"
"C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\05c_v2_modeling_dataset","reports\figures\05c_v2_modeling_dataset","directory","active_05_to_14_related_after_cleanup"
"C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\10_feature_eda_260513","reports\figures\10_feature_eda_260513","directory","active_05_to_14_related_after_cleanup"
