feature_name,AARRR_stage_primary,feature_family,is_promotion,is_repurchase,n,mean,std,median,q25,q75,zero_rate,positive_rate
retention_w3_ratio,retention,retention_ratio,0,0,2655,6.434166180414313,28.021438960044414,1.0,0.168385,1.0,0.0,1.0
retention_w3_ratio,retention,retention_ratio,0,1,8520,39.091485759859154,114.2183571163791,1.0,0.25,10.5,0.0,1.0
retention_w3_ratio,retention,retention_ratio,1,0,3867,12.111071504525473,45.27165117685569,1.0,0.2118295,1.1921135,0.0,1.0
retention_w3_ratio,retention,retention_ratio,1,1,8037,40.95866984795322,104.58584875339989,1.0,0.31,13.647059,0.0,1.0
diff_between_w2_w1,retention,retention_change,0,0,2655,-43.16497175141243,126.07042466523374,-3.0,-90.0,1.0,0.1694915254237288,0.2704331450094162
diff_between_w2_w1,retention,retention_change,0,1,8520,10.480046948356808,203.32491794433415,0.0,-67.0,97.0,0.15997652582159624,0.45
diff_between_w2_w1,retention,retention_change,1,0,3867,-35.76958882854926,135.11745547041792,-1.0,-84.0,2.0,0.18593224722006724,0.29712955779674166
diff_between_w2_w1,retention,retention_change,1,1,8037,13.771929824561404,204.99806387028028,0.0,-70.0,101.0,0.16224959562025631,0.45539380365808135
diff_between_w3_w1,retention,retention_change,0,0,2655,-66.1261770244821,134.12582909213327,-20.0,-116.0,0.0,0.16459510357815443,0.1935969868173258
diff_between_w3_w1,retention,retention_change,0,1,8520,18.826173708920187,234.73141438978237,0.0,-57.0,103.0,0.14342723004694835,0.4807511737089202
diff_between_w3_w1,retention,retention_change,1,0,3867,-56.20998189811223,149.91243132363772,-7.0,-110.0,1.0,0.16834755624515127,0.25989138867339023
diff_between_w3_w1,retention,retention_change,1,1,8037,25.093691675998507,219.32448114639502,1.0,-48.0,112.0,0.13263655592882917,0.505785740948115
diff_between_w3_w2,retention,retention_change,0,0,2655,-22.96120527306968,89.97010514999972,0.0,-31.0,0.0,0.3487758945386064,0.21129943502824858
diff_between_w3_w2,retention,retention_change,0,1,8520,8.346126760563381,218.88378494675402,0.0,-90.0,103.0,0.10856807511737089,0.4789906103286385
diff_between_w3_w2,retention,retention_change,1,0,3867,-20.44039306956297,105.57649123723762,0.0,-40.0,1.0,0.2940263770364624,0.26894233255753813
diff_between_w3_w2,retention,retention_change,1,1,8037,11.321761851437103,213.894131738849,0.0,-90.0,112.0,0.1014059972626602,0.48786860768943635
is_w1_over_50pct,activation,usage_observation,0,0,2655,0.5212806026365349,0.49964103389806097,1.0,0.0,1.0,0.47871939736346514,0.5212806026365349
is_w1_over_50pct,activation,usage_observation,0,1,8520,0.22136150234741783,0.415187692636157,0.0,0.0,0.0,0.7786384976525822,0.22136150234741783
is_w1_over_50pct,activation,usage_observation,1,0,3867,0.4484096198603569,0.4973956277891383,0.0,0.0,1.0,0.5515903801396431,0.4484096198603569
is_w1_over_50pct,activation,usage_observation,1,1,8037,0.21600099539629214,0.4115405674112714,0.0,0.0,0.0,0.7839990046037079,0.21600099539629214
is_w2_over_50pct,retention,usage_observation,0,0,2655,0.21318267419962336,0.409632790141654,0.0,0.0,0.0,0.7868173258003767,0.21318267419962336
is_w2_over_50pct,retention,usage_observation,0,1,8520,0.2811032863849765,0.44956417824261763,0.0,0.0,1.0,0.7188967136150235,0.2811032863849765
is_w2_over_50pct,retention,usage_observation,1,0,3867,0.21773985001292992,0.4127629658565538,0.0,0.0,0.0,0.78226014998707,0.21773985001292992
is_w2_over_50pct,retention,usage_observation,1,1,8037,0.28368794326241137,0.450815240928777,0.0,0.0,1.0,0.7163120567375887,0.28368794326241137
is_w3_over_50pct,retention,usage_observation,0,0,2655,0.14990583804143126,0.3570463465952244,0.0,0.0,0.0,0.8500941619585687,0.14990583804143126
is_w3_over_50pct,retention,usage_observation,0,1,8520,0.3248826291079812,0.46835846618802046,0.0,0.0,1.0,0.6751173708920187,0.3248826291079812
is_w3_over_50pct,retention,usage_observation,1,0,3867,0.1812774760796483,0.3852977326702959,0.0,0.0,0.0,0.8187225239203517,0.1812774760796483
is_w3_over_50pct,retention,usage_observation,1,1,8037,0.33358218240637055,0.47152176369674226,0.0,0.0,1.0,0.6664178175936295,0.33358218240637055
is_only_w1,activation,usage_observation,0,0,2655,0.27984934086629004,0.44900960247071187,0.0,0.0,1.0,0.72015065913371,0.27984934086629004
is_only_w1,activation,usage_observation,0,1,8520,0.04565727699530516,0.2087529755919731,0.0,0.0,0.0,0.9543427230046948,0.04565727699530516
is_only_w1,activation,usage_observation,1,0,3867,0.2156710628394104,0.4113402612818939,0.0,0.0,0.0,0.7843289371605896,0.2156710628394104
is_only_w1,activation,usage_observation,1,1,8037,0.03919372900335946,0.19406768592491538,0.0,0.0,0.0,0.9608062709966405,0.03919372900335946
is_only_w2,retention,usage_observation,0,0,2655,0.09340866290018833,0.2910590875827257,0.0,0.0,0.0,0.9065913370998117,0.09340866290018833
is_only_w2,retention,usage_observation,0,1,8520,0.0795774647887324,0.2706538189532186,0.0,0.0,0.0,0.9204225352112676,0.0795774647887324
is_only_w2,retention,usage_observation,1,0,3867,0.09283682441168865,0.2902411630978453,0.0,0.0,0.0,0.9071631755883114,0.09283682441168865
is_only_w2,retention,usage_observation,1,1,8037,0.06893119323130521,0.2533528573988213,0.0,0.0,0.0,0.9310688067686947,0.06893119323130521
is_only_w3,retention,usage_observation,0,0,2655,0.09830508474576272,0.2977827969388661,0.0,0.0,0.0,0.9016949152542373,0.09830508474576272
is_only_w3,retention,usage_observation,0,1,8520,0.09683098591549295,0.2957448426069288,0.0,0.0,0.0,0.903169014084507,0.09683098591549295
is_only_w3,retention,usage_observation,1,0,3867,0.11093871217998448,0.3140968430549222,0.0,0.0,0.0,0.8890612878200155,0.11093871217998448
is_only_w3,retention,usage_observation,1,1,8037,0.09941520467836257,0.29923730231841744,0.0,0.0,0.0,0.9005847953216374,0.09941520467836257
