evidence_item,related_segment_id,source_file,metric_or_field,value,interpretation,caveat
promo0_s05_mean_gb_churn_risk,promo0_s05,17_segment_summary_hotfix.csv,mean_gb_churn_risk,0.5638172728663062,mean_gb_churn_risk for promo0_high_risk_genre_preference_clear,"Descriptive evidence, not causal proof."
promo0_s05_gb_lr_both_top20_share,promo0_s05,17_segment_summary_hotfix.csv,gb_lr_both_top20_share,0.8,gb_lr_both_top20_share for promo0_high_risk_genre_preference_clear,"Descriptive evidence, not causal proof."
promo0_s05_dominant_flags,promo0_s05,17_segment_summary_hotfix.csv,dominant_flags,genre_preference_clear:1.00:flag; content_preference_signal:1.00:broad_marker,dominant_flags for promo0_high_risk_genre_preference_clear,"Descriptive evidence, not causal proof."
promo0_s06_row_count,promo0_s06,17_segment_summary_hotfix.csv,row_count,2031,row_count for promo0_stable_usage_lower_risk,"Descriptive evidence, not causal proof."
promo0_s06_row_share_within_scope,promo0_s06,17_segment_summary_hotfix.csv,row_share_within_scope,0.1814526936478156,row_share_within_scope for promo0_stable_usage_lower_risk,"Descriptive evidence, not causal proof."
promo0_s06_actual_repurchase_rate,promo0_s06,17_segment_summary_hotfix.csv,actual_repurchase_rate,0.9182668636139832,actual_repurchase_rate for promo0_stable_usage_lower_risk,"Descriptive evidence, not causal proof."
promo0_s06_actual_churn_rate,promo0_s06,17_segment_summary_hotfix.csv,actual_churn_rate,0.0817331363860167,actual_churn_rate for promo0_stable_usage_lower_risk,"Descriptive evidence, not causal proof."
promo0_s06_mean_gb_churn_risk,promo0_s06,17_segment_summary_hotfix.csv,mean_gb_churn_risk,0.0800189736926586,mean_gb_churn_risk for promo0_stable_usage_lower_risk,"Descriptive evidence, not causal proof."
promo0_s06_gb_lr_both_top20_share,promo0_s06,17_segment_summary_hotfix.csv,gb_lr_both_top20_share,0.0,gb_lr_both_top20_share for promo0_stable_usage_lower_risk,"Descriptive evidence, not causal proof."
promo0_s06_dominant_flags,promo0_s06,17_segment_summary_hotfix.csv,dominant_flags,content_preference_signal:0.93:broad_marker; stable_usage:1.00:flag,dominant_flags for promo0_stable_usage_lower_risk,"Descriptive evidence, not causal proof."
promo0_s99_row_count,promo0_s99,17_segment_summary_hotfix.csv,row_count,6994,row_count for promo0_other_needs_review,"Descriptive evidence, not causal proof."
promo0_s99_row_share_within_scope,promo0_s99,17_segment_summary_hotfix.csv,row_share_within_scope,0.6248548199767712,row_share_within_scope for promo0_other_needs_review,"Descriptive evidence, not causal proof."
promo0_s99_actual_repurchase_rate,promo0_s99,17_segment_summary_hotfix.csv,actual_repurchase_rate,0.8577352016013726,actual_repurchase_rate for promo0_other_needs_review,"Descriptive evidence, not causal proof."
promo0_s99_actual_churn_rate,promo0_s99,17_segment_summary_hotfix.csv,actual_churn_rate,0.1422647983986273,actual_churn_rate for promo0_other_needs_review,"Descriptive evidence, not causal proof."
promo0_s99_mean_gb_churn_risk,promo0_s99,17_segment_summary_hotfix.csv,mean_gb_churn_risk,0.1541145828479729,mean_gb_churn_risk for promo0_other_needs_review,"Descriptive evidence, not causal proof."
promo0_s99_gb_lr_both_top20_share,promo0_s99,17_segment_summary_hotfix.csv,gb_lr_both_top20_share,0.0064340863597369,gb_lr_both_top20_share for promo0_other_needs_review,"Descriptive evidence, not causal proof."
promo0_s99_dominant_flags,promo0_s99,17_segment_summary_hotfix.csv,dominant_flags,week3_inactive:0.34:flag; retention_decay:0.56:flag; cold_start_weak:0.46:flag; low_activity:0.48:flag; usage_concentrated:0.47:flag; genre_preference_clear:0.31:flag; content_preference_signal:0.98:broad_marker,dominant_flags for promo0_other_needs_review,"Descriptive evidence, not causal proof."
promo1_s01_row_count,promo1_s01,17_segment_summary_hotfix.csv,row_count,1700,row_count for promo1_high_risk_week3_inactive,"Descriptive evidence, not causal proof."
promo1_s01_row_share_within_scope,promo1_s01,17_segment_summary_hotfix.csv,row_share_within_scope,0.1428091397849462,row_share_within_scope for promo1_high_risk_week3_inactive,"Descriptive evidence, not causal proof."
promo1_s01_actual_repurchase_rate,promo1_s01,17_segment_summary_hotfix.csv,actual_repurchase_rate,0.2505882352941176,actual_repurchase_rate for promo1_high_risk_week3_inactive,"Descriptive evidence, not causal proof."
promo1_s01_actual_churn_rate,promo1_s01,17_segment_summary_hotfix.csv,actual_churn_rate,0.7494117647058823,actual_churn_rate for promo1_high_risk_week3_inactive,"Descriptive evidence, not causal proof."
promo1_s01_mean_gb_churn_risk,promo1_s01,17_segment_summary_hotfix.csv,mean_gb_churn_risk,0.7455318405606054,mean_gb_churn_risk for promo1_high_risk_week3_inactive,"Descriptive evidence, not causal proof."
promo1_s01_gb_lr_both_top20_share,promo1_s01,17_segment_summary_hotfix.csv,gb_lr_both_top20_share,0.8458823529411764,gb_lr_both_top20_share for promo1_high_risk_week3_inactive,"Descriptive evidence, not causal proof."
promo1_s01_dominant_flags,promo1_s01,17_segment_summary_hotfix.csv,dominant_flags,week3_inactive:1.00:flag; retention_decay:0.81:flag; only_w1:0.55:flag; low_activity:0.79:flag; usage_concentrated:0.77:flag; genre_preference_clear:0.56:flag; content_preference_signal:1.00:broad_marker,dominant_flags for promo1_high_risk_week3_inactive,"Descriptive evidence, not causal proof."
promo1_s02_row_count,promo1_s02,17_segment_summary_hotfix.csv,row_count,193,row_count for promo1_high_risk_retention_decay,"Descriptive evidence, not causal proof."
promo1_s02_row_share_within_scope,promo1_s02,17_segment_summary_hotfix.csv,row_share_within_scope,0.0162130376344086,row_share_within_scope for promo1_high_risk_retention_decay,"Descriptive evidence, not causal proof."
promo1_s02_actual_repurchase_rate,promo1_s02,17_segment_summary_hotfix.csv,actual_repurchase_rate,0.3160621761658031,actual_repurchase_rate for promo1_high_risk_retention_decay,"Descriptive evidence, not causal proof."
promo1_s02_actual_churn_rate,promo1_s02,17_segment_summary_hotfix.csv,actual_churn_rate,0.6839378238341969,actual_churn_rate for promo1_high_risk_retention_decay,"Descriptive evidence, not causal proof."
promo1_s02_mean_gb_churn_risk,promo1_s02,17_segment_summary_hotfix.csv,mean_gb_churn_risk,0.6899049518433928,mean_gb_churn_risk for promo1_high_risk_retention_decay,"Descriptive evidence, not causal proof."
promo1_s02_gb_lr_both_top20_share,promo1_s02,17_segment_summary_hotfix.csv,gb_lr_both_top20_share,0.694300518134715,gb_lr_both_top20_share for promo1_high_risk_retention_decay,"Descriptive evidence, not causal proof."
promo1_s02_dominant_flags,promo1_s02,17_segment_summary_hotfix.csv,dominant_flags,retention_decay:1.00:flag; low_activity:0.32:flag; content_preference_signal:0.97:broad_marker,dominant_flags for promo1_high_risk_retention_decay,"Descriptive evidence, not causal proof."
promo1_s03_row_count,promo1_s03,17_segment_summary_hotfix.csv,row_count,329,row_count for promo1_high_risk_only_w1_or_cold_start_weak,"Descriptive evidence, not causal proof."
promo1_s03_row_share_within_scope,promo1_s03,17_segment_summary_hotfix.csv,row_share_within_scope,0.0276377688172043,row_share_within_scope for promo1_high_risk_only_w1_or_cold_start_weak,"Descriptive evidence, not causal proof."
promo1_s03_actual_repurchase_rate,promo1_s03,17_segment_summary_hotfix.csv,actual_repurchase_rate,0.1975683890577507,actual_repurchase_rate for promo1_high_risk_only_w1_or_cold_start_weak,"Descriptive evidence, not causal proof."
promo1_s03_actual_churn_rate,promo1_s03,17_segment_summary_hotfix.csv,actual_churn_rate,0.8024316109422492,actual_churn_rate for promo1_high_risk_only_w1_or_cold_start_weak,"Descriptive evidence, not causal proof."
promo1_s03_mean_gb_churn_risk,promo1_s03,17_segment_summary_hotfix.csv,mean_gb_churn_risk,0.7325794384034274,mean_gb_churn_risk for promo1_high_risk_only_w1_or_cold_start_weak,"Descriptive evidence, not causal proof."
promo1_s03_gb_lr_both_top20_share,promo1_s03,17_segment_summary_hotfix.csv,gb_lr_both_top20_share,0.8358662613981763,gb_lr_both_top20_share for promo1_high_risk_only_w1_or_cold_start_weak,"Descriptive evidence, not causal proof."
promo1_s03_dominant_flags,promo1_s03,17_segment_summary_hotfix.csv,dominant_flags,cold_start_weak:1.00:flag; low_activity:0.92:flag; usage_concentrated:0.89:flag; genre_preference_clear:0.75:flag; content_preference_signal:1.00:broad_marker,dominant_flags for promo1_high_risk_only_w1_or_cold_start_weak,"Descriptive evidence, not causal proof."
promo1_s04_row_count,promo1_s04,17_segment_summary_hotfix.csv,row_count,41,row_count for promo1_high_risk_low_activity,"Descriptive evidence, not causal proof."
promo1_s04_row_share_within_scope,promo1_s04,17_segment_summary_hotfix.csv,row_share_within_scope,0.0034442204301075,row_share_within_scope for promo1_high_risk_low_activity,"Descriptive evidence, not causal proof."
promo1_s04_actual_repurchase_rate,promo1_s04,17_segment_summary_hotfix.csv,actual_repurchase_rate,0.3658536585365853,actual_repurchase_rate for promo1_high_risk_low_activity,"Descriptive evidence, not causal proof."
promo1_s04_actual_churn_rate,promo1_s04,17_segment_summary_hotfix.csv,actual_churn_rate,0.6341463414634146,actual_churn_rate for promo1_high_risk_low_activity,"Descriptive evidence, not causal proof."
promo1_s04_mean_gb_churn_risk,promo1_s04,17_segment_summary_hotfix.csv,mean_gb_churn_risk,0.7244826208969499,mean_gb_churn_risk for promo1_high_risk_low_activity,"Descriptive evidence, not causal proof."
promo1_s04_gb_lr_both_top20_share,promo1_s04,17_segment_summary_hotfix.csv,gb_lr_both_top20_share,0.7073170731707317,gb_lr_both_top20_share for promo1_high_risk_low_activity,"Descriptive evidence, not causal proof."
promo1_s04_dominant_flags,promo1_s04,17_segment_summary_hotfix.csv,dominant_flags,low_activity:1.00:flag; usage_concentrated:0.34:flag; content_preference_signal:1.00:broad_marker,dominant_flags for promo1_high_risk_low_activity,"Descriptive evidence, not causal proof."
promo1_s05_row_count,promo1_s05,17_segment_summary_hotfix.csv,row_count,11,row_count for promo1_high_risk_genre_preference_clear,"Descriptive evidence, not causal proof."
promo1_s05_row_share_within_scope,promo1_s05,17_segment_summary_hotfix.csv,row_share_within_scope,0.0009240591397849,row_share_within_scope for promo1_high_risk_genre_preference_clear,"Descriptive evidence, not causal proof."
promo1_s05_actual_repurchase_rate,promo1_s05,17_segment_summary_hotfix.csv,actual_repurchase_rate,0.1818181818181818,actual_repurchase_rate for promo1_high_risk_genre_preference_clear,"Descriptive evidence, not causal proof."
promo1_s05_actual_churn_rate,promo1_s05,17_segment_summary_hotfix.csv,actual_churn_rate,0.8181818181818181,actual_churn_rate for promo1_high_risk_genre_preference_clear,"Descriptive evidence, not causal proof."
promo1_s05_mean_gb_churn_risk,promo1_s05,17_segment_summary_hotfix.csv,mean_gb_churn_risk,0.6914571555461664,mean_gb_churn_risk for promo1_high_risk_genre_preference_clear,"Descriptive evidence, not causal proof."
promo1_s05_gb_lr_both_top20_share,promo1_s05,17_segment_summary_hotfix.csv,gb_lr_both_top20_share,0.9090909090909092,gb_lr_both_top20_share for promo1_high_risk_genre_preference_clear,"Descriptive evidence, not causal proof."
promo1_s05_dominant_flags,promo1_s05,17_segment_summary_hotfix.csv,dominant_flags,genre_preference_clear:1.00:flag; content_preference_signal:0.91:broad_marker,dominant_flags for promo1_high_risk_genre_preference_clear,"Descriptive evidence, not causal proof."
promo1_s06_row_count,promo1_s06,17_segment_summary_hotfix.csv,row_count,2086,row_count for promo1_stable_usage_lower_risk,"Descriptive evidence, not causal proof."
promo1_s06_row_share_within_scope,promo1_s06,17_segment_summary_hotfix.csv,row_share_within_scope,0.1752352150537634,row_share_within_scope for promo1_stable_usage_lower_risk,"Descriptive evidence, not causal proof."
promo1_s06_actual_repurchase_rate,promo1_s06,17_segment_summary_hotfix.csv,actual_repurchase_rate,0.8552253116011506,actual_repurchase_rate for promo1_stable_usage_lower_risk,"Descriptive evidence, not causal proof."
promo1_s06_actual_churn_rate,promo1_s06,17_segment_summary_hotfix.csv,actual_churn_rate,0.1447746883988494,actual_churn_rate for promo1_stable_usage_lower_risk,"Descriptive evidence, not causal proof."
promo1_s06_mean_gb_churn_risk,promo1_s06,17_segment_summary_hotfix.csv,mean_gb_churn_risk,0.1497336324006249,mean_gb_churn_risk for promo1_stable_usage_lower_risk,"Descriptive evidence, not causal proof."
promo1_s06_gb_lr_both_top20_share,promo1_s06,17_segment_summary_hotfix.csv,gb_lr_both_top20_share,0.0,gb_lr_both_top20_share for promo1_stable_usage_lower_risk,"Descriptive evidence, not causal proof."
promo1_s06_dominant_flags,promo1_s06,17_segment_summary_hotfix.csv,dominant_flags,content_preference_signal:0.91:broad_marker; stable_usage:1.00:flag,dominant_flags for promo1_stable_usage_lower_risk,"Descriptive evidence, not causal proof."
promo1_s99_row_count,promo1_s99,17_segment_summary_hotfix.csv,row_count,7544,row_count for promo1_other_needs_review,"Descriptive evidence, not causal proof."
promo1_s99_row_share_within_scope,promo1_s99,17_segment_summary_hotfix.csv,row_share_within_scope,0.633736559139785,row_share_within_scope for promo1_other_needs_review,"Descriptive evidence, not causal proof."
promo1_s99_actual_repurchase_rate,promo1_s99,17_segment_summary_hotfix.csv,actual_repurchase_rate,0.7534464475079533,actual_repurchase_rate for promo1_other_needs_review,"Descriptive evidence, not causal proof."
promo1_s99_actual_churn_rate,promo1_s99,17_segment_summary_hotfix.csv,actual_churn_rate,0.2465535524920467,actual_churn_rate for promo1_other_needs_review,"Descriptive evidence, not causal proof."
promo1_s99_mean_gb_churn_risk,promo1_s99,17_segment_summary_hotfix.csv,mean_gb_churn_risk,0.2475810963240275,mean_gb_churn_risk for promo1_other_needs_review,"Descriptive evidence, not causal proof."
promo1_s99_gb_lr_both_top20_share,promo1_s99,17_segment_summary_hotfix.csv,gb_lr_both_top20_share,0.008085896076352,gb_lr_both_top20_share for promo1_other_needs_review,"Descriptive evidence, not causal proof."
promo1_s99_dominant_flags,promo1_s99,17_segment_summary_hotfix.csv,dominant_flags,week3_inactive:0.34:flag; retention_decay:0.55:flag; cold_start_weak:0.46:flag; low_activity:0.47:flag; usage_concentrated:0.46:flag; genre_preference_clear:0.32:flag; content_preference_signal:0.98:broad_marker,dominant_flags for promo1_other_needs_review,"Descriptive evidence, not causal proof."
content_preference_signal_overall_prevalence,all,17_content_preference_signal_audit.csv,content_preference_signal_rate,0.9705156513832964,broad flag prevalence used to demote content signal from representative rules,Broad marker is profile/action cue only.
