validation_pass,check_item,status,expected,actual,mismatch_count,severity,notes
Pass 4. Business sanity check,n_below_300_representative_segments,WARN,0 small representative segments,7,7,warn,promo0_high_risk_retention_decay; promo0_high_risk_only_w1_or_cold_start_weak; promo0_high_risk_low_activity; promo0_high_risk_genre_preference_clear; promo1_high_risk_retention_decay; promo1_high_risk_low_activity; promo1_high_risk_genre_preference_clear
Pass 4. Business sanity check,promo0_other_needs_review_share,WARN,< 0.50 preferred for concise representative scheme,0.6249,0,warn,"Other is residual, not mid-risk"
Pass 4. Business sanity check,promo1_other_needs_review_share,WARN,< 0.50 preferred for concise representative scheme,0.6337,0,warn,"Other is residual, not mid-risk"
Pass 4. Business sanity check,content_preference_signal_used_in_hotfix_representative_rule,PASS,0,0,0,info,content_preference_signal remains broad marker/action cue only
Pass 4. Business sanity check,age_gender_used_in_representative_rule,PASS,0,0,0,info,Age/gender retained only in profile/action layer
Pass 4. Business sanity check,original_technical_or_unknown_bucket_used_in_16b_hotfix,PASS,0,0,0,info,16b mapping checked
Pass 4. Business sanity check,16b_hotfix_family_mapping_used,PASS,> 0 mapping rows,75,0,info,16b feature family mapping file read
Pass 4. Business sanity check,promo0_s01_churn_rate_distinctness,PASS,absolute difference >= 0.03 preferred,0.4499,0,info,Descriptive separation from scope mean
Pass 4. Business sanity check,promo0_s02_churn_rate_distinctness,PASS,absolute difference >= 0.03 preferred,0.3666,0,info,Descriptive separation from scope mean
Pass 4. Business sanity check,promo0_s03_churn_rate_distinctness,PASS,absolute difference >= 0.03 preferred,0.5497,0,info,Descriptive separation from scope mean
Pass 4. Business sanity check,promo0_s04_churn_rate_distinctness,PASS,absolute difference >= 0.03 preferred,0.3208,0,info,Descriptive separation from scope mean
Pass 4. Business sanity check,promo0_s05_churn_rate_distinctness,PASS,absolute difference >= 0.03 preferred,0.5627,0,info,Descriptive separation from scope mean
Pass 4. Business sanity check,promo0_s06_churn_rate_distinctness,PASS,absolute difference >= 0.03 preferred,0.1556,0,info,Descriptive separation from scope mean
Pass 4. Business sanity check,promo0_s99_churn_rate_distinctness,PASS,absolute difference >= 0.03 preferred,0.0950,0,info,Descriptive separation from scope mean
Pass 4. Business sanity check,promo1_s01_churn_rate_distinctness,PASS,absolute difference >= 0.03 preferred,0.4246,0,info,Descriptive separation from scope mean
Pass 4. Business sanity check,promo1_s02_churn_rate_distinctness,PASS,absolute difference >= 0.03 preferred,0.3591,0,info,Descriptive separation from scope mean
Pass 4. Business sanity check,promo1_s03_churn_rate_distinctness,PASS,absolute difference >= 0.03 preferred,0.4776,0,info,Descriptive separation from scope mean
Pass 4. Business sanity check,promo1_s04_churn_rate_distinctness,PASS,absolute difference >= 0.03 preferred,0.3093,0,info,Descriptive separation from scope mean
Pass 4. Business sanity check,promo1_s05_churn_rate_distinctness,PASS,absolute difference >= 0.03 preferred,0.4933,0,info,Descriptive separation from scope mean
Pass 4. Business sanity check,promo1_s06_churn_rate_distinctness,PASS,absolute difference >= 0.03 preferred,0.1801,0,info,Descriptive separation from scope mean
Pass 4. Business sanity check,promo1_s99_churn_rate_distinctness,PASS,absolute difference >= 0.03 preferred,0.0783,0,info,Descriptive separation from scope mean
