row_id,promo_scope,is_repurchase,previous_segment_id,revised_segment_family,revised_assignment_reason,gb_churn_risk_score_oof,lr_churn_risk_score_oof,key_flags,retained_subsignals,user_approval_required
20,promo0,1,promo0_s06,stable_usage_lower_risk,Stable usage without GB top20 high-risk flag,0.1130032888436817,0.2357354796847393,stable_usage;content_preference_signal,content_context_marker,yes
21,promo0,1,promo0_s01,high_risk_week3_inactivity_or_retention_decay,GB top20 plus week3 inactivity or retention decay,0.72846932083951,0.9501598999406924,week3_inactive;only_w1;low_activity;content_preference_signal,content_context_marker;low_activity_subsignal,yes
22,promo0,1,promo0_s99,other_needs_review_residual,No revised representative behavior family rule matched,0.0564716926056323,0.0219061911602501,cold_start_weak;low_activity;genre_preference_clear;content_preference_signal,genre_action_cue;content_context_marker;low_activity_subsignal,yes
23,promo0,0,promo0_s99,other_needs_review_residual,No revised representative behavior family rule matched,0.2492333931539786,0.5927214300599659,cold_start_weak;low_activity;genre_preference_clear;content_preference_signal,genre_action_cue;content_context_marker;low_activity_subsignal,yes
24,promo0,1,promo0_s06,stable_usage_lower_risk,Stable usage without GB top20 high-risk flag,0.0289033023613178,0.0166396367282521,stable_usage;content_preference_signal,content_context_marker,yes
25,promo0,1,promo0_s99,other_needs_review_residual,No revised representative behavior family rule matched,0.1528281317804102,0.4648808664854419,week3_inactive;retention_decay;content_preference_signal,content_context_marker;retention_decay_subsignal,yes
26,promo0,1,promo0_s99,mid_risk_retention_watchlist,GB top30 residual watchlist after higher priority rules,0.2881789730990859,0.6016828592360545,week3_inactive;retention_decay;content_preference_signal,content_context_marker;retention_decay_subsignal,yes
27,promo0,0,promo0_s99,mid_risk_retention_watchlist,GB top30 residual watchlist after higher priority rules,0.3196573003302515,0.7791696606700982,week3_inactive;retention_decay;content_preference_signal,content_context_marker;retention_decay_subsignal,yes
28,promo0,1,promo0_s99,other_needs_review_residual,No revised representative behavior family rule matched,0.1367731521053701,0.3297338031891865,retention_decay;content_preference_signal,content_context_marker;retention_decay_subsignal,yes
29,promo0,1,promo0_s99,other_needs_review_residual,No revised representative behavior family rule matched,0.2723694218965097,0.5365194129979087,week3_inactive;cold_start_weak;low_activity;genre_preference_clear;content_preference_signal,genre_action_cue;content_context_marker;low_activity_subsignal,yes
30,promo0,1,promo0_s01,high_risk_week3_inactivity_or_retention_decay,GB top20 plus week3 inactivity or retention decay,0.488244860761358,0.7136403383614706,week3_inactive;retention_decay;content_preference_signal,content_context_marker;retention_decay_subsignal,yes
31,promo0,1,promo0_s99,other_needs_review_residual,No revised representative behavior family rule matched,0.2865820662720709,0.6155310429597485,week3_inactive;cold_start_weak;low_activity;genre_preference_clear;content_preference_signal,genre_action_cue;content_context_marker;low_activity_subsignal,yes
32,promo0,0,promo0_s99,other_needs_review_residual,No revised representative behavior family rule matched,0.2614047549793536,0.4888274974232418,week3_inactive;retention_decay;low_activity;genre_preference_clear;content_preference_signal,genre_action_cue;content_context_marker;retention_decay_subsignal;low_activity_subsignal,yes
33,promo0,1,promo0_s01,high_risk_week3_inactivity_or_retention_decay,GB top20 plus week3 inactivity or retention decay,0.4698370117575275,0.5649663245513766,week3_inactive;retention_decay;low_activity;content_preference_signal,content_context_marker;retention_decay_subsignal;low_activity_subsignal,yes
34,promo0,1,promo0_s99,other_needs_review_residual,No revised representative behavior family rule matched,0.2103385068897924,0.4771566729683333,content_preference_signal,content_context_marker,yes
35,promo0,1,promo0_s06,stable_usage_lower_risk,Stable usage without GB top20 high-risk flag,0.0176498441465496,0.0477035420221372,stable_usage;content_preference_signal,content_context_marker,yes
36,promo0,0,promo0_s01,high_risk_week3_inactivity_or_retention_decay,GB top20 plus week3 inactivity or retention decay,0.7633406618633698,0.9738438194140404,week3_inactive;only_w1;low_activity;genre_preference_clear;content_preference_signal,genre_action_cue;content_context_marker;low_activity_subsignal,yes
37,promo0,1,promo0_s99,other_needs_review_residual,No revised representative behavior family rule matched,0.0489147474401023,0.0864599674265522,week3_inactive;retention_decay;cold_start_weak;low_activity;content_preference_signal,content_context_marker;retention_decay_subsignal;low_activity_subsignal,yes
38,promo0,0,promo0_s01,high_risk_week3_inactivity_or_retention_decay,GB top20 plus week3 inactivity or retention decay,0.7341656299205908,0.9172276353903746,week3_inactive;only_w1;low_activity;genre_preference_clear;content_preference_signal,genre_action_cue;content_context_marker;low_activity_subsignal,yes
39,promo0,1,promo0_s99,mid_risk_retention_watchlist,GB top30 residual watchlist after higher priority rules,0.4099014187964525,0.7743336569525154,week3_inactive;retention_decay;content_preference_signal,content_context_marker;retention_decay_subsignal,yes
40,promo0,1,promo0_s99,other_needs_review_residual,No revised representative behavior family rule matched,0.2173455450886295,0.2388880199843437,cold_start_weak;content_preference_signal,content_context_marker,yes
41,promo0,1,promo0_s99,other_needs_review_residual,No revised representative behavior family rule matched,0.0571871226656061,0.0596472229067439,low_activity;genre_preference_clear;content_preference_signal,genre_action_cue;content_context_marker;low_activity_subsignal,yes
42,promo0,1,promo0_s99,other_needs_review_residual,No revised representative behavior family rule matched,0.0522335367313396,0.1176871338266357,week3_inactive;retention_decay;cold_start_weak;low_activity;genre_preference_clear;content_preference_signal,genre_action_cue;content_context_marker;retention_decay_subsignal;low_activity_subsignal,yes
43,promo0,1,promo0_s01,high_risk_week3_inactivity_or_retention_decay,GB top20 plus week3 inactivity or retention decay,0.5388228338374476,0.7906429061503101,week3_inactive;retention_decay;only_w1;low_activity;genre_preference_clear;content_preference_signal,genre_action_cue;content_context_marker;retention_decay_subsignal;low_activity_subsignal,yes
44,promo0,1,promo0_s99,mid_risk_retention_watchlist,GB top30 residual watchlist after higher priority rules,0.4259542401100277,0.9130125596564814,cold_start_weak;low_activity;genre_preference_clear;content_preference_signal,genre_action_cue;content_context_marker;low_activity_subsignal,yes
45,promo0,1,promo0_s99,other_needs_review_residual,No revised representative behavior family rule matched,0.1188165624115976,0.1196782254112299,content_preference_signal,content_context_marker,yes
46,promo0,1,promo0_s99,other_needs_review_residual,No revised representative behavior family rule matched,0.278751679322912,0.5499605496569608,week3_inactive;cold_start_weak;low_activity;genre_preference_clear;content_preference_signal,genre_action_cue;content_context_marker;low_activity_subsignal,yes
47,promo0,1,promo0_s06,stable_usage_lower_risk,Stable usage without GB top20 high-risk flag,0.0250221564641053,0.0483768160737241,cold_start_weak;stable_usage;content_preference_signal,content_context_marker,yes
48,promo0,0,promo0_s01,high_risk_week3_inactivity_or_retention_decay,GB top20 plus week3 inactivity or retention decay,0.6114420185383764,0.8699557384672485,week3_inactive;retention_decay;only_w1;low_activity;content_preference_signal,content_context_marker;retention_decay_subsignal;low_activity_subsignal,yes
49,promo0,1,promo0_s99,mid_risk_retention_watchlist,GB top30 residual watchlist after higher priority rules,0.3388975208112951,0.3566311396138497,week3_inactive;retention_decay;content_preference_signal,content_context_marker;retention_decay_subsignal,yes
50,promo0,1,promo0_s01,high_risk_week3_inactivity_or_retention_decay,GB top20 plus week3 inactivity or retention decay,0.7108176689422119,0.8443361997684435,week3_inactive;retention_decay;low_activity;content_preference_signal,content_context_marker;retention_decay_subsignal;low_activity_subsignal,yes
51,promo0,1,promo0_s99,other_needs_review_residual,No revised representative behavior family rule matched,0.0618624028208376,0.022075411917105,retention_decay;content_preference_signal,content_context_marker;retention_decay_subsignal,yes
52,promo0,1,promo0_s99,other_needs_review_residual,No revised representative behavior family rule matched,0.0183269188771919,0.0414209418735,retention_decay;content_preference_signal,content_context_marker;retention_decay_subsignal,yes
53,promo0,1,promo0_s01,high_risk_week3_inactivity_or_retention_decay,GB top20 plus week3 inactivity or retention decay,0.5776234810712971,0.9275756295986136,week3_inactive;retention_decay;only_w1;low_activity;genre_preference_clear;content_preference_signal,genre_action_cue;content_context_marker;retention_decay_subsignal;low_activity_subsignal,yes
54,promo0,1,promo0_s99,other_needs_review_residual,No revised representative behavior family rule matched,0.0635830171603037,0.2546376101379668,week3_inactive;retention_decay;genre_preference_clear;content_preference_signal,genre_action_cue;content_context_marker;retention_decay_subsignal,yes
55,promo0,1,promo0_s06,stable_usage_lower_risk,Stable usage without GB top20 high-risk flag,0.0848424046605598,0.0551590770628134,stable_usage;content_preference_signal,content_context_marker,yes
56,promo0,1,promo0_s06,stable_usage_lower_risk,Stable usage without GB top20 high-risk flag,0.1856325654733251,0.4332915199313364,low_activity;stable_usage;content_preference_signal,content_context_marker;low_activity_subsignal,yes
57,promo0,0,promo0_s03,high_risk_activation_or_low_engagement,"GB top20 plus weak activation, low activity, or cold start",0.7832871485029392,0.949039065785928,cold_start_weak;low_activity;genre_preference_clear;content_preference_signal,genre_action_cue;content_context_marker;low_activity_subsignal,yes
58,promo0,1,promo0_s99,other_needs_review_residual,No revised representative behavior family rule matched,0.0719370379421049,0.6389686266093589,week3_inactive;retention_decay;content_preference_signal,content_context_marker;retention_decay_subsignal,yes
59,promo0,1,promo0_s01,high_risk_week3_inactivity_or_retention_decay,GB top20 plus week3 inactivity or retention decay,0.5887264316500038,0.714513521947775,week3_inactive;only_w1;low_activity;genre_preference_clear;content_preference_signal,genre_action_cue;content_context_marker;low_activity_subsignal,yes
60,promo0,1,promo0_s01,high_risk_week3_inactivity_or_retention_decay,GB top20 plus week3 inactivity or retention decay,0.5450501036981013,0.9162135963036666,week3_inactive;retention_decay;content_preference_signal,content_context_marker;retention_decay_subsignal,yes
61,promo0,1,promo0_s99,other_needs_review_residual,No revised representative behavior family rule matched,0.1473906531190487,0.128130076613855,retention_decay;content_preference_signal,content_context_marker;retention_decay_subsignal,yes
62,promo0,1,promo0_s99,other_needs_review_residual,No revised representative behavior family rule matched,0.030311532392847,0.1005683795135732,cold_start_weak;content_preference_signal,content_context_marker,yes
63,promo0,1,promo0_s06,stable_usage_lower_risk,Stable usage without GB top20 high-risk flag,0.0306780801939096,0.0410884608828727,stable_usage;content_preference_signal,content_context_marker,yes
64,promo0,1,promo0_s99,other_needs_review_residual,No revised representative behavior family rule matched,0.0608250265745836,0.0788891778954913,cold_start_weak;low_activity;genre_preference_clear;content_preference_signal,genre_action_cue;content_context_marker;low_activity_subsignal,yes
65,promo0,1,promo0_s99,other_needs_review_residual,No revised representative behavior family rule matched,0.0208444265750232,0.1316263042519199,retention_decay,retention_decay_subsignal,yes
66,promo0,1,promo0_s99,other_needs_review_residual,No revised representative behavior family rule matched,0.0912011006422361,0.1906632596280437,cold_start_weak;content_preference_signal,content_context_marker,yes
67,promo0,0,promo0_s03,high_risk_activation_or_low_engagement,"GB top20 plus weak activation, low activity, or cold start",0.5196538049958808,0.8423921415395956,cold_start_weak;low_activity;genre_preference_clear;content_preference_signal,genre_action_cue;content_context_marker;low_activity_subsignal,yes
68,promo0,1,promo0_s99,other_needs_review_residual,No revised representative behavior family rule matched,0.2627889635733402,0.5501600993746534,week3_inactive;cold_start_weak;low_activity;genre_preference_clear;content_preference_signal,genre_action_cue;content_context_marker;low_activity_subsignal,yes
69,promo0,0,promo0_s03,high_risk_activation_or_low_engagement,"GB top20 plus weak activation, low activity, or cold start",0.6093811956998276,0.9454081522969282,cold_start_weak;low_activity;genre_preference_clear;content_preference_signal,genre_action_cue;content_context_marker;low_activity_subsignal,yes
70,promo0,1,promo0_s99,other_needs_review_residual,No revised representative behavior family rule matched,0.1022072948272941,0.4769035119887909,retention_decay;genre_preference_clear;content_preference_signal,genre_action_cue;content_context_marker;retention_decay_subsignal,yes
71,promo0,0,promo0_s99,mid_risk_retention_watchlist,GB top30 residual watchlist after higher priority rules,0.4063457684767654,0.6195602922236995,week3_inactive;retention_decay;low_activity;genre_preference_clear;content_preference_signal,genre_action_cue;content_context_marker;retention_decay_subsignal;low_activity_subsignal,yes
72,promo0,1,promo0_s99,other_needs_review_residual,No revised representative behavior family rule matched,0.1007867610942002,0.394667869714607,retention_decay;genre_preference_clear;content_preference_signal,genre_action_cue;content_context_marker;retention_decay_subsignal,yes
73,promo0,0,promo0_s99,other_needs_review_residual,No revised representative behavior family rule matched,0.0774923512536975,0.3183854080106463,cold_start_weak;low_activity;content_preference_signal,content_context_marker;low_activity_subsignal,yes
74,promo0,0,promo0_s01,high_risk_week3_inactivity_or_retention_decay,GB top20 plus week3 inactivity or retention decay,0.634260332271078,0.8116765970717554,week3_inactive;retention_decay;low_activity;content_preference_signal,content_context_marker;retention_decay_subsignal;low_activity_subsignal,yes
75,promo0,1,promo0_s06,stable_usage_lower_risk,Stable usage without GB top20 high-risk flag,0.0284077970775937,0.0589736906911818,stable_usage;content_preference_signal,content_context_marker,yes
76,promo0,0,promo0_s99,other_needs_review_residual,No revised representative behavior family rule matched,0.0243632671384745,0.0132500021310586,cold_start_weak;genre_preference_clear;content_preference_signal,genre_action_cue;content_context_marker,yes
77,promo0,1,promo0_s99,other_needs_review_residual,No revised representative behavior family rule matched,0.1371745721597299,0.615293106213036,retention_decay;content_preference_signal,content_context_marker;retention_decay_subsignal,yes
78,promo0,1,promo0_s99,other_needs_review_residual,No revised representative behavior family rule matched,0.278751679322912,0.5499605496569608,week3_inactive;cold_start_weak;low_activity;genre_preference_clear;content_preference_signal,genre_action_cue;content_context_marker;low_activity_subsignal,yes
79,promo0,0,promo0_s99,mid_risk_retention_watchlist,GB top30 residual watchlist after higher priority rules,0.3776452401765404,0.8274531701591255,week3_inactive;retention_decay;cold_start_weak;low_activity;content_preference_signal,content_context_marker;retention_decay_subsignal;low_activity_subsignal,yes
80,promo0,1,promo0_s06,stable_usage_lower_risk,Stable usage without GB top20 high-risk flag,0.0252838072410921,0.0509705068021133,stable_usage;genre_preference_clear;content_preference_signal,genre_action_cue;content_context_marker,yes
81,promo0,0,promo0_s99,other_needs_review_residual,No revised representative behavior family rule matched,0.2338893839176881,0.3870762444467992,week3_inactive;retention_decay;low_activity;content_preference_signal,content_context_marker;retention_decay_subsignal;low_activity_subsignal,yes
82,promo0,1,promo0_s99,other_needs_review_residual,No revised representative behavior family rule matched,0.0717783610332033,0.262120752781393,retention_decay;content_preference_signal,content_context_marker;retention_decay_subsignal,yes
83,promo0,1,promo0_s99,other_needs_review_residual,No revised representative behavior family rule matched,0.0260977859018863,0.0184391894805335,content_preference_signal,content_context_marker,yes
84,promo0,1,promo0_s99,other_needs_review_residual,No revised representative behavior family rule matched,0.0348250177270099,0.2535565891126412,retention_decay;content_preference_signal,content_context_marker;retention_decay_subsignal,yes
85,promo0,1,promo0_s99,other_needs_review_residual,No revised representative behavior family rule matched,0.1256622031030803,0.2479833165509678,content_preference_signal,content_context_marker,yes
86,promo0,0,promo0_s99,other_needs_review_residual,No revised representative behavior family rule matched,0.1044665663470305,0.3424246048870596,retention_decay;low_activity;content_preference_signal,content_context_marker;retention_decay_subsignal;low_activity_subsignal,yes
87,promo0,1,promo0_s99,other_needs_review_residual,No revised representative behavior family rule matched,0.0451340637411094,0.3386364244558945,week3_inactive;retention_decay;genre_preference_clear;content_preference_signal,genre_action_cue;content_context_marker;retention_decay_subsignal,yes
88,promo0,1,promo0_s99,other_needs_review_residual,No revised representative behavior family rule matched,0.1734237480796261,0.266357112349693,week3_inactive;retention_decay;low_activity;genre_preference_clear;content_preference_signal,genre_action_cue;content_context_marker;retention_decay_subsignal;low_activity_subsignal,yes
89,promo0,1,promo0_s99,mid_risk_retention_watchlist,GB top30 residual watchlist after higher priority rules,0.2916096384567784,0.4280016830452727,retention_decay;content_preference_signal,content_context_marker;retention_decay_subsignal,yes
90,promo0,1,promo0_s99,other_needs_review_residual,No revised representative behavior family rule matched,0.0657149212271938,0.2278591198537916,cold_start_weak;low_activity;content_preference_signal,content_context_marker;low_activity_subsignal,yes
91,promo0,1,promo0_s06,stable_usage_lower_risk,Stable usage without GB top20 high-risk flag,0.0757191625264174,0.253855068575859,stable_usage;content_preference_signal,content_context_marker,yes
92,promo0,0,promo0_s01,high_risk_week3_inactivity_or_retention_decay,GB top20 plus week3 inactivity or retention decay,0.8464136953776558,0.9838142702749773,week3_inactive;only_w1;low_activity;genre_preference_clear;content_preference_signal,genre_action_cue;content_context_marker;low_activity_subsignal,yes
93,promo0,0,promo0_s01,high_risk_week3_inactivity_or_retention_decay,GB top20 plus week3 inactivity or retention decay,0.7894659429551015,0.9471750709969774,week3_inactive;retention_decay;only_w1;low_activity;genre_preference_clear;content_preference_signal,genre_action_cue;content_context_marker;retention_decay_subsignal;low_activity_subsignal,yes
94,promo0,0,promo0_s99,other_needs_review_residual,No revised representative behavior family rule matched,0.2629959111073572,0.4484258539805615,week3_inactive;retention_decay;only_w1;low_activity;content_preference_signal,content_context_marker;retention_decay_subsignal;low_activity_subsignal,yes
95,promo0,1,promo0_s99,other_needs_review_residual,No revised representative behavior family rule matched,0.1254809437897991,0.0727161183682653,retention_decay;content_preference_signal,content_context_marker;retention_decay_subsignal,yes
96,promo0,1,promo0_s06,stable_usage_lower_risk,Stable usage without GB top20 high-risk flag,0.2050907786946298,0.5800751806969918,stable_usage;content_preference_signal,content_context_marker,yes
97,promo0,0,promo0_s06,stable_usage_lower_risk,Stable usage without GB top20 high-risk flag,0.1172727260235162,0.354794202950129,stable_usage;content_preference_signal,content_context_marker,yes
98,promo0,0,promo0_s01,high_risk_week3_inactivity_or_retention_decay,GB top20 plus week3 inactivity or retention decay,0.7672273868406916,0.9783348382400562,week3_inactive;only_w1;low_activity;genre_preference_clear;content_preference_signal,genre_action_cue;content_context_marker;low_activity_subsignal,yes
99,promo0,1,promo0_s02,high_risk_week3_inactivity_or_retention_decay,GB top20 plus week3 inactivity or retention decay,0.430804875571778,0.494366072494779,retention_decay;content_preference_signal,content_context_marker;retention_decay_subsignal,yes
100,promo0,1,promo0_s06,stable_usage_lower_risk,Stable usage without GB top20 high-risk flag,0.115329100478245,0.2034745007768372,stable_usage;content_preference_signal,content_context_marker,yes
101,promo0,1,promo0_s06,stable_usage_lower_risk,Stable usage without GB top20 high-risk flag,0.013784125464245,0.0201771792395549,stable_usage;content_preference_signal,content_context_marker,yes
102,promo0,0,promo0_s06,stable_usage_lower_risk,Stable usage without GB top20 high-risk flag,0.0239237029189577,0.0365828711653273,cold_start_weak;stable_usage;content_preference_signal,content_context_marker,yes
103,promo0,1,promo0_s99,other_needs_review_residual,No revised representative behavior family rule matched,0.2330099116414875,0.5408934825227553,content_preference_signal,content_context_marker,yes
104,promo0,1,promo0_s99,other_needs_review_residual,No revised representative behavior family rule matched,0.0385912520986684,0.0731993864938117,week3_inactive;retention_decay;cold_start_weak;low_activity;genre_preference_clear;content_preference_signal,genre_action_cue;content_context_marker;retention_decay_subsignal;low_activity_subsignal,yes
105,promo0,1,promo0_s99,other_needs_review_residual,No revised representative behavior family rule matched,0.2745399250735609,0.5462354331203751,content_preference_signal,content_context_marker,yes
106,promo0,0,promo0_s99,mid_risk_retention_watchlist,GB top30 residual watchlist after higher priority rules,0.4040268735115211,0.7898868038069594,week3_inactive;retention_decay;content_preference_signal,content_context_marker;retention_decay_subsignal,yes
107,promo0,1,promo0_s99,other_needs_review_residual,No revised representative behavior family rule matched,0.1173630867612381,0.1794697261921449,retention_decay;content_preference_signal,content_context_marker;retention_decay_subsignal,yes
108,promo0,0,promo0_s06,stable_usage_lower_risk,Stable usage without GB top20 high-risk flag,0.2030204175501283,0.5376872365960093,stable_usage;content_preference_signal,content_context_marker,yes
109,promo0,0,promo0_s99,other_needs_review_residual,No revised representative behavior family rule matched,0.2625471186891089,0.5029844797208927,week3_inactive;cold_start_weak;low_activity;genre_preference_clear;content_preference_signal,genre_action_cue;content_context_marker;low_activity_subsignal,yes
110,promo0,1,promo0_s99,other_needs_review_residual,No revised representative behavior family rule matched,0.0253326639184083,0.0434851421381662,retention_decay;content_preference_signal,content_context_marker;retention_decay_subsignal,yes
111,promo0,1,promo0_s99,other_needs_review_residual,No revised representative behavior family rule matched,0.2846672091352908,0.4953570789582364,week3_inactive;retention_decay;content_preference_signal,content_context_marker;retention_decay_subsignal,yes
112,promo0,1,promo0_s06,stable_usage_lower_risk,Stable usage without GB top20 high-risk flag,0.0589958958390033,0.2391850238118241,stable_usage;content_preference_signal,content_context_marker,yes
113,promo0,1,promo0_s06,stable_usage_lower_risk,Stable usage without GB top20 high-risk flag,0.0188028803030521,0.0114391163833429,stable_usage,none,yes
114,promo0,1,promo0_s99,other_needs_review_residual,No revised representative behavior family rule matched,0.0815440012793802,0.3351410351400159,week3_inactive;retention_decay;cold_start_weak;content_preference_signal,content_context_marker;retention_decay_subsignal,yes
115,promo0,1,promo0_s06,stable_usage_lower_risk,Stable usage without GB top20 high-risk flag,0.0142632649523845,0.0300673135975966,cold_start_weak;stable_usage;content_preference_signal,content_context_marker,yes
116,promo0,1,promo0_s99,other_needs_review_residual,No revised representative behavior family rule matched,0.2383573415442412,0.7767470542465628,cold_start_weak;low_activity;genre_preference_clear;content_preference_signal,genre_action_cue;content_context_marker;low_activity_subsignal,yes
117,promo0,1,promo0_s99,other_needs_review_residual,No revised representative behavior family rule matched,0.0552392612372165,0.1336802498603467,retention_decay;content_preference_signal,content_context_marker;retention_decay_subsignal,yes
118,promo0,1,promo0_s99,other_needs_review_residual,No revised representative behavior family rule matched,0.2636463583062213,0.6670296545481079,content_preference_signal,content_context_marker,yes
119,promo0,1,promo0_s06,stable_usage_lower_risk,Stable usage without GB top20 high-risk flag,0.0229569591786314,0.0239183688313993,stable_usage;genre_preference_clear;content_preference_signal,genre_action_cue;content_context_marker,yes
120,promo0,1,promo0_s99,other_needs_review_residual,No revised representative behavior family rule matched,0.0202758454827033,0.099284813986763,retention_decay;content_preference_signal,content_context_marker;retention_decay_subsignal,yes
121,promo0,0,promo0_s01,high_risk_week3_inactivity_or_retention_decay,GB top20 plus week3 inactivity or retention decay,0.781553719310009,0.9617373849729614,week3_inactive;only_w1;low_activity;genre_preference_clear;content_preference_signal,genre_action_cue;content_context_marker;low_activity_subsignal,yes
122,promo0,1,promo0_s06,stable_usage_lower_risk,Stable usage without GB top20 high-risk flag,0.0259662701142422,0.0860366402662116,stable_usage;content_preference_signal,content_context_marker,yes
123,promo0,1,promo0_s99,other_needs_review_residual,No revised representative behavior family rule matched,0.1015933875257978,0.3504300745576529,retention_decay;content_preference_signal,content_context_marker;retention_decay_subsignal,yes
124,promo0,1,promo0_s06,stable_usage_lower_risk,Stable usage without GB top20 high-risk flag,0.0289002790235755,0.192886049188138,stable_usage;content_preference_signal,content_context_marker,yes
125,promo0,1,promo0_s01,high_risk_week3_inactivity_or_retention_decay,GB top20 plus week3 inactivity or retention decay,0.6482322258462081,0.7281762491825632,week3_inactive;retention_decay;content_preference_signal,content_context_marker;retention_decay_subsignal,yes
126,promo0,1,promo0_s02,high_risk_week3_inactivity_or_retention_decay,GB top20 plus week3 inactivity or retention decay,0.6659315754124921,0.7571892223275817,retention_decay;low_activity;content_preference_signal,content_context_marker;retention_decay_subsignal;low_activity_subsignal,yes
127,promo0,1,promo0_s99,other_needs_review_residual,No revised representative behavior family rule matched,0.2836431106872451,0.5274373964084399,week3_inactive;cold_start_weak;low_activity;genre_preference_clear;content_preference_signal,genre_action_cue;content_context_marker;low_activity_subsignal,yes
