age_band,age_band_label,base_feature,feature_name,category,source_columns,aggregation_logic,why_it_may_help,n_nonpromo,n_promo,mean_nonpromo,mean_promo,median_nonpromo,median_promo,diff_mean,effect_rbc,pvalue,fdr_bh,evidence_level,recommended_usage,group_difference_summary
30,30대,vh_late_ratio,dv_age30_late_ratio,age_interaction,"watch_day, watch_time(min), reg_date, age",30대 여부 * 후반부 시청 비중,30대에서 초반보다 후반 사용이 늘어나는 프로모션 참여군 패턴 반영,2319,3565,0.10488660947058429,0.11617245809417691,0.0,0.0,0.011285848623592623,0.026910569253202565,0.02139417569373822,0.15957403511859036,weak,보조 변수 권장,"비프로모션 평균 0.1049, 프로모션 평균 0.1162, 차이 +0.0113, p=0.02139, FDR=0.1596, RBC=+0.0269"
30,30대,genre_share__Thriller_Crime,dv_age30_thriller_crime_share,age_interaction,"genre, watch_time(min), age",30대 여부 * Thriller/Crime 장르 시청시간 비중,30대 프로모션 참여군의 장르 선호 차이 반영,2319,3565,0.12462839619858439,0.13487937642283976,0.0,0.0,0.010250980224255371,0.031403607131041955,0.021859456865560324,0.15957403511859036,moderate,모델 입력 권장,"비프로모션 평균 0.1246, 프로모션 평균 0.1349, 차이 +0.0103, p=0.02186, FDR=0.1596, RBC=+0.0314"
40,40대,vh_active_day_ratio,dv_age40_active_day_ratio,age_interaction,"watch_day, reg_date, end_date, age",40대 여부 * 활동일 비율,40대에서 가장 뚜렷한 차이를 보인 재방문 밀도 반영,5826,1960,0.1230303086930566,0.12932439104674126,0.0967741935483871,0.0967741935483871,0.006294082353684657,0.09125620897174525,1.2696437137096963e-09,9.268399110080784e-08,strong,모델 입력 권장,"비프로모션 평균 0.1230, 프로모션 평균 0.1293, 차이 +0.0063, p=1.27e-09, FDR=9.268e-08, RBC=+0.0913"
40,40대,vh_last_14d_watch_ratio,dv_age40_last14d_watch_ratio,age_interaction,"watch_day, watch_time(min), end_date, age",40대 여부 * 만기 직전 14일 시청 비중,40대의 후반부 사용 차이 반영,5826,1960,0.260933755521011,0.2821384511234066,0.05291153415453527,0.10374460023099846,0.021204695602395573,0.0428487357867966,0.0030370636820040253,0.07390188292876462,moderate,모델 입력 권장,"비프로모션 평균 0.2609, 프로모션 평균 0.2821, 차이 +0.0212, p=0.003037, FDR=0.0739, RBC=+0.0428"
40,40대,vh_multi_event_day_ratio,dv_age40_multi_event_day_ratio,age_interaction,"watch_day, watch_seq, age",40대 여부 * 하루 다중 시청일 비율,40대에서 집중 시청일 구조 차이 반영,5826,1960,0.44025414949030295,0.42150322466649,0.45454545454545453,0.4,-0.018750924823812964,-0.032173770641109156,0.030777436714190316,0.2704233699849217,moderate,모델 입력 권장,"비프로모션 평균 0.4403, 프로모션 평균 0.4215, 차이 -0.0188, p=0.03078, FDR=0.2704, RBC=-0.0322"
40,40대,vh_end_near_watch_ratio,dv_age40_end_near_watch_ratio,age_interaction,"watch_day, reg_date, end_date, age",40대 여부 * 만기 근접 시청 비율,40대 프로모션 참여군이 만기 직전까지 시청을 유지하는 패턴 반영,5826,1960,0.5311821927205345,0.5393811718235682,0.5806451612903225,0.5806451612903225,0.008198979103033688,0.03205046694269886,0.03333986753238761,0.2704233699849217,moderate,모델 입력 권장,"비프로모션 평균 0.5312, 프로모션 평균 0.5394, 차이 +0.0082, p=0.03334, FDR=0.2704, RBC=+0.0321"
40,40대,genre_share__Action_Adventure,dv_age40_action_adventure_share,age_interaction,"genre, watch_time(min), age",40대 여부 * Action/Adventure 장르 시청시간 비중,40대 프로모션 참여군의 장르 선호 차이 반영,5826,1960,0.1061785364220719,0.11424953788083678,0.0,0.0,0.008071001458764882,0.025894126960773978,0.047029112807013634,0.3149238553657518,weak,보조 변수 권장,"비프로모션 평균 0.1062, 프로모션 평균 0.1142, 차이 +0.0081, p=0.04703, FDR=0.3149, RBC=+0.0259"
60,60대,vh_recent_release_180d_ratio,dv_age60_recent_release_180d_ratio,age_interaction,"ott_release_month, watch_day, age",60대 여부 * 최근 180일 공개작 시청 비중,60대 프로모션 참여군에서 최신작 선호 경향 반영,150,317,0.1697359813570598,0.23872515407979103,0.0,0.0,0.06898917272273122,0.11854889589905371,0.02335715125234067,0.43910790964612195,moderate,모델 입력 권장,"비프로모션 평균 0.1697, 프로모션 평균 0.2387, 차이 +0.0690, p=0.02336, FDR=0.4391, RBC=+0.1185"
60,60대,vh_recent_release_365d_ratio,dv_age60_recent_release_365d_ratio,age_interaction,"ott_release_month, watch_day, age",60대 여부 * 최근 365일 공개작 시청 비중,60대에서 최신 콘텐츠 소비 차이 반영,150,317,0.2144827623538408,0.29075610519368633,0.0,0.1111111111111111,0.07627334283984552,0.12092534174553093,0.024394064625860055,0.43910790964612195,moderate,모델 입력 권장,"비프로모션 평균 0.2145, 프로모션 평균 0.2908, 차이 +0.0763, p=0.02439, FDR=0.4391, RBC=+0.1209"
60,60대,vh_w3_to_w1_ratio_capped,dv_age60_w3_to_w1_ratio_capped,age_interaction,"watch_day, watch_time(min), reg_date, age",60대 여부 * 3주차/1주차 시청시간 비율 capped,60대 프로모션 참여군에서 중반 시청 확장 패턴 반영,150,317,0.7643341670636129,0.8661176452261412,0.0,0.0,0.1017834781625283,0.10710830704521546,0.03530916908243972,0.43910790964612195,moderate,모델 입력 권장,"비프로모션 평균 0.7643, 프로모션 평균 0.8661, 차이 +0.1018, p=0.03531, FDR=0.4391, RBC=+0.1071"
60,60대,vh_active_day_ratio,dv_age60_active_day_ratio,age_interaction,"watch_day, reg_date, end_date, age",60대 여부 * 활동일 비율,60대 프로모션 참여군의 방문 빈도 차이 반영,150,317,0.11155913978494623,0.12567416302025033,0.09526209677419355,0.0967741935483871,0.0141150232353041,0.11120925341745536,0.04980944097566543,0.43910790964612195,moderate,모델 입력 권장,"비프로모션 평균 0.1116, 프로모션 평균 0.1257, 차이 +0.0141, p=0.04981, FDR=0.4391, RBC=+0.1112"
