feature_name,family,recommendation,reason,future_reduced_model_note,shap_rank,mean_abs_shap
w1_3_genre_watch_time_thriller_crime,genre,group_for_interpretation,Structurally derived or highly related to other behavior/content variables.,"Consider one representative from the group, not all derivatives.",57,0.0050276160445191
w1_3_genre_session_count_thriller_crime,genre,group_for_interpretation,Structurally derived or highly related to other behavior/content variables.,"Consider one representative from the group, not all derivatives.",27,0.0469996792481793
w1_3_genre_ratio_sf_fantasy,genre,group_for_interpretation,Structurally derived or highly related to other behavior/content variables.,"Consider one representative from the group, not all derivatives.",37,0.0174709212744376
w1_3_genre_watch_time_sf_fantasy,genre,group_for_interpretation,Structurally derived or highly related to other behavior/content variables.,"Consider one representative from the group, not all derivatives.",68,0.0025685462079548
w1_3_genre_session_count_sf_fantasy,genre,group_for_interpretation,Structurally derived or highly related to other behavior/content variables.,"Consider one representative from the group, not all derivatives.",45,0.0109358081452046
w1_3_genre_ratio_action_adventure,genre,group_for_interpretation,Structurally derived or highly related to other behavior/content variables.,"Consider one representative from the group, not all derivatives.",10,0.109490557171211
w1_3_genre_watch_time_action_adventure,genre,group_for_interpretation,Structurally derived or highly related to other behavior/content variables.,"Consider one representative from the group, not all derivatives.",61,0.0044223513087343
w1_3_genre_session_count_action_adventure,genre,group_for_interpretation,Structurally derived or highly related to other behavior/content variables.,"Consider one representative from the group, not all derivatives.",25,0.0498434435720556
w1_3_genre_ratio_animation_family,genre,group_for_interpretation,Structurally derived or highly related to other behavior/content variables.,"Consider one representative from the group, not all derivatives.",7,0.1270533185837299
w1_3_genre_watch_time_animation_family,genre,group_for_interpretation,Structurally derived or highly related to other behavior/content variables.,"Consider one representative from the group, not all derivatives.",21,0.0652122147130651
w1_3_genre_session_count_animation_family,genre,group_for_interpretation,Structurally derived or highly related to other behavior/content variables.,"Consider one representative from the group, not all derivatives.",46,0.0103953987490964
w1_3_genre_ratio_romance,genre,group_for_interpretation,Structurally derived or highly related to other behavior/content variables.,"Consider one representative from the group, not all derivatives.",14,0.0920390116800067
w1_3_genre_watch_time_romance,genre,group_for_interpretation,Structurally derived or highly related to other behavior/content variables.,"Consider one representative from the group, not all derivatives.",15,0.0863500757975354
w1_3_genre_session_count_romance,genre,group_for_interpretation,Structurally derived or highly related to other behavior/content variables.,"Consider one representative from the group, not all derivatives.",35,0.021600980576815
w1_3_genre_ratio_comedy,genre,group_for_interpretation,Structurally derived or highly related to other behavior/content variables.,"Consider one representative from the group, not all derivatives.",67,0.002640948744161
w1_3_genre_watch_time_comedy,genre,group_for_interpretation,Structurally derived or highly related to other behavior/content variables.,"Consider one representative from the group, not all derivatives.",56,0.0053866731150454
w1_3_genre_session_count_comedy,genre,group_for_interpretation,Structurally derived or highly related to other behavior/content variables.,"Consider one representative from the group, not all derivatives.",60,0.0046292079948573
w1_3_genre_ratio_historical_war,genre,group_for_interpretation,Structurally derived or highly related to other behavior/content variables.,"Consider one representative from the group, not all derivatives.",66,0.0030414259697851
w1_3_genre_watch_time_historical_war,genre,group_for_interpretation,Structurally derived or highly related to other behavior/content variables.,"Consider one representative from the group, not all derivatives.",59,0.0046428992088896
w1_3_genre_session_count_historical_war,genre,group_for_interpretation,Structurally derived or highly related to other behavior/content variables.,"Consider one representative from the group, not all derivatives.",72,0.0018132758725042
w1_3_genre_ratio_horror,genre,group_for_interpretation,Structurally derived or highly related to other behavior/content variables.,"Consider one representative from the group, not all derivatives.",31,0.0272724867946542
w1_3_genre_watch_time_horror,genre,group_for_interpretation,Structurally derived or highly related to other behavior/content variables.,"Consider one representative from the group, not all derivatives.",42,0.0123706001816714
w1_3_genre_session_count_horror,genre,group_for_interpretation,Structurally derived or highly related to other behavior/content variables.,"Consider one representative from the group, not all derivatives.",41,0.0131037494537157
w1_3_genre_ratio_other,genre,group_for_interpretation,Structurally derived or highly related to other behavior/content variables.,"Consider one representative from the group, not all derivatives.",43,0.0118295733397473
w1_3_genre_watch_time_other,genre,group_for_interpretation,Structurally derived or highly related to other behavior/content variables.,"Consider one representative from the group, not all derivatives.",64,0.0042327329331892
w1_3_genre_session_count_other,genre,group_for_interpretation,Structurally derived or highly related to other behavior/content variables.,"Consider one representative from the group, not all derivatives.",82,0.0003136785346156
w1_3_release_month_covered_watch_ratio,release_month,group_for_interpretation,Structurally derived or highly related to other behavior/content variables.,"Consider one representative from the group, not all derivatives.",135,0.0
w1_3_avg_ott_release_month_weighted,release_month,use_with_caution,Timing-sensitive or interpretation-sensitive feature.,Keep only if business timing and leakage framing are acceptable.,33,0.0255028862033178
w1_3_recent_content_watch_ratio,release_month,group_for_interpretation,Structurally derived or highly related to other behavior/content variables.,"Consider one representative from the group, not all derivatives.",55,0.0060937218915885
w1_3_old_content_watch_ratio,release_month,group_for_interpretation,Structurally derived or highly related to other behavior/content variables.,"Consider one representative from the group, not all derivatives.",48,0.0089711822606283
