window,feature,count,min,max,mean,zero_count
w1_3,w1_3_genre_ratio_comedy,23933,0.0,1.0,0.088521,16480
w1_3,w1_3_genre_watch_time_comedy,23933,0.0,1803.0,26.64058,16480
w1_3,w1_3_genre_session_count_comedy,23933,0.0,15.0,0.579952,16480
w1_3,w1_3_genre_ratio_historical_war,23933,0.0,1.0,0.065602,18764
w1_3,w1_3_genre_watch_time_historical_war,23933,0.0,1631.0,25.423766,18764
w1_3,w1_3_genre_session_count_historical_war,23933,0.0,33.0,0.485522,18764
w1_3,w1_3_genre_ratio_horror,23933,0.0,1.0,0.026374,21070
w1_3,w1_3_genre_watch_time_horror,23933,0.0,1038.0,8.665023,21070
w1_3,w1_3_genre_session_count_horror,23933,0.0,27.0,0.223081,21070
w1_3,w1_3_genre_ratio_other,23933,0.0,1.0,0.025607,21402
w1_3,w1_3_genre_watch_time_other,23933,0.0,1538.0,6.870263,21402
w1_3,w1_3_genre_session_count_other,23933,0.0,36.0,0.219906,21402
w1_3,w1_3_release_month_covered_watch_ratio,23933,0.0,1.0,0.937409,1498
w1_3,w1_3_avg_ott_release_month_weighted,22435,200212.0,202103.0,201789.195804,0
w1_3,w1_3_recent_content_watch_ratio,23933,0.0,1.0,0.229588,12367
w1_3,w1_3_old_content_watch_ratio,23933,0.0,1.0,0.171952,12808
w1_4,w1_4_content_has_watch_obs,23933,0.0,1.0,0.992312,184
w1_4,w1_4_genre_covered_watch_time,23933,0.0,6474.0,327.416914,184
w1_4,w1_4_genre_missing_watch_time,23933,0.0,0.0,0.0,23933
w1_4,w1_4_genre_covered_watch_ratio,23933,0.0,1.0,0.992312,184
w1_4,w1_4_genre_missing_watch_ratio,23933,0.0,0.0,0.0,23933
w1_4,w1_4_genre_unique_count,23933,0.0,11.0,3.116743,184
w1_4,w1_4_top_genre_watch_time,23933,0.0,4388.0,182.560774,184
w1_4,w1_4_top_genre_watch_ratio,23933,0.0,1.0,0.686648,184
w1_4,w1_4_genre_entropy,23933,0.0,3.058247,0.970264,5289
w1_4,w1_4_genre_ratio_drama,23933,0.0,1.0,0.179627,11859
w1_4,w1_4_genre_watch_time_drama,23933,0.0,2275.0,58.96486,11859
w1_4,w1_4_genre_session_count_drama,23933,0.0,28.0,1.29123,11859
w1_4,w1_4_genre_ratio_thriller_crime,23933,0.0,1.0,0.128139,14427
w1_4,w1_4_genre_watch_time_thriller_crime,23933,0.0,1478.0,44.812184,14427
w1_4,w1_4_genre_session_count_thriller_crime,23933,0.0,28.0,0.906573,14427
w1_4,w1_4_genre_ratio_sf_fantasy,23933,0.0,1.0,0.123429,16061
w1_4,w1_4_genre_watch_time_sf_fantasy,23933,0.0,2727.0,43.471149,16061
w1_4,w1_4_genre_session_count_sf_fantasy,23933,0.0,40.0,0.912464,16061
w1_4,w1_4_genre_ratio_action_adventure,23933,0.0,1.0,0.109435,15170
w1_4,w1_4_genre_watch_time_action_adventure,23933,0.0,1969.0,35.725943,15170
w1_4,w1_4_genre_session_count_action_adventure,23933,0.0,25.0,0.824761,15170
w1_4,w1_4_genre_ratio_animation_family,23933,0.0,1.0,0.113293,17578
w1_4,w1_4_genre_watch_time_animation_family,23933,0.0,1842.0,32.961643,17578
w1_4,w1_4_genre_session_count_animation_family,23933,0.0,47.0,0.826725,17578
w1_4,w1_4_genre_ratio_romance,23933,0.0,1.0,0.096807,16066
w1_4,w1_4_genre_watch_time_romance,23933,0.0,4388.0,31.113901,16066
w1_4,w1_4_genre_session_count_romance,23933,0.0,40.0,0.739105,16066
w1_4,w1_4_genre_ratio_comedy,23933,0.0,1.0,0.094585,15902
w1_4,w1_4_genre_watch_time_comedy,23933,0.0,1967.0,29.767643,15902
w1_4,w1_4_genre_session_count_comedy,23933,0.0,19.0,0.644591,15902
w1_4,w1_4_genre_ratio_historical_war,23933,0.0,1.0,0.066572,18545
w1_4,w1_4_genre_watch_time_historical_war,23933,0.0,1795.0,26.899469,18545
w1_4,w1_4_genre_session_count_historical_war,23933,0.0,36.0,0.515648,18545
w1_4,w1_4_genre_ratio_horror,23933,0.0,1.0,0.027941,20838
w1_4,w1_4_genre_watch_time_horror,23933,0.0,1038.0,9.362554,20838
w1_4,w1_4_genre_session_count_horror,23933,0.0,27.0,0.240797,20838
w1_4,w1_4_genre_ratio_other,23933,0.0,1.0,0.031476,21046
w1_4,w1_4_genre_watch_time_other,23933,0.0,2285.0,8.6509,21046
w1_4,w1_4_genre_session_count_other,23933,0.0,46.0,0.275185,21046
w1_4,w1_4_release_month_covered_watch_ratio,23933,0.0,1.0,0.992312,184
w1_4,w1_4_avg_ott_release_month_weighted,23749,200212.0,202103.0,201791.583216,0
w1_4,w1_4_recent_content_watch_ratio,23933,0.0,1.0,0.244909,11556
w1_4,w1_4_old_content_watch_ratio,23933,0.0,1.0,0.179165,12201
