warning_type,dataset_scope,model_name,fold,severity,message,actual_model_output_folder,actual_figure_output_folder
model_fit_warning,overall_with_promotion,LightGBM,2,WARNING,"X does not have valid feature names, but LGBMClassifier was fitted with feature names",C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_260513,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_260513
model_fit_warning,overall_with_promotion,LightGBM,2,WARNING,"X does not have valid feature names, but LGBMClassifier was fitted with feature names",C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_260513,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_260513
model_fit_warning,overall_with_promotion,LightGBM,3,WARNING,"X does not have valid feature names, but LGBMClassifier was fitted with feature names",C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_260513,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_260513
model_fit_warning,overall_with_promotion,LightGBM,3,WARNING,"X does not have valid feature names, but LGBMClassifier was fitted with feature names",C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_260513,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_260513
model_fit_warning,overall_with_promotion,LightGBM,4,WARNING,"X does not have valid feature names, but LGBMClassifier was fitted with feature names",C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_260513,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_260513
model_fit_warning,overall_with_promotion,LightGBM,4,WARNING,"X does not have valid feature names, but LGBMClassifier was fitted with feature names",C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_260513,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_260513
model_fit_warning,overall_with_promotion,LightGBM,5,WARNING,"X does not have valid feature names, but LGBMClassifier was fitted with feature names",C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_260513,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_260513
model_fit_warning,overall_with_promotion,LightGBM,5,WARNING,"X does not have valid feature names, but LGBMClassifier was fitted with feature names",C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_260513,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_260513
model_fit_warning,promotion_only,LightGBM,1,WARNING,"X does not have valid feature names, but LGBMClassifier was fitted with feature names",C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_260513,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_260513
model_fit_warning,promotion_only,LightGBM,1,WARNING,"X does not have valid feature names, but LGBMClassifier was fitted with feature names",C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_260513,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_260513
model_fit_warning,promotion_only,LightGBM,2,WARNING,"X does not have valid feature names, but LGBMClassifier was fitted with feature names",C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_260513,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_260513
model_fit_warning,promotion_only,LightGBM,2,WARNING,"X does not have valid feature names, but LGBMClassifier was fitted with feature names",C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_260513,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_260513
model_fit_warning,promotion_only,LightGBM,3,WARNING,"X does not have valid feature names, but LGBMClassifier was fitted with feature names",C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_260513,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_260513
model_fit_warning,promotion_only,LightGBM,3,WARNING,"X does not have valid feature names, but LGBMClassifier was fitted with feature names",C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_260513,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_260513
model_fit_warning,promotion_only,LightGBM,4,WARNING,"X does not have valid feature names, but LGBMClassifier was fitted with feature names",C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_260513,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_260513
model_fit_warning,promotion_only,LightGBM,4,WARNING,"X does not have valid feature names, but LGBMClassifier was fitted with feature names",C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_260513,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_260513
model_fit_warning,promotion_only,LightGBM,5,WARNING,"X does not have valid feature names, but LGBMClassifier was fitted with feature names",C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_260513,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_260513
model_fit_warning,promotion_only,LightGBM,5,WARNING,"X does not have valid feature names, but LGBMClassifier was fitted with feature names",C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_260513,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_260513
model_fit_warning,nonpromotion_only,LightGBM,1,WARNING,"X does not have valid feature names, but LGBMClassifier was fitted with feature names",C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_260513,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_260513
model_fit_warning,nonpromotion_only,LightGBM,1,WARNING,"X does not have valid feature names, but LGBMClassifier was fitted with feature names",C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_260513,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_260513
model_fit_warning,nonpromotion_only,LightGBM,2,WARNING,"X does not have valid feature names, but LGBMClassifier was fitted with feature names",C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_260513,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_260513
model_fit_warning,nonpromotion_only,LightGBM,2,WARNING,"X does not have valid feature names, but LGBMClassifier was fitted with feature names",C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_260513,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_260513
model_fit_warning,nonpromotion_only,LightGBM,3,WARNING,"X does not have valid feature names, but LGBMClassifier was fitted with feature names",C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_260513,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_260513
model_fit_warning,nonpromotion_only,LightGBM,3,WARNING,"X does not have valid feature names, but LGBMClassifier was fitted with feature names",C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_260513,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_260513
model_fit_warning,nonpromotion_only,LightGBM,4,WARNING,"X does not have valid feature names, but LGBMClassifier was fitted with feature names",C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_260513,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_260513
model_fit_warning,nonpromotion_only,LightGBM,4,WARNING,"X does not have valid feature names, but LGBMClassifier was fitted with feature names",C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_260513,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_260513
model_fit_warning,nonpromotion_only,LightGBM,5,WARNING,"X does not have valid feature names, but LGBMClassifier was fitted with feature names",C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_260513,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_260513
model_fit_warning,nonpromotion_only,LightGBM,5,WARNING,"X does not have valid feature names, but LGBMClassifier was fitted with feature names",C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_260513,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_260513
overfit_warning,promotion_only,LightGBM,,WARNING,Large train-valid gap; fixed-parameter winner is not final.,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_260513,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_260513
