check_name,status,value,note,actual_model_output_folder,actual_figure_output_folder
primary_modeling_table_exists,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_260513,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_260513
primary_main_cohort_row_count_is_23079,PASS,23079,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_260513,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_260513
conservative_feature_count_is_22,PASS,22,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_260513,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_260513
target_column_exists,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_260513,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_260513
split_column_exists,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_260513,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_260513
group_key_exists,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_260513,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_260513
no_review_columns_used,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_260513,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_260513
no_forbidden_columns_used,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_260513,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_260513
no_USER_KEY_as_feature,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_260513,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_260513
no_source_row_number_as_feature,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_260513,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_260513
no_is_repurchase_as_feature,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_260513,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_260513
is_promotion_not_used_in_groupwise_models,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_260513,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_260513
is_promotion_used_only_in_overall_with_promotion,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_260513,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_260513
StratifiedGroupKFold_used,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_260513,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_260513
no_group_overlap_in_cv,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_260513,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_260513
all_fold_validation_sets_have_both_classes,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_260513,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_260513
model_availability_created,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_260513,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_260513
optional_unavailable_models_recorded,PASS,1,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_260513,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_260513
cv_fold_metrics_created,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_260513,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_260513
model_comparison_summary_created,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_260513,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_260513
vs_11b_comparison_created,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_260513,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_260513
best_candidate_by_scope_created,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_260513,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_260513
train_valid_gap_audit_created,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_260513,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_260513
fold_stability_audit_created,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_260513,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_260513
selected_oof_predictions_created,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_260513,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_260513
score_orientation_preserved,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_260513,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_260513
no_shap_performed,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_260513,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_260513
no_optuna_performed,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_260513,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_260513
no_hyperparameter_tuning_performed,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_260513,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_260513
no_final_threshold_created,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_260513,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_260513
no_final_segmentation_created,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_260513,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_260513
handoff_to_14_created,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_260513,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_260513
handoff_to_16_created,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_260513,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_260513
figures_created,PASS,5,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_260513,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_260513
figure_inventory_created,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_260513,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_260513
visualization_warnings_created,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_260513,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_260513
matplotlib_only_for_figures,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_260513,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_260513
seaborn_not_used,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_260513,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_260513
korean_font_found_or_warning_recorded,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_260513,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_260513
readme_created,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_260513,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_260513
note_md_updated,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_260513,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_260513
review_zip_created,FAIL,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_260513,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_260513
notebook_saved_with_outputs,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_260513,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_260513
zip_contains_23_csv_outputs,FAIL,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_260513,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_260513
zip_contains_required_png_figures,FAIL,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_260513,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_260513
zip_contains_notebook_readme_note_final_checks,FAIL,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_260513,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_260513
