window,column,missing_count,missing_rate
w1_4,w1_4_total_watch_time,0,0.0
w1_4,w1_4_total_sessions,0,0.0
w1_4,w1_4_unique_contents,0,0.0
w1_4,w1_4_unique_watch_days,0,0.0
w1_4,w1_4_avg_watch_time_per_session,0,0.0
w1_4,w1_4_sessions_per_active_day,0,0.0
w1_4,w1_4_active_span_days,0,0.0
w1_4,w1_4_first_watch_rel_day,184,0.007688
w1_4,w1_4_last_watch_rel_day,184,0.007688
w1_4,w1_4_week1_watch_time,0,0.0
w1_4,w1_4_week2_watch_time,0,0.0
w1_4,w1_4_week3_watch_time,0,0.0
w1_4,w1_4_week1_sessions,0,0.0
w1_4,w1_4_week2_sessions,0,0.0
w1_4,w1_4_week3_sessions,0,0.0
w1_4,w1_4_week1_ratio,0,0.0
w1_4,w1_4_week2_ratio,0,0.0
w1_4,w1_4_week3_ratio,0,0.0
w1_4,w1_4_w2_minus_w1_watch_time,0,0.0
w1_4,w1_4_w3_minus_w1_watch_time,0,0.0
w1_4,w1_4_max_daily_watch_time,0,0.0
w1_4,w1_4_max_day_share,0,0.0
w1_4,w1_4_one_minute_watch_count,0,0.0
w1_4,w1_4_short_watch_count_le5,0,0.0
w1_4,w1_4_short_watch_time_le5,0,0.0
w1_4,w1_4_week4_watch_time,0,0.0
w1_4,w1_4_week4_sessions,0,0.0
w1_4,w1_4_week4_ratio,0,0.0
w1_4,w1_4_w4_minus_w1_watch_time,0,0.0
w1_4,w1_4_w4_minus_w3_watch_time,0,0.0
w1_4,w1_4_content_has_watch_obs,0,0.0
w1_4,w1_4_genre_covered_watch_time,0,0.0
w1_4,w1_4_genre_missing_watch_time,0,0.0
w1_4,w1_4_genre_covered_watch_ratio,0,0.0
w1_4,w1_4_genre_missing_watch_ratio,0,0.0
w1_4,w1_4_genre_unique_count,0,0.0
w1_4,w1_4_top_genre,184,0.007688
w1_4,w1_4_top_genre_watch_time,0,0.0
w1_4,w1_4_top_genre_watch_ratio,0,0.0
w1_4,w1_4_genre_entropy,0,0.0
w1_4,w1_4_genre_ratio_drama,0,0.0
w1_4,w1_4_genre_watch_time_drama,0,0.0
w1_4,w1_4_genre_session_count_drama,0,0.0
w1_4,w1_4_genre_ratio_thriller_crime,0,0.0
w1_4,w1_4_genre_watch_time_thriller_crime,0,0.0
w1_4,w1_4_genre_session_count_thriller_crime,0,0.0
w1_4,w1_4_genre_ratio_sf_fantasy,0,0.0
w1_4,w1_4_genre_watch_time_sf_fantasy,0,0.0
w1_4,w1_4_genre_session_count_sf_fantasy,0,0.0
w1_4,w1_4_genre_ratio_action_adventure,0,0.0
w1_4,w1_4_genre_watch_time_action_adventure,0,0.0
w1_4,w1_4_genre_session_count_action_adventure,0,0.0
w1_4,w1_4_genre_ratio_animation_family,0,0.0
w1_4,w1_4_genre_watch_time_animation_family,0,0.0
w1_4,w1_4_genre_session_count_animation_family,0,0.0
w1_4,w1_4_genre_ratio_romance,0,0.0
w1_4,w1_4_genre_watch_time_romance,0,0.0
w1_4,w1_4_genre_session_count_romance,0,0.0
w1_4,w1_4_genre_ratio_comedy,0,0.0
w1_4,w1_4_genre_watch_time_comedy,0,0.0
w1_4,w1_4_genre_session_count_comedy,0,0.0
w1_4,w1_4_genre_ratio_historical_war,0,0.0
w1_4,w1_4_genre_watch_time_historical_war,0,0.0
w1_4,w1_4_genre_session_count_historical_war,0,0.0
w1_4,w1_4_genre_ratio_horror,0,0.0
w1_4,w1_4_genre_watch_time_horror,0,0.0
w1_4,w1_4_genre_session_count_horror,0,0.0
w1_4,w1_4_genre_ratio_other,0,0.0
w1_4,w1_4_genre_watch_time_other,0,0.0
w1_4,w1_4_genre_session_count_other,0,0.0
w1_4,w1_4_release_month_covered_watch_ratio,0,0.0
w1_4,w1_4_avg_ott_release_month_weighted,184,0.007688
w1_4,w1_4_recent_content_watch_ratio,0,0.0
w1_4,w1_4_old_content_watch_ratio,0,0.0
