feature_set_name,rank,safe_model_feature_name,AARRR_stage,feature_family,timing_family,metric_type,effect_size_or_abs_smd,promotion_value,nonpromotion_value,difference,caveat_flag,caveat_reason,needs_user_review,recommended_next_step,not_a_feature_selection_decision
expanded_feature_set,6,is_premium,Acquisition_context,membership_context,registration_or_payment_context,binary,0.35062926889431273,0.22521841397849462,0.09807606263982104,0.12714235133867358,False,,False,"Review descriptively in 09x/10x, then audit redundancy/leakage in 10x or 11x before any modeling use.",True
expanded_feature_set,7,is_male,Needs_user_review,profile_context_needs_review,membership_context,binary,0.30558603414197527,0.3812163978494624,0.24134228187919463,0.13987411597026775,False,,True,"Review descriptively in 09x/10x, then audit redundancy/leakage in 10x or 11x before any modeling use.",True
expanded_feature_set,8,payment_is_pc,Acquisition_context,membership_context,registration_or_payment_context,binary,0.2990379776762276,0.2501680107526882,0.13369127516778523,0.11647673558490296,False,,False,"Review descriptively in 09x/10x, then audit redundancy/leakage in 10x or 11x before any modeling use.",True
expanded_feature_set,9,reg_hour_morning,Acquisition_context,membership_context,registration_or_payment_context,binary,0.24376801241353174,0.14566532258064516,0.24125279642058164,-0.09558747383993649,False,,False,"Review descriptively in 09x/10x, then audit redundancy/leakage in 10x or 11x before any modeling use.",True
expanded_feature_set,10,payment_is_android,Acquisition_context,membership_context,registration_or_payment_context,binary,0.2046698998599084,0.5181451612903226,0.41655480984340043,0.10159035144692219,False,,False,"Review descriptively in 09x/10x, then audit redundancy/leakage in 10x or 11x before any modeling use.",True
expanded_feature_set,11,reg_hour_evening,Acquisition_context,membership_context,registration_or_payment_context,binary,0.18999840534800763,0.43119959677419356,0.33914988814317676,0.0920497086310168,False,,False,"Review descriptively in 09x/10x, then audit redundancy/leakage in 10x or 11x before any modeling use.",True
expanded_feature_set,12,is_standard,Acquisition_context,membership_context,registration_or_payment_context,binary,0.18132481757764463,0.17111895161290322,0.2443847874720358,-0.07326583585913257,False,,False,"Review descriptively in 09x/10x, then audit redundancy/leakage in 10x or 11x before any modeling use.",True
expanded_feature_set,13,is_churn_prevented,Retention_context,historical_churn_prevention_context,historical_context,binary,0.1265347109374024,0.15641801075268819,0.20501118568232662,-0.04859317492963844,True,Historical ever-benefited churn prevention flag; do not interpret as current-cycle outcome.,False,"Review descriptively in 09x/10x, then audit redundancy/leakage in 10x or 11x before any modeling use.",True
expanded_feature_set,14,is_basic,Acquisition_context,membership_context,registration_or_payment_context,binary,0.11179773005970153,0.6036626344086021,0.6575391498881432,-0.05387651547954109,False,,False,"Review descriptively in 09x/10x, then audit redundancy/leakage in 10x or 11x before any modeling use.",True
expanded_feature_set,15,reg_is_weekend,Acquisition_context,membership_context,registration_or_payment_context,binary,0.07539892816786277,0.3772681451612903,0.3411185682326622,0.036149576928628135,False,,False,"Review descriptively in 09x/10x, then audit redundancy/leakage in 10x or 11x before any modeling use.",True
expanded_feature_set,16,reg_hour_afternoon,Acquisition_context,membership_context,registration_or_payment_context,binary,0.036178528729404615,0.2474798387096774,0.2320357941834452,0.015444044526232215,False,,False,"Review descriptively in 09x/10x, then audit redundancy/leakage in 10x or 11x before any modeling use.",True
expanded_feature_set,17,reg_hour_night,Acquisition_context,membership_context,registration_or_payment_context,binary,0.030885914745585507,0.17565524193548387,0.18756152125279643,-0.011906279317312557,False,,False,"Review descriptively in 09x/10x, then audit redundancy/leakage in 10x or 11x before any modeling use.",True
expanded_feature_set,18,recency,Retention,usage_retention_behavior,multi_week_or_aggregate_observation,numeric,0.02653392861180279,6.21875,6.387829977628635,-0.16907997762863491,False,,False,"Review descriptively in 09x/10x, then audit redundancy/leakage in 10x or 11x before any modeling use.",True
expanded_feature_set,19,avg_gap_w3_watch_days,Retention,usage_retention_behavior,multi_week_or_aggregate_observation,numeric,0.026469464503076266,0.694142025033602,0.6616584643400447,0.03248356069355729,False,,False,"Review descriptively in 09x/10x, then audit redundancy/leakage in 10x or 11x before any modeling use.",True
expanded_feature_set,20,is_only_w2,Retention,usage_retention_behavior,multi_week_or_aggregate_observation,binary,0.022759539812692037,0.07669690860215053,0.08286353467561522,-0.006166626073464687,False,,False,"Review descriptively in 09x/10x, then audit redundancy/leakage in 10x or 11x before any modeling use.",True
