membership_row_id,is_repurchase,target_repurchase,repurchase_score,churn_risk_score,risk_band,hierarchical_segment,hierarchical_rank,seg_top_decile_high_churn_risk,seg_low_or_no_early_engagement,seg_late_heavy_week3_intensive,seg_delayed_start,seg_early_routine_stable,seg_week2_surge_users,seg_genre_affinity_thriller_crime,seg_genre_affinity_animation_family,seg_genre_affinity_drama,seg_genre_affinity_action_adventure,seg_high_price_or_promotion_sensitive
17,Y,1,0.9673935965783318,0.032606403421668206,bottom_40_lowest_risk,late_heavy_week3_intensive,3,0,0,1,0,0,0,0,0,1,0,0
18,Y,1,0.9735395325002354,0.026460467499764606,bottom_40_lowest_risk,genre_affinity_thriller_crime,5,0,0,0,0,0,1,1,0,1,0,1
19,Y,1,0.35966854655957514,0.6403314534404249,risk_10_30,genre_affinity_thriller_crime,5,0,0,0,0,0,0,1,0,0,0,1
20,Y,1,0.9357914701269676,0.06420852987303238,bottom_40_lowest_risk,early_routine_stable,9,0,0,0,0,1,0,0,0,0,0,1
21,Y,1,0.7150496924353572,0.2849503075646428,risk_30_60,low_or_no_early_engagement,2,0,1,0,0,0,0,0,0,0,0,1
22,Y,1,0.924046617019444,0.07595338298055598,bottom_40_lowest_risk,genre_affinity_animation_family,6,0,0,0,0,0,1,0,1,0,0,1
23,N,0,0.18626391627073194,0.8137360837292681,top_10_highest_risk,top_decile_high_churn_risk,1,1,1,0,1,0,0,0,0,0,0,1
24,Y,1,0.8296372595786939,0.17036274042130606,risk_30_60,delayed_start,4,0,0,0,1,0,1,0,1,0,1,0
25,N,0,0.6889367024289341,0.3110632975710659,risk_30_60,genre_affinity_thriller_crime,5,0,0,0,0,0,0,1,0,1,1,0
26,N,0,0.9024033951275485,0.09759660487245148,bottom_40_lowest_risk,low_or_no_early_engagement,2,0,1,0,1,0,0,0,0,0,0,0
27,Y,1,0.9076701529030619,0.09232984709693814,bottom_40_lowest_risk,low_or_no_early_engagement,2,0,1,0,1,0,0,0,1,0,0,0
28,Y,1,0.9408002978834761,0.05919970211652392,bottom_40_lowest_risk,late_heavy_week3_intensive,3,0,0,1,0,0,0,0,0,0,1,1
29,Y,1,0.9649371963099,0.03506280369009995,bottom_40_lowest_risk,late_heavy_week3_intensive,3,0,0,1,0,0,1,0,1,1,0,0
30,N,0,0.19022637378132848,0.8097736262186715,top_10_highest_risk,top_decile_high_churn_risk,1,1,1,0,0,1,0,1,0,0,0,1
31,N,0,0.7326981034832822,0.26730189651671776,risk_30_60,low_or_no_early_engagement,2,0,1,0,0,0,0,0,0,0,0,1
32,N,0,0.6907843910260063,0.3092156089739937,risk_30_60,genre_affinity_drama,7,0,0,0,0,0,1,0,0,1,1,0
33,N,0,0.252608644124899,0.7473913558751011,top_10_highest_risk,top_decile_high_churn_risk,1,1,1,0,0,1,0,0,0,0,0,1
34,Y,1,0.5969022917591867,0.40309770824081326,risk_30_60,low_or_no_early_engagement,2,0,1,0,1,0,0,0,0,1,0,1
35,N,0,0.6661555534864194,0.3338444465135806,risk_30_60,low_or_no_early_engagement,2,0,1,0,0,0,0,0,0,0,0,1
36,Y,1,0.9463966283099022,0.05360337169009777,bottom_40_lowest_risk,genre_affinity_drama,7,0,0,0,0,0,0,0,0,1,0,0
37,Y,1,0.9494588024044462,0.050541197595553755,bottom_40_lowest_risk,genre_affinity_thriller_crime,5,0,0,0,0,0,1,1,1,1,0,1
38,N,0,0.40201166932845145,0.5979883306715486,risk_10_30,genre_affinity_thriller_crime,5,0,0,0,0,0,1,1,0,0,1,1
39,Y,1,0.5651322027419271,0.4348677972580729,risk_10_30,low_or_no_early_engagement,2,0,1,0,0,0,0,0,0,0,0,1
40,Y,1,0.26473632242707723,0.7352636775729228,top_10_highest_risk,top_decile_high_churn_risk,1,1,1,0,0,1,0,1,0,0,0,0
41,Y,1,0.8734468868412991,0.12655311315870088,risk_30_60,genre_affinity_animation_family,6,0,0,0,0,1,0,0,1,1,0,1
42,Y,1,0.857856981834792,0.14214301816520802,risk_30_60,low_or_no_early_engagement,2,0,1,0,0,0,1,0,0,0,0,1
43,N,0,0.6661555534864194,0.3338444465135806,risk_30_60,low_or_no_early_engagement,2,0,1,0,0,0,0,0,0,0,0,1
44,Y,1,0.975058534203941,0.024941465796059048,bottom_40_lowest_risk,late_heavy_week3_intensive,3,0,0,1,0,0,0,0,1,0,0,1
45,Y,1,0.9653601291636279,0.0346398708363721,bottom_40_lowest_risk,low_or_no_early_engagement,2,0,1,0,1,0,1,0,1,0,0,0
46,N,0,0.5734428013764044,0.42655719862359565,risk_10_30,low_or_no_early_engagement,2,0,1,0,0,0,0,0,0,0,0,1
47,N,0,0.6546058931618077,0.34539410683819227,risk_30_60,low_or_no_early_engagement,2,0,1,0,1,0,0,0,0,0,0,0
48,Y,1,0.9811545607642936,0.018845439235706363,bottom_40_lowest_risk,late_heavy_week3_intensive,3,0,0,1,0,0,1,0,1,0,1,1
50,Y,1,0.8962005560570232,0.1037994439429768,bottom_40_lowest_risk,genre_affinity_drama,7,0,0,0,0,0,1,0,0,1,0,1
51,N,0,0.19832579194760522,0.8016742080523948,top_10_highest_risk,top_decile_high_churn_risk,1,1,0,0,0,1,0,0,0,0,0,1
52,Y,1,0.9561790133677586,0.04382098663224143,bottom_40_lowest_risk,late_heavy_week3_intensive,3,0,0,1,1,0,1,1,1,0,1,1
53,Y,1,0.5463061600252778,0.45369383997472224,risk_10_30,genre_affinity_thriller_crime,5,0,0,0,0,0,0,1,1,0,0,1
54,N,0,0.6700147184737384,0.3299852815262616,risk_30_60,early_routine_stable,9,0,0,0,0,1,0,0,0,0,0,0
55,Y,1,0.8634070526044656,0.1365929473955344,risk_30_60,genre_affinity_action_adventure,8,0,0,0,0,1,0,0,0,0,1,0
56,N,0,0.43830872308728236,0.5616912769127176,risk_10_30,genre_affinity_action_adventure,8,0,0,0,0,1,0,0,0,0,1,1
57,Y,1,0.5357274391930517,0.46427256080694834,risk_10_30,genre_affinity_animation_family,6,0,0,0,0,1,0,0,1,0,0,1
58,Y,1,0.7409096062817148,0.25909039371828524,risk_30_60,low_or_no_early_engagement,2,0,1,0,0,0,0,0,0,0,0,1
59,Y,1,0.588436576343157,0.41156342365684295,risk_10_30,genre_affinity_drama,7,0,0,0,0,1,0,0,0,1,0,1
60,Y,1,0.7338830180572625,0.2661169819427375,risk_30_60,low_or_no_early_engagement,2,0,1,0,0,0,0,0,0,0,0,1
61,N,0,0.5794330462204693,0.4205669537795307,risk_10_30,low_or_no_early_engagement,2,0,1,0,0,0,0,0,0,0,0,0
62,Y,1,0.5142230772795439,0.48577692272045614,risk_10_30,low_or_no_early_engagement,2,0,1,0,0,1,0,1,0,0,0,1
63,N,0,0.29963447942364374,0.7003655205763563,risk_10_30,early_routine_stable,9,0,0,0,0,1,0,0,0,0,0,1
64,Y,1,0.9053634551749427,0.09463654482505734,bottom_40_lowest_risk,late_heavy_week3_intensive,3,0,0,1,1,0,0,0,0,0,0,1
65,Y,1,0.8188847423078567,0.18111525769214332,risk_30_60,genre_affinity_drama,7,0,0,0,0,0,0,0,0,1,1,0
66,Y,1,0.9597697160085782,0.04023028399142181,bottom_40_lowest_risk,late_heavy_week3_intensive,3,0,0,1,0,0,0,0,1,0,0,1
67,Y,1,0.983162544514308,0.016837455485692043,bottom_40_lowest_risk,late_heavy_week3_intensive,3,0,0,1,0,0,0,0,1,0,0,1
68,N,0,0.4133666842227458,0.5866333157772542,risk_10_30,genre_affinity_thriller_crime,5,0,0,0,0,0,0,1,0,0,0,1
69,N,0,0.1857193423961483,0.8142806576038517,top_10_highest_risk,top_decile_high_churn_risk,1,1,1,0,0,0,0,0,0,0,0,1
70,Y,1,0.9660462490849874,0.033953750915012626,bottom_40_lowest_risk,genre_affinity_drama,7,0,0,0,0,0,1,0,0,1,0,1
71,N,0,0.22016236826505198,0.779837631734948,top_10_highest_risk,top_decile_high_churn_risk,1,1,1,0,0,1,0,0,1,0,0,1
72,Y,1,0.6587115861385398,0.34128841386146025,risk_30_60,early_routine_stable,9,0,0,0,0,1,0,0,0,0,0,1
73,Y,1,0.9278167140320653,0.07218328596793466,bottom_40_lowest_risk,genre_affinity_drama,7,0,0,0,0,1,0,0,0,1,1,1
74,Y,1,0.6892149398449781,0.31078506015502194,risk_30_60,delayed_start,4,0,0,0,1,0,1,1,0,0,1,1
75,Y,1,0.9630197363685129,0.0369802636314871,bottom_40_lowest_risk,low_or_no_early_engagement,2,0,1,0,0,0,0,0,1,0,0,1
76,Y,1,0.9428910174849905,0.05710898251500951,bottom_40_lowest_risk,delayed_start,4,0,0,0,1,0,1,0,0,0,0,1
77,Y,1,0.9669988515210806,0.03300114847891944,bottom_40_lowest_risk,genre_affinity_animation_family,6,0,0,0,0,0,1,0,1,0,0,0
78,N,0,0.7313083800506682,0.2686916199493318,risk_30_60,genre_affinity_thriller_crime,5,0,0,0,0,0,1,1,0,0,1,1
79,Y,1,0.9824349909470781,0.01756500905292191,bottom_40_lowest_risk,late_heavy_week3_intensive,3,0,0,1,0,0,0,0,0,1,0,1
80,Y,1,0.3466538169870722,0.6533461830129278,risk_10_30,genre_affinity_animation_family,6,0,0,0,0,0,0,0,1,0,0,1
81,N,0,0.7880007664412868,0.2119992335587132,risk_30_60,genre_affinity_drama,7,0,0,0,0,1,0,0,0,1,0,1
82,N,0,0.6344658011328274,0.36553419886717264,risk_30_60,delayed_start,4,0,0,0,1,0,1,0,0,0,1,1
83,Y,1,0.1831073743777874,0.8168926256222127,top_10_highest_risk,top_decile_high_churn_risk,1,1,1,0,1,0,0,0,0,0,1,1
84,Y,1,0.9466164473065135,0.05338355269348649,bottom_40_lowest_risk,late_heavy_week3_intensive,3,0,0,1,0,0,1,0,0,0,1,1
85,Y,1,0.7501542787292426,0.24984572127075744,risk_30_60,low_or_no_early_engagement,2,0,1,0,0,0,0,0,0,0,0,1
86,Y,1,0.9796923387493973,0.020307661250602682,bottom_40_lowest_risk,late_heavy_week3_intensive,3,0,0,1,1,0,1,1,0,1,1,1
87,Y,1,0.8307532433262306,0.16924675667376943,risk_30_60,low_or_no_early_engagement,2,0,1,0,1,0,0,0,0,0,0,1
88,Y,1,0.9263931135910056,0.07360688640899438,bottom_40_lowest_risk,late_heavy_week3_intensive,3,0,0,1,0,0,0,0,0,1,1,1
89,N,0,0.39645010745881837,0.6035498925411816,risk_10_30,low_or_no_early_engagement,2,0,1,0,0,1,0,0,0,0,1,0
90,N,0,0.23884487660371645,0.7611551233962836,top_10_highest_risk,top_decile_high_churn_risk,1,1,1,0,0,1,0,1,0,1,0,1
91,N,0,0.4760670714870285,0.5239329285129715,risk_10_30,low_or_no_early_engagement,2,0,1,0,0,1,0,0,1,0,0,1
92,Y,1,0.47465097411745916,0.5253490258825408,risk_10_30,genre_affinity_animation_family,6,0,0,0,0,1,0,0,1,0,0,1
93,N,0,0.6686611582110404,0.33133884178895956,risk_30_60,genre_affinity_drama,7,0,0,0,0,0,0,0,0,1,0,1
94,Y,1,0.5291825252146238,0.47081747478537617,risk_10_30,genre_affinity_thriller_crime,5,0,0,0,0,1,0,1,0,1,0,0
95,Y,1,0.9869488285305692,0.0130511714694308,bottom_40_lowest_risk,late_heavy_week3_intensive,3,0,0,1,0,0,1,0,1,0,0,1
96,Y,1,0.934724936552392,0.06527506344760803,bottom_40_lowest_risk,genre_affinity_animation_family,6,0,0,0,0,0,1,0,1,0,1,0
97,Y,1,0.8351469617169127,0.16485303828308728,risk_30_60,genre_affinity_drama,7,0,0,0,0,0,1,0,0,1,0,1
98,Y,1,0.5391837746330291,0.46081622536697087,risk_10_30,genre_affinity_drama,7,0,0,0,0,1,0,0,0,1,0,1
99,Y,1,0.4290293238260026,0.5709706761739974,risk_10_30,low_or_no_early_engagement,2,0,1,0,0,1,0,0,0,1,0,1
100,Y,1,0.9862985399962622,0.013701460003737842,bottom_40_lowest_risk,late_heavy_week3_intensive,3,0,0,1,0,0,0,1,0,0,0,0
101,N,0,0.41946739375796155,0.5805326062420384,risk_10_30,genre_affinity_drama,7,0,0,0,0,0,0,0,0,1,0,1
102,Y,1,0.4025143718665076,0.5974856281334924,risk_10_30,low_or_no_early_engagement,2,0,1,0,0,0,0,0,0,0,1,0
103,N,0,0.41877217212341494,0.581227827876585,risk_10_30,genre_affinity_thriller_crime,5,0,0,0,0,1,0,1,1,0,1,1
104,Y,1,0.9612812411510079,0.03871875884899212,bottom_40_lowest_risk,genre_affinity_animation_family,6,0,0,0,0,0,1,0,1,0,0,1
105,Y,1,0.918472360652261,0.08152763934773899,bottom_40_lowest_risk,genre_affinity_thriller_crime,5,0,0,0,0,0,1,1,0,1,0,1
106,Y,1,0.9332359295247228,0.06676407047527722,bottom_40_lowest_risk,late_heavy_week3_intensive,3,0,0,1,0,0,1,0,0,0,0,0
107,Y,1,0.7730506799396912,0.22694932006030877,risk_30_60,genre_affinity_thriller_crime,5,0,0,0,0,1,0,1,0,1,0,1
108,Y,1,0.970084781424809,0.02991521857519097,bottom_40_lowest_risk,late_heavy_week3_intensive,3,0,0,1,0,0,1,0,0,0,0,1
109,N,0,0.3724166695079524,0.6275833304920476,risk_10_30,low_or_no_early_engagement,2,0,1,0,0,0,0,1,0,0,1,1
110,Y,1,0.5651322027419271,0.4348677972580729,risk_10_30,low_or_no_early_engagement,2,0,1,0,0,0,0,0,0,0,0,1
111,N,0,0.24190573375892754,0.7580942662410725,top_10_highest_risk,top_decile_high_churn_risk,1,1,1,0,1,0,0,0,0,0,0,1
112,Y,1,0.9588257106057866,0.041174289394213415,bottom_40_lowest_risk,late_heavy_week3_intensive,3,0,0,1,0,0,0,0,1,1,0,1
113,Y,1,0.9685054794129266,0.03149452058707336,bottom_40_lowest_risk,late_heavy_week3_intensive,3,0,0,1,0,0,0,0,1,0,0,1
114,Y,1,0.9606918938723339,0.03930810612766611,bottom_40_lowest_risk,high_price_or_promotion_sensitive,10,0,0,0,0,0,1,0,0,0,0,1
115,Y,1,0.32437625623294886,0.6756237437670511,risk_10_30,low_or_no_early_engagement,2,0,1,0,0,1,0,0,0,0,0,0
116,Y,1,0.9502113226113134,0.04978867738868664,bottom_40_lowest_risk,late_heavy_week3_intensive,3,0,0,1,1,0,0,1,1,0,0,1
117,Y,1,0.9095423481908587,0.09045765180914134,bottom_40_lowest_risk,late_heavy_week3_intensive,3,0,0,1,0,0,0,0,0,0,1,1
118,Y,1,0.491617662743293,0.508382337256707,risk_10_30,genre_affinity_action_adventure,8,0,0,0,0,1,0,0,0,0,1,0
119,Y,1,0.8214745992862007,0.1785254007137993,risk_30_60,genre_affinity_drama,7,0,0,0,0,0,1,0,0,1,1,1
120,Y,1,0.3680351761215362,0.6319648238784639,risk_10_30,low_or_no_early_engagement,2,0,1,0,0,1,0,0,1,0,0,1
121,Y,1,0.9668672180370098,0.03313278196299019,bottom_40_lowest_risk,delayed_start,4,0,0,0,1,0,0,0,1,0,0,1
122,N,0,0.8163948003483805,0.18360519965161948,risk_30_60,low_or_no_early_engagement,2,0,1,0,0,0,0,0,1,0,0,1
123,N,0,0.8084402265199827,0.1915597734800173,risk_30_60,late_heavy_week3_intensive,3,0,0,1,0,0,1,0,0,0,0,1
124,Y,1,0.7372512306584362,0.26274876934156377,risk_30_60,low_or_no_early_engagement,2,0,1,0,1,0,0,0,0,1,0,1
125,Y,1,0.9800248555091324,0.01997514449086757,bottom_40_lowest_risk,late_heavy_week3_intensive,3,0,0,1,0,0,0,0,0,0,1,1
126,Y,1,0.92190067945104,0.07809932054895996,bottom_40_lowest_risk,late_heavy_week3_intensive,3,0,0,1,1,0,0,0,0,0,0,1
127,Y,1,0.9710520253099967,0.02894797469000332,bottom_40_lowest_risk,late_heavy_week3_intensive,3,0,0,1,0,0,0,1,0,1,0,1
128,Y,1,0.9132117836821781,0.08678821631782185,bottom_40_lowest_risk,late_heavy_week3_intensive,3,0,0,1,1,0,0,1,0,0,1,0
129,N,0,0.2730226105727572,0.7269773894272429,top_10_highest_risk,top_decile_high_churn_risk,1,1,1,0,1,0,0,0,0,0,1,1
130,Y,1,0.9552706241191353,0.044729375880864675,bottom_40_lowest_risk,late_heavy_week3_intensive,3,0,0,1,0,0,1,1,0,1,0,1
131,Y,1,0.7501542787292426,0.24984572127075744,risk_30_60,low_or_no_early_engagement,2,0,1,0,0,0,0,0,0,0,0,1
132,N,0,0.2341640224669717,0.7658359775330283,top_10_highest_risk,top_decile_high_churn_risk,1,1,1,0,1,0,0,0,0,0,1,1
133,Y,1,0.880009064711365,0.11999093528863503,risk_30_60,late_heavy_week3_intensive,3,0,0,1,0,0,0,0,0,0,0,0
134,N,0,0.4139070360314749,0.5860929639685251,risk_10_30,low_or_no_early_engagement,2,0,1,0,0,1,0,0,1,0,0,0
135,Y,1,0.9361356044112403,0.06386439558875967,bottom_40_lowest_risk,genre_affinity_animation_family,6,0,0,0,0,0,1,0,1,0,0,0
136,Y,1,0.8396286052857844,0.16037139471421558,risk_30_60,high_price_or_promotion_sensitive,10,0,0,0,0,0,1,0,0,0,0,1
137,N,0,0.17099001569794844,0.8290099843020515,top_10_highest_risk,top_decile_high_churn_risk,1,1,1,0,1,0,0,0,0,0,0,1
138,N,0,0.6035091402470973,0.39649085975290266,risk_30_60,genre_affinity_animation_family,6,0,0,0,0,1,0,0,1,0,0,1
139,N,0,0.5651322027419271,0.4348677972580729,risk_10_30,low_or_no_early_engagement,2,0,1,0,0,0,0,0,0,0,0,1
140,N,0,0.8126526130772858,0.18734738692271424,risk_30_60,low_or_no_early_engagement,2,0,1,0,1,0,0,0,0,0,0,0
141,N,0,0.4187209889759563,0.5812790110240438,risk_10_30,genre_affinity_thriller_crime,5,0,0,0,0,0,0,1,0,0,1,1
142,Y,1,0.9308725476998206,0.06912745230017936,bottom_40_lowest_risk,late_heavy_week3_intensive,3,0,0,1,0,0,0,0,1,0,0,1
143,N,0,0.20448388587979666,0.7955161141202034,top_10_highest_risk,top_decile_high_churn_risk,1,1,1,0,0,1,0,1,0,0,0,1
144,Y,1,0.9354009798911782,0.06459902010882179,bottom_40_lowest_risk,high_price_or_promotion_sensitive,10,0,0,0,0,0,1,0,0,0,0,1
145,N,0,0.9794310321231253,0.020568967876874678,bottom_40_lowest_risk,late_heavy_week3_intensive,3,0,0,1,1,0,0,0,1,0,0,0
146,Y,1,0.8929376840482658,0.10706231595173421,risk_30_60,genre_affinity_action_adventure,8,0,0,0,0,0,0,0,0,0,1,1
147,Y,1,0.2986220704624516,0.7013779295375484,risk_10_30,early_routine_stable,9,0,0,0,0,1,0,0,0,0,0,1
148,Y,1,0.6808560418759088,0.31914395812409124,risk_30_60,early_routine_stable,9,0,0,0,0,1,0,0,0,0,0,1
149,Y,1,0.7282407154620013,0.2717592845379987,risk_30_60,low_or_no_early_engagement,2,0,1,0,0,0,0,0,0,0,0,0
150,Y,1,0.8072058540074826,0.19279414599251743,risk_30_60,genre_affinity_animation_family,6,0,0,0,0,0,0,0,1,0,0,1
151,Y,1,0.4011886322633557,0.5988113677366442,risk_10_30,genre_affinity_drama,7,0,0,0,0,1,0,0,0,1,0,1
152,N,0,0.37046429746451864,0.6295357025354813,risk_10_30,low_or_no_early_engagement,2,0,1,0,1,0,1,0,0,0,1,0
153,N,0,0.4415707979097351,0.5584292020902649,risk_10_30,early_routine_stable,9,0,0,0,0,1,0,0,0,0,0,1
154,Y,1,0.9157199358176661,0.08428006418233391,bottom_40_lowest_risk,high_price_or_promotion_sensitive,10,0,0,0,0,0,1,0,0,0,0,1
155,Y,1,0.8880091807564345,0.11199081924356546,risk_30_60,late_heavy_week3_intensive,3,0,0,1,0,0,0,0,0,0,0,1
156,Y,1,0.9800603235759835,0.019939676424016506,bottom_40_lowest_risk,late_heavy_week3_intensive,3,0,0,1,0,0,0,0,1,0,0,0
157,N,0,0.8164920093293598,0.18350799067064016,risk_30_60,genre_affinity_thriller_crime,5,0,0,0,0,0,1,1,0,0,0,1
158,N,0,0.4237786244968371,0.5762213755031629,risk_10_30,genre_affinity_animation_family,6,0,0,0,0,0,0,0,1,0,0,0
159,Y,1,0.9567381964725171,0.04326180352748288,bottom_40_lowest_risk,genre_affinity_animation_family,6,0,0,0,0,0,1,0,1,0,1,1
160,Y,1,0.9579358177565189,0.042064182243481074,bottom_40_lowest_risk,genre_affinity_thriller_crime,5,0,0,0,0,0,1,1,0,0,0,1
161,N,0,0.34535848285359266,0.6546415171464073,risk_10_30,low_or_no_early_engagement,2,0,1,0,0,0,0,1,0,0,0,1
162,Y,1,0.9189978005309022,0.08100219946909781,bottom_40_lowest_risk,genre_affinity_thriller_crime,5,0,0,0,0,1,0,1,0,1,0,0
163,Y,1,0.8399966319234103,0.16000336807658966,risk_30_60,genre_affinity_animation_family,6,0,0,0,0,0,0,0,1,0,1,1
164,Y,1,0.9534754214511673,0.04652457854883274,bottom_40_lowest_risk,late_heavy_week3_intensive,3,0,0,1,0,0,1,1,1,0,0,1
165,N,0,0.9134192614394698,0.08658073856053017,bottom_40_lowest_risk,low_or_no_early_engagement,2,0,1,0,0,1,0,0,0,1,0,1
166,Y,1,0.9223684670898638,0.07763153291013625,bottom_40_lowest_risk,high_price_or_promotion_sensitive,10,0,0,0,0,0,1,0,0,0,0,1
167,Y,1,0.9305773195049305,0.0694226804950695,bottom_40_lowest_risk,low_or_no_early_engagement,2,0,1,0,0,0,0,0,0,1,0,0
168,Y,1,0.28934112875590257,0.7106588712440974,risk_10_30,low_or_no_early_engagement,2,0,1,0,0,0,0,0,1,0,0,1
169,Y,1,0.7857738573361157,0.2142261426638843,risk_30_60,genre_affinity_action_adventure,8,0,0,0,0,1,0,0,0,0,1,1
170,Y,1,0.9244019804226271,0.07559801957737289,bottom_40_lowest_risk,low_or_no_early_engagement,2,0,1,1,1,0,0,1,0,1,0,1
171,Y,1,0.9438662832196832,0.056133716780316756,bottom_40_lowest_risk,late_heavy_week3_intensive,3,0,0,1,0,0,0,0,0,0,0,0
172,N,0,0.18168005990203018,0.8183199400979698,top_10_highest_risk,top_decile_high_churn_risk,1,1,1,0,0,0,0,0,0,0,0,1
173,N,0,0.20960858166974272,0.7903914183302573,top_10_highest_risk,top_decile_high_churn_risk,1,1,1,0,0,0,0,0,0,0,0,0
174,Y,1,0.8924604920622963,0.10753950793770373,risk_30_60,late_heavy_week3_intensive,3,0,0,1,0,0,0,1,1,0,1,1
175,N,0,0.5028037462191574,0.49719625378084265,risk_10_30,genre_affinity_drama,7,0,0,0,0,1,0,0,0,1,0,0
176,Y,1,0.9452445321568202,0.05475546784317975,bottom_40_lowest_risk,genre_affinity_animation_family,6,0,0,0,0,0,1,0,1,0,0,1
177,Y,1,0.9754593761273005,0.024540623872699507,bottom_40_lowest_risk,late_heavy_week3_intensive,3,0,0,1,0,0,0,0,1,1,0,1
178,Y,1,0.948572813319285,0.051427186680715,bottom_40_lowest_risk,genre_affinity_animation_family,6,0,0,0,0,1,0,0,1,0,0,0
179,Y,1,0.8393821702265163,0.1606178297734837,risk_30_60,genre_affinity_thriller_crime,5,0,0,0,0,0,0,1,0,1,0,1
180,Y,1,0.9573001414252583,0.04269985857474168,bottom_40_lowest_risk,genre_affinity_action_adventure,8,0,0,0,0,0,1,0,0,0,1,1
181,Y,1,0.42186557260264185,0.5781344273973581,risk_10_30,low_or_no_early_engagement,2,0,1,0,1,0,0,0,0,0,0,1
182,N,0,0.859823226369348,0.14017677363065195,risk_30_60,late_heavy_week3_intensive,3,0,0,1,0,1,0,1,0,1,0,1
183,N,0,0.24501216399314962,0.7549878360068504,top_10_highest_risk,top_decile_high_churn_risk,1,1,1,0,0,0,0,0,0,0,0,0
184,N,0,0.6492222731425294,0.35077772685747055,risk_30_60,low_or_no_early_engagement,2,0,1,0,0,0,0,0,0,0,1,1
185,Y,1,0.9813881498670753,0.018611850132924657,bottom_40_lowest_risk,late_heavy_week3_intensive,3,0,0,1,0,0,1,1,0,1,0,1
186,Y,1,0.8257508656127841,0.1742491343872159,risk_30_60,genre_affinity_animation_family,6,0,0,0,0,0,1,0,1,0,0,0
187,Y,1,0.9197060886707012,0.08029391132929875,bottom_40_lowest_risk,genre_affinity_animation_family,6,0,0,0,0,0,0,0,1,1,0,1
188,Y,1,0.9169986704307739,0.08300132956922612,bottom_40_lowest_risk,late_heavy_week3_intensive,3,0,0,1,0,0,0,0,0,1,0,1
189,Y,1,0.98409270495268,0.015907295047320025,bottom_40_lowest_risk,late_heavy_week3_intensive,3,0,0,1,0,0,1,1,0,1,1,0
190,N,0,0.9437508297743153,0.05624917022568465,bottom_40_lowest_risk,genre_affinity_animation_family,6,0,0,0,0,0,1,0,1,1,0,1
191,Y,1,0.9659756183437757,0.034024381656224345,bottom_40_lowest_risk,late_heavy_week3_intensive,3,0,0,1,1,0,0,0,0,1,0,1
192,Y,1,0.8353523743961484,0.1646476256038516,risk_30_60,week2_surge_users,11,0,0,0,0,0,1,0,0,0,0,0
193,Y,1,0.9661584044806689,0.03384159551933108,bottom_40_lowest_risk,genre_affinity_animation_family,6,0,0,0,0,0,1,0,1,0,0,1
