representative_segment,rule_feature,dataset_scope,model_name,shap_rank,mean_abs_shap,mean_signed_shap,status,caution
content_preference_target_candidate,documentary_ratio,overall_with_promotion,LightGBM,65,0.0072704986252378,0.0005607944749361,linked_to_16x_SHAP_global_importance,"SHAP is fitted model explanation, not causal evidence."
content_preference_target_candidate,documentary_ratio,overall_without_promotion,LightGBM,67,0.0065405942455257,0.0001033132557123,linked_to_16x_SHAP_global_importance,"SHAP is fitted model explanation, not causal evidence."
content_preference_target_candidate,documentary_ratio,promotion_only,LightGBM,62,0.0053555099724037,0.0002104553485133,linked_to_16x_SHAP_global_importance,"SHAP is fitted model explanation, not causal evidence."
content_preference_target_candidate,documentary_ratio,nonpromotion_only,CatBoost,61,0.0084983283118467,0.0003322150437438,linked_to_16x_SHAP_global_importance,"SHAP is fitted model explanation, not causal evidence."
content_preference_target_candidate,historical_war_ratio,overall_with_promotion,LightGBM,37,0.0319074740258303,-0.0011129938693167,linked_to_16x_SHAP_global_importance,"SHAP is fitted model explanation, not causal evidence."
content_preference_target_candidate,historical_war_ratio,overall_without_promotion,LightGBM,48,0.0272813478318063,-0.0016648470754848,linked_to_16x_SHAP_global_importance,"SHAP is fitted model explanation, not causal evidence."
content_preference_target_candidate,historical_war_ratio,promotion_only,LightGBM,46,0.0285021273604428,-0.003784938003493,linked_to_16x_SHAP_global_importance,"SHAP is fitted model explanation, not causal evidence."
content_preference_target_candidate,historical_war_ratio,nonpromotion_only,CatBoost,57,0.012408509016155,-0.0001055432283972,linked_to_16x_SHAP_global_importance,"SHAP is fitted model explanation, not causal evidence."
content_preference_target_candidate,other_ratio,overall_with_promotion,LightGBM,36,0.0323463420417559,0.0030159189570833,linked_to_16x_SHAP_global_importance,"SHAP is fitted model explanation, not causal evidence."
content_preference_target_candidate,other_ratio,overall_without_promotion,LightGBM,40,0.0331835317136846,0.0018624085707813,linked_to_16x_SHAP_global_importance,"SHAP is fitted model explanation, not causal evidence."
content_preference_target_candidate,other_ratio,promotion_only,LightGBM,39,0.0369389727499054,-0.0008050167640798,linked_to_16x_SHAP_global_importance,"SHAP is fitted model explanation, not causal evidence."
content_preference_target_candidate,other_ratio,nonpromotion_only,CatBoost,43,0.0223115629278467,-0.000351209031104,linked_to_16x_SHAP_global_importance,"SHAP is fitted model explanation, not causal evidence."
stable_retained_user,retention_w2_ratio,overall_with_promotion,LightGBM,3,0.370755076202742,0.0099700924835488,linked_to_16x_SHAP_global_importance,"SHAP is fitted model explanation, not causal evidence."
stable_retained_user,retention_w2_ratio,overall_without_promotion,LightGBM,1,0.3890708473990951,0.0252220765418253,linked_to_16x_SHAP_global_importance,"SHAP is fitted model explanation, not causal evidence."
stable_retained_user,retention_w2_ratio,promotion_only,LightGBM,1,0.4674059416936641,0.0102028695673226,linked_to_16x_SHAP_global_importance,"SHAP is fitted model explanation, not causal evidence."
stable_retained_user,retention_w2_ratio,nonpromotion_only,CatBoost,3,0.327276092813922,-0.0075042198692549,linked_to_16x_SHAP_global_importance,"SHAP is fitted model explanation, not causal evidence."
stable_retained_user,retention_w3_ratio,overall_with_promotion,LightGBM,4,0.3324595234477164,0.0132298260824364,linked_to_16x_SHAP_global_importance,"SHAP is fitted model explanation, not causal evidence."
stable_retained_user,retention_w3_ratio,overall_without_promotion,LightGBM,2,0.353880507324319,0.0218321824054317,linked_to_16x_SHAP_global_importance,"SHAP is fitted model explanation, not causal evidence."
stable_retained_user,retention_w3_ratio,promotion_only,LightGBM,3,0.3662907573999995,0.0221465803646277,linked_to_16x_SHAP_global_importance,"SHAP is fitted model explanation, not causal evidence."
stable_retained_user,retention_w3_ratio,nonpromotion_only,CatBoost,1,0.3686448497326822,0.0166804608149797,linked_to_16x_SHAP_global_importance,"SHAP is fitted model explanation, not causal evidence."
