original_feature_name,safe_model_feature_name,user_decision,decision_reason,model_use_plan,final_status
watch_days,watch_days,approved,approved by user conversation 260515 or covered by all usage/content policy,model_feature,approved
active_ratio,active_ratio,approved,approved by user conversation 260515 or covered by all usage/content policy,model_feature,approved
total_watch_time(min),total_watch_time_min,approved,approved by user conversation 260515 or covered by all usage/content policy,model_feature,approved
watch_per_day,watch_per_day,approved,approved by user conversation 260515 or covered by all usage/content policy,model_feature,approved
avg_watch_time(min),avg_watch_time_min,approved,approved by user conversation 260515 or covered by all usage/content policy,model_feature,approved
median_watch_time(min),median_watch_time_min,approved,approved by user conversation 260515 or covered by all usage/content policy,model_feature,approved
std_watch_time(min),std_watch_time_min,approved,approved by user conversation 260515 or covered by all usage/content policy,model_feature,approved
avg_daily_watch_time(min),avg_daily_watch_time_min,approved,approved by user conversation 260515 or covered by all usage/content policy,model_feature,approved
max_watch_time(min),max_watch_time_min,approved,approved by user conversation 260515 or covered by all usage/content policy,model_feature,approved
max_daily_watch_time(min),max_daily_watch_time_min,approved,approved by user conversation 260515 or covered by all usage/content policy,model_feature,approved
max_daily_sessions,max_daily_sessions,approved,approved by user conversation 260515 or covered by all usage/content policy,model_feature,approved
recency,recency,approved,approved by user conversation 260515 or covered by all usage/content policy,model_feature,approved
avg_gap_between_watch_days,avg_gap_between_watch_days,approved,approved by user conversation 260515 or covered by all usage/content policy,model_feature,approved
avg_gap_w1_watch_days,avg_gap_w1_watch_days,approved,approved by user conversation 260515 or covered by all usage/content policy,model_feature,approved
avg_gap_w2_watch_days,avg_gap_w2_watch_days,approved,approved by user conversation 260515 or covered by all usage/content policy,model_feature,approved
avg_gap_w3_watch_days,avg_gap_w3_watch_days,approved,approved by user conversation 260515 or covered by all usage/content policy,model_feature,approved
max_inactive_gap_days,max_inactive_gap_days,approved,approved by user conversation 260515 or covered by all usage/content policy,model_feature,approved
avg_rewatch_ratio,avg_rewatch_ratio,approved,approved by user conversation 260515 or covered by all usage/content policy,model_feature,approved
weekend_watch_ratio,weekend_watch_ratio,approved,approved by user conversation 260515 or covered by all usage/content policy,model_feature,approved
watch_ratio_under_1m,watch_ratio_under_1m,approved,approved by user conversation 260515 or covered by all usage/content policy,model_feature,approved
watch_ratio_under_5m,watch_ratio_under_5m,approved,approved by user conversation 260515 or covered by all usage/content policy,model_feature,approved
is_cold_start_3d,is_cold_start_3d_original,replaced_by_fixed,original preserved; model uses is_cold_start_3d_fixed,use_fixed_replacement_only,replaced_by_fixed
is_cold_start_7d,is_cold_start_7d_original,replaced_by_fixed,original preserved; model uses is_cold_start_7d_fixed,use_fixed_replacement_only,replaced_by_fixed
movie_per_active_day,movie_per_active_day,approved,approved by user conversation 260515 or covered by all usage/content policy,model_feature,approved
max_day_share,max_day_share,approved,approved by user conversation 260515 or covered by all usage/content policy,model_feature,approved
day_count_over_3times,day_count_over_3times,approved,approved by user conversation 260515 or covered by all usage/content policy,model_feature,approved
watch_time(min)_w1,watch_time_min_w1,approved,approved by user conversation 260515 or covered by all usage/content policy,model_feature,approved
watch_time(min)_w2,watch_time_min_w2,approved,approved by user conversation 260515 or covered by all usage/content policy,model_feature,approved
watch_time(min)_w3,watch_time_min_w3,approved,approved by user conversation 260515 or covered by all usage/content policy,model_feature,approved
watch_session_w1,watch_session_w1,approved,approved by user conversation 260515 or covered by all usage/content policy,model_feature,approved
watch_session_w2,watch_session_w2,approved,approved by user conversation 260515 or covered by all usage/content policy,model_feature,approved
watch_session_w3,watch_session_w3,approved,approved by user conversation 260515 or covered by all usage/content policy,model_feature,approved
retention_w2_ratio,retention_w2_ratio,approved,approved by user conversation 260515 or covered by all usage/content policy,model_feature,approved
retention_w3_ratio,retention_w3_ratio,approved,approved by user conversation 260515 or covered by all usage/content policy,model_feature,approved
diff_between_w2_w1,diff_between_w2_w1,approved,approved by user conversation 260515 or covered by all usage/content policy,model_feature,approved
diff_between_w3_w1,diff_between_w3_w1,approved,approved by user conversation 260515 or covered by all usage/content policy,model_feature,approved
diff_between_w3_w2,diff_between_w3_w2,approved,approved by user conversation 260515 or covered by all usage/content policy,model_feature,approved
is_w1_over_50pct,is_w1_over_50pct,approved,approved by user conversation 260515 or covered by all usage/content policy,model_feature,approved
is_w2_over_50pct,is_w2_over_50pct,approved,approved by user conversation 260515 or covered by all usage/content policy,model_feature,approved
is_w3_over_50pct,is_w3_over_50pct,approved,approved by user conversation 260515 or covered by all usage/content policy,model_feature,approved
is_only_w1,is_only_w1,approved,approved by user conversation 260515 or covered by all usage/content policy,model_feature,approved
is_only_w2,is_only_w2,approved,approved by user conversation 260515 or covered by all usage/content policy,model_feature,approved
is_only_w3,is_only_w3,approved,approved by user conversation 260515 or covered by all usage/content policy,model_feature,approved
new_movie_in_90d_ratio,new_movie_in_90d_ratio,approved,approved by user conversation 260515 or covered by all usage/content policy,model_feature,approved
new_movie_in_180d_ratio,new_movie_in_180d_ratio,approved,approved by user conversation 260515 or covered by all usage/content policy,model_feature,approved
new_movie_in_365d_ratio,new_movie_in_365d_ratio,approved,approved by user conversation 260515 or covered by all usage/content policy,model_feature,approved
old_movie_ratio(5y),old_movie_ratio_5y,approved,approved by user conversation 260515 or covered by all usage/content policy,model_feature,approved
avg_ott_release_year,avg_ott_release_year,approved,approved by user conversation 260515 or covered by all usage/content policy,model_feature,approved
genre_diversity_count,genre_diversity_count,approved,approved by user conversation 260515 or covered by all usage/content policy,model_feature,approved
action_adventure_ratio,action_adventure_ratio,approved,approved by user conversation 260515 or covered by all usage/content policy,model_feature,approved
family_animation_ratio,family_animation_ratio,approved,approved by user conversation 260515 or covered by all usage/content policy,model_feature,approved
drama_ratio,drama_ratio,approved,approved by user conversation 260515 or covered by all usage/content policy,model_feature,approved
thriller_crime_ratio,thriller_crime_ratio,approved,approved by user conversation 260515 or covered by all usage/content policy,model_feature,approved
sf_fantasy_ratio,sf_fantasy_ratio,approved,approved by user conversation 260515 or covered by all usage/content policy,model_feature,approved
comedy_ratio,comedy_ratio,approved,approved by user conversation 260515 or covered by all usage/content policy,model_feature,approved
romance_ratio,romance_ratio,approved,approved by user conversation 260515 or covered by all usage/content policy,model_feature,approved
horror_ratio,horror_ratio,approved,approved by user conversation 260515 or covered by all usage/content policy,model_feature,approved
documentary_ratio,documentary_ratio,approved,approved by user conversation 260515 or covered by all usage/content policy,model_feature,approved
historical_war_ratio,historical_war_ratio,approved,approved by user conversation 260515 or covered by all usage/content policy,model_feature,approved
other_ratio,other_ratio,approved,approved by user conversation 260515 or covered by all usage/content policy,model_feature,approved
is_basic,is_basic,approved,approved by user conversation 260515 or covered by all usage/content policy,model_feature,approved
is_cold_start_3d_fixed,is_cold_start_3d_fixed,approved,approved by user conversation 260515 or covered by all usage/content policy,model_feature,approved
is_cold_start_7d_fixed,is_cold_start_7d_fixed,approved,approved by user conversation 260515 or covered by all usage/content policy,model_feature,approved
