original_feature_name,safe_model_feature_name,rename_rule_applied,collision_check,status
max_day_share,max_day_share,unchanged,unique,ok
day_count_over_3times,day_count_over_3times,unchanged,unique,ok
watch_time(min)_w1,watch_time_min_w1,safe_name_rule_or_policy_replacement,unique,ok
watch_time(min)_w2,watch_time_min_w2,safe_name_rule_or_policy_replacement,unique,ok
watch_time(min)_w3,watch_time_min_w3,safe_name_rule_or_policy_replacement,unique,ok
watch_session_w1,watch_session_w1,unchanged,unique,ok
watch_session_w2,watch_session_w2,unchanged,unique,ok
watch_session_w3,watch_session_w3,unchanged,unique,ok
retention_w2_ratio,retention_w2_ratio,unchanged,unique,ok
retention_w3_ratio,retention_w3_ratio,unchanged,unique,ok
diff_between_w2_w1,diff_between_w2_w1,unchanged,unique,ok
diff_between_w3_w1,diff_between_w3_w1,unchanged,unique,ok
diff_between_w3_w2,diff_between_w3_w2,unchanged,unique,ok
is_w1_over_50pct,is_w1_over_50pct,unchanged,unique,ok
is_w2_over_50pct,is_w2_over_50pct,unchanged,unique,ok
is_w3_over_50pct,is_w3_over_50pct,unchanged,unique,ok
is_only_w1,is_only_w1,unchanged,unique,ok
is_only_w2,is_only_w2,unchanged,unique,ok
is_only_w3,is_only_w3,unchanged,unique,ok
new_movie_in_90d_ratio,new_movie_in_90d_ratio,unchanged,unique,ok
new_movie_in_180d_ratio,new_movie_in_180d_ratio,unchanged,unique,ok
new_movie_in_365d_ratio,new_movie_in_365d_ratio,unchanged,unique,ok
old_movie_ratio(5y),old_movie_ratio_5y,safe_name_rule_or_policy_replacement,unique,ok
avg_ott_release_year,avg_ott_release_year,unchanged,unique,ok
genre_diversity_count,genre_diversity_count,unchanged,unique,ok
action_adventure_ratio,action_adventure_ratio,unchanged,unique,ok
family_animation_ratio,family_animation_ratio,unchanged,unique,ok
drama_ratio,drama_ratio,unchanged,unique,ok
thriller_crime_ratio,thriller_crime_ratio,unchanged,unique,ok
sf_fantasy_ratio,sf_fantasy_ratio,unchanged,unique,ok
comedy_ratio,comedy_ratio,unchanged,unique,ok
romance_ratio,romance_ratio,unchanged,unique,ok
horror_ratio,horror_ratio,unchanged,unique,ok
documentary_ratio,documentary_ratio,unchanged,unique,ok
historical_war_ratio,historical_war_ratio,unchanged,unique,ok
other_ratio,other_ratio,unchanged,unique,ok
is_basic,is_basic,unchanged,unique,ok
is_cold_start_3d_fixed,is_cold_start_3d_fixed,unchanged,unique,ok
is_cold_start_7d_fixed,is_cold_start_7d_fixed,unchanged,unique,ok
