column_name,why_human_review_needed,what_question_to_ask_user_or_team,possible_safe_interpretation,possible_leakage_interpretation,temporary_status_for_modeling
reg_hour,"meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.","이 컬럼은 정확히 어떤 원천 데이터와 어떤 기간(day 0~20, day21 이후, 전체 기간 등)으로 산출되었는가?",scoring day 21 이전에 알려졌고 day 0~20 관측창 또는 사전/정적 정보만 사용했다면 제한적으로 후보가 될 수 있다.,"day21 이후 반응, 사후 확정 종료, 재구매/이탈 결과, 전체 기간 사용량을 포함했다면 제외해야 한다.",review
end_date,"scheduled-vs-posthoc end date unresolved. Evidence: end date or duration timing unresolved. Conservative rule: uncertain columns remain review, not approved.","이 컬럼은 정확히 어떤 원천 데이터와 어떤 기간(day 0~20, day21 이후, 전체 기간 등)으로 산출되었는가?",scoring day 21 이전에 알려졌고 day 0~20 관측창 또는 사전/정적 정보만 사용했다면 제한적으로 후보가 될 수 있다.,"day21 이후 반응, 사후 확정 종료, 재구매/이탈 결과, 전체 기간 사용량을 포함했다면 제외해야 한다.",no
is_repurchase,"target; positive class means repurchase. Evidence: id/target/split control column. Conservative rule: uncertain columns remain review, not approved.","이 컬럼은 정확히 어떤 원천 데이터와 어떤 기간(day 0~20, day21 이후, 전체 기간 등)으로 산출되었는가?",scoring day 21 이전에 알려졌고 day 0~20 관측창 또는 사전/정적 정보만 사용했다면 제한적으로 후보가 될 수 있다.,"day21 이후 반응, 사후 확정 종료, 재구매/이탈 결과, 전체 기간 사용량을 포함했다면 제외해야 한다.",no
is_standard,"meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.","이 컬럼은 정확히 어떤 원천 데이터와 어떤 기간(day 0~20, day21 이후, 전체 기간 등)으로 산출되었는가?",scoring day 21 이전에 알려졌고 day 0~20 관측창 또는 사전/정적 정보만 사용했다면 제한적으로 후보가 될 수 있다.,"day21 이후 반응, 사후 확정 종료, 재구매/이탈 결과, 전체 기간 사용량을 포함했다면 제외해야 한다.",review
is_premium,"meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.","이 컬럼은 정확히 어떤 원천 데이터와 어떤 기간(day 0~20, day21 이후, 전체 기간 등)으로 산출되었는가?",scoring day 21 이전에 알려졌고 day 0~20 관측창 또는 사전/정적 정보만 사용했다면 제한적으로 후보가 될 수 있다.,"day21 이후 반응, 사후 확정 종료, 재구매/이탈 결과, 전체 기간 사용량을 포함했다면 제외해야 한다.",review
age_group,"membership metadata requires semantic review. Evidence: likely static/subscription context but semantic review required. Conservative rule: uncertain columns remain review, not approved.","이 컬럼은 정확히 어떤 원천 데이터와 어떤 기간(day 0~20, day21 이후, 전체 기간 등)으로 산출되었는가?",scoring day 21 이전에 알려졌고 day 0~20 관측창 또는 사전/정적 정보만 사용했다면 제한적으로 후보가 될 수 있다.,"day21 이후 반응, 사후 확정 종료, 재구매/이탈 결과, 전체 기간 사용량을 포함했다면 제외해야 한다.",review
is_female,"meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.","이 컬럼은 정확히 어떤 원천 데이터와 어떤 기간(day 0~20, day21 이후, 전체 기간 등)으로 산출되었는가?",scoring day 21 이전에 알려졌고 day 0~20 관측창 또는 사전/정적 정보만 사용했다면 제한적으로 후보가 될 수 있다.,"day21 이후 반응, 사후 확정 종료, 재구매/이탈 결과, 전체 기간 사용량을 포함했다면 제외해야 한다.",review
is_male,"meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.","이 컬럼은 정확히 어떤 원천 데이터와 어떤 기간(day 0~20, day21 이후, 전체 기간 등)으로 산출되었는가?",scoring day 21 이전에 알려졌고 day 0~20 관측창 또는 사전/정적 정보만 사용했다면 제한적으로 후보가 될 수 있다.,"day21 이후 반응, 사후 확정 종료, 재구매/이탈 결과, 전체 기간 사용량을 포함했다면 제외해야 한다.",review
reg_is_weekend,"meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.","이 컬럼은 정확히 어떤 원천 데이터와 어떤 기간(day 0~20, day21 이후, 전체 기간 등)으로 산출되었는가?",scoring day 21 이전에 알려졌고 day 0~20 관측창 또는 사전/정적 정보만 사용했다면 제한적으로 후보가 될 수 있다.,"day21 이후 반응, 사후 확정 종료, 재구매/이탈 결과, 전체 기간 사용량을 포함했다면 제외해야 한다.",review
reg_hour_morning,"meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.","이 컬럼은 정확히 어떤 원천 데이터와 어떤 기간(day 0~20, day21 이후, 전체 기간 등)으로 산출되었는가?",scoring day 21 이전에 알려졌고 day 0~20 관측창 또는 사전/정적 정보만 사용했다면 제한적으로 후보가 될 수 있다.,"day21 이후 반응, 사후 확정 종료, 재구매/이탈 결과, 전체 기간 사용량을 포함했다면 제외해야 한다.",review
reg_hour_afternoon,"meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.","이 컬럼은 정확히 어떤 원천 데이터와 어떤 기간(day 0~20, day21 이후, 전체 기간 등)으로 산출되었는가?",scoring day 21 이전에 알려졌고 day 0~20 관측창 또는 사전/정적 정보만 사용했다면 제한적으로 후보가 될 수 있다.,"day21 이후 반응, 사후 확정 종료, 재구매/이탈 결과, 전체 기간 사용량을 포함했다면 제외해야 한다.",review
reg_hour_evening,"meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.","이 컬럼은 정확히 어떤 원천 데이터와 어떤 기간(day 0~20, day21 이후, 전체 기간 등)으로 산출되었는가?",scoring day 21 이전에 알려졌고 day 0~20 관측창 또는 사전/정적 정보만 사용했다면 제한적으로 후보가 될 수 있다.,"day21 이후 반응, 사후 확정 종료, 재구매/이탈 결과, 전체 기간 사용량을 포함했다면 제외해야 한다.",review
reg_hour_night,"meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.","이 컬럼은 정확히 어떤 원천 데이터와 어떤 기간(day 0~20, day21 이후, 전체 기간 등)으로 산출되었는가?",scoring day 21 이전에 알려졌고 day 0~20 관측창 또는 사전/정적 정보만 사용했다면 제한적으로 후보가 될 수 있다.,"day21 이후 반응, 사후 확정 종료, 재구매/이탈 결과, 전체 기간 사용량을 포함했다면 제외해야 한다.",review
payment_is_mobile,"meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.","이 컬럼은 정확히 어떤 원천 데이터와 어떤 기간(day 0~20, day21 이후, 전체 기간 등)으로 산출되었는가?",scoring day 21 이전에 알려졌고 day 0~20 관측창 또는 사전/정적 정보만 사용했다면 제한적으로 후보가 될 수 있다.,"day21 이후 반응, 사후 확정 종료, 재구매/이탈 결과, 전체 기간 사용량을 포함했다면 제외해야 한다.",review
payment_is_pc,"meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.","이 컬럼은 정확히 어떤 원천 데이터와 어떤 기간(day 0~20, day21 이후, 전체 기간 등)으로 산출되었는가?",scoring day 21 이전에 알려졌고 day 0~20 관측창 또는 사전/정적 정보만 사용했다면 제한적으로 후보가 될 수 있다.,"day21 이후 반응, 사후 확정 종료, 재구매/이탈 결과, 전체 기간 사용량을 포함했다면 제외해야 한다.",review
payment_is_android,"meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.","이 컬럼은 정확히 어떤 원천 데이터와 어떤 기간(day 0~20, day21 이후, 전체 기간 등)으로 산출되었는가?",scoring day 21 이전에 알려졌고 day 0~20 관측창 또는 사전/정적 정보만 사용했다면 제한적으로 후보가 될 수 있다.,"day21 이후 반응, 사후 확정 종료, 재구매/이탈 결과, 전체 기간 사용량을 포함했다면 제외해야 한다.",review
payment_is_ios,"meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.","이 컬럼은 정확히 어떤 원천 데이터와 어떤 기간(day 0~20, day21 이후, 전체 기간 등)으로 산출되었는가?",scoring day 21 이전에 알려졌고 day 0~20 관측창 또는 사전/정적 정보만 사용했다면 제한적으로 후보가 될 수 있다.,"day21 이후 반응, 사후 확정 종료, 재구매/이탈 결과, 전체 기간 사용량을 포함했다면 제외해야 한다.",review
total_watch_count,"total usage window unresolved. Evidence: total/all-period window unresolved. Conservative rule: uncertain columns remain review, not approved.","이 컬럼은 정확히 어떤 원천 데이터와 어떤 기간(day 0~20, day21 이후, 전체 기간 등)으로 산출되었는가?",scoring day 21 이전에 알려졌고 day 0~20 관측창 또는 사전/정적 정보만 사용했다면 제한적으로 후보가 될 수 있다.,"day21 이후 반응, 사후 확정 종료, 재구매/이탈 결과, 전체 기간 사용량을 포함했다면 제외해야 한다.",review
unique_movie,"meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.","이 컬럼은 정확히 어떤 원천 데이터와 어떤 기간(day 0~20, day21 이후, 전체 기간 등)으로 산출되었는가?",scoring day 21 이전에 알려졌고 day 0~20 관측창 또는 사전/정적 정보만 사용했다면 제한적으로 후보가 될 수 있다.,"day21 이후 반응, 사후 확정 종료, 재구매/이탈 결과, 전체 기간 사용량을 포함했다면 제외해야 한다.",review
watch_days,"meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.","이 컬럼은 정확히 어떤 원천 데이터와 어떤 기간(day 0~20, day21 이후, 전체 기간 등)으로 산출되었는가?",scoring day 21 이전에 알려졌고 day 0~20 관측창 또는 사전/정적 정보만 사용했다면 제한적으로 후보가 될 수 있다.,"day21 이후 반응, 사후 확정 종료, 재구매/이탈 결과, 전체 기간 사용량을 포함했다면 제외해야 한다.",review
active_ratio,"genre/content ratio window unresolved. Evidence: content/recency construction window unresolved. Conservative rule: uncertain columns remain review, not approved.","이 컬럼은 정확히 어떤 원천 데이터와 어떤 기간(day 0~20, day21 이후, 전체 기간 등)으로 산출되었는가?",scoring day 21 이전에 알려졌고 day 0~20 관측창 또는 사전/정적 정보만 사용했다면 제한적으로 후보가 될 수 있다.,"day21 이후 반응, 사후 확정 종료, 재구매/이탈 결과, 전체 기간 사용량을 포함했다면 제외해야 한다.",review
total_watch_time(min),"total usage window unresolved. Evidence: total/all-period window unresolved. Conservative rule: uncertain columns remain review, not approved.","이 컬럼은 정확히 어떤 원천 데이터와 어떤 기간(day 0~20, day21 이후, 전체 기간 등)으로 산출되었는가?",scoring day 21 이전에 알려졌고 day 0~20 관측창 또는 사전/정적 정보만 사용했다면 제한적으로 후보가 될 수 있다.,"day21 이후 반응, 사후 확정 종료, 재구매/이탈 결과, 전체 기간 사용량을 포함했다면 제외해야 한다.",review
watch_per_day,"meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.","이 컬럼은 정확히 어떤 원천 데이터와 어떤 기간(day 0~20, day21 이후, 전체 기간 등)으로 산출되었는가?",scoring day 21 이전에 알려졌고 day 0~20 관측창 또는 사전/정적 정보만 사용했다면 제한적으로 후보가 될 수 있다.,"day21 이후 반응, 사후 확정 종료, 재구매/이탈 결과, 전체 기간 사용량을 포함했다면 제외해야 한다.",review
avg_watch_time(min),"meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.","이 컬럼은 정확히 어떤 원천 데이터와 어떤 기간(day 0~20, day21 이후, 전체 기간 등)으로 산출되었는가?",scoring day 21 이전에 알려졌고 day 0~20 관측창 또는 사전/정적 정보만 사용했다면 제한적으로 후보가 될 수 있다.,"day21 이후 반응, 사후 확정 종료, 재구매/이탈 결과, 전체 기간 사용량을 포함했다면 제외해야 한다.",review
median_watch_time(min),"meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.","이 컬럼은 정확히 어떤 원천 데이터와 어떤 기간(day 0~20, day21 이후, 전체 기간 등)으로 산출되었는가?",scoring day 21 이전에 알려졌고 day 0~20 관측창 또는 사전/정적 정보만 사용했다면 제한적으로 후보가 될 수 있다.,"day21 이후 반응, 사후 확정 종료, 재구매/이탈 결과, 전체 기간 사용량을 포함했다면 제외해야 한다.",review
std_watch_time(min),"meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.","이 컬럼은 정확히 어떤 원천 데이터와 어떤 기간(day 0~20, day21 이후, 전체 기간 등)으로 산출되었는가?",scoring day 21 이전에 알려졌고 day 0~20 관측창 또는 사전/정적 정보만 사용했다면 제한적으로 후보가 될 수 있다.,"day21 이후 반응, 사후 확정 종료, 재구매/이탈 결과, 전체 기간 사용량을 포함했다면 제외해야 한다.",review
avg_daily_watch_time(min),"meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.","이 컬럼은 정확히 어떤 원천 데이터와 어떤 기간(day 0~20, day21 이후, 전체 기간 등)으로 산출되었는가?",scoring day 21 이전에 알려졌고 day 0~20 관측창 또는 사전/정적 정보만 사용했다면 제한적으로 후보가 될 수 있다.,"day21 이후 반응, 사후 확정 종료, 재구매/이탈 결과, 전체 기간 사용량을 포함했다면 제외해야 한다.",review
max_watch_time(min),"meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.","이 컬럼은 정확히 어떤 원천 데이터와 어떤 기간(day 0~20, day21 이후, 전체 기간 등)으로 산출되었는가?",scoring day 21 이전에 알려졌고 day 0~20 관측창 또는 사전/정적 정보만 사용했다면 제한적으로 후보가 될 수 있다.,"day21 이후 반응, 사후 확정 종료, 재구매/이탈 결과, 전체 기간 사용량을 포함했다면 제외해야 한다.",review
max_daily_watch_time(min),"meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.","이 컬럼은 정확히 어떤 원천 데이터와 어떤 기간(day 0~20, day21 이후, 전체 기간 등)으로 산출되었는가?",scoring day 21 이전에 알려졌고 day 0~20 관측창 또는 사전/정적 정보만 사용했다면 제한적으로 후보가 될 수 있다.,"day21 이후 반응, 사후 확정 종료, 재구매/이탈 결과, 전체 기간 사용량을 포함했다면 제외해야 한다.",review
max_daily_sessions,"meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.","이 컬럼은 정확히 어떤 원천 데이터와 어떤 기간(day 0~20, day21 이후, 전체 기간 등)으로 산출되었는가?",scoring day 21 이전에 알려졌고 day 0~20 관측창 또는 사전/정적 정보만 사용했다면 제한적으로 후보가 될 수 있다.,"day21 이후 반응, 사후 확정 종료, 재구매/이탈 결과, 전체 기간 사용량을 포함했다면 제외해야 한다.",review
recency,"recency reference date unresolved. Evidence: content/recency construction window unresolved. Conservative rule: uncertain columns remain review, not approved.","이 컬럼은 정확히 어떤 원천 데이터와 어떤 기간(day 0~20, day21 이후, 전체 기간 등)으로 산출되었는가?",scoring day 21 이전에 알려졌고 day 0~20 관측창 또는 사전/정적 정보만 사용했다면 제한적으로 후보가 될 수 있다.,"day21 이후 반응, 사후 확정 종료, 재구매/이탈 결과, 전체 기간 사용량을 포함했다면 제외해야 한다.",review
avg_gap_between_watch_days,"meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.","이 컬럼은 정확히 어떤 원천 데이터와 어떤 기간(day 0~20, day21 이후, 전체 기간 등)으로 산출되었는가?",scoring day 21 이전에 알려졌고 day 0~20 관측창 또는 사전/정적 정보만 사용했다면 제한적으로 후보가 될 수 있다.,"day21 이후 반응, 사후 확정 종료, 재구매/이탈 결과, 전체 기간 사용량을 포함했다면 제외해야 한다.",review
avg_gap_w1_watch_days,"explicit week1 behavior within observation window if construction matches name. Evidence: explicit week1. Conservative rule: uncertain columns remain review, not approved.","이 컬럼은 정확히 어떤 원천 데이터와 어떤 기간(day 0~20, day21 이후, 전체 기간 등)으로 산출되었는가?",scoring day 21 이전에 알려졌고 day 0~20 관측창 또는 사전/정적 정보만 사용했다면 제한적으로 후보가 될 수 있다.,"day21 이후 반응, 사후 확정 종료, 재구매/이탈 결과, 전체 기간 사용량을 포함했다면 제외해야 한다.",eligible_under_current_name_based_policy
avg_gap_w2_watch_days,"explicit week2 behavior/change within observation window if construction matches name. Evidence: explicit week2. Conservative rule: uncertain columns remain review, not approved.","이 컬럼은 정확히 어떤 원천 데이터와 어떤 기간(day 0~20, day21 이후, 전체 기간 등)으로 산출되었는가?",scoring day 21 이전에 알려졌고 day 0~20 관측창 또는 사전/정적 정보만 사용했다면 제한적으로 후보가 될 수 있다.,"day21 이후 반응, 사후 확정 종료, 재구매/이탈 결과, 전체 기간 사용량을 포함했다면 제외해야 한다.",eligible_under_current_name_based_policy
avg_gap_w3_watch_days,"explicit week3 behavior/change within observation window if construction matches name. Evidence: explicit week3. Conservative rule: uncertain columns remain review, not approved.","이 컬럼은 정확히 어떤 원천 데이터와 어떤 기간(day 0~20, day21 이후, 전체 기간 등)으로 산출되었는가?",scoring day 21 이전에 알려졌고 day 0~20 관측창 또는 사전/정적 정보만 사용했다면 제한적으로 후보가 될 수 있다.,"day21 이후 반응, 사후 확정 종료, 재구매/이탈 결과, 전체 기간 사용량을 포함했다면 제외해야 한다.",eligible_under_current_name_based_policy
max_inactive_gap_days,"meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.","이 컬럼은 정확히 어떤 원천 데이터와 어떤 기간(day 0~20, day21 이후, 전체 기간 등)으로 산출되었는가?",scoring day 21 이전에 알려졌고 day 0~20 관측창 또는 사전/정적 정보만 사용했다면 제한적으로 후보가 될 수 있다.,"day21 이후 반응, 사후 확정 종료, 재구매/이탈 결과, 전체 기간 사용량을 포함했다면 제외해야 한다.",review
avg_rewatch_ratio,"genre/content ratio window unresolved. Evidence: content/recency construction window unresolved. Conservative rule: uncertain columns remain review, not approved.","이 컬럼은 정확히 어떤 원천 데이터와 어떤 기간(day 0~20, day21 이후, 전체 기간 등)으로 산출되었는가?",scoring day 21 이전에 알려졌고 day 0~20 관측창 또는 사전/정적 정보만 사용했다면 제한적으로 후보가 될 수 있다.,"day21 이후 반응, 사후 확정 종료, 재구매/이탈 결과, 전체 기간 사용량을 포함했다면 제외해야 한다.",review
weekend_watch_ratio,"genre/content ratio window unresolved. Evidence: content/recency construction window unresolved. Conservative rule: uncertain columns remain review, not approved.","이 컬럼은 정확히 어떤 원천 데이터와 어떤 기간(day 0~20, day21 이후, 전체 기간 등)으로 산출되었는가?",scoring day 21 이전에 알려졌고 day 0~20 관측창 또는 사전/정적 정보만 사용했다면 제한적으로 후보가 될 수 있다.,"day21 이후 반응, 사후 확정 종료, 재구매/이탈 결과, 전체 기간 사용량을 포함했다면 제외해야 한다.",review
watch_ratio_under_1m,"genre/content ratio window unresolved. Evidence: content/recency construction window unresolved. Conservative rule: uncertain columns remain review, not approved.","이 컬럼은 정확히 어떤 원천 데이터와 어떤 기간(day 0~20, day21 이후, 전체 기간 등)으로 산출되었는가?",scoring day 21 이전에 알려졌고 day 0~20 관측창 또는 사전/정적 정보만 사용했다면 제한적으로 후보가 될 수 있다.,"day21 이후 반응, 사후 확정 종료, 재구매/이탈 결과, 전체 기간 사용량을 포함했다면 제외해야 한다.",review
watch_ratio_under_5m,"genre/content ratio window unresolved. Evidence: content/recency construction window unresolved. Conservative rule: uncertain columns remain review, not approved.","이 컬럼은 정확히 어떤 원천 데이터와 어떤 기간(day 0~20, day21 이후, 전체 기간 등)으로 산출되었는가?",scoring day 21 이전에 알려졌고 day 0~20 관측창 또는 사전/정적 정보만 사용했다면 제한적으로 후보가 될 수 있다.,"day21 이후 반응, 사후 확정 종료, 재구매/이탈 결과, 전체 기간 사용량을 포함했다면 제외해야 한다.",review
is_cold_start_3d,"content-derived window unresolved. Evidence: content/recency construction window unresolved. Conservative rule: uncertain columns remain review, not approved.","이 컬럼은 정확히 어떤 원천 데이터와 어떤 기간(day 0~20, day21 이후, 전체 기간 등)으로 산출되었는가?",scoring day 21 이전에 알려졌고 day 0~20 관측창 또는 사전/정적 정보만 사용했다면 제한적으로 후보가 될 수 있다.,"day21 이후 반응, 사후 확정 종료, 재구매/이탈 결과, 전체 기간 사용량을 포함했다면 제외해야 한다.",review
is_cold_start_7d,"content-derived window unresolved. Evidence: content/recency construction window unresolved. Conservative rule: uncertain columns remain review, not approved.","이 컬럼은 정확히 어떤 원천 데이터와 어떤 기간(day 0~20, day21 이후, 전체 기간 등)으로 산출되었는가?",scoring day 21 이전에 알려졌고 day 0~20 관측창 또는 사전/정적 정보만 사용했다면 제한적으로 후보가 될 수 있다.,"day21 이후 반응, 사후 확정 종료, 재구매/이탈 결과, 전체 기간 사용량을 포함했다면 제외해야 한다.",review
movie_per_active_day,"meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.","이 컬럼은 정확히 어떤 원천 데이터와 어떤 기간(day 0~20, day21 이후, 전체 기간 등)으로 산출되었는가?",scoring day 21 이전에 알려졌고 day 0~20 관측창 또는 사전/정적 정보만 사용했다면 제한적으로 후보가 될 수 있다.,"day21 이후 반응, 사후 확정 종료, 재구매/이탈 결과, 전체 기간 사용량을 포함했다면 제외해야 한다.",review
max_day_share,"meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.","이 컬럼은 정확히 어떤 원천 데이터와 어떤 기간(day 0~20, day21 이후, 전체 기간 등)으로 산출되었는가?",scoring day 21 이전에 알려졌고 day 0~20 관측창 또는 사전/정적 정보만 사용했다면 제한적으로 후보가 될 수 있다.,"day21 이후 반응, 사후 확정 종료, 재구매/이탈 결과, 전체 기간 사용량을 포함했다면 제외해야 한다.",review
