column_order,column_name,dtype,missing_count,missing_rate,nunique,sample_values,min,max,mean,zero_count,zero_rate,constant_flag,binary_flag,high_cardinality_flag,contains_korean_or_special_chars,raw_name_risk
17,is_premium,int64,0,0.0,2,1 | 0,0.0,1.0,0.16231846806323094,19554.0,0.8376815319367691,no,yes,no,no,no
18,age_group,int64,0,0.0,7,20 | 40 | 30 | 60 | 50,10.0,70.0,31.812534807008525,0.0,0.0,no,no,no,no,no
19,is_female,int64,0,0.0,2,1 | 0,0.0,1.0,0.5333076296962687,10894.0,0.4666923703037313,no,yes,no,no,no
20,is_male,int64,0,0.0,2,0 | 1,0.0,1.0,0.31375572976909566,16019.0,0.6862442702309043,no,yes,no,no,no
21,reg_is_weekend,int64,0,0.0,2,1 | 0,0.0,1.0,0.3586514158420083,14971.0,0.6413485841579917,no,yes,no,no,no
22,reg_hour_morning,int64,0,0.0,2,0 | 1,0.0,1.0,0.19153493552671036,18872.0,0.8084650644732896,no,yes,no,no,no
23,reg_hour_afternoon,int64,0,0.0,2,0 | 1,0.0,1.0,0.24075740050550487,17723.0,0.7592425994944951,no,yes,no,no,no
24,reg_hour_evening,int64,0,0.0,2,1 | 0,0.0,1.0,0.3870110954033329,14309.0,0.6129889045966671,no,yes,no,no,no
25,reg_hour_night,int64,0,0.0,2,0 | 1,0.0,1.0,0.18069656856445188,19125.0,0.8193034314355482,no,yes,no,no,no
26,payment_is_mobile,int64,0,0.0,2,0 | 1,0.0,1.0,0.15422182238786789,19743.0,0.8457781776121321,no,yes,no,no,no
27,payment_is_pc,int64,0,0.0,2,1 | 0,0.0,1.0,0.19479072955489868,18796.0,0.8052092704451013,no,yes,no,no,no
28,payment_is_android,int64,0,0.0,2,0 | 1,0.0,1.0,0.468063230947179,12417.0,0.531936769052821,no,yes,no,no,no
29,payment_is_ios,int64,0,0.0,2,0 | 1,0.0,1.0,0.16574561967185023,19474.0,0.8342543803281498,no,yes,no,no,no
30,total_watch_count,int64,0,0.0,60,13 | 3 | 2 | 0 | 8,0.0,104.0,6.676691085121878,1445.0,0.06190292593068586,no,no,no,no,no
31,unique_movie,int64,0,0.0,42,10 | 3 | 2 | 0 | 6,0.0,67.0,4.663796427194448,1445.0,0.06190292593068586,no,no,no,no,no
32,watch_days,int64,0,0.0,20,9 | 2 | 1 | 0 | 5,0.0,20.0,3.563852118408088,1445.0,0.06190292593068586,no,no,no,no,no
33,active_ratio,float64,0,0.0,20,0.428571 | 0.095238 | 0.047619 | 0.0 | 0.238095,0.0,0.952381,0.1697070920190207,1445.0,0.06190292593068586,no,no,no,no,no
34,total_watch_time(min),int64,0,0.0,1547,518 | 4 | 129 | 0 | 492,0.0,6474.0,297.7448914021334,1445.0,0.06190292593068586,no,no,no,yes,yes
35,watch_per_day,float64,0,0.0,239,1.444444 | 1.5 | 2.0 | 0.0 | 1.6,0.0,18.0,1.747834093347042,1445.0,0.06190292593068586,no,no,no,no,no
36,avg_watch_time(min),float64,0,0.0,5290,39.846154 | 1.333333 | 64.5 | 0.0 | 61.5,0.0,200.0,42.36636200291308,1445.0,0.06190292593068586,no,no,no,yes,yes
37,median_watch_time(min),float64,0,0.0,331,13.0 | 1.0 | 64.5 | 0.0 | 36.5,0.0,200.0,36.65482157391938,1445.0,0.06190292593068586,no,no,no,yes,yes
38,std_watch_time(min),float64,0,0.0,15547,57.936526 | 0.57735 | 89.802561 | 0.0 | 52.183741,0.0,140.714249,32.562296011952185,4304.0,0.1843807565437176,no,no,yes,yes,yes
39,avg_daily_watch_time(min),float64,0,0.0,3896,57.555556 | 2.0 | 129.0 | 0.0 | 98.4,0.0,755.0,73.83754616433193,1445.0,0.06190292593068586,no,no,no,yes,yes
40,max_watch_time(min),int64,0,0.0,201,200 | 2 | 128 | 0 | 138,0.0,200.0,90.3076725356638,1445.0,0.06190292593068586,no,no,no,yes,yes
41,max_daily_watch_time(min),int64,0,0.0,634,201 | 3 | 129 | 0 | 235,0.0,1248.0,129.31529794799297,1445.0,0.06190292593068586,no,no,no,yes,yes
42,max_daily_sessions,int64,0,0.0,27,2 | 0 | 10 | 11 | 3,0.0,39.0,2.712419140641734,1445.0,0.06190292593068586,no,no,no,no,no
43,recency,int64,0,0.0,22,4 | 13 | 10 | 21 | 2,0.0,21.0,6.299961444544403,4052.0,0.17358522897656686,no,no,no,no,no
44,avg_gap_between_watch_days,float64,0,0.0,118,2.0 | 1.0 | 0.0 | 2.75 | 2.285714,0.0,20.0,3.287498988347685,5533.0,0.2370303731311314,no,no,no,no,no
45,avg_gap_w1_watch_days,float64,0,0.0,13,3.0 | 0.0 | 2.0 | 1.0 | 5.0,0.0,6.0,0.6745812448699824,15771.0,0.6756201002441845,no,no,no,no,no
46,avg_gap_w2_watch_days,float64,0,0.0,13,1.0 | 0.0 | 2.0 | 4.0 | 5.0,0.0,6.0,0.6502884518699397,15719.0,0.673392451698582,no,no,no,no,no
47,avg_gap_w3_watch_days,float64,0,0.0,13,0.0 | 1.0 | 3.0 | 5.0 | 2.0,0.0,6.0,0.6791307889731397,15648.0,0.6703508546459324,no,no,no,no,no
48,max_inactive_gap_days,int64,0,0.0,21,5 | 1 | 0 | 6 | 4,0.0,20.0,5.122392151822816,5533.0,0.2370303731311314,no,no,no,no,no
49,avg_rewatch_ratio,float64,0,0.0,169,0.230769 | 0.0 | 0.25 | 0.5 | 0.090909,0.0,0.5,0.14961981073555242,9071.0,0.3885961530223193,no,no,no,no,no
50,weekend_watch_ratio,float64,0,0.0,319,0.153846 | 0.0 | 0.875 | 0.545455 | 0.222222,0.0,1.0,0.36483115285096174,7683.0,0.3291350726127747,no,no,no,no,no
51,watch_ratio_under_1m,float64,0,0.0,289,0.307692 | 0.666667 | 0.5 | 0.0 | 0.125,0.0,1.0,0.21009610889774236,10247.0,0.43897528166902283,no,no,no,no,no
52,watch_ratio_under_5m,float64,0,0.0,311,0.384615 | 1.0 | 0.5 | 0.0 | 0.125,0.0,1.0,0.3058180454954376,7428.0,0.3182110268603007,no,no,no,no,no
53,is_cold_start_3d,int64,0,0.0,2,1 | 0,0.0,1.0,0.4633508974853275,12527.0,0.5366491025146725,no,yes,no,no,no
54,is_cold_start_7d,int64,0,0.0,2,1 | 0,0.0,1.0,0.6792186094332348,7488.0,0.3207813905667652,no,yes,no,no,no
55,movie_per_active_day,float64,0,0.0,226,1.111111 | 1.5 | 2.0 | 0.0 | 1.2,0.0,15.0,1.2864902117979693,1445.0,0.06190292593068586,no,no,no,no,no
56,max_day_share,float64,0,0.0,12004,0.388031 | 0.75 | 1.0 | 0.0 | 0.477642,0.0,1.0,0.577177352482543,1445.0,0.06190292593068586,no,no,yes,no,no
57,day_count_over_3times,int64,0,0.0,12,0 | 2 | 1 | 5 | 3,0.0,11.0,0.7140898770509361,13060.0,0.5594825001070984,no,no,no,no,no
58,watch_time(min)_w1,int64,0,0.0,857,191 | 3 | 0 | 99 | 26,0.0,4766.0,100.3973353896243,8452.0,0.3620785674506276,no,no,no,yes,yes
59,watch_time(min)_w2,int64,0,0.0,851,313 | 1 | 129 | 0 | 214,0.0,2957.0,98.21659598166474,8649.0,0.3705179282868526,no,no,no,yes,yes
60,watch_time(min)_w3,int64,0,0.0,842,14 | 0 | 278 | 170 | 52,0.0,2691.0,99.13096003084436,8463.0,0.36254980079681276,no,no,no,yes,yes
61,watch_session_w1,int64,0,0.0,36,3 | 2 | 0 | 4 | 6,0.0,70.0,2.2487683673906522,8452.0,0.3620785674506276,no,no,no,no,no
62,watch_session_w2,int64,0,0.0,36,8 | 1 | 2 | 0 | 5,0.0,60.0,2.21372574219252,8649.0,0.3705179282868526,no,no,no,no,no
63,watch_session_w3,int64,0,0.0,37,2 | 0 | 3 | 11 | 5,0.0,41.0,2.214196975538705,8463.0,0.36254980079681276,no,no,no,no,no
64,retention_w2_ratio,float64,0,0.0,8635,1.635417 | 0.5 | 130.0 | 1.0 | 215.0,0.000681,2958.0,29.37226169746819,0.0,0.0,no,no,no,no,no
65,retention_w3_ratio,float64,0,0.0,8540,0.047771 | 0.5 | 0.007692 | 1.0 | 1.297674,0.000889,2692.0,31.365464842907937,0.0,0.0,no,no,no,no,no
66,diff_between_w2_w1,int64,0,0.0,1385,122 | -2 | 129 | 0 | 214,-3444.0,2957.0,-2.1807394079595595,3881.0,0.16625969241314312,no,no,no,no,no
67,diff_between_w3_w1,int64,0,0.0,1486,-177 | -3 | 0 | 278 | -99,-4380.0,2691.0,-1.266375358779934,3411.0,0.14612517671250483,no,no,no,no,no
68,diff_between_w3_w2,int64,0,0.0,1409,-299 | -1 | -129 | 0 | 64,-1824.0,2691.0,0.9143640491796255,3850.0,0.16493167116480315,no,no,no,no,no
69,is_w1_over_50pct,int64,0,0.0,2,0 | 1,0.0,1.0,0.2917791200788245,16532.0,0.7082208799211756,no,yes,no,no,no
70,is_w2_over_50pct,int64,0,0.0,2,1 | 0,0.0,1.0,0.2636336374930386,17189.0,0.7363663625069614,no,yes,no,no,no
71,is_w3_over_50pct,int64,0,0.0,2,0 | 1,0.0,1.0,0.28346827742792274,16726.0,0.7165317225720773,no,yes,no,no,no
72,is_only_w1,int64,0,0.0,2,0 | 1,0.0,1.0,0.09874480572334318,21038.0,0.9012551942766568,no,yes,no,no,no
73,is_only_w2,int64,0,0.0,2,0 | 1,0.0,1.0,0.07942423852975196,21489.0,0.920575761470248,no,yes,no,no,no
74,is_only_w3,int64,0,0.0,2,0 | 1,0.0,1.0,0.10015850576189864,21005.0,0.8998414942381013,no,yes,no,no,no
75,new_movie_in_90d_ratio,float64,0,0.0,234,0.230769 | 0.333333 | 0.5 | 0.0 | 0.181818,0.0,1.0,0.17113173178254723,14834.0,0.6354795870282312,no,no,no,no,no
76,new_movie_in_180d_ratio,float64,0,0.0,250,0.230769 | 0.333333 | 0.5 | 0.0 | 0.318182,0.0,1.0,0.2068858903311485,13780.0,0.5903268645846721,no,no,no,no,no
77,new_movie_in_365d_ratio,float64,0,0.0,275,0.384615 | 0.333333 | 0.5 | 0.0 | 0.409091,0.0,1.0,0.2561969611446686,12006.0,0.5143297776635394,no,no,no,no,no
78,old_movie_ratio(5y),float64,0,0.0,225,0.0 | 0.181818 | 1.0 | 0.333333 | 0.285714,0.0,1.0,0.16465227194448015,12448.0,0.5332647903011609,no,no,no,yes,yes
79,avg_ott_release_year,float64,0,0.0,15059,2019.405405 | 2019.25 | 2018.023256 | 0.0 | 2019.636179,0.0,2021.0,1892.9237138303129,1445.0,0.06190292593068586,no,no,yes,no,no
80,genre_diversity_count,int64,0,0.0,12,6 | 2 | 0 | 5 | 1,0.0,11.0,2.9195047765925546,1445.0,0.06190292593068586,no,no,no,no,no
81,action_adventure_ratio,float64,0,0.0,6052,0.22973 | 0.75 | 0.0 | 0.231884 | 0.003145,0.0,1.0,0.10454140616030501,15301.0,0.6554855845435462,no,no,no,no,no
82,family_animation_ratio,float64,0,0.0,4103,0.003861 | 0.0 | 0.16083 | 0.105263 | 0.776,0.0,1.0,0.10753774896114465,17512.0,0.7502034871267618,no,no,no,no,no
83,drama_ratio,float64,0,0.0,8057,0.389961 | 0.25 | 0.0 | 0.050725 | 0.378407,0.0,1.0,0.16920270976309815,12264.0,0.5253823416013366,no,no,no,no,no
84,thriller_crime_ratio,float64,0,0.0,6632,0.361004 | 0.0 | 0.992248 | 0.542683 | 1.0,0.0,1.0,0.1215494316497451,14600.0,0.6254551685730197,no,no,no,no,no
85,sf_fantasy_ratio,float64,0,0.0,5247,0.0 | 0.087398 | 1.0 | 0.780876 | 0.260736,0.0,1.0,0.11623112924645504,16146.0,0.6916848734095875,no,no,no,no,no
86,comedy_ratio,float64,0,0.0,5466,0.0 | 0.007752 | 0.184783 | 0.367273 | 0.309816,0.0,1.0,0.08828339215182282,16056.0,0.6878293278498908,no,no,no,no,no
87,romance_ratio,float64,0,0.0,5414,0.013514 | 0.0 | 0.121951 | 0.40942 | 0.154088,0.0,1.0,0.09418490429679134,16069.0,0.6883862399862914,no,no,no,no,no
88,horror_ratio,float64,0,0.0,2335,0.0 | 0.245935 | 0.065217 | 0.01153 | 0.005348,0.0,1.0,0.02620404922246498,20543.0,0.880049693698325,no,no,no,no,no
89,documentary_ratio,float64,0,0.0,1945,0.0 | 0.002033 | 0.022013 | 0.087426 | 0.15,0.0,1.0,0.018728900141370002,20990.0,0.8991989033114852,no,no,no,no,no
90,historical_war_ratio,float64,0,0.0,4233,0.0 | 0.025362 | 0.430818 | 0.026738 | 0.052632,0.0,1.0,0.06617794075311656,18267.0,0.7825472304331063,no,no,no,no,no
91,other_ratio,float64,0,0.0,1923,0.001931 | 0.0 | 0.123772 | 0.23 | 0.103448,0.0,1.0,0.02545546862014308,20875.0,0.894272372874095,no,no,no,no,no
