dataset,feature_set,model_name,risk_decile,n,avg_risk_score,avg_proba_repurchase,actual_repurchase_rate,actual_churn_rate,churn_count,churn_capture_rate
overall,content_added,gradient_boosting,10,373,0.1642235347660193,0.8357764652339806,0.8150134048257373,0.18498659517426275,69,0.05693069306930693
overall,content_added,hist_gradient_boosting,1,374,0.5536841266227546,0.44631587337724543,0.44919786096256686,0.5508021390374331,206,0.16996699669966997
overall,content_added,hist_gradient_boosting,2,373,0.4528523406833713,0.5471476593166287,0.546916890080429,0.45308310991957107,169,0.13943894389438943
overall,content_added,hist_gradient_boosting,3,373,0.4046140191041718,0.5953859808958282,0.6032171581769437,0.3967828418230563,148,0.12211221122112212
overall,content_added,hist_gradient_boosting,4,373,0.36075567428004074,0.6392443257199593,0.6085790884718498,0.3914209115281501,146,0.12046204620462046
overall,content_added,hist_gradient_boosting,5,373,0.3261810237692043,0.6738189762307957,0.7024128686327078,0.2975871313672922,111,0.09158415841584158
overall,content_added,hist_gradient_boosting,6,373,0.2905918972559231,0.7094081027440768,0.7211796246648794,0.27882037533512066,104,0.0858085808580858
overall,content_added,hist_gradient_boosting,7,373,0.2575993363383369,0.742400663661663,0.7506702412868632,0.24932975871313673,93,0.07673267326732673
overall,content_added,hist_gradient_boosting,8,373,0.2342950266184587,0.7657049733815413,0.7426273458445041,0.257372654155496,96,0.07920792079207921
overall,content_added,hist_gradient_boosting,9,373,0.2152116762332925,0.7847883237667075,0.7855227882037533,0.21447721179624665,80,0.066006600660066
overall,content_added,hist_gradient_boosting,10,373,0.17542167830483024,0.8245783216951698,0.8418230563002681,0.1581769436997319,59,0.04867986798679868
overall,content_added,lightgbm,1,374,0.6135999811965873,0.38640001880341274,0.446524064171123,0.553475935828877,207,0.1707920792079208
overall,content_added,lightgbm,2,373,0.47823185845125743,0.5217681415487425,0.5924932975871313,0.4075067024128686,152,0.1254125412541254
overall,content_added,lightgbm,3,373,0.4114814259685643,0.5885185740314357,0.6246648793565683,0.3753351206434316,140,0.11551155115511551
overall,content_added,lightgbm,4,373,0.3633718017218073,0.6366281982781927,0.6219839142091153,0.3780160857908847,141,0.11633663366336634
overall,content_added,lightgbm,5,373,0.3210700611078755,0.6789299388921245,0.6729222520107239,0.32707774798927614,122,0.10066006600660066
overall,content_added,lightgbm,6,373,0.28156321988788124,0.7184367801121188,0.7024128686327078,0.2975871313672922,111,0.09158415841584158
overall,content_added,lightgbm,7,373,0.2466592637000897,0.7533407362999104,0.7426273458445041,0.257372654155496,96,0.07920792079207921
overall,content_added,lightgbm,8,373,0.21461515202002912,0.785384847979971,0.7721179624664879,0.22788203753351208,85,0.07013201320132013
overall,content_added,lightgbm,9,373,0.17830660229667378,0.8216933977033263,0.7533512064343163,0.24664879356568364,92,0.07590759075907591
overall,content_added,lightgbm,10,373,0.11641579670512603,0.883584203294874,0.8230563002680965,0.1769436997319035,66,0.054455445544554455
overall,content_added,logistic,1,374,0.7412602565755312,0.2587397434244688,0.4679144385026738,0.5320855614973262,199,0.16419141914191418
overall,content_added,logistic,2,373,0.6385731362995437,0.36142686370045635,0.5495978552278821,0.450402144772118,168,0.13861386138613863
overall,content_added,logistic,3,373,0.5830892008439471,0.4169107991560529,0.5924932975871313,0.4075067024128686,152,0.1254125412541254
overall,content_added,logistic,4,373,0.5387871864431053,0.4612128135568947,0.6568364611260054,0.34316353887399464,128,0.10561056105610561
overall,content_added,logistic,5,373,0.5004813764292884,0.4995186235707116,0.6809651474530831,0.3190348525469169,119,0.09818481848184818
overall,content_added,logistic,6,373,0.46720036942611365,0.5327996305738864,0.7131367292225201,0.2868632707774799,107,0.08828382838283828
overall,content_added,logistic,7,373,0.4292163998135072,0.5707836001864928,0.739946380697051,0.26005361930294907,97,0.08003300330033003
overall,content_added,logistic,8,373,0.3893820445750509,0.6106179554249491,0.774798927613941,0.225201072386059,84,0.06930693069306931
overall,content_added,logistic,9,373,0.34624126646217207,0.6537587335378279,0.7640750670241286,0.2359249329758713,88,0.07260726072607261
overall,content_added,logistic,10,373,0.26228452568441163,0.7377154743155884,0.8123324396782842,0.1876675603217158,70,0.057755775577557754
overall,content_added,random_forest,1,374,0.6804127227987954,0.3195872772012045,0.44919786096256686,0.5508021390374331,206,0.16996699669966997
overall,content_added,random_forest,2,373,0.5885818800160778,0.41141811998392225,0.5683646112600537,0.4316353887399464,161,0.13283828382838284
overall,content_added,random_forest,3,373,0.5360578023422569,0.46394219765774314,0.6085790884718498,0.3914209115281501,146,0.12046204620462046
overall,content_added,random_forest,4,373,0.4953893305725127,0.5046106694274872,0.6032171581769437,0.3967828418230563,148,0.12211221122112212
overall,content_added,random_forest,5,373,0.46197676701670903,0.5380232329832909,0.6675603217158177,0.3324396782841823,124,0.10231023102310231
overall,content_added,random_forest,6,373,0.4328814994196337,0.5671185005803663,0.7292225201072386,0.2707774798927614,101,0.08333333333333333
overall,content_added,random_forest,7,373,0.40435131743980357,0.5956486825601964,0.7694369973190348,0.23056300268096513,86,0.07095709570957096
overall,content_added,random_forest,8,373,0.37701475890647157,0.6229852410935284,0.7479892761394102,0.2520107238605898,94,0.07755775577557755
overall,content_added,random_forest,9,373,0.348080477075541,0.651919522924459,0.7855227882037533,0.21447721179624665,80,0.066006600660066
overall,content_added,random_forest,10,373,0.29774647826788386,0.7022535217321161,0.8230563002680965,0.1769436997319035,66,0.054455445544554455
overall,content_added,xgboost,1,374,0.5783398747444153,0.4216601550579071,0.45187165775401067,0.5481283422459893,205,0.16914191419141913
overall,content_added,xgboost,2,373,0.4637383222579956,0.5362616777420044,0.5656836461126006,0.4343163538873995,162,0.13366336633663367
overall,content_added,xgboost,3,373,0.40423473715782166,0.5957652926445007,0.5898123324396782,0.4101876675603217,153,0.12623762376237624
overall,content_added,xgboost,4,373,0.3576605021953583,0.6423395276069641,0.5924932975871313,0.4075067024128686,152,0.1254125412541254
overall,content_added,xgboost,5,373,0.32300087809562683,0.6769991517066956,0.6916890080428955,0.30831099195710454,115,0.09488448844884488
overall,content_added,xgboost,6,373,0.29144755005836487,0.7085524797439575,0.7345844504021448,0.26541554959785524,99,0.08168316831683169
overall,content_added,xgboost,7,373,0.26192399859428406,0.7380759716033936,0.7506702412868632,0.24932975871313673,93,0.07673267326732673
overall,content_added,xgboost,8,373,0.2336021214723587,0.7663978338241577,0.7533512064343163,0.24664879356568364,92,0.07590759075907591
overall,content_added,xgboost,9,373,0.20390155911445618,0.7960984110832214,0.8123324396782842,0.1876675603217158,70,0.057755775577557754
overall,content_added,xgboost,10,373,0.1544152796268463,0.8455847501754761,0.8096514745308311,0.1903485254691689,71,0.05858085808580858
overall,core_reduced,catboost,1,374,0.5705104087422845,0.4294895912577154,0.46524064171123,0.5347593582887701,200,0.16501650165016502
overall,core_reduced,catboost,2,373,0.4618817593495602,0.5381182406504398,0.5335120643431636,0.46648793565683644,174,0.14356435643564355
overall,core_reduced,catboost,3,373,0.40438715064911906,0.5956128493508809,0.5737265415549598,0.4262734584450402,159,0.1311881188118812
overall,core_reduced,catboost,4,373,0.3566148171351083,0.6433851828648918,0.6675603217158177,0.3324396782841823,124,0.10231023102310231
overall,core_reduced,catboost,5,373,0.3202961948596746,0.6797038051403254,0.7050938337801609,0.2949061662198391,110,0.09075907590759076
overall,core_reduced,catboost,6,373,0.2914761543163033,0.7085238456836966,0.67828418230563,0.32171581769436997,120,0.09900990099009901
overall,core_reduced,catboost,7,373,0.26387998949440666,0.7361200105055933,0.7345844504021448,0.26541554959785524,99,0.08168316831683169
overall,core_reduced,catboost,8,373,0.23366148367790704,0.7663385163220929,0.7319034852546917,0.2680965147453083,100,0.08250825082508251
overall,core_reduced,catboost,9,373,0.20376773247411745,0.7962322675258826,0.8310991957104558,0.16890080428954424,63,0.05198019801980198
overall,core_reduced,catboost,10,373,0.15439443714169687,0.8456055628583032,0.8310991957104558,0.16890080428954424,63,0.05198019801980198
overall,core_reduced,dummy,1,374,1.0,0.0,0.6684491978609626,0.3315508021390374,124,0.10231023102310231
overall,core_reduced,dummy,2,373,1.0,0.0,0.6675603217158177,0.3324396782841823,124,0.10231023102310231
overall,core_reduced,dummy,3,373,1.0,0.0,0.646112600536193,0.353887399463807,132,0.10891089108910891
overall,core_reduced,dummy,4,373,0.22788203753351208,0.7721179624664879,0.6916890080428955,0.30831099195710454,115,0.09488448844884488
overall,core_reduced,dummy,5,373,0.0,1.0,0.7050938337801609,0.2949061662198391,110,0.09075907590759076
overall,core_reduced,dummy,6,373,0.0,1.0,0.6514745308310992,0.3485254691689008,130,0.10726072607260725
overall,core_reduced,dummy,7,373,0.0,1.0,0.6970509383378016,0.30294906166219837,113,0.09323432343234324
overall,core_reduced,dummy,8,373,0.0,1.0,0.7050938337801609,0.2949061662198391,110,0.09075907590759076
overall,core_reduced,dummy,9,373,0.0,1.0,0.6300268096514745,0.3699731903485255,138,0.11386138613861387
overall,core_reduced,dummy,10,373,0.0,1.0,0.6890080428954424,0.3109919571045576,116,0.09570957095709572
overall,core_reduced,extra_trees,1,374,0.6877957411675572,0.3122042588324428,0.45989304812834225,0.5401069518716578,202,0.16666666666666666
overall,core_reduced,extra_trees,2,373,0.6151565186969409,0.3848434813030592,0.5495978552278821,0.450402144772118,168,0.13861386138613863
overall,core_reduced,extra_trees,3,373,0.5629057498654031,0.43709425013459685,0.5844504021447721,0.4155495978552279,155,0.12788778877887788
overall,core_reduced,extra_trees,4,373,0.5241729304701047,0.47582706952989523,0.646112600536193,0.353887399463807,132,0.10891089108910891
overall,core_reduced,extra_trees,5,373,0.4915342482664225,0.5084657517335776,0.6890080428954424,0.3109919571045576,116,0.09570957095709572
overall,core_reduced,extra_trees,6,373,0.45943566104289685,0.5405643389571031,0.7372654155495979,0.26273458445040215,98,0.08085808580858085
overall,core_reduced,extra_trees,7,373,0.4283869485729252,0.5716130514270747,0.7292225201072386,0.2707774798927614,101,0.08333333333333333
overall,core_reduced,extra_trees,8,373,0.40161955448868586,0.5983804455113142,0.7184986595174263,0.28150134048257375,105,0.08663366336633663
overall,core_reduced,extra_trees,9,373,0.3730790531291474,0.6269209468708525,0.8016085790884718,0.19839142091152814,74,0.06105610561056106
overall,core_reduced,extra_trees,10,373,0.3213695150206966,0.6786304849793034,0.8364611260053619,0.16353887399463807,61,0.05033003300330033
overall,core_reduced,gradient_boosting,1,374,0.5799947832045174,0.42000521679548264,0.4625668449197861,0.5374331550802139,201,0.16584158415841585
overall,core_reduced,gradient_boosting,2,373,0.4679217888276845,0.5320782111723155,0.5201072386058981,0.47989276139410186,179,0.1476897689768977
overall,core_reduced,gradient_boosting,3,373,0.4019411966608965,0.5980588033391036,0.6193029490616622,0.3806970509383378,142,0.11716171617161716
overall,core_reduced,gradient_boosting,4,373,0.35467755567503034,0.6453224443249697,0.6300268096514745,0.3699731903485255,138,0.11386138613861387
overall,core_reduced,gradient_boosting,5,373,0.3201154851457347,0.6798845148542654,0.67828418230563,0.32171581769436997,120,0.09900990099009901
overall,core_reduced,gradient_boosting,6,373,0.2902135234458477,0.7097864765541524,0.7292225201072386,0.2707774798927614,101,0.08333333333333333
overall,core_reduced,gradient_boosting,7,373,0.2616289308005882,0.7383710691994118,0.7506702412868632,0.24932975871313673,93,0.07673267326732673
overall,core_reduced,gradient_boosting,8,373,0.2339465794561562,0.7660534205438437,0.7345844504021448,0.26541554959785524,99,0.08168316831683169
overall,core_reduced,gradient_boosting,9,373,0.20620185371029126,0.7937981462897088,0.8123324396782842,0.1876675603217158,70,0.057755775577557754
overall,core_reduced,gradient_boosting,10,373,0.1615700404559267,0.8384299595440733,0.8150134048257373,0.18498659517426275,69,0.05693069306930693
overall,core_reduced,hist_gradient_boosting,1,374,0.5540022927676153,0.4459977072323847,0.45187165775401067,0.5481283422459893,205,0.16914191419141913
overall,core_reduced,hist_gradient_boosting,2,373,0.4569262592875844,0.5430737407124155,0.5495978552278821,0.450402144772118,168,0.13861386138613863
overall,core_reduced,hist_gradient_boosting,3,373,0.4041571109946698,0.5958428890053302,0.6032171581769437,0.3967828418230563,148,0.12211221122112212
overall,core_reduced,hist_gradient_boosting,4,373,0.36211977550940533,0.6378802244905947,0.6702412868632708,0.3297587131367292,123,0.10148514851485149
overall,core_reduced,hist_gradient_boosting,5,373,0.32740730467918466,0.6725926953208153,0.6621983914209115,0.3378016085790885,126,0.10396039603960396
overall,core_reduced,hist_gradient_boosting,6,373,0.29430878440501584,0.7056912155949842,0.7050938337801609,0.2949061662198391,110,0.09075907590759076
overall,core_reduced,hist_gradient_boosting,7,373,0.26287108496322964,0.7371289150367704,0.7372654155495979,0.26273458445040215,98,0.08085808580858085
overall,core_reduced,hist_gradient_boosting,8,373,0.23583664156874637,0.7641633584312536,0.7667560321715817,0.23324396782841822,87,0.07178217821782178
overall,core_reduced,hist_gradient_boosting,9,373,0.21054594956158595,0.789454050438414,0.7855227882037533,0.21447721179624665,80,0.066006600660066
overall,core_reduced,hist_gradient_boosting,10,373,0.16675340367955335,0.8332465963204467,0.8203753351206434,0.17962466487935658,67,0.05528052805280528
overall,core_reduced,lightgbm,1,374,0.6169008915128791,0.3830991084871209,0.4385026737967914,0.5614973262032086,210,0.17326732673267325
overall,core_reduced,lightgbm,2,373,0.4831526388123237,0.5168473611876763,0.6246648793565683,0.3753351206434316,140,0.11551155115511551
overall,core_reduced,lightgbm,3,373,0.41345524937559325,0.5865447506244068,0.6032171581769437,0.3967828418230563,148,0.12211221122112212
overall,core_reduced,lightgbm,4,373,0.36373573108452406,0.6362642689154759,0.5978552278820375,0.40214477211796246,150,0.12376237623762376
overall,core_reduced,lightgbm,5,373,0.32192165217037094,0.6780783478296291,0.7158176943699732,0.28418230563002683,106,0.08745874587458746
overall,core_reduced,lightgbm,6,373,0.2849422643554601,0.7150577356445398,0.6890080428954424,0.3109919571045576,116,0.09570957095709572
overall,core_reduced,lightgbm,7,373,0.25228905808676777,0.7477109419132323,0.7265415549597856,0.2734584450402145,102,0.08415841584158416
overall,core_reduced,lightgbm,8,373,0.21649549495170475,0.7835045050482952,0.7533512064343163,0.24664879356568364,92,0.07590759075907591
overall,core_reduced,lightgbm,9,373,0.17853708955033995,0.8214629104496601,0.8096514745308311,0.1903485254691689,71,0.05858085808580858
overall,core_reduced,lightgbm,10,373,0.11596258380216622,0.8840374161978337,0.7935656836461126,0.2064343163538874,77,0.06353135313531354
overall,core_reduced,logistic,1,374,0.7075410903268934,0.2924589096731066,0.4893048128342246,0.5106951871657754,191,0.15759075907590758
overall,core_reduced,logistic,2,373,0.6144459483488764,0.3855540516511236,0.5871313672922251,0.4128686327077748,154,0.12706270627062707
overall,core_reduced,logistic,3,373,0.5634372292050245,0.4365627707949755,0.6005361930294906,0.39946380697050937,149,0.12293729372937294
overall,core_reduced,logistic,4,373,0.5308789202950454,0.4691210797049546,0.6353887399463807,0.3646112600536193,136,0.11221122112211221
overall,core_reduced,logistic,5,373,0.5039096445718046,0.4960903554281954,0.7238605898123325,0.2761394101876676,103,0.08498349834983498
overall,core_reduced,logistic,6,373,0.47427346248248864,0.5257265375175113,0.707774798927614,0.29222520107238603,109,0.08993399339933994
overall,core_reduced,logistic,7,373,0.4434941481948823,0.5565058518051177,0.6809651474530831,0.3190348525469169,119,0.09818481848184818
overall,core_reduced,logistic,8,373,0.4115113717328094,0.5884886282671906,0.7506702412868632,0.24932975871313673,93,0.07673267326732673
overall,core_reduced,logistic,9,373,0.36760056129810725,0.6323994387018927,0.7828418230563002,0.21715817694369974,81,0.06683168316831684
overall,core_reduced,logistic,10,373,0.2951862476298689,0.7048137523701311,0.7935656836461126,0.2064343163538874,77,0.06353135313531354
overall,core_reduced,random_forest,1,374,0.6768113865753935,0.3231886134246064,0.446524064171123,0.553475935828877,207,0.1707920792079208
overall,core_reduced,random_forest,2,373,0.6007322861461368,0.39926771385386317,0.5388739946380697,0.46112600536193027,172,0.1419141914191419
overall,core_reduced,random_forest,3,373,0.5519703457792932,0.4480296542207068,0.6166219839142091,0.38337801608579086,143,0.11798679867986799
overall,core_reduced,random_forest,4,373,0.5136612513861526,0.48633874861384746,0.6246648793565683,0.3753351206434316,140,0.11551155115511551
overall,core_reduced,random_forest,5,373,0.4782735300109864,0.5217264699890136,0.7050938337801609,0.2949061662198391,110,0.09075907590759076
overall,core_reduced,random_forest,6,373,0.44295278685862693,0.5570472131413731,0.7372654155495979,0.26273458445040215,98,0.08085808580858085
overall,core_reduced,random_forest,7,373,0.4120261818782307,0.5879738181217693,0.7024128686327078,0.2975871313672922,111,0.09158415841584158
overall,core_reduced,random_forest,8,373,0.38176578961460333,0.6182342103853966,0.7426273458445041,0.257372654155496,96,0.07920792079207921
overall,core_reduced,random_forest,9,373,0.35068747068351563,0.6493125293164844,0.8123324396782842,0.1876675603217158,70,0.057755775577557754
overall,core_reduced,random_forest,10,373,0.2968024526609473,0.7031975473390527,0.8257372654155496,0.1742627345844504,65,0.05363036303630363
overall,core_reduced,xgboost,1,374,0.584449291229248,0.41555070877075195,0.4625668449197861,0.5374331550802139,201,0.16584158415841585
overall,core_reduced,xgboost,2,373,0.47005873918533325,0.5299412608146667,0.4959785522788204,0.5040214477211796,188,0.1551155115511551
overall,core_reduced,xgboost,3,373,0.403676301240921,0.5963237285614014,0.6219839142091153,0.3780160857908847,141,0.11633663366336634
overall,core_reduced,xgboost,4,373,0.3576565384864807,0.6423434615135193,0.6568364611260054,0.34316353887399464,128,0.10561056105610561
overall,core_reduced,xgboost,5,373,0.3215712308883667,0.6784287691116333,0.6702412868632708,0.3297587131367292,123,0.10148514851485149
overall,core_reduced,xgboost,6,373,0.2898383140563965,0.7101616859436035,0.7453083109919572,0.2546916890080429,95,0.07838283828382839
overall,core_reduced,xgboost,7,373,0.2614021301269531,0.7385978698730469,0.7184986595174263,0.28150134048257375,105,0.08663366336633663
overall,core_reduced,xgboost,8,373,0.23393848538398743,0.7660614848136902,0.739946380697051,0.26005361930294907,97,0.08003300330033003
overall,core_reduced,xgboost,9,373,0.20369845628738403,0.796301543712616,0.8176943699731903,0.18230563002680966,68,0.056105610561056105
overall,core_reduced,xgboost,10,373,0.1539415568113327,0.8460584282875061,0.8230563002680965,0.1769436997319035,66,0.054455445544554455
overall,promotion_plan_focused,catboost,1,374,0.5823644679547092,0.4176355320452908,0.47058823529411764,0.5294117647058824,198,0.16336633663366337
overall,promotion_plan_focused,catboost,2,373,0.4729631563996994,0.5270368436003007,0.4959785522788204,0.5040214477211796,188,0.1551155115511551
overall,promotion_plan_focused,catboost,3,373,0.40583530863007794,0.594164691369922,0.6112600536193029,0.38873994638069703,145,0.11963696369636964
overall,promotion_plan_focused,catboost,4,373,0.3586811518526373,0.6413188481473626,0.6380697050938338,0.36193029490616624,135,0.11138613861386139
overall,promotion_plan_focused,catboost,5,373,0.32396838606723755,0.6760316139327625,0.67828418230563,0.32171581769436997,120,0.09900990099009901
overall,promotion_plan_focused,catboost,6,373,0.29292392377658055,0.7070760762234195,0.7184986595174263,0.28150134048257375,105,0.08663366336633663
overall,promotion_plan_focused,catboost,7,373,0.2595977701085257,0.7404022298914743,0.7587131367292225,0.24128686327077747,90,0.07425742574257425
overall,promotion_plan_focused,catboost,8,373,0.22931081244827223,0.7706891875517278,0.7533512064343163,0.24664879356568364,92,0.07590759075907591
overall,promotion_plan_focused,catboost,9,373,0.19959995231107192,0.8004000476889281,0.8203753351206434,0.17962466487935658,67,0.05528052805280528
overall,promotion_plan_focused,catboost,10,373,0.14979754541928894,0.8502024545807111,0.806970509383378,0.19302949061662197,72,0.0594059405940594
overall,promotion_plan_focused,dummy,1,374,1.0,0.0,0.6684491978609626,0.3315508021390374,124,0.10231023102310231
overall,promotion_plan_focused,dummy,2,373,1.0,0.0,0.6675603217158177,0.3324396782841823,124,0.10231023102310231
overall,promotion_plan_focused,dummy,3,373,1.0,0.0,0.646112600536193,0.353887399463807,132,0.10891089108910891
overall,promotion_plan_focused,dummy,4,373,0.22788203753351208,0.7721179624664879,0.6916890080428955,0.30831099195710454,115,0.09488448844884488
overall,promotion_plan_focused,dummy,5,373,0.0,1.0,0.7050938337801609,0.2949061662198391,110,0.09075907590759076
overall,promotion_plan_focused,dummy,6,373,0.0,1.0,0.6514745308310992,0.3485254691689008,130,0.10726072607260725
overall,promotion_plan_focused,dummy,7,373,0.0,1.0,0.6970509383378016,0.30294906166219837,113,0.09323432343234324
overall,promotion_plan_focused,dummy,8,373,0.0,1.0,0.7050938337801609,0.2949061662198391,110,0.09075907590759076
overall,promotion_plan_focused,dummy,9,373,0.0,1.0,0.6300268096514745,0.3699731903485255,138,0.11386138613861387
overall,promotion_plan_focused,dummy,10,373,0.0,1.0,0.6890080428954424,0.3109919571045576,116,0.09570957095709572
overall,promotion_plan_focused,extra_trees,1,374,0.7117696252322654,0.28823037476773467,0.45989304812834225,0.5401069518716578,202,0.16666666666666666
overall,promotion_plan_focused,extra_trees,2,373,0.6328326666143277,0.36716733338567237,0.5201072386058981,0.47989276139410186,179,0.1476897689768977
overall,promotion_plan_focused,extra_trees,3,373,0.5704505238216787,0.4295494761783213,0.6300268096514745,0.3699731903485255,138,0.11386138613861387
overall,promotion_plan_focused,extra_trees,4,373,0.5245101207928383,0.47548987920716174,0.6702412868632708,0.3297587131367292,123,0.10148514851485149
overall,promotion_plan_focused,extra_trees,5,373,0.4943539245492188,0.5056460754507812,0.6327077747989276,0.3672922252010724,137,0.11303630363036303
overall,promotion_plan_focused,extra_trees,6,373,0.4574976226900391,0.5425023773099609,0.7426273458445041,0.257372654155496,96,0.07920792079207921
overall,promotion_plan_focused,extra_trees,7,373,0.42347774296480595,0.576522257035194,0.7292225201072386,0.2707774798927614,101,0.08333333333333333
overall,promotion_plan_focused,extra_trees,8,373,0.39522126859356693,0.6047787314064331,0.7131367292225201,0.2868632707774799,107,0.08828382838283828
overall,promotion_plan_focused,extra_trees,9,373,0.36569583280989026,0.6343041671901097,0.8123324396782842,0.1876675603217158,70,0.057755775577557754
overall,promotion_plan_focused,extra_trees,10,373,0.312035316387877,0.687964683612123,0.8418230563002681,0.1581769436997319,59,0.04867986798679868
overall,promotion_plan_focused,gradient_boosting,1,374,0.5915887819828154,0.4084112180171846,0.46524064171123,0.5347593582887701,200,0.16501650165016502
overall,promotion_plan_focused,gradient_boosting,2,373,0.4683354292252767,0.5316645707747233,0.4906166219839142,0.5093833780160858,190,0.15676567656765678
overall,promotion_plan_focused,gradient_boosting,3,373,0.3986288098518811,0.6013711901481189,0.6327077747989276,0.3672922252010724,137,0.11303630363036303
overall,promotion_plan_focused,gradient_boosting,4,373,0.3532353391872124,0.6467646608127876,0.6621983914209115,0.3378016085790885,126,0.10396039603960396
overall,promotion_plan_focused,gradient_boosting,5,373,0.32169592634672706,0.6783040736532729,0.6621983914209115,0.3378016085790885,126,0.10396039603960396
overall,promotion_plan_focused,gradient_boosting,6,373,0.29159871368435697,0.7084012863156431,0.710455764075067,0.289544235924933,108,0.0891089108910891
