feature_set_name,comparison_scope,AARRR_stage,feature_count,compared_feature_count,avg_abs_difference_or_smd,max_abs_difference_or_smd,top_diff_features,interpretation_guardrail,notes
conservative_safe_22,between_promotion_status_within_repurchase_0,Retention,16,16,0.08006197896711181,0.200481245961841,"watch_time_min_w3, watch_session_w3, retention_w3_ratio, avg_gap_w3_watch_days, watch_time_min_w2","Observed 2x2 difference only. No causal, importance, or selection claim.",AARRR stage summary is descriptive only.
conservative_safe_22,between_promotion_status_within_repurchase_0,Referral,0,0,,,,Referral has no directly observed feature in this dataset.,Do not claim Referral was validated by data in 09x.
expanded_feature_set,within_promotion_repurchase,Acquisition_context,12,12,0.01586593026131822,0.06382563653189333,"is_basic, is_premium, is_standard, payment_is_pc, payment_is_android","Observed 2x2 difference only. No causal, importance, or selection claim.",AARRR stage summary is descriptive only.
expanded_feature_set,within_promotion_repurchase,Activation,6,6,0.09335779333258153,0.23240862446406474,"is_w1_over_50pct, is_only_w1, watch_time_min_w1, is_cold_start_3d_fixed, is_cold_start_7d_fixed","Observed 2x2 difference only. No causal, importance, or selection claim.",AARRR stage summary is descriptive only.
expanded_feature_set,within_promotion_repurchase,Needs_user_review,4,4,0.014515563969409607,0.028685227040973052,"age_group, is_male, is_female, is_user_verified","Observed 2x2 difference only. No causal, importance, or selection claim.",AARRR stage summary is descriptive only.
expanded_feature_set,within_promotion_repurchase,Retention,39,39,0.3328696719727756,0.6913420634313308,"watch_time_min_w3, watch_session_w3, recency, max_watch_time_min, total_watch_time_min","Observed 2x2 difference only. No causal, importance, or selection claim.",AARRR stage summary is descriptive only.
expanded_feature_set,within_promotion_repurchase,Retention_context,18,18,0.14227039605388986,0.525203487649314,"genre_diversity_count, thriller_crime_ratio, drama_ratio, action_adventure_ratio, romance_ratio","Observed 2x2 difference only. No causal, importance, or selection claim.",AARRR stage summary is descriptive only.
expanded_feature_set,within_promotion_repurchase,Referral,0,0,,,,Referral has no directly observed feature in this dataset.,Do not claim Referral was validated by data in 09x.
expanded_feature_set,within_nonpromotion_repurchase,Acquisition_context,12,12,0.01744880772393305,0.03173258003766477,"is_basic, reg_is_weekend, payment_is_android, is_standard, payment_is_ios","Observed 2x2 difference only. No causal, importance, or selection claim.",AARRR stage summary is descriptive only.
expanded_feature_set,within_nonpromotion_repurchase,Activation,6,6,0.11806283168129704,0.29991910028911706,"is_w1_over_50pct, is_only_w1, watch_time_min_w1, is_cold_start_7d_fixed, watch_session_w1","Observed 2x2 difference only. No causal, importance, or selection claim.",AARRR stage summary is descriptive only.
expanded_feature_set,within_nonpromotion_repurchase,Needs_user_review,4,4,0.02421904209903334,0.0397470471526651,"age_group, is_user_verified, is_male, is_female","Observed 2x2 difference only. No causal, importance, or selection claim.",AARRR stage summary is descriptive only.
expanded_feature_set,within_nonpromotion_repurchase,Retention,39,39,0.38443877071085764,0.7500986291124193,"watch_session_w3, watch_time_min_w3, recency, total_watch_time_min, max_watch_time_min","Observed 2x2 difference only. No causal, importance, or selection claim.",AARRR stage summary is descriptive only.
expanded_feature_set,within_nonpromotion_repurchase,Retention_context,18,18,0.1548831915153928,0.575271818846664,"genre_diversity_count, thriller_crime_ratio, action_adventure_ratio, drama_ratio, romance_ratio","Observed 2x2 difference only. No causal, importance, or selection claim.",AARRR stage summary is descriptive only.
expanded_feature_set,within_nonpromotion_repurchase,Referral,0,0,,,,Referral has no directly observed feature in this dataset.,Do not claim Referral was validated by data in 09x.
expanded_feature_set,between_promotion_status_within_repurchase_1,Acquisition_context,12,12,0.10288608700020622,0.34788732394366195,"payment_is_ios, payment_is_mobile, is_premium, payment_is_pc, payment_is_android","Observed 2x2 difference only. No causal, importance, or selection claim.",AARRR stage summary is descriptive only.
expanded_feature_set,between_promotion_status_within_repurchase_1,Activation,6,6,0.005282502160993304,0.010146996198918012,"is_cold_start_3d_fixed, is_only_w1, is_w1_over_50pct, watch_session_w1, watch_time_min_w1","Observed 2x2 difference only. No causal, importance, or selection claim.",AARRR stage summary is descriptive only.
expanded_feature_set,between_promotion_status_within_repurchase_1,Needs_user_review,4,4,0.3058550446656386,0.47276995305164315,"is_user_verified, age_group, is_female, is_male","Observed 2x2 difference only. No causal, importance, or selection claim.",AARRR stage summary is descriptive only.
expanded_feature_set,between_promotion_status_within_repurchase_1,Retention,39,39,0.021369060433475036,0.05519503174629276,"avg_gap_w3_watch_days, recency, watch_session_w3, max_watch_time_min, active_ratio","Observed 2x2 difference only. No causal, importance, or selection claim.",AARRR stage summary is descriptive only.
expanded_feature_set,between_promotion_status_within_repurchase_1,Retention_context,18,18,0.01969790183761337,0.05248695732939382,"is_churn_prevented, genre_diversity_count, romance_ratio, new_movie_in_90d_ratio, thriller_crime_ratio","Observed 2x2 difference only. No causal, importance, or selection claim.",AARRR stage summary is descriptive only.
expanded_feature_set,between_promotion_status_within_repurchase_1,Referral,0,0,,,,Referral has no directly observed feature in this dataset.,Do not claim Referral was validated by data in 09x.
expanded_feature_set,between_promotion_status_within_repurchase_0,Acquisition_context,12,12,0.09621779147229174,0.3216572504708098,"payment_is_ios, payment_is_mobile, is_premium, payment_is_pc, payment_is_android","Observed 2x2 difference only. No causal, importance, or selection claim.",AARRR stage summary is descriptive only.
expanded_feature_set,between_promotion_status_within_repurchase_0,Activation,6,6,0.039581708621917,0.07287098277617798,"is_w1_over_50pct, is_only_w1, is_cold_start_7d_fixed, is_cold_start_3d_fixed, watch_time_min_w1","Observed 2x2 difference only. No causal, importance, or selection claim.",AARRR stage summary is descriptive only.
expanded_feature_set,between_promotion_status_within_repurchase_0,Needs_user_review,4,4,0.2947386181564028,0.44670433145009414,"is_user_verified, age_group, is_female, is_male","Observed 2x2 difference only. No causal, importance, or selection claim.",AARRR stage summary is descriptive only.
expanded_feature_set,between_promotion_status_within_repurchase_0,Retention,39,39,0.0808697621842084,0.200481245961841,"watch_time_min_w3, watch_session_w3, recency, retention_w3_ratio, total_watch_time_min","Observed 2x2 difference only. No causal, importance, or selection claim.",AARRR stage summary is descriptive only.
expanded_feature_set,between_promotion_status_within_repurchase_0,Retention_context,18,18,0.02963997355752627,0.0947299006346628,"genre_diversity_count, is_churn_prevented, new_movie_in_365d_ratio, old_movie_ratio_5y, new_movie_in_180d_ratio","Observed 2x2 difference only. No causal, importance, or selection claim.",AARRR stage summary is descriptive only.
expanded_feature_set,between_promotion_status_within_repurchase_0,Referral,0,0,,,,Referral has no directly observed feature in this dataset.,Do not claim Referral was validated by data in 09x.
