query_title,title,releasedate,originalreleaseyear,country,targetage,playtime,genre
알리바이닷컴,알리바이 닷 컴,20181107.0,2017.0,프랑스,15세이상관람가,89.0,코미디|멜로/로맨스
당갈,당갈,20180425.0,2016.0,인도,12세이상관람가,160.0,액션|드라마
독수리착륙하다,독수리 착륙하다,,1976.0,영국,,123.0,전쟁|어드벤처
디센던트,디센던트,20120216.0,2011.0,미국,15세이상관람가,115.0,코미디|드라마
블레어윗치,블레어 윗치,19991030.0,1999.0,미국,18세관람가,82.0,공포(호러)|미스터리|스릴러
지옥의슬로터,지옥의 슬로터,19931119.0,1993.0,미국,중학생이상관람가,103.0,스릴러
캠퍼스어택:크리스티처결단,캠퍼스 어택 크리스티 처결단,20150805.0,2014.0,미국,15세이상관람가,84.0,스릴러|공포(호러)
지퍼스크리퍼스2(2003),지퍼스 크리퍼스 2,20031031.0,2003.0,미국|네덜란드,18세관람가,103.0,공포(호러)|스릴러
그렇게아버지가된다,그렇게 아버지가 된다,20131219.0,2013.0,일본,전체관람가,120.0,드라마|가족
사랑하기때문에[가치봄],사랑하기 때문에,20170104.0,2016.0,한국,12세이상관람가,110.0,코미디|멜로/로맨스
스트라디바리우,스트라디바리우,,1988.0,이탈리아,,110.0,드라마
무비43,무비 43,,2013.0,미국,청소년관람불가,97.0,코미디
뮤직위딘,뮤직 위딘,,2007.0,미국,15세이상관람가,93.0,드라마|코미디
프릭스오브네이처,프릭스 오브 네이처,,2015.0,미국,,,공포(호러)
이월화개,이월화개,20170530.0,2017.0,중국,15세이상관람가,93.0,액션|판타지
미스터락스타,미스터 락스타,,2016.0,미국,12세이상관람가,87.0,코미디|드라마
[OCEAN공개]태양의소녀들,태양의 소녀들,20201022.0,2018.0,프랑스,15세이상관람가,111.0,드라마|전쟁
당신을기다리는시간,당신을 기다리는 시간,20160128.0,2015.0,이탈리아|프랑스,15세이상관람가,100.0,드라마
신과함께:인과연[가치봄],신과함께-인과 연,20180801.0,2017.0,한국,12세이상관람가,141.0,판타지|드라마
엘리자베스(1998),엘리자베스,19990320.0,1998.0,미국,18세 미만인 자는 관람할 수 없는 등급,123.0,드라마|사극
아메리칸허슬,아메리칸 허슬,20140220.0,2013.0,미국,청소년관람불가,137.0,범죄|드라마
해피니스네버컴즈얼론,해피니스 네버 컴즈 얼론,,2012.0,프랑스,청소년관람불가,109.0,코미디|멜로/로맨스
임을위한행진곡,임을 위한 행진곡,20180516.0,2018.0,한국,15세이상관람가,104.0,드라마
카페뤼미에르,카페 뤼미에르,20051020.0,2003.0,일본,12세관람가,108.0,드라마
크래프트:레거시,크래프트: 레거시,,2020.0,미국,,,드라마
익스토션,익스토션,,2017.0,미국|기타,,108.0,액션|어드벤처|범죄
더해칭,더 해칭,,2016.0,영국,,,액션
애프터라이프,애프터 라이프,20100902.0,2009.0,미국,15세이상관람가,103.0,드라마|미스터리|스릴러
펠로니,펠로니,20160728.0,2013.0,호주|미국,15세이상관람가,107.0,스릴러
"동거,동락","동거, 동락",20080327.0,2007.0,한국,청소년관람불가,101.0,멜로/로맨스|드라마
사랑에빠진여자,사랑에 빠진 여자,20170317.0,2016.0,폴란드|스웨덴,청소년관람불가,99.0,멜로/로맨스|드라마
열외인간,열외인간,,1977.0,,,90.0,
터뷸런스2,터뷸런스 2,19991227.0,1999.0,미국,12세관람가,100.0,액션|스릴러
기억속에퍼즐,기억속에 퍼즐,20140123.0,2012.0,영국,15세이상관람가,100.0,스릴러
사랑이눈뜰때,사랑이 눈뜰 때,20200826.0,2017.0,미국,12세이상관람가,105.0,드라마|멜로/로맨스
비디오를보는남자(2002),비디오를 보는 남자,20031128.0,2003.0,한국,15세관람가,100.0,드라마
데드돈다이,데드 돈 다이,20190731.0,2019.0,미국,15세이상관람가,104.0,코미디|판타지|공포(호러)
상흔,상흔,,1984.0,한국,,5.0,애니메이션
살인게임(2015),살인게임,20151224.0,2015.0,미국,청소년관람불가,83.0,액션|스릴러
고스트브라이드,고스트 브라이드,,2013.0,뉴질랜드,,,판타지|스릴러
북두의신,북두의 신,,2019.0,중국,,71.0,액션|어드벤처
사랑과음악사이,사랑과 음악사이,20160427.0,2015.0,미국|캐나다,15세이상관람가,103.0,멜로/로맨스|드라마
블러드하운드,블러드하운드,20210107.0,2020.0,미국,15세이상관람가,72.0,미스터리|스릴러
취화선(2002),취화선,20020503.0,2002.0,한국,18세관람가,120.0,드라마|사극
U311,U311,,2019.0,우크라이나,15세이상관람가,94.0,전쟁|드라마
미드나잇선(2018),미드나잇 선,20180621.0,2018.0,미국,12세이상관람가,91.0,멜로/로맨스
방가자,방가자,,2017.0,중국,15세이상관람가,94.0,액션|미스터리|스릴러|범죄
레스토레이션:저주의시작,레스토레이션: 저주의 시작,,2016.0,미국,,90.0,공포(호러)
풍경,풍경,,2020.0,한국,,5.0,드라마
스캐너다클리,스캐너 다클리,,2006.0,미국,,100.0,범죄|미스터리|애니메이션
스트립댄서:음란살인사건,스트립댄서:음란살인사건,,2017.0,미국,청소년관람불가,100.0,기타
파라노말하우스,파라노말 하우스,20180930.0,2018.0,미국,15세이상관람가,97.0,스릴러
추하고더럽고미천한,추하고 더럽고 미천한,,1976.0,이탈리아,,115.0,코미디|드라마
레고배트맨:더무비(2013),레고 배트맨 : 더 무비,,2013.0,미국|영국,,71.0,애니메이션|어드벤처
퍼니게임(1997),퍼니게임,,2010.0,한국,15세이상관람가,16.0,드라마|멜로/로맨스|코미디
미니언즈,미니언즈,20150729.0,2015.0,미국,전체관람가,90.0,애니메이션
누구나제명에죽고싶다,누구나 제 명에 죽고 싶다,20130314.0,2012.0,한국,청소년관람불가,85.0,드라마|액션
사선의끝,사선의 끝,20191030.0,2019.0,한국,15세이상관람가,90.0,드라마
월드워:좀비의공습,월드 워: 좀비의 공습,,2008.0,미국,,,공포(호러)
로그시티,로그시티,20210211.0,2020.0,프랑스,청소년관람불가,115.0,범죄|액션
블러드샷,블러드샷,20200521.0,2020.0,미국,15세이상관람가,109.0,액션|드라마|판타지|SF
겟아웃얼라이브,겟 아웃 얼라이브,,2020.0,영국,,85.0,액션|공포(호러)|범죄
폐쇄병동,폐쇄병동,,2017.0,한국,청소년관람불가,111.0,스릴러
혼:공포의시작,혼 : 공포의 시작,20200213.0,2019.0,한국,12세이상관람가,80.0,공포(호러)
엘라의계곡(2007),엘라의 계곡,20091210.0,2007.0,미국,15세이상관람가,120.0,범죄|드라마|미스터리|스릴러
"지금,만나러갑니다","지금, 만나러 갑니다",20050325.0,2004.0,일본,12세관람가,118.0,드라마|멜로/로맨스|판타지
어쌔신:더비기닝,어쌔신: 더 비기닝,20171207.0,2017.0,미국,15세이상관람가,111.0,액션
그사람추기경(2013),그 사람 추기경,20140806.0,2014.0,한국,전체관람가,121.0,다큐멘터리
1987,1987,20171227.0,2017.0,한국,15세이상관람가,129.0,드라마
아야의밤엔사랑이필요해,아야의 밤엔 사랑이 필요해,20140814.0,2013.0,프랑스,15세이상관람가,88.0,애니메이션
스파이브릿지,스파이 브릿지,20151105.0,2015.0,미국,12세이상관람가,141.0,스릴러|드라마
액슬,액슬,20181018.0,2018.0,미국,12세이상관람가,98.0,액션|어드벤처
바시티블러드,바시티 블러드,,2014.0,미국,,,공포(호러)
윈터스테일,윈터스 테일,,2014.0,미국,,118.0,드라마|판타지|미스터리
그것만이내세상[가치봄],그것만이 내 세상,20180117.0,2017.0,한국,12세이상관람가,120.0,코미디|드라마
시클루젼:죽음의캠프,시클루젼 : 죽음의캠프,20161213.0,2015.0,미국,청소년관람불가,91.0,공포(호러)|미스터리|스릴러
아이.티.,아이.티.,,2016.0,미국,,95.0,범죄|미스터리|스릴러
러시:더라이벌,러시 : 더 라이벌,20131009.0,2013.0,미국,청소년관람불가,122.0,액션|드라마
나이트스쿨,나이트 스쿨,,2018.0,미국,,,드라마
나홀로집에,나홀로집에,,2017.0,한국,,1.0,기타
금발이너무해2(2003),금발이 너무해 2,20031002.0,2003.0,미국,12세관람가,95.0,코미디
크라잉게임(1992),크라잉 게임,19930528.0,1993.0,영국,연소자관람불가,110.0,드라마
각설탕,각설탕,20060810.0,2006.0,한국,전체관람가,124.0,드라마
어쌔신더엑스,어쌔신 더 엑스,20211111.0,2016.0,미국,15세이상관람가,101.0,액션
킬러의보이프렌드,킬러의 보이프렌드,20180213.0,2017.0,미국,청소년관람불가,95.0,범죄|스릴러|코미디
해피로그,해피 로그,,2016.0,미국,,,액션
슈퍼맨이었던사나이,슈퍼맨이었던 사나이,20080131.0,2007.0,한국,전체관람가,102.0,드라마|코미디
도망친여자,도망친 여자,20200917.0,2019.0,한국,청소년관람불가,77.0,드라마
우리사이의거대한산,우리 사이의 거대한 산,,2017.0,미국,,112.0,액션|어드벤처|드라마
관종,관종,,2017.0,영국,15세이상관람가,92.0,범죄|스릴러
우리집멍멍이진진과아키다,우리집 멍멍이 진진과 아키다,,2016.0,한국,12세이상관람가,67.0,애니메이션
리젠드,리젠드,,1985.0,,,90.0,
세트플레이,세트플레이,20201210.0,2018.0,한국,청소년관람불가,84.0,드라마
리그레션,리그레션,20151015.0,2015.0,스페인|캐나다,15세이상관람가,106.0,스릴러
코인라커,코인라커,20150528.0,2015.0,한국,청소년관람불가,95.0,드라마
마이보이,마이보이,,2017.0,한국,,11.0,기타
파인더스키퍼스,파인더스 키퍼스,,2015.0,미국,,82.0,다큐멘터리
몽키비지니스,몽키 비지니스,,1952.0,미국,,97.0,SF|코미디
간츠,간츠,20110728.0,2011.0,일본,15세이상관람가,130.0,액션|SF
비틀쥬스,비틀쥬스,,1988.0,,,92.0,
서울역,서울역,20160817.0,2016.0,한국,15세이상관람가,92.0,애니메이션
찌라시:위험한소문,찌라시: 위험한 소문,20140220.0,2013.0,한국,15세이상관람가,121.0,범죄|드라마
타임체인저,타임 체인저,20161229.0,2002.0,미국,12세이상관람가,97.0,SF
케이트맥콜,케이트 맥콜,20140522.0,2013.0,미국,15세이상관람가,92.0,스릴러|드라마
컨뎀드(2007),컨뎀드,,2007.0,미국,,113.0,액션|스릴러
이름들로만든노래,이름들로 만든 노래,,2019.0,캐나다,,,드라마
사구(1984),사구,,1984.0,미국,,137.0,액션|어드벤처|SF|판타지
지하철의소녀,지하철의 소녀,,1960.0,,,89.0,
신의은총으로,신의 은총으로,20200116.0,2019.0,프랑스,15세이상관람가,137.0,드라마
불어라봄바람,불어라 봄바람,20030904.0,2003.0,한국,15세관람가,111.0,코미디
제트,제트,19890930.0,1969.0,프랑스,고등학생이상관람가,126.0,드라마|미스터리|사극|스릴러
저산너머,저 산 너머,20200430.0,2019.0,한국,12세이상관람가,111.0,드라마
멋진인생,멋진 인생,20110609.0,2011.0,한국,12세이상관람가,100.0,드라마|뮤지컬
올더머니,올 더 머니,20180201.0,2017.0,미국,15세이상관람가,132.0,범죄|드라마|미스터리|스릴러
척앤래리(2007),척 앤 래리,20070906.0,2007.0,미국,15세이상관람가,115.0,코미디
런테이큰,런 테이큰,,2012.0,캐나다|남아프리카공화국,15세이상관람가,93.0,액션|미스터리|멜로/로맨스|드라마
보스를죽여라,보스를 죽여라,,2013.0,일본,15세이상관람가,75.0,액션|스릴러|드라마
귀경출사,귀경출사,19910601.0,1990.0,홍콩,고등학생이상관람가,94.0,코미디|액션|범죄
드럼라인,드럼라인,20030411.0,2003.0,미국,12세관람가,119.0,드라마|멜로/로맨스|코미디
나를잊지말아요[가치봄],나를 잊지 말아요,20160107.0,2015.0,한국,15세이상관람가,106.0,멜로/로맨스
고잉투브라질,고잉 투 브라질,,2016.0,프랑스,,94.0,코미디
헤이데이(2016),헤이데이,20180503.0,2016.0,미국,청소년관람불가,95.0,드라마|코미디
부랑자들의거리:거터버그,부랑자들의 거리: 거터버그,,2019.0,미국,,100.0,드라마|범죄
우먼인할리우드,우먼 인 할리우드,20191031.0,2018.0,미국,전체관람가,95.0,다큐멘터리
예스평창!,예스 평창!,20180308.0,2018.0,한국,전체관람가,90.0,다큐멘터리
쿵푸트래블러:북퇴,쿵푸 트래블러 : 북퇴,,2017.0,중국,12세이상관람가,91.0,액션
써커,써커,20131107.0,2013.0,미국,청소년관람불가,78.0,공포(호러)
청춘연애,청춘연애,20170420.0,2015.0,중국,12세이상관람가,99.0,멜로/로맨스
아빠가돌아왔다,아빠가 돌아왔다,20160519.0,2015.0,한국,15세이상관람가,100.0,가족|드라마
"한양빌라,401호","한양빌라, 401호",,2016.0,한국,,17.0,드라마
하우스오브굿앤이블,하우스 오브 굿 앤 이블,,2013.0,미국,,,공포(호러)
야스쿠니,야스쿠니,20090806.0,2007.0,중국|한국|일본,12세이상관람가,123.0,다큐멘터리
홈프론트-하드액션,홈프론트-하드액션,20140619.0,2013.0,미국,청소년관람불가,100.0,액션|범죄|스릴러
루시드:자각몽,루시드: 자각몽,20200124.0,2019.0,영국,15세이상관람가,84.0,SF|액션
캠퍼스레전드(1998),캠퍼스 레전드,19990313.0,1998.0,미국,18세 미만인 자는 관람할 수 없는 등급,99.0,공포(호러)|미스터리|스릴러
천장지구2,천장지구 2,19940625.0,1993.0,홍콩,고등학생이상관람가,88.0,액션|드라마
아자미의모든것,아자미의 모든 것,,2020.0,일본,,113.0,멜로/로맨스|드라마
네버랜드를찾아서,네버랜드를 찾아서,20050225.0,2004.0,미국,12세관람가,101.0,드라마
슬픈천사의발라드,슬픈 천사의 발라드,,2020.0,일본,,91.0,멜로/로맨스|드라마
사랑에세이,사랑 에세이,,2018.0,이탈리아,,98.0,드라마|멜로/로맨스
셜록홈즈:그림자게임,셜록홈즈 : 그림자 게임,20111221.0,2011.0,미국,15세이상관람가,128.0,액션|미스터리
화이:괴물을삼킨아이,화이: 괴물을 삼킨 아이,20131009.0,2013.0,한국,청소년관람불가,125.0,액션|스릴러
프레데터스,프레데터스,20100826.0,2010.0,미국,15세이상관람가,106.0,액션|스릴러|SF|어드벤처
"양한마리,양두마리","양 한 마리, 양 두 마리",20111201.0,2009.0,한국,12세이상관람가,104.0,드라마
웬디와루시,웬디와 루시,,2008.0,미국,,80.0,드라마
좀비:새벽의저주,좀비 : 새벽의 저주,20160225.0,2014.0,미국,청소년관람불가,91.0,공포(호러)|액션
제멋대로떨고있어,제멋대로 떨고 있어,,2017.0,일본,12세이상관람가,117.0,코미디|멜로/로맨스
러브리스,러브리스,20190418.0,2017.0,러시아|프랑스|독일,15세이상관람가,126.0,드라마
크레이지특공대,크레이지 특공대,,2017.0,미국,,77.0,액션
블링크:침묵의시간,블링크 : 침묵의 시간,,2014.0,미국,15세이상관람가,92.0,미스터리
어바웃타임,어바웃 타임,20131205.0,2013.0,영국,15세이상관람가,123.0,멜로/로맨스|코미디
대디스홈,대디스 홈,,2015.0,미국,,,코미디
9월의사랑과만날때까지,9월의 사랑과 만날 때까지,,2019.0,일본,전체관람가,105.0,멜로/로맨스|판타지|드라마
마이캡틴김대출,마이 캡틴 김대출,20060420.0,2006.0,한국,12세관람가,104.0,코미디|드라마
세인트아가타[별도편성][예고편],세인트 아가타,20200319.0,2019.0,미국,청소년관람불가,103.0,공포(호러)|스릴러
서치아웃[별도편성][예고편],서치 아웃,20200415.0,2019.0,한국,15세이상관람가,92.0,스릴러
해피피트2,해피 피트 2,20120202.0,2011.0,호주,전체관람가,100.0,애니메이션|코미디|가족
가슴배구단(2009),가슴 배구단,20120126.0,2009.0,일본,12세이상관람가,102.0,코미디
갓헬프더걸,갓 헬프 더 걸,20150212.0,2014.0,영국,15세이상관람가,111.0,뮤지컬|멜로/로맨스
두번할까요,두번할까요,20191017.0,2019.0,한국,15세이상관람가,112.0,코미디|멜로/로맨스
스파이더맨:얼티밋빌런쇼다운,스파이더맨: 얼티밋 빌런 쇼다운,,2002.0,미국,,,애니메이션
건파이터(1950),건 파이터,,2018.0,캐나다,,88.0,스릴러
캡틴아파치,캡틴 아파치,,1971.0,영국,,,드라마
핏불테리아,핏불테리아,20121023.0,2012.0,한국,청소년관람불가,70.0,액션
"그날,바다[가치봄]","그날, 바다",20180412.0,2018.0,한국,15세이상관람가,110.0,다큐멘터리
4브라더스,4 브라더스,20051014.0,2005.0,미국,18세관람가,108.0,액션|드라마|범죄
매직마이크,매직 마이크,20120801.0,2012.0,미국,청소년관람불가,110.0,코미디
브루클린의멋진주말,브루클린의 멋진 주말,20160121.0,2014.0,미국,12세이상관람가,92.0,드라마
아주긴변명,아주 긴 변명,20170216.0,2016.0,일본,15세이상관람가,124.0,드라마
오마이파파,오 마이 파파,20161110.0,2016.0,한국,전체관람가,96.0,다큐멘터리
어게인:끝없는도전,어게인: 끝없는 도전,,2014.0,일본,12세이상관람가,119.0,드라마
사라진시간(2019)[별도편성][예고편],사라진 시간,20200618.0,2019.0,한국,15세이상관람가,104.0,미스터리|드라마
레이니데이인뉴욕,레이니 데이 인 뉴욕,20200506.0,2019.0,미국,15세이상관람가,92.0,코미디|멜로/로맨스
코르시카의형제들,코르시카의 형제들,,2017.0,프랑스,,108.0,드라마
잉글리쉬페이션트,잉글리쉬 페이션트,19970315.0,1996.0,미국,연소자관람불가,161.0,멜로/로맨스|드라마|전쟁
더뉴로맨틱,더 뉴 로맨틱,,2018.0,캐나다,,,코미디
테레즈데케루,테레즈 데케루,20141204.0,2012.0,프랑스,15세이상관람가,110.0,드라마
나의연기워크샵,나의 연기 워크샵,20171228.0,2016.0,한국,15세이상관람가,118.0,드라마
케이프피어(1962),케이프 피어,19920314.0,1991.0,미국,연소자관람불가,127.0,스릴러|드라마|범죄
페티쉬(2007),페티쉬,20101125.0,2007.0,한국|미국,청소년관람불가,87.0,스릴러
리노,리노,20190307.0,2017.0,브라질,전체관람가,88.0,애니메이션|어드벤처|가족
아이엠어좀비,아이 엠 어 좀비,,2015.0,미국,,,SF
굿나잇앤굿럭,굿나잇 앤 굿럭,20060316.0,2005.0,미국,12세관람가,93.0,드라마
콩:스컬아일랜드,콩: 스컬 아일랜드,20170308.0,2017.0,미국,12세이상관람가,118.0,액션|어드벤처|판타지
스틸라이프,스틸라이프,20070614.0,2006.0,홍콩,12세이상관람가,111.0,드라마
더베일(2017),더 베일,20170519.0,2017.0,미국,15세이상관람가,85.0,액션
기적의피아노,기적의 피아노,20171023.0,2013.0,미국,전체관람가,93.0,가족|드라마
거침없이쏴라!슛뎀업,거침없이 쏴라! 슛뎀업,20071011.0,2007.0,미국,청소년관람불가,86.0,액션
트립투하코네,트립 투 하코네,20180928.0,2015.0,일본,12세이상관람가,97.0,드라마
버니드롭(2011),버니드롭,20120510.0,2011.0,일본,전체관람가,114.0,드라마|코미디
북오브헨리,북 오브 헨리,,2016.0,미국,,,드라마
아메리칸레슬러:더위저드,아메리칸 레슬러: 더 위저드,20190925.0,2016.0,미국,12세이상관람가,116.0,드라마
프라이빗워,프라이빗 워,,2018.0,미국,,111.0,전쟁|드라마
영아담(2003),영 아담,20041203.0,2003.0,영국,18세관람가,97.0,드라마
작전명덩케르크,작전명 덩케르크,20180901.0,2017.0,미국,15세이상관람가,94.0,전쟁
홈프론트-가족을지켜라,홈프론트-가족을 지켜라,20140618.0,2013.0,미국,15세이상관람가,96.0,액션|드라마
파괴자,파괴자,20150813.0,2015.0,캐나다,청소년관람불가,104.0,액션|스릴러
"나의위대한친구,세잔","나의 위대한 친구, 세잔",20161215.0,2016.0,프랑스,15세이상관람가,113.0,드라마
오늘도위위,오늘도 위위,20191017.0,2018.0,한국,전체관람가,70.0,드라마
귀신이산다,귀신이 산다,20040917.0,2004.0,한국,12세관람가,123.0,코미디|공포(호러)|판타지
천년여우구미호,천년여우 구미호,20201203.0,2020.0,한국,청소년관람불가,74.0,멜로/로맨스|판타지
초능력자제레미,초능력자 제레미,20170914.0,2016.0,미국,15세이상관람가,89.0,드라마|판타지
라디오스타,라디오 스타,20060928.0,2006.0,한국,12세관람가,115.0,드라마
우리는같은꿈을꾼다,우리는 같은 꿈을 꾼다,20171130.0,2017.0,헝가리,청소년관람불가,115.0,드라마
인투더와일드(2007),인투 더 와일드,,2007.0,미국,,147.0,어드벤처|드라마
피트스몰스이즈데드,피트 스몰스 이즈 데드,,2010.0,미국,15세이상관람가,94.0,코미디
연가시,연가시,20120705.0,2012.0,한국,15세이상관람가,109.0,공포(호러)|SF
언디스퓨티드:1대100의혈투,언디스퓨티드: 1대100의 혈투,20130607.0,2012.0,캐나다,청소년관람불가,98.0,액션
분노의위치헌터,분노의 위치 헌터,20170411.0,2013.0,미국,15세이상관람가,89.0,스릴러|미스터리
하트스톤,하트스톤,20190425.0,2016.0,아이슬란드|덴마크,12세이상관람가,129.0,드라마
호날두:세상은그의발아래에,호날두: 세상은 그의 발 아래에,,2014.0,미국,전체관람가,57.0,다큐멘터리
지워진사람들:Erased,지워진 사람들: Erased,,2018.0,기타,,82.0,드라마
태평륜,태평륜,20160812.0,2014.0,중국,15세이상관람가,128.0,드라마|액션|전쟁
아마조니아,아마조니아,20150805.0,2012.0,프랑스|브라질,전체관람가,82.0,다큐멘터리
살인의뢰,살인의뢰,20150312.0,2014.0,한국,청소년관람불가,102.0,범죄|스릴러
"더웨이,웨이백","더 웨이, 웨이 백",,2013.0,미국,12세이상관람가,103.0,코미디|드라마
완벽한크리스천여친대작전,완벽한 크리스천 여친 대작전,,2020.0,미국,,83.0,드라마
소녀검객아즈미대혈전(2003),소녀 검객 아즈미 대혈전,20040625.0,2003.0,일본,18세관람가,128.0,액션
닌자헌터-사냥의시작,닌자헌터-사냥의 시작,20150812.0,2015.0,일본,청소년관람불가,101.0,액션
포레스트:위험한신고식,포레스트: 위험한 신고식,20180821.0,2018.0,미국,청소년관람불가,77.0,공포(호러)|스릴러
투캅스인파리,투캅스 인 파리,20150326.0,2012.0,프랑스,청소년관람불가,94.0,액션|코미디|범죄
찰리채플린걸작선3,찰리 채플린 걸작선 3,,2017.0,영국,,,드라마
노맨스랜드(2001),노맨스랜드,20180718.0,2017.0,한국,15세이상관람가,75.0,코미디|미스터리|공포(호러)|뮤지컬
나를찾아줘,나를 찾아줘,20141023.0,2014.0,미국,청소년관람불가,148.0,스릴러
엄마의레시피,엄마의 레시피,20180607.0,2016.0,일본,전체관람가,116.0,드라마
버레스크,버레스크,,2010.0,미국,15세이상관람가,118.0,뮤지컬|드라마|멜로/로맨스
고양이:죽음을보는두개의눈(2011),고양이: 죽음을 보는 두 개의 눈,20110707.0,2011.0,한국,15세이상관람가,106.0,공포(호러)
러브레터,러브레터,19991120.0,1995.0,일본,전체관람가,117.0,멜로/로맨스|드라마
아이히만쇼,아이히만 쇼,20170301.0,2015.0,영국,15세이상관람가,96.0,드라마
레이디수잔,레이디 수잔,20161124.0,2016.0,영국|아일랜드,12세이상관람가,93.0,드라마|멜로/로맨스
주온[극장판],주온,20030627.0,2002.0,일본,12세관람가,92.0,공포(호러)
세상의끝에서커피한잔,세상의 끝에서 커피 한잔,20151105.0,2014.0,일본|대만,12세이상관람가,119.0,드라마
방콕아드레날린,방콕 아드레날린,,2009.0,태국,청소년관람불가,87.0,액션|스릴러
렘넌트:생존자들,렘넌트: 생존자들,20161215.0,2013.0,미국,15세이상관람가,93.0,액션|SF|드라마
쏘우3(2006),쏘우 3,20061130.0,2006.0,미국,청소년관람불가,108.0,공포(호러)|스릴러
