feature_set,feature,manual_policy
content_added,front_loaded_ratio,AUTO
content_added,late_ratio,AUTO
content_added,max_day_share,AUTO
content_added,metadata_covered_watch_ratio,AUTO
content_added,genre_tag_entropy_norm,AUTO
content_added,rating_ratio_전체,AUTO
content_added,rating_ratio_15세,AUTO
content_added,rating_ratio_청불,AUTO
content_added,tag_ratio_액션,AUTO
content_added,tag_ratio_드라마,AUTO
content_added,tag_ratio_애니메이션_키즈,AUTO
content_added,tag_ratio_가족,AUTO
content_added,avg_runtime_weighted,AUTO
content_added,is_long_movie_ratio,AUTO
content_added,is_recent_content_ratio,AUTO
content_added,alloc_ratio_SF_판타지,AUTO
content_added,alloc_ratio_가족,AUTO
content_added,alloc_ratio_공포,AUTO
content_added,alloc_ratio_기타,AUTO
content_added,alloc_ratio_다큐_교양,AUTO
content_added,alloc_ratio_드라마,AUTO
content_added,alloc_ratio_로맨스,AUTO
content_added,alloc_ratio_모험_어드벤처,AUTO
content_added,alloc_ratio_스릴러_범죄,AUTO
content_added,alloc_ratio_애니메이션_키즈,AUTO
content_added,alloc_ratio_전쟁_재난,AUTO
content_added,alloc_ratio_코미디,AUTO
content_added,avg_content_age_from_2021_weighted,AUTO
content_added,avg_release_year_weighted,AUTO
content_added,country_ratio_chinese,AUTO
content_added,country_ratio_french,AUTO
content_added,country_ratio_hongkong,AUTO
content_added,country_ratio_japanese,AUTO
content_added,country_ratio_korean,AUTO
content_added,country_ratio_other_foreign,AUTO
content_added,country_ratio_uk,AUTO
content_added,country_ratio_us,AUTO
content_added,is_adult_content_ratio,AUTO
content_added,is_family_content_ratio,AUTO
content_added,is_japanese_content_ratio,AUTO
content_added,is_kids_animation_ratio,AUTO
content_added,is_korean_content_ratio,AUTO
content_added,is_old_content_ratio,AUTO
content_added,is_short_content_ratio,AUTO
content_added,is_us_content_ratio,AUTO
content_added,rating_ratio_7세,AUTO
content_added,rating_ratio_국민학생관람불가,AUTO
content_added,tag_ratio_SF_판타지,AUTO
content_added,tag_ratio_공포,AUTO
content_added,tag_ratio_기타,AUTO
content_added,tag_ratio_다큐_교양,AUTO
content_added,tag_ratio_로맨스,AUTO
content_added,tag_ratio_모험_어드벤처,AUTO
content_added,tag_ratio_스릴러_범죄,AUTO
content_added,tag_ratio_전쟁_재난,AUTO
content_added,tag_ratio_코미디,AUTO
without_churn_prevention,is_promotion,KEEP
without_churn_prevention,daily_watch_slope,AUTO
without_churn_prevention,alloc_dur_코미디,AUTO
without_churn_prevention,max_screen,AUTO
without_churn_prevention,promo_x_4screen,AUTO
without_churn_prevention,days_since_last_watch_to_obs_end,AUTO
without_churn_prevention,only_week1_flag,AUTO
without_churn_prevention,promo_x_2screen,AUTO
without_churn_prevention,family_2screen_lifestyle,AUTO
without_churn_prevention,promo2_family_lifestyle_candidate,AUTO
without_churn_prevention,stable_2screen_active,AUTO
without_churn_prevention,screen_2_flag,AUTO
without_churn_prevention,premium_action_trial_risk,AUTO
without_churn_prevention,discount_sensitive_risk,AUTO
without_churn_prevention,is_user_verified,AUTO
without_churn_prevention,country_entropy_norm,AUTO
without_churn_prevention,alloc_ratio_액션,AUTO
without_churn_prevention,promo_x_1screen,AUTO
without_churn_prevention,rating_ratio_12세,AUTO
without_churn_prevention,gender,AUTO
without_churn_prevention,billing_method,AUTO
without_churn_prevention,rating_dur_국민학생관람불가,AUTO
without_churn_prevention,total_sessions,AUTO
without_churn_prevention,unique_days,AUTO
without_churn_prevention,week1_ratio,AUTO
without_churn_prevention,week3_ratio,AUTO
without_churn_prevention,unique_contents,AUTO
without_churn_prevention,total_watch_time,AUTO
without_churn_prevention,w3_minus_w1_watch_time,AUTO
without_churn_prevention,tag_dur_코미디,AUTO
without_churn_prevention,screen_1_flag,AUTO
without_churn_prevention,screen_4_flag,AUTO
without_churn_prevention,price,AUTO
without_churn_prevention,age_band,AUTO
without_churn_prevention,age,AUTO
without_churn_prevention,payment_device,AUTO
without_churn_prevention,reg_hour,AUTO
without_churn_prevention,subscription_days,AUTO
without_churn_prevention,has_watch_obs,AUTO
without_churn_prevention,watch_days_ratio,AUTO
without_churn_prevention,front_loaded_ratio,AUTO
without_churn_prevention,late_ratio,AUTO
without_churn_prevention,max_day_share,AUTO
without_churn_prevention,metadata_covered_watch_ratio,AUTO
without_churn_prevention,genre_tag_entropy_norm,AUTO
without_churn_prevention,rating_ratio_전체,AUTO
without_churn_prevention,rating_ratio_15세,AUTO
without_churn_prevention,rating_ratio_청불,AUTO
without_churn_prevention,tag_ratio_액션,AUTO
without_churn_prevention,tag_ratio_드라마,AUTO
without_churn_prevention,tag_ratio_애니메이션_키즈,AUTO
without_churn_prevention,tag_ratio_가족,AUTO
without_churn_prevention,avg_runtime_weighted,AUTO
without_churn_prevention,is_long_movie_ratio,AUTO
without_churn_prevention,is_recent_content_ratio,AUTO
promotion_plan_focused,is_promotion,KEEP
promotion_plan_focused,max_screen,AUTO
promotion_plan_focused,screen_1_flag,AUTO
promotion_plan_focused,screen_2_flag,AUTO
promotion_plan_focused,screen_4_flag,AUTO
promotion_plan_focused,promo_x_1screen,AUTO
promotion_plan_focused,promo_x_2screen,AUTO
promotion_plan_focused,promo_x_4screen,AUTO
promotion_plan_focused,is_churn_prevented,KEEP
promotion_plan_focused,age,AUTO
promotion_plan_focused,gender,AUTO
promotion_plan_focused,billing_method,AUTO
promotion_plan_focused,payment_device,AUTO
promotion_plan_focused,has_watch_obs,AUTO
promotion_plan_focused,front_loaded_ratio,AUTO
promotion_plan_focused,late_ratio,AUTO
promotion_plan_focused,w3_minus_w1_watch_time,AUTO
promotion_plan_focused,stable_2screen_active,AUTO
promotion_plan_focused,discount_sensitive_risk,AUTO
promotion_plan_focused,family_2screen_lifestyle,AUTO
promotion_plan_focused,premium_action_trial_risk,AUTO
