check_name,status,value,notes,actual_model_output_folder,actual_figure_output_folder
ladder_growth_summary_created,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\11_baseline_growth_history_260513\run_20260514_143131,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\11_baseline_growth_history_260513\run_20260514_143131
best_baseline_by_scope_created,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\11_baseline_growth_history_260513\run_20260514_143131,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\11_baseline_growth_history_260513\run_20260514_143131
train_valid_gap_audit_created,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\11_baseline_growth_history_260513\run_20260514_143131,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\11_baseline_growth_history_260513\run_20260514_143131
selected_oof_predictions_created,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\11_baseline_growth_history_260513\run_20260514_143131,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\11_baseline_growth_history_260513\run_20260514_143131
score_orientation_policy_created,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\11_baseline_growth_history_260513\run_20260514_143131,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\11_baseline_growth_history_260513\run_20260514_143131
modeling_warnings_created,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\11_baseline_growth_history_260513\run_20260514_143131,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\11_baseline_growth_history_260513\run_20260514_143131
handoff_to_12_created,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\11_baseline_growth_history_260513\run_20260514_143131,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\11_baseline_growth_history_260513\run_20260514_143131
handoff_to_16_created,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\11_baseline_growth_history_260513\run_20260514_143131,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\11_baseline_growth_history_260513\run_20260514_143131
figures_created,PASS,6,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\11_baseline_growth_history_260513\run_20260514_143131,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\11_baseline_growth_history_260513\run_20260514_143131
figure_inventory_created,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\11_baseline_growth_history_260513\run_20260514_143131,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\11_baseline_growth_history_260513\run_20260514_143131
visualization_warnings_created,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\11_baseline_growth_history_260513\run_20260514_143131,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\11_baseline_growth_history_260513\run_20260514_143131
matplotlib_only_for_figures,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\11_baseline_growth_history_260513\run_20260514_143131,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\11_baseline_growth_history_260513\run_20260514_143131
seaborn_not_used,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\11_baseline_growth_history_260513\run_20260514_143131,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\11_baseline_growth_history_260513\run_20260514_143131
korean_font_found_or_warning_recorded,PASS,"['Malgun Gothic', 'Noto Sans CJK KR', 'Noto Sans KR', 'NanumGothic', 'AppleGothic', 'DejaVu Sans']",,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\11_baseline_growth_history_260513\run_20260514_143131,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\11_baseline_growth_history_260513\run_20260514_143131
readme_created,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\11_baseline_growth_history_260513\run_20260514_143131,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\11_baseline_growth_history_260513\run_20260514_143131
note_md_updated,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\11_baseline_growth_history_260513\run_20260514_143131,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\11_baseline_growth_history_260513\run_20260514_143131
review_zip_created,PASS,C:\Code\ott-churn-prediction\park.ingyeom\zip\11_baseline_growth_history_260513_review_package.zip,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\11_baseline_growth_history_260513\run_20260514_143131,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\11_baseline_growth_history_260513\run_20260514_143131
notebook_saved_with_outputs,PASS,C:\Code\ott-churn-prediction\park.ingyeom\notebook\11_baseline_growth_history_260513\11_baseline_growth_history_260513.ipynb,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\11_baseline_growth_history_260513\run_20260514_143131,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\11_baseline_growth_history_260513\run_20260514_143131
csv_output_count_is_23_excluding_readme,PASS,23,11_best_baseline_by_scope.csv;11_cv_fold_metrics.csv;11_cv_split_audit.csv;11_cv_summary_metrics.csv;11_dataset_scope_definition.csv;11_feature_ladder_definition.csv;11_feature_usage_by_ladder.csv;11_figure_inventory.csv;11_final_checks.csv;11_handoff_to_12_model_comparison.csv;11_handoff_to_16_shap_later.csv;11_ladder_growth_summary.csv;11_model_registry.csv;11_modeling_input_contract.csv;11_modeling_warnings.csv;11_oof_prediction_manifest.csv;11_oof_predictions_selected_baselines.csv;11_open_risks_for_next_steps.csv;11_preflight_input_validation.csv;11_safe_unsafe_wording.csv;11_score_orientation_policy.csv;11_train_valid_gap_audit.csv;11_visualization_warnings.csv,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\11_baseline_growth_history_260513\run_20260514_143131,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\11_baseline_growth_history_260513\run_20260514_143131
zip_contains_23_csv_outputs,PASS,23,park.ingyeom/reports/models/11_baseline_growth_history_260513/run_20260514_143131/11_best_baseline_by_scope.csv;park.ingyeom/reports/models/11_baseline_growth_history_260513/run_20260514_143131/11_cv_fold_metrics.csv;park.ingyeom/reports/models/11_baseline_growth_history_260513/run_20260514_143131/11_cv_split_audit.csv;park.ingyeom/reports/models/11_baseline_growth_history_260513/run_20260514_143131/11_cv_summary_metrics.csv;park.ingyeom/reports/models/11_baseline_growth_history_260513/run_20260514_143131/11_dataset_scope_definition.csv;park.ingyeom/reports/models/11_baseline_growth_history_260513/run_20260514_143131/11_feature_ladder_definition.csv;park.ingyeom/reports/models/11_baseline_growth_history_260513/run_20260514_143131/11_feature_usage_by_ladder.csv;park.ingyeom/reports/models/11_baseline_growth_history_260513/run_20260514_143131/11_figure_inventory.csv;park.ingyeom/reports/models/11_baseline_growth_history_260513/run_20260514_143131/11_final_checks.csv;park.ingyeom/reports/models/11_baseline_growth_history_260513/run_20260514_143131/11_handoff_to_12_model_comparison.csv;park.ingyeom/reports/models/11_baseline_growth_history_260513/run_20260514_143131/11_handoff_to_16_shap_later.csv;park.ingyeom/reports/models/11_baseline_growth_history_260513/run_20260514_143131/11_ladder_growth_summary.csv;park.ingyeom/reports/models/11_baseline_growth_history_260513/run_20260514_143131/11_model_registry.csv;park.ingyeom/reports/models/11_baseline_growth_history_260513/run_20260514_143131/11_modeling_input_contract.csv;park.ingyeom/reports/models/11_baseline_growth_history_260513/run_20260514_143131/11_modeling_warnings.csv;park.ingyeom/reports/models/11_baseline_growth_history_260513/run_20260514_143131/11_oof_prediction_manifest.csv;park.ingyeom/reports/models/11_baseline_growth_history_260513/run_20260514_143131/11_oof_predictions_selected_baselines.csv;park.ingyeom/reports/models/11_baseline_growth_history_260513/run_20260514_143131/11_open_risks_for_next_steps.csv;park.ingyeom/reports/models/11_baseline_growth_history_260513/run_20260514_143131/11_preflight_input_validation.csv;park.ingyeom/reports/models/11_baseline_growth_history_260513/run_20260514_143131/11_safe_unsafe_wording.csv;park.ingyeom/reports/models/11_baseline_growth_history_260513/run_20260514_143131/11_score_orientation_policy.csv;park.ingyeom/reports/models/11_baseline_growth_history_260513/run_20260514_143131/11_train_valid_gap_audit.csv;park.ingyeom/reports/models/11_baseline_growth_history_260513/run_20260514_143131/11_visualization_warnings.csv,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\11_baseline_growth_history_260513\run_20260514_143131,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\11_baseline_growth_history_260513\run_20260514_143131
zip_contains_required_core_files,PASS,True,notebook/readme/note/final_checks,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\11_baseline_growth_history_260513\run_20260514_143131,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\11_baseline_growth_history_260513\run_20260514_143131
zip_contains_required_png_figures,PASS,6,park.ingyeom/reports/figures/11_baseline_growth_history_260513/run_20260514_143131/11_fig_01_overall_ladder_auc.png;park.ingyeom/reports/figures/11_baseline_growth_history_260513/run_20260514_143131/11_fig_02_groupwise_ladder_auc.png;park.ingyeom/reports/figures/11_baseline_growth_history_260513/run_20260514_143131/11_fig_03_model_comparison_auc.png;park.ingyeom/reports/figures/11_baseline_growth_history_260513/run_20260514_143131/11_fig_04_train_valid_gap.png;park.ingyeom/reports/figures/11_baseline_growth_history_260513/run_20260514_143131/11_fig_05_fold_stability.png;park.ingyeom/reports/figures/11_baseline_growth_history_260513/run_20260514_143131/11_fig_06_baseline_growth_summary.png,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\11_baseline_growth_history_260513\run_20260514_143131,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\11_baseline_growth_history_260513\run_20260514_143131
