conflict_level,conflict_id,source_row_number,group_size,target_values_in_group,USER_KEY,product_code,price,billing_method,max_screen,is_promotion,is_churn_prevented,payment_device,is_user_verified,gender,age,reg_date,reg_hour,end_date,is_repurchase
strict,9,6070,2,N|Y,6513fff57e32407ab087206e57186ee4cbde4888a5f79702f9caee7d23d008d30360c95fe000694668cd0c5fd557fb0e1a6d4473abbb18652a717ebf2d5c471e,pk_1487,7900,180,1,,,pc,N,M,40,21-03-08,20,21-03-10,Y
strict,10,6074,2,N|Y,bbde69b7a6515144f270e2fecb881da3acd4986b74567a95098106971d617a005eda83a6cd7b4406833303e09c06df28295265efdf17ac03f96fb06cd19ae773,pk_1487,100,132,1,O,,android,Y,M,40,21-03-12,1,21-03-13,N
strict,10,6075,2,N|Y,bbde69b7a6515144f270e2fecb881da3acd4986b74567a95098106971d617a005eda83a6cd7b4406833303e09c06df28295265efdf17ac03f96fb06cd19ae773,pk_1487,100,132,1,O,,android,Y,M,40,21-03-12,1,21-03-13,Y
strict,11,6390,2,N|Y,acd40950177e99a0cbb7e02b45831db97950aae00b9f4d515176bc927b04d8d06b86593be7ce9896b74577972a3d4df931cb3beb53e4fe7d594e56b51ea31b4f,pk_1508,9.99,140,1,,,ios,N,N,40,21-03-08,16,21-03-08,N
strict,11,6391,2,N|Y,acd40950177e99a0cbb7e02b45831db97950aae00b9f4d515176bc927b04d8d06b86593be7ce9896b74577972a3d4df931cb3beb53e4fe7d594e56b51ea31b4f,pk_1508,9.99,140,1,,,ios,N,N,40,21-03-08,16,21-03-08,Y
strict,12,6873,2,N|Y,9abf8d2b6beec988fe416c81965fc2699dec74628220aeacf73e858099cd3adb49d625a774df82a1b4b9d2993fc05568ae254db51793f88a96c7e9df6e6d7e21,pk_1488,10900,134,2,,,android,Y,F,40,21-03-11,23,21-04-11,Y
strict,12,6874,2,N|Y,9abf8d2b6beec988fe416c81965fc2699dec74628220aeacf73e858099cd3adb49d625a774df82a1b4b9d2993fc05568ae254db51793f88a96c7e9df6e6d7e21,pk_1488,10900,134,2,,,android,Y,F,40,21-03-11,23,21-04-11,N
strict,13,6973,2,N|Y,637297b81d11f076809e4a4e167898177f9d5b8291ed155641336c239c7e4cb4439e72dde7f2db6df512780664064641e0feb63dbc2577f5404868097b3de53a,pk_1488,10900,134,2,,O,lgtv,Y,M,35,21-03-11,21,21-04-11,Y
strict,13,6974,2,N|Y,637297b81d11f076809e4a4e167898177f9d5b8291ed155641336c239c7e4cb4439e72dde7f2db6df512780664064641e0feb63dbc2577f5404868097b3de53a,pk_1488,10900,134,2,,O,lgtv,Y,M,35,21-03-11,21,21-04-11,N
strict,14,6982,2,N|Y,103ba40b65d0f0529dfa9b66e1a1fbb7df86de198a9ed6c5d6eef1b15f2f89e140204a5c4aae334f1ae2b91008af49729948346962e4d6a7330c54782f54a3a3,pk_844,10.99,140,,,,ios,N,F,40,21-03-08,0,21-03-08,Y
strict,14,6983,2,N|Y,103ba40b65d0f0529dfa9b66e1a1fbb7df86de198a9ed6c5d6eef1b15f2f89e140204a5c4aae334f1ae2b91008af49729948346962e4d6a7330c54782f54a3a3,pk_844,10.99,140,,,,ios,N,F,40,21-03-08,0,21-03-08,N
strict,15,7132,2,N|Y,bd62ee7470586d63761161ce63ff64a17f677340e516a43f743f89ef376ed5e47c9952e20cdf4485348345c27835d42efd3835bc449cda00c7f35ffca3c67207,pk_2025,100,151,1,O,,android,,M,45,21-03-12,16,21-03-12,N
strict,15,7133,2,N|Y,bd62ee7470586d63761161ce63ff64a17f677340e516a43f743f89ef376ed5e47c9952e20cdf4485348345c27835d42efd3835bc449cda00c7f35ffca3c67207,pk_2025,100,151,1,O,,android,,M,45,21-03-12,16,21-03-12,Y
strict,16,7207,2,N|Y,1f6832090ba671fb33d0e6b815ef15fac70cb2473875851e456f0c4f2a5dad5a702ec40460181e5d2a2f7b0cb3d7068c4145bb93d156c3e01c4f802c58df752d,pk_1487,7900,131,1,,,pc,Y,M,70,21-03-11,13,21-04-11,N
strict,16,7208,2,N|Y,1f6832090ba671fb33d0e6b815ef15fac70cb2473875851e456f0c4f2a5dad5a702ec40460181e5d2a2f7b0cb3d7068c4145bb93d156c3e01c4f802c58df752d,pk_1487,7900,131,1,,,pc,Y,M,70,21-03-11,13,21-04-11,Y
strict,17,9182,2,N|Y,83d0c481417cdebb162539d053ffe6b0bcbb5e13c6cade991001b55459c9c8088103ae7bb7fd8d668debdcfe5eb03689cdcac8f59d6265d476e41b77660c109a,pk_1488,10900,134,2,,,mobile,N,F,40,21-03-02,10,21-04-02,N
strict,17,9183,2,N|Y,83d0c481417cdebb162539d053ffe6b0bcbb5e13c6cade991001b55459c9c8088103ae7bb7fd8d668debdcfe5eb03689cdcac8f59d6265d476e41b77660c109a,pk_1488,10900,134,2,,,mobile,N,F,40,21-03-02,10,21-04-02,Y
strict,18,9200,2,N|Y,7fde7d15ef62456f67f8323066203ec3090257e53d48a8d88b6c4462e105099b85e499e0efccd162e5789c765e85912cf42eba356b5b22e46c68df7749793bb0,pk_1488,10900,134,2,,,lgtv,N,N,40,21-03-01,17,21-04-01,N
strict,18,9201,2,N|Y,7fde7d15ef62456f67f8323066203ec3090257e53d48a8d88b6c4462e105099b85e499e0efccd162e5789c765e85912cf42eba356b5b22e46c68df7749793bb0,pk_1488,10900,134,2,,,lgtv,N,N,40,21-03-01,17,21-04-01,Y
strict,19,9517,2,N|Y,63370177497798e110c86c207966d8348c67f2120eda7ba945226ff26336244fab642d3e92d9c87a3d195cabfca2910beefee7a4af4f4c681e44341d05e1ccd8,pk_1507,16.49,140,4,,,ios,Y,N,40,21-03-13,23,21-04-14,N
strict,19,9518,2,N|Y,63370177497798e110c86c207966d8348c67f2120eda7ba945226ff26336244fab642d3e92d9c87a3d195cabfca2910beefee7a4af4f4c681e44341d05e1ccd8,pk_1507,16.49,140,4,,,ios,Y,N,40,21-03-13,23,21-04-14,Y
strict,20,9630,2,N|Y,48a1980ffa4529b083aac4cd2905b676125fc2fe48903e11cdc8f3a40c5c91b386249156c3a04e9030cd90126f481478b9df5c2501b933c4c64cdaa1bb82fc91,pk_1488,10900,134,2,,,android,Y,M,45,21-03-12,19,21-04-12,Y
strict,20,9631,2,N|Y,48a1980ffa4529b083aac4cd2905b676125fc2fe48903e11cdc8f3a40c5c91b386249156c3a04e9030cd90126f481478b9df5c2501b933c4c64cdaa1bb82fc91,pk_1488,10900,134,2,,,android,Y,M,45,21-03-12,19,21-04-12,N
strict,21,10232,2,N|Y,072c0b5986c11d3c3e14fcd4f213a2cba2e973e41e635c1d51af7282689df42cb2d43ab52af8869a7780f26cd86e2f5ea384d3fbadca5ca2a72f04f77909084c,pk_1507,16.49,140,4,,,ios,N,N,40,21-03-09,21,21-03-09,N
strict,21,10233,2,N|Y,072c0b5986c11d3c3e14fcd4f213a2cba2e973e41e635c1d51af7282689df42cb2d43ab52af8869a7780f26cd86e2f5ea384d3fbadca5ca2a72f04f77909084c,pk_1507,16.49,140,4,,,ios,N,N,40,21-03-09,21,21-03-09,Y
strict,22,12299,2,N|Y,acd40950177e99a0cbb7e02b45831db97950aae00b9f4d515176bc927b04d8d06b86593be7ce9896b74577972a3d4df931cb3beb53e4fe7d594e56b51ea31b4f,pk_844,10.99,140,,,,ios,N,N,40,21-03-08,16,21-03-08,N
strict,22,12300,2,N|Y,acd40950177e99a0cbb7e02b45831db97950aae00b9f4d515176bc927b04d8d06b86593be7ce9896b74577972a3d4df931cb3beb53e4fe7d594e56b51ea31b4f,pk_844,10.99,140,,,,ios,N,N,40,21-03-08,16,21-03-08,Y
strict,23,12550,2,N|Y,6a66ddde66361935bf866d6d1ccd8c3a1186f958dc147ad5cd264b37bb18d74853e4ba4eb9f45710a9c30e7675764c7ad1d210349bbe2939d5c3f1aceaccb7e1,pk_1487,100,134,1,O,,android,Y,F,40,21-03-01,7,21-03-06,Y
strict,23,12551,2,N|Y,6a66ddde66361935bf866d6d1ccd8c3a1186f958dc147ad5cd264b37bb18d74853e4ba4eb9f45710a9c30e7675764c7ad1d210349bbe2939d5c3f1aceaccb7e1,pk_1487,100,134,1,O,,android,Y,F,40,21-03-01,7,21-03-06,N
strict,24,12832,2,N|Y,637297b81d11f076809e4a4e167898177f9d5b8291ed155641336c239c7e4cb4439e72dde7f2db6df512780664064641e0feb63dbc2577f5404868097b3de53a,pk_1487,7900,134,1,,O,android,Y,M,35,21-03-11,18,21-03-11,Y
strict,24,12833,2,N|Y,637297b81d11f076809e4a4e167898177f9d5b8291ed155641336c239c7e4cb4439e72dde7f2db6df512780664064641e0feb63dbc2577f5404868097b3de53a,pk_1487,7900,134,1,,O,android,Y,M,35,21-03-11,18,21-03-11,N
strict,25,12903,2,N|Y,6513fff57e32407ab087206e57186ee4cbde4888a5f79702f9caee7d23d008d30360c95fe000694668cd0c5fd557fb0e1a6d4473abbb18652a717ebf2d5c471e,pk_1488,10900,180,2,,,pc,N,M,40,21-03-10,22,21-04-10,N
strict,25,12904,2,N|Y,6513fff57e32407ab087206e57186ee4cbde4888a5f79702f9caee7d23d008d30360c95fe000694668cd0c5fd557fb0e1a6d4473abbb18652a717ebf2d5c471e,pk_1488,10900,180,2,,,pc,N,M,40,21-03-10,22,21-04-10,Y
strict,26,13731,2,N|Y,a0218892bc0315bc5a83ac264ab5efd8b90e1ad51b84ea8831c07bdee26f98deca7a33e5a3f56218df401f2763754e1ede70abac7e3dc74b49244a80854017dd,pk_1489,13900,132,4,,,pc,Y,M,25,21-03-10,4,21-03-10,Y
strict,26,13732,2,N|Y,a0218892bc0315bc5a83ac264ab5efd8b90e1ad51b84ea8831c07bdee26f98deca7a33e5a3f56218df401f2763754e1ede70abac7e3dc74b49244a80854017dd,pk_1489,13900,132,4,,,pc,Y,M,25,21-03-10,4,21-03-10,N
strict,27,13734,3,N|Y,30e3c9509b8d6102f80906a80afcd2a3593d4a69314509227839d972bc051a4c2411cac5aa2fabd6069781c5971ec4eec237a88cad2701712ba7806c533da7b8,pk_1487,7900,180,1,,,pc,Y,M,60,21-03-03,22,21-03-04,Y
strict,27,13735,3,N|Y,30e3c9509b8d6102f80906a80afcd2a3593d4a69314509227839d972bc051a4c2411cac5aa2fabd6069781c5971ec4eec237a88cad2701712ba7806c533da7b8,pk_1487,7900,180,1,,,pc,Y,M,60,21-03-03,22,21-03-04,N
strict,27,13736,3,N|Y,30e3c9509b8d6102f80906a80afcd2a3593d4a69314509227839d972bc051a4c2411cac5aa2fabd6069781c5971ec4eec237a88cad2701712ba7806c533da7b8,pk_1487,7900,180,1,,,pc,Y,M,60,21-03-03,22,21-03-04,Y
strict,28,13775,2,N|Y,9abf8d2b6beec988fe416c81965fc2699dec74628220aeacf73e858099cd3adb49d625a774df82a1b4b9d2993fc05568ae254db51793f88a96c7e9df6e6d7e21,pk_1487,100,134,1,O,,android,Y,F,40,21-03-11,23,21-03-11,Y
strict,28,13776,2,N|Y,9abf8d2b6beec988fe416c81965fc2699dec74628220aeacf73e858099cd3adb49d625a774df82a1b4b9d2993fc05568ae254db51793f88a96c7e9df6e6d7e21,pk_1487,100,134,1,O,,android,Y,F,40,21-03-11,23,21-03-11,N
strict,29,13835,2,N|Y,103ba40b65d0f0529dfa9b66e1a1fbb7df86de198a9ed6c5d6eef1b15f2f89e140204a5c4aae334f1ae2b91008af49729948346962e4d6a7330c54782f54a3a3,pk_1508,9.99,140,1,,,ios,N,F,40,21-03-08,0,21-03-08,Y
strict,29,13836,2,N|Y,103ba40b65d0f0529dfa9b66e1a1fbb7df86de198a9ed6c5d6eef1b15f2f89e140204a5c4aae334f1ae2b91008af49729948346962e4d6a7330c54782f54a3a3,pk_1508,9.99,140,1,,,ios,N,F,40,21-03-08,0,21-03-08,N
strict,30,13908,2,N|Y,1f6832090ba671fb33d0e6b815ef15fac70cb2473875851e456f0c4f2a5dad5a702ec40460181e5d2a2f7b0cb3d7068c4145bb93d156c3e01c4f802c58df752d,pk_1508,9.99,140,1,,,ios,Y,M,70,21-03-13,4,21-04-14,N
strict,30,13909,2,N|Y,1f6832090ba671fb33d0e6b815ef15fac70cb2473875851e456f0c4f2a5dad5a702ec40460181e5d2a2f7b0cb3d7068c4145bb93d156c3e01c4f802c58df752d,pk_1508,9.99,140,1,,,ios,Y,M,70,21-03-13,4,21-04-14,Y
strict,31,14051,3,N|Y,30e3c9509b8d6102f80906a80afcd2a3593d4a69314509227839d972bc051a4c2411cac5aa2fabd6069781c5971ec4eec237a88cad2701712ba7806c533da7b8,pk_1487,7900,180,1,,,pc,Y,M,60,21-03-06,22,21-03-07,Y
strict,31,14052,3,N|Y,30e3c9509b8d6102f80906a80afcd2a3593d4a69314509227839d972bc051a4c2411cac5aa2fabd6069781c5971ec4eec237a88cad2701712ba7806c533da7b8,pk_1487,7900,180,1,,,pc,Y,M,60,21-03-06,22,21-03-07,N
strict,31,14053,3,N|Y,30e3c9509b8d6102f80906a80afcd2a3593d4a69314509227839d972bc051a4c2411cac5aa2fabd6069781c5971ec4eec237a88cad2701712ba7806c533da7b8,pk_1487,7900,180,1,,,pc,Y,M,60,21-03-06,22,21-03-07,Y
strict,32,14469,3,N|Y,30e3c9509b8d6102f80906a80afcd2a3593d4a69314509227839d972bc051a4c2411cac5aa2fabd6069781c5971ec4eec237a88cad2701712ba7806c533da7b8,pk_1488,10900,180,2,,,pc,Y,M,60,21-03-02,10,21-03-03,Y
strict,32,14470,3,N|Y,30e3c9509b8d6102f80906a80afcd2a3593d4a69314509227839d972bc051a4c2411cac5aa2fabd6069781c5971ec4eec237a88cad2701712ba7806c533da7b8,pk_1488,10900,180,2,,,pc,Y,M,60,21-03-02,10,21-03-03,N
strict,32,14471,3,N|Y,30e3c9509b8d6102f80906a80afcd2a3593d4a69314509227839d972bc051a4c2411cac5aa2fabd6069781c5971ec4eec237a88cad2701712ba7806c533da7b8,pk_1488,10900,180,2,,,pc,Y,M,60,21-03-02,10,21-03-03,Y
strict,33,14934,2,N|Y,a0e40506661ca05143feb4a9949ffc4261c249ec29dcc68cdb8c88ec264a2bf6b7baac018ff0530823ddd5cb3efd72106ed0857f62fd97efeb7eab299ec83e72,pk_1506,13.49,140,2,,,ios,N,N,40,21-03-01,13,21-04-02,Y
strict,33,14935,2,N|Y,a0e40506661ca05143feb4a9949ffc4261c249ec29dcc68cdb8c88ec264a2bf6b7baac018ff0530823ddd5cb3efd72106ed0857f62fd97efeb7eab299ec83e72,pk_1506,13.49,140,2,,,ios,N,N,40,21-03-01,13,21-04-02,N
strict,34,15038,2,N|Y,6513fff57e32407ab087206e57186ee4cbde4888a5f79702f9caee7d23d008d30360c95fe000694668cd0c5fd557fb0e1a6d4473abbb18652a717ebf2d5c471e,pk_1488,10900,180,2,,,pc,N,M,40,21-03-07,19,21-03-08,N
strict,34,15039,2,N|Y,6513fff57e32407ab087206e57186ee4cbde4888a5f79702f9caee7d23d008d30360c95fe000694668cd0c5fd557fb0e1a6d4473abbb18652a717ebf2d5c471e,pk_1488,10900,180,2,,,pc,N,M,40,21-03-07,19,21-03-08,Y
strict,35,15910,2,N|Y,072c0b5986c11d3c3e14fcd4f213a2cba2e973e41e635c1d51af7282689df42cb2d43ab52af8869a7780f26cd86e2f5ea384d3fbadca5ca2a72f04f77909084c,pk_1508,9.99,140,1,,,ios,N,N,40,21-03-09,22,21-04-10,N
strict,35,15911,2,N|Y,072c0b5986c11d3c3e14fcd4f213a2cba2e973e41e635c1d51af7282689df42cb2d43ab52af8869a7780f26cd86e2f5ea384d3fbadca5ca2a72f04f77909084c,pk_1508,9.99,140,1,,,ios,N,N,40,21-03-09,22,21-04-10,Y
