dataset,column,rank,value,count,rate
Membership,USER_KEY,13,baba1c14dcdecfb7538102b30e4cb0f1de2b0db35fdc5306c8df2bc196954d82db4e8a05c1ab4562dfde6bfca92fb5c94f6b94a4aca605c4e6a1e0673a00b24a,4,0.000166
Membership,USER_KEY,14,412fe59a8f5ed105d97c6370f0113053f03efb04890b6814370720be519ee6b48803db2cf8ba59dde3825ff1c2d49765a93b31d2aecd81715ae0a392df3cf146,4,0.000166
Membership,USER_KEY,15,30b5277fa426741ace60d662191b7fdbb87c96bcee15e704fb38e9ee11b2d0477664db2ba37212d274be16254452d1965b0481d9e43ee1889611a604902c89a1,4,0.000166
Membership,USER_KEY,16,7fde7d15ef62456f67f8323066203ec3090257e53d48a8d88b6c4462e105099b85e499e0efccd162e5789c765e85912cf42eba356b5b22e46c68df7749793bb0,4,0.000166
Membership,USER_KEY,17,b4ef3e6518e866e89b69393c18b42f3770a1868d7496e70ea97aae3db2db13cef627f6b5fdc7ebf6e3c7cdb439e91905e8885298e01a8c6beaa98aad0d5715c0,4,0.000166
Membership,USER_KEY,18,6b8b057c60966804a172c907bbc80ee5e7e5df5329c23846e0ef6ce45e02960cfbe71f15b74fe3ada09b86a3e8ad4c6bab987058728a296077858143a79c6046,4,0.000166
Membership,USER_KEY,19,56412a01be53adfa434e714d21ec717f17516ad6267c1364ea562057a9157f88c219b6a2688c96e3ecc486befb66becae99aa064e1df2177a8c2fb8e1002f564,4,0.000166
Membership,USER_KEY,20,bd62ee7470586d63761161ce63ff64a17f677340e516a43f743f89ef376ed5e47c9952e20cdf4485348345c27835d42efd3835bc449cda00c7f35ffca3c67207,4,0.000166
Membership,product_code,1,pk_1487,8818,0.366287
Membership,product_code,2,pk_1488,3330,0.138324
Membership,product_code,3,pk_2025,3041,0.126319
Membership,product_code,4,pk_1489,2873,0.11934
Membership,product_code,5,pk_1508,2870,0.119216
Membership,product_code,6,pk_2026,833,0.034602
Membership,product_code,7,pk_1506,773,0.032109
Membership,product_code,8,pk_2027,738,0.030655
Membership,product_code,9,pk_1507,291,0.012088
Membership,product_code,10,pk_2005,161,0.006688
Membership,product_code,11,pk_844,63,0.002617
Membership,product_code,12,pk_1136,39,0.00162
Membership,product_code,13,pk_1494,38,0.001578
Membership,product_code,14,pk_121,34,0.001412
Membership,product_code,15,pk_2029,34,0.001412
Membership,product_code,16,pk_845,16,0.000665
Membership,product_code,17,pk_1139,9,0.000374
Membership,product_code,18,pk_1509,8,0.000332
Membership,product_code,19,pk_2028,7,0.000291
Membership,product_code,20,pk_188,7,0.000291
Membership,price,1,100,12178,0.505857
Membership,price,2,7900,4432,0.184099
Membership,price,3,9.99,2870,0.119216
Membership,price,4,10900,2053,0.085279
Membership,price,5,13900,808,0.033563
Membership,price,6,13.49,773,0.032109
Membership,price,7,16.49,304,0.012628
Membership,price,8,3950,169,0.00702
Membership,price,9,10.99,108,0.004486
Membership,price,10,6700,92,0.003822
Membership,price,11,6950,61,0.002534
Membership,price,12,13750,45,0.001869
Membership,price,13,5450,44,0.001828
Membership,price,14,6900,35,0.001454
Membership,price,15,14.29,30,0.001246
Membership,price,16,5900,15,0.000623
Membership,price,17,13.19,12,0.000498
Membership,price,18,9.89,7,0.000291
Membership,price,19,6210,7,0.000291
Membership,price,20,3350,6,0.000249
Membership,billing_method,1,134,6044,0.251059
Membership,billing_method,2,151,4653,0.193279
Membership,billing_method,3,140,4117,0.171014
Membership,billing_method,4,131,2470,0.1026
Membership,billing_method,5,132,2395,0.099485
Membership,billing_method,6,180,2253,0.093586
Membership,billing_method,7,190,1857,0.077137
Membership,billing_method,8,170,282,0.011714
Membership,billing_method,9,121,2,8.3e-05
Membership,billing_method,10,160,1,4.2e-05
Membership,max_screen,1,1,15124,0.62823
Membership,max_screen,2,2,4952,0.205699
Membership,max_screen,3,4,3905,0.162208
Membership,max_screen,4,,84,0.003489
Membership,max_screen,5,3,9,0.000374
Membership,is_promotion,1,O,12178,0.505857
Membership,is_promotion,2,,11896,0.494143
Membership,is_churn_prevented,1,,19767,0.821093
Membership,is_churn_prevented,2,O,4307,0.178907
Membership,payment_device,1,android,11168,0.463903
Membership,payment_device,2,pc,4685,0.194608
Membership,payment_device,3,ios,4117,0.171014
Membership,payment_device,4,mobile,3690,0.153277
Membership,payment_device,5,lgtv,187,0.007768
Membership,payment_device,6,sstv,128,0.005317
Membership,payment_device,7,ott,87,0.003614
Membership,payment_device,8,smarttv,9,0.000374
Membership,payment_device,9,lgchplus,2,8.3e-05
Membership,payment_device,10,ott_cjhello,1,4.2e-05
Membership,is_user_verified,1,Y,17822,0.740301
Membership,is_user_verified,2,N,5477,0.227507
Membership,is_user_verified,3,,775,0.032192
Membership,gender,1,F,12607,0.523677
Membership,gender,2,M,7443,0.309172
Membership,gender,3,N,3817,0.158553
Membership,gender,4,,207,0.008598
Membership,age,1,40,6775,0.281424
Membership,age,2,25,4068,0.168979
Membership,age,3,30,3603,0.149664
Membership,age,4,20,3227,0.134045
Membership,age,5,35,2389,0.099236
Membership,age,6,45,1346,0.055911
Membership,age,7,50,893,0.037094
Membership,age,8,55,481,0.01998
Membership,age,9,15,443,0.018402
Membership,age,10,60,333,0.013832
Membership,age,11,,207,0.008598
Membership,age,12,65,159,0.006605
Membership,age,13,70,80,0.003323
Membership,age,14,75,32,0.001329
Membership,age,15,80,19,0.000789
Membership,age,16,85,6,0.000249
Membership,age,17,0,5,0.000208
Membership,age,18,90,4,0.000166
Membership,age,19,950,1,4.2e-05
Membership,age,20,120,1,4.2e-05
Membership,reg_date,1,21-03-01,2765,0.114854
Membership,reg_date,2,21-03-06,2491,0.103473
Membership,reg_date,3,21-03-07,2201,0.091426
Membership,reg_date,4,21-03-13,2158,0.08964
Membership,reg_date,5,21-03-14,1754,0.072859
Membership,reg_date,6,21-03-02,1678,0.069702
Membership,reg_date,7,21-03-12,1523,0.063263
Membership,reg_date,8,21-03-05,1506,0.062557
Membership,reg_date,9,21-03-04,1266,0.052588
Membership,reg_date,10,21-03-03,1207,0.050137
Membership,reg_date,11,21-03-08,1191,0.049472
Membership,reg_date,12,21-03-15,1129,0.046897
Membership,reg_date,13,21-03-11,1086,0.045111
Membership,reg_date,14,21-03-09,1067,0.044322
Membership,reg_date,15,21-03-10,1052,0.043699
Membership,reg_hour,1,0,2010,0.083493
Membership,reg_hour,2,22,1932,0.080253
Membership,reg_hour,3,23,1708,0.070948
Membership,reg_hour,4,21,1675,0.069577
Membership,reg_hour,5,10,1456,0.06048
Membership,reg_hour,6,11,1423,0.059109
Membership,reg_hour,7,20,1400,0.058154
Membership,reg_hour,8,19,1371,0.056949
Membership,reg_hour,9,18,1183,0.04914
Membership,reg_hour,10,1,1034,0.042951
Membership,reg_hour,11,16,1009,0.041912
Membership,reg_hour,12,12,1005,0.041746
Membership,reg_hour,13,17,999,0.041497
Membership,reg_hour,14,14,957,0.039752
Membership,reg_hour,15,13,916,0.038049
Membership,reg_hour,16,15,914,0.037966
Membership,reg_hour,17,9,754,0.03132
Membership,reg_hour,18,2,552,0.022929
Membership,reg_hour,19,8,500,0.020769
Membership,reg_hour,20,3,358,0.014871
Membership,end_date,1,21-04-01,2325,0.096577
Membership,end_date,2,21-04-07,2252,0.093545
Membership,end_date,3,21-04-06,2235,0.092839
Membership,end_date,4,21-04-13,1971,0.081873
Membership,end_date,5,21-04-14,1844,0.076597
Membership,end_date,6,21-04-02,1597,0.066337
Membership,end_date,7,21-04-05,1415,0.058777
Membership,end_date,8,21-04-12,1402,0.058237
Membership,end_date,9,21-04-03,1368,0.056825
Membership,end_date,10,21-04-08,1345,0.055869
Membership,end_date,11,21-04-15,1207,0.050137
Membership,end_date,12,21-04-04,1186,0.049265
Membership,end_date,13,21-04-09,1058,0.043948
Membership,end_date,14,21-04-11,1055,0.043823
Membership,end_date,15,21-04-10,998,0.041456
Membership,end_date,16,21-04-16,166,0.006895
Membership,end_date,17,21-03-06,65,0.0027
Membership,end_date,18,21-03-01,61,0.002534
Membership,end_date,19,21-03-07,58,0.002409
Membership,end_date,20,21-03-08,49,0.002035
Membership,is_repurchase,1,Y,17325,0.719656
Membership,is_repurchase,2,N,6749,0.280344
User_Mapping,USER_KEY,1,30e3c9509b8d6102f80906a80afcd2a3593d4a69314509227839d972bc051a4c2411cac5aa2fabd6069781c5971ec4eec237a88cad2701712ba7806c533da7b8,3,0.000114
User_Mapping,USER_KEY,2,a0e40506661ca05143feb4a9949ffc4261c249ec29dcc68cdb8c88ec264a2bf6b7baac018ff0530823ddd5cb3efd72106ed0857f62fd97efeb7eab299ec83e72,2,7.6e-05
User_Mapping,USER_KEY,3,b4ef3e6518e866e89b69393c18b42f3770a1868d7496e70ea97aae3db2db13cef627f6b5fdc7ebf6e3c7cdb439e91905e8885298e01a8c6beaa98aad0d5715c0,2,7.6e-05
User_Mapping,USER_KEY,4,a50f9c29b7914f16ed84c7ebd23637c4b30ded58982095f8a937538e9e46671a585a7255f43fb35f9458eaf5138a46ee3a2f7d3c6a18c829ca005b03daa63c79,2,7.6e-05
User_Mapping,USER_KEY,5,48a1980ffa4529b083aac4cd2905b676125fc2fe48903e11cdc8f3a40c5c91b386249156c3a04e9030cd90126f481478b9df5c2501b933c4c64cdaa1bb82fc91,2,7.6e-05
User_Mapping,USER_KEY,6,a0218892bc0315bc5a83ac264ab5efd8b90e1ad51b84ea8831c07bdee26f98deca7a33e5a3f56218df401f2763754e1ede70abac7e3dc74b49244a80854017dd,2,7.6e-05
User_Mapping,USER_KEY,7,03207f956c0a2d363285286b1a9ede62e03373a9242253c7d6d5fb99819d4eb983fc1191e4dda5dd1b15ad690f9f115c47140236a4887ee22e1ab344985982d5,2,7.6e-05
User_Mapping,USER_KEY,8,638304111623b221d3535beb1e6aafe04b2794ba90a8a734b582c5faf8924ce6a62f5d5ceb06dd11348172e8ec8dbbe54401a71058c9073a413fb3755795fd88,2,7.6e-05
User_Mapping,USER_KEY,9,56412a01be53adfa434e714d21ec717f17516ad6267c1364ea562057a9157f88c219b6a2688c96e3ecc486befb66becae99aa064e1df2177a8c2fb8e1002f564,2,7.6e-05
User_Mapping,USER_KEY,10,07e8934c2a06f8b6e27296413d04e783282f9446ea0c8c983a99fbfcb6646e34c86e2ba3d365d822d0f6978b8b38a354b089e2caf0ffa9ab3c49df4151f13ac0,2,7.6e-05
User_Mapping,USER_KEY,11,6b8b057c60966804a172c907bbc80ee5e7e5df5329c23846e0ef6ce45e02960cfbe71f15b74fe3ada09b86a3e8ad4c6bab987058728a296077858143a79c6046,2,7.6e-05
User_Mapping,USER_KEY,12,baba1c14dcdecfb7538102b30e4cb0f1de2b0db35fdc5306c8df2bc196954d82db4e8a05c1ab4562dfde6bfca92fb5c94f6b94a4aca605c4e6a1e0673a00b24a,2,7.6e-05
User_Mapping,USER_KEY,13,bb905f9ac934ed4b7f9254b3c5be9f77e43b1df26752bb7a5617ef67d5bb89f6a145602c78fc36a831a459c02868f2543bfe7ccb3691d0de2eb4aa60da0b0cdc,2,7.6e-05
User_Mapping,USER_KEY,14,0258fd467c5765400d487d203f7c77afb597120daa9b1ede96e6a06122e89ea3120f1c5b6932ce435b954aab5da1999305ab7de84225bd741ee334c26ff1ce33,2,7.6e-05
User_Mapping,USER_KEY,15,e7607ee4e1a48b7147ad4807c099fbca1627cce1c30ab25a639cc2f2a05d8df6df46ac106d95d84d0e827213b85ee7c53b4f3283a2f362e025ec51451ced55b0,2,7.6e-05
User_Mapping,USER_KEY,16,bbde69b7a6515144f270e2fecb881da3acd4986b74567a95098106971d617a005eda83a6cd7b4406833303e09c06df28295265efdf17ac03f96fb06cd19ae773,2,7.6e-05
User_Mapping,USER_KEY,17,acd40950177e99a0cbb7e02b45831db97950aae00b9f4d515176bc927b04d8d06b86593be7ce9896b74577972a3d4df931cb3beb53e4fe7d594e56b51ea31b4f,2,7.6e-05
User_Mapping,USER_KEY,18,1f6832090ba671fb33d0e6b815ef15fac70cb2473875851e456f0c4f2a5dad5a702ec40460181e5d2a2f7b0cb3d7068c4145bb93d156c3e01c4f802c58df752d,2,7.6e-05
User_Mapping,USER_KEY,19,bd62ee7470586d63761161ce63ff64a17f677340e516a43f743f89ef376ed5e47c9952e20cdf4485348345c27835d42efd3835bc449cda00c7f35ffca3c67207,2,7.6e-05
User_Mapping,USER_KEY,20,7fde7d15ef62456f67f8323066203ec3090257e53d48a8d88b6c4462e105099b85e499e0efccd162e5789c765e85912cf42eba356b5b22e46c68df7749793bb0,2,7.6e-05
User_Mapping,USER_NUM,1,0,1,3.8e-05
User_Mapping,USER_NUM,2,1,1,3.8e-05
User_Mapping,USER_NUM,3,2,1,3.8e-05
User_Mapping,USER_NUM,4,3,1,3.8e-05
User_Mapping,USER_NUM,5,4,1,3.8e-05
User_Mapping,USER_NUM,6,5,1,3.8e-05
User_Mapping,USER_NUM,7,6,1,3.8e-05
User_Mapping,USER_NUM,8,7,1,3.8e-05
User_Mapping,USER_NUM,9,8,1,3.8e-05
User_Mapping,USER_NUM,10,9,1,3.8e-05
User_Mapping,USER_NUM,11,10,1,3.8e-05
User_Mapping,USER_NUM,12,11,1,3.8e-05
User_Mapping,USER_NUM,13,13,1,3.8e-05
User_Mapping,USER_NUM,14,14,1,3.8e-05
User_Mapping,USER_NUM,15,16,1,3.8e-05
User_Mapping,USER_NUM,16,17,1,3.8e-05
User_Mapping,USER_NUM,17,18,1,3.8e-05
User_Mapping,USER_NUM,18,19,1,3.8e-05
User_Mapping,USER_NUM,19,20,1,3.8e-05
User_Mapping,USER_NUM,20,21,1,3.8e-05
View_History,USER_NUM,1,4228,104,0.000593
View_History,USER_NUM,2,379,93,0.000531
View_History,USER_NUM,3,12984,86,0.000491
View_History,USER_NUM,4,12860,75,0.000428
View_History,USER_NUM,5,384,72,0.000411
View_History,USER_NUM,6,22186,72,0.000411
View_History,USER_NUM,7,15172,67,0.000382
View_History,USER_NUM,8,25823,67,0.000382
View_History,USER_NUM,9,19833,66,0.000376
View_History,USER_NUM,10,15382,62,0.000354
View_History,USER_NUM,11,16016,60,0.000342
View_History,USER_NUM,12,20462,60,0.000342
View_History,USER_NUM,13,22975,60,0.000342
View_History,USER_NUM,14,24049,60,0.000342
View_History,USER_NUM,15,5401,59,0.000337
View_History,USER_NUM,16,16687,58,0.000331
View_History,USER_NUM,17,443,56,0.000319
View_History,USER_NUM,18,24244,56,0.000319
View_History,USER_NUM,19,15639,55,0.000314
View_History,USER_NUM,20,22056,55,0.000314
View_History,MOVIE_NUM,1,2170,3974,0.02267
View_History,MOVIE_NUM,2,2198,2592,0.014786
View_History,MOVIE_NUM,3,1616,2474,0.014113
View_History,MOVIE_NUM,4,8579,2471,0.014096
View_History,MOVIE_NUM,5,1900,2180,0.012436
View_History,MOVIE_NUM,6,5184,2117,0.012076
View_History,MOVIE_NUM,7,6654,1972,0.011249
View_History,MOVIE_NUM,8,4201,1674,0.009549
View_History,MOVIE_NUM,9,13893,1599,0.009121
View_History,MOVIE_NUM,10,7874,1595,0.009099
View_History,MOVIE_NUM,11,10365,1489,0.008494
View_History,MOVIE_NUM,12,13215,1488,0.008488
View_History,MOVIE_NUM,13,10508,1456,0.008306
View_History,MOVIE_NUM,14,7211,1336,0.007621
View_History,MOVIE_NUM,15,3674,1258,0.007176
View_History,MOVIE_NUM,16,5038,1239,0.007068
View_History,MOVIE_NUM,17,7628,1209,0.006897
View_History,MOVIE_NUM,18,14250,1208,0.006891
View_History,MOVIE_NUM,19,8599,1186,0.006766
View_History,MOVIE_NUM,20,1494,1110,0.006332
View_History,watch_time(min),1,1,38667,0.220575
View_History,watch_time(min),2,2,7260,0.041414
View_History,watch_time(min),3,3,4300,0.024529
View_History,watch_time(min),4,4,3506,0.02
View_History,watch_time(min),5,5,3178,0.018129
View_History,watch_time(min),6,6,2850,0.016258
View_History,watch_time(min),7,7,2621,0.014951
View_History,watch_time(min),8,8,2467,0.014073
View_History,watch_time(min),9,9,2200,0.01255
View_History,watch_time(min),10,10,2038,0.011626
View_History,watch_time(min),11,11,1800,0.010268
View_History,watch_time(min),12,12,1710,0.009755
View_History,watch_time(min),13,13,1618,0.00923
View_History,watch_time(min),14,14,1530,0.008728
View_History,watch_time(min),15,15,1510,0.008614
View_History,watch_time(min),16,16,1421,0.008106
View_History,watch_time(min),17,17,1340,0.007644
View_History,watch_time(min),18,18,1264,0.00721
View_History,watch_time(min),19,20,1198,0.006834
View_History,watch_time(min),20,23,1175,0.006703
View_History,watch_day,1,20210320,10499,0.059891
View_History,watch_day,2,20210321,9780,0.05579
View_History,watch_day,3,20210314,9132,0.052093
View_History,watch_day,4,20210313,8303,0.047364
View_History,watch_day,5,20210327,7455,0.042527
View_History,watch_day,6,20210319,6998,0.03992
View_History,watch_day,7,20210316,6701,0.038226
View_History,watch_day,8,20210317,6566,0.037456
View_History,watch_day,9,20210318,6430,0.03668
View_History,watch_day,10,20210322,6421,0.036628
View_History,watch_day,11,20210328,6311,0.036001
View_History,watch_day,12,20210315,6276,0.035801
View_History,watch_day,13,20210312,5792,0.03304
View_History,watch_day,14,20210323,5787,0.033012
View_History,watch_day,15,20210324,5516,0.031466
View_History,watch_day,16,20210326,5304,0.030257
View_History,watch_day,17,20210307,5137,0.029304
View_History,watch_day,18,20210325,5116,0.029184
View_History,watch_day,19,20210311,4870,0.027781
View_History,watch_day,20,20210310,4335,0.024729
View_History,watch_seq,1,1,96124,0.548337
View_History,watch_seq,2,2,41688,0.237808
View_History,watch_seq,3,3,18340,0.10462
View_History,watch_seq,4,4,8658,0.049389
View_History,watch_seq,5,5,4289,0.024466
View_History,watch_seq,6,6,2363,0.01348
View_History,watch_seq,7,7,1387,0.007912
View_History,watch_seq,8,8,812,0.004632
View_History,watch_seq,9,9,516,0.002944
View_History,watch_seq,10,10,327,0.001865
View_History,watch_seq,11,11,219,0.001249
View_History,watch_seq,12,12,159,0.000907
View_History,watch_seq,13,13,114,0.00065
View_History,watch_seq,14,14,80,0.000456
View_History,watch_seq,15,15,53,0.000302
View_History,watch_seq,16,16,36,0.000205
View_History,watch_seq,17,17,28,0.00016
View_History,watch_seq,18,18,23,0.000131
View_History,watch_seq,19,19,18,0.000103
View_History,watch_seq,20,20,13,7.4e-05
Movie_Master,MOVIE_NUM,1,7507,6,0.000414
Movie_Master,MOVIE_NUM,2,2012,5,0.000345
Movie_Master,MOVIE_NUM,3,2491,5,0.000345
Movie_Master,MOVIE_NUM,4,3967,5,0.000345
Movie_Master,MOVIE_NUM,5,4178,5,0.000345
Movie_Master,MOVIE_NUM,6,5763,5,0.000345
Movie_Master,MOVIE_NUM,7,8103,5,0.000345
Movie_Master,MOVIE_NUM,8,9664,5,0.000345
Movie_Master,MOVIE_NUM,9,12683,5,0.000345
Movie_Master,MOVIE_NUM,10,1247,4,0.000276
Movie_Master,MOVIE_NUM,11,2045,4,0.000276
Movie_Master,MOVIE_NUM,12,5168,4,0.000276
Movie_Master,MOVIE_NUM,13,5188,4,0.000276
Movie_Master,MOVIE_NUM,14,5811,4,0.000276
Movie_Master,MOVIE_NUM,15,7931,4,0.000276
Movie_Master,MOVIE_NUM,16,8410,4,0.000276
Movie_Master,MOVIE_NUM,17,11709,4,0.000276
Movie_Master,MOVIE_NUM,18,12132,4,0.000276
Movie_Master,MOVIE_NUM,19,13176,4,0.000276
Movie_Master,MOVIE_NUM,20,14380,4,0.000276
Movie_Master,movie_title,1,실종(2008),6,0.000414
Movie_Master,movie_title,2,뮬란,5,0.000345
Movie_Master,movie_title,3,신데렐라,5,0.000345
Movie_Master,movie_title,4,뮬란(2020),5,0.000345
Movie_Master,movie_title,5,신데렐라(2015),5,0.000345
Movie_Master,movie_title,6,인어공주(1989),5,0.000345
Movie_Master,movie_title,7,챔피언(2018),5,0.000345
Movie_Master,movie_title,8,뮬란(2019),5,0.000345
Movie_Master,movie_title,9,챔피언,5,0.000345
Movie_Master,movie_title,10,상류사회(2018),4,0.000276
Movie_Master,movie_title,11,부활(2016),4,0.000276
Movie_Master,movie_title,12,비밀,4,0.000276
Movie_Master,movie_title,13,하루(2017),4,0.000276
Movie_Master,movie_title,14,몬스터(2014),4,0.000276
Movie_Master,movie_title,15,드라이브(2011),4,0.000276
Movie_Master,movie_title,16,정글북(2016),4,0.000276
Movie_Master,movie_title,17,정글북(1967),4,0.000276
Movie_Master,movie_title,18,몬스터(2003),4,0.000276
Movie_Master,movie_title,19,알라딘,4,0.000276
Movie_Master,movie_title,20,알라딘(2019),4,0.000276
Movie_Master,ott_release_month,1,201612,458,0.031582
Movie_Master,ott_release_month,2,202003,439,0.030272
Movie_Master,ott_release_month,3,201701,321,0.022135
Movie_Master,ott_release_month,4,201901,300,0.020687
Movie_Master,ott_release_month,5,202009,277,0.019101
Movie_Master,ott_release_month,6,202012,275,0.018963
Movie_Master,ott_release_month,7,201909,274,0.018894
Movie_Master,ott_release_month,8,201910,260,0.017929
Movie_Master,ott_release_month,9,201912,246,0.016963
Movie_Master,ott_release_month,10,201911,238,0.016412
Movie_Master,ott_release_month,11,202010,234,0.016136
Movie_Master,ott_release_month,12,202011,231,0.015929
Movie_Master,ott_release_month,13,201904,231,0.015929
Movie_Master,ott_release_month,14,201902,229,0.015791
Movie_Master,ott_release_month,15,202007,229,0.015791
Movie_Master,ott_release_month,16,201504,227,0.015653
Movie_Master,ott_release_month,17,201611,224,0.015446
Movie_Master,ott_release_month,18,202102,223,0.015377
Movie_Master,ott_release_month,19,202004,222,0.015308
Movie_Master,ott_release_month,20,202103,221,0.015239
Movie_Master,genre,1,Drama,3184,0.219556
Movie_Master,genre,2,Thriller/Crime,1838,0.126741
Movie_Master,genre,3,Horror,1587,0.109433
Movie_Master,genre,4,Comedy,1556,0.107296
Movie_Master,genre,5,Action/Adventure,1467,0.101158
Movie_Master,genre,6,SF/Fantasy,1373,0.094677
Movie_Master,genre,7,Romance,1088,0.075024
Movie_Master,genre,8,Documentary,757,0.0522
Movie_Master,genre,9,Animation/Family,732,0.050476
Movie_Master,genre,10,Historical/War,619,0.042684
Movie_Master,genre,11,Other,301,0.020756
