check,status,evidence
required output exists: 02c_date_parse_audit.csv,PASS,park.ingyeom/reports/tables/02c_v2_strict_preprocessing_correction/02c_date_parse_audit.csv
required output exists: 02c_numeric_parse_audit.csv,PASS,park.ingyeom/reports/tables/02c_v2_strict_preprocessing_correction/02c_numeric_parse_audit.csv
required output exists: 02c_categorical_standardization_audit.csv,PASS,park.ingyeom/reports/tables/02c_v2_strict_preprocessing_correction/02c_categorical_standardization_audit.csv
required output exists: 02c_removed_rows.csv,PASS,park.ingyeom/reports/tables/02c_v2_strict_preprocessing_correction/02c_removed_rows.csv
required output exists: 02c_removed_rows_by_reason.csv,PASS,park.ingyeom/reports/tables/02c_v2_strict_preprocessing_correction/02c_removed_rows_by_reason.csv
required output exists: 02c_before_after_row_counts.csv,PASS,park.ingyeom/reports/tables/02c_v2_strict_preprocessing_correction/02c_before_after_row_counts.csv
required output exists: 02c_before_after_target_distribution.csv,PASS,park.ingyeom/reports/tables/02c_v2_strict_preprocessing_correction/02c_before_after_target_distribution.csv
required output exists: 02c_before_after_value_distributions.csv,PASS,park.ingyeom/reports/tables/02c_v2_strict_preprocessing_correction/02c_before_after_value_distributions.csv
required output exists: 02c_age_correction_audit.csv,PASS,park.ingyeom/reports/tables/02c_v2_strict_preprocessing_correction/02c_age_correction_audit.csv
required output exists: 02c_duration_correction_audit.csv,PASS,park.ingyeom/reports/tables/02c_v2_strict_preprocessing_correction/02c_duration_correction_audit.csv
required output exists: 02c_max_screen_correction_audit.csv,PASS,park.ingyeom/reports/tables/02c_v2_strict_preprocessing_correction/02c_max_screen_correction_audit.csv
required output exists: 02c_price_correction_audit.csv,PASS,park.ingyeom/reports/tables/02c_v2_strict_preprocessing_correction/02c_price_correction_audit.csv
required output exists: 02c_unresolved_business_definition_flags.csv,PASS,park.ingyeom/reports/tables/02c_v2_strict_preprocessing_correction/02c_unresolved_business_definition_flags.csv
required output exists: 02c_rare_code_audit.csv,PASS,park.ingyeom/reports/tables/02c_v2_strict_preprocessing_correction/02c_rare_code_audit.csv
required output exists: 02c_usermapping_correction_audit.csv,PASS,park.ingyeom/reports/tables/02c_v2_strict_preprocessing_correction/02c_usermapping_correction_audit.csv
required output exists: 02c_moviemaster_correction_audit.csv,PASS,park.ingyeom/reports/tables/02c_v2_strict_preprocessing_correction/02c_moviemaster_correction_audit.csv
required output exists: 02c_viewhistory_temporal_policy_audit.csv,PASS,park.ingyeom/reports/tables/02c_v2_strict_preprocessing_correction/02c_viewhistory_temporal_policy_audit.csv
required output exists: 02c_downstream_rerun_requirement.csv,PASS,park.ingyeom/reports/tables/02c_v2_strict_preprocessing_correction/02c_downstream_rerun_requirement.csv
required output exists: 02c_downstream_deprecation_status.csv,PASS,park.ingyeom/reports/tables/02c_v2_strict_preprocessing_correction/02c_downstream_deprecation_status.csv
required output exists: 02c_standardized_column_contract.csv,PASS,park.ingyeom/reports/tables/02c_v2_strict_preprocessing_correction/02c_standardized_column_contract.csv
required output exists: 02c_row_count_before_after.png,PASS,park.ingyeom/reports/figures/02c_v2_strict_preprocessing_correction/02c_row_count_before_after.png
required output exists: 02c_target_distribution_before_after.png,PASS,park.ingyeom/reports/figures/02c_v2_strict_preprocessing_correction/02c_target_distribution_before_after.png
required output exists: 02c_removed_reason_counts.png,PASS,park.ingyeom/reports/figures/02c_v2_strict_preprocessing_correction/02c_removed_reason_counts.png
required output exists: 02c_duration_distribution_before_after.png,PASS,park.ingyeom/reports/figures/02c_v2_strict_preprocessing_correction/02c_duration_distribution_before_after.png
