source_row_number,USER_KEY,is_promotion,is_repurchase,reg_date,end_date,duration_days,flag_duration_lt_21,flag_duration_eq_0,flag_duration_21_30,flag_duration_ge_21,flag_invalid_reg_date,flag_invalid_end_date,flag_full_duplicate_all_columns,flag_full_duplicate_keep_first,flag_full_duplicate_to_exclude_from_main,flag_duplicated_USER_KEY,flag_cross_promotion_USER_KEY_overlap,primary_main_cohort_candidate_before_duplicate_policy,primary_main_cohort_final,exclusion_reason_for_primary_main_cohort,sensitivity_all_duration_candidate,anomaly_duration_lt21_reference
19,215870651ff3758eed08f033a15756df74a2360a0d080b6eeafbbe97646854adec9188e869d8f016d79cd0ad00d4b76ba42b14adc1364fb101e6c3ff29535ff4,0,1,2021-03-06,2021-04-06,31,0,0,0,1,0,0,0,0,0,0,0,1,1,included,1,0
20,f4fbd206eb9c6bee476a2d25b16a18eaaa05690b48a6de8d06670744fc129469fd584369d7eb709e806c87f36618426f059e9e0083651ac098b0324a312d0e3f,0,1,2021-03-13,2021-04-13,31,0,0,0,1,0,0,0,0,0,0,0,1,1,included,1,0
21,3eb81658b0cd17c628dbf7cbed98b09aa66e0383866feb05c194f05f0113581281a6e273245c27ec86fcb8e6e9b1127c6d018f3559c72438b1dcde09292da0c3,1,1,2021-03-13,2021-04-13,31,0,0,0,1,0,0,0,0,0,0,0,1,1,included,1,0
22,1ff9d693be9f6ff2efc65ebf39f40c568efe92e3e6d7e47412f5fb3fca14b490d2f83e8799c3c56d9c3ef2dd4e689614cfba205747baa01baf2310422acebcb8,1,0,2021-03-05,2021-04-05,31,0,0,0,1,0,0,0,0,0,0,0,1,1,included,1,0
23,6ed11f433b70f3cb9f774c989bb71d93d7eaf56490c7f0135def999959606e243e1b64dde71d199618dafd4a5fcc14253248964ee4dde610decb58610d95405b,0,1,2021-03-04,2021-04-05,32,0,0,0,1,0,0,0,0,0,0,0,1,1,included,1,0
24,c1f7ae1eaebdd5cdd89f308c424154b2f900c4f758fb646f54670431d460cfa819bd55836a8836937bcc708cdc307666e4e0d02d9cdcd69317b49f7055abd030,0,0,2021-03-08,2021-04-09,32,0,0,0,1,0,0,0,0,0,0,0,1,1,included,1,0
25,6d45315d362a00f79ee58e71c8f5f53221dd01b9816370548356290293bd1ec6afc1b182d7a5bbc5e30490e25883a06dd08a33a934c093e3b9476208c168067f,0,0,2021-03-12,2021-04-13,32,0,0,0,1,0,0,0,0,0,1,0,1,1,included,1,0
26,e4928824e8ad9da6a73129ef84ee2a2204c2a4679729d3550628432311dc07f0b351ef3a5799d68bbdf50b930d1c775c3bbd585286c850392d88806a73f94575,0,1,2021-03-12,2021-04-13,32,0,0,0,1,0,0,0,0,0,0,0,1,1,included,1,0
27,fe9e2fca758c974f49a09db206158db253bf74ed8083707bf0f1ca3674a4c26fea279f7de492bd9492ad1c82986dd7f1d52339aea683c584189119bf074d9098,0,1,2021-03-12,2021-04-12,31,0,0,0,1,0,0,0,0,0,0,0,1,1,included,1,0
28,c887b4e54e444c560ee497cd46c3d16a1a3261c1748b4c3cc80cbd14f30e0fb26ecd6329d6cacde21dcae528819ab251671e728edabbe9fc25ddb51421904393,0,1,2021-03-07,2021-04-08,32,0,0,0,1,0,0,0,0,0,0,0,1,1,included,1,0
29,2bff782c4dbe0aca845d2d9446f8ba48b59b10145e019f89abbf63462d1ab1b1740b97de6d842b2a91dd8006f7407733de3933cc1c23ed270b20333920f9edd0,1,0,2021-03-07,2021-04-07,31,0,0,0,1,0,0,0,0,0,0,0,1,1,included,1,0
30,f2a83e1251239860e793fe15c0e5bec01cea7cd6a1ad2bc23eb6f6388f2684a4bf7035ea33fcf99668145681f86395beb84c47466f16451b78890e6870759a05,0,0,2021-03-12,2021-04-12,31,0,0,0,1,0,0,0,0,0,1,0,1,1,included,1,0
31,3c6cf38edf4abe1327dd1462d2c7bddaa6df719cc8559552c7644f8d126424a5ecaf9c2bee3f5f71f6fa2d4b2f52b13cb86e6c089c9949d05833109d9f1c9639,0,0,2021-03-03,2021-04-04,32,0,0,0,1,0,0,0,0,0,0,0,1,1,included,1,0
32,1814e06633b810f4c8d91cdeb7c6c8b13aee0c3c95c957a6edac3bdec7c2e55e3ec614ff5feb37669b920d4c737cb6075abd292c9a65259cad9d63bb641bd634,0,0,2021-03-03,2021-04-03,31,0,0,0,1,0,0,0,0,0,0,0,1,1,included,1,0
33,d024c4c0cfe51211cd9ba4f100cc0814487f24922a52ad46bd3d607b956231ada7ac3bc7cb175b6c1b67ffb9ef9e2a375443cde996080787d274622bae202314,0,1,2021-03-02,2021-04-02,31,0,0,0,1,0,0,0,0,0,0,0,1,1,included,1,0
34,064b4d70d2129e99d78a97fa594485ab1d73b45a2eff9d3a4bd73cad1d888873faacf4f04dcff5319677ad2af01df416f3942c01725b3faea789e606abc0d41d,1,0,2021-03-10,2021-04-10,31,0,0,0,1,0,0,0,0,0,0,0,1,1,included,1,0
35,e90001316c5e9af579e09f4c374549e6cdb98896251e726c6bf9d0bee4feb4b5d27aeb5064f6176c114033c6ae4e5248a7a99bffa8654e62631f0591a90444e9,0,1,2021-03-11,2021-04-12,32,0,0,0,1,0,0,0,0,0,0,0,1,1,included,1,0
36,798a6947f2dca038aa7f74d4c477ddf7499485d9c252b40a1e27eb9b1c166fb032e1add3e7cd3b51f3cb8e42aafe7a62dbdeafd7d98dab2b4c45f9b97330792a,1,1,2021-03-11,2021-04-11,31,0,0,0,1,0,0,0,0,0,0,0,1,1,included,1,0
37,54175736d7329ec748fa16d244827714a36cab9941d37903ac2f898f9a6d71b1cde808b211e884c837cf8ecd3a0b1c927b4e9fcbbd754445d4849340003d20cc,1,0,2021-03-08,2021-04-08,31,0,0,0,1,0,0,0,0,0,0,0,1,1,included,1,0
38,bd8b18a2d5aa38bc122346789936e757442ddc3d8be8dde63be93e0f096d549584047b0c09010d9d12c1942af21e5c0271cde52eeaf7da8ae34c354119faf502,1,1,2021-03-14,2021-04-14,31,0,0,0,1,0,0,0,0,0,0,0,1,1,included,1,0
39,6be69d6fbce1d6347bf7dacb31db79a882bbee9a2171611cabd4c8a70abeb3e95cc978ad9c3f4c6610ce45a33930c609c4a81657c52ad5ade4ea85e5698d4f8b,0,1,2021-03-06,2021-04-07,32,0,0,0,1,0,0,0,0,0,0,0,1,1,included,1,0
40,f08d2ac930d5480ecda13e4d7d03d4d2dffb5a6a6023938aced45c95532d6589c78a14a90533e27ddc8dc0ce07842d9c9aa291341d2d1ed0b4c94f9ffc545f3b,1,1,2021-03-04,2021-04-04,31,0,0,0,1,0,0,0,0,0,0,0,1,1,included,1,0
41,8a9217ad1f2e18ba77d15d1eb0f73c4ea0c3105df50ccb8511122376fa6dfca3cc04fe7be3c15d4b920e1eccd13605a5e19927651751c436a36426f70d7eec92,1,1,2021-03-06,2021-04-06,31,0,0,0,1,0,0,0,0,0,0,0,1,1,included,1,0
42,093a5431bb5a7f2d8ed42a3c8dbeeba279fda5bd973bafc00d27a8f10c99734a2266025efc9e9e201ebdb74ea8ca52bc4bd7366f7cce1b9870b08038ee212a91,1,0,2021-03-06,2021-04-06,31,0,0,0,1,0,0,0,0,0,0,0,1,1,included,1,0
43,b809aa50af5a0b5394d295615ff0db12bcb7617b8858260907545cc9fce8aec59a203db14e6484ce7d05de9c11f53624542f0f4868710098c59e4994629a2223,1,1,2021-03-15,2021-04-15,31,0,0,0,1,0,0,0,0,0,0,0,1,1,included,1,0
44,9a6a9df054887c0beecc9e54a999bd28546d43d5154eeec0d0d2bff5b22de4ea097fcbf76811ba6abe54e8f43e11d311bbd48cac4a2e9813e9576d4309429425,0,1,2021-03-05,2021-04-06,32,0,0,0,1,0,0,0,0,0,0,0,1,1,included,1,0
45,9e2ddd58b29bf9cd74907a2ece4db4ae6c26b12ea44a28bc2f214286c162076251e268dd9fe9552b3521808267a6a5b28815c22584b0eca133dec028088f063e,1,0,2021-03-08,2021-04-08,31,0,0,0,1,0,0,0,0,0,0,0,1,1,included,1,0
46,dd6f29255829683dfe5531ffcabf6499bb6fc872a4dfc78f467e6979641697d6f47b952bdc8fd5db1b6ce840888eb556a2225562d669166e1578afa9f6c659be,0,0,2021-03-08,2021-04-09,32,0,0,0,1,0,0,0,0,0,0,0,1,1,included,1,0
47,a02a14ff1ab86edbfe46ad5a6a7fce054dc83c39aa7c362622171c550dcfe7099733a95d986e379eedfcb8edb5adc79c3f2439a56104f63410b83a10131c8ea5,0,1,2021-03-12,2021-04-12,31,0,0,0,1,0,0,1,1,0,1,0,1,1,included,1,0
48,a02a14ff1ab86edbfe46ad5a6a7fce054dc83c39aa7c362622171c550dcfe7099733a95d986e379eedfcb8edb5adc79c3f2439a56104f63410b83a10131c8ea5,0,1,2021-03-12,2021-04-12,31,0,0,0,1,0,0,1,0,1,1,0,1,0,exact_full_duplicate_extra_row,1,0
49,0b3e83e778e4ea290a852641094340f58e029090fdc2e26b20147fdfea6b0397e74d5735d3323bcc9ac31d0cea2bf47ca1eafb19389b985623501e9c919235fc,0,1,2021-03-12,2021-04-12,31,0,0,0,1,0,0,0,0,0,0,0,1,1,included,1,0
50,64307c3584a401e7794b9dfa17767400654c7d706aa5858683bb5b85dc4fd299dfb3a6e0d8366ea3d38800c694804bea598da56fe991e45e39345c766a60f5a7,1,0,2021-03-07,2021-04-07,31,0,0,0,1,0,0,0,0,0,0,0,1,1,included,1,0
51,3eeb0831d2284e7bec46b00e204e23aa37954352338b7ff3d16d58547266e7f68b62a987d293dbcc4be2895e96c40a8ee546b7a27ed022fd73f28d66f3ca091b,1,1,2021-03-07,2021-04-07,31,0,0,0,1,0,0,0,0,0,0,0,1,1,included,1,0
52,be1409957fae7ab50ed9241829bdfd6a89a838714f60b64619fbd5a7d7036b8d3417653d6ae1f4de2259045125dfbd6a30b6a1ac3904ac5739b3f47de1311ba4,0,1,2021-03-07,2021-04-07,31,0,0,0,1,0,0,0,0,0,0,0,1,1,included,1,0
53,c494c7c9bdec198be2723c4fd300084e8edb2bb32932731b449106cb4171a41920a05f23e4a92c44d5ecc5adf5f4dd6defa9a8203ea7bdbff8d2a63134fa86bf,0,0,2021-03-03,2021-04-03,31,0,0,0,1,0,0,0,0,0,0,0,1,1,included,1,0
54,349c7790951d3a818a75ee3e42036b7296a2f2b4cb686a6fb685eb28ba0bf5d602cd19eddf35ee3d609ce8369fc77ce5c09dc61741f4c49f61d527b888325f98,0,1,2021-03-02,2021-04-02,31,0,0,0,1,0,0,0,0,0,0,0,1,1,included,1,0
55,a19935a80061c8bcb5c8cd0fc3964b38f6af299fa93a5ecf8a76cf7712bb24679d2235cbb3b22d87a446d1f920cfce55679924e95479d59458a491c4c4ba5468,1,0,2021-03-02,2021-04-02,31,0,0,0,1,0,0,0,0,0,0,0,1,1,included,1,0
56,19953a84ed20d779c8c4e2398a1cfb21b00fc0899714ef73532e8146642da76f14161c25473abac4f557079b0ee07da0fd8829fffb5786d4ab73d0f971f13f77,1,1,2021-03-12,2021-04-12,31,0,0,0,1,0,0,0,0,0,0,0,1,1,included,1,0
57,01a2e024ad1ab913119f330fcbe827633b741e42544f31628e02f5e5873f3b45afa188f2b157a125079a90400399d9bbb6de3c90fb3820e5088695b9d6103964,0,1,2021-03-12,2021-04-12,31,0,0,0,1,0,0,0,0,0,0,0,1,1,included,1,0
58,4b42d3f6ecfbb3bca9de95a38f904728a8b61fdd367b5e00e05bee1580c58b9559702bac762ff403f15190b2eb3cba5742236bbd293bfed43d49f4b12a7045f1,0,1,2021-03-10,2021-04-10,31,0,0,0,1,0,0,0,0,0,0,0,1,1,included,1,0
59,266f04f978453a57d60fe1ece56253b7eeb043a7af98e2b55b1844901391635e9c0e7144df84728b4a9b31c5c26ace1b90e730770c2480c8c7d7d555c3dfe32c,0,1,2021-03-07,2021-04-07,31,0,0,0,1,0,0,0,0,0,0,0,1,1,included,1,0
60,6c6e5189a194500f1b87914305f9df56000de73fc56d9d16e8dece1f4740d85af08b19ecbb533ffb2fd3cb7cd9e9fcdcfb0819856c3409181850292f0e39af75,0,0,2021-03-02,2021-04-02,31,0,0,0,1,0,0,0,0,0,0,0,1,1,included,1,0
61,a0d95aac1fd00133569f6061039d7111db4fbd170eb9bcb7aa991632ac436ac22b63d738523e1dbf311c4c150c0e030878f2b370221ed5986c4c7478c7e9c469,0,1,2021-03-02,2021-04-02,31,0,0,0,1,0,0,0,0,0,0,0,1,1,included,1,0
62,9050b32b60b3ac034396ca9e1dd11cf888cf8203e142f5f7e28e42b79872b6fd7da0fd9f57333f8c193333747a135739cb796141817ca79a3fe38d431ac63b5e,1,0,2021-03-04,2021-04-04,31,0,0,0,1,0,0,0,0,0,0,0,1,1,included,1,0
63,69d2bf8e8eeaf6841830a7463d812e7b4004b31bdb8268b89c5330490197ffb4becbd6930202b813364a83fe20cea166db50b472de6fbc64f1b587fc93a9b942,1,1,2021-03-04,2021-04-04,31,0,0,0,1,0,0,0,0,0,0,0,1,1,included,1,0
64,f564eb45ab6092e8f0eac8991cc6b1407e8151a907a6994d65feffc37da873e486af3bf51ff723561a271b6de61a9b209ef0a6b8a58eb57fc635ef396acde29b,0,1,2021-03-04,2021-04-05,32,0,0,0,1,0,0,0,0,0,0,0,1,1,included,1,0
65,02198818f8c5721f3d4fd3ebeb263dc131dc95f4a50d722f9f8846517ab7e584a78a3524a29ae9053306ecebfd7e57608ef59206e047f6176430150bdda2570a,1,1,2021-03-05,2021-04-05,31,0,0,0,1,0,0,0,0,0,0,0,1,1,included,1,0
66,657687567505299f3b1028f3397b1f0805ca3b48afe84fb1b895fc8bdb0fb2084bc133c93431f7777b2cd37bd5685f61b064e78bc43513d1b909e0a8982c2b25,0,1,2021-03-14,2021-04-14,31,0,0,0,1,0,0,0,0,0,0,0,1,1,included,1,0
67,2c2f37050b3ffe8b4282f7f9172473db0975b38f868a40d8ca41c6857b760f52f633f5d75a6d1b747b753e5d8b470730dca0c00c07030088b958772a1307b582,1,0,2021-03-14,2021-04-14,31,0,0,0,1,0,0,0,0,0,0,0,1,1,included,1,0
68,b6e1c605d43a81a333689a8758dc241caf07b10c8bbe2ec2350963a072233fe9a686655a827d94ed5d11ceb8620ab5bccb4f7add3649ab8441ba97de3205e652,0,0,2021-03-13,2021-04-13,31,0,0,0,1,0,0,0,0,0,0,0,1,1,included,1,0
69,f24031228fe56757d75c6c8ef8990aabcddec282a837720a5717c1f3d5a33f111d09a5e7017b1f59308ac39fc6d033de088df732d95b42e4a5f4ceddf60d36e9,0,1,2021-03-13,2021-04-13,31,0,0,0,1,0,0,0,0,0,0,0,1,1,included,1,0
70,d974da95ce63bff74270d8e7888a0236d5d70fd2622f4a18ce20cc5baa1a2b5baa2929d51f441fdcf99695c07028bf73dfc6f00df85d7c6aa912aeed99b6a815,0,0,2021-03-13,2021-04-13,31,0,0,0,1,0,0,0,0,0,0,0,1,1,included,1,0
71,beb0ace233b0f7097c2b10da13120685fe555476e4969f24731e5ec652456d2fecf9f678eb0280b1cb7d25aff62a82a6ab4f7b2df6c0f394613e76a1e6bd8168,0,1,2021-03-13,2021-04-13,31,0,0,0,1,0,0,0,0,0,0,0,1,1,included,1,0
72,1e4aa5b1e9967225fcec114e8e2e5000412299fdabd5813f17c9987baa7e7220432fc64fa8530c28be46da2a78cbb84c4442a383cc07782459687b0f0850e37e,1,1,2021-03-01,2021-04-01,31,0,0,0,1,0,0,0,0,0,0,0,1,1,included,1,0
73,a2f91f19dbf8e9ba739248f971d3e89dc8f3c270c7c9dd3edf360535dd67c0c2dbbf0eddc964af8405b6f4d8ddd4b8c41021c76832d266f98d28d230543eb07e,0,1,2021-03-01,2021-04-01,31,0,0,0,1,0,0,0,0,0,0,0,1,1,included,1,0
74,fd2bafb6d7417937bd07cbc34ff8f7ca00cb635873b0838f72f99d5a64dc6b2365d2864621ddc45d40339d255ccc3d2f2efe2b267f63f0802d398339e53f12ba,0,1,2021-03-01,2021-04-01,31,0,0,0,1,0,0,0,0,0,0,0,1,1,included,1,0
75,dc8dafd268a9c3a699e010de41d5aa73c3ca5a11d88ea73be55c6e401ca9299c6a5008d162f9f19e8fba973f7fa52db6c4107630e9791bf94375913ed71ae653,1,1,2021-03-01,2021-04-01,31,0,0,0,1,0,0,0,0,0,0,0,1,1,included,1,0
76,5001f3439e676716df0fbe765c252772cb2a5a876fb35accb54c39589e548421f70f17edc938f037df707fbddb1074053230097bfd6793b8dd68fcb9e6f3e512,0,1,2021-03-06,2021-04-07,32,0,0,0,1,0,0,0,0,0,0,0,1,1,included,1,0
77,cc1e16a034095c8b9035f55a4ca780ef0c94435849d2a18ce4f9cea37664114c7090c32d24a1584ba229156107b773de0a57f3b4023b946cd2f02c9e7231a082,1,0,2021-03-06,2021-04-06,31,0,0,0,1,0,0,0,0,0,0,0,1,1,included,1,0
78,28d269c769a85cb8f4343b9a7e8210ea2b2d3e0a28fda97b8c0d21dc963828e56fe22dd94b1310699bd6a3d02f9b82fd3cb3748af0a3408739fa71b48f43d208,1,1,2021-03-04,2021-04-04,31,0,0,0,1,0,0,0,0,0,0,0,1,1,included,1,0
79,30db2cc30078f8e6fbbed242c1bb99de4ff68cb6b28dd1b0d3b226a01692f4b1680ae4cb0b9d51eb03d4c23662ec5ddbc5e9b8c39347cea53f9075b948e295c8,0,1,2021-03-15,2021-04-15,31,0,0,0,1,0,0,0,0,0,0,0,1,1,included,1,0
80,f946c579531646697febf1e38e760f0217e136cdfa808fd1145172ef34d1442806c4d6b12765045484b2c470245855b5970b36eebf92a5d2698172f406192589,1,0,2021-03-02,2021-04-02,31,0,0,0,1,0,0,0,0,0,0,0,1,1,included,1,0
81,8baa8b09a4b498a9097b18ef469f3b4ee04c94faf9d439b6534732140e5812092c7766d9e350ac29a62ae37fe0c340e05621700a641e94f5db208c3a1c2bcf3b,1,0,2021-03-02,2021-04-02,31,0,0,0,1,0,0,0,0,0,0,0,1,1,included,1,0
82,4d433accbc056692f414ff1e49359efa750d125966c721afa168ba8e47e2a2ff4bd224be62fd4e4ce7b90aeccf42f071165a081bedd837123daeb590fa8a35db,0,1,2021-03-13,2021-04-13,31,0,0,0,1,0,0,0,0,0,0,0,1,1,included,1,0
83,3ded0a9c2db6fe686356ef26117001aece8a79ee38d6581ce5be9e529d03727d3b43a0d5456904c87d7ab64686fa40004e09f59337f63efcd39192598dd603a3,0,1,2021-03-14,2021-04-14,31,0,0,0,1,0,0,0,0,0,0,0,1,1,included,1,0
84,0623b8a55736b57b418ecd92744dc6a2b70c6e71f418304329df0c0ab824eb2b3db46e751ec6c5dc017232806da50970a124747e0c8082db5f0170fd89e08e36,0,1,2021-03-01,2021-04-01,31,0,0,0,1,0,0,0,0,0,0,0,1,1,included,1,0
85,63db52472ffdb433df37b6f3d9a24cd6e3a018771a1c93b62c3756cf91713bb6d3008562ee6e7b36f04faef45efe89943ddafa0e8ae0aa4b50459690a86c9328,0,1,2021-03-06,2021-04-06,31,0,0,0,1,0,0,0,0,0,0,0,1,1,included,1,0
86,0c5a1d530e0dd25f2911bb80a5872cf08379b9303959f2994215fe78ff519dc59bee96e0cf7b73778c507959c327dfa263c8a2adfdc0e91e6eae5901de2a906f,1,1,2021-03-06,2021-04-06,31,0,0,0,1,0,0,0,0,0,0,0,1,1,included,1,0
87,0634a799ece50ee4596fa291c85f94c9cf09f374434dc48c1eb597aae100178f102fb48866139f3938c68e5900c403912572fb7625075023373cf1c8bdec35d0,1,1,2021-03-06,2021-04-06,31,0,0,0,1,0,0,0,0,0,0,0,1,1,included,1,0
88,21a3d32c1d0b64c073f8238d9447881646bad838000b1eb7ba26ce7fc3d8759f24f6d4c40c6056fc24f54c42c682c2c15dc02fccb89c7d7a904ec7ff9139b580,0,0,2021-03-06,2021-04-06,31,0,0,0,1,0,0,0,0,0,0,0,1,1,included,1,0
89,ece2758d62c1c7e69df595d89a524978ccb68683f58d549696d74151454323c2097252aa1b7eea981a76d23435dae47de88d76d688e9025088cd5c2dae929d2a,1,0,2021-03-06,2021-04-06,31,0,0,0,1,0,0,0,0,0,0,0,1,1,included,1,0
90,3134c156e69d7c9e8e2893d8ec976fdd9d9afde58f700cc075e359925b748c31777663ce4ced40b3be6caf843d9b92a517b43ca5cd0cfd82b8b3c76807acc7d9,1,0,2021-03-05,2021-04-05,31,0,0,0,1,0,0,0,0,0,0,0,1,1,included,1,0
91,0879dbde8c5f053b979dc09c4591f8e9bb77bcc02ec922705bb25c145bdf323107ef329414e1867b1a88a15e67ba2d834c314bf09a7457f79ea18e29e7cb8ada,0,1,2021-03-12,2021-04-12,31,0,0,0,1,0,0,0,0,0,0,0,1,1,included,1,0
92,15497b85b92e58b55250665b8a75679f2745e1f84e268d6cb8ec4b62c85642f3d6685f0af24b72c3e7ca36220d0c50dcd2d33299c0d5a249136f8e96e26032f2,1,0,2021-03-07,2021-04-07,31,0,0,0,1,0,0,0,0,0,0,0,1,1,included,1,0
93,c7b62dbd4bfd38be1640618ddacf4573cc07753d64dadf58a18fb2dd0267656dc605f36f989a039a8df65ca8c62521516cfb7496135d338f89c9615e8d4c1913,0,1,2021-03-07,2021-04-08,32,0,0,0,1,0,0,0,0,0,0,0,1,1,included,1,0
94,741d16f6440fffc00898b82522558be4687e5bd6f5e2d7a562b51382a988b706bc25bf716827c1df0b00d81048c917a5eaff404c9a4e4ca17e5f56285e437bfa,1,1,2021-03-07,2021-04-07,31,0,0,0,1,0,0,0,0,0,0,0,1,1,included,1,0
95,eb33023b51259f67261bc9817a3d1c38fbf08fc02e8c365f136f73b036c86ced1ec3f5a424bb30920f3fbfb2eb3d241738b835def9a280093970f5659c396797,0,1,2021-03-07,2021-04-08,32,0,0,0,1,0,0,0,0,0,0,0,1,1,included,1,0
96,18d719c58cd371d331ab87fc7b3249f385936fbf8863bb283fd53b017d4022ba74d7ff752aa3191343105b7e3201605af1fedf1ea5b8c61c2701f5e389dec332,1,1,2021-03-10,2021-04-10,31,0,0,0,1,0,0,0,0,0,0,0,1,1,included,1,0
97,1c6242a43fcea66f9e2daffe936de5c2e45a23c91221cbda6bdce85df22775a3136ad4fcc8783a918098fff9b864b447d43bef672687eca6e53f98385dbab4c6,1,1,2021-03-01,2021-04-01,31,0,0,0,1,0,0,0,0,0,0,0,1,1,included,1,0
