membership_row_id,w1_4_has_watch_obs,w1_4_no_watch_obs_flag,w1_4_total_watch_time,w1_4_total_sessions,w1_4_unique_contents,w1_4_unique_watch_days,w1_4_avg_watch_time_per_session,w1_4_sessions_per_active_day,w1_4_active_span_days,w1_4_first_watch_rel_day,w1_4_last_watch_rel_day,w1_4_week1_watch_time,w1_4_week2_watch_time,w1_4_week3_watch_time,w1_4_week1_sessions,w1_4_week2_sessions,w1_4_week3_sessions,w1_4_week1_ratio,w1_4_week2_ratio,w1_4_week3_ratio,w1_4_w2_minus_w1_watch_time,w1_4_w3_minus_w1_watch_time,w1_4_max_daily_watch_time,w1_4_max_day_share,w1_4_one_minute_watch_count,w1_4_short_watch_count_le5,w1_4_short_watch_time_le5,w1_4_week4_watch_time,w1_4_week4_sessions,w1_4_week4_ratio,w1_4_w4_minus_w1_watch_time,w1_4_w4_minus_w3_watch_time
20,1,0,100.0,9,8,3,11.111111,3.0,19,0,18,94.0,0.0,6.0,8,0,1,0.94,0.0,0.06,-94.0,-88.0,71.0,0.71,0,0,0.0,0.0,0,0.0,-94.0,-6.0
21,1,0,228.0,8,2,2,28.5,4.0,2,26,27,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,210.0,0.921053,4,4,4.0,228.0,8,1.0,228.0,228.0
22,1,0,125.0,3,2,2,41.666667,1.5,8,7,14,0.0,97.0,28.0,0,1,2,0.0,0.776,0.224,97.0,28.0,97.0,0.776,1,1,1.0,0.0,0,0.0,0.0,-28.0
23,1,0,4.0,1,1,1,4.0,1.0,1,8,8,0.0,4.0,0.0,0,1,0,0.0,1.0,0.0,4.0,0.0,4.0,1.0,0,1,4.0,0.0,0,0.0,0.0,0.0
24,1,0,166.0,9,8,4,18.444444,2.25,19,9,27,0.0,98.0,22.0,0,2,4,0.0,0.590361,0.13253,98.0,22.0,97.0,0.584337,2,5,12.0,46.0,3,0.277108,46.0,24.0
25,1,0,207.0,7,5,5,29.571429,1.4,16,5,20,40.0,70.0,97.0,2,3,2,0.193237,0.338164,0.468599,30.0,57.0,56.0,0.270531,2,2,2.0,0.0,0,0.0,-40.0,-97.0
26,1,0,12.0,1,1,1,12.0,1.0,1,15,15,0.0,0.0,12.0,0,0,1,0.0,0.0,1.0,0.0,12.0,12.0,1.0,0,0,0.0,0.0,0,0.0,0.0,-12.0
27,1,0,40.0,2,1,2,20.0,1.0,2,8,9,0.0,40.0,0.0,0,2,0,0.0,1.0,0.0,40.0,0.0,39.0,0.975,1,1,1.0,0.0,0,0.0,0.0,0.0
28,1,0,475.0,9,7,6,52.777778,1.5,17,1,17,228.0,1.0,246.0,5,1,3,0.48,0.002105,0.517895,-227.0,18.0,180.0,0.378947,3,4,5.0,0.0,0,0.0,-228.0,-246.0
29,1,0,241.0,3,3,3,80.333333,1.0,13,7,19,0.0,87.0,154.0,0,1,2,0.0,0.360996,0.639004,87.0,154.0,115.0,0.477178,0,0,0.0,0.0,0,0.0,0.0,-154.0
30,1,0,156.0,2,1,1,78.0,2.0,1,0,0,156.0,0.0,0.0,2,0,0,1.0,0.0,0.0,-156.0,-156.0,156.0,1.0,0,1,5.0,0.0,0,0.0,-156.0,0.0
31,0,1,0.0,0,0,0,0,0,0,,,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0,0.0
32,1,0,385.0,6,4,2,64.166667,3.0,8,4,11,82.0,303.0,0.0,3,3,0,0.212987,0.787013,0.0,221.0,-82.0,303.0,0.787013,1,1,1.0,0.0,0,0.0,-82.0,0.0
33,1,0,7.0,1,1,1,7.0,1.0,1,2,2,7.0,0.0,0.0,1,0,0,1.0,0.0,0.0,-7.0,-7.0,7.0,1.0,0,0,0.0,0.0,0,0.0,-7.0,0.0
34,1,0,3.0,1,1,1,3.0,1.0,1,17,17,0.0,0.0,3.0,0,0,1,0.0,0.0,1.0,0.0,3.0,3.0,1.0,0,1,3.0,0.0,0,0.0,0.0,-3.0
35,1,0,2.0,2,1,1,1.0,2.0,1,25,25,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2,2,2.0,2.0,2,1.0,2.0,2.0
36,1,0,398.0,7,6,5,56.857143,1.4,15,3,17,141.0,147.0,110.0,2,2,3,0.354271,0.369347,0.276382,6.0,-31.0,141.0,0.354271,0,1,4.0,0.0,0,0.0,-141.0,-110.0
37,1,0,328.0,5,3,4,65.6,1.25,13,5,17,42.0,194.0,92.0,1,3,1,0.128049,0.591463,0.280488,152.0,50.0,172.0,0.52439,0,0,0.0,0.0,0,0.0,-42.0,-92.0
38,1,0,146.0,5,3,4,29.2,1.25,8,5,12,8.0,138.0,0.0,1,4,0,0.054795,0.945205,0.0,130.0,-8.0,112.0,0.767123,0,1,4.0,0.0,0,0.0,-8.0,0.0
39,1,0,188.0,4,2,2,47.0,2.0,3,25,27,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,130.0,0.691489,1,1,1.0,188.0,4,1.0,188.0,188.0
40,1,0,2.0,2,2,2,1.0,1.0,6,0,5,2.0,0.0,0.0,2,0,0,1.0,0.0,0.0,-2.0,-2.0,1.0,0.5,2,2,2.0,0.0,0,0.0,-2.0,0.0
41,1,0,576.0,19,12,7,30.315789,2.714286,18,0,17,390.0,174.0,12.0,11,6,2,0.677083,0.302083,0.020833,-216.0,-378.0,258.0,0.447917,7,8,12.0,0.0,0,0.0,-390.0,-12.0
42,1,0,112.0,3,3,3,37.333333,1.0,24,2,25,4.0,67.0,0.0,1,1,0,0.035714,0.598214,0.0,63.0,-4.0,67.0,0.598214,0,1,4.0,41.0,1,0.366071,37.0,41.0
43,1,0,36.0,10,1,1,3.6,10.0,1,25,25,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,36.0,1.0,2,8,16.0,36.0,10,1.0,36.0,36.0
44,1,0,207.0,6,5,6,34.5,1.0,19,1,19,3.0,0.0,204.0,3,0,3,0.014493,0.0,0.985507,-3.0,201.0,200.0,0.966184,4,5,7.0,0.0,0,0.0,-3.0,-204.0
45,1,0,158.0,2,1,2,79.0,1.0,9,9,17,0.0,79.0,79.0,0,1,1,0.0,0.5,0.5,79.0,79.0,79.0,0.5,0,0,0.0,0.0,0,0.0,0.0,-79.0
46,1,0,1.0,1,1,1,1.0,1.0,1,22,22,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,1,1.0,1.0,1,1.0,1.0,1.0
47,1,0,105.0,2,1,2,52.5,1.0,2,20,21,0.0,0.0,42.0,0,0,1,0.0,0.0,0.4,0.0,42.0,63.0,0.6,0,0,0.0,63.0,1,0.6,63.0,21.0
48,1,0,844.0,20,15,10,42.2,2.0,17,0,16,231.0,302.0,311.0,2,7,11,0.273697,0.35782,0.368483,71.0,80.0,210.0,0.248815,2,4,7.0,0.0,0,0.0,-231.0,-311.0
50,1,0,145.0,4,3,3,36.25,1.333333,9,3,11,33.0,112.0,0.0,1,3,0,0.227586,0.772414,0.0,79.0,-33.0,97.0,0.668966,0,0,0.0,0.0,0,0.0,-33.0,0.0
51,1,0,284.0,11,8,9,25.818182,1.222222,16,2,17,209.0,74.0,1.0,6,4,1,0.735915,0.260563,0.003521,-135.0,-208.0,101.0,0.355634,6,6,6.0,0.0,0,0.0,-209.0,-1.0
52,1,0,679.0,10,8,6,67.9,1.666667,11,9,19,0.0,415.0,264.0,0,7,3,0.0,0.611193,0.388807,415.0,264.0,243.0,0.357879,1,1,1.0,0.0,0,0.0,0.0,-264.0
53,1,0,190.0,6,4,3,31.666667,2.0,13,0,12,97.0,93.0,0.0,4,2,0,0.510526,0.489474,0.0,-4.0,-97.0,97.0,0.510526,2,2,2.0,0.0,0,0.0,-97.0,0.0
54,1,0,368.0,13,7,8,28.307692,1.625,10,2,11,218.0,150.0,0.0,10,3,0,0.592391,0.407609,0.0,-68.0,-218.0,100.0,0.271739,1,2,5.0,0.0,0,0.0,-218.0,0.0
55,1,0,336.0,4,3,3,84.0,1.333333,20,0,19,236.0,0.0,100.0,3,0,1,0.702381,0.0,0.297619,-236.0,-136.0,177.0,0.526786,0,0,0.0,0.0,0,0.0,-236.0,-100.0
56,1,0,230.0,8,7,4,28.75,2.0,19,0,18,136.0,89.0,5.0,1,6,1,0.591304,0.386957,0.021739,-47.0,-131.0,136.0,0.591304,2,5,12.0,0.0,0,0.0,-136.0,-5.0
57,1,0,839.0,13,8,5,64.538462,2.6,7,0,6,839.0,0.0,0.0,13,0,0,1.0,0.0,0.0,-839.0,-839.0,328.0,0.390942,1,2,4.0,0.0,0,0.0,-839.0,0.0
58,1,0,102.0,1,1,1,102.0,1.0,1,21,21,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,102.0,1.0,0,0,0.0,102.0,1,1.0,102.0,102.0
59,1,0,148.0,4,3,3,37.0,1.333333,10,1,10,133.0,15.0,0.0,3,1,0,0.898649,0.101351,0.0,-118.0,-133.0,80.0,0.540541,0,0,0.0,0.0,0,0.0,-133.0,0.0
60,1,0,74.0,2,2,1,37.0,2.0,1,24,24,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,74.0,1.0,1,1,1.0,74.0,2,1.0,74.0,74.0
61,1,0,226.0,2,1,2,113.0,1.0,8,5,12,134.0,92.0,0.0,1,1,0,0.59292,0.40708,0.0,-42.0,-134.0,134.0,0.59292,0,0,0.0,0.0,0,0.0,-134.0,0.0
62,1,0,254.0,2,2,2,127.0,1.0,12,0,11,145.0,109.0,0.0,1,1,0,0.570866,0.429134,0.0,-36.0,-145.0,145.0,0.570866,0,0,0.0,0.0,0,0.0,-145.0,0.0
63,1,0,318.0,5,3,2,63.6,2.5,2,2,3,318.0,0.0,0.0,5,0,0,1.0,0.0,0.0,-318.0,-318.0,193.0,0.606918,2,2,2.0,0.0,0,0.0,-318.0,0.0
64,1,0,689.0,10,1,5,68.9,2.0,5,17,21,0.0,0.0,480.0,0,0,8,0.0,0.0,0.696662,0.0,480.0,246.0,0.357039,0,0,0.0,209.0,2,0.303338,209.0,-271.0
65,1,0,228.0,8,6,4,28.5,2.0,15,3,17,93.0,58.0,77.0,1,4,3,0.407895,0.254386,0.337719,-35.0,-16.0,93.0,0.407895,3,4,5.0,0.0,0,0.0,-93.0,-77.0
66,1,0,1180.0,24,12,13,49.166667,1.846154,20,1,20,590.0,408.0,182.0,12,7,5,0.5,0.345763,0.154237,-182.0,-408.0,228.0,0.19322,5,7,10.0,0.0,0,0.0,-590.0,-182.0
67,1,0,774.0,22,16,9,35.181818,2.444444,17,5,21,196.0,44.0,378.0,6,3,9,0.25323,0.056848,0.488372,-152.0,182.0,267.0,0.344961,7,9,14.0,156.0,4,0.20155,-40.0,-222.0
68,1,0,84.0,5,4,4,16.8,1.25,20,1,20,23.0,60.0,1.0,2,2,1,0.27381,0.714286,0.011905,37.0,-22.0,60.0,0.714286,2,2,2.0,0.0,0,0.0,-23.0,-1.0
69,1,0,1.0,1,1,1,1.0,1.0,1,6,6,1.0,0.0,0.0,1,0,0,1.0,0.0,0.0,-1.0,-1.0,1.0,1.0,1,1,1.0,0.0,0,0.0,-1.0,0.0
70,1,0,354.0,10,4,3,35.4,3.333333,15,7,21,0.0,226.0,0.0,0,4,0,0.0,0.638418,0.0,226.0,0.0,139.0,0.392655,2,6,16.0,128.0,6,0.361582,128.0,128.0
71,1,0,1.0,1,1,1,1.0,1.0,1,2,2,1.0,0.0,0.0,1,0,0,1.0,0.0,0.0,-1.0,-1.0,1.0,1.0,1,1,1.0,0.0,0,0.0,-1.0,0.0
72,1,0,403.0,8,2,3,50.375,2.666667,8,1,8,276.0,127.0,0.0,5,3,0,0.684864,0.315136,0.0,-149.0,-276.0,276.0,0.684864,3,4,5.0,0.0,0,0.0,-276.0,0.0
73,1,0,333.0,6,4,3,55.5,2.0,15,3,17,232.0,0.0,101.0,3,0,3,0.696697,0.0,0.303303,-232.0,-131.0,117.0,0.351351,2,3,4.0,0.0,0,0.0,-232.0,-101.0
74,1,0,219.0,5,4,4,43.8,1.25,8,8,15,0.0,140.0,79.0,0,2,3,0.0,0.639269,0.360731,140.0,79.0,77.0,0.351598,1,1,1.0,0.0,0,0.0,0.0,-79.0
75,1,0,56.0,5,1,4,11.2,1.25,18,3,20,1.0,0.0,55.0,1,0,4,0.017857,0.0,0.982143,-1.0,54.0,38.0,0.678571,1,1,1.0,0.0,0,0.0,-1.0,-55.0
76,1,0,506.0,6,2,1,84.333333,6.0,1,10,10,0.0,506.0,0.0,0,6,0,0.0,1.0,0.0,506.0,0.0,506.0,1.0,2,2,2.0,0.0,0,0.0,0.0,0.0
77,1,0,117.0,3,3,1,39.0,3.0,1,7,7,0.0,117.0,0.0,0,3,0,0.0,1.0,0.0,117.0,0.0,117.0,1.0,1,2,3.0,0.0,0,0.0,0.0,0.0
78,1,0,643.0,18,9,7,35.722222,2.571429,10,7,16,0.0,570.0,73.0,0,15,3,0.0,0.88647,0.11353,570.0,73.0,214.0,0.332815,5,7,12.0,0.0,0,0.0,0.0,-73.0
79,1,0,464.0,7,5,3,66.285714,2.333333,13,4,16,4.0,0.0,460.0,2,0,5,0.008621,0.0,0.991379,-4.0,456.0,431.0,0.928879,1,2,4.0,0.0,0,0.0,-4.0,-460.0
80,1,0,95.0,3,1,1,31.666667,3.0,1,5,5,95.0,0.0,0.0,3,0,0,1.0,0.0,0.0,-95.0,-95.0,95.0,1.0,1,2,4.0,0.0,0,0.0,-95.0,0.0
81,1,0,405.0,6,4,4,67.5,1.5,13,1,13,283.0,122.0,0.0,4,2,0,0.698765,0.301235,0.0,-161.0,-283.0,157.0,0.387654,0,0,0.0,0.0,0,0.0,-283.0,0.0
82,1,0,267.0,4,4,2,66.75,2.0,2,11,12,0.0,267.0,0.0,0,4,0,0.0,1.0,0.0,267.0,0.0,149.0,0.558052,0,0,0.0,0.0,0,0.0,0.0,0.0
83,1,0,10.0,2,1,2,5.0,1.0,2,14,15,0.0,0.0,10.0,0,0,2,0.0,0.0,1.0,0.0,10.0,9.0,0.9,1,1,1.0,0.0,0,0.0,0.0,-10.0
84,1,0,383.0,7,6,4,54.714286,1.75,19,1,19,6.0,209.0,168.0,1,3,3,0.015666,0.545692,0.438642,203.0,162.0,209.0,0.545692,1,2,5.0,0.0,0,0.0,-6.0,-168.0
85,1,0,602.0,5,2,2,120.4,2.5,6,22,27,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,600.0,0.996678,2,2,2.0,602.0,5,1.0,602.0,602.0
86,1,0,639.0,14,11,5,45.642857,2.8,9,9,17,0.0,381.0,258.0,0,9,5,0.0,0.596244,0.403756,381.0,258.0,221.0,0.345853,5,5,5.0,0.0,0,0.0,0.0,-258.0
87,1,0,8.0,1,1,1,8.0,1.0,1,18,18,0.0,0.0,8.0,0,0,1,0.0,0.0,1.0,0.0,8.0,8.0,1.0,0,0,0.0,0.0,0,0.0,0.0,-8.0
88,1,0,408.0,7,5,4,58.285714,1.75,12,4,15,164.0,0.0,244.0,3,0,4,0.401961,0.0,0.598039,-164.0,80.0,153.0,0.375,1,1,1.0,0.0,0,0.0,-164.0,-244.0
89,1,0,168.0,2,2,2,84.0,1.0,2,3,4,168.0,0.0,0.0,2,0,0,1.0,0.0,0.0,-168.0,-168.0,162.0,0.964286,0,0,0.0,0.0,0,0.0,-168.0,0.0
90,1,0,6.0,4,4,1,1.5,4.0,1,1,1,6.0,0.0,0.0,4,0,0,1.0,0.0,0.0,-6.0,-6.0,6.0,1.0,2,4,6.0,0.0,0,0.0,-6.0,0.0
91,1,0,135.0,2,1,2,67.5,1.0,2,0,1,135.0,0.0,0.0,2,0,0,1.0,0.0,0.0,-135.0,-135.0,112.0,0.82963,0,0,0.0,0.0,0,0.0,-135.0,0.0
92,1,0,122.0,5,5,3,24.4,1.666667,8,2,9,118.0,4.0,0.0,1,4,0,0.967213,0.032787,0.0,-114.0,-118.0,118.0,0.967213,4,4,4.0,0.0,0,0.0,-118.0,0.0
93,1,0,150.0,12,10,6,12.5,2.0,14,3,16,51.0,66.0,33.0,4,5,3,0.34,0.44,0.22,15.0,-18.0,50.0,0.333333,1,1,1.0,0.0,0,0.0,-51.0,-33.0
94,1,0,140.0,4,4,2,35.0,2.0,14,0,13,94.0,46.0,0.0,1,3,0,0.671429,0.328571,0.0,-48.0,-94.0,94.0,0.671429,0,0,0.0,0.0,0,0.0,-94.0,0.0
95,1,0,533.0,23,14,8,23.173913,2.875,20,0,19,14.0,94.0,425.0,2,6,15,0.026266,0.17636,0.797373,80.0,411.0,233.0,0.437148,14,14,14.0,0.0,0,0.0,-14.0,-425.0
96,1,0,716.0,24,16,8,29.833333,3.0,20,0,19,125.0,560.0,31.0,2,21,1,0.174581,0.782123,0.043296,435.0,-94.0,172.0,0.240223,5,9,17.0,0.0,0,0.0,-125.0,-31.0
97,1,0,283.0,8,5,5,35.375,1.6,9,1,9,89.0,194.0,0.0,3,5,0,0.314488,0.685512,0.0,105.0,-89.0,137.0,0.484099,1,1,1.0,0.0,0,0.0,-89.0,0.0
98,1,0,187.0,3,2,3,62.333333,1.0,12,1,12,128.0,59.0,0.0,1,2,0,0.684492,0.315508,0.0,-69.0,-128.0,128.0,0.684492,0,0,0.0,0.0,0,0.0,-128.0,0.0
99,1,0,66.0,4,4,4,16.5,1.0,22,0,21,58.0,6.0,1.0,1,1,1,0.878788,0.090909,0.015152,-52.0,-57.0,58.0,0.878788,2,2,2.0,1.0,1,0.015152,-57.0,0.0
100,1,0,296.0,13,7,5,22.769231,2.6,18,0,17,116.0,0.0,180.0,9,0,4,0.391892,0.0,0.608108,-116.0,64.0,180.0,0.608108,7,8,9.0,0.0,0,0.0,-116.0,-180.0
101,1,0,100.0,5,2,3,20.0,1.666667,3,5,7,76.0,24.0,0.0,4,1,0,0.76,0.24,0.0,-52.0,-76.0,61.0,0.61,0,2,6.0,0.0,0,0.0,-76.0,0.0
102,1,0,114.0,1,1,1,114.0,1.0,1,5,5,114.0,0.0,0.0,1,0,0,1.0,0.0,0.0,-114.0,-114.0,114.0,1.0,0,0,0.0,0.0,0,0.0,-114.0,0.0
103,1,0,332.0,15,9,10,22.133333,1.5,17,1,17,225.0,73.0,34.0,7,5,3,0.677711,0.21988,0.10241,-152.0,-191.0,159.0,0.478916,8,9,13.0,0.0,0,0.0,-225.0,-34.0
104,1,0,363.0,6,4,5,60.5,1.2,12,2,13,64.0,299.0,0.0,2,4,0,0.176309,0.823691,0.0,235.0,-64.0,110.0,0.30303,0,0,0.0,0.0,0,0.0,-64.0,0.0
105,1,0,465.0,6,4,5,77.5,1.2,13,1,13,111.0,354.0,0.0,2,4,0,0.23871,0.76129,0.0,243.0,-111.0,177.0,0.380645,0,0,0.0,0.0,0,0.0,-111.0,0.0
106,1,0,682.0,11,6,8,62.0,1.375,16,0,15,173.0,353.0,156.0,5,4,2,0.253666,0.517595,0.228739,180.0,-17.0,348.0,0.510264,2,7,14.0,0.0,0,0.0,-173.0,-156.0
107,1,0,70.0,9,8,6,7.777778,1.5,17,1,17,43.0,11.0,16.0,6,2,1,0.614286,0.157143,0.228571,-32.0,-27.0,20.0,0.285714,1,4,13.0,0.0,0,0.0,-43.0,-16.0
108,1,0,1570.0,28,17,10,56.071429,2.8,20,1,20,440.0,736.0,394.0,6,13,9,0.280255,0.46879,0.250955,296.0,-46.0,321.0,0.204459,6,8,12.0,0.0,0,0.0,-440.0,-394.0
109,1,0,11.0,7,6,4,1.571429,1.75,12,6,17,7.0,1.0,3.0,4,1,2,0.636364,0.090909,0.272727,-6.0,-4.0,7.0,0.636364,3,7,11.0,0.0,0,0.0,-7.0,-3.0
110,1,0,146.0,1,1,1,146.0,1.0,1,27,27,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,146.0,1.0,0,0,0.0,146.0,1,1.0,146.0,146.0
111,1,0,1.0,1,1,1,1.0,1.0,1,15,15,0.0,0.0,1.0,0,0,1,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1,1,1.0,0.0,0,0.0,0.0,-1.0
112,1,0,470.0,10,5,6,47.0,1.666667,19,0,18,134.0,134.0,202.0,3,4,3,0.285106,0.285106,0.429787,0.0,68.0,201.0,0.42766,5,5,5.0,0.0,0,0.0,-134.0,-202.0
113,1,0,351.0,11,4,6,31.909091,1.833333,26,0,25,71.0,0.0,279.0,2,0,8,0.202279,0.0,0.794872,-71.0,208.0,134.0,0.381766,3,3,3.0,1.0,1,0.002849,-70.0,-278.0
114,1,0,165.0,5,2,5,33.0,1.0,12,2,13,11.0,154.0,0.0,1,4,0,0.066667,0.933333,0.0,143.0,-11.0,89.0,0.539394,0,1,3.0,0.0,0,0.0,-11.0,0.0
115,1,0,46.0,4,3,2,11.5,2.0,22,0,21,2.0,0.0,0.0,1,0,0,0.043478,0.0,0.0,-2.0,-2.0,44.0,0.956522,1,3,8.0,44.0,3,0.956522,42.0,44.0
116,1,0,200.0,4,2,2,50.0,2.0,2,14,15,0.0,0.0,200.0,0,0,4,0.0,0.0,1.0,0.0,200.0,118.0,0.59,0,0,0.0,0.0,0,0.0,0.0,-200.0
117,1,0,871.0,13,10,9,67.0,1.444444,22,0,21,394.0,179.0,296.0,7,2,3,0.452354,0.205511,0.339839,-215.0,-98.0,172.0,0.197474,1,3,5.0,2.0,1,0.002296,-392.0,-294.0
118,1,0,1094.0,15,4,5,72.933333,3.0,6,2,7,952.0,142.0,0.0,13,2,0,0.870201,0.129799,0.0,-810.0,-952.0,365.0,0.333638,2,3,6.0,0.0,0,0.0,-952.0,0.0
119,1,0,367.0,8,4,6,45.875,1.333333,18,1,18,130.0,206.0,31.0,2,5,1,0.354223,0.561308,0.084469,76.0,-99.0,112.0,0.305177,0,0,0.0,0.0,0,0.0,-130.0,-31.0
120,1,0,27.0,6,3,2,4.5,3.0,4,4,7,21.0,6.0,0.0,4,2,0,0.777778,0.222222,0.0,-15.0,-21.0,21.0,0.777778,3,4,8.0,0.0,0,0.0,-21.0,0.0
121,1,0,149.0,5,3,3,29.8,1.666667,9,10,18,0.0,15.0,134.0,0,1,4,0.0,0.100671,0.899329,15.0,134.0,82.0,0.550336,0,0,0.0,0.0,0,0.0,0.0,-134.0
122,1,0,31.0,4,2,3,7.75,1.333333,8,7,14,0.0,15.0,16.0,0,3,1,0.0,0.483871,0.516129,15.0,16.0,16.0,0.516129,1,2,6.0,0.0,0,0.0,0.0,-16.0
123,1,0,403.0,7,2,3,57.571429,2.333333,8,7,14,0.0,248.0,155.0,0,5,2,0.0,0.615385,0.384615,248.0,155.0,155.0,0.384615,0,0,0.0,0.0,0,0.0,0.0,-155.0
