variable,candidate_formula_id,candidate_formula_description,source_files_used,source_columns_used,join_key,date_basis,observation_window,denominator,zero_denominator_policy,missing_policy,compared_rows,matched_rows,mismatched_rows,match_rate,max_abs_diff,mean_abs_diff,sample_mismatch_1,sample_mismatch_2,sample_mismatch_3,sample_matches,sample_mismatches,selected_candidate,selected_as_best_candidate,confidence_level,null_match_handling,reason,note
age,membership_raw_copy_age,Membership_v2.csv `age` copied by USER_KEY,Membership_v2.csv,age,USER_KEY,,,,,both NaN treated as match,23343,23343,0,1.0,0.0,0.0,,,,"USER_KEY=7a6960912bebe03c6e4c770eb1aa91329c3497f18f90cae56d6c8ddc1..., value=20.0 | USER_KEY=4ec765db76545c1d6dda9f421590bf9d02f584009f8d92100afeef459..., value=25.0 | USER_KEY=01b16f9f7ff29b48b1ee0d1a89d1eb9662474e5eedb8c2d967ea43793..., value=20.0",,False,False,,both_nan_match,,Raw source comparison; row order is not used.
reg_date,membership_raw_copy_reg_date,Membership_v2.csv `reg_date` copied by USER_KEY,Membership_v2.csv,reg_date,USER_KEY,,,,,both NaN treated as match,23343,0,23343,0.0,,,"USER_KEY=7a6960912bebe03c6e4c770eb1aa91329c3497f18f90cae56d6c8ddc1..., master=2014-03-21, candidate=2021-03-14","USER_KEY=4ec765db76545c1d6dda9f421590bf9d02f584009f8d92100afeef459..., master=2009-03-21, candidate=2021-03-09","USER_KEY=01b16f9f7ff29b48b1ee0d1a89d1eb9662474e5eedb8c2d967ea43793..., master=2009-03-21, candidate=2021-03-09",,"USER_KEY=7a6960912bebe03c6e4c770eb1aa91329c3497f18f90cae56d6c8ddc1..., master=2014-03-21, candidate=2021-03-14 | USER_KEY=4ec765db76545c1d6dda9f421590bf9d02f584009f8d92100afeef459..., master=2009-03-21, candidate=2021-03-09 | USER_KEY=01b16f9f7ff29b48b1ee0d1a89d1eb9662474e5eedb8c2d967ea43793..., master=2009-03-21, candidate=2021-03-09",False,False,,both_nan_match,,Raw source comparison; row order is not used.
reg_hour,membership_raw_copy_reg_hour,Membership_v2.csv `reg_hour` copied by USER_KEY,Membership_v2.csv,reg_hour,USER_KEY,,,,,both NaN treated as match,23343,23199,144,0.9938311271044853,23.0,0.04446729212183524,"USER_KEY=a02a14ff1ab86edbfe46ad5a6a7fce054dc83c39aa7c362622171c550..., master=22, candidate=23","USER_KEY=a02a14ff1ab86edbfe46ad5a6a7fce054dc83c39aa7c362622171c550..., master=22, candidate=23","USER_KEY=b8cbe0494fde6de4dce0be00cc9bb96cbb2bf6ed618e1538dda92755c..., master=19, candidate=18","USER_KEY=7a6960912bebe03c6e4c770eb1aa91329c3497f18f90cae56d6c8ddc1..., value=20 | USER_KEY=4ec765db76545c1d6dda9f421590bf9d02f584009f8d92100afeef459..., value=14 | USER_KEY=01b16f9f7ff29b48b1ee0d1a89d1eb9662474e5eedb8c2d967ea43793..., value=2","USER_KEY=a02a14ff1ab86edbfe46ad5a6a7fce054dc83c39aa7c362622171c550..., master=22, candidate=23 | USER_KEY=a02a14ff1ab86edbfe46ad5a6a7fce054dc83c39aa7c362622171c550..., master=22, candidate=23 | USER_KEY=b8cbe0494fde6de4dce0be00cc9bb96cbb2bf6ed618e1538dda92755c..., master=19, candidate=18",False,False,,both_nan_match,,Raw source comparison; row order is not used.
end_date,membership_raw_copy_end_date,Membership_v2.csv `end_date` copied by USER_KEY,Membership_v2.csv,end_date,USER_KEY,,,,,both NaN treated as match,23343,3,23340,0.00012851818532322323,,,"USER_KEY=7a6960912bebe03c6e4c770eb1aa91329c3497f18f90cae56d6c8ddc1..., master=2014-04-21, candidate=2021-04-14","USER_KEY=4ec765db76545c1d6dda9f421590bf9d02f584009f8d92100afeef459..., master=2009-04-21, candidate=2021-04-09","USER_KEY=01b16f9f7ff29b48b1ee0d1a89d1eb9662474e5eedb8c2d967ea43793..., master=2009-04-21, candidate=2021-04-09","USER_KEY=b733fef0275bc202bba9163109b2d17d28ef791529c6a3e4976b9eb5b..., value=2021-03-21 | USER_KEY=d5180f99ee51cdc54af6ebbe4b4bb2fe3f4fc35b25cd4e85e64b1d8a2..., value=2021-03-21 | USER_KEY=82452d6d0e5e4330bcfbb6d36ed3cfce31141fd53f8baa8c59cf051a9..., value=2021-03-21","USER_KEY=7a6960912bebe03c6e4c770eb1aa91329c3497f18f90cae56d6c8ddc1..., master=2014-04-21, candidate=2021-04-14 | USER_KEY=4ec765db76545c1d6dda9f421590bf9d02f584009f8d92100afeef459..., master=2009-04-21, candidate=2021-04-09 | USER_KEY=01b16f9f7ff29b48b1ee0d1a89d1eb9662474e5eedb8c2d967ea43793..., master=2009-04-21, candidate=2021-04-09",False,False,,both_nan_match,,Raw source comparison; row order is not used.
is_repurchase,membership_raw_copy_is_repurchase,Membership_v2.csv `is_repurchase` copied by USER_KEY,Membership_v2.csv,is_repurchase,USER_KEY,,,,,both NaN treated as match,23343,23286,57,0.9975581544788588,1.0,0.0024418455211412415,"USER_KEY=6513fff57e32407ab087206e57186ee4cbde4888a5f79702f9caee7d2..., master=1, candidate=0","USER_KEY=a0218892bc0315bc5a83ac264ab5efd8b90e1ad51b84ea8831c07bdee..., master=0, candidate=1","USER_KEY=c7f8dcebf5fc38674be9df7f78677ac1c795690b54addf0c0331b1a85..., master=1, candidate=0","USER_KEY=7a6960912bebe03c6e4c770eb1aa91329c3497f18f90cae56d6c8ddc1..., value=1 | USER_KEY=4ec765db76545c1d6dda9f421590bf9d02f584009f8d92100afeef459..., value=0 | USER_KEY=01b16f9f7ff29b48b1ee0d1a89d1eb9662474e5eedb8c2d967ea43793..., value=0","USER_KEY=6513fff57e32407ab087206e57186ee4cbde4888a5f79702f9caee7d2..., master=1, candidate=0 | USER_KEY=a0218892bc0315bc5a83ac264ab5efd8b90e1ad51b84ea8831c07bdee..., master=0, candidate=1 | USER_KEY=c7f8dcebf5fc38674be9df7f78677ac1c795690b54addf0c0331b1a85..., master=1, candidate=0",False,False,,both_nan_match,,Raw source comparison; row order is not used.
is_standard,is_standard_max_screen_eq_2,max_screen == 2,Membership_v2.csv,max_screen,USER_KEY,,,,,both NaN treated as match,23343,23216,127,0.9945593968213169,1.0,0.005440603178683117,"USER_KEY=a02a14ff1ab86edbfe46ad5a6a7fce054dc83c39aa7c362622171c550..., master=0, candidate=1","USER_KEY=a02a14ff1ab86edbfe46ad5a6a7fce054dc83c39aa7c362622171c550..., master=0, candidate=1","USER_KEY=b8cbe0494fde6de4dce0be00cc9bb96cbb2bf6ed618e1538dda92755c..., master=1, candidate=0","USER_KEY=7a6960912bebe03c6e4c770eb1aa91329c3497f18f90cae56d6c8ddc1..., value=0 | USER_KEY=4ec765db76545c1d6dda9f421590bf9d02f584009f8d92100afeef459..., value=0 | USER_KEY=01b16f9f7ff29b48b1ee0d1a89d1eb9662474e5eedb8c2d967ea43793..., value=1","USER_KEY=a02a14ff1ab86edbfe46ad5a6a7fce054dc83c39aa7c362622171c550..., master=0, candidate=1 | USER_KEY=a02a14ff1ab86edbfe46ad5a6a7fce054dc83c39aa7c362622171c550..., master=0, candidate=1 | USER_KEY=b8cbe0494fde6de4dce0be00cc9bb96cbb2bf6ed618e1538dda92755c..., master=1, candidate=0",False,False,,both_nan_match,,
is_standard,is_standard_max_screen_eq_1,max_screen == 1,Membership_v2.csv,max_screen,USER_KEY,,,,,both NaN treated as match,23343,3908,19435,0.16741635608105213,1.0,0.8325836439189479,"USER_KEY=4ec765db76545c1d6dda9f421590bf9d02f584009f8d92100afeef459..., master=0, candidate=1","USER_KEY=01b16f9f7ff29b48b1ee0d1a89d1eb9662474e5eedb8c2d967ea43793..., master=1, candidate=0","USER_KEY=534bc7b6b1ce05de6523f79872108d8dccc1dab38e2c1fb3c40e96913..., master=0, candidate=1","USER_KEY=7a6960912bebe03c6e4c770eb1aa91329c3497f18f90cae56d6c8ddc1..., value=0 | USER_KEY=457120a6023152e0aa7fce1d5ad546126bda5506b30ed81f89d02462d..., value=0 | USER_KEY=1ff9d693be9f6ff2efc65ebf39f40c568efe92e3e6d7e47412f5fb3fc..., value=0","USER_KEY=4ec765db76545c1d6dda9f421590bf9d02f584009f8d92100afeef459..., master=0, candidate=1 | USER_KEY=01b16f9f7ff29b48b1ee0d1a89d1eb9662474e5eedb8c2d967ea43793..., master=1, candidate=0 | USER_KEY=534bc7b6b1ce05de6523f79872108d8dccc1dab38e2c1fb3c40e96913..., master=0, candidate=1",False,False,,both_nan_match,,
is_premium,is_premium_max_screen_eq_4,max_screen == 4,Membership_v2.csv,max_screen,USER_KEY,,,,,both NaN treated as match,23343,23325,18,0.9992288908880607,1.0,0.0007711091119393394,"USER_KEY=70117747c956207450361fcc8ef158ef7e232671fae5fffcd1b207a6d..., master=1, candidate=0","USER_KEY=b31c10e7354a7eb3b6316780993a1eaf6c4da9023af8462e9583cdc25..., master=0, candidate=1","USER_KEY=7e244dd24a58ad016b30f15141b629cd6f48135e842967e77e0793fc7..., master=0, candidate=1","USER_KEY=7a6960912bebe03c6e4c770eb1aa91329c3497f18f90cae56d6c8ddc1..., value=1 | USER_KEY=4ec765db76545c1d6dda9f421590bf9d02f584009f8d92100afeef459..., value=0 | USER_KEY=01b16f9f7ff29b48b1ee0d1a89d1eb9662474e5eedb8c2d967ea43793..., value=0","USER_KEY=70117747c956207450361fcc8ef158ef7e232671fae5fffcd1b207a6d..., master=1, candidate=0 | USER_KEY=b31c10e7354a7eb3b6316780993a1eaf6c4da9023af8462e9583cdc25..., master=0, candidate=1 | USER_KEY=7e244dd24a58ad016b30f15141b629cd6f48135e842967e77e0793fc7..., master=0, candidate=1",False,False,,both_nan_match,,
is_premium,is_premium_max_screen_ge_4,max_screen >= 4,Membership_v2.csv,max_screen,USER_KEY,,,,,both NaN treated as match,23343,23325,18,0.9992288908880607,1.0,0.0007711091119393394,"USER_KEY=70117747c956207450361fcc8ef158ef7e232671fae5fffcd1b207a6d..., master=1, candidate=0","USER_KEY=b31c10e7354a7eb3b6316780993a1eaf6c4da9023af8462e9583cdc25..., master=0, candidate=1","USER_KEY=7e244dd24a58ad016b30f15141b629cd6f48135e842967e77e0793fc7..., master=0, candidate=1","USER_KEY=7a6960912bebe03c6e4c770eb1aa91329c3497f18f90cae56d6c8ddc1..., value=1 | USER_KEY=4ec765db76545c1d6dda9f421590bf9d02f584009f8d92100afeef459..., value=0 | USER_KEY=01b16f9f7ff29b48b1ee0d1a89d1eb9662474e5eedb8c2d967ea43793..., value=0","USER_KEY=70117747c956207450361fcc8ef158ef7e232671fae5fffcd1b207a6d..., master=1, candidate=0 | USER_KEY=b31c10e7354a7eb3b6316780993a1eaf6c4da9023af8462e9583cdc25..., master=0, candidate=1 | USER_KEY=7e244dd24a58ad016b30f15141b629cd6f48135e842967e77e0793fc7..., master=0, candidate=1",False,False,,both_nan_match,,
is_female,is_female_gender_F,gender == 'F',Membership_v2.csv,gender,USER_KEY,,,,,both NaN treated as match,23343,23343,0,1.0,0.0,0.0,,,,"USER_KEY=7a6960912bebe03c6e4c770eb1aa91329c3497f18f90cae56d6c8ddc1..., value=1 | USER_KEY=4ec765db76545c1d6dda9f421590bf9d02f584009f8d92100afeef459..., value=1 | USER_KEY=01b16f9f7ff29b48b1ee0d1a89d1eb9662474e5eedb8c2d967ea43793..., value=1",,False,False,,both_nan_match,,
is_male,is_male_gender_M,gender == 'M',Membership_v2.csv,gender,USER_KEY,,,,,both NaN treated as match,23343,23343,0,1.0,0.0,0.0,,,,"USER_KEY=7a6960912bebe03c6e4c770eb1aa91329c3497f18f90cae56d6c8ddc1..., value=0 | USER_KEY=4ec765db76545c1d6dda9f421590bf9d02f584009f8d92100afeef459..., value=0 | USER_KEY=01b16f9f7ff29b48b1ee0d1a89d1eb9662474e5eedb8c2d967ea43793..., value=0",,False,False,,both_nan_match,,
age_group,age_group_decade_floor,floor(age / 10) * 10,Membership_v2.csv,age,USER_KEY,,,,,both NaN treated as match,23343,23343,0,1.0,0.0,0.0,,,,"USER_KEY=7a6960912bebe03c6e4c770eb1aa91329c3497f18f90cae56d6c8ddc1..., value=20.0 | USER_KEY=4ec765db76545c1d6dda9f421590bf9d02f584009f8d92100afeef459..., value=20.0 | USER_KEY=01b16f9f7ff29b48b1ee0d1a89d1eb9662474e5eedb8c2d967ea43793..., value=20.0",,False,False,,both_nan_match,,
age_group,age_group_closed_decade_bins,"age binned as 10s, 20s, 30s ...",Membership_v2.csv,age,USER_KEY,,,,,both NaN treated as match,23343,23343,0,1.0,0.0,0.0,,,,"USER_KEY=7a6960912bebe03c6e4c770eb1aa91329c3497f18f90cae56d6c8ddc1..., value=20.0 | USER_KEY=4ec765db76545c1d6dda9f421590bf9d02f584009f8d92100afeef459..., value=20.0 | USER_KEY=01b16f9f7ff29b48b1ee0d1a89d1eb9662474e5eedb8c2d967ea43793..., value=20.0",,False,False,,both_nan_match,,
reg_is_weekend,reg_is_weekend_membership_reg_date,Membership_v2.csv reg_date weekday is Saturday or Sunday,Membership_v2.csv,reg_date,USER_KEY,Membership_v2.csv reg_date,,,,both NaN treated as match,23343,23285,58,0.997515315083751,1.0,0.0024846849162489825,"USER_KEY=eba6d33e8fc6af9565283515e7753bc7d2c1f608767a5259b967907a6..., master=0, candidate=1","USER_KEY=b31c10e7354a7eb3b6316780993a1eaf6c4da9023af8462e9583cdc25..., master=0, candidate=1","USER_KEY=121ae7a87c018818ba76dc4c8e440dcdb1728fa6bea00c73003a07f14..., master=1, candidate=0","USER_KEY=7a6960912bebe03c6e4c770eb1aa91329c3497f18f90cae56d6c8ddc1..., value=1 | USER_KEY=4ec765db76545c1d6dda9f421590bf9d02f584009f8d92100afeef459..., value=0 | USER_KEY=01b16f9f7ff29b48b1ee0d1a89d1eb9662474e5eedb8c2d967ea43793..., value=0","USER_KEY=eba6d33e8fc6af9565283515e7753bc7d2c1f608767a5259b967907a6..., master=0, candidate=1 | USER_KEY=b31c10e7354a7eb3b6316780993a1eaf6c4da9023af8462e9583cdc25..., master=0, candidate=1 | USER_KEY=121ae7a87c018818ba76dc4c8e440dcdb1728fa6bea00c73003a07f14..., master=1, candidate=0",False,False,,both_nan_match,,
reg_hour_morning,reg_hour_morning_standard_6h_bins,reg_hour_morning from reg_hour using 06-12-18-24 bins,Membership_v2.csv,reg_hour,USER_KEY,,,,,both NaN treated as match,23343,23302,41,0.9982435848005826,1.0,0.0017564151994173842,"USER_KEY=2c4cf317dfd0acee9d0f5e03b896e33f01fcfcbd6df064a148fe96f4d..., master=1, candidate=0","USER_KEY=70117747c956207450361fcc8ef158ef7e232671fae5fffcd1b207a6d..., master=1, candidate=0","USER_KEY=eb11374762ff8f811c1e309818d17191e8fe5cefa9db3dd498a6d6aa1..., master=1, candidate=0","USER_KEY=7a6960912bebe03c6e4c770eb1aa91329c3497f18f90cae56d6c8ddc1..., value=0 | USER_KEY=4ec765db76545c1d6dda9f421590bf9d02f584009f8d92100afeef459..., value=0 | USER_KEY=01b16f9f7ff29b48b1ee0d1a89d1eb9662474e5eedb8c2d967ea43793..., value=0","USER_KEY=2c4cf317dfd0acee9d0f5e03b896e33f01fcfcbd6df064a148fe96f4d..., master=1, candidate=0 | USER_KEY=70117747c956207450361fcc8ef158ef7e232671fae5fffcd1b207a6d..., master=1, candidate=0 | USER_KEY=eb11374762ff8f811c1e309818d17191e8fe5cefa9db3dd498a6d6aa1..., master=1, candidate=0",False,False,,both_nan_match,,
reg_hour_afternoon,reg_hour_afternoon_standard_6h_bins,reg_hour_afternoon from reg_hour using 06-12-18-24 bins,Membership_v2.csv,reg_hour,USER_KEY,,,,,both NaN treated as match,23343,23291,52,0.9977723514543975,1.0,0.0022276485456025363,"USER_KEY=a02a14ff1ab86edbfe46ad5a6a7fce054dc83c39aa7c362622171c550..., master=1, candidate=0","USER_KEY=a02a14ff1ab86edbfe46ad5a6a7fce054dc83c39aa7c362622171c550..., master=1, candidate=0","USER_KEY=eba6d33e8fc6af9565283515e7753bc7d2c1f608767a5259b967907a6..., master=1, candidate=0","USER_KEY=7a6960912bebe03c6e4c770eb1aa91329c3497f18f90cae56d6c8ddc1..., value=0 | USER_KEY=4ec765db76545c1d6dda9f421590bf9d02f584009f8d92100afeef459..., value=1 | USER_KEY=01b16f9f7ff29b48b1ee0d1a89d1eb9662474e5eedb8c2d967ea43793..., value=0","USER_KEY=a02a14ff1ab86edbfe46ad5a6a7fce054dc83c39aa7c362622171c550..., master=1, candidate=0 | USER_KEY=a02a14ff1ab86edbfe46ad5a6a7fce054dc83c39aa7c362622171c550..., master=1, candidate=0 | USER_KEY=eba6d33e8fc6af9565283515e7753bc7d2c1f608767a5259b967907a6..., master=1, candidate=0",False,False,,both_nan_match,,
