original_feature,feature_family,stage07c_mean_abs_shap,stage07c_rank,historical_importance,historical_rank,comparison_source,status,rank_shift_stage07c_minus_historical,note
w1_3_genre_ratio_animation_family,genre_ratio_proxy,0.2603052366140704,6,0.2507333014273817,5.0,06h_historical_provisional,historical_only_not_final_evidence,1.0,Old SHAP is historical/provisional and must not be used as final evidence.
w1_3_genre_ratio_thriller_crime,genre_ratio_proxy,0.21643027303903403,7,0.2099904651695197,8.0,06h_historical_provisional,historical_only_not_final_evidence,-1.0,Old SHAP is historical/provisional and must not be used as final evidence.
w1_3_genre_ratio_romance,genre_ratio_proxy,0.215473502192298,8,0.216300706259661,7.0,06h_historical_provisional,historical_only_not_final_evidence,1.0,Old SHAP is historical/provisional and must not be used as final evidence.
w1_3_genre_ratio_action_adventure,genre_ratio_proxy,0.17089408911968418,9,0.1596449323572029,9.0,06h_historical_provisional,historical_only_not_final_evidence,0.0,Old SHAP is historical/provisional and must not be used as final evidence.
w1_3_avg_watch_time_per_session,simple_usage_volume,0.15787972924166252,10,0.1466315928340438,10.0,06h_historical_provisional,historical_only_not_final_evidence,0.0,Old SHAP is historical/provisional and must not be used as final evidence.
w1_3_unique_contents,simple_usage_volume,0.12858537705443493,11,0.1424523757245326,11.0,06h_historical_provisional,historical_only_not_final_evidence,0.0,Old SHAP is historical/provisional and must not be used as final evidence.
max_screen_num,membership_context,0.12279001372777117,12,,,06h_historical_provisional,historical_only_not_final_evidence,,Old SHAP is historical/provisional and must not be used as final evidence.
age_num,membership_context,0.06928682062077632,13,,,06h_historical_provisional,historical_only_not_final_evidence,,Old SHAP is historical/provisional and must not be used as final evidence.
w1_3_genre_ratio_horror,genre_ratio_proxy,0.06218368578111756,14,0.0511967947789488,14.0,06h_historical_provisional,historical_only_not_final_evidence,0.0,Old SHAP is historical/provisional and must not be used as final evidence.
w1_3_week3_sessions,weekly_usage_pattern,0.058164614469764196,15,0.0901783649068253,13.0,06h_historical_provisional,historical_only_not_final_evidence,2.0,Old SHAP is historical/provisional and must not be used as final evidence.
w1_3_genre_ratio_other,genre_ratio_proxy,0.046331560453243624,16,0.032626709349083,17.0,06h_historical_provisional,historical_only_not_final_evidence,-1.0,Old SHAP is historical/provisional and must not be used as final evidence.
w1_3_recent_content_watch_ratio,release_month_proxy,0.038996161817576466,17,0.0304135160351701,18.0,06h_historical_provisional,historical_only_not_final_evidence,-1.0,Old SHAP is historical/provisional and must not be used as final evidence.
w1_3_genre_ratio_sf_fantasy,genre_ratio_proxy,0.03770391014363998,18,0.0356187962478698,16.0,06h_historical_provisional,historical_only_not_final_evidence,2.0,Old SHAP is historical/provisional and must not be used as final evidence.
w1_3_unique_watch_days,simple_usage_volume,0.03652808024417161,19,0.0285520264260729,19.0,06h_historical_provisional,historical_only_not_final_evidence,0.0,Old SHAP is historical/provisional and must not be used as final evidence.
w1_3_genre_entropy,genre_ratio_proxy,0.03412272889546732,20,0.0275917879652387,20.0,06h_historical_provisional,historical_only_not_final_evidence,0.0,Old SHAP is historical/provisional and must not be used as final evidence.
w1_3_genre_ratio_comedy,genre_ratio_proxy,0.03097341908087505,21,0.0231791751722631,21.0,06h_historical_provisional,historical_only_not_final_evidence,0.0,Old SHAP is historical/provisional and must not be used as final evidence.
w1_3_genre_ratio_historical_war,genre_ratio_proxy,0.027226168715975982,22,0.0162488215751366,26.0,06h_historical_provisional,historical_only_not_final_evidence,-4.0,Old SHAP is historical/provisional and must not be used as final evidence.
w1_3_week1_sessions,weekly_usage_pattern,0.02120463212223834,23,0.0208604602182341,22.0,06h_historical_provisional,historical_only_not_final_evidence,1.0,Old SHAP is historical/provisional and must not be used as final evidence.
price_num,membership_context,0.02062724950311401,24,,,06h_historical_provisional,historical_only_not_final_evidence,,Old SHAP is historical/provisional and must not be used as final evidence.
billing_method_clean,membership_context,0.013888869258821717,25,,,06h_historical_provisional,historical_only_not_final_evidence,,Old SHAP is historical/provisional and must not be used as final evidence.
is_user_verified_bin,membership_context,0.013293014504452283,26,,,06h_historical_provisional,historical_only_not_final_evidence,,Old SHAP is historical/provisional and must not be used as final evidence.
w1_3_genre_ratio_documentary,genre_ratio_proxy,0.01119898220386328,27,,,06h_historical_provisional,historical_only_not_final_evidence,,Old SHAP is historical/provisional and must not be used as final evidence.
w1_3_week2_sessions,weekly_usage_pattern,0.008261209904457239,28,0.0169485898212542,24.0,06h_historical_provisional,historical_only_not_final_evidence,4.0,Old SHAP is historical/provisional and must not be used as final evidence.
