dataset_name,column_name,dtype,missing_count,missing_rate,role,used_as_feature,exclude_reason,notes
promo_1,reg_hour_morning,int64,0,0.0,feature,True,,
promo_1,reg_hour_afternoon,int64,0,0.0,feature,True,,
promo_1,reg_hour_evening,int64,0,0.0,feature,True,,
promo_1,reg_hour_night,int64,0,0.0,feature,True,,
promo_1,payment_is_mobile,int64,0,0.0,excluded_payment,False,payment column excluded by user instruction,
promo_1,payment_is_pc,int64,0,0.0,excluded_payment,False,payment column excluded by user instruction,
promo_1,payment_is_android,int64,0,0.0,excluded_payment,False,payment column excluded by user instruction,
promo_1,payment_is_ios,int64,0,0.0,excluded_payment,False,payment column excluded by user instruction,
promo_1,total_watch_count,int64,0,0.0,feature,True,,
promo_1,unique_movie,int64,0,0.0,feature,True,,
promo_1,watch_days,int64,0,0.0,feature,True,,
promo_1,active_ratio,float64,0,0.0,feature,True,,
promo_1,total_watch_time_min,int64,0,0.0,feature,True,,
promo_1,watch_per_day,float64,0,0.0,feature,True,,
promo_1,avg_watch_time_min,float64,0,0.0,feature,True,,
promo_1,median_watch_time_min,float64,0,0.0,feature,True,,
promo_1,std_watch_time_min,float64,0,0.0,feature,True,,
promo_1,avg_daily_watch_time_min,float64,0,0.0,feature,True,,
promo_1,max_watch_time_min,int64,0,0.0,feature,True,,
promo_1,max_daily_watch_time_min,int64,0,0.0,feature,True,,
promo_1,max_daily_sessions,int64,0,0.0,feature,True,,
promo_1,recency,int64,0,0.0,feature,True,,
promo_1,avg_gap_between_watch_days,float64,0,0.0,feature,True,,
promo_1,avg_gap_w1_watch_days,float64,0,0.0,feature,True,,
promo_1,avg_gap_w2_watch_days,float64,0,0.0,feature,True,,
promo_1,avg_gap_w3_watch_days,float64,0,0.0,feature,True,,
promo_1,max_inactive_gap_days,int64,0,0.0,feature,True,,
promo_1,avg_rewatch_ratio,float64,0,0.0,feature,True,,
promo_1,weekend_watch_ratio,float64,0,0.0,feature,True,,
promo_1,watch_ratio_under_1m,float64,0,0.0,feature,True,,
promo_1,watch_ratio_under_5m,float64,0,0.0,feature,True,,
promo_1,movie_per_active_day,float64,0,0.0,feature,True,,
promo_1,max_day_share,float64,0,0.0,feature,True,,
promo_1,day_count_over_3times,int64,0,0.0,feature,True,,
promo_1,watch_time_min_w1,int64,0,0.0,feature,True,,
promo_1,watch_time_min_w2,int64,0,0.0,feature,True,,
promo_1,watch_time_min_w3,int64,0,0.0,feature,True,,
promo_1,watch_session_w1,int64,0,0.0,feature,True,,
promo_1,watch_session_w2,int64,0,0.0,feature,True,,
promo_1,watch_session_w3,int64,0,0.0,feature,True,,
promo_1,diff_between_w2_w1,int64,0,0.0,feature,True,,
promo_1,diff_between_w3_w1,int64,0,0.0,feature,True,,
promo_1,diff_between_w3_w2,int64,0,0.0,feature,True,,
promo_1,is_w1_over_50pct,int64,0,0.0,feature,True,,
promo_1,is_w2_over_50pct,int64,0,0.0,feature,True,,
promo_1,is_w3_over_50pct,int64,0,0.0,feature,True,,
promo_1,is_only_w1,int64,0,0.0,feature,True,,
promo_1,is_only_w2,int64,0,0.0,feature,True,,
promo_1,is_only_w3,int64,0,0.0,feature,True,,
promo_1,new_movie_in_90d_ratio,float64,0,0.0,feature,True,,
promo_1,new_movie_in_180d_ratio,float64,0,0.0,feature,True,,
promo_1,new_movie_in_365d_ratio,float64,0,0.0,feature,True,,
promo_1,old_movie_ratio_5y,float64,0,0.0,feature,True,,
promo_1,avg_ott_release_year,float64,0,0.0,feature,True,,
promo_1,genre_diversity_count,int64,0,0.0,feature,True,,
promo_1,action_adventure_ratio,float64,0,0.0,feature,True,,
promo_1,family_animation_ratio,float64,0,0.0,feature,True,,
promo_1,drama_ratio,float64,0,0.0,feature,True,,
promo_1,thriller_crime_ratio,float64,0,0.0,feature,True,,
promo_1,sf_fantasy_ratio,float64,0,0.0,feature,True,,
promo_1,comedy_ratio,float64,0,0.0,feature,True,,
promo_1,romance_ratio,float64,0,0.0,feature,True,,
promo_1,horror_ratio,float64,0,0.0,feature,True,,
promo_1,documentary_ratio,float64,0,0.0,feature,True,,
promo_1,historical_war_ratio,float64,0,0.0,feature,True,,
promo_1,other_ratio,float64,0,0.0,feature,True,,
promo_1,is_basic,int64,0,0.0,feature,True,,
promo_1,is_cold_start_3d_fixed,int64,0,0.0,feature,True,,
promo_1,is_cold_start_7d_fixed,int64,0,0.0,feature,True,,
promo_1,log_retention_w2_ratio,float64,0,0.0,log_retention_feature,True,,current feature
promo_1,log_retention_w3_ratio,float64,0,0.0,log_retention_feature,True,,current feature
