column_name,patched_primary_role,patched_feature_family,patched_timing_family,overall_status,groupwise_status,leakage_risk_level,leakage_type,why_human_review_needed,question_to_resolve,temporary_status_for_modeling
is_premium,membership_context,membership_context,static_or_pre_subscription_review,review,review,review,semantic_unknown,Membership/payment/demographic context needs semantic and scoring-time review before modeling.,"Confirm source definition, scoring-time availability, and whether the construction window is day0-day20 only.",review
age_group,membership_context,membership_context,static_or_pre_subscription_review,review,review,review,semantic_unknown,Membership/payment/demographic context needs semantic and scoring-time review before modeling.,"Confirm source definition, scoring-time availability, and whether the construction window is day0-day20 only.",review
is_female,membership_context,membership_context,static_or_pre_subscription_review,review,review,review,semantic_unknown,Membership/payment/demographic context needs semantic and scoring-time review before modeling.,"Confirm source definition, scoring-time availability, and whether the construction window is day0-day20 only.",review
is_male,membership_context,membership_context,static_or_pre_subscription_review,review,review,review,semantic_unknown,Membership/payment/demographic context needs semantic and scoring-time review before modeling.,"Confirm source definition, scoring-time availability, and whether the construction window is day0-day20 only.",review
reg_is_weekend,acquisition,registration_context,subscription_anchor_derived_review,review,review,review,semantic_unknown,Registration-time derived context; review whether it is appropriate as a feature rather than anchor leakage.,"Confirm source definition, scoring-time availability, and whether the construction window is day0-day20 only.",review
reg_hour_morning,acquisition,registration_context,subscription_anchor_derived_review,review,review,review,semantic_unknown,Registration-time derived context; review whether it is appropriate as a feature rather than anchor leakage.,"Confirm source definition, scoring-time availability, and whether the construction window is day0-day20 only.",review
reg_hour_afternoon,acquisition,registration_context,subscription_anchor_derived_review,review,review,review,semantic_unknown,Registration-time derived context; review whether it is appropriate as a feature rather than anchor leakage.,"Confirm source definition, scoring-time availability, and whether the construction window is day0-day20 only.",review
reg_hour_evening,acquisition,registration_context,subscription_anchor_derived_review,review,review,review,semantic_unknown,Registration-time derived context; review whether it is appropriate as a feature rather than anchor leakage.,"Confirm source definition, scoring-time availability, and whether the construction window is day0-day20 only.",review
reg_hour_night,acquisition,registration_context,subscription_anchor_derived_review,review,review,review,semantic_unknown,Registration-time derived context; review whether it is appropriate as a feature rather than anchor leakage.,"Confirm source definition, scoring-time availability, and whether the construction window is day0-day20 only.",review
payment_is_mobile,membership_context,membership_context,static_or_pre_subscription_review,review,review,review,semantic_unknown,Membership/payment/demographic context needs semantic and scoring-time review before modeling.,"Confirm source definition, scoring-time availability, and whether the construction window is day0-day20 only.",review
payment_is_pc,membership_context,membership_context,static_or_pre_subscription_review,review,review,review,semantic_unknown,Membership/payment/demographic context needs semantic and scoring-time review before modeling.,"Confirm source definition, scoring-time availability, and whether the construction window is day0-day20 only.",review
payment_is_android,membership_context,membership_context,static_or_pre_subscription_review,review,review,review,semantic_unknown,Membership/payment/demographic context needs semantic and scoring-time review before modeling.,"Confirm source definition, scoring-time availability, and whether the construction window is day0-day20 only.",review
payment_is_ios,membership_context,membership_context,static_or_pre_subscription_review,review,review,review,semantic_unknown,Membership/payment/demographic context needs semantic and scoring-time review before modeling.,"Confirm source definition, scoring-time availability, and whether the construction window is day0-day20 only.",review
total_watch_count,aggregate_usage_review,usage_aggregate,all_period_ambiguous,review,review,review,timing_ambiguous,Total usage column remains review until proven to be day0-20 only.,"Confirm source definition, scoring-time availability, and whether the construction window is day0-day20 only.",review
unique_movie,aggregate_usage_review,usage_behavior_summary,all_period_ambiguous,review,review,review,timing_ambiguous,Usage summary lacks explicit week/window in the name; keep review until construction window is documented.,"Confirm source definition, scoring-time availability, and whether the construction window is day0-day20 only.",review
watch_days,aggregate_usage_review,usage_behavior_summary,all_period_ambiguous,review,review,review,timing_ambiguous,Usage summary lacks explicit week/window in the name; keep review until construction window is documented.,"Confirm source definition, scoring-time availability, and whether the construction window is day0-day20 only.",review
active_ratio,retention,usage_behavior_ratio,all_period_ambiguous,review,review,review,timing_ambiguous,"active_ratio is a usage/behavior ratio, not a genre ratio. Construction window is not explicit, so it remains review.","Confirm source definition, scoring-time availability, and whether the construction window is day0-day20 only.",review
total_watch_time(min),aggregate_usage_review,usage_aggregate,all_period_ambiguous,review,review,review,timing_ambiguous,Total usage column remains review until proven to be day0-20 only.,"Confirm source definition, scoring-time availability, and whether the construction window is day0-day20 only.",review
watch_per_day,aggregate_usage_review,usage_behavior_summary,all_period_ambiguous,review,review,review,timing_ambiguous,Usage summary lacks explicit week/window in the name; keep review until construction window is documented.,"Confirm source definition, scoring-time availability, and whether the construction window is day0-day20 only.",review
avg_watch_time(min),aggregate_usage_review,usage_behavior_summary,all_period_ambiguous,review,review,review,timing_ambiguous,Usage summary lacks explicit week/window in the name; keep review until construction window is documented.,"Confirm source definition, scoring-time availability, and whether the construction window is day0-day20 only.",review
median_watch_time(min),aggregate_usage_review,usage_behavior_summary,all_period_ambiguous,review,review,review,timing_ambiguous,Usage summary lacks explicit week/window in the name; keep review until construction window is documented.,"Confirm source definition, scoring-time availability, and whether the construction window is day0-day20 only.",review
std_watch_time(min),aggregate_usage_review,usage_behavior_summary,all_period_ambiguous,review,review,review,timing_ambiguous,Usage summary lacks explicit week/window in the name; keep review until construction window is documented.,"Confirm source definition, scoring-time availability, and whether the construction window is day0-day20 only.",review
avg_daily_watch_time(min),aggregate_usage_review,usage_behavior_summary,all_period_ambiguous,review,review,review,timing_ambiguous,Usage summary lacks explicit week/window in the name; keep review until construction window is documented.,"Confirm source definition, scoring-time availability, and whether the construction window is day0-day20 only.",review
max_watch_time(min),aggregate_usage_review,usage_behavior_summary,all_period_ambiguous,review,review,review,timing_ambiguous,Usage summary lacks explicit week/window in the name; keep review until construction window is documented.,"Confirm source definition, scoring-time availability, and whether the construction window is day0-day20 only.",review
max_daily_watch_time(min),aggregate_usage_review,usage_behavior_summary,all_period_ambiguous,review,review,review,timing_ambiguous,Usage summary lacks explicit week/window in the name; keep review until construction window is documented.,"Confirm source definition, scoring-time availability, and whether the construction window is day0-day20 only.",review
max_daily_sessions,aggregate_usage_review,usage_behavior_summary,all_period_ambiguous,review,review,review,timing_ambiguous,Usage summary lacks explicit week/window in the name; keep review until construction window is documented.,"Confirm source definition, scoring-time availability, and whether the construction window is day0-day20 only.",review
recency,timing_review_required,content_recency,reference_date_review,review,review,review,timing_ambiguous,Recency reference date is unresolved; it must be day21 scoring point or earlier.,"Confirm source definition, scoring-time availability, and whether the construction window is day0-day20 only.",review
avg_gap_between_watch_days,aggregate_usage_review,usage_behavior_summary,all_period_ambiguous,review,review,review,timing_ambiguous,Usage summary lacks explicit week/window in the name; keep review until construction window is documented.,"Confirm source definition, scoring-time availability, and whether the construction window is day0-day20 only.",review
max_inactive_gap_days,aggregate_usage_review,usage_behavior_summary,all_period_ambiguous,review,review,review,timing_ambiguous,Usage summary lacks explicit week/window in the name; keep review until construction window is documented.,"Confirm source definition, scoring-time availability, and whether the construction window is day0-day20 only.",review
avg_rewatch_ratio,aggregate_usage_review,engagement_depth,all_period_ambiguous,review,review,review,timing_ambiguous,"avg_rewatch_ratio is a usage/behavior ratio, not a genre ratio. Construction window is not explicit, so it remains review.","Confirm source definition, scoring-time availability, and whether the construction window is day0-day20 only.",review
weekend_watch_ratio,aggregate_usage_review,viewing_pattern,all_period_ambiguous,review,review,review,timing_ambiguous,"weekend_watch_ratio is a usage/behavior ratio, not a genre ratio. Construction window is not explicit, so it remains review.","Confirm source definition, scoring-time availability, and whether the construction window is day0-day20 only.",review
watch_ratio_under_1m,aggregate_usage_review,short_watch_behavior,all_period_ambiguous,review,review,review,timing_ambiguous,"watch_ratio_under_1m is a usage/behavior ratio, not a genre ratio. Construction window is not explicit, so it remains review.","Confirm source definition, scoring-time availability, and whether the construction window is day0-day20 only.",review
watch_ratio_under_5m,aggregate_usage_review,short_watch_behavior,all_period_ambiguous,review,review,review,timing_ambiguous,"watch_ratio_under_5m is a usage/behavior ratio, not a genre ratio. Construction window is not explicit, so it remains review.","Confirm source definition, scoring-time availability, and whether the construction window is day0-day20 only.",review
movie_per_active_day,aggregate_usage_review,usage_behavior_summary,all_period_ambiguous,review,review,review,timing_ambiguous,Usage summary lacks explicit week/window in the name; keep review until construction window is documented.,"Confirm source definition, scoring-time availability, and whether the construction window is day0-day20 only.",review
max_day_share,aggregate_usage_review,usage_behavior_summary,all_period_ambiguous,review,review,review,timing_ambiguous,Usage summary lacks explicit week/window in the name; keep review until construction window is documented.,"Confirm source definition, scoring-time availability, and whether the construction window is day0-day20 only.",review
day_count_over_3times,aggregate_usage_review,usage_behavior_summary,all_period_ambiguous,review,review,review,timing_ambiguous,Usage summary lacks explicit week/window in the name; keep review until construction window is documented.,"Confirm source definition, scoring-time availability, and whether the construction window is day0-day20 only.",review
new_movie_in_90d_ratio,content_recency,content_recency,content_recency_window_ambiguous,review,review,review,timing_ambiguous,"New-movie ratio is content recency, not genre. Observation window must be confirmed before modeling.","Confirm source definition, scoring-time availability, and whether the construction window is day0-day20 only.",review
new_movie_in_180d_ratio,content_recency,content_recency,content_recency_window_ambiguous,review,review,review,timing_ambiguous,"New-movie ratio is content recency, not genre. Observation window must be confirmed before modeling.","Confirm source definition, scoring-time availability, and whether the construction window is day0-day20 only.",review
new_movie_in_365d_ratio,content_recency,content_recency,content_recency_window_ambiguous,review,review,review,timing_ambiguous,"New-movie ratio is content recency, not genre. Observation window must be confirmed before modeling.","Confirm source definition, scoring-time availability, and whether the construction window is day0-day20 only.",review
old_movie_ratio(5y),genre_ratio,content_genre,content_window_ambiguous,review,review,review,timing_ambiguous,"genre/content ratio window unresolved. Evidence: content/recency construction window unresolved. Conservative rule: uncertain columns remain review, not approved.","Confirm source definition, scoring-time availability, and whether the construction window is day0-day20 only.",review
avg_ott_release_year,content_recency,content_metadata_recency,content_recency_window_ambiguous,review,review,review,timing_ambiguous,Average release year is content metadata/recency; construction window remains unresolved.,"Confirm source definition, scoring-time availability, and whether the construction window is day0-day20 only.",review
genre_diversity_count,genre_ratio,content_genre,content_window_ambiguous,review,review,review,timing_ambiguous,Actual genre/content preference column. Keep review until the observation window is documented.,"Confirm source definition, scoring-time availability, and whether the construction window is day0-day20 only.",review
action_adventure_ratio,genre_ratio,content_genre,content_window_ambiguous,review,review,review,timing_ambiguous,Actual genre/content preference column. Keep review until the observation window is documented.,"Confirm source definition, scoring-time availability, and whether the construction window is day0-day20 only.",review
family_animation_ratio,genre_ratio,content_genre,content_window_ambiguous,review,review,review,timing_ambiguous,Actual genre/content preference column. Keep review until the observation window is documented.,"Confirm source definition, scoring-time availability, and whether the construction window is day0-day20 only.",review
drama_ratio,genre_ratio,content_genre,content_window_ambiguous,review,review,review,timing_ambiguous,Actual genre/content preference column. Keep review until the observation window is documented.,"Confirm source definition, scoring-time availability, and whether the construction window is day0-day20 only.",review
thriller_crime_ratio,genre_ratio,content_genre,content_window_ambiguous,review,review,review,timing_ambiguous,Actual genre/content preference column. Keep review until the observation window is documented.,"Confirm source definition, scoring-time availability, and whether the construction window is day0-day20 only.",review
sf_fantasy_ratio,genre_ratio,content_genre,content_window_ambiguous,review,review,review,timing_ambiguous,Actual genre/content preference column. Keep review until the observation window is documented.,"Confirm source definition, scoring-time availability, and whether the construction window is day0-day20 only.",review
comedy_ratio,genre_ratio,content_genre,content_window_ambiguous,review,review,review,timing_ambiguous,Actual genre/content preference column. Keep review until the observation window is documented.,"Confirm source definition, scoring-time availability, and whether the construction window is day0-day20 only.",review
romance_ratio,genre_ratio,content_genre,content_window_ambiguous,review,review,review,timing_ambiguous,Actual genre/content preference column. Keep review until the observation window is documented.,"Confirm source definition, scoring-time availability, and whether the construction window is day0-day20 only.",review
horror_ratio,genre_ratio,content_genre,content_window_ambiguous,review,review,review,timing_ambiguous,Actual genre/content preference column. Keep review until the observation window is documented.,"Confirm source definition, scoring-time availability, and whether the construction window is day0-day20 only.",review
documentary_ratio,genre_ratio,content_genre,content_window_ambiguous,review,review,review,timing_ambiguous,Actual genre/content preference column. Keep review until the observation window is documented.,"Confirm source definition, scoring-time availability, and whether the construction window is day0-day20 only.",review
historical_war_ratio,genre_ratio,content_genre,content_window_ambiguous,review,review,review,timing_ambiguous,Actual genre/content preference column. Keep review until the observation window is documented.,"Confirm source definition, scoring-time availability, and whether the construction window is day0-day20 only.",review
other_ratio,genre_ratio,content_genre,content_window_ambiguous,review,review,review,timing_ambiguous,Actual genre/content preference column. Keep review until the observation window is documented.,"Confirm source definition, scoring-time availability, and whether the construction window is day0-day20 only.",review
