"relative_path","item_type","depth","size_bytes","modified_time"
"PUBLIC\notebooks\99_model_selections\svm\03_svm_promo0.ipynb","file","4","8221","2026-05-20 15:32:06"
"PUBLIC\notebooks\99_model_selections\svm\04_svm_promo1.ipynb","file","4","8221","2026-05-20 15:32:06"
"PUBLIC\notebooks\generate_notebooks.py","file","2","14857","2026-05-20 15:32:06"
"PUBLIC\README.md","file","1","807","2026-05-20 15:52:37"
"PUBLIC\reports","directory","1","","2026-05-20 15:26:44"
"PUBLIC\reports\audits","directory","2","","2026-05-20 15:52:37"
"PUBLIC\reports\audits\06_dataset_260520","directory","3","","2026-05-20 15:26:44"
"PUBLIC\reports\audits\07_feature_mapping_AARRR_260520","directory","3","","2026-05-20 15:26:44"
"PUBLIC\reports\audits\10_feature_distribution_redundancy_pre_audit_260520","directory","3","","2026-05-20 15:26:44"
"PUBLIC\reports\business","directory","2","","2026-05-20 15:52:37"
"PUBLIC\reports\business\18_business_recommendation_storyline_260520","directory","3","","2026-05-20 15:26:44"
"PUBLIC\reports\eda","directory","2","","2026-05-20 15:52:37"
"PUBLIC\reports\eda\08_promotion_nonpromotion_EDA_260520","directory","3","","2026-05-20 15:26:44"
"PUBLIC\reports\eda\09_promotion_repurchase_2x2_EDA_260520","directory","3","","2026-05-20 15:26:44"
"PUBLIC\reports\figures","directory","2","","2026-05-20 15:52:37"
"PUBLIC\reports\figures\08_promotion_nonpromotion_EDA_260520","directory","3","","2026-05-20 15:26:44"
"PUBLIC\reports\figures\09_promotion_repurchase_2x2_EDA_260520","directory","3","","2026-05-20 15:26:44"
"PUBLIC\reports\figures\10_feature_distribution_redundancy_pre_audit_260520","directory","3","","2026-05-20 15:26:44"
"PUBLIC\reports\figures\11_baseline_growth_comparison_260520","directory","3","","2026-05-20 15:26:44"
"PUBLIC\reports\figures\12_model_family_comparison_260520","directory","3","","2026-05-20 15:26:44"
"PUBLIC\reports\figures\14_candidate_tuning_260520","directory","3","","2026-05-20 15:26:44"
"PUBLIC\reports\figures\16_SHAP_candidate_interpretation_260520","directory","3","","2026-05-20 15:26:44"
"PUBLIC\reports\figures\17_segmentation_design_260520","directory","3","","2026-05-20 15:26:44"
"PUBLIC\reports\figures\18_business_recommendation_storyline_260520","directory","3","","2026-05-20 15:26:44"
"PUBLIC\reports\interpretation","directory","2","","2026-05-20 15:52:37"
"PUBLIC\reports\interpretation\16_SHAP_candidate_interpretation_260520","directory","3","","2026-05-20 15:26:44"
"PUBLIC\reports\models","directory","2","","2026-05-20 15:52:37"
"PUBLIC\reports\models\11_baseline_growth_comparison_260520","directory","3","","2026-05-20 15:26:44"
"PUBLIC\reports\models\12_model_family_comparison_260520","directory","3","","2026-05-20 15:26:44"
"PUBLIC\reports\models\14_candidate_tuning_260520","directory","3","","2026-05-20 15:26:44"
"PUBLIC\reports\models\15_oof_score_or_sensitivity_260520","directory","3","","2026-05-20 15:26:44"
"PUBLIC\reports\segmentation","directory","2","","2026-05-20 15:52:37"
"PUBLIC\reports\segmentation\17_segmentation_design_260520","directory","3","","2026-05-20 15:26:44"
"PUBLIC\results","directory","1","","2026-05-20 15:52:37"
"PUBLIC\results\_06_log_retention_distribution_eda_260520","directory","2","","2026-05-20 15:52:37"
"PUBLIC\results\_06_log_retention_distribution_eda_260520\06_fig_01_log_retention_histograms.png","file","3","156478","2026-05-20 13:46:22"
"PUBLIC\results\_06_log_retention_distribution_eda_260520\06_fig_02_log_retention_boxplot_by_dataset.png","file","3","52004","2026-05-20 13:46:22"
"PUBLIC\results\_06_log_retention_distribution_eda_260520\06_fig_03_overall_raw_vs_log_histograms.png","file","3","133585","2026-05-20 13:46:23"
"PUBLIC\results\_06_log_retention_distribution_eda_260520\06_log_retention_baseline_direction_summary.csv","file","3","816","2026-05-20 13:46:23"
"PUBLIC\results\_06_log_retention_distribution_eda_260520\06_log_retention_distribution_summary.csv","file","3","3066","2026-05-20 13:46:21"
"PUBLIC\results\_06_log_retention_distribution_eda_260520\README.md","file","3","768","2026-05-20 15:53:04"
"PUBLIC\results\_06_model_notebook_prep_260520","directory","2","","2026-05-20 15:52:37"
"PUBLIC\results\_06_model_notebook_prep_260520\06_existing_folder_inventory.csv","file","3","2819","2026-05-20 15:53:04"
"PUBLIC\results\_06_model_notebook_prep_260520\06_feature_manifest.csv","file","3","10312","2026-05-20 15:32:10"
"PUBLIC\results\_06_model_notebook_prep_260520\06_input_validation.csv","file","3","826","2026-05-20 15:53:04"
"PUBLIC\results\_06_model_notebook_prep_260520\06_log_retention_input_inventory.csv","file","3","446","2026-05-20 15:53:04"
"PUBLIC\results\_06_model_notebook_prep_260520\06_log_retention_input_profile.csv","file","3","709","2026-05-20 14:39:46"
"PUBLIC\results\_06_model_notebook_prep_260520\06_manual_execution_guide.md","file","3","1991","2026-05-20 15:53:04"
"PUBLIC\results\_06_model_notebook_prep_260520\06_model_notebook_prep_final_checks.csv","file","3","3911","2026-05-20 15:53:04"
"PUBLIC\results\_06_model_notebook_prep_260520\06_model_notebook_prep_memo.md","file","3","2093","2026-05-20 15:53:04"
"PUBLIC\results\_06_model_notebook_prep_260520\06_notebook_prep_review_zip_inventory.csv","file","3","3099","2026-05-20 15:53:04"
"PUBLIC\results\_06_model_notebook_prep_260520\06_notebook_static_checks.csv","file","3","1398","2026-05-20 15:53:04"
"PUBLIC\results\_06_model_notebook_prep_260520\note_tail_PUBLIC_model_notebook_prep_260520.md","file","3","7859","2026-05-20 15:53:04"
"PUBLIC\results\_06_model_notebook_prep_260520\prepare_model_notebooks_260520.py","file","3","48736","2026-05-20 15:53:04"
"PUBLIC\results\_06x_dataset_generation_260515","directory","2","","2026-05-20 13:06:57"
"PUBLIC\results\_06x_dataset_generation_260515\06x_caveat_register.csv","file","3","778","2026-05-20 13:33:48"
"PUBLIC\results\_06x_dataset_generation_260515\06x_cold_start_hotfix_diff_summary.csv","file","3","1091","2026-05-20 13:33:48"
"PUBLIC\results\_06x_dataset_generation_260515\06x_cold_start_hotfix_print_summary.txt","file","3","553","2026-05-20 13:33:48"
"PUBLIC\results\_06x_dataset_generation_260515\06x_cold_start_hotfix_validation.csv","file","3","400","2026-05-20 13:33:47"
"PUBLIC\results\_06x_dataset_generation_260515\06x_cold_start_mismatch_cause_analysis.csv","file","3","1384","2026-05-20 13:33:47"
"PUBLIC\results\_06x_dataset_generation_260515\06x_conservative_dataset.csv","file","3","4866739","2026-05-20 13:33:47"
"PUBLIC\results\_06x_dataset_generation_260515\06x_dataset_comparison_summary.csv","file","3","289","2026-05-20 13:33:48"
"PUBLIC\results\_06x_dataset_generation_260515\06x_dataset_schema_conservative.csv","file","3","1527","2026-05-20 13:33:48"
"PUBLIC\results\_06x_dataset_generation_260515\06x_dataset_schema_expanded.csv","file","3","8038","2026-05-20 13:33:48"
"PUBLIC\results\_06x_dataset_generation_260515\06x_excluded_columns_audit.csv","file","3","1392","2026-05-20 13:33:48"
"PUBLIC\results\_06x_dataset_generation_260515\06x_expanded_dataset.csv","file","3","12191995","2026-05-20 13:33:48"
"PUBLIC\results\_06x_dataset_generation_260515\06x_feature_name_mapping.csv","file","3","5490","2026-05-20 13:33:48"
"PUBLIC\results\_06x_dataset_generation_260515\06x_final_checks.csv","file","3","1546","2026-05-20 15:53:01"
"PUBLIC\results\_06x_dataset_generation_260515\06x_fixed_feature_validation.csv","file","3","868","2026-05-20 13:33:47"
"PUBLIC\results\_06x_dataset_generation_260515\06x_model_feature_lists.csv","file","3","12902","2026-05-20 13:33:48"
"PUBLIC\results\_06x_dataset_generation_260515\06x_review_zip_inventory.csv","file","3","1809","2026-05-20 15:53:01"
"PUBLIC\results\_06x_dataset_generation_260515\06x_row_policy_audit.csv","file","3","214","2026-05-20 13:33:47"
"PUBLIC\results\_06x_dataset_generation_260515\06x_scope_feature_policy.csv","file","3","757","2026-05-20 13:33:48"
"PUBLIC\results\_06x_dataset_generation_260515\06x_source_master_profile.csv","file","3","218","2026-05-20 13:33:47"
"PUBLIC\results\_06x_dataset_generation_260515\note_tail_copy.md","file","3","5795","2026-05-20 13:33:48"
"PUBLIC\results\_06x_dataset_generation_260515\README.md","file","3","1886","2026-05-20 13:33:48"
"PUBLIC\results\_06y_promo_split_260520","directory","2","","2026-05-20 13:19:53"
"PUBLIC\results\_06y_promo_split_260520\06y_expanded_dataset_promo_0.csv","file","3","5896640","2026-05-20 13:34:09"
"PUBLIC\results\_06y_promo_split_260520\06y_expanded_dataset_promo_1.csv","file","3","6295394","2026-05-20 13:34:09"
"PUBLIC\results\_06y_promo_split_260520\06y_final_checks.csv","file","3","860","2026-05-20 15:53:04"
"PUBLIC\results\_06y_promo_split_260520\06y_promo_split_print_summary.txt","file","3","220","2026-05-20 13:34:09"
"PUBLIC\results\_06y_promo_split_260520\06y_promo_split_summary.csv","file","3","277","2026-05-20 13:34:09"
"PUBLIC\results\_06y_promo_split_260520\06y_review_zip_inventory.csv","file","3","865","2026-05-20 15:53:04"
"PUBLIC\results\_06y_promo_split_260520\06y_schema_check.csv","file","3","3804","2026-05-20 13:34:09"
"PUBLIC\results\_06y_promo_split_260520\06y_source_profile.csv","file","3","251","2026-05-20 13:34:08"
"PUBLIC\results\_06y_promo_split_260520\06y_target_distribution_by_split.csv","file","3","177","2026-05-20 13:34:09"
"PUBLIC\results\_06y_promo_split_260520\note_tail_copy.md","file","3","4639","2026-05-20 13:34:09"
"PUBLIC\results\_06y_promo_split_260520\README.md","file","3","671","2026-05-20 13:34:09"
"PUBLIC\results\_archive","directory","2","","2026-05-20 15:52:37"
"PUBLIC\results\_archive\misnumbered_06_model_outputs_260520","directory","3","","2026-05-20 15:52:37"
"PUBLIC\results\_archive\misnumbered_06_model_outputs_260520\_06_model_rerun_260520","directory","4","","2026-05-20 14:38:06"
"PUBLIC\results\_archive\misnumbered_06_model_outputs_260520\_06_model_rerun_260520\gb_promo0","directory","5","","2026-05-20 14:17:54"
"PUBLIC\results\_archive\misnumbered_06_model_outputs_260520\_06_model_rerun_260520\gb_promo1","directory","5","","2026-05-20 14:17:54"
"PUBLIC\results\_archive\misnumbered_06_model_outputs_260520\_06_model_rerun_260520\lr_promo0","directory","5","","2026-05-20 14:53:42"
"PUBLIC\results\_archive\misnumbered_06_model_outputs_260520\_06_model_rerun_260520\lr_promo0\feature_manifest_used.csv","file","6","1818","2026-05-20 14:53:42"
"PUBLIC\results\_archive\misnumbered_06_model_outputs_260520\_06_model_rerun_260520\lr_promo0\final_result.csv","file","6","926","2026-05-20 15:53:04"
"PUBLIC\results\_archive\misnumbered_06_model_outputs_260520\_06_model_rerun_260520\lr_promo0\trials_all.csv","file","6","11590","2026-05-20 14:53:42"
"PUBLIC\results\_archive\misnumbered_06_model_outputs_260520\_06_model_rerun_260520\lr_promo1","directory","5","","2026-05-20 14:56:55"
"PUBLIC\results\_archive\misnumbered_06_model_outputs_260520\_06_model_rerun_260520\lr_promo1\feature_manifest_used.csv","file","6","1818","2026-05-20 14:56:55"
"PUBLIC\results\_archive\misnumbered_06_model_outputs_260520\_06_model_rerun_260520\lr_promo1\final_result.csv","file","6","930","2026-05-20 15:53:04"
"PUBLIC\results\_archive\misnumbered_06_model_outputs_260520\_06_model_rerun_260520\lr_promo1\trials_all.csv","file","6","11675","2026-05-20 14:56:55"
"PUBLIC\results\_current","directory","2","","2026-05-20 15:26:44"
"PUBLIC\results\11_baseline_growth_comparison_260520","directory","2","","2026-05-20 15:26:44"
"PUBLIC\results\12_model_family_comparison_260520","directory","2","","2026-05-20 15:26:44"
"PUBLIC\results\14_candidate_tuning_260520","directory","2","","2026-05-20 15:26:44"
"PUBLIC\results\15_oof_score_or_sensitivity_260520","directory","2","","2026-05-20 15:26:44"
"PUBLIC\results\model","directory","2","","2026-05-20 13:30:36"
"PUBLIC\results\model_selection_overfit_260520","directory","2","","2026-05-20 10:27:53"
"PUBLIC\results\model_selection_overfit_260520\note_tail_PUBLIC_model_selection_overfit_260520.md","file","3","3985","2026-05-20 10:28:33"
"PUBLIC\results\model_selection_overfit_260520\PUBLIC_final_result_metrics_reparsed.csv","file","3","10081","2026-05-20 10:28:33"
"PUBLIC\results\model_selection_overfit_260520\PUBLIC_model_selection_input_inventory.csv","file","3","2201","2026-05-20 10:28:33"
"PUBLIC\results\model_selection_overfit_260520\PUBLIC_model_selection_overfit_final_checks.csv","file","3","1990","2026-05-20 10:28:34"
"PUBLIC\results\model_selection_overfit_260520\PUBLIC_model_selection_overfit_review_zip_inventory.csv","file","3","1590","2026-05-20 10:28:34"
"PUBLIC\results\model_selection_overfit_260520\PUBLIC_overfit_adjusted_model_selection.csv","file","3","4826","2026-05-20 10:28:33"
"PUBLIC\results\model_selection_overfit_260520\PUBLIC_overfit_adjusted_model_selection_memo.md","file","3","8074","2026-05-20 10:28:33"
"PUBLIC\results\model_selection_overfit_260520\PUBLIC_trial_level_overfit_summary.csv","file","3","5301","2026-05-20 10:28:33"
"PUBLIC\results\model_selection_overfit_260520\select_model_with_overfit_260520.py","file","3","52141","2026-05-20 15:32:06"
"PUBLIC\results\model\01_catboost_promo0","directory","3","","2026-05-20 09:41:20"
"PUBLIC\results\model\01_catboost_promo0_conservative","directory","3","","2026-05-20 11:11:38"
"PUBLIC\results\model\01_catboost_promo0_conservative\final_result.csv","file","4","2180","2026-05-20 11:11:38"
"PUBLIC\results\model\01_catboost_promo0_conservative\trials_all.csv","file","4","17789","2026-05-20 11:11:36"
"PUBLIC\results\model\01_catboost_promo0\final_result.csv","file","4","447","2026-05-20 09:41:20"
"PUBLIC\results\model\01_catboost_promo0\trials_all.csv","file","4","23390","2026-05-20 09:41:20"
"PUBLIC\results\model\02_catboost_promo1","directory","3","","2026-05-20 09:41:20"
"PUBLIC\results\model\02_catboost_promo1_conservative","directory","3","","2026-05-20 11:47:07"
"PUBLIC\results\model\02_catboost_promo1_conservative\final_result.csv","file","4","2175","2026-05-20 11:47:07"
"PUBLIC\results\model\02_catboost_promo1_conservative\trials_all.csv","file","4","17830","2026-05-20 11:47:07"
"PUBLIC\results\model\02_catboost_promo1\final_result.csv","file","4","454","2026-05-20 09:41:20"
"PUBLIC\results\model\02_catboost_promo1\trials_all.csv","file","4","23255","2026-05-20 09:41:20"
"PUBLIC\results\model\03_svm_promo0","directory","3","","2026-05-20 09:31:23"
"PUBLIC\results\model\03_svm_promo0\final_result.csv","file","4","407","2026-05-20 09:31:23"
"PUBLIC\results\model\03_svm_promo0\trials_all.csv","file","4","22869","2026-05-20 09:31:23"
"PUBLIC\results\model\04_svm_promo1","directory","3","","2026-05-20 09:31:23"
"PUBLIC\results\model\04_svm_promo1\final_result.csv","file","4","408","2026-05-20 09:31:23"
"PUBLIC\results\model\04_svm_promo1\trials_all.csv","file","4","22833","2026-05-20 09:31:23"
"PUBLIC\results\model\05_rf_promo0","directory","3","","2026-05-19 22:05:21"
"PUBLIC\results\model\05_rf_promo0\final_result.csv","file","4","1915","2026-05-19 22:05:21"
"PUBLIC\results\model\05_rf_promo0\trials_all.csv","file","4","17901","2026-05-19 22:05:15"
"PUBLIC\results\model\06_rf_promo1","directory","3","","2026-05-19 23:34:36"
"PUBLIC\results\model\06_rf_promo1\final_result.csv","file","4","1907","2026-05-19 23:34:36"
"PUBLIC\results\model\06_rf_promo1\trials_all.csv","file","4","17854","2026-05-20 09:04:37"
"PUBLIC\results\model\07_lr_promo0","directory","3","","2026-05-20 09:41:20"
"PUBLIC\results\model\07_lr_promo0\final_result.csv","file","4","376","2026-05-20 09:41:20"
"PUBLIC\results\model\07_lr_promo0\trials_all.csv","file","4","18331","2026-05-20 09:41:20"
"PUBLIC\results\model\08_lr_promo1","directory","3","","2026-05-20 09:05:10"
"PUBLIC\results\model\08_lr_promo1\final_result.csv","file","4","377","2026-05-20 09:05:10"
"PUBLIC\results\model\08_lr_promo1\trials_all.csv","file","4","18493","2026-05-20 09:05:10"
"PUBLIC\results\model\09_gradientboosting_promo0","directory","3","","2026-05-20 11:59:34"
"PUBLIC\results\model\09_gradientboosting_promo0\final_result.csv","file","4","2144","2026-05-20 11:59:34"
"PUBLIC\results\model\09_gradientboosting_promo0\trials_all.csv","file","4","14327","2026-05-20 11:59:34"
"PUBLIC\results\model\10_gradientboosting_promo1","directory","3","","2026-05-20 11:59:34"
"PUBLIC\results\model\10_gradientboosting_promo1\final_result.csv","file","4","2140","2026-05-20 11:59:34"
"PUBLIC\results\model\10_gradientboosting_promo1\trials_all.csv","file","4","14318","2026-05-20 11:59:34"
"PUBLIC\zip","directory","1","","2026-05-20 15:31:55"
"PUBLIC\zip\_06x_dataset_generation_260515_review_package.zip","file","2","6831724","2026-05-20 13:33:50"
"PUBLIC\zip\_06y_promo_split_260520_review_package.zip","file","2","4425907","2026-05-20 13:34:10"
"PUBLIC\zip\PUBLIC_model_notebook_prep_260520_review_package.zip","file","2","4632824","2026-05-20 14:39:51"
"PUBLIC\zip\PUBLIC_pipeline_realignment_260520_review_package.zip","file","2","37258","2026-05-20 15:53:58"
