issue_id,column_name,previous_primary_role,previous_feature_family,previous_timing_family,issue_description,severity,patch_action
ISSUE_013,,,,,human_review_required file contains rows that are safe yes columns rather than true review-required only.,medium,Create true human review file limited to review/confirmation/risk/ambiguous columns.
ISSUE_014,,,,,recommended feature set contract mixes review rows under forbidden_drop_columns.,medium,Separate forbidden/drop exclude rows from review_required_candidate rows.
ISSUE_USAGE_avg_daily_watch_time(min),avg_daily_watch_time(min),unknown_review_required,unknown_review,unknown,avg_daily_watch_time(min) was generic unknown despite being a usage summary.,low,Reclassify as aggregate_usage_review and keep review until window is confirmed.
ISSUE_USAGE_avg_gap_between_watch_days,avg_gap_between_watch_days,unknown_review_required,unknown_review,unknown,avg_gap_between_watch_days was generic unknown despite being a usage summary.,low,Reclassify as aggregate_usage_review and keep review until window is confirmed.
ISSUE_USAGE_avg_watch_time(min),avg_watch_time(min),unknown_review_required,unknown_review,unknown,avg_watch_time(min) was generic unknown despite being a usage summary.,low,Reclassify as aggregate_usage_review and keep review until window is confirmed.
ISSUE_USAGE_day_count_over_3times,day_count_over_3times,unknown_review_required,unknown_review,unknown,day_count_over_3times was generic unknown despite being a usage summary.,low,Reclassify as aggregate_usage_review and keep review until window is confirmed.
ISSUE_USAGE_max_daily_sessions,max_daily_sessions,unknown_review_required,unknown_review,unknown,max_daily_sessions was generic unknown despite being a usage summary.,low,Reclassify as aggregate_usage_review and keep review until window is confirmed.
ISSUE_USAGE_max_daily_watch_time(min),max_daily_watch_time(min),unknown_review_required,unknown_review,unknown,max_daily_watch_time(min) was generic unknown despite being a usage summary.,low,Reclassify as aggregate_usage_review and keep review until window is confirmed.
ISSUE_USAGE_max_day_share,max_day_share,unknown_review_required,unknown_review,unknown,max_day_share was generic unknown despite being a usage summary.,low,Reclassify as aggregate_usage_review and keep review until window is confirmed.
ISSUE_USAGE_max_inactive_gap_days,max_inactive_gap_days,unknown_review_required,unknown_review,unknown,max_inactive_gap_days was generic unknown despite being a usage summary.,low,Reclassify as aggregate_usage_review and keep review until window is confirmed.
ISSUE_USAGE_max_watch_time(min),max_watch_time(min),unknown_review_required,unknown_review,unknown,max_watch_time(min) was generic unknown despite being a usage summary.,low,Reclassify as aggregate_usage_review and keep review until window is confirmed.
ISSUE_USAGE_median_watch_time(min),median_watch_time(min),unknown_review_required,unknown_review,unknown,median_watch_time(min) was generic unknown despite being a usage summary.,low,Reclassify as aggregate_usage_review and keep review until window is confirmed.
ISSUE_USAGE_movie_per_active_day,movie_per_active_day,unknown_review_required,unknown_review,unknown,movie_per_active_day was generic unknown despite being a usage summary.,low,Reclassify as aggregate_usage_review and keep review until window is confirmed.
ISSUE_USAGE_std_watch_time(min),std_watch_time(min),unknown_review_required,unknown_review,unknown,std_watch_time(min) was generic unknown despite being a usage summary.,low,Reclassify as aggregate_usage_review and keep review until window is confirmed.
ISSUE_USAGE_unique_movie,unique_movie,unknown_review_required,unknown_review,unknown,unique_movie was generic unknown despite being a usage summary.,low,Reclassify as aggregate_usage_review and keep review until window is confirmed.
ISSUE_USAGE_watch_days,watch_days,unknown_review_required,unknown_review,unknown,watch_days was generic unknown despite being a usage summary.,low,Reclassify as aggregate_usage_review and keep review until window is confirmed.
ISSUE_USAGE_watch_per_day,watch_per_day,unknown_review_required,unknown_review,unknown,watch_per_day was generic unknown despite being a usage summary.,low,Reclassify as aggregate_usage_review and keep review until window is confirmed.
ISSUE_CONTENT_new_movie_in_180d_ratio,new_movie_in_180d_ratio,genre_ratio,content_genre,content_window_ambiguous,new_movie_in_180d_ratio was classified as genre_ratio but is content recency.,medium,Reclassify as content_recency and keep review.
ISSUE_CONTENT_new_movie_in_365d_ratio,new_movie_in_365d_ratio,genre_ratio,content_genre,content_window_ambiguous,new_movie_in_365d_ratio was classified as genre_ratio but is content recency.,medium,Reclassify as content_recency and keep review.
ISSUE_CONTENT_new_movie_in_90d_ratio,new_movie_in_90d_ratio,genre_ratio,content_genre,content_window_ambiguous,new_movie_in_90d_ratio was classified as genre_ratio but is content recency.,medium,Reclassify as content_recency and keep review.
ISSUE_CONTEXT_is_female,is_female,unknown_review_required,unknown_review,unknown,is_female had overly generic role/family.,low,Reclassify as membership or registration context and keep review.
ISSUE_CONTEXT_is_male,is_male,unknown_review_required,unknown_review,unknown,is_male had overly generic role/family.,low,Reclassify as membership or registration context and keep review.
ISSUE_CONTEXT_is_premium,is_premium,unknown_review_required,unknown_review,unknown,is_premium had overly generic role/family.,low,Reclassify as membership or registration context and keep review.
ISSUE_CONTEXT_is_standard,is_standard,unknown_review_required,unknown_review,unknown,is_standard had overly generic role/family.,low,Reclassify as membership or registration context and keep review.
ISSUE_CONTEXT_is_user_verified,is_user_verified,unknown_review_required,unknown_review,unknown,is_user_verified had overly generic role/family.,low,Reclassify as membership or registration context and keep review.
ISSUE_CONTEXT_payment_device,payment_device,unknown_review_required,unknown_review,unknown,payment_device had overly generic role/family.,low,Reclassify as membership or registration context and keep review.
ISSUE_CONTEXT_payment_is_android,payment_is_android,unknown_review_required,unknown_review,unknown,payment_is_android had overly generic role/family.,low,Reclassify as membership or registration context and keep review.
ISSUE_CONTEXT_payment_is_ios,payment_is_ios,unknown_review_required,unknown_review,unknown,payment_is_ios had overly generic role/family.,low,Reclassify as membership or registration context and keep review.
ISSUE_CONTEXT_payment_is_mobile,payment_is_mobile,unknown_review_required,unknown_review,unknown,payment_is_mobile had overly generic role/family.,low,Reclassify as membership or registration context and keep review.
ISSUE_CONTEXT_payment_is_pc,payment_is_pc,unknown_review_required,unknown_review,unknown,payment_is_pc had overly generic role/family.,low,Reclassify as membership or registration context and keep review.
ISSUE_CONTEXT_reg_hour,reg_hour,unknown_review_required,unknown_review,unknown,reg_hour had overly generic role/family.,low,Reclassify as membership or registration context and keep review.
ISSUE_CONTEXT_reg_hour_afternoon,reg_hour_afternoon,unknown_review_required,unknown_review,unknown,reg_hour_afternoon had overly generic role/family.,low,Reclassify as membership or registration context and keep review.
ISSUE_CONTEXT_reg_hour_evening,reg_hour_evening,unknown_review_required,unknown_review,unknown,reg_hour_evening had overly generic role/family.,low,Reclassify as membership or registration context and keep review.
ISSUE_CONTEXT_reg_hour_morning,reg_hour_morning,unknown_review_required,unknown_review,unknown,reg_hour_morning had overly generic role/family.,low,Reclassify as membership or registration context and keep review.
ISSUE_CONTEXT_reg_hour_night,reg_hour_night,unknown_review_required,unknown_review,unknown,reg_hour_night had overly generic role/family.,low,Reclassify as membership or registration context and keep review.
ISSUE_CONTEXT_reg_is_weekend,reg_is_weekend,unknown_review_required,unknown_review,unknown,reg_is_weekend had overly generic role/family.,low,Reclassify as membership or registration context and keep review.
