column_order,column_name,primary_role,feature_family,sub_family,source_semantics_guess,timing_family,allowed_for_overall_model_candidate,allowed_for_groupwise_model_candidate,allowed_for_baseline_ladder_membership_only,allowed_for_baseline_ladder_activation,allowed_for_baseline_ladder_retention_w2,allowed_for_baseline_ladder_retention_w3,allowed_for_baseline_ladder_content,allowed_for_segment_design_candidate,reason,required_user_confirmation,future_step_to_resolve,patched_primary_role,patched_feature_family,patched_sub_family,patched_timing_family,patched_allowed_for_overall_model_candidate,patched_allowed_for_groupwise_model_candidate,patched_allowed_for_baseline_ladder_membership_only,patched_allowed_for_baseline_ladder_activation,patched_allowed_for_baseline_ladder_retention_w2,patched_allowed_for_baseline_ladder_retention_w3,patched_allowed_for_baseline_ladder_content,patched_allowed_for_segment_design_candidate,patched_reason,patched_required_user_confirmation,patched_future_step_to_resolve,patch_changed,patch_change_summary
13,reg_hour,unknown_review_required,unknown_review,unknown,meaning not documented in this step,unknown,review,review,review,review,review,review,review,review,"meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.",yes,06_common_preprocessing_final_cohort_policy_260513,acquisition,registration_context,reg_hour,subscription_anchor_derived_review,review,review,review,no,no,no,no,review,Registration-time derived context; review whether it is appropriate as a feature rather than anchor leakage.,yes,confirm_registration_context_semantics_before_modeling,yes,primary_role: unknown_review_required -> acquisition; feature_family: unknown_review -> registration_context; sub_family: unknown -> reg_hour; timing_family: unknown -> subscription_anchor_derived_review
14,end_date,timing_review_required,subscription_anchor,end_date_ambiguous,scheduled-vs-posthoc end date unresolved,all_period_ambiguous,no,no,no,no,no,no,no,review,"scheduled-vs-posthoc end date unresolved. Evidence: end date or duration timing unresolved. Conservative rule: uncertain columns remain review, not approved.",yes,06_final_cohort_policy_must_resolve_end_date_timing,timing_review_required,subscription_end_timing_review,end_date_ambiguous,subscription_end_timing_review,review,review,no,no,no,no,no,review,End date is unresolved: scheduled-at-scoring vs post-hoc actual end must be confirmed before modeling.,yes,06_common_preprocessing_and_final_cohort_260513,yes,feature_family: subscription_anchor -> subscription_end_timing_review; timing_family: all_period_ambiguous -> subscription_end_timing_review; allowed_for_overall_model_candidate: no -> review; allowed_for_groupwise_model_candidate: no -> review
16,is_standard,unknown_review_required,unknown_review,unknown,meaning not documented in this step,unknown,review,review,review,review,review,review,review,review,"meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.",yes,06_common_preprocessing_final_cohort_policy_260513,membership_context,membership_context,is_standard,static_or_pre_subscription_review,review,review,review,no,no,no,no,review,Membership/payment/demographic context needs semantic and scoring-time review before modeling.,yes,confirm_metadata_semantics_before_modeling,yes,primary_role: unknown_review_required -> membership_context; feature_family: unknown_review -> membership_context; sub_family: unknown -> is_standard; timing_family: unknown -> static_or_pre_subscription_review
17,is_premium,unknown_review_required,unknown_review,unknown,meaning not documented in this step,unknown,review,review,review,review,review,review,review,review,"meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.",yes,06_common_preprocessing_final_cohort_policy_260513,membership_context,membership_context,is_premium,static_or_pre_subscription_review,review,review,review,no,no,no,no,review,Membership/payment/demographic context needs semantic and scoring-time review before modeling.,yes,confirm_metadata_semantics_before_modeling,yes,primary_role: unknown_review_required -> membership_context; feature_family: unknown_review -> membership_context; sub_family: unknown -> is_premium; timing_family: unknown -> static_or_pre_subscription_review
18,age_group,membership_context,membership_context,static_or_subscription_metadata,membership metadata requires semantic review,static_or_pre_subscription,review,review,review,review,review,review,review,review,"membership metadata requires semantic review. Evidence: likely static/subscription context but semantic review required. Conservative rule: uncertain columns remain review, not approved.",yes,confirm_metadata_semantics_before_modeling,membership_context,membership_context,age_group,static_or_pre_subscription_review,review,review,review,no,no,no,no,review,Membership/payment/demographic context needs semantic and scoring-time review before modeling.,yes,confirm_metadata_semantics_before_modeling,yes,sub_family: static_or_subscription_metadata -> age_group; timing_family: static_or_pre_subscription -> static_or_pre_subscription_review
19,is_female,unknown_review_required,unknown_review,unknown,meaning not documented in this step,unknown,review,review,review,review,review,review,review,review,"meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.",yes,06_common_preprocessing_final_cohort_policy_260513,membership_context,membership_context,is_female,static_or_pre_subscription_review,review,review,review,no,no,no,no,review,Membership/payment/demographic context needs semantic and scoring-time review before modeling.,yes,confirm_metadata_semantics_before_modeling,yes,primary_role: unknown_review_required -> membership_context; feature_family: unknown_review -> membership_context; sub_family: unknown -> is_female; timing_family: unknown -> static_or_pre_subscription_review
20,is_male,unknown_review_required,unknown_review,unknown,meaning not documented in this step,unknown,review,review,review,review,review,review,review,review,"meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.",yes,06_common_preprocessing_final_cohort_policy_260513,membership_context,membership_context,is_male,static_or_pre_subscription_review,review,review,review,no,no,no,no,review,Membership/payment/demographic context needs semantic and scoring-time review before modeling.,yes,confirm_metadata_semantics_before_modeling,yes,primary_role: unknown_review_required -> membership_context; feature_family: unknown_review -> membership_context; sub_family: unknown -> is_male; timing_family: unknown -> static_or_pre_subscription_review
21,reg_is_weekend,unknown_review_required,unknown_review,unknown,meaning not documented in this step,unknown,review,review,review,review,review,review,review,review,"meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.",yes,06_common_preprocessing_final_cohort_policy_260513,acquisition,registration_context,reg_is_weekend,subscription_anchor_derived_review,review,review,review,no,no,no,no,review,Registration-time derived context; review whether it is appropriate as a feature rather than anchor leakage.,yes,confirm_registration_context_semantics_before_modeling,yes,primary_role: unknown_review_required -> acquisition; feature_family: unknown_review -> registration_context; sub_family: unknown -> reg_is_weekend; timing_family: unknown -> subscription_anchor_derived_review
22,reg_hour_morning,unknown_review_required,unknown_review,unknown,meaning not documented in this step,unknown,review,review,review,review,review,review,review,review,"meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.",yes,06_common_preprocessing_final_cohort_policy_260513,acquisition,registration_context,reg_hour_morning,subscription_anchor_derived_review,review,review,review,no,no,no,no,review,Registration-time derived context; review whether it is appropriate as a feature rather than anchor leakage.,yes,confirm_registration_context_semantics_before_modeling,yes,primary_role: unknown_review_required -> acquisition; feature_family: unknown_review -> registration_context; sub_family: unknown -> reg_hour_morning; timing_family: unknown -> subscription_anchor_derived_review
23,reg_hour_afternoon,unknown_review_required,unknown_review,unknown,meaning not documented in this step,unknown,review,review,review,review,review,review,review,review,"meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.",yes,06_common_preprocessing_final_cohort_policy_260513,acquisition,registration_context,reg_hour_afternoon,subscription_anchor_derived_review,review,review,review,no,no,no,no,review,Registration-time derived context; review whether it is appropriate as a feature rather than anchor leakage.,yes,confirm_registration_context_semantics_before_modeling,yes,primary_role: unknown_review_required -> acquisition; feature_family: unknown_review -> registration_context; sub_family: unknown -> reg_hour_afternoon; timing_family: unknown -> subscription_anchor_derived_review
24,reg_hour_evening,unknown_review_required,unknown_review,unknown,meaning not documented in this step,unknown,review,review,review,review,review,review,review,review,"meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.",yes,06_common_preprocessing_final_cohort_policy_260513,acquisition,registration_context,reg_hour_evening,subscription_anchor_derived_review,review,review,review,no,no,no,no,review,Registration-time derived context; review whether it is appropriate as a feature rather than anchor leakage.,yes,confirm_registration_context_semantics_before_modeling,yes,primary_role: unknown_review_required -> acquisition; feature_family: unknown_review -> registration_context; sub_family: unknown -> reg_hour_evening; timing_family: unknown -> subscription_anchor_derived_review
25,reg_hour_night,unknown_review_required,unknown_review,unknown,meaning not documented in this step,unknown,review,review,review,review,review,review,review,review,"meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.",yes,06_common_preprocessing_final_cohort_policy_260513,acquisition,registration_context,reg_hour_night,subscription_anchor_derived_review,review,review,review,no,no,no,no,review,Registration-time derived context; review whether it is appropriate as a feature rather than anchor leakage.,yes,confirm_registration_context_semantics_before_modeling,yes,primary_role: unknown_review_required -> acquisition; feature_family: unknown_review -> registration_context; sub_family: unknown -> reg_hour_night; timing_family: unknown -> subscription_anchor_derived_review
26,payment_is_mobile,unknown_review_required,unknown_review,unknown,meaning not documented in this step,unknown,review,review,review,review,review,review,review,review,"meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.",yes,06_common_preprocessing_final_cohort_policy_260513,membership_context,membership_context,payment_is_mobile,static_or_pre_subscription_review,review,review,review,no,no,no,no,review,Membership/payment/demographic context needs semantic and scoring-time review before modeling.,yes,confirm_metadata_semantics_before_modeling,yes,primary_role: unknown_review_required -> membership_context; feature_family: unknown_review -> membership_context; sub_family: unknown -> payment_is_mobile; timing_family: unknown -> static_or_pre_subscription_review
27,payment_is_pc,unknown_review_required,unknown_review,unknown,meaning not documented in this step,unknown,review,review,review,review,review,review,review,review,"meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.",yes,06_common_preprocessing_final_cohort_policy_260513,membership_context,membership_context,payment_is_pc,static_or_pre_subscription_review,review,review,review,no,no,no,no,review,Membership/payment/demographic context needs semantic and scoring-time review before modeling.,yes,confirm_metadata_semantics_before_modeling,yes,primary_role: unknown_review_required -> membership_context; feature_family: unknown_review -> membership_context; sub_family: unknown -> payment_is_pc; timing_family: unknown -> static_or_pre_subscription_review
28,payment_is_android,unknown_review_required,unknown_review,unknown,meaning not documented in this step,unknown,review,review,review,review,review,review,review,review,"meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.",yes,06_common_preprocessing_final_cohort_policy_260513,membership_context,membership_context,payment_is_android,static_or_pre_subscription_review,review,review,review,no,no,no,no,review,Membership/payment/demographic context needs semantic and scoring-time review before modeling.,yes,confirm_metadata_semantics_before_modeling,yes,primary_role: unknown_review_required -> membership_context; feature_family: unknown_review -> membership_context; sub_family: unknown -> payment_is_android; timing_family: unknown -> static_or_pre_subscription_review
29,payment_is_ios,unknown_review_required,unknown_review,unknown,meaning not documented in this step,unknown,review,review,review,review,review,review,review,review,"meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.",yes,06_common_preprocessing_final_cohort_policy_260513,membership_context,membership_context,payment_is_ios,static_or_pre_subscription_review,review,review,review,no,no,no,no,review,Membership/payment/demographic context needs semantic and scoring-time review before modeling.,yes,confirm_metadata_semantics_before_modeling,yes,primary_role: unknown_review_required -> membership_context; feature_family: unknown_review -> membership_context; sub_family: unknown -> payment_is_ios; timing_family: unknown -> static_or_pre_subscription_review
30,total_watch_count,aggregate_usage_review,usage_aggregate,total_period_ambiguous,total usage window unresolved,all_period_ambiguous,review,review,review,review,review,review,review,review,"total usage window unresolved. Evidence: total/all-period window unresolved. Conservative rule: uncertain columns remain review, not approved.",yes,confirm_total_usage_window_before_modeling,aggregate_usage_review,usage_aggregate,total_period_ambiguous,all_period_ambiguous,review,review,no,no,no,no,no,review,Total usage column remains review until proven to be day0-20 only.,yes,confirm_total_usage_window_before_modeling,no,
31,unique_movie,unknown_review_required,unknown_review,unknown,meaning not documented in this step,unknown,review,review,review,review,review,review,review,review,"meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.",yes,06_common_preprocessing_final_cohort_policy_260513,aggregate_usage_review,usage_behavior_summary,unique_movie,all_period_ambiguous,review,review,no,no,no,no,no,review,Usage summary lacks explicit week/window in the name; keep review until construction window is documented.,yes,confirm_usage_window_before_modeling,yes,primary_role: unknown_review_required -> aggregate_usage_review; feature_family: unknown_review -> usage_behavior_summary; sub_family: unknown -> unique_movie; timing_family: unknown -> all_period_ambiguous
32,watch_days,unknown_review_required,unknown_review,unknown,meaning not documented in this step,unknown,review,review,review,review,review,review,review,review,"meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.",yes,06_common_preprocessing_final_cohort_policy_260513,aggregate_usage_review,usage_behavior_summary,watch_days,all_period_ambiguous,review,review,no,no,no,no,no,review,Usage summary lacks explicit week/window in the name; keep review until construction window is documented.,yes,confirm_usage_window_before_modeling,yes,primary_role: unknown_review_required -> aggregate_usage_review; feature_family: unknown_review -> usage_behavior_summary; sub_family: unknown -> watch_days; timing_family: unknown -> all_period_ambiguous
33,active_ratio,genre_ratio,content_genre,genre_or_ratio,genre/content ratio window unresolved,content_window_ambiguous,review,review,review,review,review,review,review,review,"genre/content ratio window unresolved. Evidence: content/recency construction window unresolved. Conservative rule: uncertain columns remain review, not approved.",yes,confirm_content_window_before_modeling,retention,usage_behavior_ratio,active_ratio,all_period_ambiguous,review,review,no,no,no,no,no,review,"active_ratio is a usage/behavior ratio, not a genre ratio. Construction window is not explicit, so it remains review.",yes,confirm_usage_ratio_window_before_modeling,yes,primary_role: genre_ratio -> retention; feature_family: content_genre -> usage_behavior_ratio; sub_family: genre_or_ratio -> active_ratio; timing_family: content_window_ambiguous -> all_period_ambiguous
34,total_watch_time(min),aggregate_usage_review,usage_aggregate,total_period_ambiguous,total usage window unresolved,all_period_ambiguous,review,review,review,review,review,review,review,review,"total usage window unresolved. Evidence: total/all-period window unresolved. Conservative rule: uncertain columns remain review, not approved.",yes,confirm_total_usage_window_before_modeling,aggregate_usage_review,usage_aggregate,total_period_ambiguous,all_period_ambiguous,review,review,no,no,no,no,no,review,Total usage column remains review until proven to be day0-20 only.,yes,confirm_total_usage_window_before_modeling,no,
35,watch_per_day,unknown_review_required,unknown_review,unknown,meaning not documented in this step,unknown,review,review,review,review,review,review,review,review,"meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.",yes,06_common_preprocessing_final_cohort_policy_260513,aggregate_usage_review,usage_behavior_summary,watch_per_day,all_period_ambiguous,review,review,no,no,no,no,no,review,Usage summary lacks explicit week/window in the name; keep review until construction window is documented.,yes,confirm_usage_window_before_modeling,yes,primary_role: unknown_review_required -> aggregate_usage_review; feature_family: unknown_review -> usage_behavior_summary; sub_family: unknown -> watch_per_day; timing_family: unknown -> all_period_ambiguous
36,avg_watch_time(min),unknown_review_required,unknown_review,unknown,meaning not documented in this step,unknown,review,review,review,review,review,review,review,review,"meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.",yes,06_common_preprocessing_final_cohort_policy_260513,aggregate_usage_review,usage_behavior_summary,avg_watch_time(min),all_period_ambiguous,review,review,no,no,no,no,no,review,Usage summary lacks explicit week/window in the name; keep review until construction window is documented.,yes,confirm_usage_window_before_modeling,yes,primary_role: unknown_review_required -> aggregate_usage_review; feature_family: unknown_review -> usage_behavior_summary; sub_family: unknown -> avg_watch_time(min); timing_family: unknown -> all_period_ambiguous
37,median_watch_time(min),unknown_review_required,unknown_review,unknown,meaning not documented in this step,unknown,review,review,review,review,review,review,review,review,"meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.",yes,06_common_preprocessing_final_cohort_policy_260513,aggregate_usage_review,usage_behavior_summary,median_watch_time(min),all_period_ambiguous,review,review,no,no,no,no,no,review,Usage summary lacks explicit week/window in the name; keep review until construction window is documented.,yes,confirm_usage_window_before_modeling,yes,primary_role: unknown_review_required -> aggregate_usage_review; feature_family: unknown_review -> usage_behavior_summary; sub_family: unknown -> median_watch_time(min); timing_family: unknown -> all_period_ambiguous
38,std_watch_time(min),unknown_review_required,unknown_review,unknown,meaning not documented in this step,unknown,review,review,review,review,review,review,review,review,"meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.",yes,06_common_preprocessing_final_cohort_policy_260513,aggregate_usage_review,usage_behavior_summary,std_watch_time(min),all_period_ambiguous,review,review,no,no,no,no,no,review,Usage summary lacks explicit week/window in the name; keep review until construction window is documented.,yes,confirm_usage_window_before_modeling,yes,primary_role: unknown_review_required -> aggregate_usage_review; feature_family: unknown_review -> usage_behavior_summary; sub_family: unknown -> std_watch_time(min); timing_family: unknown -> all_period_ambiguous
39,avg_daily_watch_time(min),unknown_review_required,unknown_review,unknown,meaning not documented in this step,unknown,review,review,review,review,review,review,review,review,"meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.",yes,06_common_preprocessing_final_cohort_policy_260513,aggregate_usage_review,usage_behavior_summary,avg_daily_watch_time(min),all_period_ambiguous,review,review,no,no,no,no,no,review,Usage summary lacks explicit week/window in the name; keep review until construction window is documented.,yes,confirm_usage_window_before_modeling,yes,primary_role: unknown_review_required -> aggregate_usage_review; feature_family: unknown_review -> usage_behavior_summary; sub_family: unknown -> avg_daily_watch_time(min); timing_family: unknown -> all_period_ambiguous
40,max_watch_time(min),unknown_review_required,unknown_review,unknown,meaning not documented in this step,unknown,review,review,review,review,review,review,review,review,"meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.",yes,06_common_preprocessing_final_cohort_policy_260513,aggregate_usage_review,usage_behavior_summary,max_watch_time(min),all_period_ambiguous,review,review,no,no,no,no,no,review,Usage summary lacks explicit week/window in the name; keep review until construction window is documented.,yes,confirm_usage_window_before_modeling,yes,primary_role: unknown_review_required -> aggregate_usage_review; feature_family: unknown_review -> usage_behavior_summary; sub_family: unknown -> max_watch_time(min); timing_family: unknown -> all_period_ambiguous
41,max_daily_watch_time(min),unknown_review_required,unknown_review,unknown,meaning not documented in this step,unknown,review,review,review,review,review,review,review,review,"meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.",yes,06_common_preprocessing_final_cohort_policy_260513,aggregate_usage_review,usage_behavior_summary,max_daily_watch_time(min),all_period_ambiguous,review,review,no,no,no,no,no,review,Usage summary lacks explicit week/window in the name; keep review until construction window is documented.,yes,confirm_usage_window_before_modeling,yes,primary_role: unknown_review_required -> aggregate_usage_review; feature_family: unknown_review -> usage_behavior_summary; sub_family: unknown -> max_daily_watch_time(min); timing_family: unknown -> all_period_ambiguous
42,max_daily_sessions,unknown_review_required,unknown_review,unknown,meaning not documented in this step,unknown,review,review,review,review,review,review,review,review,"meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.",yes,06_common_preprocessing_final_cohort_policy_260513,aggregate_usage_review,usage_behavior_summary,max_daily_sessions,all_period_ambiguous,review,review,no,no,no,no,no,review,Usage summary lacks explicit week/window in the name; keep review until construction window is documented.,yes,confirm_usage_window_before_modeling,yes,primary_role: unknown_review_required -> aggregate_usage_review; feature_family: unknown_review -> usage_behavior_summary; sub_family: unknown -> max_daily_sessions; timing_family: unknown -> all_period_ambiguous
43,recency,content_recency,content_recency,reference_date_ambiguous,recency reference date unresolved,content_window_ambiguous,review,review,review,review,review,review,review,review,"recency reference date unresolved. Evidence: content/recency construction window unresolved. Conservative rule: uncertain columns remain review, not approved.",yes,confirm_recency_reference_date,timing_review_required,content_recency,reference_date_review,reference_date_review,review,review,no,no,no,no,review,review,Recency reference date is unresolved; it must be day21 scoring point or earlier.,yes,confirm_recency_reference_date,yes,primary_role: content_recency -> timing_review_required; sub_family: reference_date_ambiguous -> reference_date_review; timing_family: content_window_ambiguous -> reference_date_review
44,avg_gap_between_watch_days,unknown_review_required,unknown_review,unknown,meaning not documented in this step,unknown,review,review,review,review,review,review,review,review,"meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.",yes,06_common_preprocessing_final_cohort_policy_260513,aggregate_usage_review,usage_behavior_summary,avg_gap_between_watch_days,all_period_ambiguous,review,review,no,no,no,no,no,review,Usage summary lacks explicit week/window in the name; keep review until construction window is documented.,yes,confirm_usage_window_before_modeling,yes,primary_role: unknown_review_required -> aggregate_usage_review; feature_family: unknown_review -> usage_behavior_summary; sub_family: unknown -> avg_gap_between_watch_days; timing_family: unknown -> all_period_ambiguous
48,max_inactive_gap_days,unknown_review_required,unknown_review,unknown,meaning not documented in this step,unknown,review,review,review,review,review,review,review,review,"meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.",yes,06_common_preprocessing_final_cohort_policy_260513,aggregate_usage_review,usage_behavior_summary,max_inactive_gap_days,all_period_ambiguous,review,review,no,no,no,no,no,review,Usage summary lacks explicit week/window in the name; keep review until construction window is documented.,yes,confirm_usage_window_before_modeling,yes,primary_role: unknown_review_required -> aggregate_usage_review; feature_family: unknown_review -> usage_behavior_summary; sub_family: unknown -> max_inactive_gap_days; timing_family: unknown -> all_period_ambiguous
