relative_path,item_type,size_bytes,modified_time,guessed_stage_from_name,current_location,proposed_action,proposed_new_location,reason,status
notebooks/04_svm_promo1.ipynb,file,8220,2026-05-19T19:58:29,not_guessed_from_name,notebooks/04_svm_promo1.ipynb,leave_unmodified_needs_user_review,,existing model-related artifact is outside explicit 06 archive rule and needs user review before migration,not_moved
notebooks/05_rf_promo0.ipynb,file,14697,2026-05-19T22:05:25,not_guessed_from_name,notebooks/05_rf_promo0.ipynb,leave_unmodified_needs_user_review,,existing model-related artifact is outside explicit 06 archive rule and needs user review before migration,not_moved
notebooks/06_rf_promo1.ipynb,file,14633,2026-05-20T09:04:57,not_guessed_from_name,notebooks/06_rf_promo1.ipynb,leave_unmodified_needs_user_review,,existing model-related artifact is outside explicit 06 archive rule and needs user review before migration,not_moved
notebooks/06_dataset_260520/06x_dataset_generation_260515.ipynb,file,49286,2026-05-20T13:33:51,guessed_from_name:06x_noncanonical_predecessor,notebooks/06_dataset_260520/06x_dataset_generation_260515.ipynb,keep_in_place,notebooks/06_dataset_260520/06x_dataset_generation_260515.ipynb,existing item kept in place,not_moved
notebooks/06_dataset_260520/06y_promo_split_260520.ipynb,file,18001,2026-05-20T13:34:11,guessed_from_name:06y_noncanonical_predecessor,notebooks/06_dataset_260520/06y_promo_split_260520.ipynb,keep_in_place,notebooks/06_dataset_260520/06y_promo_split_260520.ipynb,existing item kept in place,not_moved
notebooks/06_gb_promo0.ipynb,file,10997,2026-05-20T14:39:47,guessed_from_name:06,notebooks/06_gb_promo0.ipynb,move_to_archive_reference,notebooks/_archive/misnumbered_06_model_notebooks_260520/06_gb_promo0.ipynb,guessed 06 item is a model notebook by filename and must not remain in canonical 06 dataset/input stage,moved
notebooks/06_gb_promo1.ipynb,file,10997,2026-05-20T14:39:47,guessed_from_name:06,notebooks/06_gb_promo1.ipynb,move_to_archive_reference,notebooks/_archive/misnumbered_06_model_notebooks_260520/06_gb_promo1.ipynb,guessed 06 item is a model notebook by filename and must not remain in canonical 06 dataset/input stage,moved
notebooks/06_lr_promo0.ipynb,file,36253,2026-05-20T14:53:45,guessed_from_name:06,notebooks/06_lr_promo0.ipynb,move_to_archive_reference,notebooks/_archive/misnumbered_06_model_notebooks_260520/06_lr_promo0.ipynb,guessed 06 item is a model notebook by filename and must not remain in canonical 06 dataset/input stage,moved
notebooks/06_lr_promo1.ipynb,file,36342,2026-05-20T15:00:29,guessed_from_name:06,notebooks/06_lr_promo1.ipynb,move_to_archive_reference,notebooks/_archive/misnumbered_06_model_notebooks_260520/06_lr_promo1.ipynb,guessed 06 item is a model notebook by filename and must not remain in canonical 06 dataset/input stage,moved
notebooks/07_lr_promo0.ipynb,file,8187,2026-05-19T19:58:29,not_guessed_from_name,notebooks/07_lr_promo0.ipynb,leave_unmodified_needs_user_review,,existing model-related artifact is outside explicit 06 archive rule and needs user review before migration,not_moved
notebooks/08_lr_promo1.ipynb,file,8187,2026-05-19T19:58:29,not_guessed_from_name,notebooks/08_lr_promo1.ipynb,leave_unmodified_needs_user_review,,existing model-related artifact is outside explicit 06 archive rule and needs user review before migration,not_moved
notebooks/09_gradientboosting_promo0.ipynb,file,19039,2026-05-20T12:40:23,not_guessed_from_name,notebooks/09_gradientboosting_promo0.ipynb,leave_unmodified_needs_user_review,,existing model-related artifact is outside explicit 06 archive rule and needs user review before migration,not_moved
notebooks/10_gradientboosting_promo1.ipynb,file,19220,2026-05-20T11:56:35,not_guessed_from_name,notebooks/10_gradientboosting_promo1.ipynb,leave_unmodified_needs_user_review,,existing model-related artifact is outside explicit 06 archive rule and needs user review before migration,not_moved
notebooks/generate_notebooks.py,file,14528,2026-05-19T19:58:21,not_guessed_from_name,notebooks/generate_notebooks.py,keep_in_place,notebooks/generate_notebooks.py,existing item kept in place,not_moved
README.md,file,749,2026-05-20T13:32:47,not_guessed_from_name,README.md,keep_in_place,README.md,existing item kept in place,not_moved
results,directory,,2026-05-20T14:38:06,not_guessed_from_name,results,keep_in_place,results,existing item kept in place,not_moved
results/_06x_dataset_generation_260515,directory,,2026-05-20T13:06:57,guessed_from_name:06x_noncanonical_predecessor,results/_06x_dataset_generation_260515,leave_unmodified_needs_user_review,,noncanonical predecessor output kept unchanged because this task does not validate or migrate its contents,not_moved
results/_06x_dataset_generation_260515/06x_caveat_register.csv,file,778,2026-05-20T13:33:48,guessed_from_name:06x_noncanonical_predecessor,results/_06x_dataset_generation_260515/06x_caveat_register.csv,leave_unmodified_needs_user_review,,noncanonical predecessor output kept unchanged because this task does not validate or migrate its contents,not_moved
results/_06x_dataset_generation_260515/06x_cold_start_hotfix_diff_summary.csv,file,1091,2026-05-20T13:33:48,guessed_from_name:06x_noncanonical_predecessor,results/_06x_dataset_generation_260515/06x_cold_start_hotfix_diff_summary.csv,leave_unmodified_needs_user_review,,noncanonical predecessor output kept unchanged because this task does not validate or migrate its contents,not_moved
results/_06x_dataset_generation_260515/06x_cold_start_hotfix_print_summary.txt,file,553,2026-05-20T13:33:48,guessed_from_name:06x_noncanonical_predecessor,results/_06x_dataset_generation_260515/06x_cold_start_hotfix_print_summary.txt,leave_unmodified_needs_user_review,,noncanonical predecessor output kept unchanged because this task does not validate or migrate its contents,not_moved
results/_06x_dataset_generation_260515/06x_cold_start_hotfix_validation.csv,file,400,2026-05-20T13:33:47,guessed_from_name:06x_noncanonical_predecessor,results/_06x_dataset_generation_260515/06x_cold_start_hotfix_validation.csv,leave_unmodified_needs_user_review,,noncanonical predecessor output kept unchanged because this task does not validate or migrate its contents,not_moved
results/_06x_dataset_generation_260515/06x_cold_start_mismatch_cause_analysis.csv,file,1384,2026-05-20T13:33:47,guessed_from_name:06x_noncanonical_predecessor,results/_06x_dataset_generation_260515/06x_cold_start_mismatch_cause_analysis.csv,leave_unmodified_needs_user_review,,noncanonical predecessor output kept unchanged because this task does not validate or migrate its contents,not_moved
results/_06x_dataset_generation_260515/06x_conservative_dataset.csv,file,4866739,2026-05-20T13:33:47,guessed_from_name:06x_noncanonical_predecessor,results/_06x_dataset_generation_260515/06x_conservative_dataset.csv,leave_unmodified_needs_user_review,,noncanonical predecessor output kept unchanged because this task does not validate or migrate its contents,not_moved
results/_06x_dataset_generation_260515/06x_dataset_comparison_summary.csv,file,289,2026-05-20T13:33:48,guessed_from_name:06x_noncanonical_predecessor,results/_06x_dataset_generation_260515/06x_dataset_comparison_summary.csv,leave_unmodified_needs_user_review,,noncanonical predecessor output kept unchanged because this task does not validate or migrate its contents,not_moved
results/_06x_dataset_generation_260515/06x_dataset_schema_conservative.csv,file,1527,2026-05-20T13:33:48,guessed_from_name:06x_noncanonical_predecessor,results/_06x_dataset_generation_260515/06x_dataset_schema_conservative.csv,leave_unmodified_needs_user_review,,noncanonical predecessor output kept unchanged because this task does not validate or migrate its contents,not_moved
results/_06x_dataset_generation_260515/06x_dataset_schema_expanded.csv,file,8038,2026-05-20T13:33:48,guessed_from_name:06x_noncanonical_predecessor,results/_06x_dataset_generation_260515/06x_dataset_schema_expanded.csv,leave_unmodified_needs_user_review,,noncanonical predecessor output kept unchanged because this task does not validate or migrate its contents,not_moved
results/_06x_dataset_generation_260515/06x_excluded_columns_audit.csv,file,1392,2026-05-20T13:33:48,guessed_from_name:06x_noncanonical_predecessor,results/_06x_dataset_generation_260515/06x_excluded_columns_audit.csv,leave_unmodified_needs_user_review,,noncanonical predecessor output kept unchanged because this task does not validate or migrate its contents,not_moved
results/_06x_dataset_generation_260515/06x_expanded_dataset.csv,file,12191995,2026-05-20T13:33:48,guessed_from_name:06x_noncanonical_predecessor,results/_06x_dataset_generation_260515/06x_expanded_dataset.csv,leave_unmodified_needs_user_review,,noncanonical predecessor output kept unchanged because this task does not validate or migrate its contents,not_moved
results/_06x_dataset_generation_260515/06x_feature_name_mapping.csv,file,5490,2026-05-20T13:33:48,guessed_from_name:06x_noncanonical_predecessor,results/_06x_dataset_generation_260515/06x_feature_name_mapping.csv,leave_unmodified_needs_user_review,,noncanonical predecessor output kept unchanged because this task does not validate or migrate its contents,not_moved
results/_06x_dataset_generation_260515/06x_final_checks.csv,file,1528,2026-05-20T13:33:48,guessed_from_name:06x_noncanonical_predecessor,results/_06x_dataset_generation_260515/06x_final_checks.csv,leave_unmodified_needs_user_review,,noncanonical predecessor output kept unchanged because this task does not validate or migrate its contents,not_moved
results/_06x_dataset_generation_260515/06x_fixed_feature_validation.csv,file,868,2026-05-20T13:33:47,guessed_from_name:06x_noncanonical_predecessor,results/_06x_dataset_generation_260515/06x_fixed_feature_validation.csv,leave_unmodified_needs_user_review,,noncanonical predecessor output kept unchanged because this task does not validate or migrate its contents,not_moved
results/_06x_dataset_generation_260515/06x_model_feature_lists.csv,file,12902,2026-05-20T13:33:48,guessed_from_name:06x_noncanonical_predecessor,results/_06x_dataset_generation_260515/06x_model_feature_lists.csv,leave_unmodified_needs_user_review,,noncanonical predecessor output kept unchanged because this task does not validate or migrate its contents,not_moved
results/_06x_dataset_generation_260515/06x_review_zip_inventory.csv,file,1791,2026-05-20T13:33:50,guessed_from_name:06x_noncanonical_predecessor,results/_06x_dataset_generation_260515/06x_review_zip_inventory.csv,leave_unmodified_needs_user_review,,noncanonical predecessor output kept unchanged because this task does not validate or migrate its contents,not_moved
results/_06x_dataset_generation_260515/06x_row_policy_audit.csv,file,214,2026-05-20T13:33:47,guessed_from_name:06x_noncanonical_predecessor,results/_06x_dataset_generation_260515/06x_row_policy_audit.csv,leave_unmodified_needs_user_review,,noncanonical predecessor output kept unchanged because this task does not validate or migrate its contents,not_moved
results/_06x_dataset_generation_260515/06x_scope_feature_policy.csv,file,757,2026-05-20T13:33:48,guessed_from_name:06x_noncanonical_predecessor,results/_06x_dataset_generation_260515/06x_scope_feature_policy.csv,leave_unmodified_needs_user_review,,noncanonical predecessor output kept unchanged because this task does not validate or migrate its contents,not_moved
results/_06x_dataset_generation_260515/06x_source_master_profile.csv,file,218,2026-05-20T13:33:47,guessed_from_name:06x_noncanonical_predecessor,results/_06x_dataset_generation_260515/06x_source_master_profile.csv,leave_unmodified_needs_user_review,,noncanonical predecessor output kept unchanged because this task does not validate or migrate its contents,not_moved
results/_06x_dataset_generation_260515/note_tail_copy.md,file,5795,2026-05-20T13:33:48,guessed_from_name:06x_noncanonical_predecessor,results/_06x_dataset_generation_260515/note_tail_copy.md,leave_unmodified_needs_user_review,,noncanonical predecessor output kept unchanged because this task does not validate or migrate its contents,not_moved
results/_06x_dataset_generation_260515/README.md,file,1886,2026-05-20T13:33:48,guessed_from_name:06x_noncanonical_predecessor,results/_06x_dataset_generation_260515/README.md,leave_unmodified_needs_user_review,,noncanonical predecessor output kept unchanged because this task does not validate or migrate its contents,not_moved
results/_06y_promo_split_260520,directory,,2026-05-20T13:19:53,guessed_from_name:06y_noncanonical_predecessor,results/_06y_promo_split_260520,leave_unmodified_needs_user_review,,noncanonical predecessor output kept unchanged because this task does not validate or migrate its contents,not_moved
results/_06y_promo_split_260520/06y_expanded_dataset_promo_0.csv,file,5896640,2026-05-20T13:34:09,guessed_from_name:06y_noncanonical_predecessor,results/_06y_promo_split_260520/06y_expanded_dataset_promo_0.csv,leave_unmodified_needs_user_review,,noncanonical predecessor output kept unchanged because this task does not validate or migrate its contents,not_moved
results/_06y_promo_split_260520/06y_expanded_dataset_promo_1.csv,file,6295394,2026-05-20T13:34:09,guessed_from_name:06y_noncanonical_predecessor,results/_06y_promo_split_260520/06y_expanded_dataset_promo_1.csv,leave_unmodified_needs_user_review,,noncanonical predecessor output kept unchanged because this task does not validate or migrate its contents,not_moved
results/_06y_promo_split_260520/06y_final_checks.csv,file,842,2026-05-20T13:34:09,guessed_from_name:06y_noncanonical_predecessor,results/_06y_promo_split_260520/06y_final_checks.csv,leave_unmodified_needs_user_review,,noncanonical predecessor output kept unchanged because this task does not validate or migrate its contents,not_moved
results/_06y_promo_split_260520/06y_promo_split_print_summary.txt,file,220,2026-05-20T13:34:09,guessed_from_name:06y_noncanonical_predecessor,results/_06y_promo_split_260520/06y_promo_split_print_summary.txt,leave_unmodified_needs_user_review,,noncanonical predecessor output kept unchanged because this task does not validate or migrate its contents,not_moved
results/_06y_promo_split_260520/06y_promo_split_summary.csv,file,277,2026-05-20T13:34:09,guessed_from_name:06y_noncanonical_predecessor,results/_06y_promo_split_260520/06y_promo_split_summary.csv,leave_unmodified_needs_user_review,,noncanonical predecessor output kept unchanged because this task does not validate or migrate its contents,not_moved
results/_06y_promo_split_260520/06y_review_zip_inventory.csv,file,847,2026-05-20T13:34:10,guessed_from_name:06y_noncanonical_predecessor,results/_06y_promo_split_260520/06y_review_zip_inventory.csv,leave_unmodified_needs_user_review,,noncanonical predecessor output kept unchanged because this task does not validate or migrate its contents,not_moved
results/_06y_promo_split_260520/06y_schema_check.csv,file,3804,2026-05-20T13:34:09,guessed_from_name:06y_noncanonical_predecessor,results/_06y_promo_split_260520/06y_schema_check.csv,leave_unmodified_needs_user_review,,noncanonical predecessor output kept unchanged because this task does not validate or migrate its contents,not_moved
results/_06y_promo_split_260520/06y_source_profile.csv,file,251,2026-05-20T13:34:08,guessed_from_name:06y_noncanonical_predecessor,results/_06y_promo_split_260520/06y_source_profile.csv,leave_unmodified_needs_user_review,,noncanonical predecessor output kept unchanged because this task does not validate or migrate its contents,not_moved
results/_06y_promo_split_260520/06y_target_distribution_by_split.csv,file,177,2026-05-20T13:34:09,guessed_from_name:06y_noncanonical_predecessor,results/_06y_promo_split_260520/06y_target_distribution_by_split.csv,leave_unmodified_needs_user_review,,noncanonical predecessor output kept unchanged because this task does not validate or migrate its contents,not_moved
results/_06y_promo_split_260520/note_tail_copy.md,file,4639,2026-05-20T13:34:09,guessed_from_name:06y_noncanonical_predecessor,results/_06y_promo_split_260520/note_tail_copy.md,leave_unmodified_needs_user_review,,noncanonical predecessor output kept unchanged because this task does not validate or migrate its contents,not_moved
results/_06y_promo_split_260520/README.md,file,671,2026-05-20T13:34:09,guessed_from_name:06y_noncanonical_predecessor,results/_06y_promo_split_260520/README.md,leave_unmodified_needs_user_review,,noncanonical predecessor output kept unchanged because this task does not validate or migrate its contents,not_moved
results/_06_log_retention_distribution_eda_260520,directory,,2026-05-20T13:46:23,not_guessed_from_name,results/_06_log_retention_distribution_eda_260520,keep_in_place,results/_06_log_retention_distribution_eda_260520,existing item kept in place,not_moved
results/_06_log_retention_distribution_eda_260520/06_fig_01_log_retention_histograms.png,file,156478,2026-05-20T13:46:22,guessed_from_name:06,results/_06_log_retention_distribution_eda_260520/06_fig_01_log_retention_histograms.png,keep_in_place,results/_06_log_retention_distribution_eda_260520/06_fig_01_log_retention_histograms.png,existing item kept in place,not_moved
results/_06_log_retention_distribution_eda_260520/06_fig_02_log_retention_boxplot_by_dataset.png,file,52004,2026-05-20T13:46:22,guessed_from_name:06,results/_06_log_retention_distribution_eda_260520/06_fig_02_log_retention_boxplot_by_dataset.png,keep_in_place,results/_06_log_retention_distribution_eda_260520/06_fig_02_log_retention_boxplot_by_dataset.png,existing item kept in place,not_moved
results/_06_log_retention_distribution_eda_260520/06_fig_03_overall_raw_vs_log_histograms.png,file,133585,2026-05-20T13:46:23,guessed_from_name:06,results/_06_log_retention_distribution_eda_260520/06_fig_03_overall_raw_vs_log_histograms.png,keep_in_place,results/_06_log_retention_distribution_eda_260520/06_fig_03_overall_raw_vs_log_histograms.png,existing item kept in place,not_moved
results/_06_log_retention_distribution_eda_260520/06_log_retention_baseline_direction_summary.csv,file,816,2026-05-20T13:46:23,guessed_from_name:06,results/_06_log_retention_distribution_eda_260520/06_log_retention_baseline_direction_summary.csv,keep_in_place,results/_06_log_retention_distribution_eda_260520/06_log_retention_baseline_direction_summary.csv,existing item kept in place,not_moved
results/_06_log_retention_distribution_eda_260520/06_log_retention_distribution_summary.csv,file,3066,2026-05-20T13:46:21,guessed_from_name:06,results/_06_log_retention_distribution_eda_260520/06_log_retention_distribution_summary.csv,keep_in_place,results/_06_log_retention_distribution_eda_260520/06_log_retention_distribution_summary.csv,existing item kept in place,not_moved
results/_06_log_retention_distribution_eda_260520/README.md,file,774,2026-05-20T13:46:23,not_guessed_from_name,results/_06_log_retention_distribution_eda_260520/README.md,keep_in_place,results/_06_log_retention_distribution_eda_260520/README.md,existing item kept in place,not_moved
results/_06_model_notebook_prep_260520,directory,,2026-05-20T14:17:57,not_guessed_from_name,results/_06_model_notebook_prep_260520,keep_in_place,results/_06_model_notebook_prep_260520,existing item kept in place,not_moved
results/_06_model_notebook_prep_260520/06_log_retention_input_inventory.csv,file,449,2026-05-20T14:39:46,guessed_from_name:06,results/_06_model_notebook_prep_260520/06_log_retention_input_inventory.csv,keep_in_place,results/_06_model_notebook_prep_260520/06_log_retention_input_inventory.csv,existing item kept in place,not_moved
results/_06_model_notebook_prep_260520/06_log_retention_input_profile.csv,file,709,2026-05-20T14:39:46,guessed_from_name:06,results/_06_model_notebook_prep_260520/06_log_retention_input_profile.csv,keep_in_place,results/_06_model_notebook_prep_260520/06_log_retention_input_profile.csv,existing item kept in place,not_moved
results/_06_model_notebook_prep_260520/06_feature_manifest.csv,file,10400,2026-05-20T14:39:47,guessed_from_name:06,results/_06_model_notebook_prep_260520/06_feature_manifest.csv,keep_in_place,results/_06_model_notebook_prep_260520/06_feature_manifest.csv,existing item kept in place,not_moved
results/_06_model_notebook_prep_260520/06_input_validation.csv,file,866,2026-05-20T14:39:47,guessed_from_name:06,results/_06_model_notebook_prep_260520/06_input_validation.csv,keep_in_place,results/_06_model_notebook_prep_260520/06_input_validation.csv,existing item kept in place,not_moved
results/_06_model_notebook_prep_260520/06_existing_folder_inventory.csv,file,3573,2026-05-20T14:39:45,guessed_from_name:06,results/_06_model_notebook_prep_260520/06_existing_folder_inventory.csv,keep_in_place,results/_06_model_notebook_prep_260520/06_existing_folder_inventory.csv,existing item kept in place,not_moved
results/_06_model_notebook_prep_260520/06_manual_execution_guide.md,file,2371,2026-05-20T14:39:47,guessed_from_name:06,results/_06_model_notebook_prep_260520/06_manual_execution_guide.md,keep_in_place,results/_06_model_notebook_prep_260520/06_manual_execution_guide.md,existing item kept in place,not_moved
results/_06_model_notebook_prep_260520/06_model_notebook_prep_final_checks.csv,file,4109,2026-05-20T14:39:50,guessed_from_name:06,results/_06_model_notebook_prep_260520/06_model_notebook_prep_final_checks.csv,keep_in_place,results/_06_model_notebook_prep_260520/06_model_notebook_prep_final_checks.csv,existing item kept in place,not_moved
results/_06_model_notebook_prep_260520/06_model_notebook_prep_memo.md,file,2229,2026-05-20T14:39:47,guessed_from_name:06,results/_06_model_notebook_prep_260520/06_model_notebook_prep_memo.md,keep_in_place,results/_06_model_notebook_prep_260520/06_model_notebook_prep_memo.md,existing item kept in place,not_moved
results/_06_model_notebook_prep_260520/06_notebook_prep_review_zip_inventory.csv,file,4224,2026-05-20T14:39:51,guessed_from_name:06,results/_06_model_notebook_prep_260520/06_notebook_prep_review_zip_inventory.csv,keep_in_place,results/_06_model_notebook_prep_260520/06_notebook_prep_review_zip_inventory.csv,existing item kept in place,not_moved
results/_06_model_notebook_prep_260520/06_notebook_static_checks.csv,file,1634,2026-05-20T14:39:47,guessed_from_name:06,results/_06_model_notebook_prep_260520/06_notebook_static_checks.csv,keep_in_place,results/_06_model_notebook_prep_260520/06_notebook_static_checks.csv,existing item kept in place,not_moved
results/_06_model_notebook_prep_260520/note_tail_PUBLIC_model_notebook_prep_260520.md,file,8127,2026-05-20T14:39:47,not_guessed_from_name,results/_06_model_notebook_prep_260520/note_tail_PUBLIC_model_notebook_prep_260520.md,keep_in_place,results/_06_model_notebook_prep_260520/note_tail_PUBLIC_model_notebook_prep_260520.md,existing item kept in place,not_moved
results/_06_model_notebook_prep_260520/prepare_model_notebooks_260520.py,file,49278,2026-05-20T14:37:42,not_guessed_from_name,results/_06_model_notebook_prep_260520/prepare_model_notebooks_260520.py,keep_in_place,results/_06_model_notebook_prep_260520/prepare_model_notebooks_260520.py,existing item kept in place,not_moved
results/_06_model_rerun_260520,directory,,2026-05-20T14:38:06,not_guessed_from_name,results/_06_model_rerun_260520,move_to_archive_reference,results/_archive/misnumbered_06_model_outputs_260520/_06_model_rerun_260520,"guessed 06 result folder contains model rerun artifacts and must be archive/reference, not canonical 06",moved
results/_06_model_rerun_260520/gb_promo0,directory,,2026-05-20T14:17:54,not_guessed_from_name,results/_06_model_rerun_260520/gb_promo0,move_to_archive_reference,results/_archive/misnumbered_06_model_outputs_260520/_06_model_rerun_260520/gb_promo0,"guessed 06 result folder contains model rerun artifacts and must be archive/reference, not canonical 06",moved
results/_06_model_rerun_260520/gb_promo1,directory,,2026-05-20T14:17:54,not_guessed_from_name,results/_06_model_rerun_260520/gb_promo1,move_to_archive_reference,results/_archive/misnumbered_06_model_outputs_260520/_06_model_rerun_260520/gb_promo1,"guessed 06 result folder contains model rerun artifacts and must be archive/reference, not canonical 06",moved
results/_06_model_rerun_260520/lr_promo0,directory,,2026-05-20T14:53:42,not_guessed_from_name,results/_06_model_rerun_260520/lr_promo0,move_to_archive_reference,results/_archive/misnumbered_06_model_outputs_260520/_06_model_rerun_260520/lr_promo0,"guessed 06 result folder contains model rerun artifacts and must be archive/reference, not canonical 06",moved
results/_06_model_rerun_260520/lr_promo0/feature_manifest_used.csv,file,1818,2026-05-20T14:53:42,not_guessed_from_name,results/_06_model_rerun_260520/lr_promo0/feature_manifest_used.csv,move_to_archive_reference,results/_archive/misnumbered_06_model_outputs_260520/_06_model_rerun_260520/lr_promo0/feature_manifest_used.csv,"guessed 06 result folder contains model rerun artifacts and must be archive/reference, not canonical 06",moved
results/_06_model_rerun_260520/lr_promo0/final_result.csv,file,946,2026-05-20T14:53:42,not_guessed_from_name,results/_06_model_rerun_260520/lr_promo0/final_result.csv,move_to_archive_reference,results/_archive/misnumbered_06_model_outputs_260520/_06_model_rerun_260520/lr_promo0/final_result.csv,"guessed 06 result folder contains model rerun artifacts and must be archive/reference, not canonical 06",moved
results/_06_model_rerun_260520/lr_promo0/trials_all.csv,file,11590,2026-05-20T14:53:42,not_guessed_from_name,results/_06_model_rerun_260520/lr_promo0/trials_all.csv,move_to_archive_reference,results/_archive/misnumbered_06_model_outputs_260520/_06_model_rerun_260520/lr_promo0/trials_all.csv,"guessed 06 result folder contains model rerun artifacts and must be archive/reference, not canonical 06",moved
