feature_set_name,dataset_scope,model_name,k_label,selected_n,nonrepurchase_events,base_nonrepurchase_rate,precision_at_k,recall_at_k,lift_at_k,mean_churn_risk,mean_repurchase_score
conservative_safe_22,overall_with_promotion,DummyPrior,top20pct,4616,1304,0.282594566489016,0.2824956672443674,0.19993866911990188,0.9996500313297694,0.2826192926393327,0.7173807073606672
conservative_safe_22,overall_with_promotion,HistGradientBoosting,top5pct,1154,919,0.282594566489016,0.7963604852686309,0.1409076970254523,2.818031836785454,0.7653274002378968,0.23467259976210314
conservative_safe_22,overall_with_promotion,HistGradientBoosting,top10pct,2308,1737,0.282594566489016,0.7525996533795494,0.26632934682612697,2.663178074263511,0.7297124776541414,0.2702875223458587
conservative_safe_22,overall_with_promotion,HistGradientBoosting,top20pct,4616,3092,0.282594566489016,0.669844020797227,0.4740877031585403,2.370335810484392,0.6545367455093948,0.34546325449060516
conservative_safe_22,overall_with_promotion,LogisticRegression,top5pct,1154,850,0.282594566489016,0.7365684575389948,0.130328120208525,2.6064494681911166,0.7366573368421074,0.2633426631578925
conservative_safe_22,overall_with_promotion,LogisticRegression,top10pct,2308,1602,0.282594566489016,0.6941074523396881,0.24563017479300828,2.4561953223777464,0.6906072768079174,0.30939272319208255
conservative_safe_22,overall_with_promotion,LogisticRegression,top20pct,4616,2912,0.282594566489016,0.6308492201039861,0.4464888071143821,2.232347309227215,0.5975404108229073,0.4024595891770927
conservative_safe_22,overall_with_promotion,RandomForest,top5pct,1154,912,0.282594566489016,0.7902946273830156,0.13983440662373506,2.7965669588121154,0.8042942882078027,0.19570571179219737
conservative_safe_22,overall_with_promotion,RandomForest,top10pct,2308,1733,0.282594566489016,0.7508665511265165,0.26571603802514565,2.6570452519854144,0.757818245298713,0.242181754701287
conservative_safe_22,overall_with_promotion,RandomForest,top20pct,4616,3098,0.282594566489016,0.6711438474870017,0.4750076663600123,2.3749354271929644,0.6649795201125498,0.3350204798874501
conservative_safe_22,overall_without_promotion,DummyPrior,top5pct,1154,311,0.282594566489016,0.26949740034662045,0.04768475927629561,0.9536538642440437,0.2826192926393327,0.7173807073606672
conservative_safe_22,overall_without_promotion,DummyPrior,top10pct,2308,623,0.282594566489016,0.2699306759098787,0.09552284575283655,0.9551870698135679,0.2826192926393327,0.7173807073606672
conservative_safe_22,overall_without_promotion,DummyPrior,top20pct,4616,1304,0.282594566489016,0.2824956672443674,0.19993866911990188,0.9996500313297694,0.2826192926393327,0.7173807073606672
conservative_safe_22,overall_without_promotion,HistGradientBoosting,top5pct,1154,919,0.282594566489016,0.7963604852686309,0.1409076970254523,2.818031836785454,0.7653274002378968,0.23467259976210314
conservative_safe_22,overall_without_promotion,HistGradientBoosting,top10pct,2308,1737,0.282594566489016,0.7525996533795494,0.26632934682612697,2.663178074263511,0.7297124776541414,0.2702875223458587
conservative_safe_22,overall_without_promotion,HistGradientBoosting,top20pct,4616,3092,0.282594566489016,0.669844020797227,0.4740877031585403,2.370335810484392,0.6545367455093948,0.34546325449060516
conservative_safe_22,overall_without_promotion,LogisticRegression,top5pct,1154,850,0.282594566489016,0.7365684575389948,0.130328120208525,2.6064494681911166,0.7366573368421074,0.2633426631578925
conservative_safe_22,overall_without_promotion,LogisticRegression,top10pct,2308,1602,0.282594566489016,0.6941074523396881,0.24563017479300828,2.4561953223777464,0.6906072768079174,0.30939272319208255
conservative_safe_22,overall_without_promotion,LogisticRegression,top20pct,4616,2912,0.282594566489016,0.6308492201039861,0.4464888071143821,2.232347309227215,0.5975404108229073,0.4024595891770927
conservative_safe_22,overall_without_promotion,RandomForest,top5pct,1154,912,0.282594566489016,0.7902946273830156,0.13983440662373506,2.7965669588121154,0.8042942882078027,0.19570571179219737
conservative_safe_22,overall_without_promotion,RandomForest,top10pct,2308,1733,0.282594566489016,0.7508665511265165,0.26571603802514565,2.6570452519854144,0.757818245298713,0.242181754701287
conservative_safe_22,overall_without_promotion,RandomForest,top20pct,4616,3098,0.282594566489016,0.6711438474870017,0.4750076663600123,2.3749354271929644,0.6649795201125498,0.3350204798874501
conservative_safe_22,promotion_only,DummyPrior,top5pct,596,195,0.3248487903225806,0.3271812080536913,0.0504266873545384,1.007180010517492,0.32489761629738517,0.6751023837026147
conservative_safe_22,promotion_only,DummyPrior,top10pct,1191,378,0.3248487903225806,0.31738035264483627,0.09775019394879751,0.9770094951859661,0.3248976162973851,0.6751023837026146
conservative_safe_22,promotion_only,DummyPrior,top20pct,2381,773,0.3248487903225806,0.3246535069298614,0.19989656064132402,0.9993988483302483,0.32489761629738517,0.6751023837026146
conservative_safe_22,promotion_only,HistGradientBoosting,top5pct,596,489,0.3248487903225806,0.8204697986577181,0.1264546159813809,2.5256975648361717,0.7912260378888908,0.20877396211110927
conservative_safe_22,promotion_only,HistGradientBoosting,top10pct,1191,918,0.3248487903225806,0.7707808564231738,0.2373933281613654,2.372737345451632,0.7602294270893003,0.23977057291069964
conservative_safe_22,promotion_only,HistGradientBoosting,top20pct,2381,1655,0.3248487903225806,0.6950860982780345,0.4279803465218516,2.139721984458682,0.6941441536679613,0.30585584633203866
conservative_safe_22,promotion_only,LogisticRegression,top5pct,596,457,0.3248487903225806,0.7667785234899329,0.11817946728730282,2.3604167425974043,0.7703916767809443,0.22960832321905572
conservative_safe_22,promotion_only,LogisticRegression,top10pct,1191,866,0.3248487903225806,0.727120067170445,0.22394621153348848,2.2383339228334567,0.7217893171949206,0.2782106828050795
conservative_safe_22,promotion_only,LogisticRegression,top20pct,2381,1571,0.3248487903225806,0.6598068038639228,0.40625808119989654,2.0311197810178787,0.6337344657298883,0.36626553427011166
conservative_safe_22,promotion_only,RandomForest,top5pct,596,491,0.3248487903225806,0.8238255033557047,0.1269718127747608,2.536027616226095,0.8192417775303615,0.1807582224696385
conservative_safe_22,promotion_only,RandomForest,top10pct,1191,910,0.3248487903225806,0.764063811922754,0.2353245409878459,2.3520598958180665,0.7746174984494121,0.22538250155058792
conservative_safe_22,promotion_only,RandomForest,top20pct,2381,1657,0.3248487903225806,0.6959260814783704,0.42849754331523143,2.142307751207272,0.6921222149492927,0.30787778505070723
expanded_feature_set,nonpromotion_only,DummyPrior,top5pct,559,130,0.23758389261744967,0.23255813953488372,0.04896421845574388,0.9788464065168835,0.23761047096990717,0.7623895290300928
expanded_feature_set,nonpromotion_only,DummyPrior,top10pct,1118,254,0.23758389261744967,0.22719141323792486,0.09566854990583804,0.9562576432895707,0.23761047096990717,0.7623895290300928
expanded_feature_set,nonpromotion_only,DummyPrior,top20pct,2235,526,0.23758389261744967,0.23534675615212527,0.19811676082862523,0.9905838041431262,0.23761047096990717,0.7623895290300928
expanded_feature_set,nonpromotion_only,HistGradientBoosting,top5pct,559,458,0.23758389261744967,0.8193202146690519,0.17250470809792845,3.448551186036405,0.8391914188848808,0.16080858111511911
expanded_feature_set,nonpromotion_only,HistGradientBoosting,top10pct,1118,875,0.23758389261744967,0.7826475849731663,0.3295668549905838,3.2941946373164344,0.7914505343335356,0.20854946566646432
expanded_feature_set,nonpromotion_only,HistGradientBoosting,top20pct,2235,1547,0.23758389261744967,0.6921700223713646,0.5826741996233522,2.913370998116761,0.6968776608766334,0.3031223391233667
expanded_feature_set,nonpromotion_only,LogisticRegression,top5pct,559,443,0.23758389261744967,0.7924865831842576,0.16685499058380415,3.3356073698998414,0.879751034144385,0.12024896585561504
expanded_feature_set,nonpromotion_only,LogisticRegression,top10pct,1118,833,0.23758389261744967,0.7450805008944544,0.31374764595103577,3.136073294725246,0.7968365158924104,0.2031634841075895
expanded_feature_set,nonpromotion_only,LogisticRegression,top20pct,2235,1457,0.23758389261744967,0.6519015659955257,0.5487758945386064,2.743879472693032,0.6622012658159713,0.3377987341840288
expanded_feature_set,nonpromotion_only,RandomForest,top5pct,559,442,0.23758389261744967,0.7906976744186046,0.1664783427495292,3.3280777821574037,0.7859330772134895,0.2140669227865106
expanded_feature_set,nonpromotion_only,RandomForest,top10pct,1118,835,0.23758389261744967,0.7468694096601073,0.3145009416195857,3.1436028824676834,0.7284525707708507,0.2715474292291492
expanded_feature_set,nonpromotion_only,RandomForest,top20pct,2235,1477,0.23758389261744967,0.6608501118568233,0.5563088512241054,2.7815442561205272,0.6178808701562123,0.38211912984378765
expanded_feature_set,overall_with_promotion,DummyPrior,top5pct,1154,311,0.282594566489016,0.26949740034662045,0.04768475927629561,0.9536538642440437,0.2826192926393327,0.7173807073606672
expanded_feature_set,overall_with_promotion,DummyPrior,top10pct,2308,623,0.282594566489016,0.2699306759098787,0.09552284575283655,0.9551870698135679,0.2826192926393327,0.7173807073606672
expanded_feature_set,overall_with_promotion,DummyPrior,top20pct,4616,1304,0.282594566489016,0.2824956672443674,0.19993866911990188,0.9996500313297694,0.2826192926393327,0.7173807073606672
expanded_feature_set,overall_with_promotion,HistGradientBoosting,top5pct,1154,959,0.282594566489016,0.8310225303292894,0.14704078503526524,2.9406882823473888,0.8513117804551467,0.1486882195448534
expanded_feature_set,overall_with_promotion,HistGradientBoosting,top10pct,2308,1848,0.282594566489016,0.8006932409012132,0.28334866605335784,2.833363892480696,0.8082426087578592,0.19175739124214075
expanded_feature_set,overall_with_promotion,HistGradientBoosting,top20pct,4616,3403,0.282594566489016,0.7372183708838822,0.521772462434836,2.608749276545403,0.7302515910976703,0.2697484089023298
expanded_feature_set,overall_with_promotion,LogisticRegression,top5pct,1154,943,0.282594566489016,0.817157712305026,0.1445875498313401,2.8916257041226148,0.9022064739403516,0.09779352605964843
expanded_feature_set,overall_with_promotion,LogisticRegression,top10pct,2308,1790,0.282594566489016,0.7755632582322357,0.2744556884391291,2.744437969448293,0.8335002814116421,0.16649971858835794
expanded_feature_set,overall_with_promotion,LogisticRegression,top20pct,4616,3247,0.282594566489016,0.70342287694974,0.49785341919656545,2.489159242122516,0.7146631252586477,0.2853368747413523
expanded_feature_set,overall_with_promotion,RandomForest,top5pct,1154,913,0.282594566489016,0.791161178509532,0.1399877338239804,2.799633369951164,0.8001030473980306,0.19989695260196935
expanded_feature_set,overall_with_promotion,RandomForest,top10pct,2308,1787,0.282594566489016,0.774263431542461,0.27399570683839314,2.7398383527397208,0.7519556750184591,0.24804432498154091
expanded_feature_set,overall_with_promotion,RandomForest,top20pct,4616,3251,0.282594566489016,0.7042894280762565,0.49846672799754677,2.4922256532615643,0.6609276135889918,0.3390723864110083
expanded_feature_set,overall_without_promotion,DummyPrior,top5pct,1154,311,0.282594566489016,0.26949740034662045,0.04768475927629561,0.9536538642440437,0.2826192926393327,0.7173807073606672
expanded_feature_set,overall_without_promotion,DummyPrior,top10pct,2308,623,0.282594566489016,0.2699306759098787,0.09552284575283655,0.9551870698135679,0.2826192926393327,0.7173807073606672
expanded_feature_set,overall_without_promotion,DummyPrior,top20pct,4616,1304,0.282594566489016,0.2824956672443674,0.19993866911990188,0.9996500313297694,0.2826192926393327,0.7173807073606672
expanded_feature_set,overall_without_promotion,HistGradientBoosting,top5pct,1154,960,0.282594566489016,0.8318890814558059,0.14719411223551057,2.9437546934864374,0.8470450476855097,0.15295495231449027
expanded_feature_set,overall_without_promotion,HistGradientBoosting,top10pct,2308,1834,0.282594566489016,0.7946273830155979,0.28120208524992335,2.811899014507357,0.8038897583291129,0.1961102416708871
expanded_feature_set,overall_without_promotion,HistGradientBoosting,top20pct,4616,3383,0.282594566489016,0.7328856152512998,0.5187059184299295,2.593417220850161,0.726097031864645,0.2739029681353549
expanded_feature_set,overall_without_promotion,LogisticRegression,top5pct,1154,938,0.282594566489016,0.8128249566724437,0.14382091383011347,2.876293648427373,0.8979483526531086,0.10205164734689139
expanded_feature_set,overall_without_promotion,LogisticRegression,top10pct,2308,1786,0.282594566489016,0.7738301559792028,0.2738423796381478,2.7383051471701965,0.8279209666266564,0.17207903337334354
expanded_feature_set,overall_without_promotion,LogisticRegression,top20pct,4616,3231,0.282594566489016,0.6999566724436742,0.4954001839926403,2.4768935975663227,0.7095709779192786,0.2904290220807215
expanded_feature_set,overall_without_promotion,RandomForest,top5pct,1154,918,0.282594566489016,0.7954939341421143,0.140754369825207,2.8149654256464056,0.8004562343446854,0.1995437656553147
expanded_feature_set,overall_without_promotion,RandomForest,top10pct,2308,1779,0.282594566489016,0.7707972270363952,0.27276908923643056,2.7275727081835273,0.7525022338115026,0.24749776618849736
expanded_feature_set,overall_without_promotion,RandomForest,top20pct,4616,3238,0.282594566489016,0.701473136915078,0.4964734743943576,2.4822598170596573,0.661758668232424,0.338241331767576
expanded_feature_set,promotion_only,DummyPrior,top5pct,596,195,0.3248487903225806,0.3271812080536913,0.0504266873545384,1.007180010517492,0.32489761629738517,0.6751023837026147
expanded_feature_set,promotion_only,DummyPrior,top10pct,1191,378,0.3248487903225806,0.31738035264483627,0.09775019394879751,0.9770094951859661,0.3248976162973851,0.6751023837026146
expanded_feature_set,promotion_only,DummyPrior,top20pct,2381,773,0.3248487903225806,0.3246535069298614,0.19989656064132402,0.9993988483302483,0.32489761629738517,0.6751023837026146
expanded_feature_set,promotion_only,HistGradientBoosting,top5pct,596,499,0.3248487903225806,0.837248322147651,0.12904059994828032,2.577347821785787,0.863500202926125,0.13649979707387508
expanded_feature_set,promotion_only,HistGradientBoosting,top10pct,1191,973,0.3248487903225806,0.81696053736356,0.25161623997931215,2.514894811682394,0.8286477263555402,0.17135227364445982
expanded_feature_set,promotion_only,HistGradientBoosting,top20pct,2381,1824,0.3248487903225806,0.7660646787064259,0.4716834755624515,2.3582192747145836,0.7630884505752008,0.23691154942479917
expanded_feature_set,promotion_only,LogisticRegression,top5pct,596,496,0.3248487903225806,0.8322147651006712,0.1282648047582105,2.5618527447009027,0.9174470965353129,0.08255290346468716
expanded_feature_set,promotion_only,LogisticRegression,top10pct,1191,945,0.3248487903225806,0.7934508816120907,0.2443754848719938,2.4425237379649154,0.8593807928948772,0.1406192071051228
expanded_feature_set,promotion_only,LogisticRegression,top20pct,2381,1748,0.3248487903225806,0.7341453170936582,0.45202999741401606,2.2599601382681427,0.7545375766763806,0.24546242332361948
expanded_feature_set,promotion_only,RandomForest,top5pct,596,485,0.3248487903225806,0.8137583892617449,0.12542022239462117,2.505037462056326,0.8082401313097024,0.19175986869029757
expanded_feature_set,promotion_only,RandomForest,top10pct,1191,936,0.3248487903225806,0.7858942065491183,0.24204809930178434,2.419261607127154,0.7677338137498564,0.2322661862501435
expanded_feature_set,promotion_only,RandomForest,top20pct,2381,1745,0.3248487903225806,0.7328853422931542,0.4512542022239462,2.2560814881452567,0.6894245611953661,0.31057543880463395
