metric,count,note,MOVIE_NUM,duplicate_group_size,source_row_numbers,conflicting_columns,genre_conflict_flag,chosen_source_row_number,chosen_genre,dedupe_rule
raw_moviemaster_rows,14502,Raw Movie_Master before deduplication.,,,,,,,,
deduplicated_moviemaster_rows,14018,One representative row per MOVIE_NUM used for content join.,,,,,,,,
duplicate_MOVIE_NUM_groups,380,Preserved in detail rows below.,,,,,,,,
genre_conflict_MOVIE_NUM_groups,9,Conflicting rows saved separately.,,,,,,,,
,,,5,2,7|8,,N,7,Drama,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,473,2,476|477,,N,476,Historical/War,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,561,2,558|559,,N,558,Thriller/Crime,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,594,2,591|592,,N,591,Historical/War,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,633,2,630|631,,N,630,Thriller/Crime,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,700,3,696|697|698,,N,696,Thriller/Crime,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,816,2,811|812,,N,811,Drama,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,841,2,836|837,,N,836,Romance,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,853,2,849|850,,N,849,SF/Fantasy,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,861,3,858|859|860,,N,858,Animation/Family,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,912,2,907|908,,N,907,SF/Fantasy,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,918,2,914|915,,N,914,Comedy,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,985,2,979|980,,N,979,Drama,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,989,2,984|985,,N,984,Comedy,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,1011,3,1007|1008|1009,,N,1007,Horror,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,1047,2,1045|1046,,N,1045,Action/Adventure,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,1051,2,1050|1051,,N,1050,Drama,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,1089,2,1089|1090,,N,1089,Drama,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,1130,2,1128|1129,,N,1128,Animation/Family,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,1247,4,1240|1241|1242|1243,,N,1240,Drama,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,1304,2,1299|1300,,N,1299,Drama,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,1337,2,1332|1333,,N,1332,Other,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,1344,2,1340|1341,,N,1340,SF/Fantasy,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,1356,2,1353|1354,,N,1353,Drama,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,1359,2,1357|1358,,N,1357,Thriller/Crime,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,1386,2,1385|1386,,N,1385,Historical/War,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,1387,2,1387|1388,,N,1387,Comedy,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,1417,2,1417|1418,,N,1417,Animation/Family,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,1428,2,1429|1430,,N,1429,Drama,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,1435,3,1436|1437|1438,genre,Y,1436,Action/Adventure,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,1455,2,1458|1459,,N,1458,SF/Fantasy,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,1524,2,1526|1527,,N,1526,Drama,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,1574,3,1574|1575|1576,,N,1574,Drama,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,1586,2,1588|1589,,N,1588,Thriller/Crime,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,1616,2,1619|1620,,N,1619,Drama,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,1750,2,1748|1749,,N,1748,Historical/War,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,1754,2,1753|1754,,N,1753,SF/Fantasy,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,1832,2,1830|1831,,N,1830,Romance,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,1864,2,1859|1860,,N,1859,Animation/Family,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,1892,2,1888|1889,,N,1888,SF/Fantasy,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,1932,2,1928|1929,,N,1928,Animation/Family,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,2007,2,1998|1999,,N,1998,Romance,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,2012,5,2004|2005|2006|2007|2008,genre,Y,2004,Action/Adventure,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,2045,4,2040|2041|2042|2043,,N,2040,Drama,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,2054,2,2051|2052,,N,2051,Drama,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,2056,3,2054|2055|2056,,N,2054,Historical/War,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,2064,2,2062|2063,,N,2062,Comedy,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,2087,2,2085|2086,,N,2085,SF/Fantasy,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,2123,2,2122|2123,,N,2122,Animation/Family,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,2133,2,2133|2134,,N,2133,SF/Fantasy,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,2135,2,2136|2137,,N,2136,Comedy,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,2137,2,2139|2140,,N,2139,Animation/Family,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,2170,2,2171|2172,,N,2171,Other,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,2257,2,2256|2257,,N,2256,SF/Fantasy,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,2365,2,2362|2363,,N,2362,Drama,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,2389,3,2387|2388|2389,,N,2387,Animation/Family,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,2394,2,2394|2395,,N,2394,Thriller/Crime,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,2405,3,2405|2406|2407,,N,2405,Drama,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,2422,2,2424|2425,,N,2424,SF/Fantasy,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,2461,2,2461|2462,,N,2461,Animation/Family,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,2462,2,2463|2464,,N,2463,Comedy,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,2473,2,2475|2476,,N,2475,SF/Fantasy,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,2482,2,2484|2485,,N,2484,Animation/Family,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,2491,5,2494|2495|2496|2497|2498,,N,2494,Other,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,2512,3,2519|2520|2521,,N,2519,Drama,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,2523,2,2532|2533,,N,2532,SF/Fantasy,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,2611,2,2614|2615,,N,2614,Animation/Family,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,2620,2,2624|2625,,N,2624,Romance,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,2736,3,2738|2739|2740,,N,2738,SF/Fantasy,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,2742,2,2746|2747,,N,2746,Romance,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,2812,2,2814|2815,,N,2814,Drama,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,2840,3,2843|2844|2845,,N,2843,SF/Fantasy,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,2861,2,2866|2867,,N,2866,Animation/Family,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,2876,2,2881|2882,,N,2881,Animation/Family,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,2911,2,2913|2914,,N,2913,Thriller/Crime,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,2922,2,2925|2926,,N,2925,Comedy,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,3027,2,3027|3028,,N,3027,Historical/War,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,3039,2,3040|3041,,N,3040,Animation/Family,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,3073,3,3075|3076|3077,,N,3075,Action/Adventure,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,3098,2,3101|3102,,N,3101,Drama,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,3099,2,3103|3104,,N,3103,Romance,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,3202,2,3204|3205,,N,3204,Drama,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,3211,2,3214|3215,,N,3214,Horror,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,3391,2,3390|3391,,N,3390,Action/Adventure,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,3575,2,3575|3576,,N,3575,Drama,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,3667,2,3665|3666,,N,3665,Romance,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,3674,2,3673|3674,,N,3673,Drama,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,3720,3,3717|3718|3719,,N,3717,Animation/Family,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,3802,2,3800|3801,,N,3800,Thriller/Crime,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,3822,2,3821|3822,,N,3821,SF/Fantasy,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,3919,2,3915|3916,,N,3915,Drama,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,3967,5,3961|3962|3963|3964|3965,genre,Y,3961,Action/Adventure,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,4017,2,4014|4015,,N,4014,Animation/Family,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,4028,2,4026|4027,,N,4026,SF/Fantasy,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,4090,2,4084|4085,,N,4084,Comedy,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,4132,2,4126|4127,,N,4126,Horror,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,4178,5,4173|4174|4175|4176|4177,,N,4173,Other,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,4196,2,4195|4196,,N,4195,Animation/Family,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,4223,2,4223|4224,,N,4223,Action/Adventure,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,4318,2,4317|4318,,N,4317,Romance,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,4409,2,4404|4405,,N,4404,Action/Adventure,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,4439,2,4433|4434,,N,4433,SF/Fantasy,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,4449,2,4444|4445,,N,4444,SF/Fantasy,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,4504,2,4498|4499,,N,4498,Thriller/Crime,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,4557,3,4550|4551|4552,,N,4550,SF/Fantasy,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,4670,2,4663|4664,,N,4663,Historical/War,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,4682,2,4675|4676,,N,4675,Historical/War,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,4698,2,4692|4693,,N,4692,Thriller/Crime,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,4715,2,4708|4709,,N,4708,Drama,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,4728,2,4720|4721,,N,4720,Horror,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,4836,2,4822|4823,,N,4822,SF/Fantasy,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,4854,2,4841|4842,,N,4841,Action/Adventure,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,4874,2,4861|4862,,N,4861,SF/Fantasy,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,4946,3,4931|4932|4933,genre,Y,4931,Animation/Family,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,4982,3,4967|4968|4969,,N,4967,Thriller/Crime,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,5020,2,5005|5006,,N,5005,Animation/Family,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,5026,2,5012|5013,,N,5012,Comedy,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,5036,2,5023|5024,,N,5023,Other,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,5051,2,5038|5039,,N,5038,Action/Adventure,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,5076,2,5061|5062,,N,5061,Drama,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,5085,2,5070|5071,,N,5070,Animation/Family,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,5104,2,5090|5091,,N,5090,Historical/War,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,5130,2,5117|5118,,N,5117,Action/Adventure,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,5168,4,5153|5154|5155|5156,,N,5153,Romance,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,5188,4,5175|5176|5177|5178,,N,5175,Drama,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,5240,2,5230|5231,,N,5230,Romance,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,5244,2,5234|5235,,N,5234,SF/Fantasy,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,5269,2,5259|5260,,N,5259,Animation/Family,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,5284,2,5274|5275,,N,5274,Romance,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,5287,2,5278|5279,,N,5278,Action/Adventure,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,5398,2,5386|5387,,N,5386,Thriller/Crime,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,5470,3,5457|5458|5459,,N,5457,SF/Fantasy,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,5483,2,5470|5471,,N,5470,SF/Fantasy,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,5487,2,5475|5476,,N,5475,Drama,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,5499,3,5488|5489|5490,,N,5488,Drama,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,5509,2,5499|5500,,N,5499,Thriller/Crime,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,5596,2,5584|5585,,N,5584,Thriller/Crime,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,5707,2,5692|5693,,N,5692,Romance,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,5730,2,5715|5716,,N,5715,Action/Adventure,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,5760,2,5744|5745,,N,5744,Romance,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,5763,5,5748|5749|5750|5751|5752,genre,Y,5748,Romance,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,5786,2,5775|5776,,N,5775,Horror,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,5787,2,5777|5778,,N,5777,Comedy,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,5811,4,5801|5802|5803|5804,,N,5801,Drama,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,5875,2,5866|5867,,N,5866,SF/Fantasy,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,5914,2,5905|5906,,N,5905,Drama,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,5964,2,5955|5956,,N,5955,Thriller/Crime,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,5971,2,5963|5964,,N,5963,Action/Adventure,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,6096,2,6085|6086,,N,6085,Romance,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,6185,3,6169|6170|6171,,N,6169,Drama,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,6216,2,6201|6202,,N,6201,Thriller/Crime,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,6242,2,6228|6229,,N,6228,Animation/Family,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,6275,2,6261|6262,,N,6261,Animation/Family,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,6306,2,6291|6292,,N,6291,Drama,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,6323,2,6309|6310,,N,6309,Thriller/Crime,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,6362,3,6349|6350|6351,,N,6349,Animation/Family,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,6413,2,6397|6398,,N,6397,Animation/Family,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,6436,2,6420|6421,,N,6420,Thriller/Crime,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,6468,2,6453|6454,,N,6453,Drama,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,6475,2,6460|6461,genre,Y,6460,Comedy,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,6477,2,6463|6464,,N,6463,Animation/Family,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,6479,2,6466|6467,,N,6466,SF/Fantasy,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,6481,3,6469|6470|6471,,N,6469,Drama,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,6519,2,6508|6509,,N,6508,Romance,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,6521,2,6511|6512,,N,6511,Thriller/Crime,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,6533,2,6524|6525,,N,6524,Action/Adventure,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,6605,3,6594|6595|6596,,N,6594,Action/Adventure,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,6691,2,6674|6675,,N,6674,Thriller/Crime,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,6704,2,6687|6688,,N,6687,Drama,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,6708,2,6692|6693,,N,6692,Animation/Family,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,6715,2,6699|6700,,N,6699,Action/Adventure,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,6729,2,6713|6714,,N,6713,SF/Fantasy,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,6765,2,6749|6750,,N,6749,SF/Fantasy,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,6770,2,6755|6756,,N,6755,Horror,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,6880,2,6862|6863,,N,6862,Thriller/Crime,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,7042,2,7018|7019,,N,7018,Drama,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,7070,2,7046|7047,,N,7046,Animation/Family,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,7141,2,7112|7113,,N,7112,Historical/War,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,7252,2,7221|7222,,N,7221,Horror,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,7256,2,7225|7226,,N,7225,SF/Fantasy,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,7321,2,7290|7291,,N,7290,Romance,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,7336,2,7306|7307,,N,7306,Animation/Family,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,7376,2,7344|7345,,N,7344,Action/Adventure,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,7400,2,7369|7370,,N,7369,Thriller/Crime,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,7419,2,7389|7390,,N,7389,SF/Fantasy,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,7507,6,7472|7473|7474|7475|7476|7477,,N,7472,Thriller/Crime,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
,,,7603,2,7572|7573,,N,7572,Animation/Family,stable sort by MOVIE_NUM and original row order; choose first non-null genre; preserve conflicts in audit
